Hindi	Telugu	Similarity_Score
दिन भर तुमहारा मि जा ज एक दम बि ग डा था .	నువవు రో జ ంతా పిచచి మూ డ లో ఉంటా వు .	0.5421
पिछ ले हफ ते एक लड के को स जा सुना ई .	గ త వా రం ఒక అబబా యి కి శి కష వి ధి ంచా ను .	0.6179
- तुमहें कुछ चु रा ना है . - शुकरिया .	- మీరు ఏదో దొ ం గి లి ంచాలి . - ధనయవాదాలు .	0.6020
जब मैंने ऐ बी से पूछ ा , तो उसने कहा कि वह खेल में भाग ले गी .	నేను తన ను ని ల దీ సిన పపుడు , అబ ీ ఆట ఆడ ను నన టటు ఒ పపు కు ంది .	0.6490
- ए ज ें ट ? - पैसे की सुरकष ा करने वाला .	- బ యా గ మయా న ? - డబబు ఉ ంచు కునే వాడు .	0.6858
- छो टी - छो टी ग ें द ें . . . - पि ंग प ॉन ग .	- ఆ చినన బం తులు . . . - పి ంగ పా ంగ .	0.6452
- हैलो ! - हैलो ! मैं अंदर आ सकती हूँ ?	- హాయ ! - హే ! నేను లోప లి కి రా వచచా ?	0.6435
अचछा , चलो . समय बर बाद हो रहा है .	సరే , రా . మనం సమయం వ ృ థా చేసతుననా ము .	0.5908
नहीं , रुको , रु क जाओ .	వదదు , ఆ గా గు , ఆగు , ఆగు .	0.5555
जो भी हो . बस जान ना है कि किस ने उसे मा रा .	నాకు అన వ సరం . నాకు తన ను ఎవరు చం పా రో తెలియ ాలి .	0.5936
दूसरे साल नै शन ल रो डियो के फा इन ल में पहुँच चु के हो ,	నువవు రెండ ో ఏ డు నే షన ల రో డి యో ఫె న లస కు వచచా వని తెలి సింది ,	0.6404
अब तुम स टी व ज ॉ बस हो ?	సట ీ వ జా బ స వి అయి పోయా వా ?	0.5109
" और त सवी र ों के रूप में रात तक त सवी र ें भेज ना "	" సా కష య ంగా అర ధ రాతరి కల లా నా కో ఫో టో పం ప ండి "	0.6457
अचछी कोशिश है , स पर लॉ क .	మంచి పరయత నం , స పర లా క .	0.6128
यह सही है ?	ఇది స రెన దా ?	0.4418
सट े शन पर , हमने पैसे इ कट ठा किए . हमने 1 00 टि कट ें ख री दी ं ,	సట ే షన లో , మేము అంద రం జ త కలి శా ం . 1 00 టి కె టలు కొ ననా ం ,	0.7216
कम रे में हर कोई चु प चा प बैठ ा था . अपनी सा ँ स ें रो के .	ఆ గ ది లో అందరూ ని శ శ బ ద ంగా ఉననారు . వాళళు ఊ పి రి బి గ బ టట ా రు .	0.6812
कि सी नि यर लोगों ने चु नौ ती त य कर रख ी थी .	సీ నియ రలు స వ ాలు రూ పొ ంది ంచా రని తెలుసు కుననా రు .	0.5870
मुझे अपने माँ - बा प के सो ने तक रु क ना प डा .	అమమా నా ననా పడు కునే దా కా వే చి ఉండ ాల సి వచచింది .	0.5889
- यह कोई मजाक नहीं . - घ बरा ओ मत .	- అది సర దా విషయం కాదు . - శా ంతి ంచు .	0.5553
तुम जो चा हो मुझे बता सकते हो .	నాతో ఏదెనా చెపప ాలను ంటే చెపప వచచు .	0.4830
उसने क सम खा ई कि कभी नहीं खे ले गी .	తను ఎపపుడూ ఆడ నని మాట ఇ చచి ంది .	0.5738
बा रह म ही ने की कै द , और उसके बाद और 1 2 म ही ने पै रो ल पर .	ప నన ె ండు నె లల ఖ ె దు , మ రో ప నన ె ండు నె లలు పె రో ల మీద .	0.6783
परे ड वाले बै ंड में एक सं गी त वाली गाडी है . शायद उस ी से पता चले .	క వా తు బ ృ ంద ం సంగ ీ తం మా రు తూ ఉంది . బహుశా అది తా ళ ం అనుకుంటా .	0.6796
याद है , उनहोंने कहा कि चा ँ द वाला आदमी	ఒక అబబా యి త డి సి మె ంటు లో పడి పో తే అతని ముఖ ం	0.5311
जयादा समय नहीं लगे गा . बस एक फि ल म देख ूँगा .	ఎ ంతో సే పు ఉండ ను . సి ని మా చూ సతా ము అంతే .	0.5976
मुझे दु ग नी प गा र मिल ती , दस गु ना भ ि ड ने को मिल ता .	వాళళు నాకు ప ది ంత ల ప నికి రె టటి ంపు జీ తం చె లలి ంచే వారు .	0.6392
कौन सी ऊँ ग ली दिखा ऊँ ?	ఏ వే లు ఉ ప యో గి ంచ ను ?	0.5968
" स पर लॉ क खे त . जब र दस ती घु स ने के बाद . कल . "	" స పర లా క ఫా మ . చ ొ ర బడి వెళళ ాలి . రే పు . "	0.7368
मेरे पास 3 5 नंबर था .	నా దాని లో 3 5 ఉంది .	0.5769
पर गर ै जु ए ट होने के बाद , दोबारा सक ूल में भर ती होना ,	కానీ డి గర ీ పూరతి చేసి కూడా , మళళీ స కూ లలో చే ర డం ,	0.6366
तुम कयों खेल रहे हो ?	ఎందుకు ఆ డు తుననావు ?	0.4368
वहाँ सब तरफ जा ल बि छा या गया है ,	ఆ పరా ంత ం అంతా ఉ చచు ఉంటుంది ,	0.5266
अगर तुम ही हमारा सा मान उठा ती रही हो , तो आ शा है मा उ थ व ॉ श पसंद आया होगा .	నువవు మా ప యా కె ట లను తీసుకు ంటు ంటే , ఉ చి త మ ౌ త వా ష లు బాగు ండి ఉంటా యి .	0.6444
ऑ न ला इन दोसत ों के साथ , बाद में उनहें ब लै क मे ल करना .	ఆన లెన లో ప ంచు కునన వి , వాటి తో బ లా క మె యి ల చేశారు .	0.6483
बर ॉन क परति यो गि ता ? मुझे नहीं पता था .	సా డి ల బ రో ంక ? నువవు పాల గొ ననా వని తెలియదు .	0.5889
चाहिए तो , ता ला खो ल ने वाले के पीछे और भी है .	మీకు కావాల ంటే తా ళ ాలు చేసే అతని దగగర చాలా ఉననాయి .	0.5196
त सवी र लो और आ धी रात तक डि गि न स को सब ूत भे जो .	ఫో టో తీ సి , అర ధ రాతరి కల లా డి గ గి నస కు సా కష యం పం ప ండి .	0.6271
. . . ज ॉन डे वि स पसंद ी दा वि जे ता था .	. . . జా న డే వి స గె లు సతా డని అను కుననా రు .	0.6598
ज ॉन डे वि स का बच प न	జా న డే వి స ఓ మా రు మూ ల	0.6065
टर ॉ य , का श तुमहारी मदद कर पा ता . पर यह पह े ली . . .	ట రా య , నీకు స హాయ పడ ాల నే ఉంది . కానీ ప జి ల . . .	0.6693
श ॉ ना को खो ज ने जा रही हूँ .	నేను వెళళి షా నను వె తు కు తాను .	0.5485
और हम अचछी टी म बन पा एँगे .	మనం మంచి జ టటు అవు తా మను కుంటా .	0.5319
मा य रा ने जज ों के बारे जो बताया , उसने पु ष टि की ?	నయాయ నిరణ ే తల పె మె రా చెపపి ంది నిజ మే అని ందా ?	0.5615
दस मिनट ों में अग ली खा ली जगह पर मिल ते हैं ?	తరు వా తి స ందు వ దద 1 0 నిమిష ాల లో తిరిగి కలు ద దా మా ?	0.5593
ली ला को देखो . खू बस ू रत लग रही है .	లీ లా ను చూడు . తను అంద ంగా కనిపి సతుంది .	0.5807
कोई बच चा था , जो मु ँ ह के बल सी में ट में जाकर गि रा .	అ చ చే మనకు చ ంద రు డి లో కనిపి ంచే అతను అని చెపప డం గుర తుంది .	0.6219
कुछ जान वर ज ंग ली ही ब ने रह ते हैं .	కొనని క రూ ర జ ం తు వు లు దానని దా టి రా వు .	0.5913
उनहें लॉ टो ब ॉल कहते हैं .	వాటి ని ల ొ టట ో బం తులు అంటా రు .	0.5133
और मेरी बहन . . .	ఇంకా మా సోద రి . . .	0.5277
बिना किसी शक के . झूठ बोल ना कहाँ से सी खा ?	బాగా నమ మి ంచా వు . అబ దధ ం ఆడ డం ఎకకడ నే రచు కుననా వు ?	0.5777
माफ करना .	కషమించు .	0.4180
जिस ने उनहें न ु क सान पहुँ चा या , तुमहारे पास उसे पक ड ने का मौ का है .	వాళళ ను బా ధి ంచి , చం పి న వయకతి ని ప టటి ంచే అవకా శం నీకు ఉంది .	0.6316
उसकी अ ंत ड ियाँ पु रा नी म शी नों में लि प टी हुई मिली .	వాళళ కు ఒక పా త య ంత రం అతని లోకి చ ొ చచు కు పోయి కనిపి ంచింది .	0.6028
तुम चा होगी कि किसी को पता चले कि तुमहारे पास पै सा है ?	నీ దగగర ఆ డబబు ఉ ందని ఎవరి కె నా తెలియ ాలను కుంటా వా ?	0.5627
बच प न से यहीं रही हूँ . खेल का पता है . तुमहें नहीं पता .	నేను ఇ కకడి దానని . నాకు ఆట తెలుసు . నీకు తెలియదు .	0.5658
देखो , स पर लॉ क ने डे वि स को पक डा , उसे गोली मा री	స పర లా క , డే వి స ను పటటు కుననా డు , కాల చేశా డు ,	0.6794
तुम गलत दि शा में जा रही हो , पता है ?	తపపు దా రి లో వెళ ు తుననావు తెలుసా ?	0.5516
देखो पिछ ले साल कया हुआ .	గ త ఏ డా ది ఏం జరిగి ందో చూడు .	0.5423
उससे आगे मत जाना . उसे एक कारण से लगा या गया है .	దానని దా టి వెళళ కు . ఆ క ంచ ె అకకడ వే య డానికి కారణ ం ఉంది .	0.5618
उ तना आ सान नहीं होता , है न ?	అది అంత సు ల భ ం కాదు కదా ?	0.5711
उसे बता ऊँ कि तुम आई थी ?	నువవు వచచా వని తన కు చెపప నా ?	0.5556
माँ का का रो बार खतम हो गया ,	మా అమమ వయా పా రం పోయింది ,	0.4578
पर तुमहें तो पहले से पता है न ?	కానీ నీకు అది ఇది వర కే తెలుసు , కదా ?	0.5474
यह . . . यह कया ?	ఏంటి . . . ఏంటి ది ?	0.4838
तो पहली वाली आई , मैंने अपनी टि कट देख ी , नंबर मिल गया .	అయితే మొదటి ది వచచింది , నేను నా టి కె ట చూ సు కుననాను , అది ఉంది .	0.5718
ऐसी पया री सू रत होगी तो कई नए दोसत बन जाएँगे .	ఆ అంద మెన ముఖ ంతో , చాలా కొతత సనే హి తు లను చేసు కుంటా వు .	0.5761
मैंने तो वे देख ी भी नहीं .	నేను అసలు అవి చూడ లేదు .	0.5119
- यह तुमहारा दोसत है . - मेरा नहीं , तुमहारा है .	- లేదు , అతను నీ ఫ రెండ . - అతను నాకు కాదు , నీకు ఫ రెండ .	0.5729
हे ल ने चो री नहीं की . वह ए ज ें ट था .	హే ల దొ ంగ కాదు . అతను బ యా గ మయా న .	0.6601
वा कई , तुम झूठ बोल ने में मा ह िर हो .	నువవు చాలా మంచి అబ దద ాల కో రు వి .	0.5952
ज ॉन डे वि स को पता था कि उसका साम ना सा ँ प ों से होगा .	జా న డే వి స కు తన ను పా ము ల మధయ వది లా రని తెలుసు .	0.6211
और अब तुम अपनी बच प न की खुश ियाँ दोबारा ता जा करना चाहते हो ?	మీ రే మో మీ చి న ననా టి జ ఞ ా ప కాల ను నె మర వే సు కు ంట ూ ఉంటా రా ?	0.6072
यह कहते हुए कि अगर उसने खेल न छो डा तो उसके साथ बुरा होगा .	తను ఆట నుండి తపపు కో కపోతే , కీ డు జరుగు తు ందని ఉండే వి .	0.6108
जा ल के चल ते , उसने पै सा वहाँ छु पा या .	ఉ చచు ఉ ందని అతను అకకడ డబబు దా చు కునే వాడు .	0.5913
नजर आ ना चाहिए .	అది బయట పడు తుంది .	0.4466
- और दूर वह जो बा डा है ? - हाँ .	- అకకడ ఉనన ఆ క ంచ ె చూశా వా ? - అవును .	0.5843
ला मा का ट ते नहीं .	లా మ ాలు కొ రక వు .	0.5527
माफ करना , कया ?	కషమి ంచండి , ఏంటి ?	0.4020
तुम यह कया कह रहे हो ?	నువవు ఏం మాటలాడు తుననావు ?	0.4150
म जे से पै दल जाओ .	ఆన ంద ంగా న డు వు .	0.5119
इस तरफ .	ఇ టు వెపు .	0.2835
" जाते समय अपने साथ एक टो क न ले ते जाओ	" వెళళ ే ముందు ఆ టో కె న ల నుండి ఒకటి తీసుకో ండి	0.5697
- हाँ . - ज ंग ल में से चल ते हैं .	- సిదధ మే . - మనం చె టల గు ండా వెళ దా ము .	0.6319
- अचछा . फिर मिल ेंगे , बेवकू फो . - चलो .	- సరే . తరువాత , పరా జి తులు . - పద ండి వెళ దాం .	0.6549
और बता ता है कि पै सा कहाँ और कब देना है .	డబబు ఎకకడ , ఎ పపుడు ఇవ వాల ో చెబు తా డు .	0.5984
वह मुझे और कुछ नहीं बता ए गी .	ఆమె నాకు ఏ వి వర ాలు చెపప డం లేదు .	0.5748
शुकरिया , पर मुझे नहीं जाना .	ధనయవాదాలు , కానీ నేనే గె లు సతాను .	0.4988
भा ड में जाए . गि न ती भूल गया .	పర వాలేదు . నేను లె కక మర చి పోయా ను .	0.5674
सं वाद अनु वाद क पर वी न कौ र शो म	ఉ ప శ ీ ర షి కలు అ నువ ది ంచిన ది కర త సమ త	0.6152
वह इस श हर को जानते हैं .	అతనికి ఈ ఊ రు తెలుసు .	0.5040
आप लोग आगे होने वाले मे ट ल सट ै ं पी ड में हि ससा जरूर लें .	మీ ర ంద రూ తవర లో జరగ ను నన మె టల సటా ం పే డ మి స కా క ండి .	0.6816
मुझे ज ॉन डे वि स हे ल याद है .	నాకు జా న డే వి స హే ల గుర తుననా డు .	0.6192
डे ना कहाँ है ?	డే నా ఎకకడ ఉంది ?	0.4858
तुम तैयार हो ?	నువవు సిదధ మే నా ?	0.4357
इसलिए ज ॉन डे वि स हे ल सबसे आगे था .	అందుకే జా న డే వి స హే ల ము ంద ం జ లో ఉననాడు .	0.6088
देखो , बि श प वहाँ है .	అది గో , బి ష ప వ సతుననా డు .	0.5741
मेरे पास छ ह हैं . चार खुद के , दो आवा सी .	నా దగగర ఆ రు ననా యి . నాలు గు నా వి , రెండు అ దద ె వి .	0.6156
धत . मुझे नहीं करना .	ఛ . నేను వదిలే సతుననాను .	0.5198
यह कया ? तुमहारी बकवास सुन कर मेरा सिर दर द कर रहा है .	ఏంటి ? నీ చెతత వా గు డు తో నాకు తల న ొ పప ి వ సతుంది .	0.6022
सै मु एल मै व रिक हा ई सक ूल के परे ड बै ंड के लिए जो र दार ता लिया ँ !	సా మ యూ ల మా వె రిక హె స కూ ల మా రచ కు అభి న ంద నలు తెలు పు దాం !	0.6914
- धत ! सा ला ! - . . . नौ . . .	- ఛ ! అబబా ! - . . . తొ మ మి ది . . .	0.7254
- तुमहें कैसे पता ? - मेरे पापा पुलिस में हैं .	- నీకు ఎలా తెలి సింది ? - మా నానన పోలీసు .	0.5913
सु बह से पहले , पै र की ऊँ ग ली भी बाहर रख ी तो , तुम खेल से बाहर हो गे .	ఉద యా నికి ముందు ఒకక వే లు బయట పె టటి నా నువవు అవు ట అవు తా వు .	0.6292
वह जा चुका है .	వాడు పోయా డు .	0.5003
- वह शादी शु दा है . - शुकर है भगवान का .	- అతను పెళళ ె న వాడు . - మంచి ద ె ంది .	0.6425
कहानी पर यकीन हो तो , वह झूठ नहीं है .	నీ క థ ను నువవు నమ మి న ంత వర కు అది అబ దధ ం కాదు .	0.5765
ला ओ . मुझे पक डा दो .	ఇది గో . అది నాకు ఇవ వు .	0.5860
रात 1 1 : 0 7 ब जे	రాతరి 1 1 : 0 7	0.6754
सा ला ! मुझे निका लो !	ఛ ! ననను బయటకు తీ య ండి !	0.4741
जब पा वर ब ॉल एक बि लि यन का हो गया था ?	వ ంద కో ట లను తె చచి పెటట ే ప వర బ ాల ?	0.5912
मेरा घर छ ह मी ल दूर है , यार .	మా ఇ లలు ఆ రు మె ళళు ఉంది .	0.5620
तो शायद एक म ही ने तक मुझे भ ू ख नहीं लगे गी .	అందు కని నాకు నె ల వర కు ఆ కలి వే సతు ంద ంటే అను మా న మే .	0.6215
मा य रा के साथ या अपनी डा ंस टी म की किसी स हे ली के साथ भाग जाना .	మె రా తో లేదా డా నస టీ ంలో తన సనే హి తు లతో నో వెళళి పో యే ది .	0.5469
तुमहें कया चाहिए ?	మీకు అసలు ఏం కావాలి ?	0.4375
तुम उसके साथ नर मी से पे श आओ .	ఆమె ఇపపుడు ఇకకడ సం ఘ సే వ చే సతుంది .	0.5700
पु रा ने घट िया काम ों के भ ूत को अ ल वि दा क हो , हेदर .	గ తం లో పిచచి ప ను లకు వీ డ కో లు ప లు కు , హే థర .	0.6740
या नहीं होता .	లేదా ఉండ రు .	0.4470
या नहीं होता .	లేదా ఉండ రు .	0.4470
- नहीं , मैं ठीक हूँ . - अचछा .	- వదదు , పర వాలేదు . - సరే .	0.5935
ए , धयान रख ना .	హే , జా గర తత .	0.5180
दे हा त में दो सौ साल पु रा ने फा र म हा उस में बी ता .	గరా మ ంలో 2 00 ఏ ళళ పా త ఫా మ హ ౌ స లో పె రి గా డు .	0.6277
नहीं ! नहीं , रुको ! रु क जाओ . पलीज . सा ला !	వదదు , వదదు ! వదదు , ఆ గ ండి ! ఆ గ ండి . దయచేసి , వదదు !	0.5682
वह पहले साल से झूठ बोल ता रहा , ताकि खेल में आगे रह स के .	అతను ఆట లో ము ంద ం జ లో ఉండే ందుకు మొదటి ఏ డా ది ను ండ ే అబ దధ ం చెప తుననా డు .	0.6027
जो हुआ , उसके कुछ हफ ते पहले ,	జరిగి న దానికి కొనని వా రాల ముందు ,	0.5137
म कई के खे त या ज ंग ल में से स पर लॉ क खे त तक जा सकते हो .	స పర లా కకు జ ొ నన చే ను లేదా చె టల గు ండా వెళళ వచచు .	0.6575
और उसका उल टा भी .	అలాగే వీ ళళ కు వాళళు .	0.4545
वह तुमहारे सामने बैठ ा है .	అతను నీ ము ందే ఉననాడు .	0.4868
और हैलो वी न पर , स जा व ट के लिए उनहें दी वार पर टा ँ ग ता .	వాటి ని హ ాల ొ వీ న అపపుడు గో డ పె అ ల ంక రి ంచే వాడు .	0.6364
और , पुलिस ने हमें पक ड लिया , तो दर शक नहीं होंगे .	ఇంకా , మన లని పోలీసు లు అ రె సట చేశారు కను క , పరే కష కులు ఉండ రు .	0.6132
तुम जी त रही थी . अब तुम ग ुम हो गई हो .	నువవు గె లి చే దాని వి . కానీ ఇపపుడు తపప ి పోయా వు .	0.4803
शु भ काम ना एँ , ब यो म के श .	అద ృష టం వరి ంచాలి , ష ె ర లా క ,	0.6325
वह सा ला अ परा धी है .	అత న ొక నే ర సతు డు .	0.5775
उसे एक दम बंद करके रख ना है वर ना . . .	అది తా ళ ం వే సి ఉ ంచాలి , ఎందుకంటే వాటి ని . . .	0.5367
नहीं .	చేయ ను .	0.2804
ला मा का ट ते हैं ?	లా మ ాలు కొ రు కు తా యా ?	0.5400
- हैलो , माँ . - हैलो .	- హే , అమమా . - హే .	0.5131
मैंने उसके मे से ज देख े थे .	నేను తన టె క ట స మె సే జ లను చూశా ను .	0.5070
अचछा .	అలాగే .	0.3262
मैं अपने मु ँ ह से कुछ नहीं कहना चाहती , पर मैं ही जी त रही हूँ .	జ రి గే ది చెపప ాలని లేదు కానీ నిజ ానికి గె లి చే ది నేనే .	0.5463
तो हम बैठ े थे , और नंबर ों को देख रहे थे .	వ సతునన సం ఖ య లను చూ సు కు ంట ూ , అంద రం అకకడ కూ రచు ననా ం .	0.5368
मे न सट री ट वा यर ले स आपको चार जु ला ई की मु बार क बाद दे ता है !	మె యి న సట రీ ట వె ర లె స మీకు స వాత ంత య ర ది నో త స వ శు భా కా ం కష లు తెలు పు తుంది !	0.6755
कार प में चार जु ला ई की 3 5 वी ं सा ला ना परे ड में आपका सवागत है !	కార ప 3 5 వ వార షి క స వాత ంత య ర ది నో త స వ క వా తు కు సవా గ తం !	0.6654
सच तो यह है कि उसे सा ँ प ों से जरा भी डर नहीं लगता था .	చూడు , వా సత వా నికి , అతనికి పా ము ల ంటే భ యం లేదు .	0.6237
और डि गि न स . उससे और कुछ पता कर सकती हो .	డి గ గి నస కూడా . సమా చా రం ఏమెనా తెలి సి ందే మో అడుగు .	0.5387
मैं कहीं मार द ूँगा .	నేను ఏదో ఒకటి క ాలు సతాను .	0.4433
मैं तो बस डे ना की भ ला ई चाहती हूँ .	నేను డే నాకు మంచి చేయ ాలని పరయతని సతుననాను .	0.4820
मेरी जगह से निकल ने के लिए दस से क ंड हैं , दस . . .	నా సథ ల ం నుండి వెళళ డానికి 1 0 సె క న ల సమయం ఇ సతుననాను , 1 0 . . .	0.6251
जि मी के बारे में .	జి మ మీ గురించి .	0.4942
अचछा , चो री से घु सो , कुछ चु रा ओ , बाहर निक लो ,	సరే , అయితే , ద ూర ండి , ఏదో ఒకటి దొ ంగ లి ంచి , బయటకు రండి ,	0.5962
कौन मस ती करना चाहता है ?	పార టీ కి ఎవరు సిదధ ంగా ఉననారు ?	0.4671
उ गा ही करने वाले का काम है न ?	అది క లె కష న బా య పని కదా ?	0.5275
वर ना वह तो शादी की बात कर बैठ ता .	లే కపోతే అతను ఇకకడికి భా రయ కోసం వచచే వాడు .	0.4596
तीन मिनट की मस ती और न शे के चल ते .	అద ంతా మూ డు నిమిష ాల ఆన ంద ం ఇంకా మ తతు వల న .	0.5613
नहीं . नहीं , मैं अग सत के बीच में यहाँ आया .	కాదు . నేను ఇకకడ కు క నీ సం ఆ గ సట ు మధయ వర కూ రాల ేదు కూడా .	0.5251
हे भगवान !	ఓ రి దేవుడా !	0.3809
इसका कोई मतलब नहीं है .	అందు లో అరథ మే లేదు .	0.4963
ऐ बी ने बताया कि उसे हमारी डा क में	ఆ బీ చ ీ టీ ల గురించి చెపపి ంది ,	0.5000
झूठ कहा तो तुमहें बाहर करवा द ूँगी . तुम जज हो ?	అబ దధ ం ఆ డా వ ంటే , నినను అన ర హు డిని చేయి సతాను . నయాయ నిరణ ే త వా ?	0.5732
न शे डि यों को चो री की गो लिया ँ और हे रो इन बे च ना .	దొ ం గి లి ంచిన మ ందు లను , హె చ ను అమ ము తా వు .	0.6494
वह एक खू बस ू रत लडकी है .	తను అంద మెన అమమాయి .	0.4670
या घ टा ना ठीक नहीं होगा . . .	ఇవ వడం లేదా తీ య డం నయా యం కా దని . . .	0.5512
इससे कह सकते हो कि शर मि ंद गी की वजह है ?	ల యన ఒక సమసయ అని తను కు చెబు తా వా ?	0.6099
कौन तक ली फ में है , कौन मु सी ब त में है . अब जाओ .	ఎవరు బాధ లలో ఉనన ది , ఎవరు ఇ బబ ందు లలో ఉనన దీ తెలుసు . వెళళ ు .	0.5812
मेरी तर क की होने ही वाली थी .	నాకు పర మో షన రా బో తుంది .	0.5184
- अचछा . - शु भ काम ना एँ दो .	- సరే . - నాకు మంచి జరగ ాలను కో .	0.6260
अगर एक की लॉ ट री लग ती , तो हम बा ँ ट ले ते .	అందు లో దే నికి త గి లి నా , అంద రం ప ంచుకో వాల ను కుననా ం .	0.5722
जैसे तुमहारी डे ना कभी वही ल चे यर नहीं छोड पा ए गी .	ఏ దీ నీ డే నా ను ఆ చ కర ాల కు రచ ీ నుండి ఎ పపటి కీ తీసుకు రాల ే న టటు .	0.6010
सच में , जब मैं अ मी र बन जा ऊँगा , तब तुमहें कुछ नहीं मिले गा .	నిజంగా , నేను గొపప వాడిని అయ యా క , మీకు ఏమీ ఇవవ ను .	0.6070
यकीन मान ो , जयादा समय तक , सिरफ दोसत नहीं रहे गी .	ననను నమ ము , ఇం కె ంతో కాల ం తను మంచి సనే హి తు ర ాలి గా కనిపి ంచ దు .	0.5575
- मुझे मा रो गी नहीं ? - मजाक अचछा है .	- నువవు ననను కొ టట బో వడం లేదు కదా ? - బాగుంది .	0.6166
पहली परति यो गि ता के बाद जो स था न थे , वही र हें गे .	మొదటి స వ ాలు తరువాత ర యా ం కి ంగ లే ఉంటా యి .	0.5894
- चा ँ द पर मर म मत कर रहा है . - है न ?	- రి పే ర చేసతుననా డ ను కుననాను . - నీకు తెలుసా ?	0.5233
- अचछा ? - हाँ .	- అవునా ? - అవును .	0.5196
- घ ो ड ों की ? - हाँ .	- గుర రాల పె నా ? - అవును .	0.5292
हैलो .	హాయ .	0.3775
अचछा .	సరే .	0.3577
पर तुम पर भरो सा करती हूँ .	కానీ నినను నమ ము తాను .	0.4917
टी म ?	జ టట ా ?	0.3272
कया ?	ఏంటి ?	0.3091
आओ चल ें .	పద వెళ దాం .	0.3893
रुको !	ఆగు !	0.3775
अचछा .	సరే .	0.3577
थोडी मदद मिले गी ?	కొంచెం సాయం చేసతా వా ?	0.4043
शुकरिया .	ధనయవాదాలు .	0.3916
कुछ ढूँढ रही हो ?	ఏదెనా వె తు కు తుననా వా ?	0.3956
शुकरिया .	ధనయవాదాలు .	0.3916
नहीं . कयों कर ूँ ?	లేదు . ఎందుకు నమమ ాలి ?	0.4061
उप जाने वाला घर .	గం జా యి గ ృ హం .	0.4883
अचछा .	సరే .	0.3577
हैलो ?	హలో ?	0.3091
हैलो ?	హలో ?	0.3091
हैलो ?	హలో ?	0.3091
पता नहीं . मैं तो ठीक से सा इ किल भी नहीं चला पा ती . मुझे गिर ने से डर लगता है .	చేయ గల నో లే దో . నాకు సె కి ల తొ కకడ మే రా దు . నాకు పడి పో తా నని భ యం .	0.6591
और स पर लॉ क के खे त पर जो कुछ हुआ .	ఇంకా స పర లా క ఫా మ లో అతనికి జరిగింది కూడా .	0.5453
अब सोच ो , वह तुम हो सकती थी .	ఆలోచి ంచు , అది నువవు అయ యి ండ ే దాని వి .	0.4954
हाथ पर जो ट ै ट ू है , कहाँ से बन वा या ?	ఆ టా ట ూ ఎకకడ వే యి ంచు కుననా వు ?	0.6079
" समय प ं ख लगा कर उ ड जाता है , इसलिए कौ वे की तरह उ डो	" సమయం గ డు సతుంది , అందు కని కా కి లా ఎ గర ాలి	0.6266
बहुत अचछी बात सो ची .	అది గొపప ఆలోచ న .	0.4328
- भे ड िए उनहें द बो च ल ेंगे . - हाँ .	- అడ వి ప ందు లు తి నే సతా యి , తెలుసు గా . - సరే .	0.6201
- ती स री ब ॉल आई , मिल गया . - नहीं !	- మూ డో ది పె కి వచచింది , అ దీ ఉంది . - కాదు !	0.5453
- सभी को नहीं . - मुझे पार करना प डा .	- అందరూ కాదు . - నేను దా టా ను .	0.5993
अगर मेरा कभी बै ंड होगा ,	నేను బ యా ండ పె డి తే ,	0.5133
छोड ो ! यह कया ? अरे !	వ దల ండి ! ఏంటి ది ? వ దల ండి !	0.5114
आपको . . . पु लि सवा लों से न फ रत थी .	నీకు . . . పోలీసు లు అంటే ఇషటం ఉండే ది కాదు .	0.6233
हाँ . तुम बैठ सकते हो .	అవు న వు ను . మీ రే తీ సే సుకో ండి .	0.4958
हे भगवान .	దేవుడా .	0.3425
सवा री करनी आती है ?	సవా రీ చేసతా వా ?	0.3673
ठीक है .	అరథ మెంది .	0.3834
अब पै सा दिखा ओ .	నాకు డబబు చూపి ంచు .	0.4812
मैं आ रहा हूँ !	నీ కోసం వ సతుననాను !	0.4094
जरा सोच ो अगर को र टे ज इस एल चा पो को पक ड ले .	ఇకకడ కోర టె జ ఎ ల చా పో ను పటటు కు ంటే ఎలా ఉ ంటు ందో ఊ హి ంచండి .	0.5905
और च म गा द ड ों की प ॉ टी से भ री प डी थीं .	గ బ బి ల ాల మ ల ంతో క పప బడి పోయా డు .	0.6015
देश भर में छु ट टी है , नै ट . आ राम करना देश भ क ति है .	ఈ రోజు జా తి య సె ల వు ది నం , నా ట . పని చేయ కుండా ఆన ంది ంచడం దే శ భ కతి .	0.6653
इसे खो ल ने का एक तरी का है . ऐसे .	దీ నని తె ర వడానికి ఒక కి టు కు ఉంది . ఇది గో .	0.5812
यार , यहाँ .	ఇ టు వెపు రండి .	0.3590
" धी र ज रख ो , गु ड िया , धी र ज रख ो . "	' ' స హ నం , బ ాలి క , స హ నం . ' '	0.6312
ये डो हैं . वे ला श ें जिन की कोई पह चा न नहीं मिल ती .	వీ ళళు అ నా మ కులు . గుర తి ంపు లేని శ వ ాలు .	0.6352
कार प में सवागत है	కార ప కు సవా గ తం	0.5008
घ ा स का मै दा न कहा जाता है .	దానని పరే రి అంటా రు .	0.4335
टा य ल र की मा ह वा री शुरू होती है तो ना जु क हो जाता है .	టె ల ర రు తు కర మ ం సమయం లో సు నని తంగా ఉంటా డు .	0.6217
या फिर नहीं . माफ करना .	లేదా ని వారి ంచ కపో వడం . కషమించు .	0.4468
