मॅकसिमस.	మాకసిమస.
याद रखें, आप जहाँ भी पहुँचें, वही आपका घर है.	గురతుంచుకోండి, మీరు ఎకకడికి చేరితే, అదే మీ చోటు అని.
जब तक मैंने तुमहारे भाई से यह खत लिया	నీ సోదరుడి ఈ లేఖ నాకు అందేసరికి,
{\an8}धनयवाद, कैथी.	{\an8}ధనయవాదాలు, కేథీ.
- मुझे दो. - यह लो.	- ఇవవమంటుననాను. - సరే.
मैं वहाँ रहता हूँ. . .	నేనకకడ బతకగలను. . .
अजीब है न कि हमेशा वॉलट 31 से ही ओवरसियर चुनते हैं?	వాలట 31 నుంచే పరయవేకషకుని ఎంపిక వింతగా లేదా?
अपनी बीवी की जासूसी करूँ?	నా భారయ మీద ననను నిఘా వేయమనా?
और अगर आपको यह पसंद न आए,	ఇక మీరు విననది మీకు నచచకపోతే,
जिसे चाहो काट लो, जहाँ चाहो चले जाओ.	ఏం తింటావో తిను, ఎటు పోతావో పో,
सुनो, हॉलीवुड में कटटरवाद फैल रहा है.	చెబుతుననా, హాలీవుడలో రాడికలిజం వయాపిసతోంది.
बस इसलिए कि यह उनके बिजनेस मॉडल में फिट नहीं होता.	ఎందుకంటే అది వాళల వయాపార నమూనాకు సరిపోలేదు.
रुको, तुमने सोचा. . .	ఆగు, నీ ఆలోచన. . .
वह वेधशाला में है.	ఆమె అబజరవేటరీలో ఉంది.
शायद आज नहीं, पर कभी तो करेगा.	బహుశా ఇవాళ కాదు, కానీ ఏదో ఒక రోజున.
मतलब, मेरा वॉलट ऐसा नहीं है.	అంటే, మా వాలట ఇలా ఉండదు.
तो तुमहारा कोई दोसत नहीं होता, समझे?	నీకు మితరులు ఉండేవారు కాదు, అది గరహించావా?
बढिया.	మంచిది.
हम सभी यहाँ बचकर आए हैं,	ఇకకడ మనమంతా బతికి ఉండగలిగాం,
पर इसका नतीजा. नतीजा होगा. . .	కానీ ఫలితాలు, అవును. ఆ ఫలితాలు. . .
अचछा, तो हम चलते हैं.	వెళలొసతాను, చకచకా.
उसके बाद, तुम अकेली हो, गूसी.	ఆ తరువాత, ఇక నీ కషటాలు నీవే, గూసీ.
- कया वह. . . - फयूजन कोर है.	- అది. . . అది ఓ. . . - ఫయూజన కోర.
{\an8}बेटटी पियरसन 31 से 33	{\an8}బెటటీ 31 నుండి 33
कैलिफोरनिया में ऐसा कया है कि सभी यहाँ आए हैं?	మనం అంతా వచచిన ఈ చోటు అయిన ఈ కాలిఫోరనియా గురించి ఏంటి?
मेरी शादी दूसरे वॉलट के अजनबी से होने वाली थी.	నాకు మరో వాలట నుంచి ఓ అపరిచితుడితో పెళలి జరగాలసి ఉంది.
हममें से कुछ वॉलट 32 में जाकर नई शुरुआत करेंगे.	మనలో కొందరు వాలట 32కు మారి ఇకకడే ఉంటారు,
मतलब तुम टॉमी हो.	నువవు టామీని అడగాలి.
वैसे, यह अमेरिका है.	సరే, ఇది అమెరికా.
ठीक है. टेप चलाओ.	అలాగే. టేప పలే చేయి.
तो शुरू करते हैं.	సరే, ఇక మొదలుపెడదాం.
अगर चाहो तो मेरा वाला मारशमैलो भी ले सकती हो.	నీకు కావాలంటే, నా దగగర ఉనన మారషమలోలు కూడా తీసుకోవచచు.
मेरे दोसत को यह जगह पसंद है.	నా మితరుడికి ఈ చోటు బాగా నచచింది.
बदकिसमती को ठीक कर सकती हैं.	దరావకాలు, పానీయాలు నా దగగరుననాయి.
रेडरस के साथ बुरा हुआ, है न?	రెడరల విషయం అది దారుణం, కాదంటావా?
जो यहाँ हुआ उसे केस सटडी की तरह इसतेमाल न करें	శాసతరవేతతలకు కరమబదధం కాని నియంతరణ ఇచచాక
उसका कवच ले लिया. तुमसे झूठ बोला.	అతని కవచం తీసుకుననాను. నీతో అబదధమాడాను.
सुनो, डीजे कारल बोल रहा हूँ, केपीएसएस बरॉडकासटिंग से	హే యో, నేను డీజే కారల, కేపీఎసఎస బరాడకాసటింగ,
उनहें सिर चाहिए न? मैं उनहें सिर दूँगा.	వాళలకు తల కావాలి? నేను తల ఇసతాను.
माफ करना. मैं ठीक हूँ.	మననించాలి. నేను బాగుననాను.
अगर मैं तुमहें मारकर सारी दवाएँ ले जाऊँ तो?	నినను చంపకుండా, మందులు తీసుకోకుండా ననను ఆపేది ఏంటి?
सभी को यह चाहिए.	అందరికీ ఇదే కావాలి.
वाह, कया बात है.	అవును, అది బాగుంది.
डॉकटर का कहना है चूहामार दवा है.	అది ఎలుక విషంలా ఉందని వెదయుడు చెపపాడు.
हम तीनों के लिए.	మేము ముగగరం మాతరమే.
इनमें वे सभी गुण हैं जो सफल लीडर में होने चाहिए.	ఇంకా విజయవంతమెన మారగదరశకునిగా చేసే ఇతర లకషణాలు అననింటితో.
तुम भी कभी मीटिंग में आओ.	ఓ సమావేశానికి రావాలి.
तो टॉमी, कया लगता है?	అయితే, ఏమనుకుంటావు, టామీ?
मुझे खेद है. मैं. . .	ననను కషమించండి. నేను. . .
मुझे 31 में लौटना है.	నేను 31 కి తిరిగి రావాలి.
तब कैलिफोरनिया याद आता है.	కాలిఫోరనియా గురించి ఆలోచించాలి.
ताकि वे वह काम बंद कर दें?	మరి దానిని అలమరాలో దాచిపెడతారా?
हमने उनकी फयूजन कोर चुराई.	మనం వాళల ఫయూజర కోర దొంగిలించాం.
मैंने एक निरदोष के चेहरे पर तेजाब फेंका है.	నేను ఓ అమాయకుడి ముఖంపె యాసిడ పోశాను.
मैंने कहा कि	నేను అననది
मिस विलियमस, मेरे कुछ उसूल हैं, बस.	నాకు నా నియమాలు ఉననాయి, మిస విలియమస, అంతే.
तो आपके इन उसूलों में से	అయితే మీ ఆ నియమాలను,
फॉलआउट	ఫాలౌట
पलीज. मैं अचछी इंसान हूँ.	వదదు. వదదు, నేను మంచి మనిషిని.
और काम नहीं है?	నీ పని అయిపోయిందా?
सहिषणुता भी.	మన అదృషటం.
टाइटस, रुको.	టెటస, ఆగు.
मुझे कवच के लिए उसकी जरूरत है.	నాకు అది కవచం కోసం అవసరం.
अचछा?	అవునా?
पर पहले बता दूँ. सवाद अचछा नहीं है.	కానీ నినను హెచచరించాలి. రుచి గొపపగా ఉండదు.
वॉलट में कोई कुतता नहीं?	వాలటలో కుకకలు ఉండవా?
बेटटी?	బెటీ?
अचछा.	అలాగా.
- तीन? मेरे लिए भी है? - हाँ.	- మూడా? నా కోసం కూడా ఉందా? - అవును.
आते ही होंगे. वहां पर कया है?	ఆయన కాసేపటలో వసతారు. అకకడ అది చూడు.
सतह पर भगवान जाने कया चीज तुमहें तुरंत ही मार डालेगी.	నువవు ఉపరితలం మీద దేని చేతిలో దాదాపు చసతావో ఆ దేవుడికే తెలియాలి.
पर तुम लेवल 12 पर चली ही गईं.	కానీ లెవెల 12కు వెళలావు.
सैंडरा, हम घर आ गए.	శాండరా, ఇంటికి వచచేశాం.
काश, यह खतम हो जाए.	ఇది ముగియాలని నా కోరిక.
माफ करना, डॉगमीट, तुम वह नहीं हो.	కషమించు, డాగమీట, కానీ నువవు దానివి కాదు.
मुझे पता नहीं था कि शुरू के वॉलट वाले इतने अजीब थे.	ఇకకడి అసలు వాలట నివాసులు, చాలా విచితరంగా ఉననారని నాకు తెలియదు.
हाँ, मौत भी हो सकती है.	అవును, కొననిసారలు పరాణాంతకం.
इसे यहाँ नहीं छोड सकता.	నేను దీనిని అకకడ వదిలేయలేను.
तो मेरे साथ मेरे वॉलट में रहोगे?	నీకు వాలటకు వచచి నాతోపాటు బతకాలని ఉందా?
वॉलट चार में सवागत है.	వాలట 4కు సుసవాగతం.
सैंडरा, बाहर रुको.	శాండరా, బయట వేచి ఉండు.
हे भगवान!	ఓరి దేవుడా!
पर टाइटस,	కానీ, టెటస,
मेरे साथ.	నాతో కలిసి.
नॉरम, हम सभी कायर हैं.	మనమంతా అంతే, నారమ.
मिशन पलान के मुताबिक नहीं जा रहा.	మిషన అనుకుననటలు జరగడం లేదు.
इनके पूरवजों पर परयोग किए गए थे	పరయోగశాల ఎలుకలలా తిరుగుబాటు చేసే వరకు,
लोग गुससा हो जाते हैं.	జనాలకు పూరతి పిచచి పడుతుది.
हाँ. मेरी सवारी किसी भी पल आती ही होगी.	అవును. నా రెడ ఏ నిమిషంలోనెనా ఇకకడికి చేరుకోవాలి.
कोई रिकवेसट नहीं	అభయరథనలు వదదు
तुमने कया किया? उस लिफाफे में कया है?	నువవేం చేశావు? ఆ కవరలో ఏముంది?
वह अचछा इंसान है.	ఇంకా అతను మంచి మనిషి.
पर किसमतवाले हो, मेरे पास इलाज है.	కానీ నీ అదృషటం, కారణం నా దగగర చికితస ఉంది.
सही कहा, रूजवेलट.	నీ మాట నిజం, రూజవెలట.
- वाह, इस पर कुछ बात तो है. - हाँ.	- అబబో, దానిపె నిజంగా విషయం ఉంది. - అవును.
हमें बस वह सिर चाहिए.	మాకు తల కావాలంతే.
भौंकते बहुत हो, समझे?	నినను భరించడం కషటం, సరేనా?
लोग समझते नहीं हैं, ये असली रिकॉरडिंग हैं.	ఎవరూ మెచచుకోని విషయం ఏమిటంటే, ఇవి అసలెన రికారడింగలు.
जो भुखमरी की बात करती है.	అమమడంలో చాలా డబబు ఉండే ఉంటుంది.
देखा, इसमें छोटी खिडकी भी है.	చూడు. నీకు చినన కిటికీ, అననీ ఉననాయి.
भगवान. सकोप के बिना मेरा निशाना बेकार है.	దేవుడా. సకోప లేకుండా నేను దారుణం.
एक दशक से भी जयादा समय से अमेरिका संसाधनों की लडाई लड रहा है.	అమెరికా దశాబద కాలంగా వనరుల యుదధంలో కూరుకుపోయింది.
मैं बडी फैन हूँ.	మీకు పెదద అభిమానిని.
लेवल 12 से दूर रहें.	లెవెల 12కు దూరం.
उसे वीडियो दिखाना पडेगा.	ఆమె హోలోటేపను తపపకుండా చూడాలి.
ओवरसियर हॉथॉरन, आखिरी एंटरी.	పరయవేకషకుడు హాథోరన, ఆఖరి దశ పరవేశం.
यह तो. . .	అది. . .
ठीक है, अब जाने का समय आ गया है.	సరే, ఇక ఇపపుడు ఇది ముందుకు కొనసాగే సమయం.
कया?	ఏంటి?
हाँ.	ఉంది.
मुझे दो!	నాకు ఇవవు!
समीकषाकार.	విమరశలు.
इसे मुझे दो.	అది నాకు ఇచచెయ.
आगे बढो.	కొనసాగండి.
हैलो?	హలో?
हैलो?	హలో?
हैलो?	హలో?
हैलो?	హలో?
हैलो?	హలో?
उसी पागल पहाडी औरत तक, यानी मोलडेवर तक.	కొండలలో ఉనన అదే పిచచి మహిళ అయిన మాలడేవరకి ఇవవమని.
तुमहारे सबसे बडे बेटे का नाम कया बताया?	నీ పెదద కొడుకు పేరు ఏం చెపపావు?
वे हमारे जयादा करीब हैं	మనకు చాలా ఉమమడి విషయాలుననాయి,
वेलकम ओवरसियर लॉगिन	సుసవాగతం పరయవేకషకా లాగిన
थोडी मदद चाहिए!	కొంచెం సాయం కావాలి!
अगर तुम चाहो तो	ఇంకా నీకు కావాలంటే,
जब मैं अपना पूरा समय मौज करने वाला हूँ	నా పరసార సమయమంతా చిననదెనా సరే,
तबसे उसकी कोई खबर नहीं है.	అపపటి నుండి వాడి గురించి తెలియదు.
रेडियो देने के लिए धनयवाद.	రేడియోను వాడే అనుమతికి ధనయవాదాలు.
ठीक है. यह लो.	సరే. ఇదిగో.
तुम हमारे घर में हिंसा लाई हो, इसकी कीमत चुकानी होगी.	నువవు మా ఇంటికి హింసను కలిగించావు, ఇక ఇపపుడు నువవు మూలయం చెలలించాలి.
जैसे, तुम. तुमहारी मदद कर सकता हूँ.	సరేనా, ఉదాహరణకు నీకు. నీకు సాయం చేయాలని ఉంది.
धनयवाद!	కృతజఞతలు!
धनयवाद.	కృతజఞతలు.
इसे पढना थोडा मुशकिल था.	ఇది చదవడం కొంచె కషటంగా మారింది.
हमेशा बेहतर भविषय की ओर बढ रहा है.	నిరంతరం మెరుగెన భవిత వెపు వెళుతుందని అననారు.
आप उसे जानती हैं?	మా ఆవిడ మీకెలా తెలుసు?
कनेकशन जुड रहा है	కనెకషన ఏరపాటు చేసతోంది
हर एक को? तो अब आप कया हैं?	వాటిలో అననింటినీనా? అయితే, మీరేంటి?
तुमहें पता नहीं इससे तुमहारा अपराध कम नहीं होता.	నీ అజఞానం మీ కరూరతవానికి సాకు కాబోదు.
केपीएसएस में हमेशा की तरह यह हफता भी वायलिन का है.	ఇకకడ కేపీఎసఎసలో చాలా వారాల మాదిరిగానే, ఈ వారం ఫిడేలు వారంగా ఉంది.
तो अचछी और बुरी दवा का फरक लोगों को पता नहीं होता.	హానికరమెన వాటికి, నిరపాయమెన వాటి మధయ వయతయాసం చాలా మందికి తెలియదు.
मैं रोकता हूँ. तुम लोग भाग सकोगे.	వాళలను ఆపుతాను. నీకు పారిపోయే సమయం ఉంటుంది.
रूफस ने टॉमी को काफी ढककन भेजे थे किसी कूरियर को देने के लिए	"ఎంకలేవ ఫిరాయింపుదారుని సురకషితమెన రవాణా కోసం"
{\an8}इसलिए हम तुमहें दो हफते का राशन दे रहे हैं.	{\an8}అందుకే నీతో తీసుకువెళలడానికి రెండు వారాల సరుకులు ఇసతుననాం.
वह यहीं रह सकेगा?	అతను ఉండవచచా?
तुम फयूजन कोर लौटाना चाहती हो	మీ నానన దొరకడని తెలిసతే వారి ఫయూజన కోర
वीडियो में जिसे दिखाया था, वह मेरे परनाना थे.	వీడియోలోని ఆ జీవి, నిజానికి మా అమమ వెపు నా పెదద మామయయ పీటర.
वेसटलैंड बुरी जगह है.	బంజరునేల దారుణం.
वह मिड-रेंज था, है न?	అది మిడస, అవునా?
तो तुम जो कुछ कह रही हो, मतलब. . .	అందుకే నువవు చెబుతుననవననీ, తెలుసుగా, అదీ. . .
अरे, यार.	అబబా, ఊరుకో.
वॉलट 33 में कौन-सा परयोग था?	మరి 33లో పరయోగం ఏంటి?
इस जगह जैसी.	ఇలాంటిది.
चलो.	పద.
यहाँ बैठो, बेटे.	కూరచో, బాబూ.
धतत.	ఛత.
तुम कायर हो. पता है न, चेट?	నువవు పిరికిపందవి. ఒకటి తెలుసా, చెట?
भलाई का तो जमाना ही नहीं है.	జనాలు మంచిగా ఉండలేరు.
हैलो	హలో
ओवरसियर बेटटी आज वॉलट असाइनमेंट जारी करेंगी.	పరయవేకషకురాలు బెటీ నేడు కాసేపటలో వాలట అసెనమెంటలను పంపుతారు.
फयूजन कोर के बिना	సరే, ఫయూజర కోర లేకపోతే,
अब बस चले जाओ.	ఇక మమమలని వదిలేసెయ.
मुझे नहीं जाना. मुझे. . .	నేను వెళలను. నేను. . . వెళలను. . .
- यह कया है? - तुमहारा इतिहास.	- ఏమిటిది? - మీ చరితర.
उनके पास कुछ ही दिन की बिजली है. फिर. . .	వాళలు అనుబంధ శకతి కొనని రోజులు మాతరమే ఉంటుంది. ఇంకా. . .
उनका दिल टूट जाएगा.	అది ఆయన మనసు విరిచేసతుంది.
तू सवारथी है, पता भी है?	అది నిజానికి చాలా సవారథం, తెలుసా?
मुझे सही दवा दो.	నాకు సరెనది ఇవవు చాలు.
ठीक है. . .	సరే. . .
और हमें घोषणा करते हुए खुशी है कि	మేము గరవంగా పరకటిసతుననాం
कैसी हो?	ఎలా ఉననావు?
कि वे दुनिया को कैसे बचाएँगे.	తాము పరపంచానని కాపాడడం గురించిన ఉపాయాలు.
कहीं रूफस तो नहीं?	అది రూఫస కదా?
बस हो ही गया.	దాదాపు అయిపోయింది.
हाँ. कभी-कभी.	అవును. కొననిసారలు.
आप चाहे जहाँ के हों, जो कुछ भी मानते हों.	మీరు ఎకకడ నుండి వచచారో లేదా ఏం నమముతుననారో పటటింపు ఉండదు.
आप लोगों की बडी मेहरबानी है.	అది మీ చాలా మంచితనం.
सब गडबड हो गया.	అది మంచిగా ముగియలేదు.
डैडी कहाँ हैं?	నానన ఎకకడ?
यह तो. . . हाँ.	అది, అంటే. . . అవును.
मजे की जिंदगी है.	ఎపపుడూ ఏదో ఒకటి ఉంటుంది.
डिबबाबंद टूना है.	మాకు డబబా టయూనా ఉంటుంది.
ऐसा नहीं कर सकती.	నా వలల కాదు.
यह सवारी है?	హే, ఇది నీ కోసమా?
मैं. . . समझी नहीं.	నాకు. . . నాకు అరథం కాలేదు.
बाप रे.	ఓరి నాయనో.
धनयवाद.	ధనయవాదాలు.
धनयवाद.	ధనయవాదాలు.
मेरा बडा बेटा कहीं चला गया है.	నాకో పెదద కొడుకు ఉండేవాడు, తను వెళలిపోయాడు.
पता लगाएँगे किसने किया.	దాని వెనుక ఎవరో మనం తెలుసుకుందాం.
इसे लौटाना ही सही काम है.	అది తిరిగి ఇవవడమే చేయాలసిన సరెన పని.
तो मैं चला जाऊँगा.	నేను నా దారిన వెళలిపోతాను.
माफ करना.	ననను కషమించు.
पता नहीं.	మాకు తెలియదు.
उसे छोड दो!	ఆమెను వదిలేయండి!
लोगों को बतियाने के लिए कुछ न कुछ चाहिए होता है.	జనాలకు సోది కోసం ఏదో ఒకటి కావాలి.
वह अचछी और सुरकषित जगह का हकदार है.	అతనికి ఎకకడెనా మంచి, సురకషిత చోటులో ఉండే అరహత ఉంది.
संवाद अनुवादक कमलेश ढवले	సబటెటిల అనువాద కరత కృషణమోహన తంగిరాల
यह मेरी दवा सब ठीक कर देती है,	నేను కలపించిన ఈ అమృతం అననిటినీ నయం చేసతుంది,
उनके चेहरे देखने लायक होंगे जब वे हमें	నేను లకషయంతో పాటు మనం తిరిగి వెళలాక అందరి మొహాలు చూడాలని
बात जब दवाओं की हो,	సరే, దరావకాల విషయానికి వసతే,
ठीक है. बस एक मिनट.	సరే. నేను ఓ నిమిషంలో వసతాను.
पुराने वायलिन वादकों के संगीत का.	జానపద, తెగువ గల శబదాలను ఆసవాదించమని పరోతసహిసతాను.
हम ऐसी तकनीक बना रहे थे जिसे बेचना कठिन है.	డబబు గడించడం కషటంగా ఉండే ఓ రకమెన సాంకేతికతను అభివృదధి చేసతుననాం.
माफ कीजिए.	ననను కషమించండి.
वह ऐसा नहीं करेगा.	అతనలా చేయడు.
कोई माँग नहीं करनी चाहिए, पर. . .	నాకు తెలుసు, కానీ. . .
हाँ.	అవును.
बस पोसटकारड भेज दें.	ఒక సాధారణ పోసటకారడ సరిపోతుంది.
माफ करें!	ఏమండీ!
कया हुआ?	ఏం జరిగింది?
हाँ.	అవును.
हाँ.	అవును.
हाँ.	అవును.
हाँ.	అవును.
ऐसा मत करना.	నేనయితే అలా చేయను.
मरहम-पटटी की, खाना-पानी दिया.	నీ గాయాలను మానపాము, నీకు తిండి, నీరు ఇచచాము.
शेडी सैंडस नाम के शहर के पास.	అది షేడీ శాండస అని పిలిచే పటటణానికి చేరువలో.
आज आपको कया करना है, ओवरसियर 33?	మీరు ఇవాళ ఏం చేయాలని అనుకుంటుననారు, 33 పరయవేకషకా?
तो आराम से बैठ जाएँ और मजे लें	అందుకే, హాయిగా కూరచుని, ఫిడేలు పాత వాయిదయకారుల
- हाँ. - हाँ.	- అవునవును. - అవును.
लोडिंग. . .	లోడ అవుతోంది. . .
हाँ, अचछा लग रहा है.	అవును, అది బాగా నచచింది. అవును.
यह सिर अब मेरा है.	కంపు కొటటే బురర ఇపపుడు నాదే.
और मौतें.	మరినని మరణాలు.
यह एक माइक है.	ఇది ఓ వినికిడి పరికరం.
पर यह मेरा है.	ఒకటి తెలుసా, ఇది నాది.
जब तक. . .	ఇది కాకపోతే. . .
वह मुझे धमकी दे रहा था,	ననను బెదిరిసతుంటే, తనను కాపాడే బదులు,
नहीं, अचछा लगा आप मि. हॉवरड को साथ लाए.	లేదు, మీరు ఇవాళ మి. హోవారడని తీసుకువచచినందుకు నాకు చాలా సంతోషం.
सटेफनी हारपर.	సటెఫనీ హారపర ఉంటుంది.
यह अचछा सौदा है.	అది చెడడ మారపిడి ఏమీ కాదు.
मुझे छोडो. मैं. . .	ననను వదలండి. నేనలా చేయలేదు. . .
पर यहाँ जो भी नतीजे मिलें,	కానీ ఇకకడ మాకు ఫలితాలు వచచినా, శాసతరవేతతలచే
पर आज,	కానీ ఇవాళ,
इसे सतह पर छोड दो!	ఉపరితలంపెకి బహిషకరించడం దవారా!
मेरे साथ आओ.	నువవు నాతో రావాలిగా.
तो संगीत का मजा लेते हैं.	దానితో మీకు చెపపేది, ఫిడేలును ఆసవాదించండి.
हरे रंग की दवा मजे करा सकती है	పచచని మురికి దరావకం శరీరంలోని దరవాలకు సాయం చేయగలదు,
- बुरी बात है. - बिलकुल.	- అది కొంచెం బాధాకరమని అంటాను. - పూరతిగా.
शायद यहाँ की धूप, या मिलनसार लोग.	బహుశా ఇది సూరయకాంతి కావచచు, బహుశా సనేహపూరవక పరజలు కావచచు.
ये मेरे आखिरी शबद हैं.	నేను అంగీకరించకపోవటం అహేతుకం అవుతుంది.
मेरे पास ऐसी दवाएँ हैं	మీలాంటి సంచరించే పరయాణీకులకు సరిపోయేలా
अपने भाई की मौत का?	చేసినదానికి ననను కాలచాలనుకుంటావా?
ठीक है.	సరే.
धतत.	అబబా ఛ.
फिर कया?	ఆ తరువాత ఏంటి?
ठीक है.	సరే.
ठीक है.	సరే.
धतत.	అబబా ఛ.
माइक? आप कया. . .	వినికిడి పరికరమా? మీరనేది. . .
जरा देखें कया मामला है.	బాగా గాయాలు అయిన నీ పాదానని ఓసారి చూదదాం.
यह जरूर कहूँगी	నేను నిజాయితీగా చెపపగలను,
मुझे कया चाहिए?	నాకేం కావాలి, నాకేం కావాలి?
हे भगवान.	అయయో.
एक निशानी के तौर पर.	ఓ బహుమతిగా.
हाँ, पर. . .	అంటే, అవును, కానీ. . .
मुझे नहीं जाना है.	నేను వెళలను. నేను వెళలను. వెళలను.
लोड हो रहा है. . .	31 పరయవేకషకునికి సందేశం పంపుతోంది
राज खुल गया?	మీ చోటు పరమాదంలో ఉందా?
मतलब, सब कुछ.	నా ఉదదేశయం అననిటినీ అని.
बेटे, बस उसे बता दो.	అతనికి చెపపెయ, బాబూ. చెపపేయమంటుననాను.
कैसांडरा!	కసాండరా! కసాండరా!
टारगेट के साथ लौटता देखेंगे.	ఉతసాహంగా ఉంది.
धनयवाद.	హే, ధనయవాదాలు.
धतत.	అబబా. ఛ.
कूप. चलो.	కూప. కూప. ఊరుకోండి.
कोई इसे देखो.	ఎవరెనా అతనికి ఏమెందో చూడాలి.
वही समाज आदरश है.	నేను పునరుదఘాటించాలని కోరుకుంటుననాను.
नहीं.	లేదు. లేదు.
आना मना है	సందరశకులకు అనుమతి లేదు
आऊँगा.	నేనలా చేసతాను.
सच?	నిజంగానా?
जरूर.	అవును, కచచితంగా.
नहीं!	లేదు! లేదు! లేదు!
ऐसा?	అలా అనుకుంటావా?
माफ करना. अजीब बात हुई.	మననించాలి. మననించాలి.
