तुम कौन हो?	ఎవరు నువవు?
सही. विमान के पायलट से बात हुई थी.	నిజం. విమానం వారితో మాటలాడాను.
इसने कया किया है?	ఆమె ఏం చేసింది?
सब कुछ ले लिया?	అననీ తీసుకుననావా?
शुरू में सनैकस. . . सीफूड. . .	సటారటరలు. . . అనని రకాల సీఫుడ. . .
हो सकता है कोई उससे झूठ बुलवा रहा हो.	బహుశా ఎవరెనా అతనితో అబదధం చెపపించి ఉండచచు.
- और उसके लिए लडना वाजिब है. . . - वाजिब है.	- ఆమె కోసం పోరాడవచచంటే. . . - అందుకు ఆమె అరహురాలు.
देखो, तुमने हर किसी को अपनी मरजी से बिठाया है, सिवाय उसके.	చూడు, అందరూ ఎవరు ఎకకడ ఉండాలో అకకడ ఉననారు, అతను తపప.
हाँ? अचछा, अंदर जाओ. जाओ अंदर. अंदर.	సరేనా? సరే, లోపలికి వెళలు. లోపలికి వెళలు.
- तुम मेरी बात सुन रही हो? - हाँ. देखो. . .	- నువవు ఇంకా లెన లోనే ఉననావా? - ఉననాను. చూడు. . .
मैं कहीं नहीं जाऊँगा! मुझे छोडो, छोडो मुझे!	నేను కదలను! నా మీద చేతులు తీయండి, దూరంగా వెళలండి!
तो आज सुबह सब कुछ बहुत अचछा नहीं चल रहा है.	కాబటటి ఈ ఉదయం నుంచి మేము చాలా గందరగోళంగానే ఉననాం.
और गंतवयों की सूचना यहाँ है.	ఇంకా పరోగరామ గమయాలు ఇకకడ ఉననాయి.
शुकरिया.	థాంకయూ.
शुकरिया.	థాంకయూ.
हे, सब ठीक हो जाएगा, ठीक है?	హేయ, అంతా బాగానే ఉంటుంది, సరేనా?
मेरी बात कैपटन से हो रही है?	నేను కెపటెన తోనే మాటలాడుతుననానా?
- आप कैपटन हैं? - जी.	- మీరు కెపటెనా? - అవును.
तुमहारे लिए एक लगभग आपातकालीन फलाइट आई थी.	నీకు ఒకటి మాతరం దాదాపుగా ఎమరజెనసీ పరిసథితి ఉంది.
उसे यह सोचने पर मजबूर किया कि वह खतरे में था जबकि जाहिर है वह खतरे में नहीं था.	పరమాదంలో లేకపోయినా అనవసరంగా తనని ఆందోళన పడేలా చేసినందుకు కోపంగా ఉంది.
वह तुम लोगों का सरदार, कया नाम है उसका?	ఆ మనిషి, ఆ ఇనఛారజ, అతని పేరు ఏంటి?
अगर सब कुछ ठीक हो चुका था, तो दूसरे कॉलर ने और मैसेज कयों नहीं भेजे?	ఆ సమసయ పరిషకారం అయిపోయినపపుడు, రెండో కాలర మరినని మెసేజ లు ఎందుకు పంపలేకపోయాడు?
{\an8}पायलट एलेन, पलीज अपनी जनमतिथि बताएँ, यह सुरकषा सवाल है.	{\an8}పెలెట అలెన, దయచేసి మీ పుటటినరోజు, సెకయూరిటీ పరశనని ఖరారు చేయండి.
बॉबस. - एलिस?	- బాబస. - ఆలిస?
मैं तुमहें झींगा मछली खिलाऊँगा. ठीक है?	నీకు ఎండరకాయల వంటకానని విందుగా ఇసతాను. సరేనా?
कोशिश की और तुम में से किसी ने गोली चला दी, तो फिर यह विमान नहीं बचेगा.	మీలో ఎవరెనా వాళలలో ఒకకరిని ఎదురకోలేకపోయినా, అపపుడు ఈ మొతతం విమానం నేల కూలిపోతుంది.
- विमान सुरकषित है. - हाँ. अभी, यह सुरकषित है, हाँ.	- విమానం భదరంగా ఉంది. - సరే. పరసతుతానికి, భదరంగా ఉంది, సరే.
कयोंकि मैं यह सुनिशचित करूँगी कि हमारा रिशता उनसे बेहतर हो.	ఎందుకంటే ఆమె ననను ఎకకువ గౌరవించాలని కోరుకుంటుననాను.
वह झूठ कयों बोलेगा?	ఎందుకు అబదధం చెబుతాడు?
मेरा हाथ छोडो. मत करो.	నా చేయి వదులు. ఆపు.
गेम सेंटर अभी खेलें	గేమ సెంటర ఇపపుడు ఆడండి
मुददे की बात यह है,	ముఖయమెన విషయం ఏమిటంటే,
एक आया को बुला लेंगे. . .	బిడడని చూసుకునే మంచి ఆయా. . .
वैसे, कहा तो उसने यही था.	అవును, ఆమె అదే చెపపింది, మరి.
जो भी पिछले पाँच मिनटों में हुआ, वैसा कुछ बरदाशत नहीं किया जाएगा.	కొదది నిమిషాల కిందట జరిగిన సంఘటనలు లాంటివి ఇకపె సహించము.
- यहाँ के परभारी आप हैं, हाँ? - हाँ.	- ఇకకడ ఇనఛారజ నువవేనా? - అవును.
फिर तुमने उनहें देखा? उन आदमियों को?	వాళలని నువవు చూశావా? ఆ మగాళలని?
- साइमन? - तुम इसमें कयों पड रही हो?	- సెమన? - నీకు ఎందుకొచచిన తంటా?
देखो, तुमहारे सहकरमियों में से कोई तो होगा जो. . .	చూడు, నీకు తెలిసిన వాళలు ఎవరెనా ఉండచచు. . .
लेकिन दूसरी लाइन. उनसे कहो नजदीक से दिखाएँ, पलीज.	కానీ మరొక రూట. అతడిని మరింత దగగరగా చూపించమని అడుగు, పలీజ.
ठीक है, हम सकवाक कॉड 4625 के साथ लंदन, हीथरो के लिए आगे बढ रहे हैं.	సరే, మేము 4625తో సంపరదింపులు జరుపుతూ లండన, హీతరో విమానాశరయానికి పరయాణిసతుననాం.
चेहरा सामने!	ముందుకు కూరచో!
किसी ऐसे इंसान को सुबह सात बजे	దాదాపు ఐదు యేళలుగా అసలు కలవని వయకతి
आप कह सकते हैं. कभी भी कह सकते हैं.	మీరు అడగవచచు. ఎపపుడెనా అడగచచు.
देखिए?	చూశారా?
- बैठ जाओ. - उसे इसका जवाब देना होगा. उसे.	- కూరచో. - అతను జవాబు చెపపాలి. అతను.
बहुत हो गया. यहाँ आओ.	నువవు. ఇకకడికి రా.
पायलट एलेन, पलीज इस बात की पुषटि करें कि आप सुरकषित हैं और आपको कोई मदद नहीं चाहिए.	పెలెట అలెన, మీరు కషేమంగా ఉననారని ఎలాంటి సహాయం అవసరం లేదని ఖరారు చేయండి.
इनकी हालत बहुत खराब है. मुझे बस इनके लिए थोडा और सामान ले आने दो.	ఈమె పరిసథితి మరీ ఘోరంగా ఉంది. నేను. . . నేను తనకి కొనని మందులు తెచచి ఇసతాను.
खास तौर पर तुमहारे और मेरे बीच जो. . . उसके बाद.	నీకు, నాకు మధయ ఇంత జరిగాక కూడా. . . చూడు.
हाँ, फलाइट नंबर बताओ, डैनियल.	సరే, విమానం నెంబరు చెపపు, డానియెల.
विमान मेरे विभाग में नहीं आते हैं.	విమానాలు నా డిపారటుమెంట కాదు.
यह ठीक है. - यह ठीक नहीं हैं.	- ఆమె బాగానే ఉంది. - తను బాగాలేదు.
किंगडम 2-9 से कोई जवाब नहीं आ रहा था. वे अपनी पहचान नहीं बता रहे थे.	కింగడమ 2-9 సపందించడం లేదు. వాళలు గురతింపు కూడా ఇవవడం లేదు.
तुम मुझसे कया चाहते हो?	ననను నువవు ఏం అడుగుతుననావు?
मैंने अभी तुमसे कया कहा था?	నేను ఇపపుడే ఏం చెపపాను?
और कोई मदद माँग रहा है.	ఇంకా ఎవరో సాయం కోరుతుననారు.
मुझ पर एक इनायत करो. मेरे लिए पीछे बाथरूम में चले जाओ.	నాకు ఒక సాయం చేయి. వెనుకకి బాత రూమ లోకి వెళలు.
और वह परेशान था और घबरा रहा था और फिर तुमने उसे एक हरी टोपी दी.	ఆయన ఆందోళనగా కంగారుగా కనిపించాడు ఆ తరువాత నువవు అతనికి ఆకుపచచ టోపీ ఇచచావు.
- पहले कया कहा था? - कि मेरा अपेंडिकस निकलवाया है.	- ఇంతకుముందు ఏం చెపపాను? - నాకు అపెండికస ఆపరేషన అయిందని.
यह मेरे लिए नहीं है.	అది నా కోసం కాదు.
मेरी गरलफरेंड ने उसे तभी वापस मैसेज किया, लेकिन वह मैसेज पहुँच नहीं पाया.	ఆమె వెంటనే సమాధానంగా మెసేజ చేసింది కానీ, అది ఆ ఫోన కి అందలేదు.
{\an8}मैं फलाइट से वापस आ रहा हूँ. खेल खेलना बंद करो.	{\an8}నేను విమానంలో తిరిగి వసతుననా. ఆటల ఆడకు.
मुझे दिखाओ.	నాకు చూపించు.
तुमहें लगता है कि. . .	నువవు ఏం అనుకుంటావంటే. . .
लेकिन किसी ने इसे बदलकर 323 डिगरी कर दिया है.	కానీ ఎవరో దానిని 323 డిగరీలకి మారచారు.
नहीं. शुकरिया. मैं चला जाता हूँ.	వదదు, థాంకయూ. నేనే వెళతాను.
देखो, मेरे लिए. . .	చూడు, ఈ జనం. . .
कि कुछ गडबड है कयोंकि इसे लगता है यह सब रुक जाएगा,	ఎందుకంటే ఇదంతా ముగిసిపోతుంది అనుకుంటుననాడు
तो वह इस बंदे के कुछ कहने या करने की इतनी परवाह कयों करती है?	ఏం చేసినా ఆమె అంతగా పటటించుకుంటోంది అంటే నువవు ఏం అనుకుంటుననావు?
2डी: जमीन पर मौजूद लोग कया जानते हैं?	2డి: గరౌండ కి ఎంత సమాచారం ఉంది?
- तो, इस बारे में दो फोन आए थे? - माफ करना?	- అయితే, రెండు కాలస జరిగాయా? - ఏంటి?
यह देखो, ऑटोपायलट, एपी1, शुरू हो चुका है.	మీరు చూసతే గనుక, ఆ ఆటోపెలెట, ఎపి1 అమలులో ఉంటుంది.
"सैम नेलसन. " - हाँ.	- "సామ నెలసన. " - అవును.
केए 29	కెఎ29
मेरा हाथ दुख रहा है.	నా చేయి నొపపి పెడుతోంది.
बैठो.	కూరచో.
- तुमने गोली की आवाज सुनी? - नहीं, मैंने बस सुना कि ऐसा हुआ.	- గన పేలడం విననావా? - లేదు, అది జరిగిందని విననాను.
नीला, हाँ.	నీలా, అవును.
हे, जब तुमने कहा था, मतलब. . .	హేయ, నువవు అలా అననపపుడు, తెలుసా. . .
फिर उसने कहा वह उससे कितना पयार करता है. और वह हमेशा उससे पयार करता रहेगा.	తరువాత అతను ఆమెని ఎంతగా పరేమిసతుననాడో చెపపాడు. అతను ఎలా ఎపపటికీ ఆమెని పరేమిసతాడో చెపపాడు.
विमान पर सवार कोई इंसान यूके को फोन करता है,	ఎవరో ఆ విమానంలో ఉననవారు యునెటెడ కింగడమ కి ఫోన చేశారు,
तुम नहीं जाओगे, तो हम सब मारे जाएँगे. . .	నువవు రాకపోతే మనమంతా చనిపోతాం. . .
{\an8}अपने परतिदवंदवी से बातें करें	{\an8}మీ పరతయరథితో చాట చేయండి
मेरी गरलफरेंड तुमहारी बहुत शुकरगुजार है.	నా గరల ఫరెండ చాలా కృతజఞతలు చెపపింది.
तुमहें लगता है अगर वह जिंदगी में आगे बढ चुकी थी,	పరేమ బంధం వదిలి వెళలిపోయిన మనిషి గురించి, అతను ఏం చెపపినా,
"मेरी दुनिया हिला दो. "	ననను పటటుకో చూదదాం.
आपने यह पहले भी कहा था.	ఇంతకుముందు చెపపావు.
मुझे वहाँ आने के लिए मजबूर मत करो, बचचे.	నేను అకకడికి వచచేలా చేయకు, మిసటర.
अब इस पर सखती से नजर रखी जाती है.	ఇపపుడు వాటిని చాలా కషుణణంగా గమనిసతుననాం.
यह कि तुम पता लगाओ कि सब ठीक तो है.	సరే, అది అంతా సవయంగా ఉందో లేదో చూడాలి.
कया कहा तुमने?	నువవు ఏం చెపపావు?
तुमहारी सुबह अचछी नहीं बीत रही है.	కేవలం నీ ఉదయం సరిగగా లేదంతే.
यह यहीं रहेगी.	ఈమె ఇకకడ ఉంటుంది.
फिर दूसरे कॉलर ने यह बात भी कयों नहीं कही?	అయితే మరి ఆ రెండో కాలర కూడా అదే మాట ఎందుకు చెపపాడు?
और दूसरी लाइन पर?	మరి ఇంకొక లెన?
वह गलत कैसे हो सकता है?	అతను తపపుగా ఎందుకు చెబుతాడు?
तो आपने कुछ भी संदिगध नहीं देखा?	అయితే ఏదెనా అనుమానాసపదంగా ఉండటం చూశారా?
किंगडम 2-9, कंटरोल से बोल रहा हूँ, आप सुन रहे हैं?	కింగడమ 2-9, మేము కంటరోల, మీరు వింటుననారా?
कया बात है.	మంచి పాట.
ऐसा लोग कह रहे थे.	జనం అదే అనుకుంటుననారు.
लो, अब बताओ. - हे!	- సరిగగా, ఇకకడ. - హేయ!
अभी तो तुमहें नहीं चाहिए, लेकिन अगर दोबारा कुछ गलत हुआ तो?	సరే, ఇపపటికి మీకు అవసరం లేదు, కానీ మళలీ అంతా గందరగోళం అయితే ఏం చేసతారు?
वहाँ एक आदमी है जो जाकर उनसे मिल गया है.	అకకడ ఒక మనిషి ఉననాడు, అతను వాళల పకషం వెళలిపోయాడు.
नीचे की तरफ वह किंगडम.	ఆ అడుగున ఉనన కింగడమ విమానం.
- जयादा से जयादा पंदरह मिनट. - हाँ?	- అవునా? - మరీ ఆలసయం అంటే పదిహేను నిమిషాలు.
आप बाहर जा रही हैं जैसे कुछ हुआ ही नहीं है?	ఏమీ జరగనటలే నువవు బయటకి వెళతుననావా?
किंगडम एयरलाइंस जी-केएनडीएम - केए29	కింగడమ ఎయిర లెనస జి-కె. ఎన. డి. ఎమ. - కెఎ29
लुफथैनजा, 958, दाएँ मुडें.	లుఫతాంసా, 958, కుడి వెపు మళలాలి.
फोन नहीं करना चाहिए, जिसे आपने लगभग, कितने, पाँच सालों से ना देखा हो?	ఉదయం ఏడు గంటలకు ఫోన చేయడం అంటే, చాలా తవరగా చేసినటలు కదా?
हाँ, नहीं, हमने दुबई से दो बार पता किया था,	అవును, లేదు, మేము దుబాయ తో రెండుసారలు చెక చేసుకుననాం,
फातिमा. मैं तुमहें वापस फोन करता हूँ.	ఫాతిమా. నేను మళలీ ఫోన చేసతాను.
बंदूक! बंदूक कहाँ है?	గన! గన ఎకకడ ఉంది?
देखो, डैनियल, अगर मैं तुमहारी जगह होती, ठीक है,	చూడు, డానియెల. నాదే పొరపాటు అంటే, సరే,
- पायलटों की? - बरिटिश लोगों की. भावनाहीन.	- పెలెటలా? - బరిటీష పరజలు. వాళలకి భావోదవేగాలు శూనయం.
हमने कई बार कोशिश की.	మేము చాలాసారలు పరయతనించాం.
कया यह तय रासता है? हाँ, यह ठीक है और यह रासता	అది ఎపపుడూ వెళలే మారగమేనా? అవును, అది ఫరవాలేదు, అనుకుంటా,
माफ करना, मेरा वह मतलब नहीं था.	సారీ, నా ఉదదేశం అది కాదు.
उसकी शिफट खतम हो गई होगी.	బహుశా ఆమె షిఫటు అయిపోయి ఉండచచు.
इसमें तीन डिगरी का विचलन है. इसे 320 डिगरी पर जाना था,	ఇకకడ మూడు డిగరీల మారపు ఉంది. అది మామూలుగా 320 డిగరీల మారగంలో ఉండాలి
यह सब बकवास शुरू करने का आइडिया किसका था?	మా మీద దాడి చేయాలనన ఆలోచన ఎవరిది?
केए29 जी-केएनडीएम रासता 323 डिगरी	కెఎ29 జి-కె. ఎన. డి. ఎమ. టరాక 323 డిగరీలు
देख कया रहे हो, उसे लेकर आओ. उसे यहाँ लेकर आओ.	ఆమెని తీసుకురావాలి, తపపదు. ఆమెని ఇకకడికి తీసుకురా.
कयोंकि इसे लगता है यह सब रुक जाएगा. कया तुम उसे बताओगे, पलीज?	ఎందుకంటే ఇదంతా ఆగిపోతుందని అతను అనుకుంటుననాడు. దయచేసి అతనికి చెపపగలరా, పలీజ?
इसे वापस इसकी सीट पर ले जाओ.	ఇతనిని తన సీటు దగగరకి తీసుకువెళలు.
चुप रहो.	నోరు మూయి.
चुप करो.	నోరు మూయి.
हाँ.	ఉంది.
हाँ. बरिटिश लोगों का फोन था.	అవును. బరిటీష వాళలు ఫోన చేసతుననారు.
अससलामु अलैकुम.	సలామ ఆలేకుమ.
वालैकुम अससलाम.	ఆలేకుమ సలామ.
वह सब एक गलतफहमी थी.	ఏదో పొరపాటుగా అనుకుననారు.
तुमहें कैसे पता?	అది నీకు ఎలా తెలుసు?
उसे लेकर आओ.	ఆమెని తీసుకురా.
और इसमें गलत कया है?	కానీ అందులో తపపు ఏం ఉంది?
दाल में कुछ काला है.	ఏదో తేడాగా ఉననటలుగా ఉంది.
और अगर यह नहीं है, तो मैं. . . मतलब, ऐसा कोई हो जो. . .	అది తీవరవాద చరయ కాకపోతే, నేను. . . చూడు, బహుశా ఎవరెనా అయి ఉండచచు. . .
कया मैं फुटेज देखने के लिए कह सकता हूँ?	ఆ ఫుటేజ చూడటానికి నినను అడగచచా?
आपकी दोसत नीला, आप सही कह रहे थे, वह जलदी चली गई थी. उसने कहा था वह बीमार है.	మీ ఫరెండ నీలా విషయంలో, మీరు చెపపినటలే జరిగింది, ఆమె తవరగా వెళలిపోయింది. ఒంటలో బాగాలేదని చెపపింది.
- मेरी मदद करोगे? - तुम मुझे मजबूर नहीं कर सकते.	- సాయం చేసతావా? - ననను బలవంతం చేయలేవు.
हैलो, सेनिल बोल रहा हूँ.	హలో, నేను సెనిల ని.
तुमहारी बकवास में किसी को दिलचसपी नहीं है.	నీ చెతత వాగుడు వినే ఆసకతి ఎవరికీ లేదు.
मतलब, जो किसी ऐसे इंसान को जानता हो जो. . .	చూడు, అది ఎవరో ఎలా తెలుసతుంది. . .
सुनो, अगर पहले ही घंटे में सब कुछ गलत हो रहा है,	చూడు, మొదటి గంటలోనే ఇంత గందరగోళం జరిగితే,
अपनी आवाज नीची रखो.	చిననగా మాటలాడు.
नटालिया बोल रही हूँ. हवाई अडडा सुरकषा विभाग से.	నా పేరు నటాలియా. ఎయిర పోరట సెకయూరిటీ.
किंगडम 2-9? तुमहें ऐसा फोन आया था कि उस पर कुछ मुसीबत हुई है?	కింగడమ 2-9? ఏదో పరిసథితి ఉందని నీకు ఫోన వచచిందా?
संदेश मारशा	మెసేజ లు మారషా
वह फलाइट मत लो. मैं विमान में बैठ चुका हूँ	ఆ విమానం ఎకకకు. చాలా ఆలసయం అయింది
अब एकदम आगे पहुँच जाओ.	ఇపపుడు ముందు భాగానికి వెళలు.
तुमहें उसे वहाँ से बाहर निकालना होगा.	అతడిని అకకడి నుండి తపపించాలి.
हो सकता है उसे धमकाया गया हो.	అతడిని బెదిరించి ఉండచచు.
किंगडम 2-9, मैं बगदाद कंटरोल से बोल रहा हूँ, आप सुन रहे हैं?	కింగడమ 2-9, ఇది బాగదాద కంటరోల, మీరు వింటుననారా?
बात करना बंद करो, दोसत.	మాటలు ఆపు, మితరమా.
मैं घर जा रहा हूँ.	నేను ఇంటికి వెళతుననాను.
आप रॉबिन एलेन हैं?	మీ పేరు రాబిన అలెన కదా?
मैं बस एक मिनट के लिए बाथरूम गया था.	నేను ఇపపుడే బాత రూమ కి ఒక నిమిషం వెళలి వచచాను.
पाँच मिनट का मतलब पाँच मिनट कब होगा?	ఐదు నిమిషాలు అంటే ఐదు నిమిషాలు అనే మాట ఏమెంది?
एक बजकर छह मिनट से पहले तो नहीं.	13: 06 గంటలకు అది చేరాలి.
कंटरोल, यह बीए9850 विमान है और हम उडान भरने की अनुमति चाहते हैं.	కంటరోల, ఇది బిఎ9850, టేకాఫ కోసం అనుమతి కోరుతుననాం.
वह भी इस बारे में गलत था?	అతను కూడా పొరపాటు పడడాడు అంటావా?
- पयार तुमहें. बाय-बाय. - बाय, पयार आपको!	- లవ యూ. బె బె. - గుడ బె. లవ యూ!
हिलना मत!	కదలదదు!
- मेरी बात सुनो. - तुमहें कैसे पता?	- నేను చెపపేది వినండి. - అది నీకు ఎలా తెలుసు?
कैपटन रॉबिन एलेन हैं?	కెపటెన పేరు రాబిన అలెన కదా?
हे भगवान.	దేవుడా.
लेकिन, अब सब ठीक है. पायलट ने कहा कि वे बिना वजह डर गए थे.	అంతా ఇపపుడు పరిషకారం అయిందనుకో. అది తపపుడు హెచచరిక అని పెలెట చెపపాడు.
वही विमान जो बिना वजह डर गया था?	దొంగ కేకలు పెటటిన కురరాడి గురించా?
अचछा. विमान को ऑटोपायलट पर करो.	అవును. ఆటోపెలెట లో ఉంచు.
इनका बहुत खून बह रहा है.	ఆమెకు పాపం చాలా రకతం కారుతోంది.
किसी वजह से, वाईफाई बंद था?	ఏదో కారణం వలల వె-ఫె పని చేయడం లేదా?
किंगडम फलाइट के बारे में बात हो रही थी?	ఆ ఫోన కింగడమ విమానం గురించేనా?
कैपटन एलेन से मेरी बात करवाइए.	నేను కెపటెన అలెన తో ఖచచితంగా మాటలాడాలి.
तुम कॉकपिट में जाओ और उनसे कहो	నువవు ఏం చేయాలంటే కాక పిట లోపలికి వెళలి
- कया यह सही कह रहा है? बोलो? - नहीं, वह झूठ बोल रहा है.	- అతను చెపపేది నిజమేనా? నిజమే చెపతుననాడా? - లేదు, అతను అబదధం చెబుతుననాడు.
नीचे बैठो. मैं कहता हूँ नीचे बैठो.	కూరచోండి. వెంటనే కూరచోండి.
अपनी-अपनी टाई दो.	టె తీసి ఇవవు.
दिशा 329. नीचे आकर फलाइट सतर 30 बनाए रखें.	మారగం 329. కిందికి వచచి ఫలయిట లెవెలస 30లో కొనసాగించండి.
तो, तुम लोगों ने एक विमान को हाइजैक कर लिया है, और इस बारे में किसी को कुछ नहीं पता.	అయితే, మీరు విమానానని హెజాక చేశారు, కానీ ఎవవరికీ ఈ విషయం తెలియదు.
अब आप कया करोगी?	మరి నువవు ఏం చేసతావు?
फलाइट पाथ कंटरोल ने दुबई से बात की.	విమాన మారగం కంటరోల అధికారి దుబాయ తో మాటలాడాడు.
वह हमेशा ऐसा ही रहेगा.	అతను ఎపపుడూ ఇలాగే చేసతుంటాడు.
वहाँ नीचे, किसी एक इंसान को भी इसके बारे में कुछ नहीं पता.	కింద, ఒకక మనిషికి కూడా దీని గురించి తెలియదు.
यह किंगडम 2-9 की उडान का रासता है.	అది కింగడమ 2-9 పరయాణ మారగం విడిగా చూపిసతోంది.
जलदी से दोबारा आगे करना.	మళలీ ఫాసట ఫారవారడ చేయి.
हो सकता है समसया सुलझ गई हो.	వాళలు దానని పరిషకరించి ఉంటారు.
तो, जब मैंने तुमसे पूछा था कि कया यह बंदा वाकई अब उसकी जिंदगी में नहीं है. . .	అందుకే, ఈ మాజీ భరత నిజంగానే మాజీనా అని నినను నేను అడిగినపపుడు. . .
अगले ही पल, यह सब शुरू हो गया.	ఆ తరువాత మీకు తెలుసు, అంతా జరిగిపోయింది.
शुकरिया.	థాంకస.
बैठ जाओ.	కూరచో.
किसी वजह से, वाईफाई बंद है.	ఏదో కారణం వలల, వె-ఫె పని చేయడం లేదు.
बैठ जाओ.	కూరచో.
ठीक है. शुकरिया.	సరే. థాంకయూ.
वहाँ अंदर कोई मैसेज आ रहा है. सुनो जरा.	అందులో నుంచి ఏదో మెసేజ వసతోంది. నువవు ఒకసారి వినాలి.
तुमहें देर हो गई है. अंदर.	నువవు ఆలసయం అయయావు. లోపలికి, వెళలు.
वैसे, हो भी सकती है.	కానీ, బహుశా ఇది అదే కావచచు.
जनमदिन मुबारक हो!	పుటటినరోజు శుభాకాంకషలు!
मुझे समझ नहीं आ रहा है.	నాకు అరథం కాలేదు.
यह सामानय है, इस रासते से जाना?	ఆ మారగంలో వెళలడం, అది సాధారణంగా జరిగేదేనా?
मेरा. मेरा था.	నాది. అది నా ఆలోచన.
हाँ, लेकिन मुझे दिखाओ. समझाओ यह कैसे काम करता है.	సరే, చూపించు. దాని గురించి వివరించు.
उसका कहने का तरीका कुछ ऐसा था. वह ऐसा नहीं कहता अगर कुछ. . .	అతను అలా చెపపాడు. అతను అలా చెపపాడు అంటే. . .
यह तुमहारी योजना का हिससा नहीं था, है ना?	అది మీ పలాన లో భాగం కాదు, కదా?
नहीं, नहीं लगता. मुझे नहीं लगता तुम बेवकूफ हो. मुझे लगता है तुम बहुत होशियार हो.	లేదు, నేను అనుకోను. నువవు మూరఖుడివి కాదనుకుంటా. చాలా తెలివెనవాడివి.
वह डरा हुआ नहीं था. उसकी आवाज बहुत शांत और तनाव-मुकत थी.	అతను భయపడినటలు అనిపించలేదు. చాలా పరశాంతంగా, నిదానంగా మాటలాడినటలు అనిపించింది.
ये आखिर ऐसा कर ही कयों रहे हैं. मैं तो यह जानना चाहती हूँ.	అసలు వాళలు ఇలా ఎందుకు చేసతుననారనేది కావాలి. నేను అదే తెలుసుకోవాలి అనుకుంటుననాను.
यह मुझे कैसे पता चलेगा?	ఆ విషయం నాకు ఎలా తెలుసతుంది?
जरा सोचकर देखो. वे बिना किसी वजह इसे यहाँ लेकर नहीं आए हैं.	కానీ, దాని గురించి ఆలోచించు. ఏ కారణం లేకుండా ఆమెని వాళలు ఇకకడకి పంపించరు.
- कया वह यहाँ है? - वे सब ऊपर हैं.	- తను ఇకకడ ఉందా? - వాళలంతా పెన అంతసతులో ఉననారు.
वह कॉकपिट में नहीं हैं.	ఆయన కాక పిట నుండి బయటకు వెళలారు.
अपना पानी? नाशता? अपनी पढने की डायरी ले ली?	మంచి నీళలు ఉననాయా? సనాకస ఉననాయా? నీ రీడింగ డెరీ తీసుకుననావా?
देखा?	చూశావా?
कया मैं. . . पलीज, दोसत? पलीज?	నేను. . . దయచేసి మాటలాడవచచా, మితరమా? పలీజ?
बस पेटी पकड लो.	ముందు ఆ బెలటు పటటుకో.
नहीं, मैंने अभी काम के सिलसिले में फोन नहीं किया है.	లేదు, ఇది పని గురించి చేసిన ఫోన కాదు.
हमने इस बारे में कभी बात नहीं की, तुमने मुझे कभी फोन नहीं किया, मतलब. कुछ नहीं बचा था.	మనం ఎపపుడూ మాటలాడుకోలేదు, నువవు ఎపపుడూ ఫోన చేయలేదు. అది అంతే.
केए29 जी-केएनडीएम	కెఎ29 జి-కె. ఎన. డి. ఎమ.
- तो कल की तरह दस मिनट की नहीं? - नहीं, पाँच.	- అయితే నిననటి మాదిరిగా పది నిమిషాలు కాదా? - లేదు, ఐదు నిమిషాలు.
किंगडम 2-9, मैं बगदाद कंटरोल से बोल रहा हूँ, आप सुन रहे हैं?	కింగడమ 2-9, ఇది బాగదాద కంటరోల, వింటుననారా?
किंगडम 2-9, मैं बगदाद कंटरोल से बोल रहा हूँ, आप सुन रहे हैं?	కింగడమ 2-9, ఇది బాగదాద కంటరోల, వింటుననారా?
वह गुससा भी है. जानती हो? गुससा इसलिए कि उसके पूरव-पति ने उसे. . .	ఆమె కోపంగా కూడా ఉంది. తెలుసా? తన మాజీ భరత. . .
फिर वह आदमी फरसट कलास में दौडता हुआ आया	కానీ ఆ పెదదమనిషి హడావుడిగా ఫసట కలాస లోకి పరిగెతతుకొచచాడు
यह टॉयलेट गए थे.	ఆయన టాయిలెట కి వెళలారు.
जो भी हमने सोचा था, वैसा विमान पर कुछ नहीं हो रहा है, और वह ठीक है.	విమానంలో ఏం జరుగుతుననా సరే, అతను బాగానే ఉననాడు.
हाँ, अगर आप बोलकर संकेत देने में असमरथ हैं.	అవును, మాటలతో సంకేతం ఇవవడం సాధయం కానపపుడు ఇలా మెసేజ అందిసతారు.
आज? नहीं.	ఈ రోజా? లేదు.
यह चाहता है जमीन पर मौजूद लोगों को पता चल जाए	ఏదో పొరపాటు జరుగుతోందని గరౌండ సిబబందికి తెలియాలని అతను చూసతుననాడు
मैं कैपटन रॉबिन एलेन बोल रहा हूँ. गुड मॉरनिंग.	నేను కెపటెన రాబిన అలెన ని మాటలాడుతుననాను. గుడ మారనింగ.
देखो, अगर उनहें लगा कि कुछ गडबड है,	వినండి, ఏదెనా పరమాదం జరిగిందని వాళలకి అనుమానం వసతే,
यातरी 2डी ने आपको चुनौती दी है सवीकार करें असवीकार करें	పయాసింజర 2డి మిమమలని సవాలు చేసతుననారు ఆమోదించండి తిరసకరించండి
यह उसी पर है.	ఆటోపెలెట లోనే ఉంది.
बगदाद कंटरोल, मैं किंगडम 2-9 से बोल रहा हूँ.	బాగదాద కంటరోల, ఇది కింగడమ 2-9.
. . . जिसका मतलब है, "जलदी बताओ. "	. . . అది నా తరహాలో "తవరగా పూరతి చేయి" అని చెపపడం.
{\an8}चुनौती सवीकार की गई	{\an8}సవాలు ఆమోదం
कुछ दिककत हो सकती है.	ఏదో సమసయ ఉండవచచని అనుకుంటుననాం.
