रॉबिन!	రాబిన!
और तुमहारे पास इससे अचछा कोई विचार है?	నీ దగగర అంతకంటే మంచి ఆలోచన ఉందా?
हो सकता है वे तुमहारा पीछा कर रहे हों.	వాళళు మిమమలని అనుసరిసతూ ఉండవచచు.
मैं नई लडकी हूँ.	నేను కొతత అమమాయిని.
वॉट से कोई होगा?	వాట నుండి ఎవరెనానా?
मुझे बिना पैरोल की उमरकैद नहीं चाहिए.	బెయిల లేని జీవితఖెదు కోసం నేను పరయతనించబోను.
तुमहें यह मजेदार लगता है?	మీకు ఇది సరదాగా ఉందా?
-तुमने मेरी जमानत दी?	-బెయిల ఇపపించావా? -అవును.
तुम कहाँ जाओगे, हयूई?	ఎకకడికెళతావు, చినన హయూయీ?
हाँ, हम कभी नहीं सोए.	అవును, మేమెపపుడూ చేయలేదు.
-बुचर ने तुमसे संपरक किया?	-బుచర నినను సంపరదించాడా? -లేదు.
. . . या फिर उसकी जान-पहचान के साथी,	. . . లేదా అతనికి తెలిసిన అనుచరులలో ఎవరెనా,
अगर किसी ने उसकी मदद की हो तो?	అతనికెవరెనా సాయం చేసుంటే?
रेवनविंग हो.	రేవెనవింగ.
अचछी खबर है.	మంచి వారత.
इतनी जलदी?	ఇంత తవరగానా?
तुम यहाँ हो और डीवा कपस के लिए	నువవు డివా కపస సంసథలో పీఆరగా కాకుండా
"सुपर बदमाश" शबद कैसा लगता है?	"సూపర విలన" పదం ఎలా ఉంది?
तुमने कुछ लिखा?	నువవు ఏదో వరాశావా?
वही, 82 वाले लडके.	82లో ఉండే బాయస.
आप तो कभी 99 पर नहीं आते,	అంటే, మీరు ఎపపుడూ 99కి రారుగా,
मुझे आपका बात करने का रवैया पसंद नहीं, सर.	నాకు మీ సవరం అభినందనీయంగా లేదు, సర.
फिर से नहीं.	మళళీ వదదు.
नहीं, मुझे तुम पर भरोसा है, बस मैं. . .	లేదు, నాకు నీపె నమమకం ఉంది, అది కేవలం నేను. . .
हमें ऐसे झमेले में फंसा दिया.	నువవు ఈ రొంపలోకి మనలని దించినందుకు.
रुको, तुम कया कह रही हो?	ఆగు, నువవు ఏం మాటలాడుతుననావు?
मैं तुमहें बचाऊँगा.	నేను మిమమలని రకషిసతాను.
मुझे नहीं काट सकते.	వాళళు ననను తొలగించలేరు.
यह तो बलाइंडसपॉट है ना?	అతను బలెండసపాట కదా?
वह एक अभिनेता है.	అతను ఒక నటుడు.
मैं तय करूँगा.	నేను నిరణయిసతాను.
पता नहीं, शायद जयादा कुछ नहीं पता.	అంటే, బహుశా ఎకకువగా తెలియదు.
हम, दरअसल, एक दवा कंपनी हैं,	మేము నిజానికి ఏంటంటే, ఒక ఔషధ సంసథ,
कलीवलैंड का ईगल द आरचर?	కలీవలయాండ నుండి ఈగిల ద ఆరచర?
वरना मौत की नींद सुला दूँगा.	లేదంటే నినను చంపేసతాను.
वरना मौत की नींद सुला दूँगा.	లేదంటే నినను చంపేసతాను.
और, ऐशली,	ఇంకా, ఆషలీ,
अचछा, तो?	సరే, అయితే?
पॉनशस पायलट और मैरी एक साथ?	పాంటియస పెలెట ఇంకా మేరీ జతకటటారా?
गुड मॉरनिंग, होमलैंडर.	శుభోదయం, హోంలాండర.
उसका एक पति था ना?	ఆమెకు భరత ఉననాడు, కదా?
उतनी जयादा उसके लिए मुशकिल होती जाएगी.	ఆమె అంత పరమాదంలో చికకుకుంటుంది.
मैं अपने बेटे से मिलने आया हूँ.	అంటే, నేను నా కొడుకును చూడాలని వచచాను.
ईशवर उसकी आतमा को शांति दे.	తన ఆతమకు శాంతి కలగాలి.
होमलैंडर, वाह, आप. . .	హోంలాండర, అదభుతం, మీరు. . .
मुझे नहीं पता कि वह कया है.	నాకు అది ఏంటో తెలియదు.
आलडेन एहरेनराइक.	ఆలడెన ఎరన రెష
मुँह बंद रखो.	కాసత నోరుమూసుకో.
मार दो हथौडा.	అది ఖచచితం చేయి.
मेरे बचचे को एक माँ की जरूरत है!	నా బిడడకు తలలి అవసరం ఉంది!
जब ऑपेनहाइमर बम को परख रहा था,	ఆపెనహామర బాంబ కనుగొనే పరయతనంలో ఉండగా,
तो यह कैसा रहेगा. . .	ఇది ఎలా ఉంది. . .
यह तो कमाल की बात है.	అది చాలా బాగుంది.
तुम समझ नहीं रहे.	నీకు అరథం కావడం లేదు.
नहीं, मैं नहीं बेचता.	కాదు, నేను అమమను.
मैं नहीं ला सकता. . .	నేను చేయలేను. . .
तुम मेरा नंबर लेना चाहोगे?	మీకు నా నంబరు కావాలా?
तुम अब आजाद हो, ननही मछली.	సవేచఛగా ఈదు, చిననచేప.
"अमरीका को बचाना" ही होगा.	అది "అమెరికా రకషణ"నే.
मैं द सेवेन का रहनुमा हूँ.	నేను సెవెన నాయకుడిని.
तुमहारा बाप घर लौट आया है.	నానన ఇంటికి వచచేశాడు.
-माफ कीजिएगा. आप कौन हैं?	-ఎవరనువవు? -నా పేరు బిలలీ బుచర.
औपचारिक तौर पर? कुछ नहीं.	అధికారికంగానా? ఖచచితంగా, సుననా.
ए, बहुत हो गया. अब निकलो.	హే, ఇక చాలు. ఇక వెళళాలసిన సమయం.
इस सदी में पैदा हुए किशोर	మిలీనియలసతో అదభుతంగా పోటిపడగలం.
-मुझे लगा कि हम दोसत. . .	-మనం సనేహితులమనుకుననా -కషమించు.
हैलो. मैं द सेवेन का हिससा हूँ.	హాయ. నేను సెవెనలో చేరాను.
अपनी पीने की आदत के बारे में,	నీ తాగుడు, నీ ఆతమగౌరవ సమసయల గురించి.
मैंने इस कमीने को बताने की कोशिश की.	అది ఈ వెధవకు చెపపాలని చూశాను.
अचछा, फिर से इन पर धयान देते हैं.	సరే, మీ మా దృషటిని వీటిపెకి మరలచుతుననాను.
शायद अपनी मरहूम पतनी को लेकर खफा होगा	బహుశా, మాజీ వాట ఉదయోగి అయిన అతని మరణించిన భారయ
छोडिए भी, सटैन.	సరేలే, సటాన.
और, शुकरिया.	ఇంకా ధనయవాదాలు.
मानते हैं, तुमहें ठीक से पहचाना नहीं	మాకు మీరు తెలిసింది తకకువే అని ఒపపుకుంటుననాము
शुकरिया.	ధనయవాదాలు.
नहीं, वह एक अचछा लडका है.	లేదు, అతను మంచివాడు.
शुकरिया.	ధనయవాదాలు.
तुमहारे पास वी है, हयूई?	నీ దగగర కొంచెం వీ ఉందా, హయూయీ?
रुको.	ఆగు.
जिसने वॉटीफाई पर हमारे दिलों से दूर नहीं	నెవర టరూలీ వానిష పాటను వాటిఫెలో మీరిపపుడు చూడవచచు.
अचछा.	సరే.
यह तो. . .	అది. . .
मैं बाजू रख सकता हूँ ना?	నేను ఆ చేతిని ఉంచుకోవచచు, కదా?
मैं इसके बारे में और जानना चाहूँगी.	మారగరెట, నేనది పరిశీలిసతాను.
अचछा.	సరే.
तुमसे मिलने की बडी इचछा थी, डीप.	నేను నినను కలవాలని ఎదురుచూసతుననాను, డీప.
शुकरिया.	ధనయవాదాలు.
"एनी को फोन करना चाहिए. "	"ఆనీకి ఫోన చేయాలి. "
तो पीट डालो.	అదేదో కానిచచేయ.
शुकरिया.	ధనయవాదాలు.
मुझे लगा कि वह हमें देख रहा है	ఆయన మనలని గమనిసతుంటాడని,
हैलो.	హాయ.
कौन?	ఎవరు?
अचछा.	సరే.
तुम जॉन कयूसैक नहीं हो, यार.	నీకు తెలుసా, నువవు జాన కయూసాక కాదు.
पर उसके लिए, यह तरीका ठीक नहीं है, हयूई.	కానీ దానికిది మారగం కాదు, హయూయీ.
तुम बुचर जैसी बातें कर रहे हो.	నువవు బుచరలా మాటలాడతావు.
रुकिए, आप कया कह रही हैं?	ఆగండి, ఏం అంటుననారు?
चलो. अंदर घुसो. चलो.	రా. లోపలికి ఎకకు. పద, పద.
हैलो?	హలో?
मैं झूठ नहीं कह रहा.	నేను చెపపడంలేదు.
मुझे लगता है इसे दिल का दौरा पड रहा है.	అతనికి గుండెపోటు వచచిందనుకుంటా.
और किसी ने यहाँ तक मेरा पीछा नहीं किया,	ననను ఇకకడికి ఎవరూ అనుసరించలేదు,
आज मैं अमरीकी जनता को बता सकता हूँ	ఈ రోజు, నేను అమెరికా పరజలకు
खैर, माफी माँगने की जरूरत नहीं है.	ఏదేమెనా, కషమాపణ అవసరం లేదు.
पर मैं हैरी पॉटर बन सकता हूँ.	కానీ హయారీ పాటర కాగలను.
तुम सबसे बेहतरीन थे	మీరు మంచి కోసం నిలబడడారు
बडे सममान की बात है, सर.	ఇది మాకు గౌరవం, సర.
मैं वरमॉनट वाला घर तैयार नहीं कर पाया,	బొమమ ఇలలును పూరతిచేయలేకపోవడానికి కారణం నువవయితే,
अब तू खुश है, साले?	సంతోషంగా ఉందా, చెతతవెధవ?
और वह कौन होगा?	అది ఎవరు అయిండవచచు?
आप इस गिरफतारी से बच नहीं पाएँगे.	ఖచచితంగా ఈ అరెసటను ఆపలేవు.
शुकरिया जो मुझे सोने दिया.	ననను నిదరపోనిచచినందుకు ధనయవాదాలు.
तुम दोबारा सटारलाइट के साथ	నీకు తిరిగి సటారలెటతో కలవాలనుంది.
जहाँ तुम गोलडन गलोब के लिए	నువవు గోలడెన గలోబ ఏరపాటలలో ఉండగా,
थोडा सो लो.	కొంచెం నిదరపో.
-शायद वह मर ही गया हो.	-అతను చనిపోయి ఉంటాడు. -లేదు.
मैं जिंदगी भर माफी माँगती रहूँगी.	ఎపపటికీ కషమాపణలు చెబుతూనే ఉంటాను. ఫోన చేయి
आपसे मिलकर अचछा लगा. शुकरिया.	నినను కలవడం సంతోషంగా ఉంది. ధనయవాదాలు.
हम सब खुशकिसमत हैं	మనమందరం అనుగరహించబడడాము
हाँ, तुम रेवन. . .	అవును, నువవు రేవెన. . .
तुमहारे पेशे के चलते नहीं, बलकि. . .	నీ ఉదయోగరితయా నువవు చేసేదానికి కాదు, కానీ. . .
पर, हम तो बस मदद करना चाहते हैं.	సహాయం చేయాలననదే మా కోరిక.
कयोंकि, कभी-कभी हीरो लोगों को भी	ఒకకోసారి హీరోలకు కూడా సహాయం అవసరమవుతుంది.
पतता गोभी का सलाद?	బేబీ కేల సలాడ?
इसने हमें बैठाकर कहा,	అతను మమమలని ఒక చోటకు చేరచి,
हे भगवान.	దేవుడా.
हे भगवान.	దేవుడా.
हमें बुचर की जरूरत नहीं है.	మనకు బుచర అవసరం లేదు.
अदभुत है.	అదభుతం.
इसकी एकमातर वजह यह है	ఇకకడ పనిచేయడానికి ఒకే కారణం
हे भगवान.	దేవుడా.
सुपरहीरो.	ఒక సూప.
पर. . .	కానీ. . .
तो मैं तुमहें खतम कर दूँगा.	నేను నీ అంతు చూసతాను.
बाप रे, वे झाइयाँ.	అబబా, ఆ మచచలు.
हे भगवान.	దేవుడా.
काले बाल, ससती जीनस और जूते पहने थे.	జీనస నకలు, సనీకరలు ధరిసతాడు,
मैं तुमहारी पिटाई नहीं करना चाहता, हयूई.	నాకు నీ పనిపటటాలని లేదు, హయూయీ.
न भगवान, न होमलैंडर. . .	దేవుడు లేడు, హోంలాండర లేడు. . .
उसकी आतमा को शांति मिले.	దేవుడు అతని ఆతమను అనుగరహించాలి.
एनी को फोन करना चाहिए.	ఆనీకి ఫోన చేయాలి.
-मैंने उसे मैसेज किया, उसके बाद हम मिले. . .	-సందేశం పంపి, తరువాత కలిశాం -అబబా.
पूरी बात? वॉट है.	పూరతి విషయమా? అది వాట.
माफ करना, हयूई, यह अब खेल नहीं है.	ననను కషమించు చినన హయూయీ, ఇది ఇపపుడు ఆట కాదు.
तुम इस बात का फैसला नहीं करोगी	నువవు ద సెవెనలో ఎవరు ఉంటారో నిరణయించవు.
चलो दोसतो, मुझे शुभकामनाएँ दो.	ఇదిగో, అందరూ నాకు శుభాశీససులు తెలుపండి.
मुझे लगता है कि "दुनिया को बचाना" थोडा. . .	నాకనిపిసతుంది "పరపంచ సంరకషణ". . .
जाने से पहले,	అతను వెళళే ముందు,
मेरियाना टरेंच में तैरकर देखो, बेवकूफो.	మెరియానా టరెంచలో ఈదే పరయతనం చేయండి, చినన వెధవలలారా.
अचछा. और "दुनिया को बचाने" के बारे में	సరే. "పరపంచ సంరకషణ" ఎలా ఉంది?
चोरी से मितर राषटरों के पास जा पहुँचे.	అనూహయంగా మితరరాజయాలతో చేరారు.
सबजियों वाली सैंडविच?	కాపరీసీ శాండవిచ?
और मैडलिन सटिलवेल का बचचा	మాడలిన సటిలవెల బిడడ
दरजनों की तादाद में	డజనలకొదదీ జరమనలను చంపారు.
हयूई, हमने कर लिया.	హయూయీ, మనం ఇది సాధించాము.
-कोई बात नहीं, समैंथा.	-ఫరవాలేదు, సమాంత. -బిజీ రోజా?
सिरफ एक आदमी इसकी मंजूरी देता है.	దానికి ఒకరే అంగీకరిసతారు.
कैरल ने मुझे यह समझने में मदद की.	కెరోల నాకది తెలియచేసింది.
उसे फोन करना, मैसेज करना.	ఆమెకు ఫోన చేయడం, సందేశాలు వరాయటం.
हमें सच में एक कपतान की जरूरत है.	మనకు అసలెన కెపటెన కావాలి.
उस दिन, कई अचछे लोग मारे गए.	ఆ రోజు చాలామంది మంచివారిని కోలపోయాము.
तुमहें बता दूँ, यह असली अडडा नहीं है.	మీ కోసం, నిజమెన సథావరం కాదు.
"सुपर आतंकवादी" शबद से नफरत है,	నీకు "మహా ఉగరవాది" పదం నచచలేదు అంటే ఏంటి?
कमान करम लागू नहीं होता.	ఇతర సెనిక కాంటరాకటరలకు వరతించదు.
यह.	ఇది.
हाँ. मुझे भी उसकी बहुत याद आती है, दोसत.	తెలుసు. నేనూ అతనిని కోలపోయాను.
अचछा, हाँ. मैं समझ गया. उफ.	సరే, అలాగా. సరే నాకు అరథమెంది. అబబా.
मैं कहना चाहूँगा कि यह अदभुत है.	ఇది అదభుతం అని చెపపవచచా.
और अब तुम एक मामूली अंधे लडके हो.	ఇపపుడు నువవు మరో పనికిరాని చెతత గుడడివాడివి.
आप समारक देख सकते हैं	సమారకంలో సటారలెట పరదరశిసతునన
लडका	బాయ
अगर तुमहारी वजह से	ఒకవేళ నేను ఆ వెరమాంట దేశ
तुम एक मामूली लडके हो	సటీరియో ఉపకరణాలమమే పిలలాడివి
धंधा भी करता है.	సెడ బిజినెస.
मतलब, पता नहीं,	ఏదో, నాకు తెలియనటటు,
तुम एकदम अकेले होते हो.	మీకు దారుణమెన ఒంటరితనం ఉంటుంది.
सुपर बदमाश ही एक शबद है, पर उसने कहा,	అంటే, మహా విలనలు అనేది సరెన పదం, కానీ అతను అననాడు,
कयोंकि हमारे दिमाग के चीथडे नहीं हुए,	ఎందుకంటే మన బురరలు డాషబోరడు నిండా పడలేదు, అందుకని.
तुमहारा मतलब, सटारलाइट?	అంటే, సటారలెటకనా?
सबजियों वाला आमलेट?	వెజజీ ఫరిటాటా?
कया कहते हो, नयू यॉरक टाइमस?	నువవు ఏం అనుకుంటుననావు, నయూయారక టెమసా?
मैं तो सीएनएन या एमएसएनबीसी के बारे में	అంటే, నేను సీఎనఎన లేదా ఎంఎసఎనబీసీ అనుకుంటుననాను, కానీ
मुझे लगता है कि सब अचछा चल रहा है.	సరే, ఇది బాగా జరుగుతుంది.
हम पर निशाना नहीं लगाया जा रहा था.	అది మన కోసం ఉదదేశించినది.
जितने भी बिसतर हैं, सभी पर 31 तरह का	ఆ మంచాలలో 31 వీరయం రుచులు ఉననాయి, నీకవి నచచుతాయి.
हम तुमहें देख सकते हैं	మేము నినను చూసతాము 1980 - 2020
कया हो गया?	అసలేం జరిగింది?
वहाँ मेरी कोई अहमियत नहीं.	అకకడ నేను ఏమీ కాను.
ऐसे उभरते सितारा थे	అలాంటి ఎదుగుతునన యువ తారను
तुम एक टूटे हुए रिकारड से कम नहीं हो.	నువవు అరిగిపోయిన రికారడువి.
फरेंची, ऐसा कौन कर सकता है?	ఫరెంచీ, అది ఎవరు చేయగలరో నీకు తెలుసా?
वहाँ पर.	అదిగో అకకడ.
सबसे डरावना शबद?	భయానక పదం? మహా ఉగరవాది
तुम हो कया?	నువవేనా?
तो, मैं तुमहें याद दिला देता हूँ.	సరే, మీకిది గురతుచేయాలి.
एक बचचा था.	ఒక బిడడ.
कि बलैक नोआर ने सुपर आतंकवादी	నాకిబ అనే మహా ఉగరవాదిని హతమారచే కారయానని
हम सब वहाँ गए हैं. मुशकिल है.	మేమందరం అది ఎదురకొననాము. అది కషటతరమెనది.
हाँ, पर अब पुरानी बातें याद करके लगता है	అవును, కానీ తిరిగి చూసుకుంటే,
या फिर हंगर गेमस वाली	లేదా హంగర గేమసలో ఆమె పేరేంటి?
"ए, होमलैंडर,	"హే, హోంలాండర. . .
और उसने यह भी कहा,	ఇంకా చెపపాడు,
हमें इस तरह से हार नहीं माननी चाहिए.	అంటే, మనం ఆశ వదులుకోకూడదు.
तुम बार-बार यह सब नहीं कर सकते, यार.	నువవు ఇదంతా కొనసాగించలేవు.
अगर कुछ हुआ है तो तुमहें पता है	ఏదెనా జరిగితే, ననను నమమవచచని నీకు తెలుసుగా.
रॉबिन के साथ जो हुआ, मैंने वह सुना.	రాబినకు జరిగింది విననాను.
बस यह जानना है कि द सेवेन में शामिल	సెవెనలో ఉండాలని ఎంత బలంగా కోరుకుంటుననారననదే పరశన.
मैं तुमहारा पिता हूँ.	నేను మీ నాననను.
कयों?	ఎందుకు?
मेरी तरफ देखो.	ననను చూడు.
तुमहें तो पता ही है.	ఇది ఎలా ఉంటుందో నీకు తెలుసు.
अगर उसने वही किसी हवाई जहाज के साथ,	అతనలా ఒక విమానానికో లేదా బరూకలిన వంతెనకో చేసుంటే?
देखा?	చూశావా?
यह वह नहीं है.	మేము కాదు.
उन सालों को जलाकर खतम कर डालते हैं.	మనం ఆ వెధవలను కాలచేదదాము.
तुमहें लगता है कि पानी में मजा आता है?	మీకు నీళళలో సరదాగా ఉంటుందా?
पर मैं बात समझा नहीं, सटैन.	కానీ నాకు విషయం ఏమీ కనిపించలేదు, సటాన.
नंबर 911 को फोन कयों नहीं करते?	911కు ఫోన చేయవచచు కదా?
और खूनखराबा होगा.	ఇంకా రకతపాతం జరుగుతుంది.
चौंसठ डॉलर में दो लीजिए.	64 డాలరలకు రెండు.
चौंसठ डॉलर में दो लीजिए.	64 డాలరలకు రెండు.
मुझे समझ में नहीं आ रहा.	నాకు అరథం కాలేదు.
एक तुम ही थे जिस पर मैं भरोसा कर सकती थी.	నేను నమమగలిగింది నిననొకకడినే.
और फेंटनिल की तसकरी कर रहे हैं, न कि. . .	ఫెంటలీన దొంగలిసతానననారు, కానీ
हाँ, पर इसने	అవును, కానీ ఇతను,
इसे बैठाओ! इसे यहाँ लाओ.	అతనని కూరచోబెటటు! ఇకకడకు తీసుకురా.
मैंने सिरफ इतना कहा	మనం ఇకకడ సురకషితం అననానంతే.
अगर यह अभी भी मुमकिन है तो.	నాకింకా అవకాశముంటే.
नयाय का इतना खूबसूरत रूप कभी नहीं था.	నయాయం ఇంత బాగా ఎననడూ లేదు.
सेथ रॉजेन टरांसलूसेंट को याद करते हैं	సెథ రోగెన టరానసలూసెంట సమరణ
ले चलो.	పద వెళదాం.
हे भगवान. आपने तो डरा ही दिया.	అబబా. ననను భయపెటటావు.
हाँ. बात यह है	అవును. విషయం ఏంటంటే,
अजीकियल हमेशा यही कहा करता था,	అవును, ఎపపుడూ ఎజికీల,
कैसे दरशन दिए?	నాకేంటి ఇంత సౌభాగయం?
अचछा, वह सीआईए वाली महिला, है ना?	సరే, ఆ సీఐఏ ఆమె, సరేనా?
कयोंकि ऊपर कोई नहीं है.	ఎందుకంటే అకకడ పెన ఏం లేదు కాబటటి.
फरेडरिक वॉट के बारे में	ఫరెడరిక వాట గురించి నీకేం తెలుసు?
यह सच में बडा ही दिलचसप लेकचर है,	నిజంగా మనోహరంగా ఉండేది,
मुँह बंद रखो, बेवकूफ औरत,	నీ చెతత వాగుడు కటటిపెటటు, పిచచిదానా,
उनका कातिल, वह सनकी बुचर पकडा गया?	ఆమె హంతకుడు, ఆ ఉనమాది బుచరను ఏమెనా పటటుకోగలిగారా?
तुमसे बहुत पयार है, गुडिया	ఐ లవ యూ, జెలలీ బీన
कोई नहीं.	ఎవరూ తెలియదు.
बात यह है	విషయం ఏంటంటే,
तो, हम यह कह रहे हैं	అయితే, సీఐఏ డిపయూటీ డెరెకటరను
मैंने सिम कारड तोड दिया, ठीक है?	సిమ కారడ మారచా, సరేనా?
ठंडा चाहिए?	ఫరెసకా తాగుతావా?
अमरीका की सबसे खूबसूरत	ఎంతో ఆకరషణీయమెన అమెరికా కరెంఫెటర
तो फिर कया?	అయితే ఏం చేదదాం?
-एनी, हैलो.	-ఆనీ, హాయ. -హాయ.
इसके हाथ की एक-एक हडडी टूट चुकी है,	అతని చేతిలో పరతి ఎముక, సగం పకక ఎముకలు విరిగిపోయాయి,
गोलियाँ खतम हो गईं.	తూటాలెపోయాయి.
हाँ, यह हुई ना बात.	అవును, ఇదిగో.
-भाड में जाओ, हयूई. पागल हो गए हो कया?	-హయూయీ. నీకు పిచచా? -ఎంఎం.
फिर से शुरू करेंगे.	మళళీ చేదదాము.
मैं तो यही मानना चाहता हूँ	అతను చంపలేదనే అనుకోవాలనుంది, కానీ. . .
तुमहारा और मेरा, हमारा एक जैसा ही हाल है.	నువవూ నేను ఇది కలిసి చేదదాం.
शायद ताइवान या इंडिया से था.	బహుశా తెవాన నుంచో, భారతదేశం నుండో వచచాడు.
-बडा अचछा किया.	-ఎంత మంచి ఆలోచన. -కదా?
अमरीका के लिए करूँगा. . .	అమెరికా కోసం. . .
नहीं, मैं ऐसा नहीं चाहता.	లేదు, నాకలా లేదు.
-वह हमारी तरफ है.	-ఆమె మన వెపుంది. -తెలుసు.
न मेरे पिता, न एनी.	లేదా మా నానన, లేదా ఆనీ లేరు.
कया हमारे सिर फटने वाले हैं?	మన తలలు పెలిపోతాయా?
होमलैंडर, मैं शुकरिया अदा करना चाहती हूँ	హోంలాండర, నననీ ఉదయోగానికి సిఫారసు చేసినందుకు నీకు కృతజఞతలు.
तुम बाकियों से अलग थे	మీరు అందరికంటే ఉననతంగా నిలిచారు
वह पैशन वाला नाटक जो हमने किया था.	మనం వేసిన ఆ పాషన నాటిక.
तुमहें यह सब वीडियो से समझ में आ गया?	వీడియోలో ఇదంతా తెలిసిందా?
अगर तुमहें खेलना पसंद ही नहीं,	నీకిది చేయాలని లేకపోతే, జటటులో ఎందుకు చేరావు?
संयुकत राजय सुरकषा विभाग	అమెరికా రకషణ శాఖ
अचछा है.	అది బాగుంది.
उसने 30 पौंड से जयादा का	అతను వాట ఉపాధయకషులు మాడలిన సటిలవెలను
तुम?	నువవా?
यह सब खतम हो चुका है.	ఇది ముగిసింది.
हाँ.	అవును.
मरममत तो जरूरी है.	పునరుదధరణ ఇంకా మిగిలి ఉంది.
हाँ.	అవును.
अभी तक तो नहीं.	ఇంకా లేదు.
हाँ.	అవును.
एनी?	ఆనీకా?
हाँ.	అవును.
हुजूर ए आला.	మహారాణి.
यह बहुत अचछा सवाल है.	అది మంచి పరశన.
जब फोन आया, तो मैं हैरान रह गई.	నాకు ఆ పిలుపు రావడం చాలా ఆశచరయానని కలిగించింది.
बस पाँच बार उनकी आतमकथा पढी है?	నేను అతని జీవిత చరితర చదివింది కేవలం ఐదు సారలా?
सुपर आतंकवादी की तसकरी के लिए	వారికి సూప ఉగరవాది అకరమ రవాణాకు డబబులిచచారు.
-अतयाचार करना चाहता है?	-అదే సీఐఏ కదా? -మనం బుచరను పిలవాలి.
कंपाउंड वी के लिए, हमें एक परम गुपत,	యాంకీ వెటలో అతయంత రహసయమెన కాంపౌండ వీ పేరు తెలుసుకోవాలి.
मैं यह तुमहारे लिए करूँगा,	నేను అది, మీకోసం,
अभी-अभी कानटरैकट पर दसतखत किए हैं,	ఈమధయే ఒపపందంపె సంతకం చేశా, పనిలోకి చేరేందుకు వచచాను.
अचछा, तो, वह 5'10", 75 किलो का था,	అలాగే, దాదాపు ఎతతు 5'10", 75 కేజీల బరువు, నలల జుటటు,
"समानानतर कषति को रोकने की	"అనివారయ నషటానని తగగించే ఉతతమ పరయతనమా? "
-हैलो, डेविड.	-హాయ, డేవిడ. -డేవిడ.
कि तीरंदाजी बेकार नहीं है,	విలువిదయ అసంబదధం కాదు, అది కాలాతీతమెనది.
पुराना किशोर सितारा,	మాజీ యువ తార,
पर यदि आपस की बात करें तो? 34 परतिशत.	కానీ గోపయంగానా? 34 శాతం.
तुमने टीवी पर सुना नहीं?	టీవీలో వినలేదా? మనం ఇపపుడు పరసిదధులం.
नहीं. सटैन,	లేదు, లేదు. సటాన,
बिलकुल पसंद नहीं.	అససలు లేదు.
टीन चॉयस अवारडस पर	హే, నీది ఒక మంచి ఫోటో చూశాను
अगर तुमहें आतमसममान को लेकर	నీకు ఆతమ గౌరవ సమసయలు లేకపోతే, ఎందుకు నితయం
और जैसे ही उसने ऐसा कुछ कहा	ఆమె చెపపకూడనిది ఏదో చెపపబోతునన కషణంలో. . .
-उसने फोन कयों नहीं किया?	-అతను ఫోన ఎందుకు చేయలేదు? -ఎవరికకావాలి?
तुमहें उसकी फिलम में कोई सीन नहीं मिला.	నీ దగగర బూమబాకస ఏమీ లేదు.
अपना करय-विकरय खुद मंजूर करूँगा,	నా కరయవికరయాల ఆమోదం, నా అంశాలు వరాసుకోవటం చేసతాను.
-बुचर तो हमसे भी जयादा.	-బుచర మరీ ఎకకువ. -బుచర సంగతి వదిలేయ.
हाँ, केपस फॉर कराइसट बाइबल शिविर में.	అవును, కరీసతు బెబుల కయాంపు కొరకు భుజ వసతరాలు. పూరతిగా అదే.
अपने हाथ नीचे ही रखो.	ఆ చేతులు కిందకు నీ పకకకు పెటటుకో.
"तुम उनहें ढूँढना, होमलैंडर,	"వాళళను పటటుకోండి, హోంలాండర, వాళళను ఆపండి. "
और भले ही हम तुमहारे भीतर देख पाए	మాకు మీ మనసు తెలిసినా
ठीक है.	సరే, అలాగే.
सतयानाश हो.	అబబా ఛ.
शायद मुझे अब आगे बढना चाहिए.	నేను ముందుకు కొనసాగాలసిన సమయం వచచిందనుకుంటా.
-तुम यहाँ बुचर के बगैर आए?	-నువవికకడికి బుచర లేకుండా వచచావా? -అవును.
उसके साथ, कया नाम है उसका,	టీన చాయిస అవారడులలో అతనితో, అతని పేరేంటి,
और तुम, डीप?	నీ సంగతి ఏంటి, డీప?
हैलो, मेरी नानी तुमहारी बहुत बडी	హాయ, మా నానమమ మీకు పెదద అభిమాని. నా పేరు సటారమఫరంట.
धत तेरी.	అబబా.
धत तेरी.	అబబా.
धत तेरी.	అబబా.
मुँह बंद रखो, बेवकूफ औरत,	ఓయ. నీ చెతత వాగుడు కటటిపెటటు, పిచచిదానా,
और मेरी माँ भी.	ఇంకా మా అమమ అదే అనేవారు.
हाँ. सिएटल से हो ना?	సరే. నువవు సియాటెల నుంచి వచచావా?
धत तेरी.	అబబా.
तुमहारा फैलाया रायता	పరయతనంలో పిచచివాళళలా పరిగెటటాము.
मैं हूँ.	నేనే.
और बाकी के मरीन के साथ,	మిగిలిన నావికాదళంతో కలిసుండబోతుననటటు.
वह मेरा कंधा है, उनहोंने. . .	అది నా భుజం, వాళళు
माफी माँगने की जरूरत नहीं है.	కషమాపణ అవసరం లేదు.
सुपर बदमाश के खतरे से आपको बचा रहे हैं.	మిమలని సూపర విలన భయం నుండి సురకషితంగా ఉంచేందుకు సహాయపడుతుననారు.
जब तुम मुझसे सच छुपाते हो,	నువవు నాకు నిజం చెపపడంలేదని తెలుసు, హయూయీ,
कषेतर में बाकी फौजी संविदाकारों पर	ఆజఞల పరంపర ఈ రంగంలోని
उसके बाद, आप टेक-9 से	అపపుడు పరశనించుకోవడం మొదలుపెటటాను,
काम पर लगते हैं.	మనం తిరిగి పనిలోకి వెళదాం.
तो, हाँ.	అయితే, అవును.
