लंदन, इंगलैंड	లండన, ఇంగలాండ
बताओ कि तुमहें मोरेनो की हतया करने का काम किसने दिया था,	మోరెనోని చంపడానికి నినను ఎవరు నియమించారో చెపపు,
बस अपने पापा को फोन कर दो.	నువవు మీ నాననకు కాల చెయయి చాలు.
जैसे, सरकिट बोरड, जीपीएस सिसटम, जेट इंजन.	అంటే, సరకయూట బోరడులు, జిపిఎస వయవసథలు, జెట ఇంజనలు.
हैरी वही करती है जो उसके लिए अचछा होता है.	హయారీ తనకు ఏది మంచిదో అదే చేసతుంది.
और सीधा आँख में जा लगा. लापरवाही थी.	సరిగగా కంటలో పడింది. వెరరితనం.
मेरे खयाल से, दकषिण अमरीकी है.	దకషిణ అమెరికా అనుకుంటాను.
लंदन?	లండనా?
लोग इसे "बलू गोलड" बुलाते हैं.	వాళళు ఈ పదారథానని "బలూ గోలడ" అంటారు.
कया मैं आपसे कुछ पूछ सकता हूँ?	మిమమలని ఒక విషయం అడగవచచా?
यह एक बहुत गरीब देश है, मिसटर गरीयर,	మిసటర గరీర, ఇది చాలా పేద దేశం,
हैरी?	హయారీ?
उसे मेरी परवाह है,	తను నా గురించి,
भाड में जाओ.	పోయి చావు.
अब मैं आपको काम करने देता हूँ.	మీరు తిరిగి పనిలోకి వెళళడం మంచిదేమో.
गरीयर.	గరీర.
तुमहारा मतलब यह सब उसने नहीं करवाया?	అంటే అతను కాదు అని చెపతుననావా?
पापा!	నాననా!
पापा!	నాననా!
अब तक इसके जितने सरोत पता हैं, वे या तो चीन में हैं या कांगो में.	ఇపపటి వరకు, తెలిసిన వనరులననీ చెనా లేదా కాంగోలో ఉననాయి.
मैंने अपना नंबर इसमें डाल दिया है, "रिपली" के नाम से.	నంబరను కాంటాకటస, లో "రిపలీ" అని సటోర చేసాను.
पोल के हिसाब से वहाँ रेयस की पकड बहुत मजबूत है.	పోలస పరకారం అవి రేయేసకు బలమెన పరాంతాలు.
आपने कहा था कि दरवाजे की ओर पीठ करके कभी नहीं बैठना चाहिए.	ఎపపుడూ వీపు తలుపు వెపు పెటటి కూరచోవదదని చెపపావు.
वह तुमहारे लिए मायने रखता है.	అతనంటే నీకేదో ఇషటం ఉంది.
कोई कुछ जला रहा है.	ఎవరో, ఏదో కాలుసతుననారు.
हम भूखे मर रहे हैं.	మనం ఆకలితో చనిపోతుననాం.
तुम झूठ बोल रहे हो.	నువవు అబదధం చెపతుననావు.
जो कहा था कि यह कया करते हैं, वह सच नहीं था. बिलकुल सच नहीं था.	అతని పని గురించి చెపపింది, నిజం కాదు. అది నిజం కాదు.
आदेश मिले हैं कि हर वकत तुमहारे साथ रहूँ	నినను బెరలిన విమానం ఎకకించే వరకు,
अगर थोरन किसी बैंकिंग साइट पर गया था, तो उसकी जानकारी चाहिए, ठीक है?	మనం థారన సందరశించిన బయాంకింగ సెటస కోసం చూసతుననాం, సరేనా?
तुमहें जाना होगा.	నువవు వెళళాలి.
शायद वह वहीं जा रहा है.	అది అతను వెళతునన దిశ కావచచు.
तुमहारी जिंदगी बचाने के लिए.	నీ పరాణాలు కాపాడడానికి.
आपको मैकस से कया चाहिए?	మీకు మాకస గురించి ఏం కావాలి?
हमारे संसाधन, हमारी संपदा, हमारी जीविका	మన వనరులు, మన సంపద, మన జీవనాధారం
उनहें परशिकषण देगा, ताकि वे आपकी और आपके परिवार की बेहतर सुरकषा कर सकें.	మిమమలని, మీ కుటుంబానని కాపాడే విధంగా వారికి శికషణను ఇసతాడు.
- इसे पास से दिखा सकती हो? - हाँ.	-కాసత పెదదగా చేయగలవా? -సరే.
उसकी बेटी को बंदूक की एक गोली दी.	నినన గలోరియా నాకు చెపపింది.
कोई काम की चीज है?	ఏదెనా ఉపయోగపడేది ఉందా?
ठीक है. हम जा रहे हैं.	విననాను. మేము దారిలో ఉననాం.
शायद यही उसके गायब होने का कारण है.	బహుశా దీని వలలే అతను కనబడకుండా పోయి ఉంటాడు.
पर मेरी माँ इस कारोबार में मेरी साझेदार है और वह थोडी परेशान हो रही हैं, तो. . .	కానీ నా వయాపార భాగసవామి మా అమమ, తను కంగారు పడుతుంది, అందుకని. . .
और वह हमसे और कया छिपा रही है?	ఆమె మనకు చెపపని విషయాలు ఇంకేం ఉననాయి?
जब तक तुम बरलिन के हवाई जहाज में बैठ नहीं जाती.	నా దృషటి దాటి పోనివవకూడదని ఆదేశించారు.
हमारी एजेंसियों ने साथ मिलकर ऐसे कुछ ऑपरेशन किए हैं.	మేము ఇలాంటి ఇంటర ఏజెనసీ పనులు కొనని చేసాం.
मुझे तुमहारा हथियार चाहिए.	నాకు నీ ఆయుధం కావాలి.
शायद वहाँ पर कोई गाँव है.	బహుశా ఏదెనా దేశీయ గరామం కావచచు.
होजे को भेजने का शुकरिया.	జోసటని పంపించినందుకు ధనయవాదాలు.
वह अपना काम बहुत बखूबी करता है.	తను చాలా కషుణణంగా ఉననాడు.
मैं आज रात उससे मिलने जाऊँगा.	ఇవాళ రాతరి ఒకసారి తనను కలిసి వసతాను.
सोशल मीडिया तो कोई और ही कहानी बयान कर रहा है.	సామాజిక మాధయమాల అభిపరాయం వేరుగా ఉంది.
उसने हमेशा एक बात कही है कि कभी किसी की परवाह मत करो.	అతను నాకు ఎపపుడూ చెపపిన ఒకే ఒక విషయం, ఎవరి గురించీ పటటించుకోవదదని.
हाथ का खयाल अचछा है.	నాకు చెయయి ఆలోచన నచచింది.
शुकरिया.	ధనయవాదాలు.
हैलो?	హలో?
हैलो?	హలో?
मेरी मदद कर सकते हो?	నాకు సహాయపడగలవా?
कया?	ఏంటి?
कया?	ఏంటి?
एक आदमी?	ఒకక వయకతా?
मैं?	నేనా?
मेरे पिता टैकसी चलाया करते थे,	మా నానన టాకసీ నడిపేవాడు,
रुको.	ఆగు.
इसी अयसक से टैनटलम निकालते हैं.	ఈ ధాతువు నుండే టాంటలం సంగరహించబడుతుంది.
लगता है फिर कोई धमकी नहीं मिली.	మళళీ ఏ బెదిరింపులు రాలేదని అనిపిసతుంది.
कया? हमलावर अब भी खुला घूम रहा है.	ఏంటి? షూటర ఇంకా పటటుబడలేదు.
मुझे अपना खयाल रखना आता है.	నా బాగోగులు చూసుకోవడం నాకు తెలుసు.
हमारे पीठ पीछे बेची जा रही है	మన వెనకాల అమమేసతుననాడు,
तुम कोई जयोतिषी हो कया?	ఏంటి ఇపపుడు జోసయం చెపతుననావా?
यहाँ लिफट भी तो है.	అకకడ లిఫట ఉంది.
और एक बेटी है, मोनीक, वह 13 साल की है.	ఇంకా నా కూతురు, మొనీక వయసు 13.
लंदन टरमिनलस से किंग एडवरड यूनिवरसिटी	లండన టెరమినలస నుండి కింగ ఎడవరడ విశవవిదయాలయానికి
वह कहाँ जा रहा है?	తను ఎకకడికి వెళతుననాడు?
हे भगवान.	దేవుడా.
एनाबेल.	అననబెలలె.
तुम अपने खयाली घोडों को जरा लगाम दो.	నీ ఊహలకు కాసత విశరాంతి ఇవవు.
कयुरासाओ में हमारे हवाई जहाज नशीली दवाओं की तसकरी रोकने के	మాకు కురసావో నుండి యాంటి నారకోటికస పనులు చేసే
अगर उनहोंने वह उपलबध करवाना बंद कर दिया,	వాళళు టాంటలం సరఫరాని నిలిపేసతే,
मुझे वरदी वाले पसंद हैं.	నాకు సెనయంలో పని చేసేవారు ఇషటం.
मेरे रासते में मत आना.	నా దారిలోకి రాకు.
और मुझे कोई ऐसा इंसान चाहिए था जिसे रेयस खरीद न सके.	నాకు రేయేస కొనలేని వయకతి కావలసి వచచింది.
हैलो, जान.	హలలో, బంగారు.
बाय, हैरी.	సెలవు, హయారీ.
तुमने यह पहले कयों नहीं बताया,	నువవు నాకు ఇదంతా ముందు ఎందుకు చెపపలేదు,
आप अब भी उसे हरा सकती हैं.	మీరు తనని ఓడించవచచు.
अगर तुम हमारी मदद करो, तो हम तुमहारी और तुमहारे परिवार की सुरकषा कर सकते हैं.	నువవు సహకరిసతే, బదులుగా నిననూ, నీ కుటుంబానని మేము కాపాడగలం.
शायद मैंने उस जेसॉक करनल के साथ कुछ जाम पिए हों	అంటే, గత ఏపరిలలో కలిసిన జేసాక కలనలతో
वरना कया कर लोगे?	లేకుంటే ఏంటి?
उसकी असली पहचान.	అతని నిజమెన గురతింపు.
मेरा नाम जैक रायन है. तुमहारे पापा के बारे में कुछ बात करनी है.	నా పేరు జాక రెన. నీతో మీ నానన గురించి మాటలాడాలి.
- कया? - है न अजीब?	-ఏంటి? -నాకు తెలుసు, కదా?
यह सरजियो बोनालडे के घर की तिजोरी से लेकर आया हूँ.	సేరిగో బొండేల ఇంటి లాకర నుండి తెచచాను.
वेनेजुएला एक अमीर देश है.	వెనెజులా ధనిక దేశం.
या सब भुलाकर आगे बढ जाना.	ముందుకు సాగిపోవడమా.
असल में, उसी के सिलसिले में यहाँ आया हूँ.	నిజానికి అందుకే ఇకకడికి వచచాను.
कया तुम अब तक जैक द रिपर वाले दौरे पर गए?	నువవు జాక రిపపర యాతరకి వెళళావా?
मुझे लगा तुमने सिगरेट पीना छोड दिया.	నువవు వదిలేసావు అనుకుననాను.
मुझे जाना होगा.	నేను వెంటనే వెళళాలి.
हाँ. एनाबेल.	అవును. అననబెలలె.
बिजली की कटौती के कारण हमारा देश अंधेरे में डूबा हुआ है.	బలాకఔటలు మన దేశానని చీకటిలోకి నెడుతుననాయి.
वह कहाँ गया है?	తను ఎకకడికి వెళళాడు?
मैं तुमसे बाद में मिलती हूँ.	నీతో తరువాత కలుసతాను.
चलो.	పద.
मुझे तुमसे एक और बात करनी थी.	నేను నీతో ఇంకో విషయం గురించి మాటలాడాలి.
मुझे एहसान फरामोश मत समझिएगा.	మీ సహాయానని తకకువ చేయడం నా ఉదదేశం కాదు.
- अब भेज दो. -अकषांश 7863,	-సరే, దానని పంపించు. -అకషాంశం 7863,
जलद मुझे कुछ दिनों के लिए जाना होगा, शायद हमेशा से जयादा दिनों के लिए.	నేను తవరగా వెళళిపోవాలి, బహుశా మామూలుకంటే ఎకకువ కాలం.
काश मैं और मदद कर पाता.	నేను ఇంకా చేయగలిగితే బాగుండేది.
कया आप वाकई ठीक हैं?	నువవు నిజంగా బాగానే ఉననావా?
मैंने थोरन के कंपयूटर पर हुए हर लेन-देन की जाँच कर ली,	థారన కంపయూటరలో అతని లావాదేవీలననీ చూసాను.
- तो कया बात है? - मैं कल गलोरिया से मिलने गया था.	-ఏంటి విషయం? -నినన గలోరియాను కలిసాను.
उससे दूर ही रहना.	నువవు ఆమెను వదిలించుకో.
कया मैं आपको जानती हूँ?	నాకు మీరు తెలుసా?
सुनो, दोसतों, योजना में थोडा बदलाव है.	సరే, అబబాయిలూ, పలాన మారింది.
और एक खाता मिला है.	నాకు ఈ ఒకక ఖాతా దొరికింది.
उममीद रखना बुरा नहीं होता.	ఆశ ఉండడం తపపు కాదు.
हाँ. बस अपने समंदर किनारे वाले घर का आधा किराया दे रहा हूँ,	తపపకుండా. నా బీచ హౌసకి సగం అదదె కడుతుననాను,
तो, आप कैसे हैं?	సరే, నువవు ఎలా ఉననావు?
सुनो, माइक.	హే, మెక.
कोई नई धमकी नहीं मिली.	కొతతగా ఏమీ లేవు.
जो जमीन के नीचे छिपे खनिजों के भंडार ढूँढ लेती है.	కనుగొనడానికి వీలు కలపించే ఒక ఇమేజింగ సాంకేతికత పె వారికి పేటెంట ఉంది.
मैं तुमहारे लिए कुछ लाया हूँ.	మీ కోసం ఒకటి తెచచాను.
हाँ, बेशक. सब ठीक है.	ఆ, బాగానే ఉంది. అంతా బాగుంది.
कि सीआईए वाले मेरे पास आए थे.	నేను రేయేసకు చెపతాను.
बकवास मत करो.	వెధవలాగా మాటలాడకు.
हमारा तलाक हो गया.	మేము విడాకులు తీసుకుననాం.
बहुत सनसनीखेज बात होगी न?	అది భారీ పరకంపనలను కలిగిసతుంది కదా?
हाँ, मॉनिका हेररेरा.	అవును, అవును, మోనికా హీరరెర.
न केवल पराकृतिक संपदा के मामले में,	సహజ వనరుల విషయంలోనే కాదు,
उनमें विनमरता थी.	వాళళు వినయంగా ఉండేవాళళు.
मुझसे बात करनी हो तो यह फोन इसतेमाल करना.	నాతో మాటలాడాలంటే, ఈ ఫోన వాడు.
तो मैं आपके सुरकषा दल के परमुख से बात करना चाहूँगा.	మీ పరధాన భదరత అధికారితో మాటలాడుతాను.
वह तुमहारे पापा ने किया था.	అది మీ నానన చేసాడు.
शाबाश. मुझे खबर देते रहना.	బాగా చేసావు. నాకు వివరాలు చెపతూ ఉండు.
अपरैल में?	ఏపరిలా?
मैं तैयार हूँ.	నేను సిదధంగా ఉననాను.
यह सब उसी वकील के जरिए हो रहा है जिसके बारे में मैंने तुमहें बताया था.	ఇదంతా నేను నీకు చెపపిన నయాయవాది దవారా జరుగుతుంది.
- अभी तो कर रही हो. - वरना तुम मारे जाओगे.	-ఇపపుడు చేసతుననావు. -ఇపుడు అది చేయాలి, లేదా నువవు చనిపోతావు.
जैसे ही तुम वहाँ पहुँचोगे, हम तुमहें अमरीका जा रहे हवाई जहाज में बैठा देंगे.	మీరు దిగగానే, మిమమలని యుఎసకు వెళళే విమానంలో ఎకకిసతాం.
कम से कम पता तो है कि रिशता खतम हो गया.	కనీసం మీకు ఒక ముగింపు ఉంది.
तो वह कौन है?	మరి ఎవరు?
मैं आपकी कया मदद कर सकता हूँ?	మీకు ఎలా సహాయపడగలను?
पर बचचों की चिंता फिर भी लगी रहती है,	కానీ నా పిలలల గురించి కంగారుపడకుండా ఉండడం కషటంగా ఉంది,
एक सलाह दूँगा, जैक.	ఒక సలహా, జాక.
काम कैसा चल रहा है?	పని ఎలా ఉంది?
थोडा वयसत था.	కాసత బిజీగా ఉననాను.
अभी बहुत तनाव है.	పరసతుతం చాలా ఒతతిడి ఉంది.
आगे हम संभाल लेंगे.	ఇకకడి నుండి మేము చూసుకుంటాం.
बहुत बडी मदद मिली है.	నువవు అడిగింది చాలా పెదద సహాయం.
कि शायद वह शाही परिवार से था.	అతను రాచ కుటుంబంలో సభయుడు అయయి ఉండవచచు అని.
हाँ.	అవును.
हाँ.	అవును.
हाँ.	అవును.
पर ऐसी कुछ हदें हैं जिनहें मैं पार नहीं करती.	కానీ నేను కొనని పరిధులు దాటను.
पर उसे परवाह है.	కానీ తను పటటించుకుంటాడు.
कार से निकलो. निकलो.	కారు నుండి దిగు. కిందికి దిగు.
पता नहीं कया बेहतर है.	ఏది మెరుగెన పరిసథితో నాకు తెలీదు.
उसे पता है कि वह फँस गया है.	తనకు తపపించుకునే అవకాశం లేదని తనకు తెలుసు.
जाओ.	వెళళు.
जाओ!	వెళళు!
उनहोंने एक इमेजिंग तकनीक पेटेंट करवाई है	భూమి కింది ఖనిజ నికషేపణలను
अगर हम इस दररे से जाएँ, तो शायद थोडा समय बचा सकते हैं.	ఈ లోయ నుండి వెళతే, తవరగా వెళతామేమో.
मिलने पर बताऊँगा,	వయకతిగతంగా,
हमारी मुलाकात कराकस में हुई थी.	మేము కరాకసలో కలిసాం.
उस हवाई जहाज के टिकट की कीमत है	ఆ విమానం టికెట ఖరీదు
मटीस को फोन करो.	తిరిగి మాటిసకు కాల చెయయి.
विदेश विभाग.	సటేట డిపారటుమెంటలో.
और मुझे लगता है	ఇక నేను వయకతుల సవభావానని
चाहे उसके लिए कोई भी कुरबानी कयों न देनी पडी हो.	అందుకు తయాగాలు చేసేవాళళం కూడా.
कीमत खरबों में है.	లకషల కోటలు.
तुमने लेसटर सकवैर वाले हादसे के बारे में सुना?	లెసటర సకవేర గురించి విననావా?
मतलब हमारे अलग होने के अगले ही महीने?	మనం విడిపోయిన నెలలోనా?
एनाबेल की परवाह है.	అననబెలలె గురించి పటటించుకుంటాడు.
यह वाला. जरा इसकी जाँच करो.	ఇది. దీనని చూడు.
ठीक है. फायरवॉल बंद कर दिया है.	సరే, ఫెరవాల ఆపాను.
ठीक है,	సరే,
ठीक है.	సరే.
ठीक है.	సరే.
ठीक है.	సరే.
बस करो.	ఆపు.
पलीज.	కూరచోండి.
और तुमहें?	మరి నీ సంగతి ఏంటి?
जरूर.	తపపకుండా.
बचाओ!	కాపాడండి!
तुम मुझे मरवा सकते थे,	ముందు ననను దాదాపు చావు దాకా తీసుకెళళావు,
एक मिनट, पलीज.	దయచేసి, ఒకక నిమిషం ఉండండి.
तुमहें ऐसा लगता है?	అవునంటావా?
कभी मयामी गए हो?	నువవు ఎపపుడెనా మయామీకి వెళళావా?
उसने इनहें मार डाला.	అతను తనని చంపేసాడు. అతను తనని చంపేసాడు.
कया?	ఏమంటారు?
जरूर. शुकरिया.	నేను తీసుకుంటాను. ధనయవాదాలు.
उनमें आतमसममान था.	వాళళు గరవంగా తలెతతుకుని తిరిగే వాళళు.
हाँ, होगी तो.	అవును, అది మొతతం కదిలిసతుంది.
और कुछ?	ఇంకా ఏమెనా ఉందా?
कब?	ఎపపుడు?
बस?	అంతేనా?
हाल में हुए पोल के नतीजे हैं.	ఇటీవలి పోలస.
चलो.	వెళదాం పద.
चैपल	పరారథనాలయం
अमरीकी दूतावास	యునెటెడ సటేటస ఆఫ అమెరికా దౌతయ కారయాలయం
बेशक.	అవును, తెలుసు.
जाओ.	నువవు వెళళు.
चलो!	బెటికి పదండి!
