लिजी?	లిజీ?
हमें लेकर समझदारी से काम लेने के लिए, शुकरिया कहने के तौर पर.	మన విషయంలో మంచిగా ఉంటుననందుకు కృతజఞతగా ఒక కానుక ఇదదామని అనుకుంటుననా.
"माँ"? हाँ? 01632 960 487?	"అమమా"? చెపపు? 01632 960 487?
-और मुझे माफ कर दो. -तुमने मुझे कुछ बताया कयों नहीं?	- కానీ నేను సారీ చెబుతుననాను. - నువవు ఎందుకు ఏమీ చెపపలేదు?
वाईफाई चालू है, वह चाहता था मैं एलेन को फोन करने में उसकी मदद करूँ.	వెఫె ఆన అయింది, ఎలెన కి ఫోన చేయడం కోసం అతను నా సాయం అడిగాడు.
इसलिए, तुम इनहें एक कंपयूटर दे दो.	కాబటటి, ఇతనికి ఒక కంపయూటర ఏరపాటు చేయి.
पलीज अपने जेट विमान वहाँ से हटा लीजिए.	దయచేసి మీ యుదధవిమానాలని తపపించండి.
इस नंबर के सारे पिछले विवरण मिटा दें?	ఈ నెంబరుపె హిసటరీ అంతా డిలీట చేయాలా?
कया हमें परधानमंतरी के दफतर को बताना चाहिए या. . .	మనం టెన డౌనింగ సటరీట లో పరధానమంతరికి చెబుదామా, లేదా. . .
मुझे टेरी दिखाई नहीं दे रहा.	నాకు టెరీ కనిపించడం లేదు.
कोई बात नहीं करेगा. बाहर देखने के लिए कुछ नहीं है.	మీరు ఏమీ మాటలాడుకోకండి. అందులో నుంచి చూడటానికి ఏమీ లేదు.
हे! वापस अपनी सीट पर जाओ!	హేయ! నీ సీటులో తిరిగి కూరచో!
एडगर और जॉन. तो हमें वही करना होगा जो हमसे कहा जाता है, बिलकुल वही जो हमसे कहा जाता है, हाँ?	ఎడగర ఇంకా జాన. కాబటటి మనం వాళలు చెపపినటలే చేసతాం, ఖచచితంగా చెపపిందే చేసతాం, సరేనా?
-मैंने ऐसा कभी नहीं सोचा. -यह तरकीब काम नहीं करेगी, दोसत.	- నేను దాని గురించి అసలు ఆలోచించలేదు. - అదేమీ పని చేయదు, మితరమా.
मुझे दरद की दवा दोगे, डॉकटरों को बुलवाओगे, वगैरह-वगैरह.	నాకు పెయిన కిలలర మందులు, డాకటరలు అననీ ఏరపాటు అయయేలా చూసతావు.
अभी के लिए उसे वहीं रख सकते थे, हाँ?	మనం చేయగలిగింది ఇంతే కదా, అవునా?
तुम कितने बजे वापस आओगे?	నువవు ఇంటికి ఎపపుడు వసతావు?
ठीक है. बशरते तुमने. . .	సరే. మీ దగగర ఉననది ఏదీ. . .
उसे गुससा आ गया?	ఆమె కోపగించుకుందా?
यह उसी की मरजी है, दोसत. हम उनहें अनदेखा करेंगे.	అతనే మాకు చెపపాడు, బాబు. మనం వాళలని పటటించుకోవడం లేదు.
सफेद कपडों वाले.	ఆ తెలల అంగీ వయకతి.
इनसुलिन?	ఇనసులినా?
मैं भी चाहता हूँ आप यहाँ होतीं, माँ.	నువవు ఇకకడ ఉంటే బాగుండేది, అమమా.
मैंने कहा खिडकियाँ बंद करो!	ఆ కిటికీ తెరలు మూసేయండి!
जब तक हमें पता नहीं चलता कि वहाँ आखिर हो कया रहा है, तब तक मैं तुमहें कया बताता?	అకకడ ఏం జరుగుతోందో మాకు సపషటంగా తెలిసే వరకూ నీకు ఫోన చేయడంలో అరథం లేదు.
नहीं, ऐसा मानकर नहीं चल सकते. मेरा मतलब है, वे हमारे सहयोगी जरूर हैं,	అంటే, లేదు, మనం నమమవలసిన అవసరం లేదు. నా ఉదదేశం, వాళలు మనకి మితరదేశమే కావచచు,
हाँ. ठीक है, मैं एक बार और सब कुछ समझाती हूँ, ठीक है?	అవును. సరే, నేను మరోసారి ఇది వివరిసతాను, సరేనా?
उनसे बात करनी होगी. उनहें मैसेज देना होगा.	వాళలని సంపరదించాలి. వాళలకి ఒక సందేశం పంపాలి.
तुमहें जो बात करनी है, कर लेना.	నువవు ఏం చెపపాలనుకుననావో అది చెపపు.
कुछ छुपाया हुआ नहीं हो.	మీరు దాచనంత వరకూ ఫరవాలేదు.
अभी थोडी देर पहले जो हुआ, वैसा कुछ दोबारा नहीं होगा.	ఇపపుడు జరిగినదంతా, కేవలం ఈ ఒకకసారే జరుగుతుంది.
संपरककरता एक महिला है. उमर लगभग तीस. तीन-शूनय.	సంపరదించినది ఒక మహిళ. వయసు సుమారు ముపపె. మూడు సుననా.
उप-शीरषक अनुवादक: पुनीत	తెలుగు అనువాదం: సతీశ కుమార
आप सब खिडकियाँ खोल सकते हैं.	మీరు కిటికీ తెరలు తెరవచచు.
तो, यह बहुत महतवपूरण है. हो सकता है यह गलती से हुआ हो	కాబటటి, ఇది చాలా కీలకమెనది. ఇపపుడు, అది పొరపాటున వచచి ఉండచచు
हाँ. ठीक है, करो.	సరే. పెకి తీయి.
नहीं, ऐसा मत कहो.	లేదు, అలా అనకు.
तुम सच में मेरी मदद कर रहे हो?	నువవు నిజంగా నాకు సాయం చేసతుననావా?
पेन से काम चलेगा?	పెన సరిపోతుందా?
उनहोंने जगह ले ली है. आदेश दिया जाने वाला है.	వాళలు సిదధంగా ఉననారు. ఇంక ఆదేశాలు జారీ చేయబోతుననాం.
राषटरीयता: बरिटिश	పౌరసతవం, బరిటీష
हमारे पास यही है. बस यही.	మా దగగర ఇదే ఉంది. ఇదే.
एक विमान सीधा बुकारेसट की तरफ आ रहा है और उससे कोई संपरक नहीं हो पा रहा है.	మేము సంపరదించినా సపందించని ఒక విమానం నేరుగా బుకారెసట వెపు వసతోంది.
ठीक है. इंतजार करो. आगे की काररवाई की अनुमति ली जा रही है.	విననాం. గమనిసతూ ఉండండి. చరయ కోసం అనుమతి కోరుతుననాం.
मैं शायद नहीं. . . माँ, सुनो.	నేను రాలేకపోవచచు. . . అమమా, విను.
-हैलो. -मेरे पीछे वाली सीट पर	- హలో. - నా సీటు వెనుక ఉనన వయకతి,
-मैं मरने वाला हूँ. यही सच है. -नहीं. ऐसी बातें मत करो. ठीक है?	- నేను చనిపోతుననాను. అది తపపదు. - లేదు. అలాంటి మాటలు మాటలాడదదు. సరేనా?
कया आप अपने पते की पुषटि कर सकती हैं, पलीज?	దయచేసి మీ చిరునామాని నాకు ఒకసారి నిరణారణ చేసతారా?
ओय. हे. जब हम वापस जाएँगे तो तुम कया करोगे?	ఓయ. హేయ. మనం తిరిగి వెళలాక నువవు ఏం చేయబోతుననావు?
अगर वह करीट के पहाडों पर हैं, तो उनहें वह विमान ऊपर से उडता हुआ दिखाई दे सकता है.	ఆమె గనుక కరీట లో కొండల మధయ ఉంటే, ఆమె ఆ విమానం పెన ఎగరడానని చూసి ఉండేది.
यहाँ आओ.	ఇలా రా.
डैनियल?	డానియెల?
ठीक है? शुकरिया.	సరేనా? థాంకయూ.
वापस अपनी सीट पर जाओ.	నీ సీటులోకి వెళలి కూరచో.
हाँ, जलदी करो.	అవును, ఫోన చేయి.
ठीक है.	విననాను.
डारियस, रुको. ये निशचित तौर पर बरिटिश नागरिक हैं.	డారియస, ఆపండి. ఆ హెజాకరలు బరిటీష పౌరులని నిరధారణ అయింది.
बैठने और अपना मुँह बंद करने के लिए! नहीं तो, एक और जान जाएगी.	కురచీలలో కూరచుని నోరుమూసుకుని ఉండటానికి! లేదంటే, ఇంకొకరు చసతారు.
ये वहाइट माउंटेनस, जहाँ भी वे लोग हैं, यह ऐसे समय में रहने के लिए एकदम बढिया जगह है.	ఈ వెట మౌంటేనస, అవి ఎకకడ ఉననాయో కానీ, అవి విహారయాతరకి చకకని పరదేశాలు కావచచు.
फोन या तो बंद कर दो या साइलेंट पर,	ఫోనలు ఆఫ చేయండి, లేదా సెలెంట లో ఉంచండి,
वह सैनय काररवाई की धमकी दे रहा है.	అతను సెనిక చరయ చేసతానని బెదిరిసతుననాడు.
हमारे पास और कुछ नहीं है.	మా దగగర ఇంతకననా మరేమీ లేవు.
तुमहें बातें करते रहना होगा कयोंकि बातें करने से मदद होगी.	నువవు ఏదో ఒకటి మాటలాడుతూ ఉండాలి, ఎందుకంటే మాటలాడటం మేలు చేసతుంది.
लेकिन यह बस उसे यह एहसास दिलवाने के लिए है कि मैं तुमहारे साथ हूँ	కానీ వాడికి నేను ఉననాననే అభిపరాయం కలిగించడం కోసం అది ఒక పరయతనం అనుకుంటాను
कुछ भी. इसे बांधने के लिए.	ఏదెనా సరే. గటటిగా కటటు కటటాలి.
पहले की तरह आप हमारी फलाइट को देख सकते हैं, लेकिन अब, उसके ठीक बगल में. . .	మన విమానం ఇందాక కాసత ముందు ఉంది, కానీ ఇపపుడు, దీని పకకన ఉంది. . .
इसतानबुल तुरकिए	ఇసతాంబుల టరకీ
- ये लोग? - कया हो रहा है?	- వీళల దగగరా? - ఏం జరుగుతోంది?
कोई भी ऐसा वयकति जिसका आपराधिक इतिहास रहा हो.	యుఎఇని గత ఆరు నెలల కాలంలో సందరశించి ఉంటే గురతించండి.
जब तक टेरी वापस आए, कया हम तुमहारी मॉम को कॉल करें? एलेन.	మనం టెరీ కోసం ఎదురుచూసే సమయంలో, మీ అమమకి ఒకసారి ఫోన చేదదామా? ఎలెన.
कोई फरक नहीं पडता. वैसे भी उसका नाम जानकर मैं कुछ नहीं कर सकता, दोसत.	మరేం ఫరవాలేదు. ఆ సమాచారంతో నేను ఏమీ చేయలేను అనుకుంటా, మితరమా.
अगर आप ऐसा नहीं करते हैं,	నువవు ఈ ఆదేశాలని పాటించకపోతే,
दरद कम करने की, शांत रखने की, कुछ भी.	పెయిన కిలలర మందులు, మతతు ఇచచేవి, ఏవెనా సరే.
ठीक है. तो, विमान किंगडम एयरबस ए330 है, विमान पर 216 लोग मौजूद हैं.	సరే. అయితే, అది కింగడమ ఎయిర బస ఎ330 విమానం, అందులో 216 మంది పరయాణికులు ఉననారు.
एयरपलेन मोड.	ఎయిరోపలేన మోడ.
जाहिर है, उसने हमें लेकर ठीक बरताव नहीं किया है,	ఖచచితంగా, వాడు మనతో మంచిగా పరవరతించడం లేదని నాకు తెలుసు,
वैसे, शुकरिया.	సరే, థాంకయూ.
ऐसा भूलकर भी मत करना.	నువవు ధెరయం చేయకు.
ठीक है. अब, मैं इस पर अपना हाथ रखूँगा. . .	సరే. ఇపపుడు, నేను నా చేయి పెటటి. . .
ठीक है.	అలాగే.
ठीक है.	అలాగే.
तुम मुझसे अचछा बरताव करोगे. यही ना?	నువవు నాతో మంచిగా ఉంటావు. కదా?
और दोबारा उठना मत.	ఇంక మళలీ పెకి లేవదదు.
मैं शायद नहीं. . .	నేను రాలేకపోవచచు. . .
हाँ. जलदी करो.	అవును. చేయి.
- सैम की तरफ से? - नहीं.	- సామ నుండి వచచిందా? - కాదు.
ठीक है?	సరేనా?
बरिटिश सरकार से कोई जवाब लेना मेरे लिए भी उतना ही मुशकिल है, बेटीना,	బెటీనా, నాకు బరిటీష పరభుతవం నుండి సమాధానాలు వచచే అవకాశాలు,
हाँ, बस हिममत मत हारना, दोसत.	అవును, కేవలం ధెరయంగా ఉండు, మితరమా.
ठीक है. हथियार निषकरिय.	విననాము. ఆయుధాలు ఆపివేశాము.
अगर हम उसे खींचकर पीछे ले जाएँगे, तो लोग घबराना शुरू कर देंगे.	మనం ఆమెని తిరిగి వెనకకి ఈడచుకువసతే, జనం భయంతో కేకలు వేయడం మొదలుపెడతారు.
हालात बहुत जलदी बिगडते जा रहे हैं.	పరిసథితి చాలా తవరగా విషమంగా మారిపోతోంది.
और हम जितना पशचिम में जाते जाएँगे, उतना सुरकषित होते जाएँगे.	మనం పశచిమంగా ఎంత ముందుకు వెళితే, అంత కషేమంగా ఉంటాం.
हाँ. यही आदेश है.	నిశచయంగా. ఇది ఆదేశం.
इनहोंने परवेश परकरिया पूरी की है?	అతనికి పూరతి వివరాలు తెలుసా?
हम 60 सेकंड में हमला करेंगे.	మేము అరవె సెకనలలో పేలచేయబోతుననాం.
फिर तब कुछ नहीं होता, तो अगली बार होता.	అయితే అపపుడు కాకపోతే, తరువాత సారి చంపడం తపపదు.
बोल रही हूँ. हम जेनीवा में मिले थे. पता नहीं आपको याद है या नहीं. वह. . .	నేనే మాటలాడుతుననా. మనం జెనీవాలో కలుసుకుననాం. నీకు గురతుందో లేదో తెలియదు. అపపుడు. . .
लुइस एचिसन?	లూయిస ఐటచిసన?
हम उनकी टीम और उनके राजदूत को जानकारी दे रहे हैं,	మేము అతని టీమ కీ ఇంకా వాళల రాయబారికీ సమాచారం అందిసతుననాము,
हाँ. तो, विमान ने दुबई से उडान भरी थी,	అవును. అయితే, ఆ విమానం దుబాయ లో టేకాఫ అయింది,
मैं तुमसे सच कह रही हूँ. इस समय, मैं इससे जयादा कुछ नहीं कर सकती.	నేను నీతో నిజాయితీగా ఒక విషయం చెబుతాను. ఈ దశలో, నేను చేయగలిగిన పని అది ఒకకటే.
इसके लिए कुछ और मजबूत चीज चाहिए.	నీకు ఇంతకననా బలమెనది అవసరం.
उनके लिए, यह एक ऐसा विमान है जिसकी खिडकियाँ	వాళల దృషటిలో, మనది కేవలం కిటికీలు మూసేసిన ఒక విమానం
किंगडम 2-9, अगर आप जवाब नहीं देते हैं,	కింగడమ 2-9, మీరు బదులు ఇవవకపోతే,
नहीं तो, एक दिन, जब लोगों का धयान इस तरफ जाएगा,	లేకపోతే, ఏదో ఒక రోజు, జనం ఈ విషయం గురించి చరచించుకుని,
हम यह एडगर के लिए कर रहे हैं, याद है?	మనం ఇదంతా ఎడగర కోసం చేసతుననాం, గురతుంది కదా?
ऐसा कुछ मत कहना जिससे वह परेशान हों. ठीक है?	మనం ఆమెని ఆందోళన పడేలా చేయదదు. సరేనా?
मैं मरने वाला हूँ ना?	నేను చనిపోబోతుననాను, కదా?
जेट विमान चले गए हैं.	యుదధవిమానాలు వెళలిపోయాయి.
लेकिन हम उनहें ऐसी कोई जानकारी नहीं दे रहे हैं जिससे उनको तसलली मिल सके.	వాళలని శాంతంగా ఉంచడానికి మనం ఎలాంటి సమాచారానని ఇవవలేకపోతుననాం.
-नहीं. -वह गलती से हो गया.	- లేదు. - అది ఒకకసారే జరిగింది.
ठीक है, तो तुमहारी मॉम यहाँ हैं	సరే, అయితే, మీ అమమ ఉననారు,
और आप कुछ समझ पाएँ, उससे पहले ही. . .	ఇంకా అది మనకి తెలిసే ముందే. . .
देखो, दोसत, किसी को उसे पकडना होगा ताकि वह उसे चिपका सके.	చూడు, మితరమా, ఎవరెనా సాయం చేసి పటటుకుంటే ఆమె దానని గటటిగా కటటగలదు.
आतंकवादियों के डेटाबेस में सूचीबदध है? नहीं	తీవరవాదుల డేటాబేస లో నమోదయిందా? లేదు
फिर हम दोनों को बस मैसेज ऊपर पहुँचाते रहने होंगे, है ना?	ఆ తరువాత మనం వచచిన మెసేజ లని పె అధికారులకి పంపిసతూ ఉంటాం, అంతే కదా?
-हे, मैं अभी बिलकुल बात नहीं कर पाऊँगा. -वह डर बेवजह नहीं था.	- హేయ, నేను పరసతుతం మాటలాడే పరిసథితిలో లేను. - అది తపపుడు హెచచరిక కాదు.
सब लोग, बैठ जाओ! बैठ जाओ!	అందరూ కూరచోండి! కింద కూరచోండి!
मैंने कहा बैठ जाओ!	అందరూ కూరచోండి!
लेकिन वे हमारी रकषा नहीं कर रहे हैं.	కానీ వాళలు మనలని కాపాడటం లేదు.
- हाँ. कयों? - नहीं.	- అవును. ఎందుకు? - వదదు.
घंटी जा रही है.	ఫోన రింగ అవుతోంది.
- हालात? - डैनियल, हालात अचछे नहीं लग रहे थे.	- ఎలా ఉంది? - డానియెల, అది సీరియస విషయంలా అనిపించింది.
मारस. हमला करो.	మారస. దాడి చేయండి.
ठीक है, मेरी बात सुनो, मारशा.	సరే, నా మాట విను, మారషా.
पलीज अपनी संकेत बतती जलाएँ और हम में से कोई आकर आपको ले जाएगा.	దయచేసి మీ కాల లెట ని ఆన చేయండి, అపపుడు మాలో ఒకరు వచచి మిమమలని తీసుకువెళతాం.
यह सब कचरा साफ करो.	ఈ చెతత అంతా శుభరం చేయి.
"बताने की कोशिश" से तुमहारा कया मतलब है?	"తెలియజేయడం" అంటే నీ ఉదదేశం ఏంటి?
अगर वश में हो तो हर कोई संकट से दूर भागना चाहता है.	ఒక కలిషట సమసయని ఎదురకోవాలని ఎవరూ కోరుకోరు.
और उसके बाद ही हम बाकी सबसे फोन पर बात करना शुरू करेंगे.	ఇంకా అపపుడు మనం ఫోనలు చేయడం, తీసుకోవడం చేదదాం.
नहीं. सुनो, दोसत. नहीं.	చెతత. ఇలా చూడు, మితరమా. సరే.
वह इसमें मदद करने की कोशिश कर रहा है.	అతను ఈ సమసయని పరిషకరించాలని పరయతనిసతుననాడు.
सारी की सारी खिडकियाँ बंद करो! अभी करो!	పరతి ఒకక తెరని మూసేయండి! చేయండి!
दस सेकंड?	పది సెకనలా?
बस, हो गया.	అదీ అంతే.
ऐसा करने से जंग शुरू हो जाएगी.	అది యుదధానని మొదలుపెటటడమే.
उसे बोलो अपना मुँह बंद रखे. . .	అతడిని నోరు మూసుకుని ఉండమని చెపపు. . .
- तुमने सुना उसने कया कहा! जलदी! अभी! बंद! - खिडकियाँ बंद करो!	- తను చెపపింది మీరు విననారు! కదలండి! వెంటనే! కిందికి! - కిటికీ తెరలు మూయండి!
हम टेरी को बुला लेंगे.	సరే, నేను టెరీని పిలుసతాను.
अगर वह विमान लंदन की तरफ आ रहा होता और हमें लगातार अनदेखा कर रहा होता,	అదే విమానం గనుక లండన వెపు వసతూ మన ఆదేశాలు పటటించుకోకపోతే,
वह कह रहे हैं उसमें हमारी कोई गलती नहीं थी.	ఇది మన తపపు కాదని అతను చెబుతుననాడు.
- उनहें मत खोलो! रुको! - वे चले गए हैं.	- వాటిని మూసివేయండి! ఆపండి! - వాళలు వెళలిపోయారు.
हमें उन जेट विमानों से बात करनी होगी.	మనం ఆ యుదధవిమానాలతో మాటలాడాలి.
हथियार सकरिय. निशाना साध लिया गया है.	ఆయుధాలు సిదధం. అవి లాక అయయాయి.
पता लगाओ ये लोग कौन हैं, ये कया कर रहे हैं और कयों,	వాళలు ఎవరో కనిపెటటండి, వాళలు ఏం చేేసతుననారు, ఎందుకు చేసతుననారు,
-बिलकुल. -बिलकुल.	- ఖచచితంగా. - నిజంగా.
हालात बिगडते जा रहे थे. अब देखो.	పరిసథితి దిగజారిపోతోంది. ఇపపుడు చూడు.
हम ऐसा कुछ नहीं करने वाले.	మనం ఆ పని చేయడం లేదు.
मारस. पलीज पुषटि करो.	మారస. దయచేసి నిరధారించండి.
तुमने कहा था किसी की जान नहीं जाएगी.	ఎవరనీ చంపబోమని నువవు చెపపావు.
वे हमसे लोगों की रकषा कर रहे हैं.	మన నుంచి వేరే జనానని వాళలు కాపాడుతుననారు.
वह पेन ले आओ. उसकी साँसें रुकने वाली हैं.	తీసుకురా. ఇతనికి శవాస ఆగిపోతోంది.
मैं यह सब काम नहीं करती हूँ.	నేను ఇలాంటి పనులు చేయను.
वापस अपनी सीटों पर जाने के लिए दस सेकंड हैं.	మీ సీటలలో కూరచోవడానికి మీకు పది సెకనల సమయం మాతరమే ఉంది.
नहीं, यह एक अचछा सवाल है.	లేదు, అది మంచి పరశన.
- ठीक है? - हाँ.	- అంతే కదా? - అవును.
. . . और उनहें खोलना मत.	. . . వాటిని అలాగ మూసి ఉంచండి.
हाँ?	అంటే?
वाईफाई से कनेकट हो गया है	వెఫె కి కనెకట అయింది
माँ?	అమమా?
बीच-बीच में विमान का संपरक एटीसी से होता रहा है. इस समय, विमान रोमानिया के ऊपर उड रहा है.	అది ఏటిసితో అపపుడపపుడు సంపరదిసతోంది. ఇపపుడు, రొమేనియా మీదుగా వెళుతోంది.
तुमहें मुझे उनका नाम बताने की जरूरत नहीं है.	ఆమె పేరుని నువవు నాకు చెపపనకకరలేదు.
- या तो यह होगा या इंतजार. . . - लॉरेनस.	- ఇది అది కావచచు లేదా వేచి ఉండాలి. . . - లారెనస.
हे, पता है, वाईफाई चालू है.	హేయ, నీకు తెలుసా, వెఫె ఆన లో ఉంది.
वॉइसमेल कनेकट हो गया है डिसकनेकट हो गया है	వాయిస మెయిల కి కనెకట అయింది డిసకనెకట అయింది
इससे कया होता है? कया यह दरद कम कर सकती है?	ఇది ఏం చేసతుంది? ఇది పెయిన కిలలరా?
किंगडम 2-9, अगर आप जवाब नहीं देते हैं,	కింగడమ 2-9, మీరు సపందించకపోతే,
कया हमने जेट विमानों से कोई बात की है?	మనం ఆ యుదధవిమానాలతో మాటలాడామా?
हे, तुमने अचछा किया. हे? सुनो.	హేయ. నువవు బాగా చేశావు. హేయ? ఇలా చూడు.
यह सथिति और जयादा गंभीर हो जाएगी.	ఈ పరిసథితి తీవరం అవుతుంది.
यह मुझे दो.	అది నాకు ఇవవు.
पर अगर तुमहें मुझ पर भरोसा नहीं है, तो मेरे हाथ बंधे रहने दो	కానీ నువవు ననను నమమకపోతే, నా చేతులు కటటేసి ఉంచు
कया? एक बरिटिश विमान को? ऐसे ही किसी भी देश के ऊपर उडते हुए?	ఏంటి? బరిటీష విమానమా? ఏదెనా ఒక దేశం గగనతలంలోనా?
किंगडम 2-9, अगर आप जवाब देने में असमरथ हैं, तो संदेश परापति-सूचना के लिए विमान के पंख थोडा हिलाएँ.	కింగడమ 2-9, మీరు సపందించలేని పకషంలో, మీ రెకకలని కొదదిగా కదిలించి బదులు ఇవవండి.
हे, वे चले गए हैं.	హేయ, వాళలు వెళలిపోయారు.
और अगर आप धयान से देखें, तो वहाँ सिरफ एक विमान नहीं है.	మీరు దగగరగా గమనిసతే, ఇది ఒకకటి మాతరమే కాదు.
नहीं तो मैं बंद कर दूँगा.	లేదంటే నేనే వాడి నోరు మూయిసతాను.
मारशा, तुमने ही बताया था ना कि सैम कया कर सकता है.	మారషా, నువవు అతని గురించి నాకు చెపపావు.
नहीं, हमें पीएम से बात करनी होगी और वह भी अभी.	లేదు, మనం వెంటనే పరధానితో మాటలాడాలి ఇంకా అది వెంటనే చేయాలి.
उनके लिए, हम पास आती हुई एक मिसाइल हैं.	వాళలకి అది, ఒక కషిపణి దూసుకురావడం లాంటిది.
मुझे लगता है हमें जेट विमानों से बात करनी चाहिए.	మనం ఆ యుదధవిమానాలతో మాటలాడాలి అనుకుంటా.
तुम कया कर रही हो?	ఏం చేసతుననావు?
पहले तुम बताओ.	ముందు నువవు వెళలు.
वह कया?	ఆమె ఏంటి?
माँगें.	డిమాండలు.
तुमहारे सिसटम में पिछले छह महीनों में यूएई जाने वाला	మీ సిసటమ లో ఎవరెనా కరిమినల రికారడు ఉననవారు
और वहाँ पैकेज लेकर साइन करने के लिए कोई होगा?	అయితే ఆ పయాకేజ కోసం సంతకం చేయడానికి ఎవరెనా ఇంటలో ఉంటారా?
-तुमहें जो बात करनी है, कर लेना. -हाँ.	- నువవు ఏం చెపపాలి అనుకుననావో అది చెపపు. - అలాగే.
वह लिजी को ढूँढने गई थी.	ఆమె లిజీని వెతకడానికి వెళలింది.
कुछ लेना-देना नहीं है, ना ही कोई समसया है. हम बरिटिश हैं. हम लंदन जा रहे हैं.	లేదా బుకారెసట, లేదా మరెవరెనా కానీ. మేము బరిటీష. మనం లండన వెళతుననాం.
परभु, तेरा सामराजय हो.	నీ రాజయం వచచుగాక.
मैं शायद आपसे मिल नहीं पाऊँगा, माँ.	నేను నినను చూడలేకపోవచచు, అమమా.
उसके बाद, तुम उनहें उनकी दवाई दे सकते हो.	ఆ తరువాత అతనికి నువవు మందులు ఇవవచచు.
तुमहें लगता है विमान में कोई डॉकटर होगा?	విమానంలో ఎవరెనా డాకటర ఉననారు అనుకుంటుననావా?
ठीक है. बताओ.	సరే, చేయి.
जो किसी ने बहुत मनहूस तरीके से सकरीन पर लगा दिया है.	ఆ సమయానని ఎవరో చెడుగా సకరీన మీద పెటటారు.
हाँ, मेरे हाथ बंधे हुए हैं ना.	లేదు, ఎందుకంటే నా చేతులు కటటేసి ఉననాయి.
हाँ, मेरे हाथ बंधे हुए हैं ना.	లేదు, ఎందుకంటే నా చేతులు కటటేసి ఉననాయి.
कया विमान में कोई डॉकटर या नरस है, पलीज?	విమానంలో డాకటర కానీ నరస కానీ ఉననారా, దయచేసి చెపపండి?
बढिया, दोसत. ठीक है?	శవాస పీలచు, మితరమా. సరేనా?
हालात वापस हमारे काबू में हैं.	మనం మళలీ పటటు సాధించాం.
तो हम भी उसे मार गिराते.	మనం దానిని షూట చేసి ఉండేవాళలం.
हाँ, मैं बोल रहा हूँ, माँ.	అవును, నేనే మాటలాడుతుననా, అమమా.
नहीं. मत जाओ.	లేదు. అకకడే ఉండు.
मेरी तरफ देखो. मैंने तुमहें बताया था तुमहारी उमर का मेरा एक बेटा है.	ననను చూడు. నీకు చెపపాను, నాకు నీ వయసు కొడుకు ఉననాడు.
लेकिन इसका संचालन यहीं से होता है.	కానీ ఆ నేరాలకు ఇదే కేందరం.
-. . . नौ, आठ. . . - लिजी. लिजी!	-. . . తొమమిది, ఎనిమిది. . . - లిజీ. లిజీ!
-मॉम. -मॉम? हाँ?	- అమమ. - అమమా? చెపపు?
मैं तुमहारी मदद नहीं करना चाहता.	నీకు నేను సాయం చేయాలని అనుకోవడం లేదు.
पाँच मिनट. इंतजार करो.	ఐదు నిమిషాలు. గమనిసతూ ఉండండి.
हमें अब कुछ दिखाई नहीं दे रहा है.	మేము ఆ దృశయానని కోలపోయాం.
मैं भी चाहता हूँ आप यहाँ होतीं, लेकिन यह अचछी जगह नहीं है, माँ.	నువవు కూడా ఉంటే బాగుండేది కానీ నువవు ఇకకడ ఉండగలిగేదానివి కావు, అమమా.
गंतवय तक पहुँचने का समय	గమయానికి చేరే సమయం
विदेश सचिव को फोन मिलाना, पलीज.	విదేశాంగ మంతరిని ఫోన లోకి తీసుకురా, పలీజ.
निशाने पर हम हैं. आप निशाने पर नहीं हैं. यह आतंकवाद का मामला नहीं है.	వాళల లకషయం మేమే. మీరు లకషయం కాదు. ఇది తీవరవాదం కాదు.
कि उनके पास दस सेकंड हैं.	వాళలకి పది సెకనలు మాతరమే గడువు.
ओह, शुकर है.	ఓహ, చెతత.
हे.	హేయ.
केबिन करू के पास जाओ.	కయాబిన సిబబంది దగగరకి వెళలు.
हे.	హేయ.
जानता हूँ, जान.	నాకు తెలుసు, బంగారం.
इसके लिए योजना तैयार है.	అది అమలు చేయడానికి ఒక పలాన ఉంది.
बैठ जाओ.	కూరచో.
और तुमहारे माँ-बाप? हे? मॉम? डैड?	నీ తలలిదండరుల సంగతి ఏంటి? హేయ? మీ అమమ? నానన?
मेरे फोन में मेरी तसवीर.	నా ఫోనులో నా ఫోటో.
हद है!	చెపపండి!
-हाँ. -एलेन?	- అవును. - ఎలెన?
मैं मिलूँगा.	తపపకుండా వసతాను.
-रुको. -और हालात. . .	- ఆగు. - అది ఎలా ఉందంటే. . .
नहीं. मुझे पता है तुम झाँसे में नहीं आओगे.	లేదు. నీ గురించి నాకు తెలుసతోంది.
बडा हिससा यूके नागरिकों का है, विमान के मधय लंदन पहुँचने के तय समय में अब लगभग. . .	వారిలో ఎకకువమంది బరిటీష పౌరులే, ఇంకా అది లండన కి దాదాపుగా. . .
यह काम नहीं कर रहा है. नेटो लडाकू विमान, मैं किंगडम 2-9 से बोल रहा हूँ.	ఇది పని చేయడం లేదు. నాటో యుదధవిమానం, మేము కింగడమ 2-9.
तुम जाकर दवा वगैरह कुछ लेकर आओ, हाँ? जाओ!	వెళలి ఏమెనా మందులో లేదా మరేదెనా తీసుకురా, సరేనా? వెళలు!
लेकिन वह सीधा आपसे बात करना चाहते हैं.	కానీ అతను మీతో నేరుగా మాటలాడాలి అని పటటుబడుతుననాడు.
तुमहारी उमर का मेरा एक बेटा है.	నాకు నీ వయసు కొడుకు ఉననాడు.
- कया? - गिनना शुरू करो!	- ఏంటి? - పది నుండి లెకక పెటటు!
