बैका. गारवी.	బెకా. గారవీ.
अब मैं सह नहीं पा रही हूँ.	ఇంక భరించడం నా వలల కాదు.
मैं अभी आया.	వెనుక వసతాను.
मैंने लाइबरेरी से मेडिकल जरनल लिया,	లెబరరీ నుండి నేను మెడికల జరనల తెచచాను,
या चाहो तो हम यहीं बात कर सकते हैं.	లేదా కావాలంటే మనం ఇకకడే మాటలాడుకుందాం.
शायद तुम रेबेका गारवी हो?	రెబెకా గారవీ, అనుకుంటా?
मुझे भी शामिल होना है. मैं मदद करना चाहती हूँ.	నాకు కూడా పాలగొనాలని ఉంది. నాకు సాయం చేయాలని ఉంది.
मैं बाद में ले आऊँगा. मुझे जाना होगा.	తరువాత తీసుకువసతాను. నేను వెళలాలి.
तो, उससे बात करते समय,	సరే, ఆమెతో మాటలాడేపపుడు,
ऑसकर मर गया, बिबी. और उसकी कोई गलती नहीं थी.	ఆసకర చనిపోయాడు, బీబీ. అందులో వాడి తపపు ఏమీ లేదు.
हाँ, जेपी को नहीं करेगी.	అవును, జెపి లాగా కాదు.
वह तुमहारी उदारता का फायदा उठा रही है, मैमी.	నీ మంచితనానని తను అనుకూలంగా మారచుకుంటోంది, మామీ.
फरगल लॉफटस.	ఫెరగల లోఫటస.
हैलो, बलानड!	హాయ, బలానడ.
बलानड, हैलो!	బలానడ, హాయ!
जैरलड ने अभी-अभी मुझे हाई-फाइव दिया.	జెరాలడ నాకు ఇపపుడే హె ఫెవ ఇచచాడు.
-मैं एक मसाज सटूडियो खोल रही हूँ. -बधाई हो.	-నేను ఒక మసాజ సటూడియో తెరుసతుననాను. -అభినందనలు.
भगवान, मैं यह करता नहीं रह सकता.	దేవుడా, నేను ఇదే పని చేసతూ ఉండలేను.
-तुम हमेशा लोगों पर निरभर नहीं हो सकते. -यह सच है. पूरी तरह से सच है.	-అంటే, మనం అసతమాను మనుషుల మీద ఆధారపడలేము. -అది నిజం. చాలా నిజం.
पर मैं यह कर रही हूँ. और मेरे पास वेबसाइट है जो लगभग तैयार है.	కానీ నేను ఇది చేసతాను. నా వెబ సెట కూడా పరారంభించడానికి సిదధంగా ఉంది.
तुम इन चीजों में जयादा अचछी हो.	అటువంటి పనులని నువవు బాగా చేయగలవు.
तो, सबको इतनी बडी बात पता है, और दोबारा मुझे इससे दूर रखा गया?	అయితే, ఈ పెదద విషయం అందరికీ తెలుసు, కానీ నేను మళలీ బయటనే ఉండిపోయానా?
ऑफिस में सभी को अपना पारटनर बनने के लिए पूछा.	మన ఆఫీసులో పరతి ఒకక మగవాడినీ వేడుకుననాడు.
है न, अरस?	అవునా, ఉరస?
और यह जॉन पॉल की फोटो है जब वह 12 साल का था.	జాన పాల పననెండేళల వయసు అపపటి ఫోటోలు ఇవి.
हम मसाज सटूडियो में पैसे निवेश नहीं कर सकते.	మసాజ సటూడియోకి మేము ఆరథిక సహాయం చేయలేము.
देखो, मैट.	చూడు, మయాట.
हाँ, वह आदमी मेरा परिवार नहीं है.	కానీ, ఆ మనిషి నా కుటుంబం కాదు.
-ठीक है. कया मैं देख. . . -यह रहा माइकरोफोन.	-సరే. నేను చూడవచచా. . . -ఇదిగో మెకరోఫోన.
हमेशा केवल मैं ही कहती थी कि यह अचछा है, पर यह अचछा नहीं है.	వాడు మంచివాడే అని నేనే ఎపపుడూ చెపపేదానని, కానీ వాడు మంచివాడు కాదు.
मुझे पता है मुझे डॉनल के पीठ पीछे बेन के साथ रिशता नहीं	బెన తో నేను సంబంధం పెటటుకోవడం తపపే అని నాకు తెలుసు
-तो बीमा बस तुमहारा शौक है? -मैं. . . मैं झूठ बरदाशत नहीं कर सकता.	-బీమా నీ హాబీయా అయితే? -నేను కేవలం. . . అబదధాలని తటటుకోలేను.
कयोंकि मैंने कल तुमहें तीसरे माले के टैप से पानी पीते देखा.	ఎందుకంటే నినన నువవు మూడో అంతసతులో కుళాయి నీళలు తాగడం నేను చూశాను.
"अगर तुमहें सोचना ही है, तो बडा सोचो. "	"నీకంటూ ఒక ఆలోచన ఉంటే, పెదదగానే ఆలోచించు. "
तुमहारी बहनों ने कुछ अलग कहा था.	మీ అకకలు వేరే విధంగా చెపపారు?
उसे इसमें शामिल नहीं करना चाहती.	తనని ఇందులో కలపకుండా ఉంచుదాం.
देखो वे मेरे लिए कया लेकर आए.	చూడండి వాళలు నా కోసం ఏం తెచచారో.
-ठीक है. -कृपया वह धुन गुनगुनाओ!	-అలాగే. -ఆ పాట కూనిరాగం తీయి!
थेरेसा मेरी जान ले लेगी अगर मैं खाना ऊपर नहीं ले गया.	నేను ఆహారం తీసుకురాకపోతే థెరెసా ననను తినేసతుంది.
कया यह सरपराइज है? कया तुम मुझे पैरिस वगैरह ले जा रहे हो?	ననను ఏమెనా ఆశచరయపరుసతుననావా? పారిస కో ఎకకడికో తీసుకువెళతుననావా?
-मसाज का कया? -तुम इसमें वयसत रहती हो?	-దాని గురించి ఏంటి? -అందులో బిజీగా ఉంటారా?
पर अब वह चली गई है.	కానీ తను ఇపపుడు లేదు.
हम यह छोड सकते हैं.	సరే, మనం ఇంక ఆపేయాలి.
उसने रिसेपशनिसट से कहा कि उसकी बेटी का अपहरण हुआ है.	తన కూతురు కిడనాప అయిందని రెసెపషనిసటుకు చెపపాడు.
मैंने वह फोटो बेन के लिए ली थी.	నేను బెన కోసం ఆ ఫోటో తీశాను.
-वह कौन से फलैट में रहती है? -यह खुला है.	-తన ఫలాట నెంబర ఎంత? -అది తెరిచే ఉంది.
ए. सोचा नहीं था कि तुम इसके काबिल हो.	హేయ, నీలో ఇంత ఆవేశం ఉందని నాకు తెలియలేదు.
हाँ. उसे विशवास है कि मैं यह कर सकती हूँ.	అవును. నేను ఇది చేయగలనని అతను నమమాడు.
हम बस रॉजर को तुमहारे निवेश के बारे में बता रहे है.	నీ పెటటుబడి గురించి ఇపపుడే రోజర కి చెబుతుననాం.
धत. नहीं. थेरेसा का फोन है.	చెతత. ఇదిగో. ఇది థెరెసా నుండి.
मुझे जवाब कयों नहीं दे रही हो?	నాకు ఎందుకు సమాధానం చెపపవు?
हम लोन नहीं दे सकते.	మేము అపపు ఇవవలేము.
वह ताने भी मारती है. जानकर खुशी हुई.	తను వయంగయంగా మాటలాడుతోంది. నాకు నచచింది.
माफ करना.	మననించండి.
वह अपने दिमाग का इसतेमाल करके जिंदगियाँ बचाती हैं.	ఆమె, తన మేధససుతో పరజల పరాణాలు కాపాడుతుంటుంది.
-. . . गाना गुनगुनाएगा. बोल नहीं गाएगा! -काफी गरमी है.	-. . . ఒక పాటని కూనిరాగం తీయాలి. పదాలు పలకదదు! -ఇది బాగుంది.
कया बात है? इतनी देर गए आई.	ఏంటి సంగతి? చాలా ఆలసయం అయింది.
मैं बेसिसट ही हूँ.	నేను బాస వాదయగాడినే.
मैं तुमसे लडना नहीं चाहती हूँ.	నాకు నీతో గొడవ పడాలని లేదు.
मेरा मतलब, तुम परिवारों को जानते हो. वे. . .	కుటుంబాల గురించి మీకు తెలుసు అనుకుంటా. వాళలు. . .
-हम रख सकते हैं, जॉन, कृपया? -उसके पैर देखो.	-దయచేసి, మనం పెంచుకుందామా, జాన? -దీని గోళలు చూడు.
मैं हैरी सटाइलस के नाम पर इसे हैरी बुलाऊँगी.	హయారీ సటయిలస పేరు మీద వీడిని హయారీ అని పిలుసతాను.
कया लगता है तुमहें, मुझे यह करना चाहिए?	నువవు ఏం అంటావు, నేను ఆ పని చేయాలా?
और बेशक, उसकी आम पारटनर को भी. कया?	ఇంకా అతని నీరసపు భాగసవామిని కూడా. ఏంటి?
-उसे कया चाहिए? -पता नहीं,	-అతనికి ఏం కావాలంట? -తెలియదు,
कभी नहीं, रेबे. . . क. . .	ఎపపుడూ, రెబె. . . ఎపపుడూ. . .
अंत में कोई न कोई मारा जाएगा.	కొందరు ఇలా భరిసతూ బతకలేరు.
नहीं, तुमने कहा था तुम उसकी मदद करोगे.	లేదు, నువవు సాయం చేసతానని చెపపావు.
कृपया बस यहाँ नहीं.	దయచేసి ఇకకడ వదదు.
वहाँ तुमहारी सबसे छोटी बहन पैसों के लिए मेरे सामने गिडगिडा रही थी.	మీ చినన చెలలెలు నా ముందు మోకరిలలి, డబబుల కోసం అడుకకుంటోంది.
नया परोफाइल फोटो पसंद आया	నీ కొతత పరొఫెల ఫోటో నచచింది.
बैका, उसे अपनी खबर सुनाओ.	బెకా, నీ విషయం అతనికి చెపపు.
हम तुमहें पैसे नहीं दे सकते.	మేము నీకు డబబులు ఇవవలేము.
आप कभी खडी नहीं होती हैं!	నువవు ఎపపుడూ గటటిగా నిలబడవు!
इसलिए कयोंकि वह संभाल नहीं पाएगी.	తను ఈ వయవహారానని సరిగగా నిభాయించలేదు.
मुझे अंदर आने देने के लिए धनयवाद.	ననను లోపలికి రానిచచినందుకు ధనయవాదాలు.
पता है कया? मुझे समझ नहीं आ रहा कि कयों मुझे तुमसे जयादा जेपी से समरथन मिल रहा है.	మీకు ఒక విషయం తెలుసా? మీ అందరి కననా జెపి నుండి ఎకకువగా నాకు సహకారం అందడం నాకు అయోమయంగా ఉంది.
मुझे समझ नहीं आता इस लडकी को परेशान करके हमें कया मिलेगा.	ఆ అమమాయిని ఇబబంది పెటటడం వలల మనం ఏం సాధిసతామో నాకు తెలియడం లేదు.
हमें बस चिंता है कि तुम उससे कुछ जयादा ही पैसे ले रही हो, ठीक है?	అతడి నుండి ఎకకువ సాయం తీసుకోవడం గురించి నీ మీద మాకు ఆందోళనగా ఉంది, సరేనా?
पेचीदा होते हैं.	సంకలిషటంగా ఉంటారు.
उसने कहा कि उसके परिवार ने उसे निराश किया था.	తన కుటుంబమే తనని మోసం చేసిందని చెపపింది.
ठीक है. तुमसे सुबह मिलूँगा.	సరే. రేపు ఉదయం కలుసతాను.
मुझे पता है कि तुमने कहा था उनका पहले से ही एक फिजियो है, पर मैं बस. . .	ఆమెకి ఫిజియో ఉననాడని నువవు చెపపావని తెలుసు, కానీ నేను ఊరికే. . .
तुम बैका की बहनों तक पहुँचने के लिए मुझे उसका इसतेमाल करने को कह रहे हो?	ఆ అకకచెలలెళల వివరాలు సేకరించడానికి బెకాని వాడుకోమని చెబుతుననావా?
जॉन पॉल का शौचालय.	జాన పాల టాయిలెట.
माफ करना.	కషమించు.
-चलो. हाँ. -यह रहा तुमहारा गाना.	-ఇదిగో వచచేసింది సరే. -ఇదిగో మీ పాట.
उसने अरस के साथ घिनौना काम किया!	వాడు ఉరస విషయంలో చేసింది ఘోరమెన పని!
तुमने कया उममीद की थी? तुमने झूठ कहा था.	సరే, నువవు ఏం ఆశిసతుననావు? నువవు అబదధం ఆడావు.
-तुम मेरी रकषा नहीं कर रही हो! -. . . कयोंकि वह मेरा करतवय है!	-నువవు ననను కాపాడటం లేదు! -. . . ఎందుకంటే అది నా బాధయత!
वह उनहें नाम देता था, फिर दूध में डुबो देता था.	వాటికి తను పేరలు పెటటేవాడు, పాలలలో వాటిని ముంచే వాడు.
तुम पी रही हो? अभी तो बस लंच का समय है.	నువవు తాగుతుననావా? ఇది ఇంకా భోజనాల సమయం కదా.
-. . . हमारे पास परतियोगिता में. . . -हाँ. मेरा धयान केंदरित है, वादा करती हूँ.	-. . . ఇంకా రెండు జటలు మాతరమే. . . -నేను సిదధం. ఏకాగరతతో ఉననాను, నమము.
-मुझे नहीं पता था कि तुम कलाफिन हो. -मुझे नहीं पता था कि तुम गारवी हो.	-నువవు కలాఫిన అని నాకు తెలియదు. -నువవు గారవీ అని నాకు తెలియదు.
माफ करना. यह मेरी बेटी है.	మననించు. తను నా కూతురు.
कोई बात नहीं. अब कया हम चरचा शुरू कर सकते हैं?	మీ కషమాపణ సవీకరిసతుననాను. ఇపపుడు మనం మాటలాడుకుందామా?
लोग घूर रहे हैं. तुमने गॉलफ वाले कपडे नहीं पहने हैं.	జనం చూసతుననారు. నువవు గోలఫ దుసతులు వేసుకోలేదు.
डॉनल को पता नहीं है. तुम सथिति ठीक कर सकती हो.	డోనల కి విషయం తెలియదు. నువవు దీనని పరిషకరించుకోవచచు.
पता है न अब पहले माले के शौचालय सतरी-पुरुष दोनों इसतेमाल कर सकते हैं?	మొదటి అంతసతులో టాయిలెటలను వివకష రహితంగా మారచారని నీకు తెలుసా?
अरे, चलो भी, गरेस! किसी को समझ नहीं आ रहा है! चलो भी.	ఓహ, ఇలా చూడు, గరేస! ఎవవరికీ ఆ పాట తెలియడం లేదు! సరిగగా పాడు.
कम से कम तरककी के लिए मेरे साथ उचित लडाई लडो, समझी?	పరమోషన కోసం నాకు కనీసం మంచి పోటీ ఇవవు, సరేనా?
तो फिर यह कया है?	అయితే మరి ఏంటి?
यह जोकर कौन है?	ఈ విదూషకుడు ఎవడు?
बैका. मैंने उसे डेट के लिए बुलाया.	బెకా. అతడిని విందుకు పిలిచాను.
-उसे शांत करने की कोशिश कर रहा था. -बहुत हुआ.	-ఆమెని శాంతంగా ఉంచడానికి పరయతనిసతుననాను. -ఇంక చాలు.
रुको. शायद उसी का फोन है.	చూడు. అతనే అయి ఉంటాడు.
उसे मेरी मदद करनी होगी. तुमहें उससे बात करनी होगी.	అతను నాకు సాయం చేయాలి. నువవు అతనితో మాటలాడు.
उसने हसताकषर कयों किए?	ఆమె ఎందుకు సంతకం చేసింది?
ठीक है, बढिया है. बढ. . .	సరే, మంచిది. మంచి. . .
-"केवल पुरुष. जेपी विलियमस का कयूबिकल. " -हे भगवान.	-"మగవారికి మాతరమే. జెపి విలియమస కయుబికల" అని. -ఓహ, దేవుడా.
दोबारा जेपी का फोन है. भगवान.	మళలీ జెపి కాల చేసతుననాడు. దేవుడా.
हाँ, बस इवा के लिए थोडा परेशान हूँ. यह उसका सातवाँ जिन है.	అవును, ఈవా గురించి కొదదిగా ఆందోళనగా ఉంది. ఇది ఆమెకు ఏడవ జిన పెగగు.
-बुरा बन सकता है. -. . . कपटी बन सकता है.	-దుషటుడు. -. . . నమమదగిన వయకతి కాడు.
मैं चुप नहीं हूँ. यह हॉरमोन की वजह से है.	నేను మౌనంగా లేను. నాది హారమోనల సమసయ.
-हैलो. -तुम कया कर रही हो? तुम कभी भागती नहीं हो.	-హాయ. -నువవు ఏం చేసతుననావు? పరిగెతతడం లేదు.
-दूसरा मुखडा गुनगुनाओ. -हमारी शादी याद करो.	-రెండో చరణం పరయతనించు. -మన పెళలి గురించి తలుచుకో.
मैंने उससे कहा कि मैं तुमहारा पारटनर बनना चाहूँगा.	నేను నీకు భాగసవామిగా ఉండటానికి ఇషటపడతానని అతనికి చెపపాను.
तुमहें जाना होगा. मेरा कलाइंट आने वाला है, और तुमहें यहाँ होने का कोई हक नहीं है,	మీరు ఇంక వెళలాలి. నాకు ఒక కలయింట వసతారు, ఇంకా ఇకకడ ఉండే హకకు మీకు లేదు,
अरे अचछा? हाँ.	ఓహ అవునా? అవును.
-जवाब नहीं दिया. -इसलिए नहीं कि वह गडबड कर देगी.	-ఫోన తీయడం లేదు. -తను చెతత చేసతుందని కాదు.
इतना धीरे चलकर मेरा दिल रुक गया है.	అంటే, నా గుండె మామూలుగానే కొటటుకుంటోంది.
मैं बेसबर हूँ.	ఎదురుచూసతుంటాను.
"जिन बाद में? " "कया किसी के पास आइबूपरोफेन है? "	"తరువాత జిన తాగుదామా? " "ఎవరి దగగరయినా ఇబుపరొఫేన ఉందా? "
वाह. हाथ हिला रही हो.	వావ. చినన పిడికిలి పంపు.
तुमहें नहीं पता उसने कया किया. उसका पकष मत लो, तुम भी उससे नफरत करती हो!	అతను ఏం చేశాడో నీకు తెలియదు. వాడిని సమరథించకు, వాడిని దవేషించు!
मुझे अंदर आने देने से पहले तुमने अपने ऊपर इतर की आधी बोतल कयों छिडकी?	ననను లోపలికి రానివవడానికి ముందు సగం సీసా జూప సపరేని ఒళలంతా ఎందుకు కొటటుకుననావు?
सोचा नहीं था कि कोई इंसपेकटर भी धोखा दे सकता है.	గారడా ఇన సపెకటర మన మీద నిఘా పెటటాలని మనం కోరుకోలేం కదా.
हाँ, जिससे उसके पास. . . वजह होगी, मैथयू!	అవును, అదే ఆమెను. . . పరేరేపించి ఉండచచు, మాథయూ.
शायद मुझे तुमहें अब भी एक डरिंक पिलाना है. . .	నీకు నేను ఇంకా ఒక డరింక బాకీ ఉననాను. . .
मुझे तुमसे बात करनी है.	నేను నీతో మాటలాడాలి.
मुझे शामिल करो, इवा.	ననను కూడా చేరచుకో, ఈవా.
जानकारी छुपाई गई थी.	వివరాలు గోపయంగా ఉంచావు.
कबर से लाश निकालना, उसे चीरना, यह एक शोक संतपत परिवार के लिए दुखद चीज है.	మృతదేహానని వెలికితీసి, అవయవాలని వేరు చేయడం ఆ కుటుంబానికి మరింత కషటం కలిగిసతుంది కదా.
अंदर घुसकर तुमसे बात करने के लिए,	మీ రెసెపషనిసటుకి ఒక ఘోరమెన అబదధం చెపపి
यह उस बदमाश कमीने के बारे में है.	ఇది వికృత బుదధి గల ఆ చెతతవెధవ గురించి.
-ठीक है. ठीक है, जान. अलविदा. -अलविदा.	-సరే. సరే బుజజీ. ఉంటాను. -ఉంటాను.
माफ करना. नहीं. तुमहें जाना होगा.	ననను కషమించు. వదదు, నువవు ఇంక వెళలాలి.
-मैट. -कया हुआ?	-మయాట. -ఏంటి?
तुमने उसे सच में डरा दिया.	నువవు నిజంగా ఆమెని వణికించావు.
लगता है तुम मजे कर रही हो.	ముచచటెన మధయాహనంలా అనిపిసతోంది.
मैं असली सबूत के बिना कुछ नहीं कर सकता.	కానీ, అసలెన ఆధారాలు లేకుండా నేను ఏమీ చేయలేను.
बस, आप आंटी बैक के लिए काम करने जाने वाली थी.	బెక ఆంటీ దగగర పనికి వెళలాలి అనుకుననావు.
शाबाश, गरेसी!	కానివవు, గరేసీ!
इससे मुझे बस गुससा आता है!	నేను కేవలం కోపంగా ఉననాను అంతే!
बेलजियन सीरीज "कलैन" पर आधारित	బెలజియన సిరీస కలాన ఆధారంగా
वह चाहती है कि यह हो. तो तुम कयों नहीं चाहते?	ఆమె పరిశోధన జరగాలని కోరుకుంటోంది. మీరు ఎందుకు చేయరు?
मैं बचचों के साथ ठीक से समय भी नहीं बिता पा रही हूँ.	నేను పిలలలతో కూడా సరిగా సమయం గడపలేకపోతుననాను.
उसने गॉलफ वाले जूते भी नहीं पहने हैं.	ఇతనికి కనీసం గోలఫ షూస కూడా లేవు.
चलो बस तुमहारे वयवसाय के लिए. . . जशन मनाएँ.	నీ వయాపారం కోసం. . . వేడుక చేసుకుందాం.
-वह मुझे दो! -नहीं!	-అది నాకు ఇవవు! -లేదు!
मैंने उसका मारगदरशन किया.	నేను తనకి మారగనిరదేశం చేశాను.
अकेले बैठा रहा, बिल से पैसे कम करवाने की कोशिश की.	ఎవవరితోనూ మాటలాడలేదు, తన బిలలు మీద డబబు తగగించమని అడిగాడు.
तो, हम डेट पर जा रहे हैं.	కాబటటి, మేము బయటకు వెళతుననాం.
और डॅनका की माँ मानवाधिकार वकील हैं.	డోంకా తలలి మానవ హకకుల నయాయవాది.
मैं उसे परेशान नहीं करना चाहता,	ఆమెని బలవంతంగా పంపించాలని కాదు కానీ,
नारीवादी परदरशनों में जाती है. दिखने में जीवंत लगती है.	ఆకతాయిల నిరసన పరదరశనలకు వెళతుంది. ఏవో ఆదరశాలతో హుషారుగా ఉంటుంది.
अभी कया कर रहे हो?	ఇపపుడు ఏం చేసతుననావు?
भगवान.	దేవుడా.
और मेरी सभी समीकषाएँ बहुत अचछी हैं.	నా రివయూస అననీ చాలా బాగుననాయి.
वह सभी आंटियों की तरफ से है. हमने बस सोचा,	ఇది తన అందరి పిననిల నుండి బహుమానం. మేం అనుకుననాం,
रॉजर मलडन चरच गरुप	రోజర ములడూన చరచ బృందం
"मेरा दिमाग फट रहा है. "	"నాకు రకతపోటు పెరుగుతోంది. "
तुम उसे पाँच मिनटों से जानते हो. पर मैं तुमहारा भाई हूँ.	ఆమెతో నీ పరిచయం కొదదిరోజులే. నేను నీ సొంత అననని.
अरसला!	ఉరసులా!
अरसला!	ఉరసులా!
तो कब?	ఎపపుడు?
-कभी कुछ भी एनकरिपटेड नहीं होता है. -उसे शरमिंदा मत करो.	-ఏదీ వాసతవంగా గోపయంగా ఉండదు. -ఆమెను అవమానించదదు.
पर इससे पहले कि वह पछताए, मैं उसे कैब में बिठाना चाहता हूँ.	ఆమెకు జరగరానిది జరగడానికి ముందే తనని కయాబ లో పంపించాలి అనుకుంటుననాను.
मैंने उचच-बयाज करेडिट कारड दवारा पहली किशत भरी.	మొదటి విడత డబబుని ఎకకువ వడడీ ఉనన కరెడిట కారడుతో కటటాను.
वैसे, आमतौर पर अपनी योनि की फोटो भेजना सुरकषित नहीं है.	మామూలుగానే యోని ఫోటోలు పంపించడం అంత కషేమం కాదు.
बस लोगों का सवागत करो. अपॉइंटमेंट संभालो.	జనానని ఆహవానించడం. అపాయింటమెంటలని సరి చూసుకోవడం.
हे भगवान, मुझे भाषण सुनाने के लिए धनयवाद.	ఓహ, దేవుడా, మీ పరసంగాలకి ధనయవాదాలు.
-इसलिए यहाँ से चले जाओ. -हाँ.	-కాబటటి ఇంక మీరు బయలుదేరండి. -సరే.
तो तुम आखिरकार बडी हो रही हो.	అయితే నువవు ఎటటకేలకు ఎదుగుతుననావు.
आखिरकार, अब मैं भागने जा सकती हूँ.	ఎటటకేలకు నా పరుగు ఆగిపోయింది.
तुम काफी वयसत होने वाली हो.	నువవు బిజీ కాబోతుననావు.
और पकका मेरी बहनों में से कोई नहीं होगा.	నా అకకలలో ఏ ఒకకరికీ అలాంటి పరిసథితిని రానివవను.
मैं तुमहें समझ गई. साफ है कि तुम मुझसे शादी करना चाहते हो	నీ ఆంతరయం నాకు కనిపిసతోంది. ననను పెళలాడాలని సపషటంగా కోరుకుంటుననావు.
बीवी की कोई बात दिमाग में नहीं घुसती है.	నా భారయ నాకు ఏమీ చెపపడం మానేసింది.
और विजेता हैं खूबसूरत बिबी और इवा!	ఇపపుడు మన విజేతలు, అందమెన బీబీ ఇంకా ఈవా!
पर यह अगला राउंड है "गाने का नाम बताओ" राउंड.	కానీ తరువాతి రౌండ ని "ఆ పాట పేరు చెపపండి" రౌండ అందాం.
हाँ. सभी सोचते हैं कि परिवार में मैं ही सबसे बिगडैल हूँ,	అవును. అంటే నేను మన ఇంటిలో తింగరిదానిని అని పరతి ఒకకరూ అనుకుంటారు,
-फिलम देखने के लिए. -हाँ. ठीक है.	-సినిమా చూదదాం. -అవును, సరే.
-धनयवाद. -इन कलैमस के लिए धनयवाद, रॉजर.	-ధనయవాదాలు. -రేజరస ఇచచినందుకు ధనయవాదాలు, రోజర.
खूबसूरत बिबी और इवा और, बेशक, जेपी और शानदार गरेस.	అందమెన బీబీ ఇంకా ఈవా, ఇంకా, అలాగే, జెపి ఇంకా అదభుతమెన గరేస.
-तुमहें मुझ पर विशवास नहीं है? -हाँ, है. . .	-మీకు నా మీద నమమకం లేదా? -అవును, నినను నమముతాము. . .
सटारलिंगस से गरम चॉकलेट थोडी मिरची के साथ, जैसा कि तुमहें पसंद है.	కొదదిగా చిలలీ వేసిన హాట చాకలెటస ని సటారలింగస నుండి తెచచాను, ఇవి నీకు ఇషటం కదా.
कया हुआ, मॉम?	ఏంటి, అమమా?
मैं बस गलतफहमी दूर करना चाहती थी.	ఈ గందరగోళానని పరిషకరించాలని అనుకుననాను.
-यह जूप नहीं है. -यह 100 परतिशत जूप है.	-అది జూప కాదు. -అది వంద శాతం జూప.
तुमहारे जीजाजी की मौत को लेकर कुछ सवाल पूछने हैं. जयादा समय नहीं लगेगा.	మీ బావ మరణానికి సంబంధించి కొనని పరశనలు. ఎకకువ సమయం తీసుకోము.
-मुझे लगा तुम उससे आज सुबह मिलने वाले थे. -वह आया ही नहीं.	-ఈ ఉదయం అతడిని కలుసతావు అనుకుననాను. -అతను రాలేదు.
-कया तुम बडा सोच रही हो? -हाँ! तो. . .	-నువవు పెదదగా ఆలోచిసతుననావా? -అవును! సరే. . .
मुझे नहीं पता कि मैं छुटटी के दिनों में उसके पतले होठों से निकली	అతని సననని పెదాల నుండి వివకషతో, సతరీదవేషంతో అనే మాటలని
उसने मुझसे झूठ बोला, अरसला.	వాడు నాకు అబదధం చెపపాడు, ఉరసులా.
हाँ. . . वह दोबारा संदेश भेज रही है. मुझे एक सेकंड दो.	అవును, తను నాకు మళలీ సందేశాలు పంపుతోంది. నాకు ఒక కషణం సమయం ఇవవు.
और अब उसकी बारी है.	ఇపపుడు ఆమె సమయం.
हाँ, यह जरूरी है? कयोंकि हम. . .	సరే, అది అంత ముఖయమా? ఎందుకంటే మనం. . .
तुमहारे बाल सुंदर लग रहे हैं. अंदर आओ.	నీ జుటటు చకకగా ఉంది. లోపలికి రా.
वारषिक फिशर एंड कंपनी पब कविज का	ఫిషర అండ కో వారి వారషిక పబ కవిజ ఇపపుడు
मुझे सच में पता नहीं मैं कयों हँस रही हूँ.	నేను ఎందుకు నవవుతుననానో నాకు తెలియడం లేదు, నిజంగా.
कया आप खडी नहीं हो सकती, मॉम? कृपया.	దయచేసి లేచి నిలబడతావా, అమమా? దయచేసి నిలబడు.
हम बस एक पल के लिए पागल हो गए थे. दो पल के लिए पागल हो गए थे.	పిచచితనం కొదదీ ఒకసారి చేశాం. రెండుసారలు పరయతనించాం.
सुनो.	ఇదిగో.
वह फरिज में है.	అది ఫరిడజ లో ఉంది.
अचछा?	అవునా?
जो नीचे हैं, उनमें एपरीकॉट है.	ఈ అడుగున ఉనన వాటిలో ఆపరికోటస ఉననాయి.
नाम ऑसकर उमर 10	పేరు ఆసకర వయససు 10
और अब बस. यह खतम हुआ. और नहीं.	ఇంక అంతే. అది ముగిసింది. ఇంక చేయదదు.
-सूअर जैसी तवचा से. -चुप रहो, बिबी.	-నీ పందిలాంటి చరమపు రంగు. -నోరుమూయి, బీబీ.
मैंने बैका को अरसे बाद इतना खुश देखा है.	చాలా కాలం తరువాత బెకా చాలా సంతోషంగా కనిపిసతోంది.
मैं बैका को पैसे नहीं दे सकता.	నేను బెకాకి డబబు ఇవవలేను.
फरगल!	ఫెరగల!
थॉमस कलाफिन. हम पहले मिलने वाले थे.	థామస కలాఫిన. మనం గతంలోనే కలుసుకోవలసి ఉంది.
विशवास होता है?	ఈ వయకతిని నమమగలమా?
यह रहा गाना.	ఇదిగో పాట.
-तुम तैयार हो? -हाँ.	-నువవు సిదధమేనా? -అవును.
-ए! -नहीं!	-హేయ! -వదదు!
मैं धौंस जमाने की कोशिश नहीं कर रहा.	నేను ఆ పరయతనం కూడా చేయడం లేదు.
और बस उसका पकष लेती है, "उसने कहा था? माफ करना, तुमहें गलतफहमी हुई. "	తల ఇలా అడడంగా ఆడిసతూ, "అతను అలా అననాడా? కషమించు, నువవు అపారథం చేసుకుననావు" అంటుంది.
तुमहें नहीं लगता कि यह इतना संदेहजनक है. . .	నా ఉదదేశం, ఇదంతా ఒక కుటర అని నీకు అనిపించడం లేదా. . .
आमतौर पर तुरंत जवाब देती है. उसे फोन करो.	తను ఆ మాదిరి కాదు. నువవే ఫోన చేయి.
बला, आज तुमने शहर में मुझे नजरअंदाज किया.	బలా, బయట నువవు ననను పటటించుకోలేదు.
मूल रूप से, मेरे सिवाए सबको पता है.	నాకు తపప అందరికీ తెలుసనన మాట.
वह असली शैमपेन है, बैका.	అది నిజానికి నా షాంపెన, బెకా.
और बिना उचित परकरिया के.	ఇంకా సరెన పదధతి లేకుండా కూడా.
नहीं. मैंने ठीक से नहीं किया.	లేదు. నేను నాశనం చేశాను.
भगवन के लिए गाओ! बस. . .	దయచేసి ఆ పాట పాడు! కేవలం. . .
कल मैंने किसी के साथ सच में अचछी रात बिताई.	నినన రాతరి ఒకరితో చాలా అరుదెన చకకని సమయానని గడిపాను.
