-रायन!	-రాయన!
यह बात अचछी नहीं लगी.	అది బాధకరంగా ఉంది.
तो, आपने कया किया?	సరే, నువవు ఏం చేశావు?
मैं वहाँ से निकल पडा.	అంటే, వెళళిపోయాను.
इसलिए वे दूर ही रहते थे.	అందుకే వారు దూరంగా ఉండేవారు.
बिलकुल आता है.	అవును చేసతా.
भाड में जाए, मैं नहीं कर पाया.	ననను వదిలేయ, నేను అది చేయలేకపోయాను.
ए, जरमन औरत.	హే, జరమనీదానా.
मैं वयकतिगत रूप से	నేను సవయంగా సటారలెటకు
हैरान हूँ कि तुमहारा दिल इसे झेल लेता है.	నీ గుండె తటటుకుందంటే ఆశచరయంగా ఉంది.
मैं न इसकी पुषटि कर सकता हूँ,	అది అవుననిగానీ కాదనిగానీ చెపపలేను.
उसके लिए कोई दूसरी माँ ढूँढो.	అతనికి కొతత అమమను వెతకండి. నేను నా
अचछा? तुमहारी टीम का कया हुआ?	నిజంగానా? మరి మీ బృందం సంగతి ఏంటి?
सटॉरमफरंट के पलाजमा बोलट को	సటారమఫరంట పలాసమా బోలటుల
उनहें नहीं लगता कि दिमाग को	మొదడుకు ఏమీ గాయమవవలేదని
सटारलाइट कहीं लापता है,	సటారలెట గాలిలా కనిపించకుండా
आराम से, यार. कैसा रहा?	శాంతించు, టెగర. ఎలా చేశావు?
और ए-टरेन? शॉकवेव के फटने के बाद, तुमहें	ఏ టరెయిన మాటేంటి? షాకవేవ పేలిపోయాక
मैंने तुमहारे लिए काफी नहीं किया?	నేను నీకు చేసింది సరిపోలేదా?
तुमहें कुछ और कोरस करवाएँगे,	నిననింకా ముఖయ కోరసులలో చేరుసతాను,
-पर नहीं, मैंने नहीं किया.	-కానీ లేదు, నేను కాదు.
हम तैयार हैं.	మేమూ వసతాం.
बात सिरफ मेरी नहीं है.	ఇది కేవలం నా గురించే కాదు,
चलो. गाडी में, इस तरफ.	రా. కారు దగగరకు, ఇటు వెపు.
तसवीरें एकदम नकली हैं,	ఆ ఫోటో సపషటంగా శుదధ అబదధం,
जाओ. हम इसे रोक लेंगे.	వెళళు. ఆమెను మేము ఆపుతాము.
यह मेरा है.	వాడు నా వాడు.
तो, बात सिरफ धंधे की है ना?	అయితే, ఇది కేవలం వయాపారం అననమాట?
-वह टावर में है?	-అతను టవరలో ఉననాడా?
तो फिर, कसम खाओ.	అయితే పరమాణం చెయయి.
कि यह तुम जैसी नाजी के छकके छुडा देगी.	ఆమె నీ నాజీ నడడి విరగగొడుతుందని.
मैंने वादा किया है.	నేను మాట ఇచచాను.
"कमीना नहीं बनना. "	"వెధవగా ఉండకు. "
एक छोटी सी कीमत है.	చాలా చినన మూలయం.
मेरे दिल को कुछ नहीं हुआ.	నా గుండె బాగానే ఉంది.
नहीं, मुझे पकका नहीं पता.	లేదు, నాకు రకషణ లేదు.
तुमहें पता होगा कि कया करना है.	నీకు ఏం చేయాలో తెలుసతుంది.
बचचों की किताबें भरकर दीं,	ఆ పిచచి పిలలల వరకబుకలు నింపాను,
मुझे पता है कया करना चाहिए. सोचो. . .	నాకు ఏంటో తెలుసు. ఊహించుకో. . .
हयूई?	హయూయీ?
पर हम ऐसा नहीं कर सकते, मेव. नहीं कर सकते.	కానీ మనం చేయలేము, మేవ. మనం చేయలేము.
-धत तेरी. मुझे माफ करना.	-అయయో, ననను కషమించు.
-कया?	-ఏంటి?
-माँ?	-అమమా?
ए, कया बात है? नहीं.	హే, ఏం జరుగుతోంది? వదదు.
-सारे कमरे हिफाजत से हैं.	-అనని గదులు సురకషితంగా ఉననాయి.
मेरा बेटा कहाँ है?	నా కొడుకు ఎకకడ?
-हाँ?	-ఏంటి?
मेरे बेटे से दूर रह!	నా కొడుకుకు దూరంగా ఉండు!
हे भगवान, नहीं.	అయయో దేవుడా, వదదు.
शायद आपको कोई मुशकिल नहीं हुई होगी.	బహుశా నినను ఇబబంది పెటటుండదు.
"तुमहें बस एआर-15 की जरूरत है	"కావాలసిందలలా ఒక ఏఆర-15,
मैं समझती हूँ. अगर मैं दिन भर	నాకు అరథమెంది. నేను కూడా
पर हमारे पास कुछ तो है.	మనం చేయాలసింది ఇది.
हाँ, जितनी जलदी हो सके,	అవును, 50 రాషటరాలను
तुमने फोन पर कहा था	హోంలాండర కొడుకు విషయంలో
ऐसा नहीं होता. मुझे सीखना पडा था.	అది అలా కాదు జరిగేది. నేను నేరచుకుననాను.
वह तखता पलटना था!	అది పెదద కుటర!
-नोआर कैसा है?	-నోయర ఎలా ఉననాడు?
मैं तुमहारे बेटे को ढूँढकर रहूँगा.	నేను నీ కొడుకును కనుగొంటాను.
हमारी मदद करो!	మాకు సహాయం చెయయి!
आपने जो चाहा, मैंने सब किया.	మీరు అడిగినవననీ చేశాను.
-मैं तुमहें यहाँ छोडकर नहीं जाना चाहती.	-నినను ఇకకడ వదిలి వెళళాలని లేదు.
मतलब, वह होमलैंडर के जैसा नहीं बन सकता.	అంటే, అతను హోంలాండరలా పెరగకూడదు.
-रायन उनके पास है.	-రాయన వాళళ దగగరుననాడు.
हाँ. मतलब, बिलकुल.	అవును. అంటే, ఖచచితంగా.
तुम कहना कि सिरफ यही एक तरीका है,	నువవు హోంలాండర నుండి రాయనను
अगर मैं सुनन पड गई तो?	నేను బిగుసుకుపోతే?
अरे, कोई बात नहीं. तुम सीख जाओगे.	హే, ఫరవాలేదు. నీకు వసతుంది.
कोई हीरो, तुरंत आपके सकूल पहुँच जाएगा.	మీ కయాంపసకు వెంటనే హీరో వసతారు.
पलीज, पीछे रहिए. पलीज.	దయచేసి వెనకకు ఉండండి. పలీజ.
इसका कहना है कि सच तो यह है	ఆమె చెపపే నిజం ఏంటంటే,
संवाद अनुवादक परवीन कौर शोम	సబటెటిల అనువాద కరత సమత
-माँ! बस भी करो.	-అమమా! సరేలే.
उसका नाम कया है?	అతని పేరేంటి?
सटॉरमफरंट को देखते ही. . .	నేను సటారమఫరంటను చూసినపపుడు. . .
वह बहुत अचछा है.	తను మంచివాడు.
एक घंटे में, मैं हाउस हमले में	ఒక గంటలో, హౌసపె దాడిలో చనిపోయిన హీరోల
अचछा. इसे कुछ देर अकेला छोड देते हैं.	సరే. ఆమెకు కాసత ఊపిరాడనిదదాము.
कयोंकि मैं उनके जैसा नहीं बनना चाहता.	ఎందుకంటే నేను ఆమెలా ఉండకూడదని.
अगर वॉट ने फिफथ एवेनयू में	వాట ఫిఫత ఎవెనయూ మధయలో
तुम वॉट टूरनामेंट ऑफ हीरोज	వాట టోరనమెంట ఆఫ హీరోస
पहली बात, राषटरपति तुमहें	ఒకటి, అధయకషుడికి నువవిషటం లేదు,
तुमहें मुझसे एक वादा करना होगा.	నువవు నాకు ఒక మాట ఇవవాలి.
नाजी सटॉरमफरंट, हिटलर का सितारा	నాజీ సటారమఫరంట, హిటలర తార
तुमहें मेरे जैसे कमीने को	నీ బిడడ నాలాంటి వెధవతో ఉండలేడు.
जिस पर नुकसान पहुँचाने के	ఆమెపె విధవసం ఇంకా కుటర చేసినటటు
कि हम अंतरिकष से आए बीजाणु हैं,	వచచామని తెలిసినా నవవలేదు.
मुझे लगता है कि मुझे थोडा दूर हटना चाहिए,	ఇక నేను వెళళాలసిన సమయం, ఒకకసారెనా
कमाल की बात है.	గొపపగా ఉంది.
शहर में गाडी चलाने को लेकर डर लग रहा है.	నాకు నగరంలో నడపడం ఆందోళనగా ఉంది.
तसवीर में जैसा दिखता था,	ఫోటోలో కంటే సుకుమారంగా ఉననాడు.
ए, बिली.	హే, బిలలీ.
शुकरिया.	ధనయవాదాలు.
-मजाक कर रहा हूँ. जरूर मिलेगी.	-ఊరికే అననాను. తపపకుండా.
मैं बहुत बडी परशंसक हूँ.	పెదద అభిమానిని. ఫోటో తీసుకోనా?
अचछा.	సరే.
एक से जयादा.	ఒకరికంటే ఎకకువ.
पर बात मेरी नहीं है.	కానీ అది నా గురించి కాదు.
कैसे?	ఎలా?
और मुझे सब कुछ खुद ही सीखना पडा.	నా అంతట నేనే అంతా తెలుసుకుననాను. చూశావా?
कया?	ఏంటి?
-ठीक है.	-సరే. సరే.
कया?	ఏంటి?
वह निकल पडी है.	ఆమె వసతుంది.
कया?	ఏంటి?
कया?	ఏంటి?
आओ चलें.	పద వెళదాం.
हाँ! ए-टरेन लौट आया है, जान!	అవును! ఏ టరెయిన తిరిగి చేరుతుననాడు!
मुझे किसी और कोरस के लिए पैसे नहीं देने!	నాకు ఇంకా కోరసులకు కటటాలని లేదు.
वॉट इसे छोडेगा नहीं.	వాట కు తను తిరిగి కావాలి.
हैलो.	హాయ.
और दूसरी बात, उनहोंने फैसला कर लिया है.	రెండు, అతను నిరణయం తీసుకుననాడు.
हाल ही में, मैंने उसी के बारे में सोचा,	ఈ మధయ నేను అకకడే ఉండండం గురించి
-दफतर फोन करके मुलाकात तय करें?	-ఆఫిసుకు ఫోన చేసి సమావేశం ఏరపాటు చేయనా?
मैं जिस आदमी को जानती हूँ, वह बनो.	నాకు తెలిసిన మగవాడిలా ఉండు.
तो लोग उनके गुणगान ही करेंगे.	వాళళు గొపపగా భావిసతారు.
मैंने उसे देखा, फरेंची.	నాకు ఆమె కనిపిసతుంది, ఫరెంచీ.
वाह! समझ में आ गया.	అయితే అది పరిషకారమయింది.
नहीं, सच में. बस भी करो.	కాదు, నిజంగా. పలీజ.
उनके साथ बडा मजा आता था.	ఆమె సరదాగా ఉంటుంది.
नहीं, तुम चिपकू नहीं हो.	లేదు, అలా ఏమీ కాదు.
अब तो सूप अफेयरस का दफतर	ఇపపుడు సూప వయవహారాల
यह घर नकली है, पडोसी नकली हैं,	నువవు, ఈ ఇలలు, పొరుగువారు అంతా అబదధమా?
दफा हो जाओ तुम लोग.	వెళళండి, అందరూ.
मैं एकदम डर गया था.	నాకు భయమేసింది.
मुझे यकीन नहीं होता कि आज के जमाने में	ఈ రోజు, ఈ కాలంలో నేనిది చెపపడం
बस करो! उनहें तकलीफ हो रही है.	ఆగు! నువవు ఆమెను బాధిసతుననావు. వదిలేయ.
कया आप सब बिली के करीबी दोसत हैं?	మీరందరూ బిలలీకి దగగరివారా?
एलीना कहाँ है?	ఎలీనా ఎకకడ?
यह आतमहतया है.	అది అతమహతయ.
कभी भी कुछ नहीं बदलता,	ఎపపటికీ ఏమీ మారదు, బాగుపడదు.
चलो, उसताद.	ఇదిగో, మేధావీ.
मैं तीन घंटों में पूरा इलाका घूम लेता हूँ.	మూడు గంటలలో పటటాణాలు చుటటివసతాను.
-रायन कहाँ है?	-రాయన ఎకకడ?
मुझे याद है	జనం మధయలో నేను
शायद मेरे साथ.	బహుశా నాతో.
अब जब कुछ ढंग का काम करने का मौका मिला है,	చివరకు మంచి చేయడానికి అవకాశమొసతే,
कया बात है?	ఏం జరుగుతోంది?
तुम ठीक हो?	బాగానే ఉననావా?
बकवास मत करो! रायन तुमहें नहीं जानता,	కుదరకు! రాయనకు నువవు తెలియదు,
लेनी की आतमा की कसम खाता हूँ.	నేను లెననీ ఆతమ మీద పరమాణం చేసతుననాను.
मिसटर एडगर, हमें एक और सवाल पूछना है.	మిసటర ఎడగర, మాదో తదుపరి పరశన.
तुम यहाँ कया कर रहे हो?	ఇకకడేం చేసతుననావు?
इससे काम हो जाएगा.	ఇది బాగా పనికి వసతుంది.
और इसने हिफाजत की.	ఇది సురకషితంగా ఉంచింది.
पर तुमहारे पास कोई सबूत नहीं है.	కానీ మీ దగగర రుజువు లేదు.
ऐसी टीम के लिए जो सुपरहीरो पर नजर रख सके.	ఒక బృంద ఏరపాటుకు నిధులు ఇసతుంది.
इसे करने का सबसे बढिया तरीका	అది చేయడానికి ఉతతమ మారగం కాంపౌండ వీ.
जिन लोगों ने मेरी परवरिश की,	ననను పెంచిన వారు ననను చూసి భయపడడారు,
तुमहें मुझसे वादा करना होगा	ఏం జరిగినాగానీ వాడిని
डरो मत.	ఫరవాలేదు.
पलीज, मैं समझाता हूँ.	దయచేసి ననను వివరించనివవండి.
विलियम, मुझे बेहद अफसोस है.	విలియం, ననను కషమించు.
मेरे पास एक तरीका है.	అంటే, నాకు ఒక మారగం తెలుసు.
बस, इसे सही तरीके से करना चाहता हूँ.	నేను కేవలం, అది సరెన మారగంలో
और. . .	ఇంకా. . .
शायद अगली बार, तुम उडकर कहीं और चले जाओ.	తరువాతసారి నువవు ఎగిరిపోతావేమో.
अभी तक, किसी भी आतंकवादी गुट ने	ఇపపటి వరకు ఏ ఉగరవాద సంసథ
मैंने तुमहारी जान नहीं बचाई थी?	నేను నీ పరాణం కాపాడలేదా?
देखो, तुम चिंता मत करो, ठीक है?	చూడు, కంగారుపడకు, సరేనా?
तुमहें उन सभी लोगों के बारे में	నువవు ఆలోచించాలసింది తను
होमलैंडर मेरा दोसत है.	హోంలాండర మితరుడు.
बता दें कि यह वीडियो निरमाण	ఈ వీడియో నిరమాణం నాటకీయమెనది మురియు
-और आपकी 2: 00 बजे वाली मुलाकात है.	-రెండింటికి మీ సమావేశ సమయం.
एक-एक खुराक पाँच मिलियन में बिक रही है.	ఒక యూనిటకు ఐదు మిలియనల డోసులు.
दाई की बेटी के जनमदिन पर, मेरे उसके साथ	నా పిలలల ఆయా కూతురి పుటటినరోజు
तुमने एक जातिवादी कमीने को	జాతయహంకార వెధవ నుండి
बेकका को ऐसा नहीं लगता था.	బెకకా అలా అనుకోలేదు.
सुनो, हम सभी को मार नहीं सकते.	హే, మనం అందరినీ చంపలేం.
ऐसा नहीं था कि एक दिन अचानक से	నేను ఏదో ఒకరోజు మేలకొని
शायद. अपनी कौम के हिसाब से	అయిండవచచు. అతను చాలా తెలివెన వాడు,
अचछा, मैं तुमसे एक बहुत ही	సరే, నేను నినను చాలా ముఖయమెన విషయం
और उनहें लगा,	ఆమె "సరే, వదిలేయ.
वहाँ खतरा है.	అది పరమాదకరమెనది.
ताकि उनके बारे में कोई सबूत हाथ न लगे.	వాళళ రుజువులు కపపిపుచచడానికి.
आपको कुछ नहीं होगा. फिर से पलान बताइए?	బాగానే ఉంటావు. పరణాళిక చెపపు?
-साधारण है, पर असली मजा सामगरी में है.	-సాధారణమే, కానీ ఇవే పదారథాలు.
लोग डरे हुए हैं.	జనం భయపడిపోయి ఉననారు.
बहुत बडा अहसान चाहिए.	అది చాలా అడగాలి.
और बचना ही सबसे जरूरी है.	బరతికి ఉండడం ముఖయం.
जो एक तरह से अचछी बात है,	అది ఒకందుకు మంచిదే,
पीछे रहिए. शुकरिया.	వెనకకు ఉండండి. ధనయవాదాలు.
तुमहारे और लडकों के खिलाफ	నీ పెన, బాయసపెన ఉనన
तुम ही हमारा एकमातर सहारा हो.	నువవే మా చివరి అవకాశం.
डायट कोक, नींबू डालकर, है ना?	నిమమకాయతో డెట కోక కదా?
हमारे पास दरजन भर सुपरहीरो को	డజనల సూపలను నాశనం చేసే
-वे तुमहारे भी किसी करीबी को. . .	-పరేమించే వారిని గాయ. . .
फॉकस में एक अचछी-खासी नौकरी मिल जाएगी	ఫాకస ఛానెలలో కోరుకునన ఉదయోగం
वह तुमहारा खून है. जाकर उससे बात करो.	వాడు నీ రకతం. వెళళి మాటలాడు.
मैं इसे नहीं पहनने वाली.	నేను ఇది వేసుకోను.
मैं तुमसे पयार करती हूँ.	నాకు నువవంటే పరేమ.
-कितना यकीन है?	-అది ఎంతవరకు ఖచచితం?
हम यही करने वाले हैं.	మనం సరిగగా అదే చేయబోతుననాము.
हमें आज की मोहलत दो.	ఒకక రోజు ఆగండి.
फिर मिलूँगा.	తరువాత కలుసతాను.
चरच ऑफ द कलेकटिव	సామూహిక చరచి
-ठंडा?	-ఫరెసకా?
कि सटॉरमफरंट को	ఏ టరెయినతో సటారమఫరంట
तुमहारी माँ वाले की तरह,	అది మీ అమమ దానిలా ఉండలుగా ఉండదు.
मैं उममीद नहीं हारता.	అది ఎంత దారుణంగా మారినా సరే.
ऐसा नहीं है. बिलकुल भी नहीं.	అలా కాదు. అససలు కాదు.
जरूर तुमहारा कोई निशानची	బయట నాకు గురిపెటటి
मैं तुमसे पयार करता हूँ.	నాకు నువవంటే పరేమ.
-हमें जाना होगा.	-ఇక వెళళాలి.
यह मेरे पति हैं.	అతను నా భరత.
चलो.	రా.
चलो.	రా.
काफी समय से सटॉरमफरंट चरच की	సటారమఫరంట చాలా కాలంగా
तो फिर हम सिरफ दोसत बनकर रहेंगे.	మనం సనేహితులుగానే ఉందాం.
चलो.	రా.
हाँ, यह तो बस शुरुआत है.	అవును, అది కేవలం పరారంభం మాతరమే.
कोई आतंकवादी नहीं था. वह वॉट का काम था.	ఉగరవాది అంటూ లేడు. ఉననది వాట.
थोडी बाहर की हवा खाकर आएँ?	మనం ఫీలడ టరిపకు వెళితే ఎలా ఉంటుంది?
उसे गोरों के खिलाफ षडयंतर कहते हैं.	దానిని వెట జెనొసెడ అంటారు.
सटॉरमफरंट की नाजी तसवीरें सामने आईं	సాజీతో సటారమఫరంట ఫోటోల లీక
लोगों को मनाना मुशकिल होगा.	ఒతతిడితో కూడుకుననది.
जब मैं छह साल का था,	నా ఆరేళళపపుడు వెళళిపోయింది.
इसलिए, वकत आने पर	అందుకే సమయం వచచినపపుడు,
कवीन मेव और सटारलाइट की	కవీన మేవ, సటారలెట
उस कमीने का दिल उडाने के लिए	ఎపినిఫరెన ఆ వెధవ గుండె నాశనం చేసతుంది.
सिवाय तुमहारे.	నీవు తపప, ఖచచితంగా.
पर तुमने नहीं दिया!	నువవు చేయలేదు,
तुमहें चाहने वाला कोई नहीं बचना चाहिए.	నినను ఇకమీదట ఎవరూ పరేమించరు.
हमारा मानना है	వాషింగటన మీద దాడికి
-जोडी, मेरा झंडे वाला पिन कहाँ है?	-జోడీ, నా జెండా పిన ఎకకడ?
मैं जो चाहूँ कर सकता हूँ.	నేను ఏది చేయాలనుకుంటే అది చేయవచచు.
वह बेचैन लडका? सच में?	ఆ ఆందోళన పడే అబబాయా? నిజంగానా?
मैं बस. . .	నేను కేవలం. . .
हमें तुम जैसों की जरूरत पडेगी,	మన జాతిని రకషించేందుకు
मैं वादा करता हूँ. मैं रेबेकका और रायन को	మాటిసతుననాను. రెబెకకా, రాయనలను
उनका दिमाग खराब हो गया है.	వాళళకు మతి పోయింది.
ए, इसे अंदर आने दो.	హే, ఆమెను లోపలికి రానివవు.
अचछा, मैं तुमहारे साथ हूँ.	సరే, నాకు అరథమెంది.
परेस को वे सारी झूठी बातें	నువవేనా ఆ అబదధాలననీ
उनहोंने इसे शामिल कर लिया?	అతనిని తీసుకుననారా?
धत तेरी! कया यह सच है?	అయయో! ఇది నిజమా?
जयादातर.	ఎకకువమటుకు.
पर यदि तुम अपनी जगह छोडते हो,	కానీ వదిలేసి వచచి, వెధవలు నడిపేలా చేసతే,
आप हमारा नया बरेव मेव	మీరు మా కొతత బరేవ మేవ రెయినబో
हम तुमसे पयार करते हैं, रायन.	మాకు నీపె పరేమ, రాయన.
हाँ, और हम उन कमीनों को भी	అవును, మనం కూడా ఈ వెధవలను చంపేసతాము.
यह एडगर का काम है.	అది ఎడగర. . .
तो, तुमहें हमारे परसताव पर	మా పరతిపాదనను చూసే అవకాశం దొరికిందా?
नहीं. कितनी कमीनी हूँ जो अपनी माँ की	నేనొక పిచచిమొహానని, మా అమమ
मुझे माफ कर दीजिए.	ననను కషమించు.
फरक सिरफ इतना है कि मुझे सिखाने वाला	నాకు నేరపించేవాళళు లేరంతే,
मेरी दो करीबी	నాకు ఎపపటికీ మంచి,
मैं अंदर से 57 का ही हूँ.	నా మనసుకు 57 ఏళళు.
तुमहारे बालों को कया हुआ?	నీ జుటటుకు ఏమెంది?
कया बात है, कमीनो?	ఏంటి విషయాలు, చెతతపకషులు?
अंतरराषटरीय सतर पर	ఇపపటికే తీవరమెన అంతరజాతీయ
देखिए, सच तो यह है कि मैं	చూడు, నిజం ఏంటంటే,
या तो अकषरों के करम में	అకషర కరమంలో లేదా భౌగోళిక కరమంలో.
टीम में तुमहारा फिर से सवागत है.	జటటులోకి తిరిగి సవాగతం.
मैंने वह सब किया जो आप चाहते थे.	మీరు అడిగినవననీ చేశాను.
नहीं, पर शायद मैं ऐसे किसी को जानती हूँ	లేదు, కానీ విశవసనీయత ఉననవారు
इसे तो मैं यूँ मसल सकती हूँ.	నేను దానిని ఎండు చెకకముకకలా చీలచేయగలను.
गाडी में सामान रखने में मेरी मदद कर दो.	కారును లోడ చేయడంలో సాయం చెయ.
मेरा और एलीना का पीछा करना बंद कर दोगे.	నననూ ఎలీనాను ఒంటరిగా వదిలేయ.
तुमहारे सकूल के अंदर	మీ కయాంపసలో సూపరవిలన ఉననాడు.
मुझे सच में माफ करना.	ననను కషమించండి.
मैं ही मुखय पातर हूँ.	నేను ముఖయుడిని.
चिपकने जैसा लगता है,	ఇది ఓ విధంగా చితతశుదధి మరియు
वे इस सेलफोन के सिगनल को ढूँढते हुए	సెల సిగనల మొతతం ఆపేసతారు,
भाड में जाओ, बुचर. माफ करना, बेकका.	ఇది నమమశకయంగా లేదు, బుచర.
हाँ. जरूर.	సరే. తపపకుండా.
-तैयार हो?	-నువవు సిదధమా?
मेरी तरफ देखो.	ననను చూడు.
ठीक है?	ఏంటి?
और किसी ने मुझे सिखाया था	ఒకరు నాకు అకకడే ఉండాలని నేరపించారు.
हम जो भी करें, उससे कोई फरक नहीं पडता.	మనం ఏం చేసినా ఉపయోగం ఉండదు.
पलीज. मुझे यह करने दो.	పలీజ. నువవు ననను ఇది చేయనీయాలి.
-आप मजाक कर रहे हैं कया?	-హాసయమాడుతుననావా?
ए, तुम ठीक तो हो?	హే, నువవు బాగానే ఉననావా?
-वह बात नहीं करना चाहता.	-మాటలాడనంటుననాడు.
मैं नहीं चाहता कि मेरी वजह से इसे कुछ हो.	నా సమసయలు వాడికీ కలిగించలేను.
तुम मुझे यह एक काम करने से नहीं रोक सकती.	నువవు ననను ఈ ఒకకటీ చేయనీయాలి.
कैशटिन का दिल खोलकर सवागत करते हैं	మనం ఈ రోజు ఐదేళళు నిండిన
किसी भडके हुए, रसूखदार पागल की तरह	నేను ఏదో కోపోదరికతుడిలా,
तुमहें नए वाले की जरूरत है.	నీకు కొతతది కావాలి.
रायन ने कभी कैटस नहीं देखी!	రాయన కయాటస చూడలేదు!
पर जो भी हाथ में आए, उसे इसतेमाल करो.	కానీ వీలెదని ఏదెనా వాడండి.
तुमहें परेशानी भरी चीखें सुनाई देती हैं.	బాధతో అరిచే అరుపులు వింటారు.
एफडीए की अपेकषा करने वाले हैं,	ఎఫడీఏను అలకషయం చేసతూ,
पर कया पता? शायद. . .	కానీ ఎవరికి తెలుసు? బహుశా. . .
है ना, ए-टरेन?	అవును కదా, ఏ టరెయిన?
और जानने के लिए: डबलयूडबलयूडबलयू.	ఇంకా ఎకకువ తెలుసుకోండి:
अगर हमारे पास कोई ठोस सबूत हो तो?	ఒకవేళ గటటి రుజువు ఉంటే?
मैं उसके करीब हूँ. हाँ.	నేను అతనితో దగగరగా ఉంటాను. అవును.
भाड में जा, नाजी कमीनी!	నా పిడిగుదదు తిను, నాజీ చెతతముఖం!
जब वह मिल जाएगा,	నేను వాడిని తీసుకొచచాక,
पलान बदल गया है.	పరణాళిక ఇపపుడే మారింది.
हम दिल से रायन की भलाई ही चाहते हैं.	అందరికీ రాయన బాగు కావాలి.
और तुमहें ऐसा कयों लगता है कि तुम उस	నువవు ఆ జాతయహంకార ముఖానని
इसलिए तुम दिल खोलकर नफरत कर सकते हो.	అందుకే నువవు దవేషించవచచు.
बस करो! रुको, उनहें तकलीफ हो रही है.	ఆపు! ఆపు, ఆమెను గాయపరచకు.
तो फिर तुम भी उस मुसीबत का हिससा हो.	ఆ సమసయలో నేను భాగమవుతాను.
मैं भी आपसे पयार करती हूँ.	నాకూ నువవంటే పరేమ.
भाड में जाए वह नाजी कमीनी.	ఆ నాజీ చెతతమొహంది.
कोई बात नहीं.	ఫరవాలేదు.
ऐसा मत कहो. हमारे साथ चलो.	అలా అనకు. మాతో రా.
यह. . . तुमहारी माँ का था.	ఇది. . . మీ అమమది.
बुचर का कहना ठीक है.	బుచర చెపపింది సరెనదే, తెలుసా.
पलैनेट वॉट में आपका सवागत है!	పలానెట వాటకు సవాగతం!
पलैनेट वॉट में आपका सवागत है.	పలానెట వాటకు సవాగతం.
नहीं. रुको.	వదదు, వదదు. ఆగు.
नहीं, मुझे नहीं लगता कि ऐसी बात है.	లేదు, ఖచచితంగా అది కాదు.
मैं समझती हूँ	నీలో నువవు కోలపోవడం
कया बात है, समैंथा?	ఏంటది, సమాంత?
कोई गवाह नहीं मिला.	సాకషులు లేరు.
वह. . . छोडो.	అది. . . ఏం లేదులే.
कया? नहीं. तुमहें हमारे साथ चलना होगा!	ఏంటి? వదదు. నువవు మాతో రా!
हाँ, कर लिया!	అవును, తీసుకుననారు!
"दुराचार" कया होता है?	"దురాగతం" అంటే?
अपना झंडे वाला पिन लगाकर,	నా జెండా పిననుతో,
होमलैंडर, होमलैंडर.	హోంలాండర, హోలాండర, హోంలాండర.
लोगों से चिपकता हूँ	వాళళను కోలపోతానేమో అనన భయంతో
उनहें "नाजी" शबद पसंद नहीं. बस.	వాళళకు "నాజీ" అనన మాట
और उनहें देखने में बडा मजा आता था.	పిలలిమొగగలు వేసేవాడిని.
देखिए, मुझे पता है कि आप चाहते हैं	చూడు, నేను నీలా ఉండాలని
लगता है तुम फिर से नियुकत करने के लिए	చూసతుంటే మీరు పునరుదధరణకు
तो फिर तुमहारे अंदरूनी खोज कारयालय को	మీ అంతరగత పరిశోధన బయూరోకు
मैं जो चाहूँ कर सकता हूँ!	నేను ఏ చెతత చేయాలనుకుంటే అది చేయవచచు.
एक आदमी है जो कह रहा है कि जिंदगी-मौत का	అతను బరతుకో చావో అంటుననాడు,
न चीखते हुए परशंसक होंगे, न ही	లేదా అరిచే అభిమానులు
तुमहें नहीं छोड सकता था.	ఎపపుడూ వదిలేయను.
मैं भला ऐसा कयों करूँगी?	ఎందుకలా చేసతాను?
बस. . . चली जाओ.	వెళళండి. . . వెళళిపోండి.
अचछा, चलो.	సరే, రా వెళదాం.
-मेहरबानी करके.	-తపపకుండా.
हाँ.	అవును.
यह कया था!	ఏంటిది! ఏంటిది?
हाँ.	అవును.
ठीक है. तुम कर सकते हो. हाँ, हार मत मानना.	వెళుతూ ఉండు. నీకు వచచేసింది.
जिनमें सटॉरमफरंट	గొబెలస ఇంకా గొరింగతో సహా
अरे, बेटा.	హే, మితరమా, హే.
और वॉट को अब	ఇపపుడు వాట సథిరమెన
हाँ.	అవును.
मुझे पता है कि आपकी जानकारी से ही	సటారమఫరంటను పడగొటటింది
तुमने जो किया, समझ नहीं आता	నువవు చేసిన దానికి
-तुमसे पयार करता हूँ. एक सेलफी मिलेगी?	-ఐ లవ యూ. సెలఫీ తీసుకోనా?
तुम यहीं रहकर आराम करो.	మీరు ఇకకడే ఉండి విశరాంతి తీసుకోండి.
तुम और कौन से शबद का इसतेमाल करोगे?	ఏ మాట నువవు మాటలాడగలవు?
मैं आपको कभी धोखा नहीं दूँगा!	మిమమలని మోసం చేయను!
बहुत अचछा है.	అది చాలా బాగుంటుంది.
मैरियो से कहोगे कि पनीर के पकोडे बना दे?	మారియోను తవరగా గరూయేర పఫలు
पहनो चाहे न पहनो, मुझे फरक नहीं पडता.	వేసుకుంటావా లేదా అనవసరం.
उसने जनता के सामने यौन उतपीडन करने की	అలసటెయిర, అతను బహిరంగంగా
झंडे वाले पिन के बिना,	దీనికి జెండా పిన లేకుండా వెళళలేను.
मुझे लगता है तुमहें जाना चाहिए.	నువవు వెళళాలనుకుంటా.
यह अब जंग का रूप ले चुका है,	ఇపపుడిది ఒక యుదధం,
मुझे लगता है यह पहल करना था.	అది చొరవ అనుకుంటా.
