इटली.	ఇటలీ.
वे सब अंगरेजी बोलते हैं, पर कोई भी बहुत अचछा नहीं बोल पाता.	వాళలందరూ మామూలు ఇంగలీష మాటలాడగలరు, కానీ ఎవవరూ పూరతిగా మాటలాడలేరు.
वह कया कह रही है?	ఆమె ఏం అంటోంది?
लेकिन इस समय, विमान अभी भी हवा में है और एक बार फिर	కానీ పరసతుతానికి, ఆ విమానం ఇంకా గాలిలోనే ఉంది
उसके बाकी के परिवार को भी कतल कर दिया गया है,	ఆమె ఇంటలో మిగతా కుటుంబ సభయులు కూడా హతయకు చేయబడడారు,
वे सबके सामने एक उदाहरण पेश कर रहे थे.	వాళలు మాకు చెపపడానికి ఆ పని చేశారు.
कहो कि इसकी जान बच जाएगी.	అతను బతుకుతాడని చెపపు.
कया गाला खेलने आ सकती है?	గాలా వచచి ఆడుకుంటుందా?
हमारा अनुरोध मानने के लिए शुकरिया, बुडापेसट.	మా అభయరథనని పరిశీలిసతుననందుకు ధనయవాదాలు, బుడాపెసట.
हम वह काम पूरा करेंगे.	మనం ఆ పనిని పూరతి చేసతాం.
उनहें रोकना हमारा काम है.	వాళలని ఆపడం మా కరతవయం.
उनहें विमान को उतारने दो.	వాళలని లయాండ చేయనివవు.
- अगर हम ऐसा करते हैं. . . - हाँ.	- మనం ఈ పని చేసతే. . . - సరే.
वह उनके खिलाफ हो गए थे, उनहें कीमत चुकानी पडी. चुकानी पडी ना?	అతను వాళలకి వయతిరేకంగా వెళలాడు, మూలయం చెలలించాడు. చెలలించాడా లేదా?
- सहयोग? - अब मैं हंगेरियाई में बात करूँगी.	- సహకారమా? - నేను ఇపపుడు హంగేరీ భాషలో మాటలాడతాను.
वे सबको दिखा रहे थे कि वे कितने खतरनाक हैं.	సీరియస గా తీసుకుంటామని అందరికీ అరథమయయేలా చేసతారు.
वह बस एक बीमार आदमी की मदद कर रहे हैं, दोसत.	ఆయన అకకడ ఒక అబబాయికి సాయం చేసతుననారు, బుజజీ.
यह किसने किया?	ఇది ఎవరు చేశారు?
माँगें.	డిమాండలు
शुकरिया.	థాంకయూ.
ठीक है.	విననాము.
वे सब लोग जिनहें हम बचाने की कोशिश कर रहे हैं. . . उनके भी परिवार हैं.	మేము కాపాడాలని పరయతనిసతునన పరయాణికులు అందరికీ. . . వాళలకి కూడా కుటుంబాలు ఉననాయి.
शुकरिया.	థాంకయూ.
सावधान! सभी यहाँ आइए.	అపరమతతం! సిదధంగా ఉండండి.
वह मर रहा है. वे इंतजार कर रहे हैं.	అతను చనిపోతుననాడు. వాళలు సిదధంగా ఉననారు.
अगर कोई कमजोर दिल का है, तो वह मुँह फेर सकता है.	ఎవరెనా బలహీనులు అయితే, ఈ దృశయాలని చూడకండి.
फिर विमान को उतारने और दोबारा उडान भरने की परकरिया के बारे में सोचो,	ఈ మొతతం విమానానని కిందికి దించి, మళలీ ఎలా టేకాఫ చేయాలనే దాని గురించి ఆలోచించు,
सबसे पहले तो फैसला जलदी लेना होगा.	అంటే, మొదటగా మనం తవరగా నిరణయించుకోవాలి.
"मेरी माँ, " नहीं, बलकि "माँ. "	"మా అమమ" కాదు, కానీ "అమమ. "
हम एक बस में रनवे पर जाएँगे	మనం బససులో రనవే మీదకు వెళతుననాం
मुझे नहीं पता तुम कया बात कर रहे हो.	మీరు దేని గురించి వచచారో తెలియడం లేదు.
हमें उतरने देने के लिए.	మనం లయాండ కావడానికి.
एडगर और जॉनी, यह पूरा इलाका उनहीं का है.	ఎడగర ఇంకా జానీ, వాళలు ఇదంతా సొంతం చేసుకుననారు.
किंगडम 2-9 विमान 6, 000 फुट तक नीचे आया था, लेकिन उसे उतारा नहीं गया.	కింగడమ 2-9 ఆరు వేల అడుగుల కిందికి దిగింది కానీ లయాండ కాలేదు.
वहाँ तुमहारे इलाज के लिए डॉकटर होंगे.	నీకు సాయం చేయడానికి డాకటరలు ఉంటారు.
पता है कया, डैड. मैं आपके घर पर हूँ. जलदी आइए, मुझे आपसे मिलना है.	నీకో మాట చెపపనా, నాననా. నేను నీ గదిలో ఉననాను. నినను చూడాలని ఎదురుచూసతుననాను.
मैं कया जानती हूँ, इससे कोई फरक नहीं पडता, वे फैसला कर चुके हैं.	నాకు ఏం తెలుసు అననది అపరసతుతం, వాళలు ఇపపటికే ఏం చేయాలో నిరణయించుకుననారు.
मुझे उसी ने बताया, ठीक है?	తనే నాకు చెపపాడు, సరేనా?
-मैं जानता हूँ. हाँ, मैं जानता हूँ. -हमें हंगेरियाई बोलने की जरूरत नहीं है.	- నాకు తెలుసు. లేదు, నాకు తెలుసు. - నీకు హంగేరీ వాళలే అవసరం లేదు.
-यह देखो. -अपनी टरे टेबल को बंद कर दें.	- అకకడ చూడు. - మీ టరే టేబుల ని మడిచి పెటటండి.
विमान मत उतारो.	లయాండ చేయదదు.
विमान मत उतारो.	లయాండ చేయదదు.
- लुइस, तुम इस वकत कहाँ हो? - कॉलिंगवुड हाउस.	- లూయిస, సరిగగా ఇపపుడు ఎకకడ ఉననావు? - కోలింగవుడ హౌస.
उनहोंने पायलटों को वापस बुला लिया है.	వాళలు పెలెటలని మళలీ పిలిపించారు.
हमें आपका फैसला जानना है.	మాకు మీ నిరణయం చెపపాలి.
तुम मेरे पास आए थे.	మీరు నా దగగరకి వచచారు.
हमें विमान दिख रहा है.	విమానం కనిపిసతోంది.
एलेन हमारी आँखों के सामने है.	ఎలెన ని మేము గమనిసతుననాం.
और इसीलिए मुशकिल समय में शांति और हिममत से काम लेना चाहिए.	అందుకే మేము పరిసథితిని అపరమతతంగా ఉండి గమనిసతుననాం.
- मेरे परिवार को? - हमने तुमहारे पासपोरट का बयोरा उनहें भेजा था.	- నా కుటుంబాననా? - నీ పాస పోరట వివరాలని వాళలకి పంపించాము.
हालाँकि मैंने एक बार सुना था कि आजकल लीडस का फैन होना अचछा माना जाता है.	అయినా నేను ఎపపుడో విననాను, మనం లీడస జటటు అభిమానులం కావాలి అని.
तो, फिर हमें काफी बातों पर विचार करना होगा.	అయితే, ఈ విషయం గురించి చాలా ఆలోచించాలసి ఉంది, మరి.
और वे इसे साफ करने के लिए लोगों को भेजते रहते हैं.	దీనిని సరి చేయించడానికి మనుషులని పంపిసతారు.
- कैसी माँगें? - हमें कॉलिंगवुड पहुँचने में दो मिनट से भी	- అవి ఎలాంటి డిమాండలు? - మేము కోలింగవుడ కి రాగలము
हम लोगों को जितनी जयादा चोट पहुँचाएँगे, यह उतना आसान होता जाएगा.	మేము ఎకకువమందిని హింసించే కొదదీ, మా పని తేలిక అవుతుంది.
तुम वही करो जिसकी इस समय तुमहारे भाई को जरूरत है, वरना तुम उसे खो दोगे.	మీ తమముడికి అవసరమెన వెదయ సహాయం ఇపపించు లేదా అతడిని కోలపోతావు.
अगर वे लोगों को बंधक बना सकते हैं, तो हम भी बना सकते हैं.	వాళలు బందీలను పటటుకుంటే, మనం కూడా బందీలని పటటుకోగలం.
पैटरिक, जो होगा, मैं तुमहें बताती रहूँगी.	పయాటరిక, మాకు తెలిసిన వెంటనే చెబుతాం.
हमें सबसे पहले यह पता लगाना है. . .	మనం ముఖయంగా కనుకకోవలసినది. . .
सात जनवरी 2023 को,	2023 జనవరి ఏడవ తేదీన,
मैं नहीं चाहती यह मेरे आसपास भी हो.	అతను నా దగగరలో ఎకకడా ఉండకూడదు.
मुझे किसी भी बारे में कुछ नहीं पता.	నాకు దేని గురించీ ఏమీ తెలియదు.
कया यह सही है?	అది నిజమేనా?
वह अब वापस अपनी अधिकतम ऊँचाई पर जा रहा है.	అది ఇపపుడు తిరిగి దాని గమయం దిశగా పెకి వెళుతోంది.
भगवान.	దేవుడా.
लेकिन हंगरी के लोग झूठ नहीं बोलेंगे.	కానీ హంగేరీ అధికారులు అబదధం చెపపకపోవచచు.
-पलीज, तुम गलती कर रहे हो. -इसलिए या तो आप हमें सब कुछ बता दें,	- దయచేసి వినండి, మీరు తపపు చేసతుననారు. - అయితే మీరు మాటలాడటం పరారంభించండి,
तुम वहीं से हो? केंट से? या लंदन से या कहीं और से?	నువవు లండన నుండే వచచావా? కెంట? లేదా లండన లేదా మరెకకడయినా?
एचएमपी थॉरप जेल में, लंदन के ठीक बाहर.	లండన శివారలలో, హెచ. ఎమ. పి. థోరప లో ఉననారు.
एक घंटे से भी कम.	గంట కననా తకకువ సమయం.
एक घंटे से भी कम.	గంట కననా తకకువ సమయం.
एक घंटे से भी कम.	గంట కననా తకకువ సమయం.
डॉकटर तैयार रहें.	డాకటరలు వేచి ఉండాలి.
उनहोंने एक आदमी को मारने के लिए भेजा था.	వాళలు ఒక హంతకుడిని కూడా పంపించారు.
बात करते रहो. मेरी तरफ देखो.	నువవు మాటలాడుతూ ఉండు. చూసతూ ఉండు.
आप विमान नीचे उतार सकते हैं.	మీరు లయాండ కావడానికి అనుమతి ఉంది.
शुकरिया, एना.	థాంకస, ఆనా.
लेकिन उनहें अब तक मना कर देना चाहिए था.	కానీ ఇది కాదనలేని తేలికెన అభయరథన.
अगर तुम यह पूछ रहे हो कि कया इनहोंने पहले किसी विमान को हाइजैक किया है. . .	వాళలు గతంలో ఎపపుడెనా విమానానని హెజాక చేశారా అని అడుగుతుననావా. . .
आपके बेटे किन चीजों में शामिल हैं और हालात कितने गंभीर हैं.	మీ కొడుకులు ఏ పనిలో ఉననారో, అది ఎంత సీరియస విషయమో మీకు తెలిసి ఉండాలి.
तुम कुछ कहो, उससे पहले, मुझे बस अपनी बात समझाने दो.	నువవు ఏదెనా అనే ముందు, ననను మొదట వివరించనివవు.
और अगर उसने कुछ भी अलग कहा, तो फिर किसी और की जान जाएगी. समझ गए?	అతను ఏదెనా తేడాగా చెపపాడంటే, ఎవరో ఒకరు శికష అనుభవిసతారు. వాళలు గాయపడటం ఖాయం.
मुझे सबूत चाहिए.	నాకు సందరభం కావాలి.
मैंने परिवार को अंदर जाते हुए देखा था.	ఆ కుటుంబం లోపలికి వెళలడం చూశాను.
वह घर आया तो उसने देखा कि उसके पिता की लाश हॉल में पडी हुई है.	వాడు ఇంటికి వచచేసరికి మా పెదదాయన హాల లో శవమె కనిపించాడు.
नहीं, नहीं. उसने इस तरह कहा था जैसे वे भाई हों.	లేదు, లేదు. వాళలు సోదరులు అనన మాదిరిగానే మాటలాడాడు.
मुझे सच-सच बताओ. झूठ बोलने की कोशिश मत करना.	ఇపపుడు నాకు నిజం చెపపు. అబదధాలు ఆడకు.
शायद हम यह खेल खतम कर सकते हैं.	బహుశా మనం ఈ కథని ముగించచచు.
हम पता लगा रहे हैं कि घर में कोई और भी है या नहीं.	ఆ ఇంటలో ఇంకా ఎవరెనా ఉననారేమోనని చూసతుననాం.
-यह आतमहतया करने जैसा होगा. -वह मर रहा है.	- ఇది ఆతమాహుతి మిషన. - వాడు చావుబతుకుల మధయ ఉననాడు.
विमान पर मौजूद सभी 216 लोग अपनी जान से हाथ धो बैठेंगे. "	ఆ విమానంలో ఉనన 216 మంది పరయాణికులు మరణిసతారు. "
मैं यह नहीं पूछ रहा हूँ और तुम यह बात जानती हो.	నేను అడిగేది అది కాదు, అది కాదనన విషయం కూడా నీకు తెలుసు.
वह नहीं चाहता था तुम उसे बचाओ.	మీరు తనని కాపాడటం అతనికి ఇషటం లేదు.
वह तुमहारा भाई है.	అతను నీ తమముడు.
कया कोई हमें बताएगा कि आखिर हो कया रहा है?	ఏం జరుగుతోందో ఎవరెనా మాకు చెబుతారా?
अपना मुँह बंद रखो.	నోరు మూసుకోండి.
अगर मैं उनहें नहीं मारता, तो वे मुझे मार देते और मेरी जगह किसी और को भेज देते.	నేను వాళల పరకారం చేయకపోతే, వాళలు ననను చంపేసి, వేరొకరని పంపిసతారు.
जानता हूँ.	నాకు తెలుసు.
हम दरअसल तुमसे बहुत दूर नहीं हैं.	మేము నిజానికి మీకు మరీ అంత దూరంగా లేము.
एक ऐसा नेटवरक जो पूरे यूरोप में फैला हुआ था और जिस पर नवमबर में पुलिस ने अपना शिकंजा कसा.	ఆ నెట వరక మొతతం యూరప అంతా విసతరించింది, కానీ అది గత నవంబరులోనే పటటుబడింది.
हमें जमीन पर मौजूद लोगों से बात करनी होगी. -तुमने सुना नहीं मैंने कया कहा?	- మనం గరౌండ సిబబందితో మాటలాడాలి. - నేను చెపపింది నువవు వినలేదా?
उनहोंने दरवाजा बंद कर दिया.	వాళలు తలుపు తాళం వేశారు.
हम नहीं सोच रहे हैं, लेकिन मैं सब कुछ समझना चाहता हूँ.	మనం వాళల డిమాండలు తీరచం, కానీ మనం కేవలం పరిసథితిని సమీకషిసతుననాం.
जैसे उनहोंने मेरे पीटर को मार डाला.	నా పీటర కోసం వచచినటలే వసతారు.
हमारे कुछ भी करने से पहले हमें एक सवाल का जवाब चाहिए.	మనం ఏదెనా చరయ తీసుకోవడానికి ముందు ఒక పరశనకి మనం సమాధానం చెపపాలి.
तुम इस विमान को नीचे उतार लो.	విమానానని కిందికి దించు.
नहीं उतारें? हम ऐसा नहीं. . .	ఆపాలా? మేము చేయలేము. . .
तुमहें इसे रोकना होगा. उनसे कहो कि हमें विमान नीचे उतारने की जरूरत नहीं है.	నువవు ఇదంతా ఆపాలి. మనం లయాండ కావలసిన అవసరం లేదని వాళలకి చెపపు.
कोई बात नहीं, दोसत.	అది ఫరవాలేదులే, మితరమా.
मैं सोच रहा था. . .	నేను ఆలోచిసతుననాను. . .
तुम वहाँ कया कर रही हो?	అకకడ ఏం చేసతుననావు?
हम नीचे जा रहे हैं.	మనం కిందికి దిగుతుననాం.
मेरा भाई मर रहा है.	నా తమముడు చనిపోతుననాడు.
तुमहारी आवाज में घबराहट नहीं होनी चाहिए.	మీరు పరశాంతంగా ఉననటలు అనిపించాలి.
मुझे उस आदमी की पहचान चाहिए जिसने मुझे यह लिफाफा दिया था.	నాకు ఈ ఎనవలప ఇచచిన వయకతి ఎవరో గురతించమని చెపపు.
इतना बडा विमान बिना चेतावनी दिए नहीं उतारा जा सकता.	ఎలాంటి హెచచరిక లేకుండా ఇంత పెదద విమానానని మనం లయాండ చేయలేము.
"आपके पास अपनी गलती सुधारने का एक मौका है.	"ఒక పొరపాటుని సరిదిదదుకోవడానికి ఇది మీకు ఒక అవకాశం.
फैसला तुमहारा है.	అది నీ నిరణయం.
विमान से उसके छोटे बेटे ने उससे बात की थी.	ఆమె ఆ విమానంలో తన చినన కొడుకు అటెరటన తో మాటలాడింది.
हम आपको विमान उतारने की अनुमति नहीं दे सकते.	లయాండ కావడానికి మేము పరమిషన ఇవవలేము.
एमबुलेनस तैयार है.	అంబులెనస సిదధంగా ఉంది.
तुमहें पहले दूसरे साथियों से पूछना चाहिए.	మనం మిగతా వాళలని కూడా ముందు అడగాలి.
बताया गया है कि विमान पर चिकितसीय मदद चाहिए.	విమానంలో వెదయ పరమెన పరిసథితి తలెతతిందని చెబుతుననారు.
यही डॉकटर के शबद थे, है ना?	అదే మాట అననాడు, అవునా?
अनुमति मिलती है तो तुमहें दूसरे साथियों से बात करनी होगी. इसमें सबकी सहमति होनी चाहिए.	మనకి పరమిషన వసతుంది. నువవు వేరే వాళలని అడుగుతావు. మనందరం అంగీకరించాలి.
दो सौ जानें दाँव पर लगी हैं और यह अभी भी अपने डरेसिंग गाउन में घूम रही है.	రెండు వందల మంది పరాణాలు గాలిలో ఉననాయి, కానీ ఆమె మాతరం తన డరెససింగ గౌన వేసుకుని హాయిగా ఉంది.
- अभी! - एक घंटे से भी कम.	- వెంటనే! - గంట కననా తకకువ సమయం.
मैं यह नहीं कह रहा हूँ कि ऑपरेशन खतम कर दो.	మీ పలాన ని ఉపసంహరించుకోండి లేదా వదిలేయండని నేను అనను.
उसी नंबर से, जिससे विमान से आपके लैंडलाइन पर फोन किया गया था.	విమానం నుండి లయాండ లెన కి ఫోన చేసిన అదే నెంబరు నుండి ఆ కాల వెళలింది.
पीट ने 20 साल उनके साथ काम किया, वह उनका भरोसेमंद आदमी था.	పీట వాళలతో ఇరవె ఏళల పాటు కలిసి ఉననాడు, నమమకంగా.
तुम यहाँ अभी-अभी आए हो और तुमने उनहें आतंकवादी भी कहना शुरू कर दिया?	మనం ఇకకడికి వచచి, వాళలని తీవరవాదులుగా పరకటిదదామా, పలీజ?
वे आए और दूसरी पायलट को साथ ले गए. महिला पायलट को.	వాళలు వచచి ఒకామెని సీటు నుండి లేపి తీసుకువెళలారు. మహిళా పెలెట.
- तुम पीएम को इंतजार करवा रही हो? - कयोंकि वह भी करवाएँगी.	- మీరు పరధానిని వేచి ఉండేలా చేసతుననారా? - ఎందుకంటే ఆవిడ అదే కోరుకుంటారు.
बिलकुल वैसे जैसा हमने कहा था.	మనకి ఖచచితంగా ఏం చెపపారో అదే చేయాలి.
उनहोंने किसने? तुमहें कैसे पता कि वह उनका काम था?	వాళలు ఎవరు? అది వాళల పనే అని నీకు ఎలా తెలుసు?
हंगरी. कयों?	హంగేరీ. ఎందుకు?
शायद लगभग और 15 मिनट रहेंगे.	బహుశా ఇంకో పదిహేను నిమిషాలు పటటచచు.
आ रहा हूँ.	వసతుననా.
हैलो?	హలో?
गुजारिश?	ఒపపించాలా?
रनवे पर एक एमबुलेनस.	రనవే మీద అంబులెనస ఉండాలి.
अंगरेजी में बात करो.	ఇంగలీష లో చెపపు.
कया?	ఏంటి?
अब किंगडम 2-9 उस निकटतम बिंदु से	కింగడమ 2-9 ఇపపుడు 90 నిమిషాల దూరంలో ఉంది
चिकितसीय मदद माँगी गई, विमान का नीचे उतरना रोक दिया गया.	వాళలు వెదయ సహాయం అడిగారు, కానీ లయాండింగ పరకరియ ఆపి తిరిగి వెళలిపోయారు.
मेरा छोटा भाई मेरी आँखों के सामने मर जाए, इससे जयादा गलत और कया हो सकता है?	నా చినన తమముడు నీ ముందే చనిపోవడం కననా ఘోరమెన నషటం ఇంకేం ఉంటుంది?
अगर वे पकका डॉकटरों को वहाँ बुला सकते हैं,	మనం లయాండింగ గురించి ఆలోచించే ముందే
लेकिन अभी तक किंगडम 2-9 ने कोई जवाब नहीं दिया है.	కానీ ఇంతవరకూ కింగడమ 2-9 సపందించడం లేదు.
विमान के लंदन पहुँचने तक का समय है.	ఆ లోగా మా మనుషులని జెలు నుండి విడుదల చేయాలి.
इसलिए जब कोई गैंग इसमें एक बार घुस जाता है, तो वे इससे बाहर नहीं जाते.	కాబటటి ఒకసారి ఏదెనా గయాంగ కి సురకషితమెన మారగం కనిపిసతే, వాళలు దానికి అలవాటు పడిపోతారు.
इस विमान पर 200 लोग हैं. हमारे पास यही एक मौका है.	మా విమానంలో 200 మంది పరయాణికులు ఉననారు. మాకు ఇదే ఏకెక అవకాశం.
एना उनहें समझाने में हमारी मदद करेगी.	వాటిని వివరించడంలో ఆనా మనకి సాయం చేయగలదు.
गृह सचिव का फोन है.	విదేశాంగ మంతరి.
इसके परिणामसवरूप, फलाइट केए29 को हाइजैक कर लिया गया है. "	అందుకు పరతిఫలంగా కెఎ29 విమానం హెజాక చేశాము. "
एक भरी हुई मैगजीन. एक अतिरिकत पिसतौल.	ఒక మయాగజెన లోడ చేయండి. ఒక పిసటల సిదధంగా ఉంచండి.
- मैं? - उनसे कहो कि यह ठीक हो जाएगा.	- నేనా? - అతనికి ఏమీ కాదని, కోలుకుంటాడని చెపపు.
लेकिन हमें लगता है कि आप गुपत तौर पर. . .	కానీ వయకతిగతంగా ఈ విమానం తిరిగి టేకాఫ కావాలని. . .
कया तुम हमें बताओगे कि आखिर चल कया रहा है?	అకకడ ఏం జరుగుతోందో మాకు చెబుతావా?
पता याद करो. डिलीट करो. अपने नकशे या सैटनैव में पता मत डालना.	అడరస చూడు. డిలీట చేసేయ. దానని మయాపస లో లేదా శాటిలెట నేవిగేషన లో కానీ చూడదదు.
इसे इस हालत में किसने पहुँचाया?	ఇతనికి ఎవరు ఇలా చేయనిచచారు?
हम उससे दूसरे दरवाजे से हमला करेंगे.	మనం దానికి అవతలి వెపు దవారం గుండా దాడి చేయాలి.
उसने यह बात कबूल की है.	ఆమె అది ఒపపుకుంది.
कया पूछा था तुमने?	ఇందాక నువవు ఏం అడిగావు?
तुम लोग इस तरह अंदर नहीं आ सकते.	మీరు ఇలా లోపలికి రాకూడదు.
-नहीं, मुझे पता है. -इस वकत, यह बस. . .	- లేదు, నాకు తెలుసు. - పరసతుతానికి, ఇది కేవలం. . .
- ओय! - पीछे फोन कैसे होगा? कौन सा बटन?	- ఓయ! - నేను తిరిగి ఎలా కాల చేయాలి? ఏ బటన నొకకాలి?
ऐसा ना करने या बाकी के निरदेशों को ना मानने के परिणामसवरूप,	అలా చేయకపోయినా లేదా మా ఆదేశాలను బేఖాతరు చేసినా
तुम, तुम डॉकटर हो ना?	నువవు, నువవు డాకటర వి, కదా?
माँगें?	డిమాండలా?
कय. . .	ఏంటి. . .
पलीज हमें अपनी सथिति बताएँ.	మీ తాజా పరిసథితిని తెలియజేయండి.
डॉकटर ने कहा उसकी हालत सथिर है.	అతని ఆరోగయం నిలకడగా ఉందని డాకటర చెపపాడు.
और इसमें कौन शामिल होगा और कौन नहीं, यह द चीपसाइड फरम नियंतरित करती है?	ఇంకా ఈ ఎంటరీ పాయింటలననీ ఆ చీప సెడ సంసథ కంటరోల చేసతుందా?
यह किस देश का झंडा है?	ఇది ఏ దేశం జెండా?
किसी ने गृह सचिव को एक खत दिया है.	విదేశాంగ మంతరికి ఎవరో ఒక లెటర అందజేశారు. . .
मैं अभी वहाँ जाता हूँ और उससे पूछता हूँ कि उसके हिसाब से उसके पास कितना समय है.	మా తమముడికి ఎంత సమయం ఉందనేది నేను వెళలి ఆ డాకటర ని అడుగుతాను.
तुम और वह एक दूसरे से पयार करते थे.	నువవు, వాడు కలిసి తిరిగారు.
डैड कहाँ हैं?	నానన ఎకకడ?
हमें अपहरणकरताओं की तहकीकात नहीं करनी है. वे बहुत सावधानी से काम कर रहे होंगे.	మనం హెజాకరల మీద ఫోకస చేయడం లేదు. వాళలు చాలా జాగరతతగా ఉంటారు.
चारली दो, अपनी जगह ले रहे हैं.	చారలీ టూ, మేము మా సథానం వెపు వెళతుననాం.
वह मर रहा है.	తను చనిపోతుననాడు.
मेरी मदद करो.	నాకు సాయం చేయండి.
मेरी मदद करो.	నాకు సాయం చేయండి.
उसके बाद हमें दोबारा उडान भरनी है.	ఆ తరువాత మనం టేకాఫ కావాలి.
हमें हंगरी के लोगों को राजी करना होगा कि वे हमें इस विमान को उतारने दें.	ఈ విమానానని దించడానికి హంగేరీ అధికారులని మనం ఒపపించాలి.
किंगडम 2-9, मुझे इस नौकरी में यह सब नहीं सिखाया गया था.	కింగడమ 2-9, ఇది నా ఉదయోగ పరిధికి మించినది.
लेकिन वह सिरफ एक इंसान नहीं है, है ना?	అతను ఎవరో అనామకుడు కాదు, కదా?
वह रोने लगी थी, तो टिशू लेने गई है.	ఏడచింది ఇంకా టిషయూ తెచచుకుంటానని వెళలింది.
तुम उनसे यही कहोगी.	వాళలకి నువవు ఇదే చెపపాలి.
कयोंकि मैं ही वह आदमी था जिसे उनहोंने भेजा था.	ఎందుకంటే వాళలు పంపించిన హిట మయాన నేనే.
वह कया बोले जा रही है?	ఆమె ఇంకా ఎందుకు మాటలాడుతోంది?
-इसका फैसला तुम नहीं कर सकते. -उतारो.	- అది నిరణయించవలసింది నువవు కాదు. - లయాండ చేయి.
यहाँ सैनिकों की जरूरत है.	గరౌండ లో సెనికులు సిదధంగా ఉండాలి.
अगर हम योजना के मुताबिक नहीं चले,	మనం పలాన పరకారం నడవకపోతే,
हम विमान को देख सकते हैं.	విమానం కనిపిసతోందని నిరధారించండి.
और? वे विमान को उतरने देंगे?	మరి? లయాండింగ కి వాళలు అనుమతి ఇసతారా?
अभी भी जो सकरीन पर दिख रही है, वह रोमानियाई फीड है,	మీరు ఇపపుడు తెర మీద చూసతుననది రొమేనియన ఎటిసి అందించే దృశయాలు,
देवियों और सजजनों, पलीज कोई भी खुला सामान संभालकर रखें.	లేడీస అండ జెంటిలమెన, దయచేసి ఏమెనా విడిగా ఉనన వసతువులని దగగరగా పెటటుకోండి.
सोचो इसमें कया-कया गडबड हो सकती है.	మనకి ఎదురుకాబోయే పరమాదాల గురించి ఆలోచించు.
ऐसा तुमहारा भाई ही कह रहा है. वह नहीं चाहता कि तुम विमान को उतारो.	మీ తమముడే చెబుతుననాడు. తనకి లయాండ కావడం ఇషటం లేదట.
शुकरिया.	థాంకస.
तो?	సరే?
कैसे हैं सब लोग?	గుడ మారనింగ.
पी लो.	కానివవు.
माइकल, पीछे आओ. पीछे आओ.	మెఖేల, పెరటలోకి రా. పెరటలోకి రా.
हे!	హేయ!
हे.	హేయ.
हे!	హేయ!
हम गयोर हवाई अडडे से 19 मिनट की दूरी पर हैं,	మేము గయేయర ఎయిర పోరటు నుండి 19 నిమిషాల లోపు దూరంలోనే ఉననాం,
हम दरवाजा खटखटाते रहे लेकिन कोई भी जवाब नहीं दे रहा है.	మేము తలుపు తడుతుననా ఎవరూ సమాధానం ఇవవలేదు.
कया हमारे पास इनके कुछ ऐसा करने का कोई सबूत है,	వాళలు గతంలో ఇటువంటి నేరాలు చేసినటలు
और सबसे जयादा जरूरी बात यह कि इस समय ये कहाँ हैं?	మరీ ముఖయంగా, వాళలు ఇపపుడు ఎకకడ ఉననారు?
कोई भी जो हमारे रासते में आने की कोशिश करे, हमसे यही करने के लिए कहा गया था.	ఎవరెనా మా దారికి అడడుపడితే, మేము అదే చేయాలని మాకు చెపపారు.
बिलकुल. हम ऐसा नहीं दिखा सकते कि वे हमें बलैकमेल कर लेंगे.	సరే, మనలని బలాక మెయిల చేసే అవకాశం ఇవవకూడదు.
हाय. सैम नेलसन बोल रहा हूँ.	హాయ. నేను సామ నెలసన.
बाकी के लोग, बाहर निकलो.	మిగతా వాళలంతా, బయటకి వెళలండి.
तुमने मुझसे कहा था इसकी हालत सथिर है, पर यह सच नहीं है, है ना?	అతని ఆరోగయం నిలకడగా ఉందని చెపపావు, కానీ తన పరిసథితి అలా లేదు, అవునా?
कौन सी एजेंसी, डेटाबेस, पीएनसी, होमस 2 के पास इनके रिकॉरड हैं?	వాళల రికారడులు ఏ ఏజెనసీలలో, ఏ డేటాబేస లలో, పోలీస నేషనల కంపయూటరస లో, హోమస 2లో ఉననాయి?
वे तुमहें भी मार देंगे, बिलकुल वैसे जैसे वे मुझे मार डालेंगे.	నా కోసం వచచినటలే, వాళళు మీ కోసం కూాడా వసతారు.
मॉरनिंग, लुइस.	గుడ మారనింగ, లూయిస.
अपना हाथ हटाओ.	నా మీద నీ చేయి తీయ.
- तुम कयों बोले जा रही हो? - बात शायद पेचीदा है.	- ఎందుకు మాటలాడుతుననావు? - కలిషటసమసయ.
लेकिन जब वह उनकी हद से आगे बढा, तो उनहोंने	కానీ అతను హదదు మీరాడు, వాళలు అతని కోసం మనుషులని పంపించి
वह कैसा है?	తను ఎలా ఉననాడు?
- कितनी डालूँ? - सारी.	- ఎనని కావాలి? - అవననీ కావాలి.
और सब यह बात अचछी तरह जानते हैं कि हम आतंकवादियों से समझौता नहीं करते.	అది చాలామందికి తెలుసు, మనం టెరరరిసటులతో చరచలు జరపం.
जिससे यह अंदाजा लगाया जा रहा है कि शायद उनहें कैद करके रखा गया होगा,	వాళలని బందీలుగా ఉంచారనే అనుమానాలకు ఇది దారితీసతోంది
कि वे ऐसा कुछ करने की सोच भी रहे हैं.	వాళలు చేసతునన డిమాండలని మనం సీరియస గా తీసుకుందాం.
आप हमें बता दो कि उनकी योजना कया है, आप कया जानती हैं.	వాళల పలాన ఏంటి, మీకు ఏం తెలుసో చెపపండి.
उनसे कहो हमें "सशसतर बल" चाहिए.	మనకి "సాయుధ బలగాలు" కావాలని వాళలకి చెపపండి.
तुम यह बात कैसे जानते हो?	అది నీకెలా తెలుసు?
