साला!	అబబా!
कि तुमने वॉट के बारे में जो कुछ कहा,	నువవు వాట గురించి చెపపిందంతా నాకు చాలా నచచింది,
-अपनी ताकत का इसतेमाल करो.	-నీ శకతులను ఉపయోగించు. -అంటే ఏంటి?
किताब में चैपटर नंबर 12 और 13 करो.	నీ వరకబుకలో 12, 13 పాఠాలు.
मुझे पता है कि वह आपके लिए कया थी.	ఆమె నీకు ఏంటో నాకు తెలుసు.
तुमहारा सवागत है.	నీకోసం ఏదెనా.
खोलता तो वह हँस पडती.	ఆమె నవవి ఉండేది.
पॉप कॉरन हो जाए?	జఫఫీ పాపకారన తింటావా?
"हमने"? यह "हमने" कौन है?	"మనమా"? "మనం" ఎవరు?
पिपि को फरक नहीं पडता था.	పిపి పటటించుకోలేదు.
सुनो, मेरे पिता के पास	హే, నీకు తెలుసా, మా నానన దగగర
सटारलाइट का तो सामने का हिससा	సటారలెట కడుపు చూడగలరు.
नहीं. यह नहीं होगा! यह सच नहीं है.	లేదు, లేదు. అది అససలు జరగదు! అది వాసతవం కాదు.
देखिए, बुरा मत मानिएगा, मैं समझती हूँ	అపారథం చేసుకోకండి, మీకు చరచాంశాలు ఉంటాయని తెలుసు,
मैं तुमसे कह चुका हूँ, जब मैंने उसे उडाया,	చెపపానుగా, నేను ఆమెను పేలచే సమయానికి అపపటికే చనిపోయింది.
कब तक रुकने का इरादा है?	నువవు ఎననాళళు ఉండాలనుకుంటుననావు?
चरच ऑफ द कलेकटिव	సామూహిక చరచి
इस तरफ घूमो!	ఇటు వెపు తిరుగు!
तुम सच में मुझसे इसका जवाब चाहते हो?	దానికి సమాధానం చెపపాలంటావా?
नहीं. यह परिंस का गिटार है,	లేదు. పరపుల రెయినలో పరినసది ఈ గిటార.
तुम और मैं. . .	నువవు ఇంకా నేనూ. . .
मुझे अब सो जाना चाहिए, ठीक है?	నీకు తెలుసా, నేను ఇక పడుకోవాలనుకోవాలేమో?
अचछा लगा.	ఇది బాగుంది.
उसका भाई.	ఆమె సోదరుడు.
बुचर! संभलकर, मेरे दोसत.	బుచర! ఆగు, మితరమా.
बचचे, आ रहे हो?	హే, బాబు, వసతుననావా?
-नहीं, यह साला कौन सा शहर है?	-లేదు, అసలు ఏ నగరంలో ఉననాను? -ఫోరట వేన.
बेटा, हम जो चाहें कर सकते हैं	బాబూ, మనం కోరుకుననది ఏదెనా మనం చేయవచచు,
मुझे नहीं लगता कि आगे कोई रासता है.	ఇందులో ఏ అవకాశం ఉందనుకోను.
जो यह जानना चाहती हो	నాపె గూఢచరయం చేయనవసరం లేదు.
मैं तुमहारी परशंसक हुआ करता थी,	నేను నీకు పెదద అభిమానిని, కానీ నినను చూడు.
तो फिर, ये और किसे अपना कपतान समझेंगे?	వాళళు ఇంకెవరిని అనుసరిసతారు?
तुम हो ही ऐसे.	అది నీ సవభావం అంతే.
बस हमारा थोडा सा साथ दे दीजिए, ठीक है?	కాసత వేలు ముంచు చాలు, సరేనా?
तो हमें इनका ठीक से इसतेमाल करना होगा.	ఇవి పూరతిగా ఉపయోగించుకోవాలి.
हे भगवान. सभी को एकदम चाबी दी गई है.	అయయో, దేవుడా. పరతిఒకకరు చాలా నియంతరణలో ఉంటుననారు.
बस, बीच-बीच में दिखावा करना बंद करो.	ఏది కావాలనుకుంటే అలా, అపపుడపపుడు ముసుగు తీయాలంతే.
लडका. लडकी.	అబబాయి. అమమాయి.
जिस तरह से उसने तुमहारी तरफ देखा.	ఆమె నీవెపు చూసిన తీరు. ఆమె మంచిది, తెలివెనది.
शाइनिंग लाइट बहुत ही घटिया है!	షెనింగ లెట అంతా బూటకం!
डीप, यदि तुम खुद से ईमानदार नहीं हो सकते,	డీప, నీతో నువవే నిజాయితీగా లేకపోతే, సెవెనలో నినను తిరిగి
मैंने सही जवाब दिए?	నేను వాటిని సరిగా వరాశానా?
मैं दोबारा समूह का हिससा नहीं बनूँगी.	నేను తిరిగి ఆ జటటులో చేరను.
मैंने नहीं. . . अचछा, देखो,	లేదు. . . సరే, చూడు, ననను కనిపెటటావు.
ए. ऐसी चीज से मौत भी हो सकती है.	హే. నువవు ఇలాంటి వాటితో చనిపోయి ఉండే దానివి.
तुम जो समझ रहे हो, वैसा नहीं है, ठीक है?	ఇది కనిపిసతుననటటుగా కాదు, సరేనా? అపారథం చేసుకుంటుననావు.
सटॉरमफरंट, तुमसे मिलना गरव की बात है.	సటారమఫరంట, నినను కలవటం ఒక గౌరవం. నేను నీ అభిమానిని.
अपने डर का मुकाबला करो, दोसत.	దానిని ఎదురకో, సోదరా.
हम अब और कुछ नहीं कर सकते.	టూతపేసటును తిరిగి టయూబలోకి పెటటలేము.
तुमहें कोई फरक नहीं पडता?	నువవు పటటించుకోవా?
तुम खुद अपने शरीर को सवीकार नहीं कर पाते,	నీ శరీరానని నువవు సవీకరించలేవు, అందుకే వారిని హింసిసతావు.
एक निरमाता था जिसने बैठने वाली जगह बदल ली	అకకడ ఒక నిరమాత, నా పకకన కూరచోవచచని పేరల కారడులను మారచాడు.
पर, असल में मेरा अपेंडिकस फटने वाला था.	అది నా అపెండికస పగిలిపోయేదే.
लडका.	అబబాయి.
कौन है?	ఎవరు?
शायद नहीं.	చదవలేదనుకుంటా.
तुम जिन लोगों के साथ थी. . .	నువవు ఉనన ఈ జనం. . .
वह बहुत अरसे पहले की बात है.	అది చాలా కాలం కరితం.
नंबर 734 सेंटरल एवेनयू, नयूअरक.	734 సెంటరల ఏవ, నెవారక.
तुम भी सहमत हो? है ना?	నువవు అంగీకరించాలనుకుంటా? కాదా?
बगल वाली दोनों को	ఈ రెండు ఒక దగగర పెడతారా?
तुम इस आदमी को जानती हो?	నీకు ఇతను తెలుసా?
मुझे लगा कि वह मुझे नीचा दिखाना चाहता था,	అతను నాకు మంచి వారత ఇచచేముందు
रायन, जब मैं तुमहारी उमर का था,	నీకు తెలుసా, రాయన, నేను నీ వయససులో ఉననపపుడు,
लडकियों की आजादी की बात करना चाहते हो,	అమమాయి శకతి గురించి మాటలాడాలననారుగా, జేబుల గురించయితే?
भगवान ही जाने कयों.	ఎందుకో ఆ దేవుడికే తెలియాలి.
पीला घर	యెలలో రాంచ
लडका लडकी लडका	అబబాయి అమమాయి అబబాయి
तुमहें वी चाहिए था, तो यह रहा.	వీ కావాలననావు, ఇదిగో.
अब, यह,	ఇపపుడు ఇక,
यह एक अचछा अहसास है.	అది మంచి భావన.
तुमहें लगता है कि उसे यह जानकर खुशी होगी	నువవు వాడిని ఈ అందమెన జెలులో
कौन कहता है कि मैंने किसी को नहीं बताया?	నేను చెపపలేదని ఎవరు చెపపారు?
सुनोगे तो खुश हो जाओगे.	నీకది నచచుతుంది.
तो शौक से डॉ. पारक से जाकर कह दो	అందుకే నువవు డా. పారకకు ఏమెనా చేసుకోమని చెపపు.
तुम वह सब हो जिसकी मैंने उममीद की थी	నేను ఆశించినది అంతా నువవే
तुम वह सब हो जिसकी मैंने उममीद की थी	నేను ఆశించినది అంతా నువవే
तो, कुल मिलाकर, अपनी मेहनत की कमाई	కలుపతంగా, నువవు కషటపడి సంపాదించిన డబబంతా ఈ పిచచి,
कोई बात नहीं.	ఫరవాలేదు.
तुमहारी आँख को कया हो गया?	నీ కంటికి ఏమయింది?
जिनहोंने तुमहें अगवा किया था?	నినను అపహరించినవారా?
वे हमारा पीछा करते हुए आए थे.	వాళళు మనకోసం వచచారు.
मैं तुमहें एक राज बताऊँ? खुलकर?	నీకు ఒక రహసయం చెపపనా? దాపరికం లేకుండా, సరేనా?
मेरी रीढ की हडडी में सुई डालकर,	నా వెననులోకి సూది గుచచి నీలం విషం ఎకకించింది.
बडे देवदारु	లారజ పెనస జూనిపర
अचछी खबर देने से पहले,	నాదెన ఆమమాయికి ఏం చేశాడో చూపించి
उनके पास एक खुराक बची थी	వాళళదగగర ఇంకా ఒకక డోసు మాతరమే ఉంది,
तो, हम तमीज से पेश आने की कोशिश करें?	అందుకే, మనం మరయాదగా వయవహరించడానికి పరయతనిదదాము, సరేనా?
वाह! शुकरिया!	బాగుంది! ధనయవాదాలు.
जो आगे चलकर किसी मैनेटी के पेट में मिलेगी	నీ పిలలలు చెతతలో పడేసతే మనాటీ బొడడులో తేలేదానిపె వృథా చేయకు.
मैं तो भूल ही गई. हमें खाना मंगवाना होगा.	మరచిపోయాను. మనం భోజనం ఆరడర చేసుకోవాలి. తకకువ పరోటీనలు ఉననది.
और मैं दावे से कह सकता हूँ कि वह वहीं है.	ఖచచితంగా అతనకకడే ఉండిఉంటాడు.
शैतान बना दिया.	ఒక దుషటురాలిని చేశారు.
जैसे तुमहें कोई फरक पडता है.	నీకేదో చింత ఉననటటు.
मैं नकारातमक बात नहीं करना चाहती,	పరతికూలంగా ఉండాలని కాదు, కానీ ఇతని కారయచరణ దృకపథం
मेरे पिता और मैं, वरलड सीरीज वाली बॉल	మా నాననా, నేనూ, ఎపపుడూ పెరటలో పరపంచ సీరీస బాలతో ఆడలేదు.
हे भगवान, अगर यह अभी चुप नहीं हुई तो	దేవుడా, ఇంతకంటే ఎకకువ ఉతసుకత ఉంటే తన నడడి పేలిపోతుంది.
ए.	హే.
ए.	హే.
ए!	హే!
करीब ले आओगे? एक चली गई.	ఒకరు రావడం లేదు.
खैर. . .	ఏదేమెనా. . .
चलो.	వెళళు.
हाँ.	అవును.
मैं भी तुमसे पयार करता हूँ.	నాకూ నువవంటే పరేమ.
ए.	హే.
तुमहें कोई गोली छू भी नहीं सकती.	వాసతవానికి మనం బులెటపరూఫలో ఉననాం. ఏం జరుగుతుంది?
भाड में जाओ.	వెళళిపో.
कि जब परोपेन वाले टैंक फटे थे, तो बचचे	పరోపేన టయాంకులు పేలి చంటి పిలలలు వారి ఉయయాలలో కాలిపోయినా?
धत. तुमहारे पास लिखने के लिए कागज है?	అబబా. నీ దగగర కాగితం ముకక ఉందా, ఏదెనా నేను వరాయగలిగింది?
लडकियाँ लडकों से बेहतर हीरो	అబబాయిల కంటే అమమాయిలు మంచి హీరోలు కాగలరా?
गेको के साथ तुमहारी दोसती है?	గెకోతో సాననిహితయమా?
देखो, मैं कोई पागल नहीं हूँ, ठीक है?	చూడు, నేను పిచచివాడినేం కాను, సరేనా? నేను ఆమెను చూశాను.
उसका सिर एक कमरे में मिला,	అతని తల ఒక గదిలో,
थोडा समय चाहती हो कि आगे बढें?	నీకు విరామం కావాలా లేక చివరివరకు కొనసాగిదదామా?
मुझे कोई फरक नहीं पडता.	నాకేం భయం లేదు.
अब चलो भी, वकत बरबाद मत करो.	రండి, సమయం వృథా చేయకండి. మనకు రాతరంతా లేదు.
फेडरल अधिकारियों ने. . .	పరభుతవాధికారులు విలియం బుచర కోసం. . .
और उसके बाद, हम दोनों मारे जाएँगे.	ఆ తరువాత ఇదదరం పోతాము.
वॉट ने हाल में खुलासा किया कि वह कंधार में	ఈమధయే తను కాందహారలో అతయంత రహసయమెన మిషనలో ఉననారని వాట తెలియచేశారు.
सच कहूँ तो, यह तो वही बात हो गई	నిజంగా, అది బొదదింకను బొదదింకలా ఉండవదదని అడగడమే.
बालवाडी वाली टीचर, जिसके साथ तुमने वीएच1	వీహెచ1 ఎడయుకేటర అవారడుల వేదిక వెనుక ఆమెతో సననిహితంగా మెలిగావు?
हैलो. तुमहें कैसा लग रहा है?	హే. నీకు ఎలా ఉంది?
तुमहें पता होना चाहिए कि सभी को लगता है	నువవు ఆ రాతరి నాకోసం అదనపు భదరతను పిలవటం మంచి ఆలోచన అని అందరూ
सामानय से कहीं परे है.	పెరగటం కుదరదు.
तो कया?	అయితే ఏంటి?
वॉट ऐसे शैंपू को परख रहा है जो बालों में	పరిమాణం పెంచే కొతత పొడి షాంపూను వాట కంటి దురదకె పరీకషిసతుననారు.
एक हाथ से घोडा उठा लेती थी? तुमने	ఒక చేతతో గురరానని ఎతతేది? పిపపీ లాంగసటాకింగ చదవలేదా?
और वे सारी सुइयाँ, एक ही वकत पर	ఒకే సమయంలో అనని సూదులు ఆమె చేతిలోకి గుచచుకుననాయా?
माफ करना. परिवार में कोई काम आ गया है.	కషమించు. కుటుంబ అతయవసరం.
तुम ही कयों नहीं बताते	నా బూటలో ఏముందో నువవే చెపపవచచు కదా?
एक घंटे में, मैं लौट आऊँगी.	గంటలో తిరిగొసతాను. మిస బరడతో కాఫీ తాగుతాను.
होमलैंडर और मैं, टवेलव इयरस अ सलेव की	టవెలవ ఇయరస సలేవకు హోంలాండర ఇంకా నేను ఆసకార పారటీకి వెళళాము.
द सेवेन में लडकियों की ताकत को	సెవెనలో ఎవరు అమమాయిల శకతిని శకతివంతం చేసతుననారు?
सथानीय खबरों के लिए, कलीवलैंड का पहला और	చూసతుండండి డబలయూడీసీఎస, కలీవలయాండ సథానిక వారతల మొదటి, ఉతతమ మూలం.
हालांकि उनके शरीर ने आखिरी साँस ली,	ఆమె శరీరం విశరమించినా, ఆమె ఆతమ అనంతకాలం సజీవంగా ఉంటుంది.
जानकर अचछा लगा.	అది తెలుసుకోవటం బాగుంది.
चलें?	వెళదామా?
कया कहा?	ఏంటి?
किसी ने तुमहें बताया है	నీ సామరథయం ఏమీటో నీకు ఎవరెనా చెపపారా?
"और इसके बाद मौत नहीं होगी. "	"మరణము ఇక ఉండదు. "
-तुमहें उसके बारे में चिंता है?	-మీకు ఆయన గురించి ఆందోళనగా ఉందా? -అవును, ఖచచితంగా.
सभी का इस बारे में कया खयाल है कि तुमने	నీ దేశదరోహ పరియుడి పరారీలో నీ సాయం గురించి వారెలా భావిసతుననారు?
और कोई हमें रोक नहीं सकता.	ఎవరూ మనలని ఆపరు.
यह हीरो, किसी शैतान की तरह,	ఈ హీరో ఆకాశంనుండి రాకషసుడిలా విరుచుకుపడడాడు.
-तुमहारी बारी, माँ.	-నీ వంతు, అమమా. -నువవు వెళళాలి.
जिंदगी कोई पीआर रणनीति नहीं है. आपके	నిజానికి జీవితం పీఆర పరణాళిక కాదు. మీకు తోచింది మాటలాడవచచు.
सभी लडकियाँ डिजनी की कमीनी लडकियों	డిసనీ వయభిచారులలా తయారెన అమమాయిలందరూ ననను గేలి చేసేవారు,
तो फिर हम कहीं और चले जाएँगे.	అయితే మరెకకడికయినా వెళదాం. తిరిగి జపానకు వెళదాం.
हमें लगता है कि वह किसी चीज के करीब	వాట దేనికో చాలా దగగరవడానికి ఆమెను చంపేశాడని అనుకుంటుననాము.
तुमहें लगता है कि औरतें हम पर हँसेंगी,	సతరీలు మనలని చూసి నవవుతారని అనుకుని, వాళళను ముందరే అవమానిసతావు.
बिलकुल. हम ऐसे पेश आएँगे	పూరతిగా. మనం ఇది సాధారణమే అననటటు ఉంటామా?
द डीप	డీప
द सेवेन में आज तक कभी	సెవెనలో ఎపపుడూ ముగగురు మహిళలు లేరు.
अंदर हूँ. खोलो.	నేను లోపల ఉననాను. తెరువు.
हाँ. मैं भी.	సరే. నేను కూడా అంతే.
मुझे नहीं लगता कि लडकियाँ खास होती हैं.	అమమాయిలు అంతకంటే బాగా ఏం చేయరు. అమమాయిలు, అబబాయిలు కలిసి చేసతారు.
हाँ	అవును
अब, तुम भी कहो.	ఇపపుడు, అది తిరిగి చెపపు.
वे मुझे हिफाजत से रखते हैं.	వాళళు ననను సురకషితంగా ఉంచారు. నిననూ ఉంచుతారు.
आपको उसे रफा-दफा करना होगा, कयोंकि	మీరు అతను వెళళిపోయేలా చేయాలి, మీరలా చేయకపోతే, నేను రాయనను
मेव, अगर कुछ बदला नहीं है	మేవ, ఏమీ మారకపోతే నువవు ఇకకడేం చేసతుననావు?
तसकरी की गई, उसी सिलसिले में.	అకరమ రవాణాకు సంబంధించినది. మనం అకకడే మొదలుపెడతాం.
तुम हताश हो, बुरे हाल में हो,	నువవు తెగింపుతో, ఇబబందులతో ఏదో కావాలనుకునేవాడివి.
और अगर कोई तुमहारे साथ छेडछाड	ఎవరెనా అంగం నోటలో పెటటాలని చూసతే, దానిని కొరికేయ.
तुम ही वह लडके हो जिसने हर उस	నువవు తలలిని కోలపోయిన పరతి ఎలుకను సాకిన అబబాయివి.
मुझे लगा मैं दोबारा कभी	నేను నినను తిరిగి చూడలేనేమో అనుకుననాను.
पता नहीं. शायद नहीं.	నాకు తెలియదు. నేనలా అనుకోవటం లేదు.
तुम वॉट के बारे में जो कुछ कह रही हो,	బహుశా నువవు వాట గురించి చెపపేదంతా నేను చెపపాలనుకోవటలేదు కాబటటే.
नहीं, खुश नहीं होऊँगा! मैं कभी खुश	లేదు, నచచదు! నాకు అది నచచదు! నాకది ఎపపటికీ నచచదు! ఎపపటికీ!
और एक दिन, आप दिल में खुशियाँ और दुःख लिए	మరియు ఏదో ఒక రోజు, మీరు సూసనను ఆనందంగా, అలాగే బాధగా గురతు చేసుకుంటారు.
वह हमें मरने के लिए छोड गया था,	మనలని చనిపోడానికి వదిలేసి, ఏం జరగనటటు వయవహరిసతుననాడా?
शायद उससे थोडा जयादा.	బహుశా రెండు. నాకోసం కాదు, రేనర కోసం.
तुमहें बस चीजों को	విషయాలను తిరిగి రూపకలపన చేయాలి.
मैडलिन सटिलवेल की हतया के लिए	నినను మాడలిన సటిలవెల హతయకు అదుపులోకి తీసుకోడానికి.
सेट पर शांति रखिए. कैमरा रोल करते हुए.	సెటలో నిశశబదం. కెమెరా.
लडकों के बारे में बातें करते हैं.	అబబాయిల గురించి మాటలాడుకుందాం. సటారలెట, ఒంటరా, జత కటటారా?
दोबारा मुझे धमकाया तो सभी को बता दूँगा	ననను మళళీ బెదిరిసతే, ఇది నువవే తీసుకుననావని అందరికీ తెలిసిపోతుంది.
ठीक है!	సరే.
सटॉरमफरंट, द सेवेन के लिए आपको बधाई.	సటారమఫరంట, సెవెనలో చేరికకు అభినందనలు. ఇకకడ ఉండడం ఉతసాహంగా ఉందా?
पर मुझे अपनी जासूसी करने के लिए,	నేను జటటులో భాగమేనా అని తెలుసుకోడానికి వాట బారబీ గూఢచారి
ठीक है.	సరే.
अचछा लगता है. साँस ले पाओगी.	బాగా అనిపిసతుంది. నువవు చివరకు ఊపిరి పీలచుకోగలవు.
अब रुके कयों हो?	మీరు దేనికె వేచి చూసతుననారు?
तुमने हयूई से यही कहा था ना?	హయూయీకి అదే చెపపావు, కదా? నువవు పాపకలాని చంపావని.
तो फिर तुमहें पता है	అయితే నేను ఇది చేయాలని నీకు తెలుసు.
रचनातमक परयवेकषक	కరియేటివ సూపరవెజర రాజేశ వలవల
मुझे लगता है कि एक आँख वाला शैतान	ఒంటి కనను రాకషసుడు నీకోసం వేచి చూసతుననటటు ఉననాడు అనుకుంటా.
तो वह मेरे लिए बेकका को ढूँढेंगी.	ఆమె నాకోసం బెకకాను కనిపెడుతుంది. నేను చేసుకునన ఒపపందం అదే.
हयूई ने तुमहारी जान बचाई.	హయూయీ నీ పరాణాలు కాపాడాడు. మేమిదదరం కాపాడాం.
आगे बढते हैं.	చివరివరకు కొనసాగిదదాము.
तुमने वादा किया था	నాకు మళళీ కనిపించనని మాట ఇచచావు.
पिपि लांगसटॉकिंग मजा चखाती,	పిపపి లాంగసటాకింగ ఖచచితంగా అంగానని కొరికేసతుంది.
कानून परवरतन अफसरों ने खबर देने के लिए	నయాయ పరిరకషణాధికారులు ఒక హాటలెనను ఏరపాటు చేశారు, ఎవరెనా ముందుకు వచచి
अचछा. मैं हर हैलोवीन पर,	సరే. నేను పరతి హాలోవీనకు తనలా తయారయయేదానని.
वह द सेवेन की सबसे नई सदसय है	ఆమె సెవెన కొతత సభయురాలు ఇంకా అమెరికాను కుదిపేసతుంది.
-अचछे से सीखना.	-పాఠాలు బాగా నేరచుకో. -సరే.
तुमहें लगता है कि होमलैंडर ने वह किया?	అది హోంలాండర చేశాడనా?
तुमहारे दफतर में अभी भी मैगी शॉ का	సపషటంగా, నీ పనిచేసే చోట ఇంకా మయాగీ షా అతయవసర సంపరదింపుగా ఉంది.
कि वे खुद को बचा लेंगे,	కషమించు, అది వారు ఇదివరకు వందసారలు చేశారు.
हाँ, मुझे सच में लगता है	అవును, ఆ పరారథన నాకు చాలా సాయపడిందనుకుంటాను.
तुमहें दिखाई नहीं देता	నీవు చూడలేవా
आप खुशकिसमत हैं कि दोनों पहलुओं के लिए	అది అనుభవించడంలో సాయం చేయడానికి నీకు నీ కుటుంబం ఇంకా సనేహితులు ఉననారు.
दरखवासत कर रहे हैं कि यदि किसी को	అనుమానితుడి ఆచూకీకి సంబంధించిన సమాచారం అందించాలని కోరుతూ. . .
वह संपरक सूतर कौन है?	ఆ పరిచయసతులు ఎవరు? వాళళ అసలు పేరు ఏంటి?
-मुझे जाना है.	-నేనెళళాలి. -ఏంటి? కుదరదు!
अगर उस आतंकवादी का पता चल गया,	మనమీ ఉగరవాదిని కనుగొంటే, ఆమెను ఎవరు చంపారో తెలుసుకోవచచు.
शाम 4: 00 बजे तक गोलमेज सममेलन.	రౌండ టేబుల సమావేశాలు 4: 00 వరకు. ఇంటరవయూలు 6: 00 వరకు. . .
मेरा धयान अपनी तरफ खींचने के	సరే, నా దృషటి పొందడానికి ఇంకా చాలా సులభ మారగాలుననాయి.
उस खाते से जुडा है जहाँ से उस	అమెరికాలో అకరమ రవాణా అయిన ఆ ఉగరవాద ఖాతాకు జోడించబడింది,
-गाडी में जाकर बैठिए.	-కారులో కూరచోండి. -డా. పారకతో మాటలాడాలి.
समंदर में तैरना चाहेगा?	సముదరంలో ఈదాలంటే? లేదా బరగర కింగలో తినాలంటే?
मतलब, अगर तुमहें सीपीआर देने के लिए	అంటే, నేను నీకు సీపీఆర ఇవవడానికి అకకడ ఉండిఉండకపోతే ఏం జరిగి ఉండేది?
पर जब वह कपडे पहन रही थी,	కానీ ఆమె లోదుసతులు వేసుకుంటుండగా నువవెళళిపోయావు.
बॉचड देखने का यह मतलब नहीं है	నీకు తెలుసా, బాచడ చూసతే నువవు వెదయ నిపుణురాలివి అయిపోవు.
सटारलाइट, तुमहारा साथी ए-टरेन	సటారలెట, నీ సహచరుడు, ఏ-టరెయిన, పరజలు దృషటిని ఆకరషించారు.
मैं यह परेस कारयकरम छोडकर नहीं	నేనీ పరెస కారయకరమాల నుండి తపపించుకోలేను. నాకు జేబులు లేవు.
हमने सोचा कि इसका बचपन साधारण हो,	మనం వాడు తన చిననతనం వీలెనంత మామూలుగా గడిపితే మంచిదని అనుకుననాము.
सकारातमक तरीके से, नारी सुलभ तरीके से,	మనం సానుకూలంగా, సతరీవాదంతో, సాలోచనతో కానీ పరోతసాహకరంగా. . . ఎకకడికి? ఏంటి?
हैलो, टोनी सिसेरोज के	టోనీ సిసిరోసలో ఎండలెస పాసతా వీకకు సవాగతం.
राजनीति विजञान पढने वाली	ఒక ఒబరలిన నుంచి రాజయాంగ శాసతర అమమాయితో తిననాను.
तुम कहाँ हो? मुझे मिल गया.	ఎకకడుననావు? ? అది దొరికింది. భయంగా ఉంది. ఫోన చేయ! !
हमें एक-दूसरे का खयाल रखना था	మనం ఒకరినొకరం కనిపెటటుకు ఉండాలి, కానీ నువవు మాయమయిపోయావు.
उनहोंने बताया कि तुम हर रोज मेरे	నువవు నా గదికి పరతిరోజు వచచి నాకోసం పరారథించావని వాళళు చెపపారు.
कैरल, अगर मैं ईमानदार होता हूँ तो	కెరల, నేను నిజాయితీగా చెపపాలంటే, నీకు అసలు ఏంకావాలో నాకు తెలియదు.
डॉन लारसन ने खुद उस पर दसतखत किए थे,	దానిపె గేమ 5లో పరతయరథికి ఒకక పరుగూ ఇవవని డాన లారసన సవయంగా సంతకం చేశాడు.
कोई बात नहीं. . . तुम. . .	ఫరవాలేదు. . . నువవు. . . నువవు తరువాతది పటటుకుంటావు.
तो फिर, तुमहारे लिए	సరే, నువవు తెలుసుకోవాలసిన సమయమొచచింది.
पिछली बार मैंने खूमी,	కరితం సారి పుటటగొడుగులు గూ గూ డాలస కచేరీలో
-कैमरा रोलिंग.	-రోలింగ. -ఎకకడ పరారంభించాలి?
अचछा. देखिए, खास तौर पर, असल में,	సరే. అంటే, చూడు, దానికి పరతయేకించి, వాసతవంగా నా దగగర సమాధానం లేదు,
पर इससे कया फरक पडता है	కానీ హీరోలు అమమాయిలయితే ఏంటి అబబాయిలయితే ఏంటి?
यदि मैं तुमसे कहूँ	నేను అతను సరిగగా మీ వెనుకే ఉననారంటే?
मेरे लिए	నాకు
मेरे लिए	నాకు
मेरे लिए	నాకు
होमलैंडर काफी परेशान है	హోంలాండర నుండి ఈ సమాచారం దాచబడిందని బాధపడడాడు.
तुमहें वापस जाना चाहिए.	నువవు తిరిగెళళాలి. పియానో పాఠాలు అయిపోయుంటాయి.
सीआईए उसे हमेशा के लिए अंदर कर देता	సీఐఏ అతనిని ఎపపటికీ జెలులో పెటటేది, ఆమె ఇంకెపపుడు అతనిని చూడలేకపోయేది.
हयूई के साथ रहकर,	హయూయీ మీ ఇదదరినీ బలహీనులను చేసాడు.
ऐसा करते वकत, तुमने उसकी बडी,	నువవు అలా చేసతుననపపుడు ఆమె పెదద, బాధాకరమెన కళళలోకి చూశావా?
अमरीका सच में खुशकिसमत है	తమ కోసం అంత సాహసవంతమెన హీరో పోరాడటం అమెరికా అదృషటం.
-इसका कया मतलब हुआ?	-దానరథం ఏంటి? -ఆమె నాకు ఇచచిన చిరునామా.
मैंने वादा किया था	నేను నీ ఇంటికి మళళీ రానని మాట ఇచచాను.
-हैलो, बेकका.	-హే, బెకకా. -ఏం జరుగుతోంది?
मैं यह कभी नहीं चाहता था.	నేనిది ఎపపుడూ కోరుకోలేదు. కానీ వారు ఎపపుడూ సరెనవారే.
-एलीना. . .	-ఎలీనా -నువవిక వెళళాలి.
बकवास है. उसने तो बस	అబబా, ఛా. ఆమె నీ ఛాతిపె చేయిపెటటింది అంతే.
और वह सीआईए से कहकर,	సీఐఏ మన రికారడులు చెరిపేసేలా ఆమె చేసతుంది.
मैं खूबसूरत नहीं हूँ.	నేను కాను.
और पता है मुझे कया लगता था?	నేను ఏం అనుకునేదాననో తెలుసా? "ఎవరు పటటించుకుంటారు? " అని.
माँ कहती हैं कि अकेले में,	ఒంటరితనంలో నినను నువవు బాగా తెలుసుకోగలవని అమమ చెపపింది.
देखो, मैं बस चाहती हूँ	చూడు, నా బిడడ సాధారంణంగా ఉండాలని అనుకుంటుననాను.
कोई भी औरत दूसरी बार	ఒక మహిళ కావాలని కోరుకోనిది మరో ముకకు సరజరీ.
गरेस, मुझे पता है	గరేస, రేనరను ఎవరు చంపారో నాకు తెలుసు.
"और ईशवर उनकी आँखों से	"ఆయన వారి కననుల పరతి బాషపబిందువును తుడిచివేయును,
-अचछा, मैं चला.	-సరే, నేను వెళుతుననాను. -ఎకకడికి?
मजाक कर रहे हो कया?	హాసయమాడుతుననావా? నేనిది ఇపపుడు తీసుకోలేను.
जब तुमहारे चेहरे से	నీకు తెలుసా, నీ మొహంపె చరమం చెకకుతుననపపుడు
शिविर को बरबाद कर दिया,	కయాంపను, దాని చుటటూ ఉనన గరామాలను కూడా నాశనం చేశాడు.
तुमहें बडी मुशकिल हो रही है	నువవు కషటకాలం ఎదురకొంటుననావు ఈ మధయ నీకు మంచి భావన కలగడం లేదు
चककर चल रहा है,	హోంలాండరకు తెలియగానే నీ పనిపడతాడు.
मैं नहीं चाहती	నువవు ననను ఇకమీదట దవేషించకూడదని.
पर मैं मरी नहीं, इसलिए,	కానీ చనిపోలేదు, కనక నువవు ననను కాపాడాలసిన అవసరం లేదు.
मानो हमारी कोई अहमियत ही न हो?	మనం దదదమమలమా?
कब?	ఎపపుడు?
चारों ओर लाशें बिछी हुई थीं.	అంతటా శవాలు.
माफ करना कि मैंने	వీరిలో తమని కాపాడుకునే తెలివుందని నమమాను
मैं नहीं चाहती	అతను నీకలా చేయాలని నేను కోరుకోను.
