और चाबियाँ?	మరి తాళాలు?
उनहोंने हमसे यही करने को कहा है, तो हम ऐसा ही करेंगे.	వాళలు కోరుకుననది అదే, కాబటటి మనం అదే చేసతుననాం.
किंगडम एयरलाइंस फलाइट नं. केए29	కింగడమ ఎయిర లెనస ఫలయిట నెంబరు కెఎ29
टारगेट दोबारा चलने लगा है.	టారగెట మళలీ కదులుతోంది.
उप-शीरषक अनुवादक: पुनीत	తెలుగు అనువాదం: సతీశ కుమార
तुमहें जानना है हम कया कर रहे हैं? यह.	ఏం చేసతుననామో తెలుసుకోవాలని ఉందా? తెలుసుకో.
पर पहले, एक नई जानकारियों से भरा अधययन. . .	కానీ ముందుగా, విపలవాతమకమెన అధయయనం. . .
मुझे यही हुकम मिला है, तो अब यह होकर रहेगा!	అది మా ఆదేశం, కాబటటి అది జరిగి తీరాలి!
ठीक है. वाहन में ही रहना. जहाँ हो, वहीं रहना.	విననాము. మీ వాహనంలోనే ఉండండి. మీరు ఉనన చోటే ఉండండి.
मुझे लगता है तुमहें यह मजाक करना बंद कर देना चाहिए.	మనం సీరియస గా ఉండాలసిన సమయం వచచింది అనుకుంటా.
इसने नहीं किया.	ఇది అతను చేయలేదు.
- पहचान निशचित कर रहे हैं. - सिर नीचे करो!	- ఐడి కోసం వేచి ఉండండి. - తల దించండి!
दो संदिगध हिरासत में हैं.	ఇదదరు అనుమానితుల బందీ.
नहीं तो मैं एक और तसवीर मँगवाता हूँ.	లేదా నేను ఇంకో ఫోటో కోసం అడగాలసి వసతుంది.
बॉनड की कीमतें लगातार नीचे गिरी हैं,	అందుకు కారణంగా పరభుతవం ఇటీవల చేసిన పరకటన,
केए29, जो दुबई से लंदन आ रहा है. . .	కెఎ29, దుబాయ నుండి లండన పరయాణిసతోంది. . .
फीलिकस, तुमहारी आवाज से लग रहा है तुम थके हुए हो.	ఫెలికస, నువవు అలిసిపోయినటలు మాటలాడుతుననావు.
केए29 पर निशचित तौर पर एक यातरी की मौत हो चुकी है.	కెఎ29 విమానంలో ఒక పయాసింజర మరణించినటలు మనకి ఖరారు అయింది.
यातरी-सूची पर उपलबध सारे मोबाइल नंबर पता करते हैं.	మనకి అందుబాటులో ఉనన అనని మొబెల నెంబరలనీ పరయతనించి చూదదాం.
तुम किसी को मारना चाहते हो? तुमहें एक नई लाश चाहिए? मुझे मार दो.	నువవు ఎవరినో ఒకరిని కాలచాలి కదా? నీకు కొతత శవం కావాలి కదా? ననను షూట చేయి.
डैनियल.	డానియెల.
डैनियल?	డానియెల?
ठीक है.	విననాము.
- इस तरह, किसी की जान नहीं गई. - बिलकुल. यही तो मैं कह रहा हूँ.	- అందువలల ఇంకెవవరూ చనిపోవాలసిన పని లేదు. - ఖచచితంగా. నా ఉదదేశం కూడా అదే.
शुकरिया.	థాంకయూ.
तुम हमारे रासते में रुकावटें डालोगे, तो तुमहें कीमत चुकानी होगी.	మీరు మాకు సమసయలు సృషటిసతే, అందుకు మూలయం చెలలించుకుంటారు.
चलो भी. इसे आगे बढाओ.	ఇలా చూడు. దీనని అందించు.
यह किसने किया?	ఇది ఎవరు చేశారు?
तुम सब!	మీరందరూ!
यह किसने किया?	ఇది ఎవరు చేశారు?
यह किसने किया?	ఇది ఎవరు చేశారు?
मार दो.	కానివవు.
शुकरिया!	థాంకయూ!
- ओह, हद है. तुम. . . - मैंने कहा तसवीर खींचो.	- ఓహ, ఇలా రా. నువవు. . . - ఒక ఫోటో తీయి.
- कया नाम था उसका? द. . . - ऐसे मत दिखाओ जैसे तुम नहीं जानते, फीलिकस.	- దాని పేరు ఏంటి? అదీ. . . - నీకు తెలియనటలు నటించకు, ఫెలికస.
लेकिन यहाँ इस कमरे में,	ఈ గదిలో ఇకకడ మన మధయ,
वे पशचिमी-उततरपशचिम की तरफ जा रहे हैं. ए41 से.	వాళలు పశచిమం-వాయువయం దిశగా వెళతుననారు. ఇది ఎ41 మారగం.
नीले बिंदु हमारे वाहन हैं.	మన వాహనాలు నీలం రంగులో ఉననాయి.
तुमने हमारा समझौता तोड दिया है, डैनियल.	మీరు ఆ ఒపపందానని ఇపపుడు ఉలలంఘించారు, డానియెల.
ठीक है, डैनियल,	సరే, డానియెల.
देख सकती हूँ?	ఆగకుండా చూడచచా?
परभाव किस पर?	దేనికి బదులుగా?
लडने की कोई जरूरत नहीं है.	ఎవవరూ గొడవ పడాలసిన అవసరం లేదు.
- इसने वह नहीं लिखा था. - तुम बीच में मत पडो.	- అతను రాయలేదు. - నువవు జోకయం చేసుకోకు.
खुश हो जाओ, फीलिकस.	ఉతసాహంగా ఉండు, ఫెలికస.
हम ऐसा नहीं करने वाले.	మేము ఆ పని చేయలేము.
टारगेट एक वापस अपने वाहन की तरफ जा रहा है.	మొదటి టారగెట తిరిగి తన వయాన వెపు వెళతుననాడు.
मुझे लूइस की मौत का अफसोस है.	లూయిస విషయంలో బాధగా ఉంది.
यह भेदिया कारोबार है, फीलिकस.	అది అకరమ టరేడింగ, ఫెలికస.
- नहीं. रुको. - कया करते हैं?	- లేదు. ఆగు. - ఏం చేశారు?
और अब तुमहें इसका नतीजा भुगतना होगा.	అందుకు మీరు పరతిఫలం చెలలిసతారు.
हम एडगर की बात नहीं टाल सकते. याद है?	ఎడగర అడిగితే, ఎడగర కి ఇవవాలసిందే. గురతుందా?
नीचे! उसे नीचे बिठाओ! उसे नीचे बिठाओ!	కూరచోండి! అతడిని కింద కూరచోమను! కూరచోపెటటు!
मुँह बंद रखो! सीट पर बैठे रहो! चेहरा सामने!	నోరూ మూయిండి! కింద కూరచోండి! ముఖం ముందుకు పెటటండి!
. . . बताया जा रहा है कि उसे हाइजैक कर लिया गया है. इस समय. . .	. . . ఇది హెజాక అయినటలు తెలుసతోంది. నేను చెబుతునన ఈ సమయానికి. . .
हम घर पहुँचने वाले हैं, बचचे. बस थोडी ही देर में.	మనం ఇంటికి దగగరగా వచచేశాం, బుజజీ. ఇంక తొందరగా వెళలిపోతాం.
"फलाइट केए29 जिसका लंदन पहुँचने का तय समय एक बजकर छह मिनट है,	"కెఎ29 విమానం" లండన కి మధయాహనం ఒంటి గంట ఆరు నిమిషాలకి చేరుకోవాలసి ఉంది,
- ओह, धत तेरे की. - टारगेट एक हमारी तरफ आ रहा है.	- ఓహ, ఛ. - మొదటి టారగెట మా వెపు వసతుననాడు.
टारगेट दोबारा आगे बढ रहा है.	టారగెట మళలీ బయలుదేరింది.
और यह. . . मेरा मतलब है. . .	అయితే ఇది. . . అంటే. . .
बिलकुल.	ఉంటాం.
यह कितना समय होता है?	అంటే అది ఎంత దూరం?
ठीक है?	సరేనా?
तुम अचछी तरह जानते हो उसका कया नाम है, कयोंकि वह अकाउंट तुमहारा ही है.	నీకు ఖచచితంగా తెలుసు, ఎందుకంటే దాని వెనుక ఉనన వయకతివి నువవే.
यैनसन.	జానసెన.
यह लो.	తీసుకో.
मार दो!	చంపేయ!
- ठीक है. इधर आ. - नहीं!	- సరే అయితే. ఇలా రా. - లేదు!
और इस समय यूरोप मुखय भू-भाग के ऊपर है.	పరసతుతం యూరోప పరధాన భూభాగంలో ఉంది.
- मदद भेजो. - टारगेट रुक गया.	- వెనకకి తగగండి. - టారగెట ఆగింది.
यह एक ऐसे आदमी का घर लग रहा है जो सिरफ अपने बारे में सोचता है.	తన గురించి మాతరమే ఆలోచించుకునే మనిషి ఇలాగే జీవిసతాడు.
या तो तुम चुन लो, या फिर मुझे चुनना होगा!	మీరయినా ఎంపిక చేయండి లేదా నననయినా ఎంచుకోనివవండి!
केए29 जी-केएनडीएम - रासता 320	కెఎ29 జి-కె. ఎన. డి. ఎమ - టరాక 320
टारगेट वापस ए41 पर जा रहा है.	టారగెట మళలీ ఎ41 మారగంలోకి చేరింది.
- नहीं. - वह तुम ही थे.	- లేదు. - అది నువవే రాశావు.
हमें यह सब रोकना होगा, अभी.	మనం దీనని వెంటనే ఆపాలి.
"पाँच मिनट. नई तसवीर. "	"ఐదు నిమిషాలు. కొతత ఫోటో. "
कयोंकि ऐसा ना करने की सूरत में, यही होता रहेगा.	లేదంటే, దీని తీవరత మీకు అరథం కావడం లేదు.
सोचो तुम "पॉ पटरॉल" के पाँच एपिसोड एक साथ देखो,	'పా పెటరోలస' ఐదు ఎపిసోడలు వరుసగా ఆగకుండా
हम नाटक करके तसवीर खींच सकते हैं.	మనం నకిలీ ఫోటోని సృషటించచచు.
मैंने तुमसे हमारा पीछा करने के लिए मना किया था. मैंने कहा था कि बीच में मत पडो.	మమమలని అనుసరించవదదని చెపపాను. మా విషయంలో జోకయం చేసుకోవదదని చెపపాను.
तुम ऐसा दिन भर कर सकते हो. फैसला तुमहारा है.	మీరు రోజంతా మాకు అడడంకులు ఏరపాటు చేయచచు. ఇక మీ ఇషటం.
नागरिक सुरकषा समबनधी उचचतम अधिकार	ఆయన హోమ మంతరి. పౌర వయవహారాలకి సంబంధించి
ठीक है, डरोन संपरक बनाए रखो और इस मैदान के उस पार	సరే, మనం డరోన నిఘాని ఇలాగే కొనసాగిదదాం, ఇంకా సహాయ వాహనాలను
बिलकुल समझ रहे हैं.	మనం అలాగే ఉంటాం.
यह कैसे हो गया. . .	ఏంటి ఈ చెతత. . .
मैंने कहा नीचे बैठ!	నీ సీటులో కూరచో!
ठीक है. तो, इनहोंने तसवीर ले ली. तो, हो गया ना, हाँ? अब कया दिककत है?	సరే, అయితే, వాళలకి కావలసిన ఫోటో చేరింది. అయితే, ఇంక అయిపోయింది, కదా? ఇంకేంటి సమసయ?
यह एक विमान का टॉयलेट है.	అది విమానంలో టాయిలెట.
हे. मेरी जेब में हाथ डालो.	హేయ, నా జేబులో చేయి పెటటి చూడు.
- वहाँ टुकडियाँ भेजो. - ठीक है.	- మన దళాలని అకకడికి తరలించాలి. - సరే.
कयोंकि तुम पहले ही एक इंसान को मार चुके हो.	ఎందుకంటే నువవు ఇపపటికే ఆ పని చేశావు.
बाहर.	వెళలు.
डैनियल, मैं बस यह जानना चाहता हूँ कि कया हम एक दूसरे की बात समझ रहे हैं.	డానియెల, మనం ఒకరికొకరం అరథం చేసుకుంటామని నిరధారణ చేసుకుందాం.
तुम भी, ठीक है?	నువవు కూడా, సరేనా?
मुझे बाथरूम जाना है.	నేను బాత రూమ కి వెళలాలి.
कि हमारी कोई भी एजेंसी इस तरह सडक बंद करने में सकषम नहीं है.	రోడడును మూయించగలిగే పనిని మా ఏజెనసీలలో ఎవరూ చేయరు.
अचछा.	అవును.
"नई लाश. "	"కొతత శవం. "
सिकस शॉटस. चलो!	ఆరు షాటలు. వెళదాం!
कयों?	అయితే?
यह अभी भी उततरपशचिमी दिशा में जा रहा है. सभी टुकडियाँ, उततरपशचिमी दिशा की ओर.	వాళలు ఇంకా వాయువయం దిశగానే వెళతుననారు. అనని యూనిటలు, వాయువయం వెపు సిదధంగా ఉండండి.
और हेलिकॉपटर तैयार रखो, कहीं उनहोंने भी वही इंतजाम किया हो.	వాళలు కూడా అలాంటి ఏరపాటు చేసుకునే పకషంలో హెలికారటరలు కూడా సిదధం చేయండి.
मतलब, कोई किसी की मौत नहीं चाहता, लेकिन यह अचछा है, है ना?	నా ఉదదేశం, ఎవరెనా చనిపోవాలని ఎవరూ కోరుకోరు, కానీ ఇది మంచి విషయమే, కదా?
हालात बदलने के लिए तैयार रहो!	పరిసథితులు మారచడానికి సిదధంగా ఉండు!
सनसनीखेज खबर इसी को कहते हैं.	దీనినే సకూప వారత అంటారు.
आज बाजार खुलने के बाद से पाउंड डॉलर के मुकाबले	డాలర పెన బరిటీష పౌండ బలంగా పరారంభమెంది
ओय. अभी नहीं. बैठो.	ఓయ. ఇపపుడు కాదు. కూరచో.
ऑसटरेलियाई नागरिक. केनसल राइज, पशचिम लंदन की निवासी.	ఆసటరేలియన మహిళ. పశచిమ లండన లోని కెనసాల రెస పరాంతంలో నివసించేది.
वे दस मिनट में वहाँ पहुँच जाएँगे.	వాళలు అకకడికి పది నిమిషాలలో చేరుకుంటారు.
वे पकका जानते होंगे कि हम उनका पीछा कर रहे हैं.	ఇంకా, వాళలని మేము అనుసరిసతుననామని వాళలకి ఖచచితంగా తెలుసు.
कार उततरपशचिमी दिशा में जा रही है.	కారు వాయువయం వెపు వెళుతోంది.
सब लोगों को बधाई.	శభాష, అందరికీ.
अगर कार रुकी हुई है, तो तुमहारा फोन कयों चल रहा है?	మీ కారు సథిరంగా నిలిచి ఉంటే, అపపుడు, మీ ఫోన ఎందుకు కదులుతోంది?
यहाँ कोई औरत नहीं रहती.	ఇకకడ ఏ మహిళా నివసించడం లేదు.
हिलना मत! मुँह बंद रखो!	సథిరంగా ఉండండి! నోరు మూయండి!
नहीं. मैंने नहीं दी थी. वह तो कोई अनाम टविटर अकाउंट था.	లేదు. నేను ఇవవలేదు. ఎవరో గురతుతెలియని వాళలు టవిటటర అకౌంట లో ఇచచారు.
- हे भगवान. - चलो.	- ఓహ, దేవుడా. - వెళలు.
हे भगवान.	ఓహ, దేవుడా.
पीडित की पहचान शीना फरांसिस के रूप में हुई है, उमर 30 साल.	బాధితురాలి పేరు షీనా ఫరానసిస అనీ, వయసు ముపపె సంవతసరాలనీ నిరధారణ అయింది.
{\an8}माफी चाहती हूँ, लेकिन हमारे पास अभी-अभी एक बरिटिश यातरी विमान में	{\an8}కానీ మాకు ఇపపుడే అందిన అనధికారిక తాజా సమాచారం పరకారం
ऐसे किसी को कुछ पता नहीं चलेगा.	ఏం జరిగిందో ఎవరికీ తెలిసే అవకాశం లేదు.
और वे दोबारा वही करने वाले हैं.	ఇంకా వాళలు మళలీ ఇంకో హతయకి సిదధమయయారు.
मैंने जेल में तुमहारे साथियों से बिलकुल साफ-साफ कह दिया था.	జెలులో మీ సహోదయోగులకు నేను చాలా సపషటంగా చెపపాను.
उसका चेहरा घुमाओ ताकि हम उसे देख सकें. - नहीं, मैं. . . तुम देख रही हो, मैं नहीं कर पाऊँगा.	- ఆమె నాకు కనిపించేలా వెనకకి తిపపు. - లేదు, నేను. . . నిజంగా, అలా చేయలేను.
ऊपर कुछ नहीं है.	పెన ఏమీ లేదు.
सटुअरट, तुम मेरी बात सुन रहे हो?	సటువరట, నా మాట వింటుననావా?
तो अब जिसके मुँह से आवाज निकलेगी, उसे मरना होगा.	ఎవరు శబదం చేసతారో వాళలకి శికష పడుతుంది.
इसमें या तो हम मरेंगे या वे लोग, और मैं तुमहें बता सकता हूँ, मरने वाले हम नहीं होंगे.	మనమో లేదా వాళలో తెలిపోవాలి, కానీ నేను ఖచచితంగా చెపపగలను, మనం గెలవలేం.
एडगर का मैसेज आया है.	ఎడగర నుండి మెసేజ.
हमें यह करना ही होगा.	మనం ఇది చేయాలంతే.
किसी को तो मरना होगा!	ఎవరో ఒకరు చావాలి!
- समझ गया. मैं बात समझ गया. - काम पूरा करना है.	- అరథమెంది. విననాను. - ఇది పూరతి చేయి.
मैंने उससे सब कहा था, लेकिन उसे हम पर भरोसा नहीं है.	అవననీ చెపపాను, కానీ అతను మనలని నమమడం లేదు.
जारा, अपना फोन देखो. यह मुझे यैनसन ने भेजा है.	జాహరా, నువవు ఇది చూడాలి. ఇది జానసెన నుండి నేరుగా వచచింది.
अचछा. तो वहाँ टुकडियाँ जरूर भेजो.	సరే. మన యూనిటలని వెంటనే అకకడికి పంపిదదాం.
और हमने यही किया. लेकिन तब बात कुछ और थी.	మనం అలాగే చేశాం. కానీ అది అపపుడు.
गोली मारने से आवाज होती.	ఎవరికీ తుపాకీ శబదం వినిపించదు.
तसवीर खींचो.	ఒక ఫోటో తీసుకో.
इनहें वह मिलेगा जो ये चाहते हैं.	వాళలకి కావలసిన పనులు చేయించుకోగలుగుతారు.
- कया? - जलदी. डालो.	- ఏంటి? - తవరగా. కానివవు.
कया?	ఏంటి?
आप कौन सी सेवा चाहते हैं?	మీకు ఏ సరవీస కావాలి?
हैलो?	హలో?
मैं मजाक नहीं कर रहा था, डैनियल.	నేను చెపపానంటే అది నిజం కావాలి, డానియెల.
पढो इसे.	అది చదువు.
- वापस! - यह शुरू हो भी चुका है.	- బయటకి పంపండి! - మిషన ఇపపటికే మొదలెంది.
टारगेट की जगह कोई और वयकति है.	టారగెట గురతింపు నెగెటివ.
यूके के दकषिणी भाग के सभी हवाई अडडों, बंदरगाहों और हवाई कषेतरों को सचेत कर दो.	పరతి ఎయిర పోరట, సీ పోరట ఇంకా దకషిణ బరిటీష పరాంతంలో వాయుసేన సథావరాలని అపరమతతం చేయండి.
पशचिम की तरफ बढते रहो, ठीक है?	మీరు పశచిమం వెపు కొనసాగండి, సరేనా?
फोन चालू रखना, एक और तसवीर आती ही होगी.	ఫోన ఆన లో ఉంచుకో, ఫోటో వసతోంది.
यह वही फोन है जो हमने उसे दिया था.	ఆ ఫోన ని మనమే అతనికి ఇచచాం.
अगर हमारे पास यही दो विकलप हों तो.	ఇది ఒకటెనా మరొకటెనా కావచచు.
- टारगेट के पास हथियार नहीं है. - हम ऐसा कैसे कह सकते हैं?	- టారగెట సాయుధుడు కాదు. - అది మనకి ఎలా తెలుసు?
पलीज, इसे छोड दो, दोसत.	దయచేసి, ఆమెని వదిలేయ, మితరమా.
ऐसी संभावना है कि उसे हाइजैक कर लिया गया है. "	అయితే ఈ విమానం హెజాక కి గురె ఉండవచచని సమాచారం అందుతోంది. "
यह वह बीमा कंपनी है जो किंगडम को आरथिक समरथन देती है.	అది కింగడమ సంసథని కవర చేసతునన బీమా కంపెనీ.
मतलब, यह लडकी. . . मतलब, इस लडकी को मारना सही रहेगा.	అంటే, తను. . . నా ఉదదేశం, తను మంచి ఎంపిక.
- गलत पहचान. दोहराती हूँ. . . - ये वे नहीं हैं.	- ఐడి తపపు. వినండి. . . - వాళలు కాదు.
जारा, तुमहें यह सब रोकना होगा. पलीज. तुम मेरी बात सुन रही हो?	జాహరా, నువవు ఇది ఆపాలి. పలీజ. నా మాట వింటుననావా?
कयोंकि उनमें से कई देशों के साथ हमारी परतयरपण संधि नहीं है.	ఎందుకంటే మనం అలాంటి ఎననో దేశాలతో నేరగాళల పరసపర అపపగింత ఒపపందాలు చేసుకోలేదు.
मुझे एक लाश चाहिए!	నాకు ఒక మృతదేహం కావాలి!
. . . एक अपरतयाशित दर पर.	. . . అది ఇదివరకు ఎననడూ చూడనిది.
- इसने नहीं किया. वह इसने नहीं लिखा था. - मैं कहती हूँ, बैठ जाओ!	- అతను చేయలేదు. అతను రాయలేదు. - నువవు ముందు కూరచో!
जो वे चाहते हैं, वह उनहें दें, हाँ, लेकिन उममीद करें कि इतने समय में. . .	వాళలు కోరుకుననటలుగా మనం నడుచుకుంటూ, నిజం, అదే సమయంలో. . .
- यह रिहाई. . . - रिहाई का नाटक.	- ఈ ఖెదీల విడుదల. . . - ఒక భూటకపు విడుదల.
देखो! यह मैंने किया है. यह मेरी योजना थी.	చూడు! నేను రాశాను. అది నా ఐడియా.
निशचित, संभावित रूप से विनाशकारी वृदधि की चेतावनी.	సముదర నీటి మటటాలలో పరమాదకరమెన పెరుగుదల,
रकषा सचिव का फोन था, उनहोंने कहा कि अगर हमें यहाँ मारगदरशन करने में कोई दिककत नहीं है,	మన రకషణ మంతరి, ఏం అంటుననారంటే, మనం గనుక ఈ విషయంలో సారథయం వహిసతుంటే,
यह गृह मंतरालय का फैसला है.	ఇది హోమ మంతరి నిరణయం.
हमारी बात कौन सुनेगा?	అది మన హోదాకి మించిన ఆలోచన.
कय. . .	ఏంటి. . .
यह तुमने कहाँ से. . .	ఇది ఎకకడ నుంచి తెచచావు. . .
इसे पकडो.	తీసుకో.
कैंची मुझे दो.	కతతెర ఇలా అందించు.
किसने आवाज की?	శబదం చేసింది ఎవరు?
इनहोंने तुमहारे भाई की मदद की थी जब वह मर रहा था.	మీ తమముడు చనిపోతుంటే అతను సాయం చేశాడు.
पिछले साल गैस कंपनियों के सकैंडल को लेकर मीडिया ने जो चुपपी साध रखी थी, वह तुमहीं ने तोडी थी.	కిందటి సంవతసరం గయాస కంపెనీల మీద మీడియా నిషేధం గురించి నువవు వారత రాశావు.
हाँ. फिर हमारी बात हुई. हमने वही किया जो तुम चाहते थे और हम रुक गए.	అవును. ఆ తరువాత మనం మాటలాడుకుననాం. నీకు కావలసింది ఇచచేశాం, మేము ఆగిపోయాం.
कयोंकि, मतलब, ये चलते-फिरते रहते हैं और इनके	ఎందుకంటే, అంటే, వాళలు నడిచినపపుడు,
तुमने होशियारी से काम लिया है. अचछा सोचा है.	చాలా తెలివెన పని. అది తెలివెన పని.
नहीं, वह सरकारी पद से वंचित कोई संसद सदसय था, जिसका नाम डंकन रॉलंड था.	లేదు, ఆ వారత రాసింది డంకన రోలాండ అనే పేరులేని విలేఖరి.
मैं होलबॉरन टयूब सटेशन के पीछे शिपस टैवरन में हूँ.	హాలబోరన మెటరో సటేషన వెనుక షిప బారులో ఉననాను.
बिना रुके,	చూసినంత సేపు,
यह मुमकिन नहीं है, डैनियल.	అది అసాధయం, డానియెల.
जोर से. सबको सुनाई देना चाहिए!	గటటిగా పెకి చదువు. అందరికీ వినిపించాలి!
हमारा वकत बहुत जलदी खतम हो जाएगा.	మనకి తెలిసే లోపు మన సమయం అంతా కరిగిపోతుంది.
तो उसकी जेब में कया है?	అయితే మరి అతని జేబులో ఏం ఉంది?
तुम भी आकर देख सकते हो.	నీకు సాయం చేయాలని ఉంటే చేయచచు.
या फिर, उनके विमान बस आसमान से गिरने शुरू हो जाएँगे?	లేదా ఏంటి, వాళల విమానాలు హఠాతతుగా గాలి నుండి కిందికి పడిపోబోతుననాయా?
- कया? - अभी!	- ఏంటి? - వెంటనే!
मेरे पास नहीं है.	నా దగగర లేదు.
चलो, तो बताओ फिर.	కానివవు, మరి.
अगर ऐसा दोबारा होता है. . .	ఇలాంటి పరిసథితి మళలీ వసతే. . .
डरोन भेजा जा चुका है.	డరోన ఎగురుతోంది.
इससे कया फरक पडता है?	ఎవరు చేసతే ఏంటి?
मममी, यह कया है?	అమమా. అమమా, అది ఏంటి?
लेकिन सभी केबिनों में निगरानी रखने के लिए हम सिरफ तीन लोग हैं.	కానీ మేము ముగగురం అనని కయాబినలని చూసుకుంటుననాం.
तो, अब हमें तैयार रहना होगा.	కాబటటి, మనం అననింటికీ సిదధంగా ఉండాలి.
हाँ, कयोंकि ऐसा लग नहीं रहा है.	సరే, ఎందుకంటే పరసతుతం అలా అనిపించడం లేదు.
यह लो, डैनियल. तुमहारे लिए.	ఇదిగో తీసుకో, డానియెల. ఇది నీ కోసమే.
हाँ, बिलकुल.	అది నిజం.
चलो! उठो!	కానివవు! లే!
वह देखो.	అదిగో.
यह कहाँ जा रहा है?	అతను ఎకకడికి వెళతుననాడు?
उठो!	లే!
वही जो मैंने सबसे पहले कहा था.	నేను మొదటలో ఏం చెపపానో గురతు తెచచుకోండి.
- तुमहें रासता खुलवाना होगा. - डैनियल.	- మీరు ఆ రోడడుని వెంటనే కలియర చేయించాలి. - డానియెల.
सोमवार को अपनी नई नौकरी शुरू करते हुए.	సోమవారంనాడు తను చేరబోయే కొతత ఉదయోగం మీద ఆశలతో ఉంది.
किंगडम एयरलाइंस और मैकमिलन डॉयल.	కింగడమ ఎయిర లెనస ఇంకా మాక మిలన డోయల సంసథలు.
मतलब, हम उनकी बातें मानने में देर कर सकते हैं. इसका मतलब यह नहीं कि वे भी देर करेंगे.	నా ఉదదేశం, మనం ఈ ఆటని నిదానంగా ఆడాలి. కానీ వాళలు అలా ఆడకపోవచచు.
हमें तुमहारी मदद चाहिए.	మాకు సాయం కావాలి.
- मरने से कोई सीट भी खाली नहीं होगी. - बिलकुल.	- ఖాళీ కురచీలు ఏమీ కనబడవు. - అంతే.
ऐसा वे सोचते हैं.	వాళల వెపు నుంచి చూడాలి.
आगे आने वाली खबरों में हैं. . .	తరువాత, మీకు ఒక వారతని అందించబోతుననాం. . .
मुमकिन है यह ए418 पर जाकर मिले.	ఎ418 పరిధిలో కూడళల వెపు వెళలే అవకాశం ఉంది.
वह एक और यातरी को मारने का हुकम दे रहा है.	మరొక మనిషిని చంపమని ఆదేశించాడు.
घर पहुँचने के बाद कया मैं "पॉ पटरॉल" के पाँच एपिसोड बिना रुके	మనం ఇంటికి వెళలాక నేను 'పా పెటరోలస' ఎపిసోడలని
मैंने कहा था, "किसी ने हमें रोका या हमारा पीछा किया तो लोग अपनी जान गँवाना शुरू कर देंगे. "	"మమమలని ఆపినా, అనుసరించినా, జనం పరాణాలు కరమంగా పోతాయి" అని చెపపాను.
वे यहाँ से निकल चुके हैं. ओवर.	వాళలు బయలుదేరారు. ఓవర.
. . . टारगेट की जगह कोई और है.	. . . తపపుడు గురతింపు.
दोहराती हूँ, टारगेट दिखाई नहीं दे रहा है.	రిపీట, దృశయాలు కనిపించడం లేదు.
मैं डेवलिन बोल रहा हूँ. तुमहारा सरोत.	నా పేరు డెవలిన. మీ సోరస ని.
मासूम लोगों की जानें मत लो.	అమాయకులెన వాళలని చంపాలసిన అవసరం లేదు.
और खुद बहुत सारे पैसे कमा लेने के बाद ही	అతనికి ఆ వారతని ఇచచింది నువవే
अगर कोई भी आगे नहीं आ रहा है,	ఎవరూ ముందుకు రాకపోతే,
इसी समय. नहीं तो, खबर "एफटी" को दे दी जाएगी.	వెంటనే రావాలి. లేదంటే, ఈ వారత ఫెనానషియల టెమస కి వెళలిపోతుంది.
मैं गरदन घुमाता हूँ तो देखता हूँ कि तुम अभी भी हमारा पीछा कर रहे हो.	నేను చూసతుంటే, ఆ వెనుక అదదంలో మీరే కనిపిసతుననారు.
आपात सेवा. कया मदद चाहिए?	ఎమరజెనసీ, ఏ సరవీస?
हाँ. लड सकते हैं. अब हमारे पास इसके अलावा कोई रासता नहीं है.	అవును. పోరాడాలి. మనం చేయగలిగింది అది ఒకకటే.
- बाहर. - नहीं.	- బయటకి పో. - రావదదు.
कयों?	దేనికి?
ठीक है.	కాపీ.
कयों?	ఎందుకు?
चलो, चलो, चलो! नीचे उतरो!	రండి, రండి, రండి! నేల మీదకి ఒరగండి!
- कोई मेरी मदद करो! - कोई उसकी मदद करो!	- ఎవరెనా నాకు సాయం చేయండి! - ఎవరెనా అతనికి సాయం చేయండి!
फीलिकस सटेटन. हाँ?	ఫెలికస సటాటన. చెపపండి?
इस समय 11 बजकर 35 मिनट हुए हैं.	ఇపపుడు సమయం పదకొండు గంటల ముపపె ఐదు నిమిషాలు.
यह उस आदमी का घर है.	ఇది అతని ఇలలు.
बाहर निकल!	ఇలా రా!
टारगेट दिखाई नहीं दे रहा है.	దృశయాలు అందుబాటులో లేవు.
चेहरा सामने रखो!	ముఖాలు ముందుకు పెటటండి!
{\an8}पासवरड डालें	{\an8}పాస వరడ నమోదు చేయండి
नजर रखना.	గమనిసతూ ఉండు.
मतलब, अगर कोई मुझसे पूछे तो,	నా ఉదదేశం, నాకు ఏం అనిపిసతుందంటే,
अचछा होगा कि वे घूमकर चले जाएँ. . .	వాళలు వెనకకి తిరిగి వేరే మారగంలో వెళలడం మంచిది. . .
तुमहारा नाम कया है?	నీ పేరు ఏంటి?
ऐसा नहीं लग रहा है कि उसमें कोई पायलट है,	అందులో పెలెట ఉనన దాఖలా లేదు,
{\an8}वरतमान गति 21 किमी परति घंटा	{\an8}పరసతుత వేగం గంటకు సుమారు ఇరవె ఒకక కిలోమీటరలు
मुझे लगता है अब इस भले आदमी को इसका फोन वापस दे देना चाहिए.	ఈ మనిషికి ఇక ఫోన తిరిగి ఇవవచచు అనుకుంటా.
दोहराता हूँ. टारगेट रुक गया है.	రిపీట. టారగెట ఆగింది.
हमारी रणनीति वही रहेगी.	మన వయూహం దాదాపుగా ఇదే అమలు చేసతాం.
हमें एक यातरी को मारना है. . .	మనం ఒక పయాసింజర ని చంపేసతుననాం. . .
