जून लेंकर	జూన లెంకర
कया हुआ? कया तुमहारी माँ को लेकर कोई तुमहें परेशान कर रहा है?	ఏమెంది? మీ అమమ విషయంలో ఎవరెనా నినను ఇబబంది పెడుతుననారా?
मैं यह जानना चाहता हूँ कि तुमहारे पास वह हथियार कहाँ से आया?	అది నీ దగగరికి ఎలా వచచిందో నేను తెలుసుకోవాలనుకుంటుననా.
अलबेनियन?	అలబేనియనా?
एरॉल. . .	ఎరరొల. . .
मुझे हर पकष के साथ निषपकष रहना होगा.	నేను అందరి పటలా నయాయంగా వయవహరించాలి కదా.
हाँ. हैगरटी को एक नाम मिला.	హా. హెగరటీకి ఆ పేరు తెలిసింది.
हम एक लडके को ढूँढने की कोशिश कर रहे हैं. वह टरकिश हो सकता है.	మేము ఒక కురరాడి కోసం గాలిసతుననాం. అతను టరకీకి చెందినవాడని ఊహిసతుననాం.
पुलिस हमेशा यहाँ आती रहती है.	ఎపపుడూ మీరు వసతూనే ఉంటారు.
तुमहें कार दुरघटना याद है?	నీకు కారు పరమాద ఘటన గురతుందా?
जिसे आदेश मानने के लिए रिशवत और धमकी दी गई.	ఒక 17 ఏళల పిలలాడి చేత పని చేయించుకుననారనే విషయం.
ठीक है, हासाड. तुम कितनी बार गिरफतार हो चुके हो?	సరే, హసాద. నినను ఎననిసారలు అరెసట చేశారేంటి?
देखो, मैं समझता हूँ. सच में. वह इस सथिति के लिए उपयुकत थी. मैं उसकी निंदा नहीं कर रहा.	చూడు, నాకు అరథమెంది. ఆ సందరభానికి తనే బాగా సరిపోతుంది. దానికి నేనేమీ అనటలేదు.
अंत में, सारे सबूत उसके विरुदध थे. उसके पास इनकार करने का कोई रासता नहीं बचा.	చివరికి, సాకషయాలననీ అతనే దోషి అని చూపిసతుననాయి. అతనికి బయటపడే అవకాశమే లేకుండా పోయింది.
वे किसी महिला को ढूँढ रहे हैं जिसके पास जानकारी है.	ఎవరో యువతి కోసం వెతుకుతుననారట, ఆమె దగగర ఏదో సమాచారం ఉందట.
लटीशा. हैलो, जान.	లటీషా. హలో, బంగారం.
तो, अगर ऑफिसर ने उसके नाम की वरतनी गलत लिखी हो तो?	అయితే, పోలీసు అతని పేరు విషయంలో తపపు సపెలలింగ రాసి ఉంటే?
पर वह कया कर रही है? वह कया चाहती है?	కానీ తనేం చేసతోంది? తనకేం కావాలి?
उसका नहीं. समझ रहे हो मैं कया कह रहा हूँ?	అతనిది కాదు. నేనేం చెపతుననానో అరథమవుతోంది కదా?
पुलिस ने कई तसवीरें दिखाकर उसे पहचानने को कहा था.	పోలీసులు నాకు అతని ఫోటోలు చూపించి గురతు పటటమని చెపపారు.
यह आपके बचचे के साथ भी हो सकता था. कोई बहाना नहीं. . .	ఇలా మీ బిడడకే జరగవచచు. ఇది మరోసారి జరగకూడదు. . .
वैसे. . .	అది. . .
सात बार.	ఏడుసారలు.
मैंने उसे देखा था. मैं उस महिला को जानती हूँ.	నేను ఆమెని చూశాను. ఆమె ఎవరో నాకు తెలుసు.
जानकारी?	సమాచారమా?
पता नहीं.	ఏమో మరి.
मुझे नहीं पता. शायद? पर, सोनया, चलो भी. बताओ.	ఏమో. చెపతాడేమో. కానీ, సోనియా ఒకటి చెపపు.
मुझे वह करने दोगे?	ఆ అవకాశం ఇసతావా?
या उनके मददगारों में से किसी ने.	లేదా ఆమె దగగర పని చేసే వాళలు కావచచు.
तुमने उसे बताया कि मैं तुमहारी मदद कर रही थी?	మీకు నేను సాయపడుతుననానని కూడా చెపపేశావా?
अगर कोई सवाल हो, तो कृपया हमें बताइएगा, ठीक है?	మీకు ఏవెనా సందేహాలుంటే, మాకు తపపక తెలియజేయండి, సరేనా?
- आठ. - पर मैंने केवल अचछी बातें बताईं.	- ఎనిమిది. - కానీ నేను మంచి విషయాలే చెపపాను.
हाँ, पर उसे सवीकार करने की जरूरत नहीं थी. उसने बस आसानी से हार मान ली.	హా, కానీ అతను ఒపపుకోవాలసిన పని లేదు. కానీ ఊరికే ఒపపేసుకుననాడు.
तो, यह इलाके के नियंतरण को लेकर है?	ఇది ముఠా తగాదాలకు సంబంధించినదా?
उसका वकील सजा कम करवाने की कोशिश में है, पर हैगरटी मान ही नहीं रहा है	నయాయవాది శికష తగగించే పరయతనం చేసతుననాడు, కానీ హెగరటీ దానికి ససేమిరా అంటుననాడు,
सजा नशे में उचछृंखल वयवहार	అపరాధము తాగి, విరరవీగడం
वह आठ साल से एक निरीह महिला पर गुपत मिशन चला रहा है.	రకషణ లేని మహిళపె ఎనిమిదేళళు గూఢచరయ పని చేశాడు.
जासूसी नहीं कर रही थी. मैंने बस उसे बताया कि हम कया परगति कर रहे हैं.	దొంగచాటుగా ఏం చేరవేయటలేదు. మా పురోగతి గురించి చెపతుననా, అంతే.
- सबको काफी दूर खडे होना पडता था. - अरे, माँ.	- బాగా వెనక నిలబడాలి, లేదంటే చెవులు పోతాయి. - అమమా.
बैलिसटिक परीकषण और सवीकारोकति के आधार पर. . .	తూటా అతనిదే అని తేలీంది, పెగా అతను ఒపపుకుననాడు. . .
सुनो, मैं तुमहारे साथ चल सकती हूँ.	చూడు, రమమంటే నేను కూడా రాగలను.
बात बस यह है कि एक आदमी उस अपराध के लिए जेल में है जो मुझे नहीं लगता कि उसने किया था.	కాకపోతే ఒక వయకతి చేయని నేరానికి జెలు శికష అనుభవిసతుననాడని నాకు అనిపిసతోంది.
तुमहें लगता है कि वह अपना बयान बदलने के लिए मानेगा?	అతను, తన వాంగమూలానని సవరించే అవకాశం ఉందంటావా?
(सामान की कीमत 200 पाउंड से जयादा)	{వసతువు ధర 200 డాలరలకు పెగానే)
हर रोज सकूल से लौटते समय, वह मेरा हाथ खींचा करता था.	పరతిరోజూ సకూల నుండి వచచేటపపుడు, నా చేతిని లాగుతూ అడిగేవాడు.
मैंने उसके पुराने बॉस से बात की, उसके आखिरी जञात पते पर गई,	అతని పాత బాస తో మాటలాడా, అతని పాత ఇంటికి వెళలి చూశా,
अगर हम गलत मुसतफा को ढूँढ रहे हों तो?	అపపుడు మనం వేరే ముసతఫా కోసం వెతుకుతాం కదా.
भौतिक सबूत, वह हथियार.	భౌతిక ఆధారమెన ఆయుధం ఉంది.
कयों? वह कया छुपा रहा है?	ఎందుకు? ఏం దాసతుననాడు?
- हाँ. - और मेरे बारे में भी?	- అవును. - మరి నా గురించి కూడానా?
और मैं इसे एक महतवपूरण सफलता कहूँगा.	అది చాలా కీలక ముందడుగు అని నేను చెపపగలను.
नहीं. हम तुमहें सुरकषित रख सकते हैं.	లేదు. లేదు. నీకేం కాకుండా మేము చూసుకోగలం.
बडी मुशकिल से अब तक मेरा दिन बेहद अचछा जा रहा था.	ఈ కషణం దాకా ఉనన మూడ ని మొతతం పాడు చేసేశావు.
मुझे कमबखत डैन के बारे में बात नहीं करनी	డాన గురించి మాటలాడే సమయం నాకు లేదు,
दुनिया पागल हो गई है.	పరపంచం పతనం బాట పటటింది.
मुझे बेहद खेद है. तुम यह समझते हो, है न?	మననించు. కానీ నీకు అరథమవుతోంది కదా?
ठीक है, तो हम कया करें? हाँ.	సరే, ఇపపుడు మనమేం చేదదాం? చెపపు.
धनयवाद.	థయాంకయూ.
कोई अंगरेज था. वह उसके साथ रहने चली गई और उसके बाद. . .	ఒక ఇంగలీషు వాడు. ఇదదరూ సహజీవనం చేయడం మొదలుపెటటారు, ఆ తరవాత. . .
यह अजीब सुनाई देगा, पर मेरी बात धयान से सुनना और समझना.	నేను ఇపపుడు చెపపేది కాసత చితరంగానే ఉంటుంది, కానీ జాగరతతగా విను.
मैं समझती हूँ, सच में. अशवेत, हाँ, पर जयादा अशवेत नहीं.	నాకు అరథమెందిలే. నలలజాతే నీది కూడా, కానీ మా అంత నలుపు కాదు కదా.
तुम भी साथ आए थे और तुम बेहद शरमीले और दुबले थे.	నువవు కూడా ఉననావు అపపుడు, చాలా మొహమాటంగా, బకకగా ఉననావు.
और उसके समरथक मेरे पीछे पड जाएँगे.	అమె అభిమానులు మనలని వేసుకుంటారని చెపపా.
हमें हेलपलाइन पर एक फोन आया था.	హెలప లెన కి ఒక కాల వచచింది.
वे गलत नहीं हैं, पर मेरे नाम में दो "स" नहीं लगते हैं.	అది తపపని అనను కానీ, నా పేరు సపెలలింగ అది కాదు.
उनमें से एक अशवेत लडका था. वह गाडी चला रहा था.	ఒకరు నలలజాతి కురరాడు. అతను నడుపుతుననాడు.
नहीं. कया हो रहा है?	అది కాదు. మీకేం కావాలి?
वह तुमहें पसंद करता है.	దానికి నువవు నచచావు.
बस अपनी कॉफी का मजा लो.	హాయిగా కాఫీ తాగి రా.
यह तुम पर निरभर है. तुम फैसला लो.	ఏదెనా నీ ఇషటం. నిరణయం నీ చేతులలో ఉంది.
- हैलो. - हैलो.	- హాయ. - హాయ.
हमें पता है कि तुमने गोली नहीं चलाई थी.	తుపాకీని కాలచింది నువవు కాదని మాకు తెలిసింది.
हमने कोशिश की थी, जान. हमने तुमहें गोद लेने की कोशिश की थी, पर. . .	మేము పరయతనించాం, బంగారం. దతతత తీసుకోవాలని చూశాం, కానీ. . .
- शायद सफाई करमी थी. - आप उसका पता जानती हैं?	- కలీనర అని చెపపినటటుంది. - తను ఎకకడ ఉంటుందో తెలుసా?
और परेस कॉनफरेंस में उस बकवास का कया?	మీడియా సమావేశంలో ఆ హడావిడి ఏంటి?
तरुटि: इस नाम के लिए शूनय परिणाम हैं.	ఎరరర: ఈ పేరు మీద ఫలితాలేవీ లేవు.
मुझे बताना नहीं चाहिए,	నేను ఇలా చెపపకూడదు,
हैगरटी फोन करता है. किसी से एहसान माँगता है.	హెగరటీ ఒక కాల చేసి, సాయం కోరాడు, అంతే.
नहीं, मैं यह संभाल लूँगा.	పరలేదులే, నేను ఒకకడినే వెళతా.
मैं बस मेरे दुशमन को डराना चाहता था.	శతరు మూకని భయపెటటాలనుకుననానంతే.
उनहोंने तुमहें ढेरों अशवेत चेहरे दिखाए. तुमने गलत आदमी की पहचान की.	వాళలు నీకు చాలా మంది నలలజాతీయుల ముఖాలు చూపారు. నువవు వేరే వయకతిని ఎంచుకుననావు.
दल ने पूरी रात काम किया.	ఆ బృందం రాతరంతా పని చేసింది.
- अपना करियर आगे बढा रही हो. - माफ करना. मैं. . .	- వృతతిలో పెకి ఎదగడం. - ఏమననావు, నేను. . .
- कया? - हाँ, जो थोडी कम डरावनी लगे.	- ఏంటి? - మా అంత భయంకరంగా ఏమీ నువవు ఉండవు.
सोनया.	సోనియా.
पिछली गरमियों में हमने यहाँ बारबिकयू किया था. और. . .	కిందటి ఏడాది వేసవిలో ఇకకడ బారబెకయూ పారటీ చేసుకుననాం. ఇంకా. . .
वह 17 साल का है. वह बस एक बचचा है.	అతనికి 17 ఏళలు. ఇంకా కురరాడు.
तुम उसे डोरिस की जानकारी दे रही थी? अभियान की जासूसी कर रही थी?	నువవు డోరిస గురించి చెపతుననావా? తన ఉదయమం గురించి దొంగచాటుగా చేరవేసతుననావా?
कोई भी जानकारी सच में मददगार साबित होगी.	మీకు ఏం తెలిసినా చెపపండి, అది మాకు ఉపయోగపడగలదు.
पैसों और नौकरी से संबंधित. लोग अकसर अपना आपा खो देते हैं.	డబబు విషయంలో, ఉదయోగం విషయంలో అననమాట. జనాలు ఎవరెనా విచకషణ కోలపోతారు.
दरिंदे को सजा हुई	మృగానికి శికష పడింది
सारे परिणाम देखें	అనని ఫలితాలనూ చూడండి
हाँ, आओ. बैठ जाओ.	సరే, రా. వచచి కూరచో.
उसके कपडों पर खून लगा था. पर वह तुमहारी माँ का खून था. समझे?	అతని మీద రకతం ఉండింది. కానీ అది మీ అమమ రకతం. సరేనా?
कुछ भी, तो कृपया संपरक करें.	అదేమెనా కానీ, మమమలని సంపరదించండి.
अब तुम पूछताछ में मदद करोगे. चलो.	ఈసారి విచారణకు నువవు రా. పద.
हमारे गवाह ने हमें आंशिक विवरण दिया है.	సాకషి మాకు కొనని వివరాలే చెపపారు.
कि तुमहारे खिलाफ एक नई शिकायत की गई है.	మీ మీద కొతతగా ఒక ఫిరయాదు వచచింది.
हैलो, सर. यह बस उस छोटे से बचचे के साथ	హాయ, సర. పారకులో ఒక పిలలాడి హతయ జరిగింది కదా,
हम उसे इंटरनेट से हटवाने की कोशिश कर रहे हैं, पर यह आसान नहीं है.	దానని ఆన లెన లో లేకుండా చేయాలని చూసతుననాం, కానీ అది అంత తేలికెన పని కాదు కదా.
तुमने मेरे सहयोगी को कारला नामक महिला की जानकारी मिलने पर फोन करने को कहा था?	కారలా అనే వయకతి గురించి కనుకకోమని మీ సహోదయోగికి మీరేమెనా చెపపారా?
पता है मुझे कया दिख रहा है?	నాకు ఏం కనిపిసతోందో మీకు తెలుసా?
तुमहें जाँच जारी रखनी होगी.	ఈ విషయంలో నువవు దరయాపతు ఆపకూడదు.
देखो, कया यह लॉग शीट के बारे में है? कयोंकि मैं उनहें जमा कर चुकी हूँ.	చూడండి, ఇది లాగ షీటస గురించా? నేను వాటిని ఎపపుడో పూరించేశా.
तुमहें लगता है कि तुम उनहें बदल सकोगी.	వాళలని మారచగలవని అనుకుననావు కదా.
हाँ. वे सकॉच बॉनेट बेहद तीखे थे.	హా. ఆ చేపలు పులుసు చాలా కారంగా ఉండేది.
हाँ, मैं जानता हूँ.	హా, నాకు తెలుసు.
हमसे दोबारा कभी मत उलझना.	మళలీ మాజోలికి రావదదు.
वह बेगुनाह है, समझी? इसलिए. . .	అతను అమాయకుడు. కాబటటి. . .
तो, नैना मो, आपको पुलिस से कया दुशमनी है?	అయితే, మౌ బామమా, పోలీసులంటే ఎందుకు నీకు అంత కోపం?
वह बस बिना शिकायत किए चुपचाप सहा करते थे.	ఊరికే కూరచొని దానని భరించేవాడు, తిరగబడేవాడే కాదు.
देखो, मुझे पता है कि आज का दिन तुमहारे लिए महतवपूरण है.	చూడు, ఇది నీకు చాలా ముఖయమెన రోజని నాకు తెలుసు.
हाँ, मेरा मतलब कया तुम इन लोगों की करतूतों की शिकायत करना चाहती हो?	అంటే. నువవు వీళల గురించి పెసథాయి వాళలకి ఫిరయాదు చేసతావా?
यह पूरी तरह से गोपनीय है.	మీ సమాచారానని గోపయంగా ఉంచుతాం.
कया किसी ने तुमहें वह दिया था?	దానని ఎవరెనా నీకు ఇచచారా?
ठीक है, दरअसल. . .	ఒకక నిమిషం. . .
ये आदमी. . .	వీళలు. . .
अचछा?	అయితే?
तो, ये वही हैं.	అయితే, వారేనననమాట.
मुझे तुमसे कुछ साल पहले के एक पुराने केस के बारे में कुछ सवाल पूछने हैं. एरॉल मैथिस?	కొననేళల కరితం నాటి ఎరరొల మయాథిస కేసు విషయమె నినను కొనని పరశనలు అడగాలి.
मुझे लगा, "कया यह वही था? कया यही वह आदमी था जिसे मैंने देखा था? "	"ఇతనేనా? నేను చూసింది ఇతనినేనా? " అని నాకు అనిపించింది.
कि मैंने कया किया.	నేను చేసిన పని.
जानता हूँ.	నాకు తెలుసు.
सुनो, नहीं आ सकते, समझे?	అలా చేయకూడదు, సరేనా?
बला, बला, बला, "कया तुमने उसे पैथॉलोजी रिपोरट दी थी? "	"తనకి పాథాలజీ రిపోరట ఇచచావా? " అదీ, ఇదీ అంటూ.
मैं आपसे कल मिलूँगा, ठीक है? अलविदा.	రేపు కలుదదాం, సరేనా? బె, గురూ.
- यह आपके परिवार के साथ भी हो सकता था. - मेरे टीवी में देखकर मजा नहीं आता है.	- ఇలా మీ కుటుంబానికి కూడా జరగవచచు. - నా గదిలోని టీవీలో ఇలా రాదు.
आखिरी बार हेज लेन इलाके में दिखी थी रात के करीब दस बजे	చివరిగా సుమారుగా 10 గంటలకు హయీస లేన పరాంతంలో ఉండగా చూడటం జరిగింది
और अगर मैं अतीत में लौटकर हालात बदल सकता, तो. . .	టెమ టరావెల చేసి ఆ సంఘటనని నివారించాలని చాలా ఉంది, కానీ. . .
दरअसल, आमतौर पर वे दो "स" लगा देते हैं.	మామూలుగా నా పేరును రెండు 'ఎస' అకషరాలతో రాసతారు.
उनहें घर पर कुछ समसयाएँ हो रही थीं.	వాళలిదదరి మధయ గొడవులు ఉననాయి.
कृपया. यह एक नौ वरषीय बचचे का सवाल है. उसे सिर में गोली मारी गई.	పలీజ. వాళలు ఒక తొమమిదేళల పిలలాడి తలలో బులలెట దింపారు.
जेसन रीव एक गिरोह का सदसय है.	జేసన రీవ ఒక ముఠా సభయుడు.
एक मिनट रुको. वह मेरी कार है.	ఒకక నిమిషం. అది నా కారే.
फिर उसके बॉयफरेंड ने उसे कोशिश करना बंद करने को कहा.	ఆ పనిని పకకన పెటటేయమని తన లవర తనకి చెపపాడు.
आइजैक उसी पारक में खेलते हुए बडा हुआ था. उसे उस पारक से बेहद पयार था.	ఐసాక ఆ పారక దగగరే పెరిగాడు. వాడికి ఆ పారక అంటే చాలా ఇషటం.
मुझे एक बात बताओ. कया तुमने अमित सैकर नामक आदमी का नाम सुना है?	ఒక విషయం చెపపు. అమిత సెకర అనే వయకతి నీకేమెనా తెలుసా?
बॉयफरेंड एरॉल मैथिस दोषी पाया गया	పరేమికుడు ఎరరొల మయాథిసే దోషి అని తేలింది
कृपया, थाने पहुँचते ही मुझसे मिलने आओगी?	ఆఫీసుకు రాగానే మా దగగరికి వసతావా?
"टीवी पर आई लाल बालों वाली. " कया मुझे चिंतित होना चाहिए?	"టీవీలోని ఎరర జుటటు ఆవిడ. " ఆమె బాగా నచచేసిందా?
तो, टोनी गिलफॉएल.	టోనీ గిలఫోయిల.
उस आदमी को तुमहारे पीडित को गोली मारने के संदेह में गिरफतार किया गया.	నువవు పని చేసిన కేసులోని పిలలాడిని కాలచాడనే అనుమానంతో ఆ పేరునన వయకతిని అరెసట చేశారు.
यह सब आईओपीसी को बताना.	ఆ విషయాననే ఐఓపీసీకి చెపపండి.
- धनयवाद, डीएस लेंकर. - मैं उसके सकूल के सारे नाटक देखा करती थी.	- థయాంకయూ, డిటెకటివ సారజెంట లెంకర. - మీ అమమ సకూల లో వేసిన నాటికలననీ చూసేదానని.
पुलिसवाले जिनके इन रूढिवादी गुटों में कई दोसत हैं.	వాళలకి సంపరదాయవాద పారటీలతో దోసతీ ఉంటుంది.
उसके पास बंदूक थी.	అతని దగగర తుపాకీ ఉంది.
मेरी बात सुनो, मैं बस दिन गिन रहा हूँ, दोसत.	నేను రోజులు లెకకపెటటుకుంటుననా, గురూ.
हे भगवान.	ఓరి దేవుడా.
तुरंत गिरफतार होकर अपराध सवीकार करने के बारे में. कम कठोर सजा पाने की कोशिश करने के बारे में.	దోషి అని ఒపపుకొని తవరగా అరెసట అయయి, తకకువ జెలు శికష పొందాలని అతని ఆలోచన ఏమో.
- इसकी वजह तुमहारे नानाजी हैं. -. . . हम आभारी हैं आपने समय निकाला. . .	- మీ తాతయయ వలల. -. . . ఇలా వచచి చెపపినందుకు ధనయవాదాలు. . .
कोई बहाना दोगी, बीमार चाची, नई नौकरी. चाहे सच बोलो. मुझे परवाह नहीं है. तुम अभियान से बाहर हो जाओ.	కొతత ఉదయోగం వచచిందనో, పోనీ నిజమెనా చెపపేయ. అది నాకు అనవసరం. నువవు తన దగగర మానేయ.
पर शायद वह पहले ही जान चुका है.	అయినా, అతనికి ఈ పాటికే తెలిసి ఉంటుంది.
तो इसका मतलब कोई आया तो था?	అయితే ఎవరో వచచారననమాట.
बस मुझे उसका नाम बताओ.	కాలచినవాడి పేరు చెపపు చాలు.
मेरे रिकॉरड के चलते, मैं उनहें खो सकती थी. पर उसने मुझे नहीं आंका.	నేర చరితర ఉంది కనుక వాళలు ననను దూరం పెటటి ఉండవచచు. కానీ తను నా తపపొపపులు చూడలేదు.
नहीं! बस मुझे भूल जाओ.	వదదు! నా గురించి మరచిపోండి.
वह बेहद शांत था. उसने काफी समझदारी से बयान दिया.	చాలా పరశాంతంగా ఉననాడు. నయాయవాది చెపపిన దానని పటటించుకోలేదు.
नहीं, उनहोंने नहीं की थीं, है न?	అవును, అదే కదా అసలు విషయం.
उसने एक अपंजीकृत नंबर पर 34 सेकंड बात की, जो अब सेवा में नहीं है.	ఒక రిజిసటర కాని నంబరుకు కాల చేసి 34 సెకనలు మాటలాడాడు, ఇపపుడు ఆ ఫోన మనుగడలో లేదు.
- तुमहें पकका यकीन है कि वह टरकी लौट गया? - हाँ.	- అతను టరకీకే వెళలిపోయాడు అంటావా? - హా.
बारह साल बाद,	పననెండేళల తరవాత,
जून. कया हुआ?	జూన. ఏంటి సంగతి?
- जानता हूँ. और हम सभी को तुमसे सहानुभूति है. - मेरा मतलब, आपको मानना होगा. . .	- తెలుసు. మేమందరమూ నీకు అండగా ఉననాం. - మీరు ఒకటి ఆలోచించాలి. . .
तुम इसे सात अलग-अलग तरीकों से लिख सकती हो.	ఆ ఒకక పేరుకి ఏడు సపెలలింగస ఉననాయి.
मैं रोज इस बारे में सोचता हूँ. . .	పరతిరోజూ అది ననను కలచివేసతూనే ఉంటుంది. . .
आदरश पुलिस काररवाई. उनहोंने उसे पुरानी केमप रोड के एक टरैप हाउस से गिरफतार किया.	పోలీసులంటే అలా ఉండాలి. అతను పాత కెంప రోడడులోని ఓ డరగస తయారీ ఇంటలో ఉననాడని తెలిసి వెళలి పటటుకుననారు.
आपको कभी नहीं भूलेंगे	ఎలలపపుడూ మా మదిలోనే ఉంటావు
एक महिला है जो कारला नामक किसी महिला को ढूँढ रही है.	మేము కారలా అనే ఒక యువతి కోసం వెతుకుతుననాం.
वह यहाँ कब तक रहेंगे?	అతను ఎంత కాలం ఇకకడ ఉంటాడు?
और मैं टोनी से कया कहूँगी?	మరి టోనీకి ఏం చెపపను?
इसे जलते हुए देखो #कोईनियमनहीं #जलो #भाडमेंगईपुलिस	తగలబడటం చూడండి #నియమాలు లేవు #తగలబడమమా తగలబడు #తొకకలో పోలీసులు
अरे, वह बेहद साफ और जोर से बोलती थी.	చాలా సపషటంగా, గటటిగా చెపపేది.
मैं वादा करती हूँ, हम तुमहारी मदद कर सकते हैं.	నేను నీకు సాయపడగలను, మాటిసతుననా కూడా.
कौन समझदार आदमी वह हथियार अपने पास रखेगा?	బుదధి ఉననవాడు ఎవడెనా ఆ తుపాకీని తమతోనే ఉంచుకుంటారా?
हैलो?	హలో?
हासाड	హసాద
कया?	ఏంటి?
ए, भाड में जाओ!	హేయ, దొబబేయ!
मैं कुछ कर सकता हूँ?	నేనేమెనా చేయాలా?
वह मेरी कार है!	అది నా కారు!
ठीक है. धनयवाद.	సరే. థయాంకస.
कया?	ఏంటి?
मेरा मतलब, चलिए भी. आपको मानना होगा	అరథం కావటలేదా మీకు? అననీ ఇలా
- यह तुमने बनाया? - हाँ.	- దీనని నువవే చేశావా? - అవును.
कया?	ఏంటి?
हैलो?	హలో?
हैलो.	హలో.
सुरकषित.	రకషణ ఉందట.
- कारला? - बस यह बंद करो.	- కారలా. - ఇక ఆపండి.
आइजैक को लगी गोली जेसन की बंदूक से मेल खाती है.	ఐసాక మెదడులోని బులలెట, జేసన ఆయుధానికి చెందినదే అని తేలింది.
देखिए, मुझे इस सबके लिए खेद है, बॉस, ठीक है?	ఈ విషయంలో ననను కషమించు, బాస, సరేనా?
हाँ, कितनी बार गिरफतार हो चुका है?	హా, ఎననిసారలు అరెసట అయయాడు?
उप-शीरषक अनुवादक: मून कलिता	సబ టెటిళలను అనువదించినది: రాంపరసాద
अठारह, 20 सालों की सजा. तुमहें यह ठीक लगता है?	పదదెనిమిది, 20 ఏళలు హుష కాకీ అయిపోతాయి. అది నీకు పరవాలేదా?
खोजें मुसतफा डेमिर लंदन	సెరచ చేయండి ముసతఫా డెమీర లండన
अब वह अतीत बन चुका है. मुझे परेशान करना बंद करो.	అదెపపుడో జరిగిపోయింది. ఇక ననను వదిలేయ.
कारला, तुम कहाँ हो?	కారలా, ఎకకడుననావు నువవు?
- बहुत-बहुत धनयवाद. - उसे कया कहते हैं. . .	- చాలా చాలా థయాంకస. - ఏమంటారు. . .
ठीक है. दरअसल, मैं आपको बताना चाहती थी. . .	సరే. మీకు నేనొక విషయం చెపపాలి. . .
- पर हम सबकी गाडियों को टरैक किया जा रहा है. - अरे, बस भी करो.	- కానీ మన వాహనాలననింటికీ టరాకింగ ఉంటుంది. - అబబా.
तो, तुम झूठ बोल रहे थे? तुमहें धमकाया गया था?	కాబటటి, నువవు అబదధం ఆడుతుననావా? ఎవరెనా నినను బెదిరించారా?
हम एक टरकिश आदमी को ढूँढ रहे हैं. धनयवाद.	టరకీ దేశానికి చెందినవాడి కోసం వెతుకుతుననాం. థయాంకయూ.
कयोंकि वह उस पर हतया की कोशिश का आरोप लगाने पर जोर दे रहा है.	ఎందుకంటే, అతను హతయాయతనం కేసు వేయాలని చూసతుననాడు.
मैं तुमहारी मदद करना चाहता हूँ, जेसन.	నీకు సాయపడాలనుకుంటుననా, జేసన.
अह, मेरी बात सुनो, उस महिला बॉस को फोन करो जो टीवी पर आई थी.	ఒకటి చెపపనా, టీవీలో మాటలాడిన మీ బాస కి కాల చేయ.
मेरा मतलब, पारक में बचचे को गोली मारने के बाद,	పారకులో ఎవరెనా ఒక పిలలాడిని కాలచితే,
अगले हफते मिलेंगे.	మళలీ వచచే వారం కలుదదాం.
काश मैं वहाँ होती.	నేను అకకడ ఉంటే బాగుండు.
खान एंड कंपनी सॉलिसिटरस	ఖాన & కో సొలిసిటరస
जेसन, मैं सुझाव देना चाहूँगा कि तुम अपने अधिकार का. . .	జేసన, నువవు చెపపాలసిన అవసరం లేదని నీకు. . .
उस ऑफिसर ने अपना नाम नहीं बताया.	ఆ పోలీసోడు పేరు చెపపలేదట.
मैं गंभीर हूँ. हाँ. अगर जैसे के साथ तैसा ही करना है, तो फिर. . .	నిజంగానే చెపతుననా. వాళలకి ఆ మందే సరెనది అయితే. . .
यह जानकर खुशी हुई.	మంచి విషయమేలే.
ठीक है.	సరే. సరే.
तुम यह कर सकते हो?	నువవు చేయగలవా?
बढिया है.	మంచిది.
बढिया है.	మంచిది.
कया तुमहारे नए दोसतों को उस आपातकालीन कॉल पर किए गए कुछ खास दावों के बारे में पता है?	ఆ ఎమరజెనసీ కాల లో చెపపిన కొనని విషయాలు నీ కొతత సనేహితులకి చెపపావా?
पर नैना मो से कुछ मत कहना, समझे? तुमहें पता है वह कैसी हैं.	దీని గురించి మౌ బామమకి చెపపకు, సరేనా? తను కంగారుపడిపోతుందని నీకు తెలుసు కదా.
एरॉल और तुमहारी माँ चीख और. . . चिलला रहे थे.	ఎరరొల, ఇంకా మీ అమమ అరుచుకుంటుననారు. . . కేకలు పెడుతుననారు.
मैंने तुमहारी माँ को. . . रसोई में देखा.	మీ అమమని. . . వంట గదిలో చూశాను.
तुम कुछ नहीं बदल सकती.	నువవేమీ మారచలేవు.
मुददा वह नहीं है.	నేను చెపపేది అది కాదు.
डाउनिंग सटरीट में कुछ लोग हैं जिनहें गिरफतार किए जाने की जरूरत है.	మీరు అరెసట చేయాలసింది డౌనింగ సటరీటులో ఉనన పిసతాలను.
हाँ, धनयवाद. यह बढिया होगा.	హా, థయాంకస. నాకు కూడా నీళళే కావాలి.
मैं बस यह कह रही हूँ कि, अगर तुमने कुछ सुना, तो कृपया मुझे बस फोन कर देना.	నీకేమెనా తెలిసతే, నాకు ఫోన చేయి అని మాతరమే నీకు చెపతుననా.
मैं वह नहीं लूँगा. मैं वह नहीं लूँगा. देखो, मुझे किसी भी गोलीबारी के बारे में कुछ नहीं पता.	నాకు ఇవవవదదు. నేను తీసుకోను. చూడండి, నాకు ఆ కాలపుల గురించి ఏమీ తెలీదు.
- हैलो. - पानी लोगी?	- హాయ. - మంచి నీళలు ఇవవనా?
इसे अपनी आँख पर रखो.	దీనని నీ కంటి మీద పెటటుకో.
- काम पर सब ठीक है? - हाँ.	- మరేం పరలేదా? - హా.
