हैलो! मदद करो!	హలో! కాపాడండి!
मुझे फिर से धंधे में घुसना है, रे.	నేను ఆటలోకి తిరిగి రావాలి, రే.
नहीं, पता है कया? ठीक कहती हो.	లేదు, నీకు ఒకటి చెపపనా? అది కరకటే.
ईमेल वगैरह से नयोता नहीं भेज सकते थे?	ఈ వెట లేదా ఇంకేదెనా పంపి ఆహవానించవచచు కదా?
एक वही मौज-मसती करने का तरीका है.	అకకడేగా నువవు శృంగారం చేసేది.
मुझे नहीं पता था कि तुम आ रही हो.	నువవు వసతుననటటు నాకు తెలియదు.
पता चल जाता था कि वोडका पीने वाली रात है.	పరతి రాతరి వోడకా తాగేవాడని చెపపగలను.
यह कैसा रहेगा.	అది ఎలా ఉంటుంది.
यह देखो.	చూసుకో.
अपने चाचा के साथ ऑटोलॉट में काम करता है.	తన కారల డీలర మామయయ వదద పని చేసతాడు.
अपने दुख को वजह देने. यकीन मानो,	మోపాలని చూసతుంది. ననను నమము,
दादाजी अभी जिंदा हैं?	తాత ఇంకా ఊపిరితో ఉననాడా?
या यहीं पर जमीन में गाड दूँ?	లేదా బొటటుపెటటి లోపలికి పిలవాలా?
पता है अधिक तो नहीं हैं, पर. . .	అది ఎకకువ ఏం కాదు, కానీ. . .
नहीं, शुकरिया.	వదదు, ధనయవాదాలు.
नई नौकरी कैसी चल रही है?	కొతత ఉదయోగం ఎలా ఉంది?
हम एक जैसा सोचते हैं.	మనం ఒకేలా ఆలోచిసతుననాము.
दुख की बात है.	అది బాధాకరమెనది.
कालपनिक कहानी में से कोई लडकी, दुखद सरलता, खतरनाक बहकाने वाली?	విలకషణమెన అపసరసలాంటి సవపన సుందరి, బాధలో అమాయకురాలు, పరమాదకర మోహినిగానా?
रोडियो, परेड, गरेजुएशन, मॉनसटर टरक जुलूस वगैरह में तसवीरें खींचता हूँ.	నేను రోడియో, కవాతులు, గయాడయుయేషన, భారీ టరకకు రయాలీలు తీసతాను.
तुम. . . तुम नाराज नहीं हो?	నువవు. . . నువవు నిరాశ చెందావా?
मतलब, तुम मेरे भाई जैसे हो.	నేను నినను సోదరుడిగా భావించాను.
अचछा. वह एक "रणनीति"? है न?	ఓహ, నిజమే. అతను "వయూహం"? అవునా?
मुझे यह लगता है. . .	నేను అనుకుంటుననాను. . .
जब हद पार हो जाए, तो पीना छोड देना चाहिए, जान.	బాగా మతతెకకితే ఇక తాగడం ఆపేయాలి, బంగారం.
हाँ. पीछे है. सामने ही दिख जाएगा.	అమముతాము. వెనుక ఉననాయి. కనిపిసతుంటాయి.
मैंने उनहें माल को लेकर पैसे देने में थोडी देर कर दी.	నాకు సరుకుకు తిరిగి చెలలించడం కాసత ఆలసయమయింది.
पलेयरस बॉल चलेंगे. तुमहें मजा आएगा और खूबसूरत दिखोगी.	నువవు పలేయరస బాలకు వెళళు. సరదాగా, అందంగా ఉండు.
धयान से, सपरलॉक घर में है.	జాగరతత, సపరలాక ఇంటలోకి వచచాడు.
मुझसे पूछो तो, मेरी किसी को कसूरवार ठहराना चाहती है,	ననను అడిగితే, మేరీ తన బాధను తగగించుకోడానికి ఎవరో ఒకరిపె నింద
अजीब नहीं है.	ఇబబంది ఏం లేదు.
उस औरत ने तुमसे शौचालय की सफाई करवाई?	ఆమె నీచేత టాయిలెటలు కడిగిసతుందా?
अनाजघर वहाँ है कया?	అకకడ ఉననది ధానయాగారమా?
लूक रूलेट में जीता था.	లూక రోలెట గెలిచాడు.
ईमानदारी से पेश आऊँगा.	నీతో సజహంగా ఉంటాను.
-तो वे जेल में होते. -बिलकुल.	-జెలలో ఉంటారు. -ఖచచితంగా.
-हे भगवान. -बहुत बुरी बात है.	-దేవుడా. -అది బాధగా ఉంది.
इसलिए तुमहारे लिए एक निशानी लाया हूँ.	అందుకే నీకోసం ఒక పురాతన వసతువు తీసుకొచచాను.
पिछली पतनी, तानिया और मैं. . .	నా మాజీ భారయ, తానియా ఇంకా నేను. . .
ठीक है?	సరేనా?
लैंगली, इस हंट बचचे के घर जाओ,	లాంగలీ, ఈ అబబాయి, హంట దగగరకు వెళళి,
लिली, खाना खाने आओ! अभी!	లిలలీ, భోజనానికి రా! వెంటనే!
मुझे यह पाठ खतम करना है!	నేను ఈ అధయాయనం పూరతి చేయాలి.
बाप रे! लूक हॉल यहाँ है.	అబబా! ఇకకడకు లూక హాల వచచాడు.
हम एक बेकार शहर के बेकार निकास पर खडे हैं,	మనం ఎవరూ ఉండాలని అనుకోని ఎకకడో ఊరికి
पर खेल शुरू होने से पहले वह किसी लडकी के साथ कोलोराडो भाग गया.	ఆట ముగిసే లోపు అతను ఎవరో కొలరాడో అమమాయితో పారిపోయాడు.
एक बार नशा रखने का भी आरोप लगा था.	మతతు మందు సేవనకు అరెసట చేశాం.
मैं तुमहें खतम करके रहूँगा!	మిమమలని కాలచిపారేసతాను!
तुम काफी मुसीबत में हो.	నువవు బాగా ఇబబందిలో పడడావు.
-कया मतलब? -समय अजीब सा है.	-అంటే ఏంటి? -మంచి సమయం.
-तुमसे मिलकर अचछा लगा. -हाँ. मुझे भी अचछा लगा.	-నినను కలవడం బాగుంది. -సరే. నినను కూడా కలవడమూ బాగుంది.
दोसत एक-दूसरे को बताते हैं. खासकर, वह खास बात.	సనేహితులు పరసపరం అననీ చెపపుకుంటారు. ముఖయంగా, అలాంటివి.
पर, ऐसा लग रहा है कि तुम नाराज हो.	అంటే, నువవు నిరాశ చెందినటటు కనిపించింది.
कया फरक पडता है कि कर पाई या नहीं? है न?	విజయం పొందడం ఎవరికి కావాలి? అవునా?
वरना, झील के पास पैदल जाना पडेगा.	లేదంటే, చెరువు చూటటూ నడవాలి.
उस रात तुमने एक पंछी का रूप लिया.	నువవు ఆ రాతరి పకషిలా మారావు.
बिशप और मैं एक-दूसरे से पयार नहीं करते.	సరేలేగానీ, నేను బిషప పరేమలో లేము.
वह सब कया है?	అదంతా ఏంటి?
जो सोचती हो, वैसा नहीं है.	నువవనుకుంటుననటటు కాదు.
चलो भी! कमाल की लग रही हो!	చూడు! అదభుతంగా ఉననావు!
किसे मैसेज भेज रही हो?	ఎవరికి సందేశం పంపుతుననావు?
कयोंकि यह सब बकवास है.	ఎందుకంటే అందంతా ఉటటిమాటలు.
-मैं हँसता हूँ! -अचछा?	-నేను నవవుతాను! -నిజంగానా?
पर जयादातर,	కానీ ఎకకువగా,
यार! तुम फुटबॉल टीम में हो.	బాబూ! నువవు ఫుటబాల టీంలో ఉననావు.
-उफ. अचछा. -हाँ.	-అబబా. సరే. -అవును.
मैं रो नहीं रही थी.	నేను ఏడవడం లేదు.
-पर इसका मतलब. . . -जज यहीं हैं.	-దానరథం. . . -నయాయనిరణేతలు ఇకకడుననారు.
हाँ. हरी वाली जिस पर चेपियाँ लगी हैं.	అవును. ఆకుపచచది, దానిపె అనని అతుకులు ఉంటాయి.
पर तेरे लिए कुछ लाया हूँ.	నేను నీకొకటి తెచచాను.
-मैं याद नहीं? -माफ करना.	-గురతులేనా? -కషమించు.
तुमहें यह गाना पसंद नहीं?	నీకు ఈ పాట ఇషటం లేదా?
ठीक है, मुझसे गाडी के पास मिलो.	సరే, ననను కారు దగగర కలువు.
मेरे मरहूम पति कहा करते थे कि इनहें जूरी में भरती कराना चाहिए.	చనిపోయిన నా భరత వీటిని నయాయ విధులలో చేరచాలి అనేవారు.
-शायद. -और कौन हो सकता है?	-అయిండవచచు. -ఇంకెవరు అయిండొచచు?
-तुमसे एक बात पूछूँ? -हाँ.	-నేను నినను ఒకటి అడగనా? -అడుగు.
मैं तुमहें पकडकर रहूँगा!	మిమమలని పటటుకుంటాను!
अचछा, सोचने दो.	సరే, ఆలోచించుకోనీ.
कयों? कया जानना चाहती हो?	ఎందుకు? ఏం తెలుసుకోవాలని ఉంది?
कुछ नहीं. यही कि अगर तुमहारा कोई राज होगा, तो मुझे बताओगी न?	ఏమీ లేదు. నీకు ఏదెనా రహసయం ఉంటే, నాకు చెపతావు కదా?
जरूर.	అవును.
अपने पकके दोसत के साथ पयार करना घिसी-पिटी बात नहीं है.	పరాణ మితరుడితో పరేమలో పడడం ఎవరూ చేయనిది కాదు.
फाइनल में कौन पहुँचा था?	ఫెనలసకు ఎవరు చేరారు?
और मैं नहीं चाहता कि. . .	ఇంకా నాకు కోలపోవాలని లేదు. . .
मैं भी नहीं.	నాకు కూడా.
किसी को नहीं. बस डॉज को.	ఎవరికీ లేదు. డాడజకే.
मुझे लगा वह चला गया.	వెళళిపోయాడని అనుకుననాను.
पता नहीं तुम कया हो.	నాకు నువవు ఏంటో తెలియదు.
हमें उन बचचों की तलाश है जो पिछले साल मुसीबत में पडे.	గత ఏడాది ఇబబందులలో పడడ పిలలలకోసం చూసతుననాము.
अंदर चलकर एक सेकंड बात कर सकते हैं?	లోపలికి వెళళి మాటలాడుకుందామా?
जब कोई मजेदार बात हो, तब हँसता हूँ.	సరదాగా ఉననాయనిపిసతే నవవుతాను.
मुझे सब कुछ तोड देने का मन करता है.	నాకు అననీ పగలగొటటాలని ఉండేది.
उतना नहीं जितना कि आना चाहिए.	రావాలసినంత ఎకకువగా రాడు.
उस साल भाला मुकाबला नहीं हुआ.	లేదు, ఆ ఏడాది పోటీ లేదు.
बाय, दोसतो. फिर मिलेंगे.	అందరికీ, బె. తరువాత కలుసతాను.
काश वापस जाकर अपने दिमाग में अकल घुसा पाती.	తిరిగి గతంలోకి వెళళి, కొంచెం అరథవంతంగా చేయాలని ఉంది.
मैं वह अहसास समझता हूँ.	నాకు ఆ భావన తెలుసు.
लाइबरेरी से आया है.	లెబరరీ వాళళు పంపించారు.
मैंने तुमहें उडते देखा.	నువవు ఎగరడం చూశాను.
खिलाडियों और मेहमानों के लिए, मेजबानी करने वाले पारटी रखते हैं.	అతిథులకు మరియు ఆటగాళళకు వాఖయాతలు పారటీ ఇవవడం రివాజు.
पंकति तो पंकति होती है, जान, भले कितनी खूबसूरत कयों न हो.	మాటలు మాటలే, బంగారం అది ఎంత అందంగా చెపపినా సరే.
छूने के बारे में सोचकर मजा आता है.	దానని సపరశించాలనుకోవడం ఇషటం.
सच में, इस लडकी की नाक किसी दिन किसी किताब में फँसकर रह जाएगी.	నిజంగా, ఏదో రోజు తన ముకకు ఆ పుసతకంలో ఇరుకకుపోతుంది.
एक पल के लिए भी तुमहारे बारे में. . .	అంటే, కనురెపపపాటు కూడా నీ గురించి అలాంటి. . .
-तो. . . पैसे दो. -हाँ.	-ఇక. . . చెలలించాలి. -అవును.
तुमहें इसे इशारा करना होगा.	ఇది నీ నుండి సూచనలు తీసుకుంటుంది.
हाँ, यही.	అదిగో, అదే.
अचछा, तो,	సరే, అయితే,
कया बात है?	అది ఏంటి?
गरेनरी वाले सुरकषा टेपों से कुछ पता चला?	ధానయాగారం సెకయూరిటీ టేపులు నుంచి ఏమెనా తెలిసిందా?
-शॉटस! -जो यह ले रही है, वही ले लूँगी.	-షాటస! -ఆమె తాగేదే నాకూ కావాలి.
मुसीबत से याद आया, तुमहारा एक पुराना दोसत वापस आया है.	మరచిపోయాను, నీ పాత సనేహితుడు ఊరిలోకి వచచాడు.
तुम खूब मजे कर रही हो.	సరదాగా గడుపుతుననటటు ఉననావు.
संवाद अनुवादक परवीन कौर शोम	సబటెటిల అనువాద కరత సమత
बिशप के बारे में सब भूल जाओगी. भाड में जाए!	నువవు బిషపను మరచిపో. అతనిని వదిలేయ!
भाड में जाओ तुम.	నీకు ఏమయింది?
एक या दो बार.	ఒకటి రెండుసారలు.
यह मजेदार है?	ఇది సరదాగా ఉందా?
पेशाब की बू से नींद नहीं आती थी.	తెరిచినా, నిదరపటటేది కాదు.
तुमने परेड में भी तसवीरें खींची थी न?	నువవు పరేడ ఫోటోలూ తీశావు, కదా?
दूसरी बात, वह मेरा सबसे अचछा दोसत है.	రెండోది, అతను నా పరాణ మితరుడు.
पलेयरस बॉल के लिए है.	ఇది పలేయరస బాలకు.
है न, दोसत? है न?	అంతేనా, అబబాయ? అవునా?
गूगल पर, सबसे अधिक इसी की तलाश की जाती है.	అది గూగుల శోధన పదంలో మొదటిది కూడా.
तुमने कहा कि जिमी को अपने अंक कम रखने पडे.	జిమమి సకోర తగగించుకుననాడని అననావు.
हाँ. उसके फोन में एक कमीनी की तसवीरें मिली	అవును. రేస టరాక దగగర అతనికి కలిసిన
-वह मुझे घुडसवारी सिखाएँगी. -अचछा?	-నాకు గురరపు సవారీ నేరపించబోతుంది. -అవునా?
मुझे यह बहुत अचछा लगता है!	నాకు ఇషటమెన భాగం ఇదే!
घर से दूर घर मोटर लॉज सराय	హోం అవే మోటార లాడజ ఇన
सुनो, रे, मैं गाडी में बैठ सकता हूँ?	హే, రే, నేను టరకకులోకి ఎకకనా?
शुकरिया. तो, मैं अपनी नेकर अभी उतारूँ या बाद में?	ధనయవాదాలు. అయితే నేను నా లోదుసతులు ఇపపుడు తీయనా లేదా తరువాతా?
हैलो?	హలో?
हैलो?	హలో!
अचछा, याद है, गैलवेसटन में मेरा कुछ लोगों से एक सौदा हुआ था?	సరే, గాలవెసటనలో ఒకరితో డీల చేసుకుననాను తెలుసుగా?
जाना-पहचाना लगता है.	చూసినటటుగా ఉంది.
हंट केनी है.	అతను హంట కెననీ.
मुझे उसका नाम जाना-पहचाना लगा.	నాకు అతని పేరు గురతుంది.
शुकरिया.	ధనయవాదాలు.
कया?	ఏంటి?
-बहुत अचछी है. -शुकरिया.	-అది చాలా బాగుంది. -ధనయవాదాలు.
फाइनल में?	ఫెనలసకా?
पैसे बचाने चाहिए थे.	డబబు దాచుకొని ఉండాలసింది.
और तुमने मुझे बताया नहीं कि वह. . .	నువవు నాకు చెపపలేదు ఆమె. . .
मुझे बस. . .	నేను కేవలం. . .
हाँ, इसे पडे रहना ही कहते हैं.	అవును, బాధపడడం అంటే ఇదే.
यह देखो!	ట డా చూడు!
डिगिनस के घर पर सवागत है!	డిగగినస నీకు సవాగతం!
अचछा.	సరే.
अचछा.	సరే.
किसे साला फरक पडता है कि वह मुझे चाहता है या नहीं?	అతనికి నేనంటే ఇషటమో, లేదో ఎవరికి కావాలి?
कभी-कभी भूख लगती है.	నాకు ఒకకోసారి ఆకలేసతుంది.
रुको.	ఆగు.
यहाँ! यार, देखो!	ఇకకడ! అందరూ, చూడండి!
अचछा. छींटे उडाना बंद करोगी तो हँसूँगा.	సరే. అలాగే. నువవు నీళళు చిందించడం ఆపితే నవవుతాను.
अचछा. पहली बात तो, यह बहुत ही घटिया है.	సరే. ముందుగా, అది చిరాగగా ఉంది.
बोतल में एक बूँद तक नहीं छोडते थे.	ఒకక చుకక వదలకుండా తాగేవాడు.
जो उसे रेसटरैक पर मिली.	వయభిచారి ఫోటోలు ఫోనలో చూశాను.
यह सोचकर मजा आता है कि बदन का कोई भी हिससा छोडे बिना,	దానిలో ఏ చోటును వదిలేయకుండా పరతి అంగుళానని
तुमहें कया लगता है?	నువవు ఏది అనుకుంటుననావు?
-टाल रही हो! -अचछा.	-ఆలసయం చేసతుననావు! -సరే.
उसके लिए पैसे देगी?	దానికి డబబు చెలలిసతుందా?
कुछ शादियों पर काम करके थोडी-बहुत कमाई हुई.	కొనని వివాహాలలో అదనంగా పని చేశాను.
मुझे लगा. . . और फिर मुझे लगा कि शायद तुम भी. . .	నాకు అనిపించింది. . . ఆ తరువాత నాకు అనిపించింది నీకు కూడా. . .
बहुत समय से अचछे दोसत रहे हैं.	నువవు చాలా కాలంగా నా పరాణ మితరురాలివి.
उसने पैनिक जीता था.	పానిక గెలిచాడు.
और दोपहर को हम मिरियम के साथ नाटक करेंगे.	మధయాహనవేళ మేము మిరియంతో నాటకం వేయడానికి వెళుతుననాము.
सहेलियों के साथ घूमना,	సనేహితులతో తిరుగుతుండేదానని,
हमें कुछ समय अकेला छोड दोगी?	మాకు ఒక నిమిషం ఇసతావా?
हाँ, मेरे फरश पर जयादा अचछी लगती.	అంటే, అది నా నేల మీద ఉంటే ఇంకా బాగుంటుంది.
तुमहारा पीछा करना.	మిమమలని వెంటాడుతుననాను.
वे अपनी खिडकियाँ इतनी जलदी नहीं चढा पाते कि गरीबों की बू को रोक सकें.	పేదరికపు కంపును పీలచుకోలేక వేగంగా కిటికీలను మూసేసతారు.
मैंने पीछे की तरफ आठ-नौ गडढे कर रखे हैं, सिरफ इसके लिए.	వెనుక తొమమిది గుంటలు దీనికోసమే తవవి ఉంచాను.
अरे, जान! तुम कुछ भूल गए!	హే, బేబీ! నువవు ఒకటి మరచిపోయావు!
और तुमहारा बदन सामान की तरह सिमट रहा है ताकि किसी को तकलीफ न हो.	నీ శరీరాననంతా ముడుచుకుననటటు నువవు నడిచే తీరు ఇషటం.
हैलो, ऐन.	హే, ఆన.
लिटल बिल केली?	లిటిల బిల కెలలీనా?
डर सा लगता है.	బాధగా అనిపిసతుంది.
हे भगवान.	దేవుడా.
गाडियाँ लडकियों जैसी होती हैं, समझी?	కారలు అమమాయిలు ఒకటే, తెలుసా?
और तुमहें वह इस हद तक चाहिए	నీకు అది చాలా కావాలి,
उनहें वह मिटटी दिखाई देती है जो नहाते समय धुल जाती है.	తమ అందమెన షవరల కింద పారే మురికిలా చూసతారు.
तुमहें चूमने के बारे सोचकर. . .	నీకు తెలుసా, నినను ముదదాడాలనన ఆలోచన. . .
जिस तरह से तुम घूमती हो,	పరపంచం జనంతో నిండిన లిఫట అయితే,
हाँ, अगर कभी चाहिए तो, मुझे बताना.	తీసతాను, నీకు ఎపపుడెనా కావాలంటే, ననను కలువు.
मुझे बस इतना पता है कि	నాకు తెలిసినదలలా,
मुझे नहीं लगता कि मेरे साथ कभी भी कुछ अचछा होगा.	నాకు ఇక ఏదీ మంచి జరుగుతుందని అనుకోను.
तुमहारी बारी.	అంతా నీదే.
यह कया था, रे? यह कया. . .	ఏంటది, రే? ఏంటి. . .
कोई खास बात लगती है.	బాగుంటుందని అనుకుంటుననాను.
हेदर, रुको! मैं. . .	హేథర. హేథర, ఆగు! నేను. . .
कया? कया देख रही हो?	ఏంటి? నువవు ఏం చూసతుననావు?
-कया मैं गाडी में बैठ सकता हूँ, रे? -आ जाओ.	-నేను టరకకులోకి ఎకకనా, రే? -ఎకకు.
-जैसा बाप, वैसी बेटी. -मजेदार बात कही. चलो.	-తండరీ కూతుళళు ఒకటే. -మంచిది. పద.
कि तुम भूल जाते हो कि वह सच नहीं है.	ఎంతగా అంటే అది నిజం కాదని తెలిసినా కోరుకుంటావు.
कारप में सवागत है	కారపకు సవాగతం
तुम पर जच रही है.	నీకు బాగుంది.
वही घिसी-पिटी बात है.	అది సరవ సాధారణం.
फोन करने की कोशिश की.	నీకు ఫోన చేశాను.
-तैयार हो? -हाँ.	-సిదధమేనా? -ఖచచితంగా.
-हमें अलग हो जाना चाहिए. -मुझे एतराज नहीं.	-మనం విడిపోవాలి. -నాకు పరవాలేదు.
मेरे साथ पंगा लिया!	నాతో పెటటుకోవాలనుకుననారు!
चाहती हो ईमानदारी से पेश आऊँ?	నీతో సహజంగా ఉండమంటావా?
यहाँ कोई जिंदा नहीं बचता.	ఇకకడనుండి ఎవవరూ సజీవంగా వెళళలేదు.
हाँ, तुमहें यहाँ पडे रहने नहीं दूँगी.	సరే, నేను నినను బాధపడనివవను.
कैसा लगा जब उसने बंदूक की नली अपने मुँह में डाली.	జిమమీ కోరటెజ భావన తెలుసుకోవాలనుండేది.
लो, देखो.	ఇదిగో, చూడు.
मैंने तुमहें पहचान लिया.	నినను గురతుపటటాను.
कपडे. पलेयरस बॉल के लिए.	అవి డరెససులు. పలేయరస బాల ఉందిగా?
बाय.	బె.
फुटबॉल टीम के कुछ लडकों ने डांस टीम की लडकियों के खिलाफ शरत लगाई थी.	ఫుటబాల టీంలో ఎవరో డానస టీంలో ఎవరిపెనో పందెం కాసారు.
तो,	సరే,
सवेटशरट गुम होने के बाद, पहले 48 घंटे सबसे अहम होते हैं.	చొకకా పోయిన మొదటి 48 గంటలు చాలా ముఖయమెనవి.
ऐसा नहीं है.	నేనేం సిగగుపడను.
किसी और बंदूक को हाथ नहीं लगाता.	ఇంకెవరూ తుపాకీ పటటుకోరు.
उन पर मेरा जादू चलता है.	సాధారణంగా నేను వాళళను పడగొడతాను.
जलदी से इसे साफ करना है.	నేను శుభరం చేయాలి.
हे भगवान. मतलब, जब भी तुम लोगों की नजरें मिलती हैं,	దేవుడా. అంటే, మీ కళళు కలిసిన పరతిసారి,
अब दूसरी पारी.	ఇక రెండవ దశకు సమయం.
यह लो, यार.	ఇటు, రా మితరమా.
और मैं कुछ समय से कहना चाहता था, पर मैं. . .	నేను ఎపపటినుండో అది నీకు చెపపాలని అనుకుననాను, కానీ నేను. . .
हाँ! हाई सकूल वाले.	అబబా అవును! హె సకూల వాళళు.
कारप सारवजनिक पुसतकालय	కారప పరజా లెబరరీ
अचछा, हमारी बात होती थी.	సరే, దాని గురించి మాటలాడుకుననాము.
इनके पैसे देने पडेंगे?	డబబు చెలలించాలా?
-बकवास. -यह. . .	-పిచచిమాటలు. -అది. . .
यहाँ आ, साले!	ఇలా రా, చినన వెధవ!
काफी कुछ चाहिए था.	నాకు చాలా కావాలని ఉండేది.
यह देखने आई हो कि कया मेरे पास तुमहारी सवेटशरट है?	నువవు ఇంత దూరం నీ చొకకా కోసం వచచావా?
मुझे लगता है तुम डरते हो.	నీకు భయం అనుకుంటా.
पता है जब लोग हमें देखते हैं तो कया सोचते हैं?	మనం వాళళకు ఎలా కనిపిసతామో తెలుసా?
बाप रे.	అబబా.
मैं पढ रही हूँ!	నేను చదువుకుంటుననాను!
खुद को मुझसे तेज समझते हैं?	వాళళు నాతో పెటటుకోగలరని అనుకుంటుననారా?
नहीं, बचपन में मुझे बस	లేదు, నా చిననపపుడు, నేను ఎపపుడూ
हे भगवान! यह गाना बहुत पसंद है.	అబబా! నాకు ఈ పాట ఇషటం.
हाँ, कोई लेना-देना नहीं!	అవును, ముగిసింది!
हैलो! बिशप, तुमहारा फोन.	హే! బిషప, నీ ఫోన.
मुझे वह बू बहुत पसंद है.	నాకు ఆ వాసన ఇషటం.
तुम हद से जयादा घिसे-पिटे हो.	నీవి దారుణ వయకతి యొకక పలు సాధారణ విషయాలు.
हाँ, तो. . .	అవును, అయితే. . .
हाँ, मैं बस. . . पकका करना चाहता था,	అవును, నేను కేవలం. . . అది రూఢీ చేసుకోవాలనుకుననాను,
मैं उनहें पैसे देने वाला था.	అంటే, నేను వాళళకు తిరిగి చెలలించేవాడినే.
अचछा? अचछा, चलो. जरा सुनूँ. चलो.	అవునా? సరే, పరారంభిదదాం. నాకు అది ఇవవు. కానియ.
नहीं. पर तेरी गाडी ले जाने का बडा मन करता था.	లేదు. కానీ నీ కారు గురతొచచింది.
घोडे डर भांप लेते हैं.	గురరాలకు భయం తెలుసతుంది, తెలుసా.
तुमहारी सवेटशरट?	నీ చొకకానా?
-फिर मिलेंगे. -बाय.	-ఉంటాను. -బె.
साला, खुद को कया समझती है?	చెతత మొహంది, తనకు తాను ఏం అనుకుంటుంది?
हाँ. मुझे भी नहीं पता था.	అవును. నాకు కూడా.
तुमहारा फोन बंद था.	నీ ఫోన ఛారజింగ లేదనుకుననాను.
मदद करो!	సాయం చేయండి!
ए!	హే!
हाँ.	అవును.
बेवकूफ कहीं के.	చెతత వెధవ.
ए.	హే.
अनोखा बेटा लौट आया है.	తపపిపోయిన కుమారుడు తిరిగి వచచాడు.
बिलकुल नहीं!	ఛ, లేదు!
कौन-कौन?	ఎవరు కాసారు?
काश कया?	ఏం చేయకుండా?
तुमने मेरी सवेटशरट देखी?	నా చొకకా చూశావా?
तुम एक नंबर के कमीने हो.	నువవు ఒక వెధవవి.
मैं बंद नहीं कर सकती. डॉलफिन हूँ.	ఆపలేను. నేను డాలఫినను.
किस बात से डरता हूँ?	నాకు దేనికి భయం అనుకుంటుననావు?
जो शरीर की आग से न निकलते हों?	కోరిక కలగడం కాకుండా?
कम से कम एक तो है.	ఏదేమెనా, కనీసం వారిలో ఒకరు.
तो तुमहारी आँखों से बहुत पसीना निकलता है.	అయితే నీవి చెమమగిలలిన కళళు.
उस तरह नहीं सोचा.	ఆలోచన లేదు.
मैं आ गई!	నేను వచచేశాను!
अभी नहीं.	ఇపపుడు కుదరదు.
आओ यहाँ से चलें.	మనం ఇకకడనుండి వెళళిపోదాం.
तुमहारे लिए इतना काफी है?	అది నీకు మంచిదా?
असल में, यह एक तारकिक सवाल था.	నిజానికి, సరే, అది ఒక సమాధానం లేని పరశనలాంటిది.
बाप रे.	హే, అదభుతం.
टूटे-फूटे हाल में देख अचछा नहीं लगेगा.	దానని విరగగొటటడం బాగోదు.
कया तुमहारे अंदर जरा भी ऐसे अहसास हैं,	నీకు అసలు భావనలు ఉంటాయా,
मुझे फरक नहीं पडता.	నాకు అనవసరం.
पता नहीं, पर मुझे जानना है.	నాకు తెలియదు, కానీ నాకు తెలుసుకోవాలని ఉంది.
कभी चाहते हो कि कुछ अचछा हो,	నీకు మంచి జరగాలని నువవు ఎపపుడెనా కోరుకుంటావా,
वह जमीन उसके दादा की होती थी.	ఆ భూమి వాళళ తాతది.
रंग वाली जगह संभालकर.	రంగు పోతుంది.
तुम बहुत समझदार हो.	నువవు ఆ విషయంలో తెలివెన దానివి.
रे ही होगा.	అది రే అయి ఉంటాడు.
पर हमें तुमको ठीक करना होगा.	కానీ నిజంగా మనం నినను ఆకరషణీయంగా తయారు చేయాలి.
सुनो.	హే.
हैलो!	హే!
मैं गाडी नहीं चलाने वाली. जाहिर है.	నేను నడపను. ఖచచితంగా.
वह खडे होते,	తాగితే విచకషణ ఉండదు,
फरक नहीं पडता कि तुम खूबसूरत हो.	నీ అందం ముఖయం కాదు.
अचछी बात है.	మంచిది.
तुम यहाँ कैसे?	నువవు ఇకకడేం చేసతుననావు?
ए, तुम ठीक हो?	హే, నువవు బాగానే ఉననావా?
ऐसा है,	నీకు తెలుసా,
कि यह बहुत अचछा है.	అది అదభుతం.
एक बात कहूँ?	మీకు ఒక విషయం చెపపనా?
हाँ. वह दो बार अफगानिसतान गया.	అవును. అతను రెండుసారలు ఆఫఘనిసతానపె యుదధానికి వెళళాడు.
तुम छुप नहीं सकते!	దాకకోలేరు!
जरूर.	తపపకుండా.
शायद किसी के बचचे पर कोई दाग लगा हो.	ఈ పిలలలలో కొంతమందికి చాల పెదద చెరగని గాయాలు ఉండి ఉంటాయననది ఆలోచన.
मुझे पढाई पूरी करनी चाहिए थी,	సకూల పూరతి చేసి,
तुम ठीक हो?	నువవు బాగానే ఉంటావా?
या वह जेल में नहीं था?	జెలులో లేడా?
पैसे देने का पुराना तरीका.	వారసతవపు ఆసతి.
दो मिनट!	రెండు నిమిషాలు!
तुमहारा मेरे जैसा हाल नहीं होगा.	నువవు నాలా చేయవు.
हम पकके दोसत हैं न?	నీకు తెలుసు, మనం పరాణ సనేహితులం కదా?
तुमहारा यह कया हाल हो गया?	నీకు ఏమయింది?
तो?	అయితే?
हम दोनों किसी काम के नहीं.	మనిదదరం చెతత.
पारटी उस तरफ है.	పారటీ అంటే అలా ఉంటుంది, తెలుసుగా.
हेदर!	హేథర. హేథర!
एक-एक हिससे से गुजरने में	నేను నా వేలుతో సపరశించేందుకు నాకు ఎంత సమయం పడుతుంది అని
आराम से.	నెమమదిగా. నెమమదిగా.
बहुत हो गया.	అంతే.
भाड में जाओ.	పోరా.
भाड में जाओ.	పోరా.
निकममे.	విడిచివేయబడడవాళళం.
ऐसी जगह पर जहाँ कोई नहीं रहना चाहता.	చివరన ఉంటాము.
पकका?	పరమాణపూరతిగానా?
जलदी भागो.	ఇకకడినుండి వేగంగా వెనుదిరిగి పోండి.
