16 अपरैल, 2018	ఏపరిల 16, 2018
पहला खेल शनिवार को है. हमारे पास सुपरीम कोरट की	మొదటి ఆట శనివారం రోజు. మిమమలని సుపరీమ కోరటు
तो, माइक, तुमने कहा कि तुमहारा लकषय	మరి మెక, జెలు నుండి ఒక లకషమందికి
पोसट-कनविकशन रिलीफ एकट की अपील को वाजिब ठहराने के लिए	నయాయమూరతికి నేరసథాపనానంతర పరిహార చటట పిటీషను సమరథించటానికి
कैथी विलियमस मीक की माँ	కాథీ విలియమస మీక తలలి
मैं जेल में तुमहारा चेहरा देखकर तंग आ गया हूँ.	నాకు నినను ఆ చెరసాలలో చూసతుంటే బాధగా ఉంది.
मीक मिल मेरे साथ जेल से निकलने के बाद का अपना पहला इंटरवयू देने बैठा.	మీక మిల తన జెలు శికష తదనంతం మొదటి ఇంటరయయూ కోసం నాతో కూరచుననాడు.
और मैं उसके चेहरे को देख रही थी, और हम बस मुसकुरा रहे थे.	నేను తన మొహం చూసతుననానంతే, మేము నవవుకుంటుననాము అంతే.
यदि मेरे इतने मशहूर होने के बावजूद	వాళళు ననను అంత ఉననత సథానం నుంచి
करिस पारकर मीक के अंकल	కరిస పారకర మీక అంకుల
बहुत भावुक एहसास है.	ఇది ఉదవేగభరితంగా ఉంది.
तीसरा नियम	మూడో నిబంధన
बीस बार चलाई लडके पर गोली जब कह सकते थे कि हिलो मत	వాళళు అతనిని 20 సారలు కాలచారు ఆగిపో అని చెపపగలిగినపపుడు
और ऐसे लोग भी हैं जिनकी आवाज नहीं सुनी जाती,	ఒక గొంతెతతి పిలిచేవాళళు లేని జనం ఉననారు,
जिसे बहुत से लोग समझ सकते हैं. बहुत से लोग इस सिसटम का शिकार हैं.	చాలా మందికి సంబంధించినవి. చాలా మంది వయవసథను ఎదురకొంటుననారు.
इस सिसटम में सब झेलने के बाद, इसमें फँसने के बाद,	వయవసథను ఎదురకోవటం గురించి, అందులో కటటివేయబడటం గురించి,
लग नहीं रहा कि यह सच है, यार.	ఇది నిజమని ఇంకా నమమలేకపోతుననాను.
वह उसके वापस अपने लोगों के बीच आने और सहज होने के कारण है.	అతను మికసకు తిరిగి రావటం వలన ఇంకా సౌకరయవంతంగా ఉండటం వలన వసతుంది.
जॉरडन सीव मीक का वकील	జోరడన సీవ మీక లాయరు
रॉन पारकर मीक के अंकल	రాన పారకర మీక అంకుల
मैं 22 लाख लोगों की मुशकिलें समझ सकता हूँ.	2. 2 మిలియనల మందిని దానికి జోడించగలను.
यह एक तरह से लडाई है.	అది పోరాటం లాంటిదే.
इस बकवास की वजह से परिवार टूट रहे हैं.	ఈ చెతతంతటి వలన కుటుంబాలు నాశనం అవుతుననాయి.
"और मुझे दूसरे लोगों को भी मौका देना चाहिए, " बडी बात है.	"నేను ఇతరులకు ఇంకో అవకాశం ఇవవాలి, " అని చెపపటం చాలా గొపప విషయం.
उनहें अनुशासित कदम उठाने होंगे.	చాలా ఆచితూచి అడుగులు వేయాలి.
वे तुमहें सूची में डाल देते हैं	వాళళు నినను జాబితాలో పెడతారు
और जब वह अदालत में अभियुकत था, तब तो आपने उससे अलग तरह से बरताव किया ही,	ఇంకా మీ కోరటుగదిలో ముదదాయిగా ఉననపపుడు అతనితో భిననంగా వయవహరించారు,
हे भगवान, हम इस समय परारथना करते हैं,	ఓ, దేవుడా, మేము ఇపపుడు పరారథన చేసతుననాము,
तुम जो कहना चाहते हो वह कह नहीं सकते?	అనుకుననది చెపపలేకపోతుననాని అనుకుంటుననారా?
यदि पैसे से वफादारी मिलती तो हम तुमहें डालेंगे. . .	డబబే విధేయతను నిశచయిసతే మేము నీకు పెడతాము. . .
तो हर कोई सिर झुकाकर और आँखें बंद करके खडा हो जाए.	మీరందరూ ఏమీ అనుకోకపోతే, తలవంచి కళళు మూసుకోండి
कि इस इमारत में आज नयाय हो.	ఈ భవంతిలో ఈ రోజు నయాయం జరగాలి.
जैसे-जैसे उसकी रिहाई की उममीद बढ रही है,	అతని విడుదల పె అంచనాలు పెరుగుతుండగా,
"धत, मैं वहाँ बहुत खुश लग रहा हूँ. "	"అరే, నేను అకకడే ఆనందించినటటుననాను" అని.
वह समझ रहा है कि भगवान उसकी परीकषा ले रहा है.	దేవుడు తనను పరీకషిసతుననాడని అతను అరథం చేసుకుననాడు.
और उन लोगों के दिल में उममीद जगाएँगे	ఇంకా పరజలకు ఆశించినది ఏదో ఒకటి ఇవవటానికి
जैसा किसी और के साथ हुआ होगा. तो, बहस का मुददा यह बताना है,	ఉండాలని కోరుకుంటారు. అయితే, చరచించాలసిన విషయం ఏంటంటే,
उसने कहा, "माँ, उनहोंने मुझे रिहा कर दिया. "	అతను అననాడు, "అమమా వాళళు ననను విడుదల చేశారు" అని.
इस पूरे दिन का सबसे वाहियात हिससा यह है	ఈ రోజులో ఎంతో దారుణమెన విషయం ఏంటంటే
वे मुझे सरकारी जेल में डाल रहे हैं,	తీసుకెళళి రాషటర చెరసాలలో పెడుతుననారంటే,
यह एक तरह से मेरे लिए मेरा इलाज था.	అది దాదాపుగా నాకు చికితసలా పని చేసింది.
वह उसे एक अलग ही मुकाम पर ले जाएगा.	తన కెరీరలో కొతత విషయాలను చేరచబోతుననాడు.
मैं हूँ जेसिका डीन.	నేను జెససికా డీన.
-तुमहें कैसा लग रहा है? तुम कैसे. . . -बहुत अचछा लग रहा है!	-నీకు ఎలా అనిపిసతుంది? నువవు ఎలా. . . -నాకు చాలా బాగా అనిపిసతుంది!
जब आप 23 घंटे कोठरी में बंद रहते हैं, तो यह सोचते रहते हैं,	ఇరవె మూడు గంటల జెలు గదిలో ఉండి, అకకడ కూరచోని ఆలోచిసతూ ఉండే వాడిని,
कयोंकि जब मीक मिल जेल में है, तो समझो हर कोई जेल में है.	ఎందుకంటే మీక మిల జెలులో ఉంటే, అందరూ జెలులో ఉననటటే.
जब उसके साथ अदालत जाना होता है, तो मैं कभी सो नहीं पाता.	కోరటులో ఆమె ముందు హాజరవవాలంటే నిదరపోయేవాడిని కాదు.
मीक कितना मोटा हो गया है! बहुत जयादा.	మీక చాలా లావయయాడు! అతను లావయయాడు.
जानते हो, इस समय कोई भी खाली नहीं है.	అంటే, ఇపపుడు అనని నిరవహించే సమయం.
जो बदलाव मैं अपने भाई में देख रही हूँ, उससे डर लगता है. जैसे. . .	నా సోదరుడిలో నేను చూసతునన మారపు, అంటే దాదాపు భయంగొలిపేదిగా ఉంది. అది. . .
कयोंकि आप नहीं जानते कि कया होने वाला है. जैसे कि, "कया आज मुझे जेल होगी?	ఎందుకంటే మనకు ఏం జరగబోతుందో తెలియదు. "నేను ఈ రోజు జెలుకు వెళతానా?
आप सीधा अंदर जाकर यह नहीं कह सकते कि "हमें मंजूर है, "	కేవలం అకకడికి వెళళి, "మేము ఒపపుకుంటుననాము" అంటే,
माइकल रूबिन सह-मालिक, फिलाडेलफिया 76-अरस	మెఖేల రూబిన పరిమిత భాగసవామి, ఫిలడెలఫియా 76అరస
अपने दोसतों से गले मिलना कैसा लग रहा है?	మీ సనేహితులను కౌగిలించుకోవటం ఎలా అనిపిసతుంది?
ले जा सकते थे पुलिस की गाडी में पर उसे पडे-पडे मरने दिया	వాళళు పోలీసు వాహనంలో ఎకకించుకోవచచు కాని రకతపు మడుగులో వదిలేశారు
तब भी आप उससे अलग बरताव कर रही हैं कयोंकि आप उसके केस को	మీరింకా అతనితో భిననంగా వయవహరిసతుననారు ఎందుకంటే మీరు అతని కేసును
सुनवाई से पहले और उसके दौरान, मीक मिल को बहुत समरथन मिल रहा है.	మీక మిలకు భారీ ఎతతున మదధతు పలికారు, విచారణకు ముందు ఇంకా జరుగుతుననపపుడు.
तो, मेरे लिए सिसटम में सुधार लाने में मदद करने का फैसला मुशकिल नहीं था.	అయితే, వయవసథను సంసకరించటంలో సహాయం చేయలనన నిరణయం నాకు కషటం కాదు.
शायद मेरी माँ ने या किसी और ने कहा कि, "खबरें लगाओ. "	మా అమమనో ఎవరో అననారనుకుంటా, "వారతలు పెటటు" అని.
बलकि वकीलों को लाने की बजाय, हम सबके लिए कानून,	లాయారల కోసం పరయతనించే బదులు, మేము చటటాలను, విధానాలను,
निषपकष रहने की कोशिश ही नहीं की गई.	నయాయంగా ఉండాలనన పరయతనం చేయలేదు.
-तुमहारे पास कितने मैसेज आए हैं? -तीन तो आ चुके हैं.	-ఎనని ఫోన సందేశాలొచచాయి? -ఇపపటికే దాదాపు మూడు.
तुम अभी भी जमानत पर हो.	నువవు ఇంకా బెయిలపె ఉననావు.
"चैमपियनशिपस" की रिकॉरडिंग	"ఛాంపియనషిపస" రికారడింగ
वैन जोनस राजनीतिक वयाखयाता	వాన జోనస రాజకీయ వయాఖయాత
पॉल सोलोटरॉफ खोजी पतरकार - रोलिंग सटोन	పాల సోలోటరాఫ పరిశోధనా విలేకరి - రోలింగ సటోన
पॉल सोलोटरॉफ खोजी पतरकार - रोलिंग सटोन	పాల సోలోటరాఫ పరిశోధనా విలేకరి - రోలింగ సటోన
जब वहाँ जाकर भी उससे इतनी दूरी महसूस की हो.	నేను కోరటులోనే ఉననానా అని అనిపించలేదు.
बरायन सटीवेंसन संसथापक - ईकवल जसटिस इनीशिएटिव	బరియాన సటీవెనసన వయవసథాపకుడు - సమాన నయాయ పరోతసాహకుడు
पर मुझे यह सच में याद नहीं है.	కానీ నాకు నిజానికి అది గురతు లేదు.
और यह कर पाना बहुत मुशकिल लगता है.	చాలా పెదద లకషయంలా అనిపిసతుంది.
हमें पेनसिलवेनिया सुपरीम कोरट के फैसले का इंतजार है.	మేము పెనసిలవేనియా సుపరీమ కోరటు నిరణయం కోసం వేచి చూసతుననాము.
अब बात मौलिक निषपकषता से आगे निकल चुकी है,	పరాథమిక నయాయానికి చాలా దూరంగా ఉననాము,
जो हमारे सोमवार सुबह के यातरियों को परेशान कर. . .	సోమవారం ఉదయం పరయాణం వరకు కొనసాగుతుననాయి. . .
वे ऐसे पेश आएँगे जैसे हो तुम नाकारा इस खेल को जानो	నినను విలువలేని వాడిగా చూసతారు ఆటను గౌరవించు
एक कागज पर लिखा आदेश जाने कितनी जानें ले लेता है.	తీరపుల వలన చాలా మంది జీవితాలు కోలపోతుననారు.
इसलिए परिवार के साथ हूँ और जो परेशानियाँ हमने साथ सही हैं	అందుకే నేను కుటుంబంతో ఉననాను ఎదురకొననాను కొంత కషటం
तुमहारा एक एलबम रिलीज हुआ है, और मैंने तुमहें कई शो करते देखा है,	నీ అలబమ విడుదల అయయింది, నువవు చాలా షోలలో పాలగొనటం చూశాను,
मीक अपनी दो से चार साल की सजा के पाँच महीने काट चुका है.	మీక తన 2 నుంచి 4 ఏళళ శికషలో 5 నెలలు పూరతి చేశాడు.
"यह एक नई परिसथिति है. "	"ఇది కొతత పరిసథితి. "
और अब और भी मुशकिल होती जा रही हैं.	ఇది రోలర కోసటర రెడలా ఒడిదుడుకులతో ఉననది.
यह आपको पागल कर देगा.	అది మీకు పిచచెకకిసతుంది.
उस हुक को बीच में जोर से गूँजने दो.	ఆ అనుపలలవి మధయలో బాగా ఎకో వచచేలా చేయండి.
और इससे वह दृषटिकोण मिलता है	తను విషయాలను ఎలా ఆలోచిసతుననాడంటే
केस को खारिज करो	కేసు కొటటేయండి
जज बरिंकली ने मीक की पोसट कनविकशन रिलीफ अपील नामंजूर की.	నయాయమూరతి బరింకలీ, మీక నయాయసథాపనంతర ఉపశమన పిటిషనను నిరాకరించారు.
सविस बीटस गरैमी - विजेता निरमाता	సవిస బీటజ గరామీ విజేత నిరమాత
बस चाहता हूँ उनके लिए आवाज उठाऊँ, जो ऐसा नहीं कर सकते. शुकरिया.	జనం ఎవరెతే చెపపుకోలేరో వారి గొంతు నేను అవవాలని అనుకుంటుననాను. ధనయవాదాలు.
मैंने कभी सोचा भी न था कि मैं ऐसा दिन भी देखूँगा	నేను ఎపపుడూ అనుకోలేదు ఇలాంటి రోజు చూసతానని
तभी तो वे कहते हैं "मैं केस लड रहा हूँ. "	అందుకే వాళళంటారు "నా కేసును పోరాడుతుననాను" అని.
जो इतिहास रच रहा है, कयोंकि मैं जानता हूँ कि अनगिनत बेजुबान लोग हैं,	ఇది చరితర అంటాను, ఎందుకంటే నాకు తెలుసు ఇది చెపపుకోలేని చాలామంది మగవాళళు, పరజలు
हर कोई इन चीजों को भुला नहीं पाता.	అందరూ ఇలాంటి విషయాలలో నుండి కోలుకోలేరు.
मेयर ने कहा वह चाहते हैं मीक रिहा हो, पर फिर भी मीक को नयाय नहीं मिला.	మేయర మీకను విడుదల చేయాలని చెపపారు, అయినా మీకకు నయాయం జరగలేదు.
जिनके साथ मैं रोज बैठता था.	వయకతిగతంగా తెలుసు వాళళ గురించి.
पहले मुझे लगा कि यह बस केवल उसके साथ हो रहा है,	నేను మొదటలో, ఇది తనకు మాతరమే సంబంధించినదని అనుకుననాను,
बयुला पारकर मीक की दादी	బయూలా పారకర మీక బామమ
कि मैं उसे लेने हेलिकॉपटर में आया हूँ.	ఎపపుడూ కల కంటూ ఉండేవాడని చెపపాడు.
और मैंने बस सोचा कि यह बहुत बडी बात है.	నేను ఇది చాలా గొపపగా ఉందని మాతరమే అనుకుననాను.
वह सफर जो हम अब अपने कल से	మా పరయాణంలో ఇపపుడు జరుగుతుననది
कुछ कमाल के इंसान हैं जिनहें "नयाय परणाली" की	ఈ "నేర నయాయ వయవసథ"లో తపపులను, అనయాయాలను
डेमन. तुमसे मिलकर अचछा लगा, यार.	డేమన. నినను మళళీ కలవటం సంతోషంగా ఉంది.
या लातिनी अमेरिकी के साथ दस गुना बदतर कर रहे होंगे.	లేదా సపానిష మగవారితో 10 రెటలు దారుణంగా పరవరతిసతుననటటు అరథం.
वापस असली दुनिया में कदम रखना, तो. . .	తిరిగి వాసతవిక పరపంచంలోకి రావటం, అందుకే. . .
मैं रैप कर सका. . .	నేను రయాప చేయగలను. . .
एक आग के सपने देखता	కోరిక గురించి కలకంటాను
मीक मिल की 'चैमपियनशिपस' एलबम निकली बिलबोरड 200 चारट में नंबर 1 पर	మీక మిల అలబమ మొదటి సారి బిల బోరడ 200 చారటలో నెం. 1లో ఉంది
खुद को एक अलमारी में 23 घंटे बंद रखो, और फिर देखो कैसा लगता है.	మిమమలని మీరు అలమారాలో రోజులో 23 గంటలు బంధించుకొని ఎలా అనిపిసతుందో చూడండి.
पर अब जब वह पोसट-कनविकशन रिलीफ की कोशिश कर रहा है,	కానీ ఇపపుడు తను నేరసథాపన తదనానంతర పరిహరం కోసం కోరుతుననాడు,
मैं बस दिल से बातें करता हूँ और अकसर	నేను ముందే తయారయి రాను, ఎకకువగా
कि जब जिला अटॉरनी को जो कहना था वह कह दिया,	డిసటరిక అటారని చెపపాలనుకుననది చెపపాక,
फिलाडेलफिया में अदालत के अंदर कैमरा लाना वरजित है.	ఫిలడెలఫియా కోరటులోకి కెమెరాలు అనుమతించబడవు.
मीक की पोसट-कनविकशन रिलीफ की सुनवाई का दिन	మీక నేరసథాపనానంతర పరిహార విచారణ రోజు
मीक मिल को परोबेशन के उललंघन के लिए जज ने जेल भेजा था.	మీక మిలను పరిశీలనా ఉలలంఘనల కారణంగా ఈ నయాయమూరతి జెలులో పెటటింది.
कैथी, अब कैसा लग रहा है?	కయాథీ, ఇపపుడెలా అనిపిసతుంది?
बहुत उममीदें लगा रखी हैं. उसकी टीम ने बहुत अचछा काम किया है.	నాకు ఇపపుడు చాలా ఆశాజనకంగా ఉంది. అవును, అతని బృందం అదభుతంగా పనిచేశారు.
-तुमहें कया लगता है? -मीक मिल को रिहा करो.	-మీరు ఏం అనుకుంటుననారు? -మీక మిలను విడుదల చేయాలి.
और जब सब जेल में हैं, तो कोई आजाद नहीं है.	అందరు జెలులో ఉంటే, ఎవరికీ సవేచఛలేదు.
जॉरडन सीव मीक का वकील	జోరడన సీవ మీక లాయర
जॉरडन सीव मीक का वकील	జోరడన సీవ మీక లాయర
और उस बदलाव को लाने में मैं खुद समरपित करना चाहता हूँ.	నేను అంకిత భావంతో మారపు తీసుకు రావటంలో సాయపడాలని అనుకుంటుననాను.
मेरे साथ कर रही है, वे उससे सहमत नहीं हैं,	నిజంగా ఒపపకోవటం లేదని గుసగుసలాడుకుంటుంటే విననాను,
जे-जी संसथापक - रॉक नेशन	జే-జీ వయవసథాపకుడు - రాక నేషన
जे-जी संसथापक - रॉक नेशन	జే-జీ వయవసధాపకుడు - రాక నేషన
ए, कैसे हो? कया चल रहा है? परिवार कैसा है? हाँ.	హే, ఏంటి సంగతులు? ఎలా ఉననారు? మీ కుటుంబం ఎలా ఉంది? సరే.
और मैं इस बारे में इस गाने में बताता हूँ.	నేను దాని గురించి ఈ పాటలో చెబుతాను.
उसके दोसतों, उसके परशंसकों के लिए, और उन सबके लिए जिनकी वह मिसाल बन रहा है,	సనేహితులకు, అతని అభిమానులకు, అతను పరాతినిధయం వహించే పరతి దానికి,
जब पुलिस वाले लोगों को बंदूक से मारते हैं, तो यह बुरी बात है.	పోలీసులు జనానని తుపాకితో చంపితే, అది దారుణమెన విషయం.
अब तक का करने वाले हैं.	ఎకకువగా నమమటం మొదలుపెటటాను.
कि जब मीक परोबेशन पर था	మీరు మీక పరిశీలనలో ఉననపపుడు
-ठीक है. -सबका शुकरिया.	-అలాగే. -అందరికీ ధనయవాదాలు.
और तब उसे उचच कोरट में अपील करके यह देखना पडेगा	ఆ తరువాత అతను హె కోరటులో అపీల చేసుకోవాలి
तुमहें कब महसूस हुआ कि ऐसा कुछ नहीं होना चाहिए?	మీకు ఇది ఇలా జరగకూడదని ఎపపుడు తెలిసింది?
मीक मिल का साथ दो	మీక మిలకు మదదతివవండి
इस एलबम के लिए कौन से निरमाताओं के साथ काम कर रहे हो?	మీరు ఈ ఆలబమ కోసం ఏ నిరమాతలతో పనిచేయబోతుననారు?
और मैं सिसटम में सुधार लाने की ओर परतिबदध हूँ	నేను నిజానికి నిబదధతతో సంసకరణల విషయంలో పనిచేసతుననాను,
"आप लोगों से 18 जून को मिलूँगी. "	"మిమమలని మళళీ జూన 18న కలుసతాను" అననారు.
मैं अपनी कोठरी में था.	నేను నా జెలు గదిలో ఉననాను.
फिर भी, वह मीक पर दबाव डाल रही है	అయితే, ఆమె మీకను ఆధారాలను పరసతుతించాలని
ऐसी बातों ने मुझे सिसटम से दूर कर दिया. पूरी तरह.	ఇలాంటి విషయాలననీ నాకు వయవసథపె అపనమమకానని కలిగించాయి. అంతే.
-तुमहारी बहन है? -मेरा दिमाग काम नहीं कर रहा.	-తను మీ సోదరా? -నాకింకా అరథం కావటలేదు.
हमें कानून बदलना होगा. भगवान सब पर कृपा करे. मीक मिल को रिहा करो!	మనం చటటానని మారచాలి. మీ అందరినీ దేవుడు చలలగా చూడాలి. మీక మిలను విడుదల చేయాలి.
-मीक मिल को रिहा करो! -मीक मिल को रिहा करो!	-మీక మిలను విడుదల చేయండి! -మీక మిలను విడుదల చేయండి!
-मीक मिल को रिहा करो! -मीक मिल को रिहा करो!	-మీక మిలను విడుదల చేయండి! -మీక మిలను విడుదల చేయండి!
मैंने इस केस में जो देखा है, वह पहले कभी नहीं देखा.	నేను ఈ కేసులో చూసతుననవి ముందెపపుడూ చూడలేదు.
आशा है, जब मीक रिहा होगा, वह इन पूरे हालातों की आवाज बनेगा,	ఆశించినటటుగా, మీక బయటకు పడితే, అతను మొతతం పరిసథితిని తెలియ చేసిన వాడు,
वह बस एक सामानय बात है. समझे मैं कया कह रहा हूँ?	అది సాధారణ విషయం అంతే. నేను అకకడ ఏం చెబుతుననానో తెలుసుగా?
इतने सारे अशवेतों को गलत सजा मिली है,	ఎంతోమంది నలలజాతీయులను తపపుగా దోషులుగా చేసిన,
कि मुकदमे से पहले परारथना करूँ, तो यदि एतराज न हो,	అందుకు ననను పరారంభ పరారథన చేయాలని అడిగారు,
भगवान सब सुन सकता है,	నువవు చెపపింది నిజమవవాలి,
अदालत की सीढियों पर इकटठे होंगे, पर यह भगवान की मरजी है,	కోరటు మెటల దగగరకు రావాలని, కానీ ఇది దేవుని చరయ,
कोई अपराध न करने के बावजूद, तो उनका बचना तो नामुमकिन है.	ఏ నేరం చేయకుండా పంపిసతే, వాళళు విజయవంతం కాలేరు.
जज को और पुखता सबूत चाहिए,	ఇంకా బలమెన సాకషయాలు కావాలననారు,
वह नए मुकदमे के लिए मान गए हैं.	కొతత విచారణకు ఒపపుకుననారు.
कि कया वे इसे मंजूर करेंगे. यह बस. . . यह सीधी सी बात है.	వాళళు అది ఒపపుకుంటారో లేదో చూడాలి. అంతే. . . నిజంగా, అది చాలా సులభం.
जिसे सिसटम खलनायक के रूप में देखेगा, और लोग नायक के रूप में देखेंगे.	వయవసథ పరతినాయకుడిగా చూసతుంది, పరజలు నాయకుడిగా చూసతుననారు.
इस बेचारे नौजवान ने इतना कुछ झेला है.	ఇతను చిననవాడు అవననీదాటి వచచాడు.
पर उसके लिए पीछे मुडकर देखना और कहना,	కానీ అతనికి తిరిగి వెనకకు చూసి,
यह इतिहास है, और इतिहास का हिससा बनना	ఇది చరితర, ఇంకా చరితరలో భాగమవటం
"कया मैं आज तीन-चार साल के लिए जेल जाने वाला हूँ? "	"నేను ఈ రోజు మూడు, నాలుగు ఏళళు జెలుకు వెళతానా" అనుకునేవాడిని.
मैं खुश हूँ कि यह देख रही हूँ कयोंकि मैं कुछ ऐसा ही चाहती थी.	నేనది చూసతుననందుకు సంతోషంగా ఉంది ఎందుకంటే అది నేను పరారథించిన వాటిలోభాగం.
-शुकरिया. -बढिया काम. शुकरिया.	-ధనయవాదాలు. -బాగా చేశారు. ధనయవాదాలు.
मीक मिल को रिहा करो!	మీక మిలను విడుదల చేయండి!
मीक मिल का साथ दो #JUSTICE4MEEK #FREEMEEKMILL	మీక మిలకు మదదతుగా నిలవండి. #మీకకు నయాయం #మీకమిలకుసవేచఛ
करूज मीक का मैनेजर	కరూజ మీక మేనేజర
यह लडाई की तरह ही है जहाँ दो लोग जीतने के लिए पूरा जोर लगाते हैं.	ఇది ఇదదరు వయకతులు పోరాటానని గెలవటానికి ముందుకు వెనుకకు అవుతునన పోరాటం లాంటిది.
हम सब इसके कैदी हैं,	మనం అందరం ఇందులో ఖెదీలం,
मैं, हमारे सीईओ, वैन जोनस का सवागत करना चाहूँगा.	నేను వాన జోనస, మా సీఈఓను ఆహవానిసతుననాను.
सहायक जिला अटॉरनी ने अदालत में खडे होकर कहा,	అసిసటెంట డిసటరిక అటారనీ బహిరంగ కోరటులో నిలబడి అననాడు,
मेड इन अमेरिका, आखिर इस समय इस देश में हो कया रहा है?	మేడ ఇన అమెరికా, ఇపపుడు దేశంలో ఏం జరుగుతుంది?
हम तैयार थे. सोच रहे थे कि किसी भी दिन,	మేము సిదధంగా ఉననాము. మేము అనుకుననాము ఏ రోజయినా,
तुम तीन बार जेल में आए-गए हो.	మీరు జెలుకు మూడుసారలు వెళళి వచచారు.
आज के दिन हमारी कामना है	మేము పరారథించుచుననాము ఈ రోజు,
मैं आपको कुछ बताना चाहता हूँ.	నేను మీకో విషయం చెపపాలి.
ऐसा लग रहा था मानो. . . मेरे तो रोंगटे खडे गए थे	నాకు అనిపించింది. . . నా చేతులపె రోమాలు నికకపొడుచుకుననాయి,
और मैंने अपना सामान बाँधा और बाहर निकल गया.	మీకు తెలుసా, నేను నా సామానలు సరథుకొని బయటకు నడిచాను.
जज बरिंकली के साथ अगली सुनवाई तक उसके लिए जमानत की माँग की है.	నయాయమూరతి బరింకలీతో తదుపరి విచారణ వరకు అతనికి బెయిల మంజూరు చేయాలని కోరింది.
मीक मिल को रिहा करो	మీక మిలను విడుదల చేయండి
और, मतलब, इसका उददेशय लाखों लोगों की जेल से बाहर आने में मदद करना है.	ఇంకా, మా లకషయం జెలులో ఉనన లకషలాది మందికి సహాయం అందించడమే.
जब बात नयाय परणाली की आती है. . .	అది శికషాసమృతి విషయానికి వచచినపపుడు. . .
नहीं, बिलकुल भी नहीं लग रहा.	లేదు, నాకు సవేచఛగా అనిపించటం లేదు.
लूक बरिंडल-खिम पराइवेट जासूस	లయూక బరిండిల-కిమ పరెవేట పరిశోధకుడు
रीफोरम अलायंस में	సంసకరణ కూటమిలో
जिनहें वहाँ नहीं होना चाहिए.	అవసరం లేకపోయినా ఉననారు.
घटनाओं का नाटकीय रूपांतर दिखाया गया है.	రూపొందించబడిన సననివేశాలు ఉననాయి.
इतने सारे लोग हमारा साथ देने आए,	చాలా మంది జనం బయటకు వచచి మదధతు తెలిపారు
नयाय की मूरति की आँखों पर पटटी बँधी है.	నయాయ దేవత కళళకు గంతలు కటటుకుంది.
मीक मिल को रिहा करो, हम यही मानकर चलेंगे.	మీక మిలను విడుదల చేయండి, మేము అలానే కొనసాగుతుననాం.
दूसरे संसथापक हैं और वह मंच भी जिससे हम एक बडा बदलाव ला सकें.	సథాపక భాగసవాములు మరియు వేదికలు మాకుననాయని నా భావన.
वह माननीय नहीं है.	ఆమె గౌరవించదగగది కాదు.
रैप के जरिए, तो आप उसे भी करारा जवाब दे सकते हैं.	రయాపింగలో, మీరు తిరిగి సమాధానం చెబుతారు.
तुमहें उनहें अपने संघरष का पूरा एहसास कराना होगा.	వాళళకు ఇది వాళళ నరాలలోకి ఎకకేలా చెపపాలి.
इस शरृंखला में गवाहों दवारा बताई गई बातों और अदालत की परतिलिपियों के आधार पर	ఈ సీరీసలో సాకషయుల ఙఞాపకాలు, ఇంకా కోరటు రాతపరతుల సేకరణల ఆధారంగా
-तीन? मेरे पास दो आए हैं. -हाँ.	-దాదాపుగా మూడు? సరే, నాకు రెండు. -సరే.
और मैं वापस आकर बहुत खुश हूँ और ऐसी चीज का हिससा बनकर	నేను తిరిగిరావటం ఇంకా చరితరలో భాగం కావటం నాకు చాలా సంతోషంగా ఉంది,
फिर हमने खडे होकर कहा,	మేము అపపుడు నిలబడి చెపపాము,
उसने मेरा दिन खराब कर दिया. यकीन नहीं होता.	ఆమె నా రోజును పాడుచేసింది. అవాసతవం.
जब जज कागजी कारयवाही से लोगों को मारते हैं,	నయాయమూరతులు జనానని తీరపులతో చంపితే,
और अब पेनसिलवेनिया सुपरीम कोरट में एक निवेदन दाखिल किया है.	పెనసిలవేనియా సుపరీమ కోరటుకు అభయరథనను సమరపించారు.
मेरे कुछ इंसटागराम परशंसक,	నా ఇనసటాగరాం అనుచరులలో కొంతమంది,
डाउनटाउन फिलाडेलफिया की ओर एक ही धारा में बह रहे हैं.	మీక సథితి విచారణకు వెలలువలా తరలి వసతుననాము.
मेरे पडोस के सारे नौजवान कर रहे हैं खूब नशा	మా వాడలోని యువకులు ఇపపుడు మతతుపదారథాలు తీసుకుంటుననారు
और कोई नहीं जानता	ఎవరికీ తెలియదు, అంటే,
कुछ लोग परेरित होकर जेल में पूरा एलबम लिख देते हैं.	కొంతమంది పరేరణ పొందుతారు, ఇంకా వాళళు అలబమ మొతతం జెలులో రాసతారు.
आपके पास जिला अटॉरनी है, आपके पास वकील है,	ఒకటి డిసటరిక అటారనీ, మరొకటి లాయరు,
आप उसे दोष नहीं दे सकते यदि बाहर निकलकर गायब हो जाए,	అతను కనుక బయటకు వచచి, పరుగెతతుకుంటూ వెళళి,
और जो कुछ भी अब आप सुन रहे हैं,	ఇపపుడు బెటికి వసతుననదంతా,
-ठीक है. -मैं कह रहा हूँ,	-అవును. -నేను నీకు చెబుతుననాను,
और कहा कि, "हम बचाव पकष से सहमत हैं,	ఇలా అననారు, "మేము డిఫెనస వారి
वे मीक मिल के जेल से छूटने की	మీక మిలను జెలు నుండి విడుదల చేసతారని
तो वह आपकी सोच पर हावी होने लगता है.	అది మన సహేతుకతతో ఆడుకుంటుంది.
उततरी फिलाडेलफिया से मीक मिल.	ఉతతర ఫిలడెలఫియా నుంచి వచచిన మీక మిల.
