गरेस	గరేస
अपने गुससे को नियंतरण में रखो, जेपी.	నీ పొగరుని అదుపులో పెటటుకో, జెపి.
हाँ. ठीक है.	సరే, అలాగే.
-सवादिषट है? -शानदार है.	-బాగుందా? -చకకగా ఉంది.
मुझे बेहद खेद है, जान.	కాబటటి, కషమించు, బంగారం.
तुम इतनी जलदी जा रहे हो?	నువవు బయలుదేరుతుననావా?
-मैं खुद खरीद सकता हूँ, धनयवाद. धनयवाद. -ठीक है.	-నా డరింక నేను కొనుకకోగలను, ధనయవాదాలు. -సరే.
-मुझे देर हो रही. . . -भगवान. मेरे पैर में चोट लगी है.	-నేను ఇపపటికే ఆలసయం అయయాను. . . -దేవుడా. నా కాలు పచచడయింది.
मैं बस नॉटिंग हिल बॉनग दुकानों के सामने बलैक एणड वहाइट	బలాక అండ వెట ఏడుపుగొటటు ఫోటోలు నాటింగ హిల హుకకా షాపుల ముందు
मुझे पता है, पर मुझे इसमें उसकी जरूरत है. वह परिवार है. कभी-कभी.	నాకు తెలుసు, కానీ అతని అవసరం ఉంది. వాడు మన కుటుంబంలో ఒకడు. అపపుడపపుడు.
हम बैका के बिना शुरू कर रहे हैं?	బెకా లేకుండానే మనం మొదలుపెటటేదదామా?
हम पापियों के लिए परारथना कीजिए.	మరణించే సమయంలో మా కోసం పరారథన చేయి.
-पिछले करिसमस में उस नशेडी के साथ थी. -वह एक छातर था.	-కిందటి కరిసమస కి వచచిన డరగస వయసనపరుడు. -అతను ఒక విదయారథి.
करिसमस की बधाइयाँ, जान.	హయాపీ కరిసమస, బంగారం.
-चलो भी! -भगवान के लिए.	-ఇలా చూడు! -చెతత పని.
मैं भूलती रहती हूँ कि वह चल बसे. कया यह बुरी बात है?	అతను చనిపోయాడనే విషయం నేను మరచిపోతుననాను. అది ఏమెనా తపపా?
-नहीं. मैं बिलकुल. . . -हर कोने में पुलिसवाले होंगे.	-లేదు. నేను బాగా ఉననాను. . . -అనని చోటలా పోలీసులు ఉంటారు.
हम दिवालियेपन के बेहद करीब हैं.	మనం దివాళా తీయడానికి దగగరగా ఉననాం.
माफ करना. मुझे दसतक देनी चाहिए थी.	కషమించు. నేను తలుపు తటటాలసింది.
हमेशा की तरह, हम एक-दूसरे की रकषा करेंगे.	మనం ఎపపటి మాదిరిగానే ఒకరికి ఒకరం అండగా ఉందాం.
भगवान के लिए, बिबी. हम सभी को एक ही बयान देना होगा.	చెతతగా మాటలాడకు, బీబీ. మనందరం ఇపపుడు ఒకే మాట మీద ఉండాలి.
हिंसक मौत के बाद लिंग का खडा होना असामानय नहीं है.	మరణించిన తరువాత అంగం సతంభించడం అనేది అసాధారణం ఏమీ కాదు.
और हिलना मत. बिलकुल कहीं मत जाना.	కానీ నువవు కదలకు. అససలు కదలకు.
-और जॉन पॉल. -फरैंक.	-ఇంకా జాన పాల. -ఫరాంక.
हाँ. जब हम छोटे थे, तो हमारे माता-पिता के साथ तैरने जाते थे,	అవును, అవును. మా చిననతనంలో మా తలలిదండరులతో కలిసి ఈతకి వెళలే వాళలం,
मुझे सच में माफ कर दो.	ననను నిజంగా కషమించు.
ऐसी बात नहीं है. उनहोंने बस तुमहारे जितने बडे निपपल कभी नहीं देखे.	అది కాదు. నీకు ఉననంత పెదద చనుమొనలని వాళలు ఎపపుడూ చూసి ఉండరు.
एक साल में.	ఒకక ఏడాది.
हाँ. बेशक.	సరే. అలాగే.
जब से. . . जब से मैं लौटा हूँ.	నేను తిరిగి. . . వచచినపపటి నుండి.
थॉमस मोबाइल	థామస మొబెల
मैंने कहा कि मैं तुमहारे साथ थी.	నేను నీతో ఉననాను అని చెపపాను.
थॉमस कलाफिन, कलाफिन एंड संस. यह मैथयू कलाफिन है.	థామస కలాఫిన, కలాఫిన అండ సనస నుంచి. ఇతను మాథయూ కలాఫిన.
ठीक है. कैसा सरपराइज?	సరే. కానీ ఎలాంటిది?
-मैं तुमहें वेट सूट खरीद दूँगी. -नहीं लगेगी. 30 सेकंड बीतते ही,	-నీకు వెట సూట కొంటాను. -కాదు. ముపపె సెకనలు పడుతుంది అంతే,
वह मुझे सच में बेचैन महसूस करवा रहा था और मैं बस घबरा गई.	అతను ననను చాలా అసౌకరయానికి గురి చేశాడు దానితో నాకు భయం వేసింది.
मरने का अजीब तरीका है, है न?	విచితరమెన విధంగా చనిపోవడం, కదా?
लगता है तुम किसी कुतता-घर में सोए थे.	నువవు ఏదో మటటిలో దొరలినటలు కనిపిసతుననావు.
मैंने अभी तक बीमा के कागजात नहीं पढे हैं.	నేను ఇంకా పాలసీ పతరాలను కూడా చూడలేదు.
कैसी गोलियाँ? तुम गोलियाँ कयों ले रहे हो?	ఏం మందులు? దేనికి మందులు వాడుతుననావు?
मेरा पहला बचचा कुछ ही हफतों में जनम लेगा.	నా మొదటి బిడడ కొదదివారాలలో పుడుతుంది.
पता नहीं मेरा धयान कहाँ था.	నేను ఏం ఆలోచిసతుననానో తెలియదు.
चलो चलें.	వెళదాం పద.
-चूँकि हम सभी घोषणाएँ कर रहे हैं. . . -शाबाश.	-మనం ఇలా పరకటనలు చేసతుననాం గనుక. . . -తెలివెన పని.
और काफी सोचने के बाद, मैंने पदोननति के लिए अपना नाम दिया है.	దీనితో నేను చాలా ఆలోచించి, పరమోషన కోసం దరఖాసతు చేశాను.
चलो, बैका!	పద, బెకా!
माफ करना.	మననించండి.
मेरी संवेदनाएँ, मिसेज विलियमस.	నా సానుభూతి, మిసెస విలియమస.
दरअसल यह मेरी नहीं है. मैं बस पहने रखता हूँ.	ఇది నిజానికి నాది కాదు. నేను ఇలా వేసుకునే ఉంటాను.
तुमहारे पिताजी घर पर हैं? तुम कहोगी, करिसमस के दिन वह और कहाँ होंगे.	మీ నానన ఇంటలో ఉననాడా? కరిసమస రోజు ఇంకెకకడ ఉంటాడు, అంటావు కదా.
कृपया, मुझे यह एक और दोगी?	నాకు దయచేసి మళలీ అదే ఇవవగలరా?
वह ऊपर हैं, तैराकी के लिए तैयार हो रही हैं.	తను మేడ మీద ఉంది, ఈత కోసం దుసతులు మారచుకుంటోంది.
मेरा अपना वयवसाय है. बस छोटा सा है, पर. . .	నా సొంత వయాపారం నాకు ఉంది. అది చిననది, కానీ. . .
अपना सामान ले लो.	నీ వసతువులు సరదుకో.
ऐसा कयों कह रही हो? बस एक ही करिसमस में ऐसा हुआ है.	అలా ఎందుకు మాటలాడుతావు? ఈ ఒకక కరిసమస కే కదా ఇలా జరిగింది.
लोग बिन बुलाए मेरे घर में नहीं आते हैं	నాకు హాని కలిగించే ఉదదేశం ఉంటే తపప
जो महिला गरभवती नहीं हो सकती, कैसा कमीना उससे पूछता है कि कया वह गरभवती है?	తను గరభవతి అయినా కూడా పిలలలు కనవదదని చెపపేవాడు ఎంత వెధవ అయి ఉంటాడు?
लगता है वह सच में नहीं आएगी.	చూడబోతే అదే జరిగేలా ఉంది.
सच में, तुमहारा पैर कैसा है?	నిజంగా, నీ కాలు ఎలా ఉంది?
वह पीछे गई है, बैरल बदलने के लिए.	ఆమె వెనుక వెపు ఉంది, మందు నింపుతోంది.
और कुछ चाहिए? तुम कुछ घंटे अकेले रह लोगी?	ఇంకా ఏమెనా కావాలా? కొదది గంటల పాటు చూసుకోగలవా?
तुम चाहते हो कोई ऐसा वह फोलडर उठाए, जो गाडी न चला रहा हो?	డరెవింగ చేయని వయకతి నీ కోసం దానిని అందుకోవాలని నీకు అనిపించలేదా?
मैं तुमहें फोन करूँगा. कया कहती हो? हम यह आराम से करेंगे.	నేను ఫోన చేసతాను. అది ఫరవాలేదా? మనం దీనిని మామూలుగా వయవహరిదదాము.
-हमें उसकी जाँच करनी है. -कैसा नया दावा?	-మనం ఆ విషయం పరిశీలించాలి. -కొతత కలెయిమ ఏంటి?
मेरी कोहनियों के लिए जगह ही नहीं है.	నా మోచేతులు పెటటుకునే చోటు లేదు.
तो, जैरलड, मेरा बॉस. . .	సరే, జెరాలడ, నా యజమాని. . .
पुराने नहीं हैं.	ఎకకువ సేపు కాలేదు.
मुझे तुमहारे लिए खेद है.	మీ ఇబబందికి విచారిసతుననాను.
नहीं, मुझसे ऐसे बात मत करो.	వదదు, నాతో అలా మాటలాడకు.
-अपने हाथ दो. -नहीं. मैं यह नहीं करूँगी.	-నీ చేతులు ఇలా ఇవవు. -లేదు. నేను ఇదంతా చేయను.
हम बस कहेंगे कि हम तुमहारे साथ थे. यह पूरी तरह से झूठ भी नहीं है, है न?	నీకు అండగా మేము ఉంటాము అని చెబుతాము. అది నిజం కాకుండా పోదు కదా?
भगवान. रिटायर होने के लिए इतना काफी है.	దేవుడా. మనం రిటెర కావడానికి సరిపడా డబబు ఇది.
पर खुशी है कि वह यहाँ मौजूद है.	కానీ ఇతను ఇకకడికి రావడం మంచిదయింది.
अब गरेस को खुद ही संतुषट होना होगा.	గరేస కి ఇంక తన రెండు వేళలే గతి.
धनयवाद. यह सच में बहुत बडी कषति है.	ధనయవాదాలు. అది మాకు తీరని లోటు.
-नहीं, तुमने सही कहा, जेपी. -चलो भी. यह मजे के लिए है.	-లేదు. నువవు నిజమే చెపపావు, జెపి. -ఇలా చూడు. ఇదంతా సరదా కోసం.
मेरी बहन लंच के लिए आने वाली थी, और उसे ऑइसटर पसंद है,	చూడండి, మా సోదరి భోజనానికి వసతానంది, ఆమెకు గులల చేపలంటే ఇషటం,
-तुम पागल हो. -माफ करना. जलदी में हूँ, पर हाँ.	-నువవు ఒక జంతువువి. -కషమించు. హడావుడిలో చేశాను, సరే.
मिसेज विलियमस मेरी बहन है.	మిసెస విలియమస నా సోదరి.
माइकल अपनी जीएए जरसी नहीं उतार रहा है!	మెఖేల తన గేలిక ఫుట బాల జెరసీని విపపడం లేదు!
तुमने कयों, मेरा मतलब, कयों तुमने. . .	ఇది ఎందుకు ఉంది, అంటే, ఎందుకు ఇది ఇకకడ. . .
-करिसमस की बधाइयाँ. . . -करिसमस की बधाइयाँ.	-హయాపీ కరిసమస నీకు. . . -హయాపీ కరిసమస.
कोई पुषटि नहीं कर सकता. मैं जॉन पॉल के घर लौटने का इंतजार कर रही थी.	నిరధారించడానికి ఎవవరూ లేరు. జాన పాల ఇంటికి తిరిగి వసతాడని ఎదురుచూసతూ గడిపాను.
जय मरियम, अनुगरह से भरपूर, ईशवर आपके साथ हैं.	మేరీ మాతకు సతుతి, కరుణామయి, ఆ పరభువు నీతో ఉండు గాక.
अगर बुरा न मानो, तो हमें हमारे शोक में अकेला छोड दो. धनयवाद.	మీరు ఏమీ అనుకోకపోతే, ఈ సమయంలో మమమలని ఏకాంతంగా ఉండనివవండి. ధనయవాదాలు.
हाँ. लगभग एक साल पहले ही लौटा.	అవును. ఏడాది కిందటే తిరిగి వచచాను.
ए, ऐसा नहीं होगा.	హేయ, అది జరగదు.
-माँ और पिताजी का दिल टूट जाता. -अचछा हुआ वे चल बसे.	-అమమా నాననలకు బాధ కలిగిసతుననాం. -వాళలు చనిపోవడం మంచిదయింది.
-ठीक है. -शाबाश, बैका!	-సరే. -మంచి నిరణయం, బెకా!
मैं मसाज थेरेपिसट हूँ.	నేను మసాజ చికితస చేసతాను.
कया तुम किसी कुतता-घर में सोए थे?	కుకకల గూడులో కానీ పడుకుననావా?
वह मेरी आतमा को नई शकति देते हैं.	నా ఆతమను పునరుజజీవింపచేసతాడు.
बेशक उसे मेकअप लगाया गया है.	కానీ, అతను మేకప వేసుకునే ఉననాడు.
-ठीक है, मेरा पसंदीदा. -पूरी तरह से सोची-समझी है.	-అవును, ఇది నాకు ఇషటం. -చాలా, చాలా, చాలా కావాలనే చేశాను.
-फरैंक. ए. -मैं बस मजाक कर रही हूँ.	-ఫరాంక. హేయ. -నీతో కేవలం జోక చేసతుననాను.
तुमसे मिलकर खुशी हुई. कया तुम यहाँ खाओगे या. . .	నినను కలవడం సంతోషం. ఏమెనా తింటావా లేక. . .
यह तैरने के बाद के लिए डराई रोब है.	ఈత కొటటిన తరువాత తుడుచుకునే దుసతులు ఇవి.
उसका चेहरा देखो.	ఆమె ముఖం చూడు.
"ईशवर की पवितर माँ, अभी और हमारी मृतयु के पल में	"దేవుని యొకక పవితరమెన తలలీ, మా పాపుల కోసం,
अलविदा.	వీడకోలు.
तुमहें लगता है कि पिताजी इस तरह किसी अंतयेषटि में घुसते?	నానన అయితే ఇలా అంతయకరియల కారయకరమంలో తలదూరచే వాడా?
मैं ले सकता हूँ?	నేను చెపపవచచా?
मैं तुमहें सच बता रहा हूँ. हम सब खो देंगे.	నేను ఇపపుడు నీకు చెబుతుననాను. మనం సరవం కోలపోతాం.
अगर वह वहाँ तक पहुँची तो. और मैं वयवसाय भी नहीं खो सकता.	ఆమెకు ఏమెనా జరిగినా జరగచచు. కానీ నేను వయాపారానని కూడా కోలపోలేను.
पता नहीं मैंने ऐसा कयों कहा.	అలా ఎందుకు చెపపానో నాకే తెలియదు.
यह तुमहारी ही गलती है. उनहोंने पहले कभी 40 के ऊपर की कुँवारी नहीं देखी.	అది నీ తపపు. నలభె ఏళలు పెబడిన ఆడదానని వాళలు ఎపపుడూ చూసి ఉండరు.
मुझे पता है कि जॉन पॉल कहाँ था, पर तुम कहाँ थीं?	జాన పాల ఎకకడ ఉననారో నాకు తెలుసు, కానీ మీరు ఎకకడ ఉననారు?
तुमहें यह ठीक करवाना चाहिए.	నువవు దీనిని బాగుచేయించుకోవాలి.
यह तुमहारे लिए है, जान.	ఇది నీ కోసం, పరియతమ.
मैं तो उसे हारली के सूअरों को खिला देती.	వాడిని హరలీస పందులకి ఆహారంగా వేయాలని నా కోరిక.
मैं बस कह रहा हूँ कि यह भावुकता इवा के लिए बेहद सुविधाजनक है.	ఆ సెంటిమెంటే ఈవాకి చాలా సౌకరయం కలిగిసతోంది అంటుననాను.
मुझे माफ कर दो.	ననను కషమించు.
बैका कहाँ है?	బెకా ఎకకడ ఉంది?
-तुमने यह नहीं किया? कभी नहीं किया? -नहीं. मुझे बहुत ठंड लगती है.	-నువవు ఎపపుడెనా ఈత కొటటావా? ఎపపుడెనా చేశావా? -లేదు. నాకు చాలా చలి వేసతుంది.
वहीं मिलते हैं.	అకకడ కలుదదాం.
कयोंकि यहोवा मेरे साथ हैं, आपकी छडी, आपका दणड मुझे राहत देते हैं.	ఎందుకంటే నీవు నాతో ఉననావు, నీ ఆయుధము, ఇంకా నీ సిబబంది నాకు ధెరయమును ఇసతాయి.
वह वयवसाय डूबने नहीं देते.	ఆయన తన వయాపారానని నషటపోనివవడు.
सैंडविच वाला.	శాండవిచ అబబాయి.
मुझे जाना होगा.	నేను వెళలాలి.
बेलजियन सीरीज "कलैन" पर आधारित	బెలజియన సిరీస కలాన ఆధారంగా
तुमहें और नाटक करने की जरूरत नहीं है.	నువవు ఇంక నటించాలసిన అవసరం లేదు.
हम अंदर जाएँगे, सममान जताएँगे, विधवा से बात करेंगे,	మనం లోపలికి వెళదాం, మన సంతాపం తెలియచేదదాం, ఆమెను పలకరిదదాం,
अरस! मॉली, अब हम निकल रहे हैं, ठीक है?	ఉరస! మోలీ, మనం ఇపపుడు బయలుదేరుతుననాం, సరేనా?
बेशक. नहीं. शुकर है, मैं बस यहाँ मदद करने आया हूँ.	సరే, ఫరవాలేదు. లేదు. నిజానికి, మీకు సాయం చేయడానికే వచచాను.
-मैं निगल नहीं पा रहा, और यह. . . -कया तुम बस. . .	-దీనని మింగలేకపోతుననాను, ఇంకా ఇది. . . -నువవు ఒకకసారి. . .
-हे भगवान, मेरा गला सूख गया है. -नहीं. बस. . . माफ करना.	-ఓహ, దేవుడా, నా నోరు బాగా ఎండిపోయింది. -లేదు. కేవలం. . . కషమించు.
हाँ. मुझे समानताएँ दिख रही हैं.	అవును. మీలో ఆ పోలికలు కనిపిసతుననాయి.
मूडी तसवीरों की कलपना कर रही हूँ, मानो. . .	వేళలాడుతూ ఉండటానని ఊహించుకుంటుననాను, ఎలా అంటే. . .
-मैं उसकी आँखें निकाल देती. . . -उसे पलेन से धकेल देती.	-నేను వాడి కళలని ఊడపెరకుతాను. . . -వాడిని విమానం నుండి తోసేయాలి.
ए! करिसमस की बधाइयाँ!	హేయ! హయాపీ కరిసమస!
भगवान.	దేవుడా.
मुझे तुमहारे लिए खेद है.	మీ ఇంట విషాదానికి నా సంతాపం.
मैं बस खुश हूँ कि यह पीडा खतम हो गई.	ఆ బాధలననీ ఇంక ముగిసినందుకు సంతోషిసతుననాము.
मेरा मतलब, कया हमने कभी. . .	అంటే, మనం ఎపపుడయినా. . .
सच में पता था?	మీకు తెలుసా?
एगजाइल इन कया?	ఎగజయిల ఏంటి?
ठीक है.	అలాగే.
भगवान.	దేవుడా.
हमेशा.	ఎపపుడూ.
और मैं नए साल में अपना खुद का मसाज वयवसाय खोलने जा रही हूँ.	అందులో నేను ఈ కొతత సంవతసరంలో నా సొంత మసాజ వయాపారం పరారంభించబోతుననాను.
इस साल टबासको नहीं डाला, मैमी. मैं वह गलती दोबारा नहीं करूँगा.	ఈ ఏడాది టబాసకో లేదు, మామీ. నేను మళలీ ఆ పొరపాటు చేయను.
तो वह आ नहीं सकेगी, और मैं ऑइसटर नहीं खाता हूँ.	కాబటటి తను రావడం రదదు అయింది, ఇంకా వీటిని నేను తినలేను.
सुनो, उस परिवार ने एक साल में चार दावे किए हैं.	విను, ఆ కుటుంబం గత ఏడాది నాలుగుసారలు కలెయిమ లు కోరింది.
मुझे आपके लिए बेहद खेद है, मिसेज विलियमस.	మీకు కలిగిన విషాదానికి నా సంతాపం, మిసెస విలియమస.
हाँ. तो फिर हम बुरे इरादे ढूँढेंगे.	అవును. అందుకే మనం కుటర కోణం వెలికితీయాలి.
सारवजनिक अगरणी. और अकेले में शराबी.	బయట పరజలకు మారగదరశి. వయకతిగతంగా తాగుబోతు.
मैं बस. . . चलो बस. . . समझी.	నేను ఇంక. . . మనం తరువాత. . . సరే.
कया तुमहें एकांत चाहिए?	నీకు కొదదిగా ఏకాంతం కావాలా?
समय आ गया है कि तुम अपने समरथन में बोलो.	నువవు ధెరయంగా నిలబడటానికి ఇది ఇబబందికరమెన సమయం.
ईशवर ने जॉन पॉल को अविसमरणीय इंसान बनने की शकति दी.	చిరసమరణీయమెన మనిషిగా ఉండేలా దేవుడు జాన పాల కి శకతిని ఇచచాడు.
इसलिए हमने इसे परंपरा बना लिया है.	కాబటటి దానినే సంపరదాయంగా కొనసాగిసతుననాం.
कया? बिलकुल नहीं, है न? तुम मुझे पब ले जा सकते हो, पर मैं. . .	ఏంటి? అవకాశమే లేదు, అవునా? ననను పబ కి తీసుకువెళలు, కానీ నేను అకకడికి. . .
वही करो जो यह करती है. केवल छोटी ऊँगली डालना.	ఇది చేసినటలు చేయి. నీ కాలి చిటికెనవేలుతో నీటిని తాకు.
सिवाए उस बुरे नाम की वजह के?	ఆ పిచచి పేరు విషయంలో గొడవ పడడారా?
-मैमी, चलो. चलो चलें. -आ रही हूँ!	-మామీ, బయలుదేరు. వెళదాం పద. -వసతుననాను!
-हाँ. -हाँ.	-అవును. -సరే.
मैं अपने काम में सच में अचछी हूँ.	నేను నిజానికి ఏం చేసినా మంచిగా చేసతాను.
जहाँ तक मैं उसे जानता था, वह कभी मुझे लापरवाह आदमी नहीं लगा.	నాకు పరిచయం ఉననంత వరకూ, ఆయన ఎపపుడూ నిరలకషయంగా ఉండే మనిషిగా అనిపించలేదు.
कया मैं कल आ सकता हूँ? कया यह सुविधाजनक होगा?	నేను రేపు రావచచా? అది మీకు అనుకూలమేనా?
-चलो, बलानड. -तुम कया कर रही हो?	-పద, బలానడ. -ఏం చేసతుననావు?
फोरटी फुट सजजनों के नहाने की जगह	ఫారటీ ఫుట మగవారి సనానాల గది
ए, लॉनग जॉन सिलवर! कैसी हो?	హేయ, లాంగ జాన సిలవర! ఎలా ఉననావు?
शायद तुमहें कुछ समय के लिए काम से छुटटी लेनी चाहिए.	నువవు కొదదిగా విశరాంతి తీసుకోవాలి అనుకుంటా.
-मैं वयवसाय नहीं खो सकता. -एक मिनट रुको. ए.	-నేను ఈ వయాపారానని కోలపోలేను. -ఒకక నిమిషం ఆగు. హేయ.
अब, गरेस दवारा चुना गया, जॉन पॉल का पसंदीदा भजन.	ఇపపుడు, గరేస సూచించిన విధంగా, జాన పాల కి ఇషటమెన దెవసతుతి.
कया यह मजाक है? शराब ही नहीं है?	నాతో హాసయం ఆడుతుననావా? ఇకకడ మందు లేదా?
माँ और पिताजी को गरव होता. मुझे भी गरव है.	అమమా నాననా ఉంటే గరవపడేవారు. నాకు కూడా గరవంగా ఉంది.
कुछ नहीं. मैं बस. . .	ఏమీ లేదు, నేను ఊరికే. . .
मैं देखना चाहती हूँ. चलो देखें.	నాకు చూడాలని ఉంది. చూదదాం.
पर यह मेरा पसंदीदा काम नहीं है.	కానీ అది నా అంతిమ లకషయం లాంటిది కాదు.
-मैं नहीं उतारना चाहता. -ठीक है, आ रही हूँ.	-నాకు తీయాలని లేదు. -సరే, వసతుననాను.
कया? वह हमेशा मेरी चीजें रख लेती है.	ఏంటి? తను ఎపపుడూ నా వసతువులని తీసుకుంటుంది.
वह तुमहारी बहन है.	ఆమె నీ చెలలెలు.
अरसला	ఉరసులా
मृत कमीना.	చచచాడు వెధవ.
जानती हूँ.	నాకు తెలుసు.
मैट आ गया.	మయాట వచచాడు.
हैलो, जान.	హాయ, బంగారం.
और वह शानदार होगा, है न?	అది బాగుంటుంది, కదా?
इसमें हैरानी नहीं है कि फादर डॉयल नहीं आए.	ఫాదర డోయల వెళలిపోవడంలో ఆశచరయం లేదు.
तुमहारा सैंडविच कैसा था?	నీ శాండవిచ ఎలా ఉంది?
अगर हमें इस बीमे का भुगतान करना पडा, तो हमारा वयवसाय खतम हो जाएगा.	మనం ఈ బీమాకి డబబులు చెలలిసతే, మన వయాపారం ముగిసిపోతుంది.
जब तक कि वे बुरे इरादों से नहीं घुसते हैं.	ఆహవానం లేనిదే నా ఇంటికి ఎవవరూ రారు.
है न?	సరేనా?
अगर उससे कुछ कहो, तो उसे लगता है कि तुमहें ईरषया हो रही है.	తనకి ఏదెనా చెపపు, మనం ఈరషయ పడుతుననాం అనుకుంటుంది.
यह हैरतअंगेज है. यह बेहद दरदनाक मौत थी.	నేను దిగభరాంతి చెందాను. చాలా దారుణమెన మరణం ఇది.
तुम यहाँ आस-पास नहीं रहते हो.	నువవు ఇకకడికి దగగరలో నివసించవు కదా.
ईशवर की माँ, पवितर मरियम	పవితర మేరీ మాతా, దేవుని తలలీ,
और थोडा वोडका डाला है. मैं कल से पीना छोड दूँगी.	అందులో కొదదిగా వోడకా కలిసింది. నేను రేపు మీ ఇంటికి వసతాను.
-यह गरम है. गरम है. -करिसमस का राजा आ चुका है.	-ఇది వేడిగా ఉంది. -కరిసమస రాజు వచచాడు.
मेरा कोट कहाँ है, मैमी?	నా కోటు ఎకకడ, మామీ?
तुमने यह माइकरोवेव में तो गरम नहीं किया?	దీనిని నువవు వేడి చేయలేదు, అవునా?
मैंने बरसल सपराउट बनाया है. और इनहें जयादा देर पकाया है, जैसा कि तुमहें पसंद है.	నేను బరసెలస సపరౌటస వండాను. నీకు ఇషటమెనటలే, వాటిని బాగా ఉడికించాను.
दरअसल, एक सवाल है, मिसेज विलियमस,	వాసతవంగా, వెంటనే ఒక పరశన, మిసెస విలియమస,
अब, तुम करिसमस के दिन कयों बखेडा करना चाहती हो?	ఇపపుడు, నువవు వెళలి కరిసమస రోజు పెదద గొడవ ఎందుకు చేసతావు?
पुलिस? मेरे तीन बचचे हैं. मैं जेल नहीं जा सकती.	పోలీసా? నాకు ముగగురు పిలలలు ఉననారు. నేను జెలుకు వెళలలేను.
कैसा नया दावा?	కొతత కలెయిమ ఏంటి?
जैरलड फिशर. तुमहारे पिताजी का बॉस.	జెరాలడ ఫిషర. మీ నానన యజమాని.
थॉमस कलाफिन, कलाफिन एंड संस.	థామస కలాఫిన. కలాఫిన అండ సనస నుండి.
हे भगवान, इसका सवाद भददा है.	దేవుడా, ఇది రోతగా ఉంది.
-तुम. . . तुम कया कर रही हो? -माफ करना.	-నువవు. . . ఏం చేశావు? -కషమించు.
हे भगवान.	ఓహ, దేవుడా.
हे भगवान.	ఓహ, దేవుడా.
हे भगवान.	ఓహ, దేవుడా.
युवा लोगों के लिए अजीब नाम है, नहीं?	ఈ శతాబదపు కురరాళలలో ఇది విచితరమెన పేరు, కదా?
. . . मुझे भी कुछ बताना है.	. . . నేను కూడా ఒక విషయం చెపపాలి.
-मुझे यह ठीक नहीं लगता है. -देखो.	-ఇది నా ఉదయోగం కాదు. -చూడు.
-तुमहारे लिए डरिंक खरीद सकती हूँ? -नहीं, जरूरत नहीं है.	-నీకు ఒక డరింక కొనివవనా? -లేదు. నువవు కొనదదు.
धत, एक साल हो गया.	ఛ, ఏడాది కిందట వచచాను.
तुमहारा कया मतलब है? कया मतलब तुम संदिगध हो?	అనుమానించడం అంటే ఏంటి అనుకుంటుననావు?
एक समरपित पारिवारिक वयकति, और शौकिया ठिठोलिया था.	శరదధగా కుటుంబానని చూసుకునే వాడు, ఇంకా అతను ఔతసాహిక హాసయగాడు.
कम से कम तुमने अपने समारट जूते पहने हैं.	కనీసం నువవు చకకని బూటలు తొడుకకుని సిదధంగా ఉననావు.
कया यह पहले से टूटा था, या. . .	ఇది అంతకుముందే విరిగిపోయిందా, లేక. . .
देखो, अगर तुमहें लगता है कि कोई गडबडी है, तो हम वह ढूँढ लेंगे.	చూడు, అకకడ ఏదెనా అనవేషించాలి అని నీకు అనిపిసతే, అపపుడు, మనం వెళలి వెతుకుదాం.
बात बस इतनी सी है. बात को समझो.	ఇదంతా దాని కోసమే. నా ఉదదేశం, ఇలా చూడు.
अंडा और पयाज? मानो तुमहें पता था कि मैं आने वाला हूँ.	కోడిగుడడు ఇంకా ఉలలిపాయా? నేను వసతుననటలు మీకు ముందే తెలిసినటలుంది.
तुमहें एक अचछी जैकेट चाहिए.	నీకు మంచి జాకెట అవసరం.
हाँ, यह मैं ही हूँ. तुम मुझे कैसे जानते हो?	అవును, నేనే. నువవు నాకు ఎలా తెలుసు?
तुम शानदार हो. यह आधिकारिक है.	నువవు అదభుతమెన దానివి. ఇది అధికారికం.
और हम गरेस को इससे दूर रखेंगे.	మనం గరేస ని ఈ విషయంలో దూరంగా ఉంచుదాం.
यह कुतते का बिसतर है?	ఇది కుకక పకక కదా?
यह शानदार है. कृपया, एक मसाज देना.	ఇది అదభుతమెన ఆలోచన. దయచేసి నాకు మసాజ చేయి.
वह कमीना मर चुका है, और हमें हमारी बहन वापस मिल गई. बस यही जरूरी है.	ఆ చెతతవెధవ చచచాడు, మన అకక మనకు దకకింది. అదే మనకు ముఖయం.
हाँ. हमें सच में उस कमीने की याद आएगी.	అవును. మేము నిజంగానే ఆ చెతత వెధవని మిస అవుతాము.
वह बीमा डिटेकटिव मुझसे कई सवाल पूछ रहा था.	ఆ బీమా డిటెకటివ ఇంతకుముందు ననను చాలా పరశనలు అడిగాడు.
शायद इसमें कुछ कंकड घुस गए हैं.	ఇందులో ఇసుక పడినటలు ఉంది.
मैं अपनी बहनों के साथ थी.	నేను నా చెలలెళలతో కలిసి ఉననాను.
कया हुआ? हँस कयों रही हो?	ఏంటి? దేని గురించి నవవుతుననావు?
रुको, नहीं. हम बस चाहते हैं कि तुम अपने मन की बात कहो.	ఆగు, వదదు. నువవు ఏం చెపపాలనుకుననావో అది చెపపాలని మేం కోరుకుంటుననాం.
हे भगवान. मैं अकेली रहती हूँ.	ఓహ, దేవుడా. నా ఇంటలో నేను ఉంటుననాను.
पिता, पुतर और पवितर आतमा के नाम पर. आमीन.	మనం ఈ భూమికి సమరపిసతుననాము. ఏమెన.
