जेपी!	జెపి!
मैं तुमहें जिंदगी जीना सिखाना नहीं चाहती हूँ,	నీ జీవితానని నువవు ఎలా జీవించాలో నేను చెపపనకకర లేదు,
मेरी नजरें तुम पर हैं.	నినను గమనిసతుననాను.
यह झाडियाँ देखो, जेपी.	ఈ పొదలు చూడు, జెపి.
-भगवान. -जानती हूँ.	-దేవుడా. -నాకు తెలుసు.
वह पेशाब कर रहा है?	వాడు మూతరం పోసతుననాడా?
तुम आज सावधानी से रहोगे, है न? जैरलड के साथ.	ఈ రోజు నువవు జాగరతతగా ఉంటావు, కదా? జెరాలడ తో కలిసి.
नहीं, उसे डरगस देने के बारे में. भरे हुए बाथटब में डालने के बारे में.	లేదు, అతనికి మతతు మందు ఇవవడం గురించి. తరువాత పూరతిగా నీళల టబబులో ముంచడం గురించి.
मैं उससे अभी-अभी मिली थी.	ఇంతకుముందు నేను తనని కలిశాను.
तुम ऐसे कयों रेंग रही हो?	నువవు ఎందుకు అలా పాకుతుననావు?
-जगह दो, अरसला. -ठीक है. हाँ, ठीक है.	-కొదదిగా జరుగు, ఉరసులా. -నేను. ఎకకాను, సరే.
हम कया करेंगे अगर वह वापस लौटा और हम अंदर रहे तो?	మనం ఇంటలో ఉండగా అతను తిరిగి వచచేసతే అపపుడు మనం ఏం చేదదాం?
-तुम? -मैं भी. अपराध बोध से भरी हूँ.	-నీకు? -అంతే. తపపు చేశాననే బాధ ఎకకువయింది.
पर उसके अलावा. . .	కానీ అది కాకుండా. . .
कई मरद दवाइयाँ लेते हैं.	చాలామంది వాటిని తీసుకుంటారు.
तुमहें.	నువవు.
भगवान.	దేవుడా.
भगवान.	దేవుడా.
मेरे पास यह इसलिए है कयोंकि हमारे बीच पहले जैसा रिशता नहीं रहा,	మనం ఇదివరకటిలా లేము గనుక నేను ఇది పెటటుకోవలసి వచచింది,
जगह दो.	వచచేయ.
कया हो रहा है?	ఏంటి ఈ చెతత?
भगवान!	దేవుడా!
कया हमें पुलिस बुलानी चाहिए?	మనం పోలీసులని పిలుదదామా?
हे भगवान. वह रुक रहा है.	ఓహ, దేవుడా. వాడు ఆగుతుననాడు.
कया तुम. . . कया तुम जॉन पॉल विलियमस के दोसत थे?	మీరు. . . మీరు జాన పాల విలియమస సనేహితులా?
सजावट पहले जैसी रखकर कोई फायदा नहीं होगा.	ఈ ఇంటిని అలాగే ఉంచడం కూడా బాగుండదు.
मैं बस अभी यही सोच रही हूँ कि उस बेचारे की आँख को कया हुआ.	పరసతుతం నేను ఆలోచిసతుననదంతా పాపం ఆ మనిషి కననుకు జరిగిన దాని గురించే.
कया तुम लोगों को "बिना आरोप के रिहा" का मतलब समझ नहीं आता है?	పోలీసులు "కేసు లేకుండా విడుదల" చేసతే మీకు ఏమీ పటటదా?
कया लगता है मुझे तुमहें कया बताना चाहिए?	నేను నీకు ఏం చెపపాలని ఆశిసతుననావు?
चलो भी. ठीक है. मैं इसकी हकदार थी.	దయచేసి విను. సరే. నాకు ఈ శికష పడాలసిందే.
कहते हैं कि मृतकों के बारे में बुरा नहीं बोलना चाहिए,	చనిపోయిన వారి గురించి చెడుగా చెపపవదదు అంటారు,
मैंने इस बारे में कयों नहीं सोचा?	నేను ఇలా ఎందుకు ఆలోచించలేదు?
मैंने उसकी आँख फोड दी, बैका.	నేను అతని కననుని పేలచేశాను, బెకా.
थॉमस कृपया कृपय मुझे वापस फोन करो	థామస దయచేసి దయచేసి నాకు తిరిగి ఫోన చేయి
पता नहीं. शायद वह भला सोच रहा था?	నాకు తెలియదు. ఏదెనా పొరపాటు కావచచు కదా?
-हमें जाना होगा. -हाँ.	-మేము ఇంక వెళలాలి. -అలాగే.
चलो भी, जान. हम नहीं चाहेंगे कि तुम यहाँ बिना शिकषा के लौटो.	దయచేసి విను, బంగారం. నీకు సరెన చదువు లేకుండా నువవు ఇకకడికి మళలీ రాలేవు.
मजाक कर रहा था. अंदर आ सकता हूँ?	అది ఒక జోక. లోపలికి రావచచా?
कया हम वह किसी डरिंक में डाल सकते हैं?	మనం ఆ మందుని డరింక లో కలుపుతామా?
बात यह है कि, मैं अब भी उसे देखती हूँ	విషయం ఏమిటంటే, నేను ఇపపటికీ అతని వంక చూసతాను
-कया तुम कुछ भूल नहीं रही? -माफ करना.	-నువవు ఒకటి మరచిపోయినటలుననావు కదా? -మననించు.
यह जानने के लिए कि मेरी पतनी को कया चीजें पसंद हैं	నా భారయ నిజంగా ఏం చేసతోందో తెలుసుకోవడానికి
-तुमने ऐसा कयों किया? -उसे नंगा होना होगा.	-అలా ఎందుకు చేశావు? -వాడు నగనంగా అందులో పడుకోవాలి.
-तो कया मेरी गलती है? -मैं बूढा नहीं हूँ, गरेस.	-మరి, నా తపపు అంటావా? -నేను ఇంకా ముసలోడిని కాలేదు, గరేస.
-उनहें लगता है कि तुम बुरे फैसले लेती हो? -आमतौर पर, लेती हूँ.	-నీ ఎంపికలు మంచిగా ఉండవని వాళలు అనుకుంటారా? -నేను సాధారణంగా అలాగే చేసతాను.
-कया हो रहा है? -कया वह काम नहीं कर रहा है?	-ఏం జరుగుతోంది? -ఇది పని చేయడం లేదా?
कया कहती हो?	ఏం అంటావు?
जरूर. पर मुझसे कौन शादी करेगी?	తపపకుండా. నననెవరు పెళలి చేసుకుంటారు?
पर हम तुमहारी मदद के लिए	నీకు ఉపయోగపడే విధంగా
नहीं, मजाक कर रही हूँ. यह नया है. कभी इसतेमाल नहीं हुआ.	లేదు, ఊరికే జోక చేసతుననాను. ఇవి రెండు తాజావి. ఎపపుడూ ఉపయోగించలేదు.
कया वह साँस भी ले रहा है?	వాడు అసలు శవాస తీసుకుంటుననాడా?
खैर, पर "हमने" उस आदमी की एक आँख नहीं फोडी, है न?	కానీ, ఒక మనిషిని సగం గుడడివాడిని చేసింది "మనం" కాదు, అవునా?
नाव. आज ही वह दिन है जब हम तुमहारी नाव पर सवार होंगे?	ఆ పడవ గురించి. ఈ రోజేనా దానిని బయటకు తీశావు?
अरस को बता दो कि वह वहाँ करीब आठ बजे पहुँचे.	రాతరి ఎనిమిది గంటల పరాంతంలో ఉరస ని అకకడికి చేరుకోమను.
दरअसल, आज मैं छुटटी लेने की सोच रहा था.	వాసతవంగా ఈ రోజు సెలవు తీసుకోవాలి అనుకుంటుననాను.
अगर तुमने पहचाना नहीं है. . .	ఇది ఎంత ముఖయమో నీకు తెలియకపోతే. . .
और उममीद करें कि वह रात को बाथटब में ही डूब जाए.	తనకు తానుగా నీటిలో మునిగిపోవాలని పరారథిసతూ కూడా కూరచోవచచు.
-माँ. -अलविदा, जान.	-అమమా. -ఉంటాను, బంగారం.
तुमहें कया लगता है?	నువవు ఏం ఆలోచిసతుననావు?
कया लगता है, आमतौर पर कया कारण होता है	ఒక వయకతి కంపయూటర ని పోలీసులు సవాధీనం చేసుకుంటే
हे भगवान. हे भगवान.	ఓహ, దేవుడా. ఓహ, దేవుడా.
पकका उसके पैर भारी होंगे. उसका शरीर काफी कसा हुआ है.	ఈ చెతతవెధవ కాళలు బరువుగా ఉంటాయి. వీడు ఒక ఇటుక బటటీలాగా ఎదిగాడు.
अगर वह उसे अपने साथ ले गया है तो?	అది వాడితోనే తీసుకువెళితే ఏంటి పరిసథితి?
वह एक दुरघटना थी.	అది ఒక పరమాదం.
इतनी सज-धजकर कहाँ जा रही हो?	నువవు ముసతాబయి ఎకకడికి బయలుదేరావు?
वह वापस आ गया है.	వాడు వచచేశాడు.
तो भी हमें उसे उस तक पहुँचाने का तरीका ढूँढना होगा.	దానిని అతనికి ఎలా ఎకకించాలి అననది మాతరమే మనం ఆలోచించాలసి ఉంది.
मुझे अचछे साथी के साथ जाने की उममीद थी, रॉजर.	నేను నిమమరసం తాగాలి అనుకుననాను, రోజర.
मैं हफतों से जेपी को उनहें काटने को कह रही थी.	ఆ మొకకలు కతతిరించమని జెపిని కొదది వారాలుగా అడుగుతుననాను.
अरे, हाँ. सफर कैसा रहा?	ఓహ, అవును. ఈ ఆలోచన ఎలా ఉంది?
मैं इसे यहाँ इतनी दूर कयों लेकर आया? तुमहें सरपराइज देने के लिए?	దీనిని ఇంతదూరం తీసుకువచచింది, దేని కోసం అనుకుననావు? నీకు ఆశచరయం కలిగించడానికా?
तुमहें कया लगता है तुम कैसी दिख रही हो?	నువవు ఎలా ఉననావని అనుకుంటుననావు?
हाँ. इसलिए मुझे तुम लोग पसंद हो.	అవును. కానీ, మీ అందరిలో గొపప విషయం అదే.
-मुझे तुमहारे यह रंग अचछे लगे. -अरे, हाँ.	-నువవు ఉపయోగిసతునన రంగులు నాకు నచచాయి. -ఓహ, అవును.
मुझे तुमहारे साथ नहीं जाना.	నిమమకాయని పీలచాలని అనుకోవడం లేదు.
हे भगवान.	ఓహ, దేవుడా.
तुम अचछा नाचती हो.	నీకు డానస బాగానే వచచు.
याद है, हम हमारी शादी में सोल डीजे आयोजित करने वाले थे	నీకు గురతుందా, మన పెళలి రోజున మనం సోల డిజెని పెటటుకోవాలి అనుకుననాం
ठीक था. ठीक ही था.	బాగుంది. నాకు నచచింది.
वह नई है?	ఇది కొతతదా?
-अलविदा, जान. -अलविदा, जान.	-ఉంటాను, బంగారం. -ఉంటాను, బంగారం.
उनहें दूध पसंद है.	వాళలకి పాలు అంటే ఇషటం.
हे भगवान.	ఓహ, దేవుడా.
हे भगवान.	ఓహ, దేవుడా.
-कया वह नाव निकाल रहा है? -पता नहीं.	-వాడు పడవని తీసుకువెళతుననాడా? -నాకు తెలియదు.
ठीक है, दोसतों. चलो विराम करें.	సరే, మితరులారా. ఇకకడ కొదదిసేపు ఆపుదాం.
-उसके बटन खोलो. -नहीं खोल सकती.	-వాడి చెతత బటనస విపపండి. -నా వలల కాదు.
मैं अपने बॉस, जैरलड को	నా యజమాని, జెరాలడ ని ఇందులో
इसका उससे कया लेना-देना है?	ఇందులో అతనికేం సంబంధం?
हमें वहाँ तुमहारी जरूरत है.	అకకడ నీ అవసరం ఉంటుంది.
कया मैं आ सकती हूँ? कृपया?	నేను ఒకసారి కాల చేయవచచా? దయచేసి?
कार में बैठो.	కారులోకి ఎకకండి.
मुझे पता चला कि थॉमस ने मुझसे यह बात छुपाई.	థామస ఆ విషయానని నాకు చెపపకుండా దాచాడని తెలుసుకుననాను.
-इवा? तुमने न नहीं कहा न? -चुप रहो और भागो!	-ఈవా? అది పనిచేసతోంది కదా? -నోరు మూసుకుని పరిగెతతండి!
दरअसल, शायद मुझे भी करना होगा.	నిజానికి, నేను ఈ పని చేయాలి అనుకుంటా.
घुमाने ले जा. . .	తీసుకువెళతుననాను. . .
-वह पेशाब कर रहा है. -पेशाब कर रहा है.	-వాడు మూతరం పోసతుననాడు. -వాడు మూతరం పోసతుననాడు.
तुमहारे पिताजी घर आते ही होंगे, और उनहें दोबारा गुससा मत दिलाओ.	మీ నానన తవరలో ఇంటికి తిరిగి వసతాడు, అపపుడు నువవు ఇలాంటి కోపానని పరదరశించకూడదు.
अगले टरम के लिए शुलक.	నీ తరువాతి టెరమ కోసం ఫీజు.
अरे, रॉजर. मैंने. . .	ఓహ, రోజర. నేను ఎపపుడూ. . .
हम यह करेंगे या नहीं?	మనం ఈ పని చేసతుననామా లేదా?
मेरी बचची के लिए एक और सरपराइज.	నా అమమాయికి అదనపు ఆశచరయం.
कया हम खिडकी से अंदर घुसेंगे?	మనం కిటికీ గుండా లోపలికి వెళతుననామా?
उसने उसे इतना नीचा महसूस करवाया है, बिबी.	వాడు తనని చాలా చిననబుచచాడు, బీబీ.
मॉम!	అమమా!
यह बढिया है.	అది గొపప విషయం.
कया?	ఏంటి?
मैं असपताल से कुछ चुरा सकती हूँ.	మా హాసపిటల నుండి నేను కొంత తీసుకురాగలను.
हैलो, मारगो. तुमहें यहाँ वापस देखकर अचछा लगा.	హాయ, మారగో. నువవు మళలీ రావడం సంతోషం.
पर तुमहारी रेखाएँ देखकर पता चलता है	మీ గీతని చూసి నేను చెపపగలను,
हमेशा से इसे यहीं रखना चाहती थी, पर. . .	ఇది ఇకకడ ఉండాలని చాలాకాలంగా కోరుకుననాను, కానీ. . .
कया?	ఏంటి?
डांस के लिए धनयवाद, मोहतरमा.	డానస చేసినందుకు ధనయవాదాలు, మె లేడీ.
हैलो.	హలో.
तुमहें जलन तो नहीं हुई थी? रॉजर को लेकर?	ఇంతకుముందు నువవు అసూయ పడడావు, అవునా? రోజర విషయంలో?
-हे भगवान. -हाँ.	-ఓహ, దేవుడా. -అవును.
जेपी, कया हो रहा है?	జెపి, ఇదంతా దేని గురించి?
-रुको! -चलो!	-ఆగండి! -వచచేయ!
अगर वह पुलिस बुला रहा हो तो?	వాడు పోలీసులని పిలిసతే అపపుడు ఏంటి?
तुमने उनसे ऐसा कयों कहा? तुमहें कया फायदा होगा?	ఆ విషయం ఆమెకు ఎందుకు చెపపావు? దాని వలల నీకేం ఆనందం వసతుంది?
तुमहें कैसे पता वह खाना लेने जाएगा?	వాడు తినడానికి బయటకు వెళతాడని నీకెలా తెలుసు?
वाइन ले रही हूँ और मिन से मिलने आई हूँ.	వెన తీసుకుని మిన ని చూసతుననాను.
उसकी है. बेशक उसकी गलती है.	అది అతని తపపు. తపపకుండా అతని తపపే.
मेरे पास सारा सामान है.	నా దగగర పరికరాలు అననీ ఉననాయి.
बैका गारवी आठ हजार यूरो	బెకా గారవీ ఎనిమిది వేల యూరోలు
-एक अंतर होता है. -कया?	-ఒక వయతయాసం ఉంది. -కషమించండి?
नहीं, यह तुमहारे लिए है.	లేదు, ఇది నీ కోసమే.
-जे. . . हे भगवान. वह गिर गया! -हम वही चाहते हैं, बेवकूफ.	-జె. . . ఓహ, దేవుడా. వాడు నీటిలో పడిపోయాడు! -మనకి అదే కావాలి, పిచచిదానా.
करीब हैं. पर तुम एक कलाफिन हो.	మేము ఉంటాము. కానీ నువవు కలాఫిన వి కదా.
भगवान. अंदर आओ.	దేవుడా. లోపలికి రా.
हम सभी बलानड के बिसतर के नीचे छुपेंगे.	మనం బలానడ మంచం కింద దాకకుందాం.
जानती हूँ, और मुझे खुशी होगी कि तुम अंदर आकर उसे बेहतर महसूस करवाओ,	నాకు తెలుసు, మీరు లోపలికి వచచి ఆమెను ఆ బాధ నుండి బయటపడేయాలని నేను కూడా అనుకుంటుననాను,
वही है जो बेकार हो गया है.	అతనే సతతువలేని ముసలోడు అయిపోయాడు.
कि कया इसकी संभावना है कि तुमहारे पति ने आतमहतया की.	మీ భరత తనకు తాను చంపుకోవలసిన పరిసథితి ఎందుకు వచచిందో తెలుసుకోవాలి.
मुझे लगता है कि तुम कुछ अरसे से अलग बरताव कर रही हो.	కొదదికాలంగా నేను నీతో సరిగగా మాటలాడలేకపోతుననానని నాకు అనిపిసతోంది.
-पर तुम कयों परेशान हो? -बिबी अब भी मेरा फोन नहीं उठा रही है.	-నీకు ఏమెంది? -బీబీ ఇపపటికీ నా ఫోనలు తీయడం లేదు.
अभी तुम हमारी जिंदगियाँ कठिन बना रहे हो, तो. . .	నువవు పరసతుతం మా జీవితాలను విషాదంగా మారుసతుననావు, కాబటటి. . .
तुमने केवल यही गलती की कि तुमने सोचा कि यह तुमहारा बदला था.	నువవు చేసిన పొరపాటు ఏదెనా ఉందీ అంటే అది ఇదంతా నీ కోసమే జరిగిందని ఆలోచించడం.
मेरी बात धयान से सुनो.	నీకు ఒక విషయం చెబుతాను విను.
तुमहारी किताब?	నీ పుసతకమా?
अगर मेरी याददाशत सही है, तो उसे तैरना नहीं आता है, है न?	వాడికి ఈత రాదని నాకు సరిగగా గురతుంది, అవునా?
सामने दीवार है. मैंने तुमहें पकड रखा है.	మీరు గోడ వెపు వెళతుననారు. మిమమలని నేను పటటుకుననాను.
हाँ. आ रहा हूँ. दो मिनटों में पहुँचूँगा.	అవును. నీ దగగరకే వసతుననాను. రెండు నిమిషాలలో ఉంటాను.
-कया. . . तुमने कयों. . . कया? -कया हुआ?	-ఏంటి ఈ చెతత. . . ఎందుకిలా చేశావు. . . ఏంటి? -ఏంటి?
कया तुम चाहती हो मैं पैंट पहनूँ?	ననను పయాంటు వేసుకోమంటావా?
पेशाब करने के लिए अचछा समय चुना, अरसला.	మూతరం పోయడానికి ఎంత గొపప సమయం తీసుకుననావు, ఉరసులా.
बेशक नहीं उठाएगी. वह शरमिंदा है और उसे होना भी चाहिए.	అవును, తను తీయదు. తను సిగగుతో కుచించుకుపోతోంది, అందుకు ఆమె అరహురాలు.
मुझे पता है तुमहारे पास फोन न उठाने के जायज कारण हैं.	ఏదో ముఖయమెన కారణం లేకపోతే తపప నువవు ఫోన తీయకుండా ఉండవని నాకు తెలుసు.
मैं उसे खुश करने के लिए नाव पर ले जा रहा हूँ.	ఇది మభయపెటటే కుటర, అందుకే ఈ బంగారం.
याद है?	గురతుందా?
हे भगवान.	దేవుడా.
पर अगर इससे तुमहारे इकलौते भाई के साथ रिशता टूटा,	కానీ దాని కోసం నీ ఒకకగానొకక అననయయతో అనుబంధానని తెంచుకోవడం అంటే,
-हाँ. -सच में?	-అవును. -నిజంగానా?
हाँ, पर, मेरे पास है.	సరే, కానీ, నేను పోగొటటలేదు.
मुझे बाँहों में लोगे?	నీ చేతులు నా చుటటూ ఉంచగలవా?
मुझे लगा था मुझे हक था. अपना बदला लेने का हक था.	నేను రుణపడి ఉననాను అనుకుంటా. నా మీద నేనే పరతీకారం తీరచుకోవాలి.
ठीक है. बाथटब भर रहा है.	సరే. టబబులో నీళలు నిండుతుననాయి.
इसलिए कई रेप सुनवाइयाँ सफल नहीं होती हैं.	ఆ కారణం వలలనే చాలా రేప కేసులు విచారణలో వీగిపోతుంటాయి.
तो, मैं उसे बता दूँगी कि तुम लौट आई हो और योजना आगे बढेगी.	సరే, నువవు తిరిగి వచచావని, అనుకునన పరకారం పథకం అమలు చేసతామని తనకి చెబుతాను.
-वह मेरी दोसत है. -उसने आपसे यही कहा?	-తను నా సనేహితురాలు. -ఆ విషయం ఆమె నీకు చెపపిందా?
मैं आरट में अचछी थी.	నేను కళలలో బాగుండే దానిని.
मैंने फोन किया और संदेश भेजा वह जवाब नहीं दे रही है.	ఫోన ఇంకా మెసేజ చేశాను తను జవాబు ఇవవలేదు.
बेशक समसया उसमें है.	ఖచచితంగా ఇది అతని పొరపాటే.
पकका गरैंट के साथ काफी मसती कर रही होगी.	అయితే గరాంట తో నీకు బాగానే సాగుతోందని అరథం అవుతోంది.
कुछ नहीं. बस. . . तुमहें मेरी पतनी का चेहरा देखना चाहिए.	ఏమీ లేదు. కేవలం. . . మీరు నా భారయని చూడాలి.
तुमहें थाने से फोन करने का मौका दिया जाएगा.	మీకు పోలీస సటేషన లో మాతరమే ఫోన చేయడానికి అనుమతి ఉంటుంది.
पर उसकी दिमागी हालत ठीक नहीं है. माफ कर दो.	కానీ తను ఎపపటిలా లేదు. కషమించండి.
तुमहारे साथ कोई समसया नहीं है.	నీలో ఎటువంటి లోపం లేదు.
माफ करना. अभी उससे बात नहीं हो सकती.	కషమించాలి. పరసతుతం ఆమె ఎవవరితోనూ మాటలాడటం లేదు.
जयादा बोल गई?	మరీ పిచచిగా ఉందా?
और अगर यह सच में उतना बडा है, तो हम दोनों बच जाएँगे.	అది నేను ఊహించినంత పెదదదే అయితే, అది మన ఇదదరి జీవితాలని కాపాడుతుంది.
और फिर बलानड की बारी आएगी.	ఆ తరువాత బలానడ పరిసథితి కూడా అంతే.
मैं बस कॉरिडोर में खडा था.	నేను ఊరికే ఆ కారిడార లో నిలబడడాను.
कया तुम भविषय देख सकती हो?	నీకు ఏమెనా అతీందరియ శకతులు ఉననాయా?
है न? उसे असपताल से डरगस चुराने को कहूँगी.	సరేనా? ఆ మెడికల దుకాణంలో తనని కొదదిగా షాపింగ చేయనిదదాం.
शायद यह बस शादी की वजह से है.	బహుశా అది పెళలి వలల అలా అనిపిసతుండచచు.
उसे बस यहाँ आकर मेरी विरासत पीने का बहाना चाहिए.	ఏదో పాత సాకు చెపపి నా వారసతవ సంపద అంతా వచచి తాగేయాలని చూసతోంది.
हाँ. आजकल लोग मदद नहीं करते हैं.	అవును. ఈ రోజులలో సాయం దొరకడం కషటమెపోతోంది.
नहीं, शायद नहीं.	లేదు, బహుశా అది కాదు.
मैं हाथ पकडूँगी.	వాడి చేయి పటటుకుందాం.
वह कया करना चाहता है?	వాడి ఆలోచన ఏంటి?
मैं चारों तरफ से काफी दबाव में हूँ.	నేను అనని రకాలుగా చాలా ఒతతిళలు ఎదురకొంటుననాను.
कि उसने आतमहतया करने की पहली कोशिश, ठीक से नहीं की थी.	మొదటిసారి అతను ఆతమహతయ చేసుకోవాలి అనుకుననపపుడు అతను సరిగగా పరయతనించలేదు.
तुमहारे चेहरे को कया हुआ?	మీ ముఖానికి ఏమెంది?
कल रात, गरेस बलानड को गॉलवे ले जा रही है.	రేపు రాతరి, బలానడ తో పాటు గరేస కూడా గాలవేకి వెళుతోంది.
मुझे अंदाजा नहीं था कि तुम मुझसे इतनी नाखुश हो.	నువవు నా విషయంలో ఇంత అసంతృపతిగా ఉననావని నాకు నిజంగా తెలియలేదు.
आमतौर पर, माँएँ चिंतित होती हैं, पर थेरेसा ठीक है.	తలలులు అయయాక ఆడవారిలో అది ఉంటుంది అంటారు, కానీ థెరెసా బాగానే ఉంది.
-अंदर बैठो. -बैठ रही हूँ.	-లోపలికి రండి. -నేను ఎకకుతుననాను.
तो रात को किसी समय, वह खाना लेने के लिए बाहर निकलेगा.	కాబటటి ఈ రాతరికి ఏదో ఒక సమయంలో, వాడు ఏదో చెతత తినడానికి బయటకు వెళతాడు.
तुम सामान दोबारा सजा रही हो?	మీరు ఇంటిని కొదదిగా మారచినటలు ఉననారు?
इसे हटाते हुए चोट लगने वाली थी.	దీనిని మారచుతుననపపుడు గాయాలు కూడా అయయాయి.
मैंने कई कमीनों को डेट किया है.	నేను కొందరు తిరుగుబోతులతో కలిసి తిరిగాను.
जब बचचे पैदा कर लो, तब यह कहना.	ఒకరిదదరు పిలలలని కని అపపుడు నాతో మాటలాడు.
हम उसके पीछे नहीं जा रहे हैं न?	మనం అంత తీవరంగా వాడిని వేటాడటం లేదు, కదా?
एक आँख वाली महिला वहाँ बंदूक चलाने कयों गई थी?	ఆ ఒంటి కనను మహిళ తుపాకీ పటటుకుని అకకడికి అసలు ఎందుకు వచచింది?
पर अगर तुम तुरंत घर नहीं लौटी, तो पता नहीं मैं कया करूँगा.	కానీ ఇపపుడు నువవు ఇంటికి తిరిగి రాకపోతే, నేను ఏం చేసతానో ఆ దేవుడికే తెలియాలి.
रोहिपनॉल पकडा नहीं जाता है. उसका कोई सुराग नहीं बचता है.	రోహిపనాల దొరకదు. దాని ఆనవాళలు కూడా దొరకవు.
अगर तुमहें कोई काम नहीं है, तो हम मिलकर कुछ कर सकते हैं.	నువవు ఖాళీగా ఉంటే, మనం కలిసి ఏదెనా చేయచచు.
सच में? तुम सब काफी करीब लगती हो.	నిజంగానా? మీరంతా చాలా సననిహితంగా ఉంటారు కదా.
मैट	మయాట
तुम ठीक हो, अजनबी?	బాగుననావా, అపరిచితురాలా?
-अभी आई. -तुम पॉरन भी देखती हो? हाँ?	-వచచేసతుననాను. -బూతు దృశయాలు కూడానా? చూసతుననావా?
हे भगवान. तुमहें कया परेशानी है?	ఓహ, దేవుడా. నీకు ఏమెంది?
चलो! वह बेहोश हो गया है.	రండి! వాడు నిదరలోకి జారుకుననాడు.
मेरे सतन.	నా చనుమొనలు.
वह कहाँ जा रहा है?	వాడు ఎకకడికి వెళతుననాడు?
हम समुदर में जा सकते हैं. मछली पकड सकते हैं. ताजी हवा में साँस ले सकते हैं.	మనం వెళలచచు. చేపలు పటటచచు. ఇంతకననా మంచి గాలిని పీలచవచచు.
पर अंदर जो है, उसका कया? वह इसका हकदार नहीं था.	కానీ, అకకడ ఆ వయకతి గురించి ఏంటి? అతను ఆ శికషకు అరహుడు కాడు కదా.
हम उसे डरगस देंगे और भरे हुए बाथटब में डालेंगे.	మనం అతనికి బలమెన మతతు మందు ఇచచి పూరతి నీటి టబబులో పెటటబోతుననాం.
-दूध में डालेंगे. -हम दूध में नहीं डालेंगे.	-పాలలలో పెడదాం. -పాలలలో పెటటదదు.
वैसे, मुझे अभी-अभी पता चला कि मेरे डैड यूँ ही अचानक नहीं मरे.	సరే, మా నానన గురించి నేను ఈ మధయనే ఒక విషయం తెలుసుకుననాను. ఆయన మామూలుగా చనిపోలేదని.
तो अब मैं कमीना हूँ?	అయితే నేను వకరబుదధి అంటావా?
-कुछ ऐसी चीज में डालना होगा जो. . . -उसके नाक का सपरे.	-ఇంకేదయినా ఉండాలి. . . -అతని ముకకు సపరే.
काफी तेज डरगस होंगे.	ఇది ఎకకువ డోసు అయి ఉంటుంది.
पता नहीं मैं उससे मिलने कयों आई. उसी ने मुझे घूँसा मारा था.	నేను ఎందుకు తన కోసం వచచానో నాకే తెలియడం లేదు. తనే నా పెదాలు చిటలిపోయేలా చేసింది.
उनका कहा मानो.	ఆమె చెపపినటలు చేయి.
पुलिस ने इतनी आसानी से नहीं छोडा था.	పోలీసుల పహారా లేనపపుడు చాలా ఇబబందులు ఎదురకొననారు.
हाँ. इससे पहले कि वह किसी को ठोके, उसे रोको.	అవును. వాడు ఇంకెవరినెనా చంపేయడానికి ముందే వాడిని పటటుకోవాలి.
मैं एक सथानीय पिता हूँ और मुझे एक आदमी को लेकर चेतावनी देनी है.	నేను సథానికంగా నివసించే తండరిని, ఇంకా నేను ఒక వయకతి గురించి హెచచరించాలి అనుకుంటుననాను.
तो, अब किसी और को चोट नहीं पहुँचनी चाहिए.	సరే, ఇంక వేరే నషటాలు జరగకూడదు.
इलाज आजमा सकते हैं.	మనం చికితసకి పరయతనించవచచు.
उसका भी यही हाल था.	అతను కూడా నీలాగే ఉండేవాడు.
तो खुद से पूछो, "कया तुम कारण हो सकती हो? "	కాబటటి నినను నువవే పరశనించుకో, "ఇందుకు కారణం నేనేనా? " అని.
तो, हाँ.	సరే, అలాగే.
हे भगवान. मुझमें ही समसया है.	ఓహ, దేవుడా. నా విషయంలోనే ఇలా జరుగుతోంది.
तुमहारे दोनों अंडकोष मेरे छोटे शॉरटस से बाहर निकल रहे हैं.	నా షారటులో నుంచి నీ వృషణాలు బయటకొసతుననాయి.
मुझे चिंता है कि वह उसे परताडित कर रहा है.	మా అబబాయిని అతను లెంగికంగా హింసిసతుననాడని నాకు భయంగా ఉంది.
-कमीनी कहीं की. -बचचों! झगडा मत करो.	-నువవు ఒక కుతంతరాల ఆడదానివి. -పిలలలూ! కాసత తగగండి.
जलद ही वह खतम हो जाएगी.	కొదదిరోజులలో తనలో ఇంకేమీ మిగలదు.
अरे, हाँ. हाँ. मैं उसका नाम बताने को राजी हूँ. हाँ.	ఓహ, అవును. అవును. అతని పేరుని చెపపడానికి నేను సిదధంగా ఉననాను. చెబుతాను.
कि तुम अंतरंग भागों को बनाते हुए घबराती हो.	మీరు శరీరంలో మరమ అవయవాలను గీసతుననపపుడు కొదదిగా భయపడుతుననారు.
-बला, मुझे तुमसे पयार है. -मुझे भी.	-బలా, నినను పరేమిసతుననా. -నినను కూడా పరేమిసతుననా.
रॉजर ने तुमहारे लिए उनहें काट दिया.	రోజర, మంచివాడు, నీ కోసం వాటిని కతతిరించి పెటటాడు.
यह कैसी दया है?	అది ఏ విధంగా మంచితనం?
नहीं, हमें यह बंद करना होगा.	లేదు, ఇది ఇంక ఆగాలి.
मलिन-सैरा गोजिन दवारा निरमित	మాలిన శారా గోజిన రచన
हे भगवान. वह उसे ठोकने वाला. . .	ఓహ, దేవుడా. వాడు దానిని ఢీ కొటటబోతుననాడు. . .
उसे बिसतर में काफी जगह चाहिए.	మంచం మీద కూడా తనే ఎకకువ ఆకరమించుకుంటుంది.
