एमबुलेंस	అంబులెనస
हम दोनों जानते हैं कि उस रात तुम मुझसे कया करवाना चाहती थी.	ఆ రాతరి నువవు నా నుంచి ఏం ఆశించావో మన ఇదదరికీ తెలుసు.
मुझे बलानड को तैराकी के लिए ले जाना है.	బలానడ ని సవిమమింగ కి తీసుకువెళలాలి.
मुझे घृणा हुई. जो तुमने मुझे करने को कहा, उससे मुझे घृणा हुई.	నాకు విరకతి కలిగింది. ననను నువవు అడిగిన పనికి, నాకు విరకతి కలిగింది.
मैं बलानड को कैसे बताऊँगी?	బలానడ కి ఈ విషయం ఎలా చెపపాలి?
मैं विकलो में कैबिन में गया था. मुझे पता है जेपी के साथ कया हुआ था.	నేను వికలో కయాబిన కి వచచాను. జెపికి ఏం జరిగిందో నాకు తెలుసు.
-और यह भी पता है कि तुम झूठ बोल रही हो. -मैंने हतया की, मैट.	-నువవు అబదధం చెబుతుననావని కూడా నాకు తెలుసు. -నేనే హతయ చేశాను, మయాట.
ए. बेशक तुमहें दुःख हुआ था, गरेसी.	హేయ. నువవు బాధపడటంలో అరథం ఉంది, గరేసీ.
अगर उनहें कोई सुराग मिल गया हो तो?	వాళలు ఇపపుడు ఏదెనా విచారణ మొదలుపెడితే?
मुझे सूप पीना है.	నాకు ఇకకడ సూప ఇషటం.
बस आज रात के लिए.	కేవలం ఈ రాతరి వరకూ.
तुमने जो किया, मैंने कभी उसके लिए तुमहें धनयवाद नहीं कहा.	నువవు చేసిన సాయానికి నేను ఎపపుడూ కృతజఞతలు చెపపలేదు.
मैट को पता है कि जिस रात जॉन पॉल मरा था, हम एक साथ नहीं थे.	జాన పాల చనిపోయిన రాతరి మనం అంతా కలిసి లేమని మయాట కి తెలిసిపోయింది.
उस महिला को बीमा राशि दे दो.	ఆమె కలెయిమ ని చెలలించండి.
कयोंकि भले ही हमने उसकी हतया नहीं की. . .	ఎందుకంటే మేము అతడిని చంపి ఉండకపోవచచు కానీ. . .
और फिर मैंने ऊपर देखा, और वह वहीं खडा था.	అపపుడు నేను పెకి చూశాను, అతను అకకడ కనిపించాడు.
नहीं. मेरा लिंग बडा और बैंगनी होता रहता है. मैं कया करूँ?	లేదు. నా అంగం పెదదగా వంగపండు రంగులోకి మారుతోంది. నేను ఏం చేయాలి?
कया. . .	ఏంటి. . .
सही कहा.	ఖచచితంగా.
मुझे इस रिशते से निकलना है, अरस.	ఇది ఇంక ముగిసిపోవడం నాకు అవసరం, ఉరస.
अरे, अरस.	ఓహ, ఉరస.
तुमने इवा के साथ सेकस किया?	నువవు ఈవాతో సెకస చేశావా?
तुमने कया किया था?	నువవు ఏం చేశావు?
खैर. . .	అంటే. . .
अरे, मैं बताने वाली थी. मैं बताने वाली थी. मैं अगली सुबह बताने वाली थी, बस. . .	నేను చెపపాలనే అనుకుననాను. నేను చెపపేదానినే. నేను ఆ మరుసటి రోజే నీకు చెపపబోయాను, కానీ. . .
-उसने हमारी जिंदगियाँ बरबाद कर दीं. -और गरेस ने उसे मार दिया. उसने उसकी हतया की.	-మా జీవితాలని నాశనం చేశాడు. -కానీ గరేస అతడిని చంపింది. ఆమె హతయ చేసింది.
मैंने उसे अपने ऑफिस में छुपते हुए देखा.	అతను తన ఆఫీసులోనే దాకకుని ఉండటం నేను చూశాను.
-ए. -तुम कया कर रही हो?	-హేయ. -ఇకకడ ఏం చేసతుననారు?
ठीक है, मैं बस कुछ चीजों के बारे में पूछना चाहता हूँ	సరే, కొనని విషయాలు నాకు ఇంకా అయోమయంగానే ఉననాయి
कया तुमने कहीं रख दिया?	దానితో నువవు ఏమెనా చేశావా?
उसने कहा कि वह उस रात उसे माफ करने कैबिन में गया था. तुमने उसे वहाँ देखा था?	అతడిని కషమించడం కోసం ఆ రాతరి అతను కయాబిన కి వెళలాడని చెపపాడు. అకకడ అతడిని మీరు చూశారా?
किसी को इससे अकेले निपटने की जरूरत नहीं है.	మనలో ఎవవరమూ దీనిని ఒంటరిగా భరించకూడదు.
वह मैं नहीं हूँ जिसने अपने पति से अपना अवैध संबंध छुपाने के लिए किसी की हतया करने की कोशिश की.	నా అకరమ సంబంధం గురించి నా భరతకి తెలియకూడదని ఒక వయకతిని చంపాలని అనుకుననది నేను కాదు.
और अगर उसने वह कहा था, तो उसने वही किया होगा.	అతను చెపపింది అదే అయితే, అతను అకకడికే వెళలి ఉండాలి.
-इसलिए जयादा पी ली. तुमने मुझे अचछी सीख दी है. -उससे ऐसे बात मत करो!	-అందుకే తాగాను. నాకు బాగా బుదధి చెపపావు. -తనతో అలా మాటలాడకు!
मैंने सोचा भी नहीं था कि मैं हो सकती हूँ. . .	గరభవతిని అవుతానని కూడా ఆలోచించలేదు కానీ అయయాను. . .
और मैं उसका सामान समेट रही हूँ मानो वह कभी यहाँ था ही नहीं.	కానీ నేను అపపుడే తను అసలు ఇకకడ ఉండనటలే అతని జీవితానని సరదేసతుననాను.
वह यहाँ जरूर मौजूद था.	అతను ఇకకడే ఎపపుడూ ఉంటాడు.
एक बार तुमने कहा था कि तुम मेरे लिए कुछ भी करोगे.	నా కోసం ఏమెనా చేసతానని ఒకసారి నాతో చెపపావు.
कई घंटों से मरा पडा था, इवा.	చనిపోయి కొనని గంటలు అయింది, ఈవా.
मैं बेन के साथ थी. तुम यह जानती हो.	నేను బెన తో ఉననాను. ఆ విషయం నీకు తెలుసు.
तुमहें लगता है कि शायद वही इसमें शामिल है?	జెపి హతయలో అతని పాతర ఏమెనా ఉండచచు అనుకుంటుననావా?
तुम रॉजर हो न? मैथयू कलाफिन.	రోజర, మీరేనా? నేను మాథయూ కలాఫిన.
-कयोंकि इसने नहीं किया. -ठीक है.	-ఎందుకంటే తను చేయలేదు. -సరే.
अरसला एक नरस है.	ఉరసులా ఒక నరస.
और मैं पूरी तरह से नशे में था, और मुझे लगा कि वह तुम थी,	నేను తాగిన మెకంలో ఏం ఆలోచించలేకపోయాను, ఇంక అది నువవే అనుకుననాను,
तुमहें कैसे. . .	నువవు ఎలా. . .
-कया मतलब? -उसके पाजामे में.	-నీ ఉదదేశం ఏంటి? -అతని పెజామాలు.
तो. . .	సరే. . .
मैंने उसके लिए इनहें आरामदायक बनाया था.	అతని కోసం వీటిని మెతతబడేలా చేశాను.
मुझे बस थोडा और सावधान होना होगा, है न?	నేను మరింత జాగరతతగా ఉండాలి, అవునా?
-कृपया, बैठो. -हाँ. धनयवाद.	-దయచేసి, కూరచో. -అలాగే. థాంకయూ.
जब भी मैं कमरे में आती हूँ, तुम लोग बातें करना बंद कर देती हो.	నేను ఎపపుడు గదిలోకి వచచినా, మీరు మాటలాడటం ఆపేసతుననారు.
उसे यहाँ होना चाहिए था.	తను ఇకకడ ఉండాలి కదా.
मुझे बस अभी-अभी. . .	నేను ఇపపుడే వచచాను. . .
मैं यह अभी नहीं करूँगा.	నేను ఇపపుడు చేయలేను.
-छोडो मुझे! झूठे कहीं के! -मैमी. मै. . .	-నాకు దూరంగా వెళలు! అబదధాలకోరు! -మామీ. మా. . .
मैं उसे रोक नहीं पाई	నేను అతడిని ఆపలేకపోయాను
कया कर रही हो? तुम कया कर रही हो?	ఏంటి ఈ చెతత? ఏం చేయాలని అనుకుంటుననావు?
-उसे यह कैसे पता चला? -तुम मैट के साथ कयों थी?	-అది అతనికెలా తెలిసింది? -ఏంటి, నువవు మయాట తో ఉననావా?
मैं बस तुमहें चूमना चाहती थी, जान. मैं बस. . .	కేవలం నినను ముదదాడాలి అనుకుననా, బేబీ. నేను కేవలం. . .
और बारमेड ने कहा कि उसने तुमहें वहाँ देखा था.	నినను అకకడ చూసినటలు బార మెయిడ చెపపింది.
मुझे माफ कर दो.	ననను కషమించు.
मुझे माफ कर दो.	ననను కషమించు.
मेरा मतलब, तुम कुछ भी नहीं हो.	నా ఉదదేశం, నువవు ఏమీ కావు.
चाहे गरेस के साथ जो भी हो, हमने हतया छुपाने की कोशिश की. . .	గరేస కి ఏం జరిగినా కూడా, మనం ఆ హతయని కపపిపుచచాం. . .
वह अचछा करम था.	అది మంచి పని.
बेलजियन सीरीज "कलैन" पर आधारित	బెలజియన సిరీస కలాన ఆధారంగా
और उसके बाद जो हुआ, उसने उसके लिए भी मुझ पर दोष डालने की कोशिश की.	అది జరిగిన తరువాత తను ననను నిందించాలని కూడా పరయతనించింది.
-रुको! -नहीं, मत रुको!	-ఆగు! -వదదు, ఆగదదు!
तो, तुम और तुमहारी बहनें उस रात साथ नहीं थीं, है न?	కాబటటి, నువవూ మీ సిసటరస ఒక దగగర లేరు, అవునా?
कयोंकि मैं बस. . . मैं. . . कयोंकि मुझसे नहीं हुआ.	ఎందుకంటే నేను కేవలం. . . నేను. . . ఎందుకంటే నా వలల కాలేదు.
तो तुम यहाँ से जा रही हो.	నువవు ఇలలు మారిపోతుననావు కదా.
देखो तुमहें. वेट सूट पहना है.	నినను చూడు. చెతత వెట సూట.
वैसे, शायद तुमने साथ मिलकर यह किया हो. तुम दोनों के पास कई कारण हैं.	కానీ, మీరిదదరూ కలిసి అతడిని చంపేసి ఉండచచు కదా. మీకు అందుకు చాలా కారణాలు ఉననాయి.
बस हमारी पूरी जिंदगियाँ खतरे में हैं.	మా జీవితాలు మాతరం ఇకకడ పరమాదంలో పడి ఉననాయి.
हैलो? मैमी? मैमी कहाँ है? किसी ने मैमी को देखा है?	హలో? మామీ? మామీ ఎకకడ? ఎవరెనా మామీని చూశారా?
मैं कल रात सो नहीं पाया.	నినన రాతరి నాకు నిదరపటటలేదు.
यह डॉनल के लिए ठीक है? दोनों का एक जैसा ही मजाकिया अंदाज था.	ఇది డోనల కి సరిపోతుందా? వాళలిదదరికీ ఒక రకమెన సెనస ఆఫ హయూమర ఉందనుకుంటా.
गरेस, हमें और बकसे चाहिए होंगे, जान.	గరేస, మనకి ఇంకొనని బాకసులు కావాలి, బంగారం.
दरअसल, इवा, तुमने साफ कहा था कि तुम ही यह करोगी.	నిజానికి, ఈవా, ఈ పని చేసతానని నువవు సపషటంగా చెపపావు కదా.
मैं पब में नशे में धुत हो गई थी! कमबखत मिस मारपल.	నేను పబ లో తపపతాగి ఉననాను! మిస చెతత మారపల.
सालों पहले. दस साल पहले.	చాలా ఏళల కిందట. పదేళల కిందట.
मेरी बात सुनो.	నా మాట విను.
कम जिममेदारी, या. . .	ఆతమరకషణ, లేదా. . .
ठीक है, पागल कहीं की.	అలాగే, పిచచిమొహమా.
मेरा जनमदिन था, और मैं बस अपने पति के साथ समय बिताना चाहती थी.	ఇది నా పుటటినరోజు, నా భరతతో కలిసి ఉండాలని అనుకుననాను.
तुम आजमाना चाहोगी? देखना चाहोगी कया होगा?	అది చూసతావా? ఏం జరుగుతుందో చూసతావా?
मुझे पता है उसने तुमहारा बलातकार किया था.	అతను నినను రేప చేశాడని నాకు తెలుసు.
वैसे तुमने पेंटो का कया किया?	ఆ పెంటో టాబలెట తో నేను ఏం చేయగలను?
कई घंटों से मरा पडा था.	చనిపోయి కొనని గంటలు అయింది.
मैंने सब बरबाद कर दिया.	నేను అంతా పాడు చేసుకుననాను.
किस बहन ने, जॉन पॉल? किसने?	ఏ సిసటర, జాన పాల? ఎవరు?
वह मैंने किया था.	ఆ నేరం చేసింది నేనే.
और तुम कहाँ थी? मिना के मरने के बाद, तुम बिलकुल अपने नियंतरण में नहीं थी.	మరి నువవు ఎకకడికి వెళలావు? మినా చనిపోయాక నీ మతి చలించింది కదా.
तो यह तब हुआ जब हम मेरे जनमदिन पर यहाँ आए थे?	అయితే నా పుటటినరోజున మనం ఇకకడికి వచచినపపుడు జరిగిందా?
तुमने उसकी जिंदगी बरबाद कर दी, हैवान कहीं के!	నువవు తన జీవితానని నాశనం చేశావు, చెతత రాకషసుడు నువవు!
मैं अपनी बहनों के पास जा रही हूँ.	నా సిసటరస దగగరకి వెళతుననాను.
-ए! हम पानी में उतरेंगे या नहीं? -उतरो.	-ఓయ! మనం నీటిలోకి వెళతుననామా లేదా? -పదండి మరి.
कया तुम उममीद कर रही हो कि वह सपीडो पहना हुआ कमीना गिर जाए?	ఆ డరాయర వేసుకునన వెధవ నీళలలో పడతాడు అనుకుంటుననావా?
पर वह झूठ कयों बोलेगा?	అతను ఎందుకు అబదధం చెపపాడు?
ठीक है, अगर इस कमरे में मौजूद किसी ने यह किया, तो अभी बताना होगा.	సరే, ఇకకడ ఈ గదిలో మనలో ఎవరెనా చేసి ఉంటే, బయటకి చెపపాలి.
और मुझे याद है मैं दरवाजा बंद नहीं कर पाई थी.	నేను ఆ తలుపు లాక చేయలేకపోవడం గురతుంది.
बलानड, तुम सुंदर लग रही हो.	బలానడ, నువవు చాలా అందంగా ఉననావు.
और वह शानदार था.	అది చకకగా గడిచింది.
मैं बस सोने चली गई.	నేను పడుకుననాను.
हे भगवान. उसे अभी-अभी दफनाया गया	అయయో, దేవుడా. అతడిని ఇందాకే ఖననం చేశాం
अगर मैंने अभी वह बतती बुझा दी, तुमहारा वजूद ही मिट जाएगा.	ఇపపుడు ఈ లెట ఆరపేసతే, కనీసం నీ ఉనికి కూడా ఉండదు.
वह यातनाएँ देता था.	జెపి ఒక దుషటుడు.
-चलो. -चलो, इवा!	-పద. -పోనివవు, ఈవా!
तुमहें इस बारे में पता था. तुमहें पोसटमॉरटम के बारे में पता था.	మీకు ఆ విషయం తెలుసు. మీకు పోసట మారటెమ గురించి తెలుసు.
देखो, तुम जेल नहीं जाओगे, थॉमस, समझे?	చూడు, నువవు జెలుకు వెళలడం లేదు, థామస, సరేనా?
मुझे कलम नहीं मिल रहा है.	నాకు పెన దొరకడం లేదు.
कया? तुमहारा कया मतलब है?	ఏంటి? నీ ఉదదేశం ఏంటి?
मुझे भी आपसे पयार है, माँ.	నినను కూడా పరేమిసతుననాను, అమమా.
कया तुमने उसका बलातकार किया, जॉन पॉल?	నువవు తనని రేప చేశావా, జాన పాల?
बैका, मैं तुमहारे घर आ रही हूँ.	బెకా, నేను నీ దగగరకి ఇపపుడు వసతుననాం.
कयोंकि उनहें लगता है कि उसकी हतया हुई थी.	ఎందుకంటే అతడని హతయ చేశారని వాళలు అనుమానిసతుననారు.
अगर मैंने आँखें खोलकर देखा होता कि कया हो रहा था,	ఏం జరుగుతోందో నేను కళలు తెరిచి చూసి ఉంటే,
काफी कुछ हो चुका है. पकका इससे तुम में बदलाव आएँगे.	అవును, చాలా జరిగిపోయింది. అది తపపకుండా నీలో మారపుని తెసతుంది.
वह आदमी शैतान का रूप था.	ఆ మనిషి ఒక రాకషసుడు.
हाँ, जो भी हुआ था, वह उसकी गलती थी.	అవును, అంటే, ఏం జరిగినా, అదంతా తన పొరపాటే.
पर जब मेरा गरभपात हुआ, मुझे लगा. . . मुझे लगा था कि यह बस इसकी सजा है.	కానీ నాకు గరభసరావం అయినపపుడు, నేను అను. . . అది ఆ పాపానికి పడిన శికష అని ఊరుకుననాను.
मुझे यह अकेले करने दोगी?	ననను ఇది చేయనిసతారా?
जानती हूँ.	నాకు తెలుసు.
कृपया कोई मूरखता मत करना.	దయచేసి ఎలాంటి పిచచి పని చేయకు.
मैं तुमसे पयार करती हूँ.	నినను పరేమిసతుననాను.
हे भगवान, मैं फँस गई हूँ!	ఓహ, దేవుడా, నేను ఇరుకకుపోయాను!
बैका. तुम कया कर रही हो?	బెకా. ఏం చేసతుననావు?
तुम मुझे अपने भाई को छोडकर तुमहें चुनने को कह रही हो.	ననను నా అననయయకి కాకుండా నీకు సాయపడమంటుననావు.
हाँ, ठीक है. बस बाईं तरफ जाओ, हाँ?	సరే, అలాగే. ఇలా నీ ఎడమ వెపు వెళలు, సరేనా?
मुझे पता है तुम यह कयों कह रही हो.	నువవు అలా ఎందుకు చెబుతుననావో నాకు తెలుసు.
ठीक है. उसने कहा कि बैका. . .	సరే, బెకా గురించి ఆమె చెపపింది. . .
दीवार पर पडी मकखी हो. एक परछाईं हो.	గోడ మీద ఈగవి నువవు. ఒక నీడవి.
शायद मुझे वही पता चलेगा.	నేను అదే కనుకకోవాలి అనుకుంటా.
गुदगुदी हो रही है, मैम.	నాకు కితకితలు, మామ.
कया तुमहें गरम पानी की बोतल, या कुछ चाहिए. . .	నీకు వేడి నీళల బాటిల కావాలా, లేదా. . .
मुझे मेरा वॉश-बैग नहीं मिल रहा है. मुझे लगा मैंने टेबल पर ही छोडा था.	నా వాష బయాగ కనిపించడం లేదు. ఈ టేబుల మీదనే పెటటా అనుకుంటా.
कयोंकि तुमहारी पयारी बहनों में से एक ने मुझे रिझाकर मेरे साथ सेकस किया था,	ఎందుకంటే ఆణిముతయాలలాంటి నీ సిసటరస లో ఒకరు ననను పరలోభపెటటింది,
बीमाओं का डेटाबेस	పాలసీల డేటాబేస
हम यह तुमहारे लिए कर रहे थे.	మేము అది నీ కోసం చేయాలి అనుకుననాం.
तुम खुद को जिस चीज के लिए भी दोष दे रही हो, वह तुमहारी गलती नहीं है.	నువవు నినను ఎందుకు నిందించుకుంటుననావో, అది నీ తపపు కాదు.
चलो भी, हम समझा देंगे कि उसने कया किया था.	దయచేసి, జెపి చేసిన ఘోరాలననీ మనం ఖచచితంగా వివరిదదాం.
वह तुमहारी जैकेट ले गई.	తను నీ జాకెట తీసుకువెళలింది.
तो फिर अपने खुद के लाओ!	అయితే నీ సొంతది తెచచుకో మరి!
तुमने हमें बुरी तरह डरा दिया था!	నువవు మాకు దాదాపు గుండెపోటు తెపపించావు!
फोकसएंडशाइन. कॉम फिलथीवीडियोजएंडपिकस. कॉम	ఫోకస సన షెన డాట కామ ఫిలతీ వీడియోస అండ పికస డాట కామ
हे भगवान.	ఓహ, దేవుడా.
हे भगवान!	ఓహ, దేవుడా!
ठीक है, मैलकम के लिए जीएए टिकटें.	సరే, మాలకమ కి జిఎఎ టికెటలు.
हे भगवान.	ఓహ, దేవుడా.
हे भगवान.	ఓహ, దేవుడా.
इतनी नफरत लिए नहीं जी सकता था, समझे?	నేను మనసులో మోయడం నాకు సాధయం కాలేదు, తెలుసా?
हे भगवान.	ఓరి దేవుడా.
हे भगवान.	ఓరి దేవుడా.
हे भगवान.	ఓహ, దేవుడా.
फोन उठाओ.	ఆ ఫోన తీయి.
हे भगवान.	ఓరి దేవుడా.
इससे पहले कि हम तबाह हो जाएँ, तुम कुछ और सोच सकते हो?	నా ఉదదేశం, మన పని అయిపోయే లోగా మనం పూరతి చేయవలసినవి ఏమెనా ఉననాయా?
कैसे? उसने किसी तरह उसे डरगस देकर दुरघटनागरसत करवाया?	ఎలా? తను ఎలాగో జెపికి మతతు ఎకకించి పరమాదంలో చనిపోయేలా చేశాడంటావా?
-बला, जलदी करो! -आ रही हूँ!	-బలా, తవరగా! -వసతుననా!
तुम सब उस रात कहाँ गई थीं?	ఆ రాతరంతా నువవు ఎకకడికి వెళలావు?
उसने कया कहा?	అతను ఏం చెపపాడు?
वह पलक झपकते ही बडी हो गई.	కనురెపప పాటులో తను ఎదిగిపోయింది.
तो, तुम उस परिवार को जानते हो?	అయితే, మీకు ఆ కుటుంబం గురించి తెలుసా?
तो मैंने कहा, "चलो जलदी सो जाएँ. "	అపపుడు నేను, "మనం తవరగా పడుకుందాం" అననాను.
मुझे बेहद खेद है.	నాకు కూడా బాధగా ఉంది.
उनहोंने जॉन पॉल का पोसटमॉरटम किया.	వాళలు జాన పాల శవానికి పోసట మారటెమ జరిపారు.
तुम खुद को ऐसे सजा कयों दे रही हो?	నినను నువవు ఎందుకు ఇలా శికషించుకుంటుననావు?
ठीक है, पागल कहीं की.	అలాగే, పిచచిదానా.
-नहीं, मैं. . . मैं. . . -चलो भी, अरस.	-లేదు, నేను అలా కాదు. . . నేను. . . -చూడు, ఉరస.
मेरा मतलब, मुझे खेद है. यह. . . वह ठीक है?	నా ఉదదేశం, సారీ. అది. . . అతను ఇపపుడు బాగానే ఉననాడా?
मैंने बस सोचा कि. . .	నేను ఊరికే అనుకుననాను. . .
सब ठीक है. यह ठीक है.	ఫరవాలేదు. తను బాగానే ఉంది.
नहीं. बस, दरअसल थॉमस. . .	లేదు, కేవలం, థామస నిజానికి. . .
हम बस देख रहे थे कि हम सब तुमहारी विशाल अलमारी में घुस सकते हैं या नहीं.	ఇంతపెదద బటటల గదిలో మేమంతా పడతామో లేదో అని ఊరికే చూసతుననాం.
-वह इसकी आदी है. . . -वह एक वेशया है!	-తను దీని గురించి మాటలాడేది. . . -తను బజారుది!
मैट!	మయాట!
-बेन के घर में. -बेन के. . .	-అది బెన దగగర ఉంది. -బెన దగగరట. . .
जीएए की बडी जीत.	బిగ విన ఫర జిఎఎ బాయస
-तुम ही पागल हो! -तुम कहाँ थी, बैका?	-నువవు అసలు సెకోవి! -నువవు ఎకకడ ఉననావు, బెకా?
कया?	ఏంటి?
हैलो?	హలో?
-तुम गंभीर हो? -हाँ, मैं गंभीर हूँ.	-నిజంగానా? -అవును, నిజంగానే.
गरम पानी की बोतलें बढिया हैं, पर अब काफी देर हो चुकी है.	నా ఉదదేశం, వేడి నీళల సీసాలు పని చేసతాయి కానీ, అవి కేవలం ఒంటి నొపపులకే.
हमारे जाने से पहले, मैं तुमहारा. . .	మేము వెళలడానికి ముందు, నేను ఒకటి చెపపాలి. . .
आखिरकार.	మొతతానికి.
उसने यह भी कहने की कोशिश की कि मैंने उसका बलातकार किया कयोंकि वह अपने आप से बहुत घृणा करती थी.	తన మీద తనకే అసహయం వేసి, నేనే తనని రేప చేశానని చెపపడానికి కూడా పరయతనించింది.
इससे पहले कि शादी की फोटो भी न. . .	కనీసం నా పెళలి ఫోటో ఒకకటి కూడా వదలకుండా. . .
शायद यह नोरा पर जयादा अचछे लगेंगे?	బహుశా ఇవి నోరాకి సరిపోవచచా?
बेशक जेपी ने उससे झूठ बोला.	జెపి ఖచచితంగా ఆమెకు అబదధం చెపపాడు.
शुरू हो गया, रोना-धोना.	ఇదిగో మొదలెంది, కననీళల నాటకం.
पोसटमॉरटम के परिणाम में कया निकला?	పోసట మారటెమ రిపోరటులు మీకు ఎలా ఉపయోగపడడాయి?
कि हम में से किसी ने उसकी हतया की.	పెగా ఆ పని చేసింది మనలో ఒకరని వాళల అనుమానం.
बेहतर होगा वह मैट के साथ न हो.	తను మయాట దగగరకి వెళలకుండా ఉంటే మంచిది.
-तुम. . . कमीनी. -देखो, बस करो! समझी? बस करो.	-ఆపు. . . చెతతదానా. -చూడండి, ఇంక ఆపండి! సరేనా? ఇంక ఆపండి.
मैं तुमसे पयार करती हूँ. यही सचचाई है.	నినను పరేమిసతుననాను. అది నిజం.
वह कहाँ है? बैका, वह कहाँ गया?	అతను ఎకకడ? బెకా, అతను ఎకకడికి వెళలాడు?
तुम जानना चाहती हो कयों तुमहारे साथ होने पर मेरा लिंग खडा नहीं होता है?	నీ మీద మనసు రాకపోవడానికి కారణం ఏమిటో తెలుసుకోవాలని ఉందా?
इतने साल बिताने के बाद, वह इसकी हकदार है.	ఆ కరూరపు వెధవతో ఇననేళలు ఆమె ఎననో బాధలు అనుభవించింది.
मैं जेल नहीं जा सकती. नहीं. मैं नहीं. . .	నేను జెలుకి వెళలలేను. నా వలల కాదు. నేను చేయలేను. . .
हमने मेरा बरथडे डिनर खाया.	నినన రాతరి నా బరత డే డిననర చేశాం.
मेरे चरच ने मुझे असवीकार कर दिया!	నా చరచ ననను బహిషకరించింది!
अब वह मर गया है, है न?	అంటే, అతను చనిపోయాడు, అవునా?
झूठी वह है. उसने मुझ पर दोष डाला.	ఇకకడ తను అబదధాలకోరు. తను ననను నిందించింది.
बलकि, तुमने कहा था कि उसमें मेरी ही भलाई थी. इसमें भी तुमहारी ही भलाई है.	నిజానికి, అదంతా నా మంచి కోసమే అని నాకు చెపపావని నేను ఖచచితంగా చెపపగలను. అయితే, ఇది కూడా అంతే.
मैं चिंतित थी कि तुम कोई लापरवाही करोगी,	నువవు ఏదెనా నిరలకషయంగా చేసతావని నేను ఆందోళన పడడాను,
तुम वापस दिख गई. मैमी लौट आई.	నువవు తిరిగి వచచేశావ. మామీ వచచేసింది.
देखो, सबसे पहले, कई मरद मुझसे भी छुपे थे, समझी?	చూడు, మొదటగా, ననను చూసి దాకకునే మగవాళలు గతంలో ఉననారు, సరేనా?
और सबको यह पता है.	ఆ విషయం అందరికీ తెలుసు.
यह उसके लिए बस मजाक था.	అది అతనికి వినోదం.
नहीं, ऐसा नहीं है!	లేదు, మేము అలా చేయలేదు!
मुझे पर मत चिललाओ!	నా మీద ఇంకెపపుడూ అరవకు!
वह बलातकारी था. उसने मेरी बहन का बलातकार किया.	వాడు ఒక రేపిసట. నా అకకని రేప చేశాడు.
मेरी तरफ कयों देख रही हो?	నువవు నా వెపు ఎందుకు చూసతుననావు?
-चलो, गरेस! -पानी में उतरो! चलो!	-ఇలా రా, గరేస! -దూకు! రా!
तुमहें रिझाकर? इसका कया मतलब है?	నినను పరలోభపెటటిందా? నీ ఉదదేశం ఏంటి అసలు?
चलो अंदर चलें.	లోపలికి వెళదాం పద.
वह पूरी रात अकेली थी.	ఆ రాతరంతా ఆమె ఒంటరిగా ఉంది.
लो तुम दिख गई.	ఇదిగో ఇకకడ ఉననావు.
और फिर उसने मुझे रिझाने की कोशिश की.	అపపుడు తను నా మీదకి వచచింది.
पर. . .	కానీ. . .
कैरन नशे में बेहोश हो गया था, तुम सो चुकी थी,	ఆ కియరన గాడు, వాడు మతతులో పడి ఉననాడు, నువవు నిదరపోతుననావు,
काश मैंने तुमसे मदद नहीं माँगी होती. . .	నీ సాయం నేను కోరి ఉండకూడదు. . .
-बटन दबाओ! -दबा रही हूँ!	-బటన నొకకు! -నేను నొకకుతుననాను!
जो मुझे समझ नहीं आ रही हैं.	వాటి గురించి మీకు తవరగా చెపపేసతాను.
तुमहें समझ नहीं आ रहा, है न? तुमहारी बहनें ही असली समसया हैं!	నువవు అది చూడవు, కదా? అసలు సమసయ నీ అకకచెలలెళలే!
नहीं. कया?	లేదు. ఎందుకు?
तुम मेरी बहनों के बारे में उलटा-सीधा कयों बोलते रहते हो?	ఎపపుడూ మా సిసటరస గురించే ఎందుకు మాటలాడతావు?
और मैंने सच में सोचा, मैंने सच में सोचा, "कया मैंने कुछ किया था? "	అపపుడు నేను నిజంగా ఏం అనుకుననానంటే, నిజంగా అనుకుననాను, "నేను ఏమెనా తపపు చేశానా? " అని.
तुम कैबिन में गए और जॉन पॉल वहीं था?	మీరు కయాబిన కి వెళలినపపుడు జాన పాల అకకడ ఉననాడా?
बस बेन के यहाँ जाओ, पेंटो लो, और वापस मेरे घर आओ.	బెన దగగరకి వెళలి, ఆ పెంటో మందులు తీసుకో, తిరిగి మా ఇంటికి వచచేయ.
बेचारी गरेसी.	పాపం పిచచి గరేసీ.
-हाँ, लगभग. मैं अंदर आ सकता हूँ? -नहीं.	-అవును, అంటే, అలాంటిదే. నేను లోపలికి రావచచా? -లేదు.
-चलो! -बस उसे सीट बेलट दो.	-డరెవ చేయి! -తనకి ఆ సీట బెలట ఇవవు.
मुझे पता था कि मुझे उसे माफ करना होगा.	అతడిని కషమించాలని అనుకుననాను.
चलो, गरेस! उतरो!	కానివవు, గరేస! దూకేయ!
-मुझे तुम सबसे जानकारी चाहिए. -कया?	-ఆ రోజు మీరంతా ఎకకడెకకడ ఉననారో చెపపండి. -ఏంటి?
और उसने यह बस मजे के लिए किया. और कोई वजह नहीं थी.	ఇదంతా అతనికి ఆట. అందుకోసమే ఇలా చేశాడు.
तुमने उससे कया करवाया?	నువవు ఆమెను ఎలా బలవంతపెటటావు?
तुम उतना ही खुश होते हो जितना खुश तुमहारी सबसे दुखी संतान होती है.	గరేస ఎంత బాధపడిందో నువవు కూడా అంత బాధ అనుభవించావు.
उसने पेंटो का कया किया? तुम वह ले आई?	మరి పెంటో మందులతో ఏం చేశాడు? వాటిని తీసుకువచచావా?
