पैनिक	పానిక
-हम बहस नहीं कर रहे थे. -नहीं?	-మేము వాదించుకోలేదు. -లేదా?
उममीद है दोबारा इसे तंग नहीं करेंगे.	మీరు మళళీ మా వాడిని ఇబబంది పెటటరనుకుంటా.
मैं टाइमर लगा दूँगा.	నేను టెమర పెడతాను.
तुमहें थोडा संभलकर रहना चाहिए.	నువవు చాలా జాగరతతగా ఉండాలి.
नहीं रुक सकती. मुझे किसी काम के लिए देर हो रही है.	లేదు. నిజానికి, నాకు ఒకదానికి ఆలసయం అవుతుంది.
लूक पैनिक पर बाजी लगवा रहा है.	లూక పానికపె పందేలు కాసతాడు.
देखो, उसे बस गोलियाँ लेने की आदत है, ठीक है?	చూడండి, ఆమెకు మందు బిళళలతో ఏదో విషయం ఉంది, సరేనా?
-हाँ. -ठीक है, तुमसे घर पर मिलूँगा.	-సరే. -సరేమరి, నేను ఇంటి దగగర కలుసతాను.
जयादा से जयादा घुटने पर चोट लग सकती है.	కాలు తగిలేంత దూరంలో ఉననారనుకుంటాను.
वयसत समय में इस किराए की उममीद मत करना.	బాగా రదదీ సమయంలో అంతే రేటు ఆశించకు.
अचछा. शिविर में खूब मजे करना,	సరే. కయాంపలో సరదాగా గడుపు,
हम एक साथ इतना आगे आए हैं.	మనం ఇంత దూరం ఒక జటటులా వచచాం.
तो, कया बात करना चाहती हो?	అయితే, మనం ఏం మాటలాడుతుననాము?
और वह मुझसे कुछ पैसे माँगेगी.	అందుకు కొంత డబబు అడిగింది.
उसी ने हमें बताया कि यह लूक का काम था. देखो. . .	అతనే అది చేసింది లూక అని చెపపాడు. చూడు. . .
यार, कयोंकि वह किसी जादुई कालीन पर चढकर शहर से नहीं भागा.	ఎందుకంటే, అతను మాయా తివాచీపె నగరం దాటి వెళళిపోలేడు.
-ऐबी कलारक? -हाँ.	-అబీ కలారక? -అవును.
मुझे नहीं पता था.	నాకు అససలు తెలియదు.
हाँ, ठीक कहा. नशा करके गाडी चलाने के लिए गिरफतार हुए थे.	అవును, నిజమే. నువవు తాగి నడిపినందుకు అరెసట అయయావు.
ऐबी कलारक और जिमी कोरटेज समारक कहानी कमरा	ఆబీ కలారక మరియు జిమమీ కోరటెజ సమారక కథాసమయం గది
जब उसने डॉट पर काम करना शुरू किया, कुछ ही दिनों में कारोबार दुगना हो गया.	ఆమె డాటతో పని చేయడంతో, వయాపారం కొనని రోజులలోనే రెండింతలు అయయింది.
जो भी 20 मिनट से अधिक समय लेगा, वह बाहर होगा.	20 నిమిషాలకు మించితే వాళళు అవుట అవుతారు.
इसका माथा बहुत पयारा है.	ఆమె నుదురు చాల అందంగా ఉంది.
इस साल की चुनौती अलग थी.	ఈ ఏడాది సవాలు భిననంగా ఉంది.
पता है मुझे कया लगता है?	నేను ఏమనుకుంటుననానో తెలుసా?
अगर मैं खेल से बाहर हूँ, तो वे मेरे बारे नहीं पूछेंगे न?	నేను ఆట బయటకు వచచేశాక నయాయనిరణేతలు నా గురించి ఎందుకు అడుగుతారు?
हाँ, बहुत जयादा.	అవును, చాలా ఎకకువ.
यॉर ऑनर.	యువర ఆనర.
माफ करना.	కషమించు.
लूक आया, बोला उसे सुनने को मिला कि मैं मुसीबत में हूँ.	లూక వచచి నేను ఇబబందిలో పడినటటు విననానని చెపపాడు.
नाम डॉक मैजिक डॉज मेसन +1. 45 - 100, 000	పేరు డాక మయాజిక డాడజ మేసన +1. 45 - 1, 00, 000
मैंने बस चेहरे की तसवीरें खींची. मुझे यह कितनी बार कहना पडेगा?	నేను పాసపోరట ఫోటోలు తీశాను. నేను అది ఎననిసారలు చెపపాలి?
चुनौती में जो होता है, वहीं रह जाता है, याद है?	సవాలులో ఏం జరిగినా, అది సవాలు వరకే పరిమితం, గురతుందా?
जाने से पहले एक तसवीर भेज दोगी?	వెళళే ముందు ఫోటో తీసుకుని పంపుతావా?
उसे तहखाने में बंद कर दिया करते थे.	నేలమాళిగలో పెటటి తాళం వేసేవాడు.
समझ रहा हूँ, हेदर कयों पसंद है.	నీకు హేథర నిల ఎందుకిషటమో తెలిసింది.
रे सबसे पहले लौटकर आया था.	వెనుకకు రే మొదట వచచాడు.
उसे देखते ही जान जाओगी.	నీకు అది చూశాక తెలుసతుంది?
आपको बाहर छोड देता हूँ.	మీకు బయటకు దారి చూపిసతాను.
सूरयासत के समय, उसमें जोश आने लगता है.	సంధయా సమయంలో అవి మొతతం శకతిని పుంజుకుంటాయి.
पर फिर भी शेर है.	అయినా అది పులే.
शायद तुम लोग एक-दूसरे को जानते हो?	సరే, మీకు పరసపరం తెలుసనుకుంటా?
दिल खुश हो गया.	అది చాలా బాగుంది.
अगर हम घर न लौटे, तो माँ बहुत गुससा होंगी.	మనం ఇంటికి వెళళకపోతే అమమ కోపపడుతుందా?
तुम और ऐबी कलारक दोसत थे?	నువవు, ఆబీ సననిహితులా?
मैं खेल से बाहर हो गई.	నేను ఆటనుండి తొలగిపోయాను.
मैं मजाक नहीं कर रहा, रे.	నేను ఊరికే రాలేదు, రే.
मैंने फोन पर कया कहा था? एक हफता?	నేను ఫోనలో ఏం చెపపాను? వారమా?
हम यह मान सकते हैं कि मेरे बेटे ने पूरा साथ दिया.	నా కొడుకు సహకరిసతుననాడని ఒపపుకుంటారనుకుంటా.
सच. जब ऐबी ने कहा कि किसी परतियोगिता में हिससा ले रही है,	నిజంగా. ఆబీ తను పోటీలో పరవేశిసతుననటటు చెపపినపపుడు,
उतने पैसों में आईफोन खरीदकर चाहे जितनी तसवीरें खींची जा सकती हैं.	ఆ డబబుతో, ఐఫోన కొనుకకోవచచు, కావాలసిన ఫోటోలననీ తీసుకోవచచు.
किस तरह के सवाल?	ఎలాంటి పరశనలు?
मेरे पास मारकर नहीं हैं.	నా దగగర మారకరలు లేవు.
यहाँ आओ.	ఇలా రా.
निल के साथ थरिल.	థరిల ఇచచే నిల.
तुम कुछ नहीं कहोगे न?	మీరు ఏమీ బయటపెటటరు, కదా?
मुझे लगता है हम पूरी हिफाजत से हैं,	మనమంతా ఎకకడో చాలా మంచి సురకషితమెన చోటులో
मैं तुमहें बता चुका हूँ.	నేను ఇదివరకే చెపపాను.
यूँ ही?	ఊరికేనా?
-तो, कोरटेज को पता है? -हाँ.	-అయితే, కోరటెజకి తెలుసా? -అవును.
मैं जा सकता हूँ?	నేను వెళళవచచా?
माफ करना. मैं रे को ढूँढ रही थी.	కషమించు. రే కోసం చూసతుననాను.
"रानी मिल गई. जिस चीज की तलाश थी, मिल गई.	"నీకు నీ రాణి, నాకు నేను వెతుకుతుననది దొరికాయి.
अगले महीने से 30 घंटे कर सकती हूँ.	వచచే నెలనుండి నీకు 30 గంటల పని ఇవవగలను.
-खेल पर नजर रखने? -या उसे तय करने.	-ఆట గమనించడానికా? -లేదా నిరణయించేందుకు.
पकका तुमहें कोई मदद नहीं चाहिए?	నీకు ఖచచితంగా ఏ సహాయం వదదా?
जब तक तुम शेर से बचकर भागोगे, देर हो चुकी होगी.	నువవు పులి నుండి పరిగెతతే సరికి, ఎలాగెనా ఆలసయమవుతుంది.
तो जिसका जञान है, उसकी कीमत चुकानी होगी.	అపపుడు మీకు తెలిసిన వాటికోసం మూలయం చెలలించాలి.
हेदर, तुम और मैं, हम साथ में इसे जीत सकते हैं.	హేథర, నువవు నేనూ, మనం ఇది కలిసి గెలవగలం.
उनहें मुझसे नफरत है.	మీ నాననకు నేనిషటం లేదు.
चुनौती यह है कि पुल से उतरकर वापस गाडी तक पहुँचना है.	ఈ సవాలు ఏంటంటే మీరు వంతెన దాటి వెళళి తిరిగి వయాన వరకు రావాలి.
. . . इससे साबित होता है कि हरीकेन के बाद भी उसने हिससा लिया.	. . . అది తుఫాను తరువాత పోటీ పడినటటు రుజువు చేసతుంది.
जब मैंने उससे पूछा, उसने झूठ कहा.	నేను అది అడిగినపపుడు, అతను అబదధమాడాడు.
लीला ने मुझे बताया कि पिछले साल काउंटी फेयर में जिमी ने उसे मारा था.	జిమమీ అతనిని గత ఏడాది కౌంటీ ఫెయిరలో గుదదాడని లీలా చెపపింది.
मैं एकदम भूल गई कि नए बछडे की लगाम चढाने के लिए एंडी आने वाला है.	అండీ కొతత గురరానని మచచిక చేసుకోడానికి ఇకకడకు వసతుననాడని పూరతిగా మరచిపోయాను.
खिलाडियो, निषकासन राउंड में सवागत है.	తొలగింపు రౌండకు పలేయరలకు సవాగతం.
सोचो, इतना कुछ करने के बाद भी, लोगों से गाडियाँ टकराता फिरता है.	ఊహించు, అతను చేసిన దానికి తరువాతకూడా, ఇంకా జనంలో కారలతో దూసుకువెళుతుననాడు.
आप बिना सहारे के चल सकते हैं,	మీరు కళళకు గంతలతో నడవచచు,
हेदर, मैं इतना ही कह सकता हूँ	హేథర, నేను చెపపగలిగిందలలా
सही दिशा में दस कदम, पर तभी अगर उनके सवालों के जवाब दें.	పది అడుగులు సరెన దిశలోకి, కానీ వాళళు అడిగిన పరశనలకు జవాబు ఇవవాలి.
घर पर माँ के साथ कुछ चल रहा था,	మా అమమతో కొనని విషయాలు జరుగుతుననాయి,
कुछ पता है, वह यहाँ कयों आई थी?	ఆమె ఇకకడేం చేసతుందో నీకేమెనా తెలుసా?
-पाँच मिनट बाकी हैं. -अचछा. मुझे. . .	-హెచచరిక ఐదు నిమిషాలు. -సరే, సరే. నేను. . .
यह चुनौती जीतने वाले वयकतिगत मुकाबले की ओर बढेंगे.	ఈ సవాలు విజేతలు వయకతిగతంగా ముందుకు వెళతారు.
सालों से शेरिफ उसे जेल में डालने की कोशिश में हैं.	షెరీఫ ఆలోచన తనని కొననేళలపాటు జెలలో ఉంచాలని.
कया लगता है, उसने कैसे किया?	అతను అది ఎలా చేశాడంటావు?
कम से कम, अभी भी दूसरे सथान पर हैं.	కనీసం మనం రెండో సథానంలో ఉననాం.
अभी भी कुछ दिख नहीं रहा.	నాకు ఇంకా ఏం కనిపించడం లేదు.
मिसटर टॉम फूल.	మి. టామ ఫూల.
और बताओ, बिशप.	చెపపు, బిషప.
तुमहें बस सविच को बैटरी से जोडना है,	తరువాత నువవు బయాటరీకి సవిచ కనెకట చేయాలంతే,
ठीक है?	సరేనా?
मेरी सहेली नैट कभी-कभी उससे मिलने जाती है.	నా సనేహితురాలు నాట ఆమెతో గడుపుతుంది.
वह लूक हॉल था.	అది లూక హాల.
ऐसे जूते पहनकर	అలాంటి షూసతో
"खुद मसती करते-करते गला घुटने का मतलब गाडियों से संभोग नहीं. "	"ఆటోఎరాటిక అసఫీకసియేషన అంటే కారలతో సెకస కాదు, వెధవ. "
वह जो तोड-फोड वाली परतियोगिता है, उसने उसमें इनाम जीता,	అతను ఆ డిమోలిషనో ఇంకేదో దానిలో బహుమతి గెలిచాడు,
तुम जज लोगों को छूट देने के बारे में कह सकती हो?	నువవు నయాయనిరణేతలను మినహాయింపు అడగవచచేమో?
तुमने चुनौती को लेकर अभी तक रे से बात की?	నువవు రేతో సవాలు గురించి మాటలాడావా?
यह लीला को पैसे दिया करता था.	లీలా అతని నుండి డబబు తీసుకుంటుంది.
तुमहें उसका कुछ नाम पता है?	అతనికి ఏదెనా పేరు ఉందా?
पिछले साल वह जंप पर था.	అతను గత ఏడాది జంపలో ఉననాడు.
इसलिए उनहें सकूल छोडकर, पारलर में काम करना पडा.	అందుకే సకూల మానేసి, సెలూనలో పని చేసింది.
मैं समझता हूँ कि आप लोग बस अपना काम कर रहे हैं,	మీ పని మీరు చేసతుననారని అరథం చేసుకోగలను,
सलाह के लिए शुकरिया.	సూచనకు ధనయవాదాలు.
यह बात बडी अचछी कही.	అది చాలా బాగుంది.
बिंगो गाडी सुधार पराचीन एवं निराली गाडियाँ और पुरजे	బింగోస ఆటో పునరుదధరణ సంపరదాయ మరియు పురాతన కారలు, విడి భాగాలు
यकीन मानो तो, उसकी बहन और भी अचछी घुडसवार थी.	అతని సోదరి గురరంపెన ఇంకా బాగు చేయగలదని, నువవు నమమాలి.
बस बुरा लगता है, बात खतम. ठीक है?	నాకు బాధగా ఉంది అంతే. సరేనా?
बिशप को पता नहीं चल सकता कि मैं रे के साथ सोई.	బిషపకి నేను రేతో జత కటటానని తెలియకూడదు.
माँ के लिए भी. इसलिए, याद रहे, किसी से कुछ मत कहना, ठीक है?	అలానే అమమ కూడా. అందుకని, ఎవరికీ ఏమీ చెపపకు, సరేనా?
जब ऐबी अपने चेहरे की फोटो ले रही थी, तो उसके साथ धोखा करने की कोशिश की.	అతను ఆబీ పాసపోరట ఫోటోలు తీసతూ, ఏదో కుంభకోణానికి పరయతనించాడు.
माँ ने सोलह साल की उमर में घर छोडा था.	తెలుసా, అమమకు ఇలలు వదిలి వెళళినపపుడు 16 ఏళళే.
जैसा तुमने कहा था, मुझे तो गणित पसंद भी नहीं.	నువవు చెపపినటటు, నాకు గణితం ఇషటం లేదు.
डिगिनस, तुमहें बस पूछना है.	డిగగినస, నువవు కేవలం అడుగు చాలు.
आखिरकार, एक गवाह सामने आया.	చివరకు, ఒక సాకషి ముందుకు వచచాడు.
हैलो, मैकस. यह शेरिफ कोरटेज हैं.	హే, మాకస. ఈయన షెరీఫ కోరటెజ.
दोसत हो, हाँ? छोडो!	సనేహితులా? వదదు!
उसका आधा समय मौज-मसती के लिए, घोडों की पीठ पर से	అతను తన సమయం అంతా దాదాపుగా తనను తొకకేసే జీను ఉనన గురరాలపె
जब मन चाहे, मुझसे मिलने चली आना.	ననను ఎపపుడెనా కావాలనుకుంటే వచచి కలువు.
हमें भी लिटल बिल की तरह सडकों पर सोना पडेगा?	లిటిల బిల లాగా మనమూ వీధిలో పడుకోవాలా?
वह तुमहें बचाने में कितना समय बरबाद करेगा?	నినను రకషించడానికి అతను ఎంత సమయం వృథా చేసతాడంటావు?
जिससे साबित होता है कि हरीकेन के बाद भी उसने हिससा लिया.	అది తుఫాను తరువాత పోటీ పడినటటు రుజువు చేసతుంది.
उसके दादा नशे में धुत होकर	వాళళ తాత బాగా తాగినపపుడు అతనిని
और उसकी तसवीर चारों ओर थी.	అపపుడు అతని ఫోటో అంతటా వచచింది.
कशती पर मुसीबत हो सकती है.	కాలు పెటటిన మరుకషణమే పడిపోతావు.
लीला ने उसे बताया कि उततर में उसे एक पुनरसुधार कलीनिक का पता चला था,	అంటే, ఉతతరంలో అతనికి ఒక పునరావాస కేందరం చూశానని చెపపింది,
ऐसा कोई जो मुझे इलजाम से मुकत कर सकता था.	ఎవరో ఆరోపణలు ఖచచితంగా వెనకకు తీసుకునేలా చేసేవారు.
घर का कुछ काम, या कपडे धोना, या कोई दूसरा काम.	అంటే ఇంటిపని, బటటలు ఉతకడం, లేదా అలాంటివి ఏవెనా చేసతాను.
पर तुम मेरा खयाल रखती हो.	కానీ నువవు ననను చూసుకుంటావుగా.
कया हाल-चाल!	బాగుననారా!
है न?	అవునా?
-तुमहारे पास छुटकारा है. -हाँ.	-నీ దగగర ఇంకా ఇమయూనిటీ ఉంది. -అవును.
हम यह कर सकते हैं.	మనం ఇది చేయగలం.
अचछा, चलो.	సరే, మంచిది.
आमतौर पर, वे शाम के बाद नजर आते हैं.	అవి సాధారణంగా సంధయ వేళ వసతాయి.
-अदालत में लूक का कोई दोसत था. -रे?	-లూకకు కోరటులో ఎవరో సనేహితులు ఉననారు. -రే?
हमें कुछ पतले बिसकुट बेचना चाहती थी.	ఆమె థిన మింటస అమమాలని వచచింది.
हेदर को संभलकर रहना चाहिए, रे.	హేథర జాగరతతగా ఉండాలి, రే.
मैंने. . .	నేను ఒక. . .
जब आपको सैंटा कलॉज से डर लगे, है न?	అది శాంటా కలాస అంటే భయం, కదా?
रात को साथ मिलकर फिलम देखोगी?	కుటుంబంతో సినిమా కోసం రాతరి ఉననావా?
रिचरडस परांत शेरिफ विभाग	రిచరడస కౌంటీ షెరీఫ డిపారటమెంట
तो फिर मोहॉक चलेगा?	అయితే, మోహాక చేయమంటారా?
उसकी माँ ने कहा कि चेहरे की तसवीरों के लिए तीन बार आई थी.	ఆమె ఇకకడికి పాసపోరట ఫోటోలకె మూడుసారలు వచచానంది.
जितनी चाहें चुनौतियाँ जीतिए.	మీరు వీలెననని సవాళళు గెలుచుకోవచచు.
उनहोंने हमारी आँखों पर पटटी बाँधी, गाडी में बिठाया.	మా కళళకు గంతలు కటటారు, వయానలోకి ఎకకించారు.
पहली बार इसे सैन एनटोनियो के बाहर,	నేను అతనని మొదటిసారి చూసింది
वह कया है, दरद में मजा?	ఏంటది, ఎసఅండఏం చెతత లాంటిదా?
माफ करना, बहुत कुछ चल रहा है	కషమించు చాలా జరుగుతోంది
जरा सोचो, कुछ दिन पहले,	ఆలోచించు, కొనని రోజుల ముందు,
हम आपकी मदद करेंगे, और आप हमारी.	మేము మీకు, మీరు మాకు సహాయం చేసుకుంటాము.
पर असल में डर तभी लगता है जब खेल खेल नहीं रह जाता.	కానీ ఇక ఆట కానపపుడు అసలెన భయం కలుగుతుంది.
यह पहला साल है जब मैंने पैनिक के बारे में सुना है.	నేను పానిక గురించి వినడం ఇదే మొదటి ఏడాది.
-पतते कयों बना रहे हो? -एक समारक पेड के लिए?	-ఆకులు దేనికి? -సమారక చెటటు కోసమేమో?
जिम को लगा कि लाइबरेरी में होने वाली	లెబరరీ దగగర అంకితానికి ముందు నేను నా జుటటును
कया बात है?	అది ఏంటి?
-वह काफी है? -हाँ.	-అది సరిపోతుందా? -సరే.
दौडने का मतलब है कि तुम शिकार हो.	పరిగెతతడం అంటే ఎర అని అరథం.
-यही नियम है. -मुझे दुख हुआ	-అది అలానే ఉంటుంది. -నీకు తెలుసా,
अचछा? यह कब की बात है?	అవునా? అది ఎపపుడు?
रे? तुमसे बात करनी है.	రే? మనం మాటలాడాలి.
सच में, मुझे जरूरत नहीं थी.	నిజంగా, నాకు అడగాలసిన అవసరం లేదు.
अब सोने का समय है, ननही बग.	పడుకునే సమయం, చినన బగ.
कुछ नहीं. मैंने गलती कर दी.	ఏమీ లేదు. తపపు చేశాను.
संवाद अनुवादक परवीन कौर शोम	సబటెటిల అనువాద కరత సమత
-उसकी आँखें आवारा कुतते जैसी हैं. -छोडो भी.	-ఆమెవి వీధి కుకక లాంటి కళళు. -పోరా.
डिगिनस, बात असल में यह है.	నీకు తెలుసా, డిగగినస, ఇదీ విషయం.
नहीं. मुझे डर था कि कहीं तुम मुशकिल में न आ जाओ.	కాదు. నువవు ఇబబందులలో పడతావని భయపడడాను.
इन फाटकों को हर वकत बंद करके रखना पडता है. समझी?	ఈ గేటలు ఎలలవేళలా మూసి ఉంచాలి. అరథమెందా?
किस बात को लेकर?	దేని గురించి?
घोडे पर डटा रहा.	సవారీ చేశాడు.
मैंने पूछा नहीं.	నేను అడగలేదు.
एक-एक करके, हमें वापस आना पडा.	ఒకరి తరువాత ఒకరు, మేము తిరిగి రావాలి.
हे भगवान. अगर उसने कुछ कह दिया हो तो?	దేవుడా. అతను ఏదెనా చెపపి ఉంటే?
वहाँ आधा दरजन घुडसवार रहे होंगे	అకకడ అర డజను మంది రెడరలను
-खबर जलदी फैल जाती है, हाँ? -हाँ.	-పరపంచం వేగంగా పరిగెడుతుంది, కదా? -అవును.
तो मुझे लगता है कि तुमहें टॉम से मिलाना चाहिए.	నీకు టామను పరిచయం చేసే సమయం అనుకుంటా.
शुकरिया.	ధనయవాదాలు.
कया?	ఏంటి?
जैसा किताबों में होता है.	మన పుసతకాలలో ఉననటటు.
हैलो.	హాయ.
-हेदर. -हाँ, पता है.	-హేథర. -సరే, నాకు తెలుసు.
अचछा.	సరే.
शुकरिया.	ధనయవాదాలు.
एक हफते में मिलूँगा.	వారంలో కలుసతాను.
कया?	ఏంటి?
डॉज?	డాడజ?
देर-सवेर, यह कभी तो होगा.	ఆలసయమెనా జరుగుతుంది.
हैलो?	హలో?
हैलो?	హలో?
किसी गीली जगह पर चढने से,	పడవలో ఎకకడెనా తడిమీద
बकवास कर रहे हो.	నిజమే చెబుతుననావుగా.
पैनिक वह खेल है जिसमें डर है.	పానిక అనేది భయపెటటే ఆట.
शैतान का नाम लिया नहीं.	సెతాను గురించి అనుకుంటే చాలు.
जानकर अचछा लगा.	తెలుసుకోవడం మంచిది.
या तो वह यह छुपा रहा है कि वह कब हुआ या फिर वह कैसे हुआ.	అది ఎపపుడు జరిగింది లేదా ఎలా జరిగిందో ఎవరికీ తెలియకూడదని అనుకుంటుననాడు.
सच बताओ, कभी उनहें मुसकुराते देखा है?	అతనిని ఎపపుడెనా నవవడం చూశావా?
लूक ने कहा कि वह मेरी मदद कर सकता है.	లూక ననను బయటపడేసతానని అననాడు.
मैंने इसे छोटे से पाला है, इसलिए मुझे जानता है.	దానని కూనగా ఉననపపటి నుండి పెంచుతుననాను, అందుకని నేను తెలుసు.
उसे जेल में होना चाहिए.	అతను జెలలో ఉండాలి.
उसे किसी चीज से तो डर लगता होगा.	అతనికి ఏదో ఒక భయం ఉండాలి.
हे भगवान.	దేవుడా.
पर यह खतरनाक नहीं है?	కానీ అది పరమాదకరమెనది కాదా?
यानि वह लडकी जिसकी मौत हुई? उसे हाथ मत लगाइए.	ఆ చనిపోయిన అమమాయా? అది ముటటుకోకండి.
बेकार के इलजाम थे, और वो हट गए.	ఆరోపణలు అననీ ఉతతవి, వాటిని ఉపసంహరించారు.
बदमाश लोगों को भी आराम की जरूरत है.	వెధవలకు కూడా విరామం కావాలి.
-तुम बस मुझसे दूर रहना. -मैंने सुना!	-మీకు కోపం తెపపించేది ఏదెనా. -నేను అది విననాను!
ऐन, यह तो शेर है.	ఆన, అది పులి.
यह तो हद से जयादा इततिफाक लगता है.	అది చాలా యాదృచఛికంలా ఉంది.
अचछा, अब सो जाओ.	సరే, ఇక పడుకునే సమయం.
शॉना केनी, पहले तुमहारी बारी.	షాన కెననీ, మొదట నువవే.
कि कोई दूसरा इसे जीते.	నయాయనిరణేతలు అనుమానిసతుననారు.
लीला एगरवॉल के परिवार का फोन आया.	అగరవాల నుండి ఫోన వచచింది.
सुना है कि वह काफी बदनाम है.	సపషటంగా, అతనికి పేరు పరఖయాతలు ఉననాయి.
डिगिनस, तुम मुझसे इतने ही लोगे?	డిగగినస, నువవు నాకు అంతే ఛారజీ విధిసతావా?
हे भगवान.	అయయో, దేవడా.
हम यहाँ कब तक रहेंगे?	మనం ఇకకడ ఎనని రోజులు ఉంటాము?
-नजर चाहिए. -ऐसा कहते हैं कया?	-చూడగల మనసు ఉండాలి. -దీననీ అలానే అంటారా?
तुमहारी माँ के साथ जो कुछ हुआ, नेट ने मुझे सब बताया.	మీ అమమతో ఏం జరిగిందో నాట నాకు చెపపింది.
मुझे तुमहारे लिए बुरा नहीं लगता.	నీపె నాకు సానుభూతి లేదు.
तुमहें लाइबरेरी में जरूर कुछ मिल जाएगा, ठीक है?	లెబరరీలో నువవు అరువుగా తీసుకోడానికి కొనని ఉంటాయి తీసుకో, సరేనా?
यकीन मानो, जरूर दिखेगा.	ననను నమము, నువవు దానని చూసతావు.
-तय करने? -जरा सोचो,	-నిరణయించడానికా? -ఆలోచించు,
और मुझे लिली के लिए पैसों की जरूरत थी.	నాకు లిలలీ కోసం డబబు కావాలి.
यह बात किसी से नहीं कह सकती, अचछा?	అది ఎవరికీ చెపపకు, సరేనా?
कुछ भी करो.	ఏదెనా పరవాలేదు.
जो परांत की वेबसाइट के लिए तसवीरें खींचता है.	అతను ఊరి వెబసెటకు ఫోటోలు తీసతాడు.
ऐबी की उन तसवीरों के लिए लूक ने तुमहें कितने दिए थे?	ఆ ఆబీ ఫోటోలకు లూక ఎంత డబబు ఇసతానననాడు?
उसे लगा कि मुझे अचछा लगेगा.	అది నాకు బాగా అనిపిసతుందని భావించాడు.
घोडों के शो में हिससा लेते देखा था.	శాన ఆంటోనియాలో గురరం పరదరశనలో పోటీ చేసతుననపపుడు.
तभी मुझे पैनिक के बारे में बताया,	నాకు అతను పానిక గురించి,
रे, तुम कहाँ हो?	రే, నువవు ఎకకడ ఉననావు?
गिरने में गुजारता है.	పడకుండా గడుపుతుంటాడు, సరదాకి.
हैपी वैलेनटाइनस डे	పరేమికుల రోజు శుభాకాంకషలు
-किस लिए? -ऐबी कलारक की तसवीरों के लिए.	-దేనికి? -ఆబీ కలారక ఫోటోలకు.
मैं सोच रही थी बालों को थोडा सा छोटा कर देते हैं.	ఈ చివరలు కొనని అంగుళాలు కతతిరిదదాం.
मैं यह सब नहीं मानता.	నేను అది నమమను.
ऐसा है,	చూడు,
नहीं. मेरे पास परमिट हैं.	కాదు. నా దగగర అనని అనుమతులు ఉననాయి.
सोलह?	పదహారా?
अब सो जाओ.	ఇక నిదరపోవాలి.
-मुझे तो नहीं पता. -पकका?	-నాకు ఆ విషయం తెలియదు. -ఖచచితంగానా?
बाप रे.	అబబా.
देखो, मुझे पता है कि तुमहारे लिए खेल कितना जरूरी था.	చూడు, నీకు ఆట ఎంత ముఖయమో నాకు తెలుసు.
उसके कागज पर 200, 000 से भी जयादा नाम थे.	అతని షీటలో 2, 00, 000 ఉననాయి.
कौन सा फोटोगराफर?	ఏ ఫోటోగరాఫర?
पता है न अगर औरतों के पति न हों और वे मिलनसार हों,	భరత లేని సనేహపూరవక మహిళలతో, మగవాళళు
वे मेरी परवाह नहीं करेंगे न?	అయినా వాళళు నా గురించి పటటించుకోరు, కదా?
हम चंद सवाल पूछेंगे, यह हमारे साथ होंगे.	ఆయన కొనని పరశనలు పరశనిసతారు.
बोला कि खरीद पर निरभर करेगा.	అది మనం పందెం కాసే మొతతంపె ఆధారపడుతుంది.
अब जब तुम रहोगी,	నువవు ఉంటుననావు కాబటటి,
कोई बात नहीं.	పరవాలేదు.
मुझे यह खेल और नहीं खेलना.	నేను ఇక ఈ ఆట ఆడను.
कोई बात नहीं.	పరవాలేదు.
-हैलो. -हैलो.	-హే. -హే.
अचछा? उबाऊ कागजी काम होता है?	అవును? ఇది విసుగు తెపపించే పతరాల పని కూడా?
कई लोग इस मुशकिल से जूझ रहे हैं.	ఇక మనదొక కలబ అనుకుంటా.
आज तुमहें बहुत मजा आएगा.	నువవు ఈ రోజు చాలా సరదాగా గడుపుతావు.
तुमने जो यह सारा जाल बिछाकर रखा है,	మీరు ఏరపాటు చేసిన ఇదంతా,
इसे कया परेशानी है?	తన సమసయ ఏంటి?
डिबबे के लिए सबसे अचछी जगह सटियरिंग के पीछे है.	కంటెయినరలో మంచి చోటు డరెవర సీటే.
जो उस शैतानी ऐपलूसा की पीठ से गिरते फिर रहे थे.	ఈ రాకషసి అపపాలూసా కింద పడేసింది.
पर तुमने कर लिया न?	కానీ నువవు పూరతిచేశావు, కదా?
अंदर चलकर बात करें?	ఇది మనం లోపల మాటలాడుకుందామా?
मुझे दफतर पहुँचना है.	నేను మా ఆఫీసుకు తిరిగి వెళళాలి.
टरेन के पुल पर ले गए.	రెలవే వంతెన దగగరకు తీసుకెళళారు.
तुमहें लगता है माँ हमें चाहती हैं?	అమమకు మనమంటే పరేమ ఉందా?
फिर अचानक से एक दुबला सा घुडसवार आया,	అపపుడు ఈ బకక రెడర వచచాడు,
-समय निकला जा रहा है, टायलर. -अचछा, ठीक है.	-టిక-టాక, టెలర. -సరే, మంచిది.
एक साथ बोले.	అపశకునం.
हाँ.	అవును.
कई लोग उससे सहमत थे.	చాలా మంది అతనితో అంగీకరించారు.
तुमहारी जगह मैं होता तो उस तरफ न जाता.	నేను నువవయితే అటు వెళళను.
तो चाहोगे कि किसी को यह पता चले?	అది అందరికీ తెలియాలా?
इसलिए वह समझेंगी.	అందుకని అరథం చేసుకుంటుంది.
कल रात कया हुआ?	నినన రాతరి ఏం జరిగింది?
मेरी मदद के लिए कौन है?	నాకు సహాయం ఏది?
बहुत निरदयी घोडा था.	దురుసు గురరం.
सात सौ डॉलर, हाँ?	700 డాలరలా?
वह औरत कौन है?	ఆమె ఎవరు?
