पलीज. पलीज.	పలీజ. పలీజ.
ओह, जाने दो. यहाँ आओ, किमबरली.	ఓహ, ఏదొకటిలే. ఇలా రా, కిమబెరలి.
-या. . . दुहराव कहते हैं. -हाँ.	-లేదా. . . మొదలౌతుంది. -అవును.
मैं धरती पर वापस जा सकता हूँ रिटायर, या बस आराम कर सकता हूँ	నేను తిరిగి భూమిపెకి వెళళగలను రిటెర అయి, పరశాంతంగా జీవించగలను
हाँ, मैं यहाँ रहकर उसे चोटी वाले आदमी की पिटाई करते देखूँगी.	సరే, నేను ఇకకడే ఉండి వీడు ఆ జెడ ఉనన వాడిని గుదదడం చూసతాను.
बुरे करमों का परायशचित करना है	పాపాల నుండి విమోచించాలసి ఉంది
तुमहें मुझे बियर पिलानी पडेगी.	మీరు నాకు ఒక బీర కొని ఇవవాలి.
अरे, मैं तुमहें सताने आया हूँ.	హేయ, నేను నినను పీడిసతుననాను.
गजब, मुझे यह मॉल बहुत पसंद था.	దేవుడా, నాకు ఈ మాల చాలా ఇషటం.
-यह पूरी तरह पेशेवर है. -कया?	-ఇది కేవలం పని గురించే. -ఏంటి?
-जो तुमहारे चयनों ने. . . -मेरे सवाल का जवाब नहीं दे रहे हो.	-పడే పరభావానని చూపుతుననా. . . -నా పరశనకు అది సమాధానం కాదు.
-छोटा लैरी. -नहीं. टाइनी टिम.	-లిటిల లయారీ. -కాదు. టెని టిమ.
मैंने रेन से कहा कि उसके चयन ही उसे वह बनाते हैं जो वह है.	తాను తీసుకునే నిరణయాలే ఆమెను నిరవచిసతాయి అని రెన కి చెపపాను.
कलिंट, तुम जानते हो मैं तुमहें देख नहीं सकती. कया तुम. . .	కలింట, నేను నినను చూడలేను అని నీకు తెలుసు. నువవు కొంచెం. . .
इसकी लहरें कितनी दूर तक जाएँगी	మన పరభావం ఎంతమందిపె పడుతుందని
मैं मामा बनने वाला हूँ? ओवेन मामा? जैसे "सटार वारस" में है?	నేను అంకుల ని కాబోతుననానా? అంకుల ఒవెన? సటార వారస లో లాగా?
लेकिन चलो भी, चुप मत रहो तुम जानते हो तुम आजमाना चाहते हो	కానీ అలా నిశశబదంగా ఉండిపోకు నీకు తిటటాలని ఉందని నాకు తెలుసు
जबकि पूरे समंदर हैं जिनके जवार-भाटे की दिशा हम बदल सकते हैं	మన సతతాను చూపించి మారపును తీసుకురాగల అవకాశాలు ఎననో ఉననాయి
-आने-वाला करिसमस. . . -बेशक.	-కరిసమస ఎట-టు-కమ. . . -నిజమే.
-दोसतों, पलीज. -तुम जानती हो?	-ఫరెండస, పలీజ. -ఒకటి చెపపనా?
मुझे पता नहीं कया कहना चाहिए.	నాకు ఏమని అనాలో తెలీడం లేదు.
-चलो भी, यार. यह अचछी बात नहीं है. -तुम कया बात कर रहे हो?	-ఒరేయి, అలా అనొదదు. ఏం బాలేదు. -నువవు ఏం మాటలాడుతుననావు?
नहीं, तुम ठीक लग रहे हो. चलो.	ఏం కాదు, బాగానే ఉననావు. పదా.
माइकरो माइकल? बहुत छोटा सटीव.	మెకరో మెకేల? సూపర-సమాల సటీవ.
यही है. मैं यही कहने वाला था.	అదే. నేను అదే చెపపాలనుకుననా.
मतलब, मैं खुद से मान लेना या इसे अजीब बनाना नहीं चाहता था.	అంటే, ముందే అలా అనుకొని నినను ఇబబంది పెటటాలని అనుకోలేదు.
ठीक है, चलो माफी को एमटीवी के वीएमए के दिन पर रखते हैं ताकि जयादा से जयादा चरचा हो.	సరే, జనంలో మరింత అలజడి పుటటించడానికి ఆ కషమాపణను మయూజిక వీడియో అవారడుల రోజున చెపపిదదాం.
कयोंकि दो हफतों में, हम अगले सीजन के मुजरिम को ढूँढेंगे	ఇంకొక రెండు వారాలలో, మనం మరొక నేరసథుని కోసం వెళళబోతుననాం,
बढिया. मॉम, कया मैं इसे बीमार बचचों को दान कर सकती हूँ?	భలే ఉంది. అమమా, నేను దీనిని అనారోగయంగా ఉనన పిలలలకు ఇవవనా?
अभी करने को बहुत कुछ बाकी है	చేయాలసిన పని ఇంకా ఎంతో ఉంది
अपना नकली पेड जोड रहा होगा.	బిగిసతుండడం నేను చూసతుననాను.
. . . अगर वे मुझे चुनते हैं.	. . . వాళళు ననను ఎననుకుంటే.
यह तुमहें कयों देख सकती है?	ఆమె నినను ఎలా చూడగలుగుతుంది?
ताकि असली बदलाव लाया जा सके.	తపపకుండ ఎదురకోవాలసిన విషయం.
-अचछी है ना? -यह गुनगुनी है.	-నచచలేదా? -అది వెచచగా ఉంది.
यह अब मेरे बारे में नहीं है.	ఇది ఇపపుడు నా గురించి కాదు.
तो यह लडका जिसके खिलाफ रेन चुनाव लड रही है, जॉश हाबिंस?	అయితే రెన పోటీ పడుతునన కురరాడి పేరు ఏంటి, జాష హబబినస?
मुझे डर है कि तुम उसे अपने नंबर खराब करने को कह रहे हो.	దానికి నువవు చదవడం మానేయమని చెపపడంతో నాకు భయంగా ఉంది.
जब तुम खुद अपनी जिंदगी से भागने में वयसत हो? बस मान लो.	ఎదుటోళలు ఎలా బరతకాలో చెపపడానికి నువవు ఎవరివి? ఒపపుకో.
सच कहूँ तो, मुझे चिंता है कि मैंने एक बडी गलती कर दी.	నిజం చెపపాలంటే, నేను పెదద తపపు చేసానేమో అని భయంగా ఉంది.
अब आपके घर पर कैसा करिसमस टरी होना चाहिए, इस पर सोशल मीडिया में युदध चल रहा है.	ఇపపుడు ఎలాంటి కరిసమస చెటటును పెటటుకుంటాం అనేది కూడా సోషల మీడియాలో పెదద చరచ అయింది.
थोडा सा भी कुतूहल नहीं है?	కొంచెం కూడా కుతూహలంగా లేదా?
कुछ और चीजें देखना चाहते हो जिनके बारे में तुम गलत हो?	నువవు తపపుగా అనుకునన మరికొనని విషయాలను చూడాలని ఉందా?
अचछा हुआ हमने उसे सजाया था.	పయాకింగ చేయించి మంచిదెంది.
हाँ, यार, मैं देख सकता हूँ.	అవును, మితరమా, తెలుసతుంది.
दुनिया में थोडी अचछाई फैलाओ	పరపంచానికి కొంచెం మంచి చెయ
अगर तुम उफान लाना चाहते हो	నిజంగా ఒక ముదర వేయాలని ఉంటే
नहीं! नहीं! मैंने नहीं किया. वह उसका फैसला था. और सच कहूँ तो, मुझे उस पर गरव है.	లేదు! నేను చేయలేదు. అది అతని నిరణయం. చెపపాలంటే, నాకు అతనని చూసతే గరవంగా ఉంది.
मैंने कहा था. इस मुजरिम से निपटना टेढी खीर है, है ना?	చెపపా కదా. ఈ వయకతి కేసు చాలా ఇబబంది పెడుతుంది, కదా?
पता है, मैं उसके लिए खुश हूँ. अगर तुम अपने सकूल को बेहतर जगह बनाना चाहते हो,	అంటే, ఆమె విషయంలో నాకు సంతోషంగా ఉంది. నీ సకూల ని మంచి పరదేశంగా తీరచిదిదదడానికి,
यही है हमारा अगला निशाना.	వీడే మనం పీడించాలసిన వాడు.
वह इसी के लायक है. तुम जानते हो तुम कहना चाहते हो.	అలా అనడంలో తపపు ఏం లేదు. నీకు ఏం కావాలో నీకు తెలుసు.
कया हम नारनिया जा रहे हैं?	మనం నారనియాకి వెళతుననామా?
अब, वह थोडा डरावना है. जयादा नहीं बोलता है. जयादातर उँगली से इशारा करता है.	వాడు కాసత భయంకరంగా ఉంటాడు. ఎకకువగా మాటలాడడు. వేలు ఎకకుపెటటి చూపిసతుంటాడు అంతే.
तुम उस एक सवाल से डरते हो.	ఆ ఒకక పరశన అంటే నీకు భయం.
वह सब बहुत पहले की बात है.	అది చాలా కాలం నాటి విషయం.
कया है? उसमें कया लिखा है?	ఇది ఏంటి? అకకడ ఏమని ఉంది?
-तुम मुझे नहीं जानते हो. -तुम खुद को नहीं जानते हो.	-నా గురించి నీకు తెలీదు. -నీ గురించి నీకు తెలీదు.
उसने वह तब पोसट किया था जब वह छठी कलास में था, गधे.	అది వాడు ఆరవ తరగతిలో ఉననపపుడు పోసట చేసాడు, వెధవా.
साल दर साल तुमहें यहाँ काम करने पर मजबूर करता है,	నువవు మళళీ బరతికే అవకాశం ఉననా, నువవు ఏళళు తరబడి ఇదే
-नहीं. बस एक सेकंड. -रोशनी में जाओ. बहन के साथ रहो.	-లేదు, ఒకక కషణం. -కాంతిలోకి వెళళు. మీ అకకతో ఉండు.
सुरकषित रहने और छोटा सोचने से कोई बदलाव नहीं आएगा	ఉననచోటునే ఉంటూ, చిననగా ఆలోచిసతే అనుకుననది సాధించలేం
-करिभू. . . वरतमान के करिसमस का भूत. . . -भूत. . .	-జీసి. . . ఘోసట ఆఫ కరిసమస పరజెంట. . . -ఘోసట. . .
रुको. नहीं. तुम कया कर रहे हो? तुम कया. . . अरे!	ఆగు. వదదు. నువవు ఏం చేసతుననావు? వాళళు ఏం. . . హేయ!
हैलो, दोसतों. हैलो, रेनी.	హేయ, ఫరెండస. హేయ, రెననీ.
और उसके माता-पिता की अपनी गैर-लाभकारी संसथा है.	అలాగే వాడి అమమా నాననలకు ఒక ఛారిటీ సంసథ కూడా ఉంది.
मेरे खयाल से तुम बनाना चाहते हो एक लहर, लहर, लहर?	నీకు మారపు తీసుకురావాలని ఉందని నాకు అనిపిసతుంది
-हाँ, वह बहुत अचछा बचचा है, सच में. -ठीक है. मैं तुमहारी पिटाई कर दूँगा.	-అవును, వాడు నిజంగానే చాలా మంచి కురరాడు. -ఆపు. నినను కడుపులో గుదదుతా.
यहाँ कोई पिलला नहीं है.	కుకక పిలల అంటూ ఏమీ లేదు.
-यही वह खास पल है. . . मिसटर बरिगस. -नहीं. . .	-ఇది ముఖయమెన సందరభం. . . మిసటర బరిగస. -లేదు. . .
खैर, मैं सहमत नहीं हूँ.	ఏమో, నేనెతే అలా అనుకోను.
पता है, अगर तुम चली भी गई, जो कि तुम नहीं जाओगी.	అంటే, ఒకవేళ చనిపోయినా, నువవు చావడం లేదు అనుకో.
वह यहाँ है. अरे, इस तरफ.	ఇకకడ ఉననాడు. హేయ, ఇకకడ.
तुमने सब बरबाद कर दिया!	నువవు అంతా నాశనం చేసావు!
हम पूरे मैनहैटटन में पैदल घूमे और बात की और खिंचाव महसूस किया और. . .	మేము మనహటటన లో అలా నడుచుకుంటూ వెళలి, మాటలాడుకొని, బంధం ఏరపరచుకుననాం. . .
थोडी और जयादा मेहनत करो	ఇంకాసత కషటపడి పని చేయాలి
खैर, यह कहना नामुमकिन है	అంటే, అది చెపపడం అసాధయం
-यह बहुत सटीक है. सीपीएम 104 को रोको, पलीज. -मुझे सुनाई नहीं दे रहा.	-అచచం ఎపపటిలాగే ఉంది. సిపిఎం-104ని ఆపండి, పలీజ. -నాకేం వినిపించడం లేదు.
मैं बताऊँ? हमें यह अभी करने की जरूरत नहीं है.	ఒకటి చెపపనా? మనం ఈ పని ఇకకడే చేయాలసిన పని లేదు.
हाँ. डिकेंस की किताब और बिल मरे की फिलम की तरह,	అవును. డికెనస నవల అలాగే బిల మురరే సినిమా ఇంకా
-यह शुरू हो गए. -वह अनुचित था, लेकिन, पता है,	-మళళీ మొదలు. -అలా చేయడం వృతతికి విరుదధమే, కానీ,
बस करो. अपना मुँह बंद रखो और बस दृशय को देखो.	ఆపు. నీ చెతత నోరు మూసుకొని నేను చూపించేది చూడు.
मुझे लगा हम नियमों के अनुसार काम करने वाले हैं.	ఇకపె అననీ నిబంధనల పరకారమే చేసతావు అనుకుననాను.
-खैर, यह बढिया है. -सामुदायिक सवयंसेवी काम. . .	-భలే, ఇది బాగుంది. -కమయూనిటీ వాలంటీర పని. . .
और तुमहारा भाई तुमसे कह रहा है कि शांत हो जाओ	ఇపపుడు నీ సోదరుడు నినను శాంతించమని అడుగుతుననాడు
कयोंकि मैं मानवजाति पर एक सकारातमक परभाव डाल सकता हूँ, या वैसा कुछ.	ఎందుకంటే నేను మానవాళికి మంచి చేయగల వాడిని కాగలను అని ఏదేదో అననావు కదా.
अतीत के करिसमस का भूत,	ది ఘోసట ఆఫ కరిసమస పాసట,
ठीक है. भगवान. कया उसने मेरे बारे में कुछ कहा?	అలాగే. దేవుడా. వాడు నా గురించి ఏమెనా అననాడా?
मैंने कभी नहीं कहा था कि यह सरल तरीके से होगा.	నేను ఈ పని సులభంగా జరుగుతుందని చెపపలేదు కదా.
मैं कोई राकषस नहीं हूँ.	నేనేం రాకషసుడిని కాదు.
बस वैसा बरताव करते रहो.	ఇపపుడు కూడా అలాగే చెయ.
एक और गाना गाने वाले हैं? कया यह वाकई जरू. . .	ఇంకొక పాట పాడాలా? తపపకుండా పాడాలసిందేనా. . .
मन करता है उसकी बात सुनकर किसी बूढी औरत को सीढियों से धकका दे दो.	వీడి మాటలు వింటే ఒక ముసలావిడని మెటల మీద నుండి తోసేయాలని అనిపిసతుంది.
अब, आखिरकार, मेरे पास एक ऐसा मुजरिम है जिसकी पहुँच पूरे विशव में है.	సరే, ఇక చివరికి, పరపంచం అంతటా పరభావానని చూపగల ఒకడు మాకు దొరికాడు.
मैंने उसका उसकी मौत से आमना-सामना करवा दिया	నేను ఆమెకు తన చావును పరిచయం చేసి మరీ పంపించా,
मतलब, हाँ. वह सूट पहने हुए एक कीडा है. है ना?	అంటే, అవును. వీడు ఒక ఏ-కలాసు పోరంబోకు. కదా?
मुझे वाकई लगता है तुम रिटायर होना चाहते हो.	నీకు నిజంగానే రిటెర అవవాలని ఉంది అనుకుంటుననా.
-सिरफ यह देख सकता है. हाँ. -वह शानदार होता.	-తను మాతరమే చూడగలడు. అవును. -అది భలే ఉంటుంది.
और जब सब बिना दिककत के हो जाता है तब हम करिसमस पर पारटी करते हैं	అనుకుననది అంతా సకరమంగా జరిగితే అపపుడు ఈ కరిసమస పారటీకి అవధులే ఉండవు
-मैं तुमहारे साथ और समय बरबाद नहीं कर सकता, यार. -गजब, कया भाषा है.	-నీతో ఇక ఆటలాడే ఓపిక నాకు లేదు, బాబు. -వావ, బాగా మాటలాడుతుననావు.
तुम यह मान कयों नहीं लेते कि तुमने किमबरली को खुद को देखने दिया?	కిమబెరలికి నువవు కావాలనే కనిపించేలా అవకాశం ఇచచావని ఎందుకు ఒపపుకోవు?
खबर मिलते ही ओवेन ने मुझे मैसेज किया था. मुझे उस बचची पर गरव है.	ఆమెకు సీట రాగానే ఒవెన మెసేజ చేసాడు. ఆ పిలలని తలచుకుంటే గరవంగా ఉంది.
और ये मेरे सहकरमी हैं,	వీరంతా నా సహోదయోగులు,
ओह, शायद मैं भूल नहीं गई हूँ कि सही कया है	ఓహ, బహుశా ఇంకా నాలో నా మనసాకషి పనిచేసతుందేమో
यह बहुत, बहुत अजीब है.	ఇది చాలా వింతగా ఉంది.
मैंने बताया था. यह बंदा बहुत खिजाने वाला है.	చెపపాను కదా. ఆ వెధవతో వేగడం చాలా కషటం అని.
वही कहानी लेकर वापस मत आना जो यह लेकर आई है.	నువవు కూడా ఈమె లాంటి పనే చేసి తిరిగి రాకు.
-हमारा वरतमान करिभू रिटायर हो गया. -करिभू?	-ఆ తరవాత మా జీసి పరజెంట రిటెర అయయాడు. -జీసి?
-सच में? -अह-हँ. हाँ.	-అవునా? -ఆహ-హా. అవును.
-नहीं. -हाँ. एक तरह से "भाड में जाओ" जैसा.	-అవునా? -అవును. దాదాపుగా "పోయి చావు" అననటటు.
तुमहारा लहजा बेकार है.	నీ యాస ఛండాలంగా ఉంది.
-यह बंदा बुरी तरह मेरे पीछे पडा हुआ है. -वापस सो जाओ, मिसटर बरिगस.	-ఇతను ఎంతో కషటపడి పని చేసతుననాడు. -వెళలి పడుకోండి, మిసటర బరిగస.
लेकिन, मतलब, कौन करिसमस के पहले वाली शाम को ऑफिस की पारटी देता है?	కానీ, అంటే, కరిసమస రోజు ముందు ఎవడు ఇలా పని పారటీ పెడతాడు చెపపు?
ओह, चलो भी. यह मत करो.	ఓహ, ఊరుకో. ఇలా చేయకు.
कलिंट, पलीज धीरे चलो!	కలింట, నెమమదిగా వెళళు!
यह अंत नहीं है, कलिंट.	ఇదే అంతం కాదు, కలింట.
अवसर का फायदा उठाने का चयन करो अब समय आ गया बचपन से बाहर आने का	అవకాశాలను అందిపుచచుకోవాలని నిరణయం తీసుకోవాలి బాధయత తీసుకొని నడవాలి
-मैं वरतमान के करिसमस का भूत हूँ. -तुमहारे बॉस ने तुमहें डाँटा	-నేను ఘోసట ఆఫ కరిసమస పరజెంట ని. -నీ బాస నినను ఫుల గా తిటటిన తరవాత
कोई बडी बात नहीं है. मैं. . . अरे, किमबरली के साथ सब कैसा रहा?	అదేం పెదద విషయం కాదు. నేను. . . హేయ, కిమబెరలితో డేట ఎలా గడిచింది?
तुम यह साबित करने वाले थे कि ना सुधरने वाले लोग भी सुधर सकते हैं.	విమోచింపశకయం కానీ వయకతి కూడా మారగలడు అని నువవు నిరూపించబోయావు.
खैर, मुझे मरे लगभग दो सदियाँ हो चुकी हैं.	అంటే, నేను చనిపోయి రెండు శతాబదాలు అవుతుంది.
-ऐसा कया? मुझे नहीं लगता. -तुमने किया है.	-అవునా? నేను అలా చేసి ఉండను. -నువవు చేసావు.
देखा? वह इसके बारे में पोसट नहीं करना चाहता. शायद यह एक अचछा, विनमर बचचा है जो बस. . .	చూసావా? వాడికి ఆ ఫోటో పోసట చేయాలని లేదు. బహుశా వాడు మంచోడే ఏమో, మంచి గుణం ఉనన. . .
रुको, बस पहले मुझे यह कह लेने दो, ठीक है?	ఆగు. ననను కొంచెం ఒక విషయం చెపపనివవు, సరేనా?
-कया बनने लगे थे? -मुझे लगा हम बनने लगे थे,	-ఒకరికి ఒకరం ఏంటి? -నేను మనం ఒకరికి ఒకరం,
यार, मैं वैसे नहीं नाच सकता. कया तुम इस सबकी बराबरी कर पाओगे?	ఒరేయ, నేను ఇలా డానస చేయలేను. మీరంతా వాళలతో సమానంగా డానస చేయగలరా?
या मैं बस एक कम. . .	నేను గరవంతో విరర. . .
हाँ, इस करिसमस पर हम उसके ऊपर मँडराएँगे,	అవును, మేము ఈ కరిసమస అతనని పీడించబోతుననాం,
रफी, ये कमाल के हैं.	రాఫి, ఇవి భలే ఉననాయి.
और यह बहुत मुशकिल है.	అది చాలా పెదద సహాయం.
यह सब कया हो रहा है?	అయితే ఇదంతా ఏంటి మరి?
-रुको. कया वह जूडी डेंच थी? -हे भगवान. वह पूरे देश को पयारी है.	-ఆగు, ఆగు. అది జుడి డెంచ ఆహ? -ఓరి, దేవుడా. ఆవిడ ఎంతో గొపపది.
-कोई सवाल नहीं? -कोई सवाल नहीं. यहाँ रुको.	-పరశనలు ఆపాలా? -ఇక పరశనలు ఆపు. ఇకకడ ఆగు.
अब हम असली जॉश को जानते हैं! हैशटैग जहरीला	జాష ఎలాంటోడో తెలిసింది! #విషపూరితమెనవాడు
-माफ करना! -हे भगवान!	-కషమించండి! -దేవుడా!
-इस साल का मुजरिम कौन है? -खैर, ये सब हैं.	-ఈ ఏడాది నేరసతుడు ఎవరు? -అందరూ నేరసతులే.
एक विशेषजञ के रूप में मेरी सलाह है उस नफरत को हवा दो, कयोंकि नफरत मजबूत होती है	ఒక నిపుణుడిగా నేను ఇచచే సలహా ఏంటంటే ఆ దవేషానని పెంచండి, ఎందుకంటే దవేషం చాలా బలమెంది
हाँ. मैं बस. . . देखो, अगर तुम वह महसूस नहीं करते हो और व. . .	అవును. నేను. . . ఇలా చూడు, నీకు అలా అనిపించకపోతే, నేను. . .
खैर, एक दिन तुम उठकर सोच में पड जाती हो	ఒకరోజు నిదరలేచే సరికి సందేహం వసతూ ఉంటుంది
सब ठीक है. हाँ, इसे बंद कर दो. शुकरिया.	పని పూరతి అయింది. అంతే, సీన తీసేయ. థాంకస.
-इसने शौचालय जाम कर दिया. -गुड आफटरनून.	-ఆమె బాత రూమ ను పాడు చేసింది. -ఇక ఉంటాను.
रुको. रुको. . . बस यही है? तुम जा रहे हो?	ఆగు. ఉండు. . . అంతేనా? నువవు పోతుననావా?
लेकिन चिंता मत करो. तुम बहुत बढिया करोगे.	కానీ ఏం చింతించకు. నువవు బాగానే ఉంటావు.
अगर मैं कमबखत पेंच घास में गिराता रहूँगा!	పారేసతుంటే నేను దీనిని నిరమించలేను కదా!
मैंने नहीं बोला. मुझे भी सुनाई दिया. मुझे नहीं पता वह कया था.	అది నేను కాదు. నాకు కూడా వినిపించింది. అదేంటో నాకు తెలీదు.
मैं जानती थी तुमहें जयादा लगाव हो जाएगा. मैं जानती थी. . .	నువవు ఇలా అంటుకుపోయే రకానివి అని నాకు తెలుసు. నాకు ముందే. . .
हाँ, सीनेटर. यह अपमानजनक दिखने के लिए ही डिजाइन किया गया है.	అవును, సెనెటర. కోపం తెపపించాలనన ఉదదేశంతోనే మనం చేసతుననాం.
सच में? बढिया. शुकरिया. यह काफी उचित है.	నిజంగా? అదభుతం. థాంకస. అది మంచి విషయం.
मैं एक अचछे आदमी का इंतजार करते-करते थक गई. मुझे बचचा चाहिए.	మంచి మగాడి కోసం ఎదురుచూసే ఓపిక ఇక లేదు. నాకు బిడడ కావాలి.
ठीक है. अलविदा, जान.	సరే మరి. బె, బుజజి.
अब हमने नहीं कहा गुड मॉरनिंग या गुड नाइट	మేము ఇక ఉంటానానో లేక వెళతాననో చెపపలేదు
-और अब तुम पूरे डिकेंस जैसे बन गए? -देखो, मुझे अब नियमों के हिसाब से चलना पडेगा.	-ఇపపుడు అంతా రూలస పరకారం చేసతుననావా? -చూడు, ఇకపె అంతా నియమాల పరకారమే చేయాలి.
तुम बस ऐसे ही नहीं जा सकते. तुमहारा कया?	నువవు అలా వెళలిపోకూడదు. నీ సంగతి ఏంటి?
एक मिनट रुको. रुको.	ఒకక నిమిషం ఆగు. ఆగు.
नहीं, सब ठीक है. गाओ. ठीक है, तुम गाओ.	లేదు, కానివవండి. పాడుకోండి. సరే, పాడండి.
-ठीक है. -वह गलत था.	-సరే. -అదేం బాలేదు.
-ठीक है. हाँ? -हाँ.	-అలాగే. సరేనా? -పదా.
-मैं मदद करने की कोशिश कर रहा हूँ. -मुझे मदद नहीं चाहिए.	-నేను సహాయం చేయడానికి పరయతనిసతుననా. -నాకు సహాయం అవసరం లేదు.
मुझे उसके बारे में पूरी रिपोरट चाहिए.	నాకు వాడి గురించి పూరతి సమాచారం కావాలి.
-नहीं, वह बहुत आकरषक है. -बेहद आकरषक.	-నిజమే, వాడు మహా అందగాడు. -మహా అందగాడు.
एक छोटा सा पतथर फेंकूँ एक बडी नदी में	ఒక పెదద పరవాహంలోకి చినన రాయిని విసరాలని
हाँ, मैं उसका आभारी हूँ, लेकिन कुछ तकिया कलाम हैं जिनहें मैं आजमाना चाहता हूँ.	అవును, అలా అననందుకు సంతోషం, కానీ నేను కొనని డెలాగులు చెపపాలని అనుకుంటుననా.
दरअसल, नहीं. मुझे कोई कुतूहल नहीं है.	చెపపాలంటే లేదు. నాకు నిజంగా ఆసకతి లేదు.
अभी भी करिसमस का समय है. अभी भी समय है.	ఇంకా కరిసమస అయిపోలేదు. ఇంకా టెమ ఉంది.
एक छोटा सा पतथर फेंकूँ एक बडी नदी में	ఒక పెదద పరవాహంలోకి చినన రాయిని విసరాలని
और हर बार उसी से मैं बदलाव लाता हूँ.	అలా చేసిన పరతీసారి, జనం మారుతూ వచచారు.
जैसे हम नशे में हों	మా మధయ అంతా ఆనందమే
मैं टैमपा में अपनी सहेलियों के साथ बहुत पारटियाँ करती थी.	టాంపలో నేను నా ఫరెండస తో తాగేసి చాలా ఎంజాయ చేసేదానిని.
-यह मत करो. मत करो. चलो भी. -पता है?	-దయచేసి వెళళిపోకు. పలీజ. -ఒకటి చెపపనా?
ठीक है. . . बस करो.	సరే. . . మాటలాడకు.
-गुड आफटरनून! -हाँ!	-ఇక ఉంటాను! -అంతే!
नहीं. सच में नहीं.	లేదు. ఆమెకు తెలీదు.
कया मैं हमेशा ना सुधरने वाला रहूँगा?	ఎపపటికీ విమోచన లేకుండానే మిగిలిపోతానా?
डराइवर! यह जिंदगी और मौत का सवाल है.	డరెవర! ఒక మనిషి పరాణాలు పోయేలా ఉననాయి.
ठीक है. खैर, कया तुमने सोचा कि कया दाँव पर लगा है? वह ना सुधर पाने वाला है!	సరే. మరి దీనికి ఉండే పరయవసానాల గురించి ఆలోచించావా? వాడిని విమోచించలేము!
-जाने का समय हो गया. -वह एक बचचा है. छठी कलास में है.	-ఇక నేను వెళళాలి. -వాడు చినన కురరాడు. ఆరవ తరగతి కురరాడు.
-मैं वरतमान के करिसमस का भूत हूँ. -तुम कया कर रहे हो?	-నేను ది ఘోసట ఆఫ కరిసమస పరజెంట ని. -నువవు ఏం చేసతుననావు?
बात यह है कि यह बस एक अलौकिक नाटक था.	చూసారా, ఇది కేవలం ఒక అతీందరియ కలపన.
लेकिन दो साल पहले, उसने टिकटॉक पर यह पोसट करके तुरंत डिलीट कर दिया था.	కానీ, రెండేళల కరితం, వాడు ఈ వీడియోని టిక టాక లో పోసట చేసి వెంటనే తీసేసాడు.
कयोंकि तुम अपनी माँ की तरह अचछी हो.	ఎందుకంటే నువవు మీ అమమలాగే మంచిదానివి.
-आ जाओ, गले मिलो. चलो. -अंकल कलिंट!	-ఇలారా, పదా. దగగరకు రా. -అంకుల కలింట!
लहर, कया तुम बनाना चाहते हो एक लहर?	మారపు, నీకు మారపు తీసుకురావాలని ఉందా?
-मॉम ने कहा हम आज रात एक तोहफा खोल सकते हैं. -बढिया.	-రాతరికి మనం బహుమతులు తెరవవచచు అని అమమ చెపపింది. -సూపర.
तुम आसानी से जीत सकती हो, लेकिन उसके लिए तुमहें कुछ बुरे काम करने पडेंगे.	నువవు ఆ పోటీలో గెలవగలవు, కాకపోతే కాసత అనెతికంగా నడుచుకోవాలసి ఉంటుంది.
और दूसरे बचचे को चोट पहुँचाने को कह रहे हो. और वह तुमहारी बात सुन रही है.	అలాగే ఇంకొక కురరాడి భవిషయత పాడు చేయమననావు. అది నువవు అననటటే చేసతుంది.
-हो भी गया? -हाँ.	-అపపుడేనా? -అవును.
हाँ. लेकिन कया आप जिंदगी का एक और अवसर नहीं चाहते हैं?	అలాగే. కానీ మీకు మరొకసారి పరాణాలతో జీవించాలని లేదా?
बडा कोने वाला ऑफिस बारह लोगों की टीम	పెదద కారనర ఆఫీసు 12 మంది ఉనన బృందం
मैं वह बंदा हूँ जिसे तुम लोग सताओगे?	నననే పీడించాలని ఎందుకు అనుకుననారు?
हैलो, मिसटर बरिगस.	హలో, మిసటర బరిగస.
मतलब, रुको. नहीं.	అంటే, కాదు. ఆగండి.
नहीं, मैं तुमहें आँक नहीं रहा हूँ.	లేదు, నేనేం నినను హీనంగా చూడడం లేదు.
हैलो, मिसटर बरिगस.	హలో, మిసటర బరిగస.
मेरी करिसमस, डैन.	మెరరీ కరిసమస, డాన.
कलिंट, मत करो. उसके वापस आने से पहले मेरी बात सुनो.	కలింట, ఇపపుడు కాదు. అమమాయి వచచేలోపు నేను చెపపేది విను.
यह पेशाब जैसी है.	ఇది దారుణంగా ఉంది.
सिरफ कलिंट, है ना?	కలింట ఒకకడే, కదా?
एक सीमा है जिसे लाँघ नहीं सकते और पता है? वह यही है	దేనికెనా ఒక హదదు ఉంటుంది నాకెతే ఇదే ఆ హదదు అనిపిసతుంది
हमें पकका यकीन है.	కచచితంగా చెపపగలం.
नहीं, नहीं, नहीं, नहीं, नहीं. तुम एक भूत हो. चलो चलें.	లేదు, లేదు, లేదు, లేదు. నువవు భూతానివి. వెళదాం పదా.
थोडी शराफत बाकी है	కొంత మంచి ఉంటుంది
लेकिन अगर तुम रासते से भटक भी जाओ तुमहें खोया हुआ रहने की जरूरत नहीं है	కానీ నువవు నీ మారగం తపపినా కూడా అదే తపపుడు దారిలో ఉండాలసిన పని లేదు
हाँ, मैंने फिलमें देखी है. मैं जानता हूँ कया करना है.	అవును, నేను సినిమాలలో చూసా. ఏం చేయాలో నాకు తెలుసు.
