मैमी?	మామీ?
वे साथ में बेहद पयारे दिखते हैं.	వాళలంతా కలిసి ఉంటే చూడముచచటగా ఉంది.
मुझे पता नहीं था कि तुम आ रही हो. तुमने मेरे संदेश का जवाब नहीं दिया.	నువవు వసతుననావని నాకు తెలియదు. నా సందేశానికి నువవు జవాబివవలేదు.
फोरटी फुट बेदिंग पलेस	ఫారటీ ఫుట సనానాల పరదేశం
तो फिर तुम कर रही हो?	అయితే నువవు చేసతుననావా?
बस. . . म. . . बस मुझे बताओ कया हुआ, गरेस.	కేవలం. . . చెపపు. . . ఏం జరిగిందో చెపపు, గరేస.
तुम जैसी लडकी के साथ यह समझना मुशकिल है कि कया करूँ.	నీలాంటి అమమాయితో ఏం చేయాలో నాకు తేలచుకోవడం కషటం అవుతోంది.
तुमने कहा था कि खाना-पीना किया था.	మీరు తిని తాగుతారు అని చెపపారు.
-तुम ठीक हो? -मुझे दोबारा बाथरूम जाना है!	-మీరు బాగానే ఉననారా? -నేను మళలీ మూతరం పోయాలి!
मैं बस बाहर निकलने वाली थी. तुमहारे लिए कया कर सकती हूँ?	నేను ఇంక బయటకు వెళతుననాను. నీ కోసం నేను ఏం చేయగలను?
-ए. -हैलो.	-హేయ. -హాయ.
तुमने वयसक आदमी की तरह फोन का जवाब देकर अचछा किया,	నువవు ఒక పెదద అబబాయిలాగా ఆ ఫోనులో మాటలాడటం గొపపగా ఉంది,
बेशक. हाँ.	అలాగే. సరే.
हैलो? मिना?	హలో? మినా?
-मजे करो, बचचों. -अलविदा, डैड!	-పిలలలూ ఆడుకోండి. -ఉంటాను, నాననా!
-कया कहा? -कुछ नहीं.	-మననించండి? -ఏమీ లేదు.
नहीं. नहीं. माफ करना. तुम मुझे इसमें नहीं घसीटोगी.	వదదు. వదదు. ననను మననించండి. మీరు ననను ఇందులోకి లాగకండి.
तुमने अपने हाथ धोए, गंदी कहीं की?	వెళలి చేతులు కడుకకో, చెతతదానా?
यह लो. . .	తీసుకో. . .
तुमहें कभी केन के साथ वह करते नहीं देखा.	కియన తో నువవు ఇలాంటిది చేయడం ఎపపుడూ చూడలేదు.
केन कौन है?	కియన ఎవరు?
वह इतना अचछा कुतता था.	వాడు చాలా మంచి కుకక.
अरे, गरेसी.	ఓహ, గరేసీ.
उनहें लगा कि जॉन पॉल और मेरा चककर चल रहा था.	నాకూ జాన పాల కీ సంబంధం ఉందని అనుకుననారు.
हाँ, अभी मदद नहीं कर सकती. पर मुझे बस कुछ महीनों का समय दो.	అవును, నేను ఇపపుడు నీకు సాయం చేయలేను. నాకు కొదది నెలలు సమయం ఇవవు.
अपने बचचों के साथ नहीं? अपने विकलांग बेटे के साथ नहीं?	నీ పిలలలు లేకుండా? నీ వికలాంగుడెన కొడుకు లేకుండా?
माफ करना, बस अपनी पतनी पर चिलला रहा हूँ. वह गरभवती है.	కషమించాలి, నా భారయ మీద అరుసతుననానంతే. తను గరభవతి.
सुनो, हमें कभी डरिंक के लिए चलना चाहिए.	విను, మనం ఎపపుడో ఒకపపుడు డరింక కోసం వెళదాం.
-नहीं! -नहीं! चलो, वह छोडो! चलो!	-అయయో! -అయయో! పద, వదిలేయ! పద!
नीच, घिनौनी, और शरमनाक. तुम यही हो, अरसला गारवी.	నీచం, అసహయకరం ఇంకా అవమానకరం. అది నువవు, ఉరసులా గారవీ.
-कया हुआ? -तुम बचकानी बातें कर रही हो.	-ఏంటి? -నువవు చాలా అమాయకంగా ఆలోచిసతుననావు.
मैं अभी गया नहीं हूँ.	నేను ఇంకా వెళలలేదు.
कया डॉनल को पता है?	డోనల కి విషయం తెలుసా?
कयोंकि डैड कया कहते अगर हम यह नहीं करेंगे?	ఎందుకంటే మనం చేయకపోతే నానన ఏం అనేవారు?
-कया? -सोमवार को कलेजा बनता है.	-ఏంటి? -సోమవారం కాలేయం రోజు.
तुम मुझे अब कयों बता रही हो?	నాకు ఇపపుడు ఎందుకు చెబుతుననావు?
मुझे जॉन पॉल को मकखन लगाना है.	జాన పాల ని మంచి చేసుకోవాలి.
कुछ सवाल पूछने थे.	బీమా కోసం అడుగుతాను.
माफ करना?	కషమించండి?
कया यह वेशयालय है?	ఇది ఏమెనా వేశయగృహమా?
दरअसल. . .	అంటే. . .
अरस! हैलो?	ఉరస! హాయ?
और मेरे पास पेसटरी बनाने का समय नहीं था, माफ करना.	కానీ నాకు కేకులు చేసే సమయం దొరకలేదు, కషమించు.
यह कया है?	అది ఏంటి?
माफ करना.	కషమించండి.
माफ करना!	కషమించండి!
माफ करना?	కషమించండి?
मैं एक आपराधिक जाँच के. . .	నేను ఒక కరెమ ఘటటం పరిశోధన. . .
सच कहूँ तो, वह सकिनी जीनस में काफी बेहतर दिखता था.	అతను బిగుతెన జీనస లో నిజంగా చాలా బాగుండేవాడు.
हम रासते में ही हैं.	మేము అటు వసతుననాం.
नहीं. . . नहीं. . . ऐसे ही पूछा. मैं बस. . .	లేదు. . . లేదు. . . ఏ కారణం లేదు. నేను కేవలం. . .
बेन - तुमहारी टाँगों के बारे में सोच रहा हूँ. तुमहें दोबारा छूने को बेताब हूँ.	బెన - నీ కాళల గురించి ఆలోచిసతుననాను. వాటిని తాకడానికి తహతహలాడుతుననాను.
ईसटर में तुमहारे यहाँ. . . होने के नाम.	ఈసటర రోజున. . . ఇకకడికి వచచినందుకు.
तो सपताहांत को कया कर रही हो?	ఈ వారాంతంలో ఏం చేసతుననావు?
यह लगभग छह महीने तक चलेगा.	ఇది దాదాపు ఆరు నెలలు ఉంటుంది.
बस एक पुराना दोसत है जिसके साथ मैं बूल खेला करता था.	చాలా కాలం కిందట నా పాత ఫరెండ తో కలిసి బౌల ఆటని ఆడే వాడిని.
मेरा वह हिससा जो इतने सालों से बिना उददेशय के जी रहा था. . .	నా జీవితంలో కొదది సంవతసరాలుగా నిసతేజంగా ఉనన నాలోని ఒక భాగం ఏదో. . .
मैं शाम को फोन करने के लिए माफी चाहूँगा. उममीद है मैं परेशान नहीं कर रहा हूँ.	ఈ సాయంతరం వేళ మిమమలని ఇబబంది పెడితే కషమించండి. నేను మీకు అవాంతరం కలిగించడం లేదనుకుంటా.
मैं बस अचानक गई थी.	ఊరికే అలా వెళలాం.
आज डॉनल नहीं आया?	ఈ రోజు డోనల రాలేదా?
कया तुमने मेरे पीछा किया?	ననను ఇకకడి వరకూ అనుసరించావా?
हम वह उसमें कैसे डालेंगे?	సరే, మనం లోపలికి ఎలా వెళతాం?
शायद मैं देर से वयसक हुई थी.	నాకు ఆలసయంగా వచచి ఉంటాయి.
मैं इस बुरी सथिति में पड गई.	నేను ఇందులో కూరుకుపోయాను.
-तुम यह जानती हो. -ठीक है. "हमें. . .	-నీకు ఇది తెలుసు. -సరే. "మనం. . .
-डैडी का पिन कया है? -मैमी, मैं बता नहीं सकती.	-నానన ఫోన పిన ఏంటి? -మామీ, నేను చెపపలేను.
हाँ, पर मैं नहीं हूँ. हमें. . . हमें बात करनी है.	అవును, కానీ, నేను అలా లేను. మనం. . . మనం మాటలాడుకోవాలి.
तो, हम उस कमीने को मारने की अगली कोशिश कब करेंगे?	సరే, ఆ చెతతవెధవని చంపడానికి మనం మళలీ ఎపపుడు వెళుతుననాం?
-मुझे नहीं चाहिए. -अरे, मुझे तुमहारा अजीब फलान पसंद है.	-ఐస కరీమ వదదు. -ఓహ, నీ వింత ఐస కరీమ నాకు నచచింది.
-अरे, तुमहारा दिल काफी बडा है. -हाँ, मुझे गधों की काफी परवाह है.	-నీది చాలా పెదద మనససు. -అవును, గాడిదలను బాగా చూసుకుంటాను.
माफ करना.	కషమించు.
पूछने के लिए धनयवाद. मुझे सोचने. . .	అడిగినందుకు ధనయవాదాలు. ననను. . .
अरे, इससे पहले कि भूल जाऊँ.	ఓహ, నేను మరచిపోయే ముందు.
मेरे बेटे की बात मत करो.	నా కొడుకు గురించి మాటలాడకు.
माफ करना.	మననించు.
अरे, यह हरी टिकट, 2-1-6 है.	ఓహ, ఇది ఆకుపచచ, 2, 1, 6.
नहीं, जान. सारे कमीने नहीं होते हैं.	లేదు, బంగారం. వాళలు వెధవలు కాదు.
डेथ कैप.	డెత కయాప.
-हे भगवा. . . -हे भगवान!	-దేవుడా. . . -దేవుడా, బాబూ!
माफ करना.	కషమించు.
माफ करना.	కషమించు.
पता नहीं अब वे योजनाएँ कहाँ गईं.	అవననీ ఇపపుడు ఎకకడికి పోయాయో తెలియదు.
जब तक कि बैका अपना मुँह बंद रखती है.	బెకా తన నోరు మూసుకుని ఉండే వరకూ.
मैं काम से संबंधित कुछ सोच रही थी, कोई औदयोगिक दुरघटना.	అతని ఆఫీసు దగగర అలాంటి ఒక పథకం ఆలోచిసతుననాను, పరిశరమలో పరమాదం.
मुझे. . . मुझे तुमसे. . . मुझे तुमसे बात करके सच में अचछा लगा.	నేను. . . నేను నిజంగా ఇషటపడుతుననాను. . . నిజంగా నీతో మాటలాడటం నాకిషటం.
हमें उसकी परतियाँ बनवानी चाहिए,	దాని కాపీలని మనం తీయించాలి, తెలుసా,
तुमहें और कुछ जानना है?	మీకు ఇంకేమెనా సాయం చేయాలా?
हाँ. हाँ, मैं शामिल थी.	అవును. అవును, నేను ఉననాను.
"मैकडॉना और मैकबराइड. "	"మాక డోనా ఇంకా మాక బరెడ. "
-मैं उसे दुख नहीं पहुँचाना चाहती हूँ. -हाँ.	-తనని బాధపెటటాలని అనుకోవడం లేదు. -సరే.
माफ कर दो, माइकल.	కషమించు, మెఖేల.
पोसटमॉरटम वाला.	పోసట మారటమ మనిషి.
तुमने जिपर बंद करते हुए पूछा कि कया हमें फलान चाहिए?	నీ పయాంటుకి జిప లాకకుంటూ మాకు ఐస కరీమ కావాలా అని అడుగుతావా?
मैं. . . मैं जवाब नहीं दे सकती. नहीं.	నేను. . . నేను ఈ ఫోన తీయలేను. నా వలల కాదు.
उसे केवल एक ही चीज चाहिए थी, पर फिर उसने मेरे अनय गुण देखे.	అతను కేవలం ఒకకటే ఆశించాడు, కానీ తరువాత నా దగగర మిగతావి కూడా చూశాడు.
और पकका तुमहें पता चल जाएगा कि अरसला खुद के लिए समय निकाल लेती है.	ఉరసులా తన కోసం కొంత సమయం ఎలా కేటాయించుకుంటుందో నువవు ఖచచితంగా తెలుసుకోవాలి.
और यह पुराना दोसत कौन था?	మీ పాత మితరురాలు ఎవరు?
गरेस. . . गरेस का कया?	తను. . . గరేస సంగతి ఏంటి?
नहीं, हम ऐसा कुछ नहीं करेंगे.	సరే, మనం అలాంటి పనులు ఏవీ చేయదదు.
माफ करना. तुमने. . . तुमने मुझे डरा दिया.	మననించు. ఇపపుడు. . . ననను భయపెటటావు.
-माफ करना. तुमहारे पास समय है? -ए, कया हुआ?	-కషమించు. నీకు కొదదిసేపు సమయం ఉందా? -హేయ, ఏమెంది?
तुमहारे कानों में दरद हो रहा था. माफ कर दो.	ఇది నీ తలలో రెలు పరిగెడుతుననటలుంది. ననను కషమించు.
-माफ करना, मुझे पता नहीं यह कैसे. . . -181-डी-588.	-కషమించు, ఇది ఎలా జరిగిందో నాకు తెలియదు. . . -181 డి 588.
अरे, जान, देखो, मुझे काम है. मैं खाना पका रही हूँ.	ఓహ, బంగారం, చూడు, నేను వెళలాలి. నేను ఇకకడ ఉడికిపోతుననాను.
परिवार की तरह.	ఒక కుటుంబం లాగా.
मुझे सारे विवरण लेने होंगे, साली साहिबा.	నేను నీ వివరాలను తీసుకోవాలి, మరదలా.
कया अब. . . कया अब मैं भी दोषी हूँ?	ఇపపుడు నేను. . . నేను కుటరలో భాగసవామినా?
-येय! -और. . .	-యాయ! -ఇంకా. . .
हाँ, यह ईसटर है. मुझे पसंद है जैसे तुम हमेशा. . .	అవును, ఇది ఈసటర. నువవు ఎపపుడూ చేసేది నాకు నచచుతుంది. . .
यह. . .	అది. . .
-नहीं, नहीं. -तुम दरवाजा बंद करोगी?	-లేదు, నాకు తెలియదు. -ఆ తలుపు వేసేసతావా?
एकल उपयोग के लिए	ఒకేసారి వాడాలి
-चलो भी, उठाओ. -थॉमस?	-తవరగా, ఫోన తీయి. -థామస?
-वह सारी यादें. -हाँ.	-ఆ పాత జఞాపకాలు. -అవును.
यह बेहद दुखद है.	ఇది చాలా ఘోరం.
देखो, मुझे. . . मुझे कॉल करना जब तुम. . . भगवान.	చూడు, నాకు. . . నువవు వెళలాక నాకు ఫోన చేయి. . . దేవుడా.
हाँ, बेशक. बस यह है कि, तुम आमतौर पर. . .	అవును, ఫరవాలేదు. ఇది కేవలం, మీరు సాధారణంగా. . .
काफी अरसे बाद पारिवारिक फोटो देख रही हूँ.	మన పాత కుటుంబసభయుల ఫోటోలు చూసి చాలా రోజులయింది.
शरमनाक, नीच और घिनौनी. तुम यही हो.	అవమానకరం, నీచం ఇంకా అసహయకరం. అదీ నువవు.
-चुप रहो, बिबी. -वह कया कह रही है?	-నోరు మూయి, బీబీ. -తను ఏం మాటలాడుతోంది?
और उनहें उसके खून में अमैनटिन मिलेगा, और फिर वे पुलिस को फोन करेंगे.	అపపుడు వాళలు అతని రకతంలో అమనిటిన ఉందని కనుకకుంటారు, ఆపె పోలీసులకి ఫోన చేసతారు.
कया तुम यहाँ आओगी? सब जा चुके हैं.	నువవు ఇంటికి వసతావా? అందరూ వెళలిపోయారు.
और तुमहें इस पर गरव होना चाहिए.	అందుకు నువవు చాలా గరవపడాలి.
अरे, बस सोफे पर बैठकर, सचची कराइम डॉकयूमेंटरी देखूँगी.	ఓహ, నేను నా సోఫాలో కూరచుని నిజమెన కరెమ డాకయుమెంటరీలను చూసతాను.
वरना मैं डॉनल को बता दूँगा. कसम से, मैं सच कह रहा हूँ.	లేదంటే నేను డోనల కి చెపపేసతాను. ననను నమము. నిజంగానే చెబుతుననా.
दिन में होटल में साथ रहना, और मुझे पता है कि तुमने कहा था. . .	పగటి పూట ఇదదరూ హోటల దగగర కలవడం, ఇంకా మీరు చెపపారు. . .
नहीं, बात वह नहीं है. कोई बात नहीं है. यह. . . धनयवाद.	లేదు, ఇది దాని గురించి కాదు. ఇది ఏమీ కాదు. ఇది. . . ధనయవాదాలు.
जानता हूँ. माफ करना.	నాకు తెలుసు. మననించండి.
-ठीक है. -बीमा वाले?	-సరే. -ఆ బీమా వెధవలేనా?
मॉली, तुम परभारी हो.	మోలీ, నువవే చూసుకోవాలి.
यह कैसे मजाकिया हुआ?	అది అంత నవవులాటగా ఉందా?
तो तुमने साथ डिनर किया था या. . .	అయితే మీరు కలిసి విందు చేశారా లేక. . .
कयों न तुमने मुझे यह बताने के लिए फोन किया हो कि. . .	నువవే నాకు ఫోన చేసి ఒక విషయం చెపపాలి అంటే. . .
-चिकन? -चिकन.	-చికెన? -చికెన.
मुझे जाना होगा.	నేను వెళలాలి.
हम उसके कलेजे में डालेंगे.	వాడు తినే కాలేయంలోకి పంపిదదాం.
हाँ! आ रही हूँ.	సరే! వసతుననా.
चलो भी, बिबी.	ఇలా చూడు, బీబీ.
कया चाहते हो?	నీకు ఏం కావాలి?
बेलजियन सीरीज "कलैन" पर आधारित	మాలిన శారా గోజిన సృషటించిన
माफ करना मैंने तुमहें सोने नहीं दिया. इतना कुछ जो करना था.	ననను కషమించు, నినను నేను పడుకోనివవలేదు. చేయవలసినవి చాలా ఉండిపోయాయి.
माफ करना. भगवान, शायद उसने मुझे अभी डेट के लिए पूछा.	కషమించు. దేవుడా, ననను ఎవరో రమమని ఆహవానించారు.
अचानक चीजें होना मजेदार होता है.	ఏ పలాన లేకుండా వెళలడం సరదాగా ఉంటుంది.
पता नहीं उनहें इतना समय कैसे मिलता है.	వాళలకి అంత సమయం ఎలా చికకుతుందో తెలియడం లేదు.
तुम ऐसा कयों करोगी?	అలా ఎందుకు చేసతుననావు?
मुझे तुमसे पयार है.	మిమమలని పరేమిసతుననాను.
मुझे तुमसे पयार है.	నేను నినను పరేమిసతాను.
मैं सोच रहा हूँ तुमसे यह पूछूँ या नहीं, पर अगर मैंने नहीं पूछा,	ఈ విషయం అడగాలా వదదా అని ఆలోచిసతుననాను, కానీ అడగకపోతే నాకు కషటంగా ఉంటుంది,
हम एक खुले आरकिटेकचरल ऑफिस में काम करते हैं.	మేము బహిరంగంగా ఉండే ఆరకిటకచర సంసథలో పని చేసతుననాము.
अरे, हाँ. हाँ, हाँ. बेशक.	ఓహ, అవును. అవును, సరే. అలాగే.
कयोंकि तुमने मुझे बताया. . . तुम ऐसा नहीं कर सकती.	ఎందుకంటే మీరు నాకు ఈ విషయం చెపపారు. . . మీరు ఇలా చేయకూడదు.
मैं उसकी माँ को कूलहे पर फिजीओथेरेपी दूँगी.	అతని తలలి దగగర టిప తీసుకుని ఫిజియో చికితస చేసతాను.
मेरे पीछे कयों आ रहे हो? जाकर कार में बैठो.	ననను ఎందుకు అనుసరిసతుననారు? వెళలి కారులో కూరచోండి.
वे उन बेवकूफों को ढूँढेंगे जिनहोंने उसे जहर दिया.	అతడికి విషం ఇచచిన వాళల గురించి పోలీసులు వేట మొదలుపెడతారు.
यह समझना काफी कठिन है, पर बेहतर होगा कि तुम सचचाई जानो.	ఇది చాలా ఆలోచించవలసిన విషయం, కానీ నువవు నిజం తెలుసుకోవడం మంచిది.
सारी लडकियाँ फोरटी फुट में है.	మా అకకచెలలెళలు ఫారటీ ఫుట లో ఉననారు.
आंटी बैका का इंतजार करो.	మీ ఆంటీ బెకా వచచేదాకా ఆగండి.
भगवान. ध. . . मैं मजाकिया हूँ?	జీసెస. ఓహ. . . నేను హాసయంగా ఉననానా?
हैलो. मैथयू बोल रहा. . .	హలో. మాథయూ మాటలాడుతుననా. . .
झुंड की तरह?	ఒక సమూహం లాగా?
हाँ, यह शानदार. . . मुझे खुशी होगी.	సరే, అది. . . అది నాకు సమమతమే.
अरे, धत! माफ करना! माफ करना.	ఓహ, ఛ! కషమించు! కషమించు.
भगवान!	దేవుడా!
अरसला!	ఉరసులా!
हमें यह कयों करना है?	మనం ఎందుకు చేయాలి?
कविता गाओ, लडकी! "	ఆ పదయం పాడు, యువతీ! "
चलो भी!	అనండి!
सारी मममियाँ नहीं.	అందరు అమమలు అలా కాదు.
-करॉस के आकार में. -हाँ.	-శిలువ ఆకారంలో ఉంది. -అవును.
नंबर उपलबध नहीं है	నెంబర అందుబాటులో లేదు
भगवान.	దేవుడా.
मैट, तुम सुन रहे हो?	మయాట, వింటుననావా?
तो पाँच मिनट बाद तुमहारी याद आएगी.	అయితే అయిదు నిమిషాలలో నినను మిస అవుతాను.
तुमहें यह पता है?	నీకు ఆ విషయం తెలుసా?
उस आदमी के साथ ऐसे रिशते की बात सोचकर ही. . .	అటువంటి వయకతితో సననిహితంగా ఉండటం అనే ఆలోచనే చాలా. . .
अरे, और मैंने एक डिलडो जीता.	ఓహ, ఇంకా నేను సెకస బొమమ గెలిచాను.
जो कलेजे और गुरदे को कषति पहुँचा सकता है, जो कि घातक हो सकता है. "	అది కాలేయం ఇంకా కిడనీలని పాడు చేసి పరాణాంతకం అవుతుంది. "
मैंने सपोरटी कपडे कयों पहने?	నేను ఎందుకు ఆటల దుసతులు ధరించాను?
ठीक है? एक-दूसरे की कहानियों का समरथन करना होगा, संभलकर रहना होगा.	సరేనా? ఒకరి విషయాలు ఒకరం పంచుకుంటూ, జాగరతతగా మసలుకోవాలి.
तुम इवा से कया पूछ रही थी?	ఈవాని ఏం అడుగుతుననావు?
पर पकका वह इस लायक है.	కానీ తన కోసం ఏదెనా చేయచచు.
-बोलो! -अरे, मेरी बारी है.	-వెళలు! -ఓహ, ఇది నేను.
वे बेहद सुंदर जोडा थे.	వాళలిదదరూ చాలా అందమెన జంట.
बेचारी बलानड.	పాపం బలానడ.
"पूरी तरह से: एक भयानक सुंदरता का जनम होगा. "	"అమోఘంగా, ఒక అదభుతమెన అందం పుటటింది. "
-वह बस बेवकूफ है. -चुप रहो.	-తను మూరఖంగా ఉంది. -నోరు మూసుకో.
-वह एक माँ है. -मैं भी हूँ.	-తను ఒక తలలి. -నేను కూడా తలలినే.
मैंने जी-सटरिंग पहन रखा है.	నా లోదుసతులను మాతరం వేసుకుననాను.
माफ करना. माफ करना. धनयवाद.	మననించండి. కషమించండి. ధనయవాదాలు.
-माफ करना. -कौन बोल रहा है?	-చాలా కషమాపణలు. -ఎవరు మాటలాడేది?
हाँ! उसे याद है.	అవును! తనకి తెలుసు.
पर हमारी आवाजें पयारी हैं, है न?	కానీ మనలో మృదువెన గొంతులు ఉననాయి, కదా?
वे परिवार को पराथमिकता नहीं देती हैं.	వాళలు తమ కుటుంబాలకు పరాధానయం ఇవవాలి అనుకోరు.
-कया? ऐसा कौन करता है? -कोई बात नहीं.	-ఏంటి? ఇలాంటి పనులు ఎవరు చేసతారు? -ఫరవాలేదు.
-तुम? -मैं भी वही करूँगा.	-నువవు? -అవే చూసతాను.
हाँ. हाँ, और मेरे बैंड का मुखय गायक भी था.	అవును. అవును, అతను మా బయాండ లో పరధాన గాయకుడు కూడా.
-उनके पीछे चलो. उनके पीछे चलो. -मैं जा रहा हूँ.	-ఆమెని అనుసరించండి. ఆమెని అనుసరించండి. -నేను వెళతుననాను.
तुमसे मिलकर काफी अचछा लगा.	నినను కలుసుకోవడం సంతోషంగా ఉంది.
-फिर से सपने में आग देखी? -हाँ.	-మళలీ మంటలు నీ కలలోకి వచచాయా? -అవును.
छत? सीढियाँ? आग लगने पर भागने की जगह?	మేడ పెఅంతసతు మీద? మెటల మారగంలో?
और शायद सलाद और लहसुन चावल. . .	బహుశా ఒక సలాడ ఇంకా వెలలులలి అననం. . .
माफ करना, मुझे भी हलका होना है.	కషమించు, నా మీదే పోసేసుకునేలా ఉననాను.
कया तुम शनिवार को गरेस के यहाँ जा रही हो?	శనివారం నాడు గరేస ఈసటర ఎగ వేటకి నువవు వెళతుననావా?
ठीक है, मैं रात की पारी के लिए निकल रहा हूँ, अरस.	సరే, నేను నా నెట షిఫట కి వెళతుననాను, ఉరస.
पता है न उनके पास तुमहारे दवारा ली गई किताबों का रिकॉरड होगा?	నువవు తెచచుకునే పుసతకాల వివరాలు నమోదవుతాయని తెలుసా?
हाँ. नहीं.	అవును. లేదు.
कयों नहीं?	ఎందుకు లేదు?
वरना लोग पयार में कषट कयों सहते हैं?	మా గురించి ఎందుకు తెలుసుకోవడం?
इसलिए कयोंकि मैंने रिजरवेशन नहीं करवाई थी.	అది ఎందుకంటే నేను రిజరవేషన చేయలేదు.
-अरे, हैलो. -हैलो.	-ఓహ, హలో. -హాయ.
रुको.	ఆగండి.
"और. . . "	"ఇంకా. . . "
-और. . . -"और. . . "	-ఇంకా. . . -"ఇంకా. . . "
यह आईआरए मीटिंग जैसी थी.	ఐఆరఎ సమావేశంలా ఉంది.
यह कब तक चलेगा? लगभग. . .	ఇది ఎంతకాలం ఉంటుంది? అంటే. . .
अपना सामान लो और कार में बैठो.	మీ సామానలు తీసుకుని కారులో కూరచోండి.
कुछ नहीं. माफ करना. बस एक सेकंड दो.	ఏమీ లేదు. కషమించండి. నాకు ఒకక కషణం ఇవవండి.
काफी देर कर दी!	చాలా ఆలసయం చేశావు!
-अब तक काम हो गया होगा, है न? -हाँ.	-ఈపాటికి అది పని చేసి ఉండాలి, కదా? -అవును.
मुझे याद नहीं कि हमने कया खाया था.	మేము ఏం తిననామో ఖచచితంగా నాకు గురతు లేదు.
खैर, वह तुमहारे लायक नहीं था.	కానీ, అతనికి నినను పొందే అరహత లేదు.
-हे भगवान, बिबी. -माफ करना. ठीक है.	-దేవుడా, బీబీ. -కషమించు. సరే.
-हाँ. . . -मॉम ने कहा कि. . .	-అవును. . . -అమమ ఏం చెపపిందంటే. . .
कल इवा के यहाँ मजे करना.	ఈవా ఇంటలో రేపు సరదాగా గడపండి.
हाँ, हमें तुमहारे पिताजी से मिलना है, ठीक है? यह जरूरी है.	అవును, మనం మీ నాననని కలవాలి, సరేనా? అది అతయవసరం.
-अरसला के तीन बचचे हैं. -वे तुमसे अलग तरह की महिलाएँ हैं.	-ఉరసులాకి ముగగురు పిలలలు ఉననారు. -వాళలు నీతో పోలిసతే భిననమెన ఆడవాళలు.
मुझे माइकल को डॉकटर के पास ले जाना है,	మెఖేల ని డాకటర అపాయింటమెంట కోసం తీసుకువెళలాలి,
-ए. -कोई समसया नहीं है.	-హేయ. -ఏం ఫరవాలేదు.
हमें जाना होगा. बचचों, अपने कोट ले लो.	మనం వెళలాలి. పిలలలూ, వెళలి మీ కోటస తెచచుకోండి.
तुम सदमे में लग रही हो. थोडा फलान खाओ.	నువవు ఏదో షాక లో ఉననావు. కొదదిగా ఐస కరీమ తిను.
-तुमहें साथ देखकर बेहद खुशी हुई. . . -अरे, हाँ. हाँ.	-మిమమలని ఇదదరినీ ఇలా చూడటం ముచచటగా ఉంది. . . -ఓహ, అవును. అవును.
तुम टोकरी नहीं लाई, अरसला. अरसला?	నువవు బుటట తీసుకురాలేదా, ఉరసులా. ఉరసులా?
उसे देखो, हमारे साथ कितनी खुश है.	తనని చూడు, మనతో కలిసి ఎంత సంతోషంగా ఉందో.
और फिर, जब वह तीन से पाँच दिन के अंदर मर जाएगा,	కానీ తరువాత, అతను చనిపోయిన మూడు నుండి అయిదు రోజుల తరువాత,
वह अपने जीजा को पसंद नहीं करती थी.	ఆమెకు తన బావ అంటే ఇషటం లేదు.
मुझे सहमति की परवाह नहीं है!	నీ ఆమోదం గురించి నేను పటటించుకోను!
मैं सोच रही हूँ कि शायद. . .	నేను ఆలోచిసతుననాను, బహుశా ఇది. . .
वह इतना पयारा था.	చాలా మంచి ఆతమ.
वरना मैं उसे बता दूँगा.	లేదా నేను అతనికి చెపపేసతాను.
कमीना. ऐसा कौन करता है?	చెతత వెధవ. ఇలా ఎవరు చేసతారు?
तो फिर गरेस से माँग लूँगी. आधा उसी का है.	సరే, అపపుడు నేను గరేస ని అడుగుతాను. సగం ఆమెదే కదా.
मैंने तुमहारे ऑफिस में कई संदेश छोडे. थॉमस कलाफिन.	మీ కారయాలయానికి చాలా సందేశాలు పంపించాను. నా పేరు థామస కలాఫిన.
सच में? चलो देखें,	నిజంగానా? సరే, చూదదాం,
हाँ. हाँ.	సరే. అలాగే.
-तुम अंदर नहीं आओगे? -नहीं.	-నువవు లోపలికి రావడం లేదా? -లేదు.
उसे पता चल गया. उसने मेरा पीछा किया.	వాడికి తెలిసిపోయింది. వాడు ననను అనుసరించాడు.
हम उसे खतम कर दें.	వాడిని వదిలించుకోవాలి.
बहुत खूब.	చకకగా ఉంది.
-हैलो? -धत!	-హలో? -ఛ!
हाँ, ठीक है. सुनो.	మంచిది, అలాగే. వినండి.
हैलो? हैलो?	హలో? హలో?
मॉम? मॉम.	అమమా? అమమా.
हे भगवान.	ఓహ, దేవుడా.
हे भगवान.	ఓహ, దేవుడా.
वॉर चाइलड, हेलप द एजड. डौंकी सैंकचुअरी को पिछले हफते ढेर पैसे मिले.	యుదధంలో చిననారులు, వృదధులకు సాయం లాంటివి. గత వారం గాడిద పారకుకి భారీ మొతతం ఇచచాను.
"डेथ कैप मशरूम सबसे घातक मशरूम होते हैं.	"చాలా పరాణాంతకమెన మషరూమ విషాలకు కారణం ఈ డెత కయాప.
हमें होटल में जो सबूत मिले हैं,	హోటల దగగర మనం కనుకకునన దానని ఉపయోగించి
मैं. . . मैं सारे दान कारयकरमों की टिकटें खरीदती हूँ.	అంటే, నేను. . . నేను అనని చారిటీ సంసథల కోసం అనని టికెటలూ కొంటాను.
अरे, अंदर आओ. अंदर आओ.	ఓహ, లోపలికి రా. లోపలికి రా.
बुरा हुआ. बेचारा डॉनल, वह हमेशा चूक जाता है.	అది సిగగుచేటు విషయం. పాపం డోనల, ఎపపుడూ మిస అవుతుంటాడు.
हे भगवान, ऑसकर मर गया.	ఓహ, దేవుడా. ఆసకర చనిపోయాడు.
