नवंबर.	నవంబర.
रेयस नाराज है और उसने सारे संबंध तोडने की धमकी दी है.	రేయేసకి కోపం వచచింది, అతను సంబంధాలు తెంపేసతానని బెదిరిసతుననాడు.
अंतरराषटरीय सीमा के पार हथियारों की तसकरी,	అంతరజాతీయ సరిహదదుల మీదుగా ఆయుధాల అకరమ రవాణా చేయడం,
तुमने कमाल का काम किया है.	నువవు చాలా అదభుతమెన పని చేసావు.
कृपया अपना काला चशमा हटा दीजिए.	దయచేసి మీ సనగలాసెస తీయండి.
ठीक है. वकील बातें कर सकते हैं.	సరే, లాయరలు మాటలాడుకోవచచు.
मेरे सुरकषा दल में से किसी ने उनहें खबर कर दी कि मैं कहाँ हूँ.	నా భదరత జటటులో ఎవరో నేను ఎకకడ ఉననానో అతనికి చెపపారు.
मुझे अफसोस है, सेनयोरा बोनालडे.	కషమించాలి, సెనయొరా బొండేల.
अमरीकी दूतावास कराकस, वेनेजुएला	యు. ఎస. దౌతయ కారయాలయం కరాకస, వెనిజులా
उसे नीचे रख दो.	అది కిందికి దించు.
बेशक.	నిజమే.
बहुत-बहुत शुकरिया.	చాలా ధనయవాదాలు.
शुरुआत कहाँ से करूँ?	ఎకకడి నుండి మొదలుపెటటను?
मुझे लगता है सरजियो के लापता होने का संबंध	సేరిగో మాయం కావడానికి, ఇకకడ కరాకసలో
यह मेरा परिवार है.	ఇది నా కుటుంబం.
अमरीकी फौज हमारी सरजमीन पर है.	మన నేల పెన అమెరికా సెనిక దళాలుననాయి.
मेरी बहन पैरिस. . . मेरे साथ रहती है (दिलेर)	నా సోదరి పయారిస. . . నా ఫలాటలో ఉంటుంది (ధెరయవంతురాలు)
मुझे अपने परिवार की सुरकषा के लिए मदद चाहिए.	నా కుటుంబానని కాపాడడానికి నాకు ఎవరిదెనా సహాయం కావాలి.
मैं तुमसे पयार करती हूँ, जान.	నాకు నువవంటే ఇషటం, తలలీ.
गुड ईवनिंग, राषटरपति जी.	శుభ సాయంతరం, మిసటర పరెసిడెంట.
जिस पर राषटरपति रेयस का धयान जाना चाहिए.	నా సటేషన నుండి అయితే ఏమీ జరగలేదు.
वोगलर इंडसटरीज नाम की एक कंपनी. उनका दफतर सटॉकहोम में है.	వోగలేర ఇండసటరీస అనే సంసథ. అది సటాక హోలంలో ఉంది.
मतलब, शायद वे एक या दो साल में कोई रासता निकाल लें.	అంటే, అదీ, వాళళు ఒకటి, రెండేళళలో తేలచగలరు.
मेरे साथ चलिए.	దయచేసి నాతో రండి.
मैं हर रोज उसे याद करता हूँ.	దాని గురించి పరతి రోజు ఆలోచిసతాను.
एक खास काम है.	ఒక పరతయేకమెన పని.
जिस आदमी से तुमने यह चुराया,	నువవు ఇవి ఎవరి నుండి దొంగిలించావో,
ठीक है. अब हमें वीडियो दिख रहा है.	విననాము. మాకు కనిపిసతుననాడు.
शुरुआती पोल हमेशा नौजवानों और आजाद खयाल वालों का साथ देते हैं.	ముందసతు పోలస ఎపపుడూ యువత, సవేచఛావాదుల నుండి వసతాయి.
मुझे लगता है वे उसका इसतेमाल करके खुदाई की जगह पता कर रहे हैं.	వాళళు దానని ఎకకడ తవవాలో చూడడానికి వాడుతుననటటుననారు.
शायद बस उसका कुतता बेवजह घबरा रहा है.	బహుశా అది తన పెంపుడు కుకకకి వచచిన అనుమానమేమో.
कयोंकि तुमहारी जिंदगी मैं ही बचाऊँगी.	ఎందుకంటే నీ పరాణాలను కాపాడబోయేది నేనే కాబటటి.
एक राजनेता के लिए यह बात काफी खतरनाक होती है.	ఒక రాజకీయవేతతకు అది పరమాదకరమెన లకషణం.
कया तुम इस आदमी को जानते हो?	మీరు ఇతనని గురతుపడతారా?
एपरियस नाम की कंपनी का कभी नाम सुना है?	ఎపరిఎస అనే సంసథ గురించి విననావా?
एमआई5 के पास एपरियस की सारी जानकारी है.	ఎపరిఎస పెన ఎం15లో కననేసిఉంచింది.
मैं बस कुछ सवाल पूछना चाहता हूँ.	మిమమలని కొనని పరశనలు అడగాలనుకుంటుననాను.
कया मतलब?	ఏమంటుననావు?
यह वैसा ही लोगो है जो हमने कैंप में देखा था.	మనం శిబిరంలో చూసిన లోగో లాగానే ఉంది.
- यह कया बला है? - मैं तुमहें वापस डी. सी. भेज रहा हूँ.	-ఇది ఏంటి? -నినను తిరిగి డిసికి పంపిసతుననాను.
अगर दोगुनी रफतार से जाएँगे,	అయితే, మనం రెటటింపు వేగంతో వెళతే,
इस तरफ आइए.	ఇలా రండి.
किस बात पर?	దేని మీద?
सोचने में जयादा वकत मत लगाइएगा.	దాని గురించి మరీ ఎకకువ సమయం ఆలోచించకు.
उसके बारे में तुमहारे पास जो भी जानकारी है, हमें चाहिए. हरेक बात.	ఆమె గురించి నీ వదద ఉనన సమాచారమంతా మాకు కావాలి. మొతతం.
मैंने तुमसे हटने को कहा है!	నినను పకకకు జరగమననాను!
हाँ, मैंने मुठभेड की रिपोरट पढी है.	అవును, నేను కారయాచరణ అనంతర నివేదిక చదివాను.
नहीं! तुमहारी हिममत कैसे हुई अमोर सीकरेटो को बकवास कहने की!	లేదు! అమోర సీకరెటోని చెతత అనడానికి నీకెంత ధెరయం!
और जब तक हम इंतजार करेंगे, मुझे यकीन है कि जिन भले लोगों के साथ तुम काम करते हो,	మేము ఎదురు చూసే సమయంలో, మీతో పని చేసే మంచి సామరథయం ఉనన వాళళందరికీ
वेनेजुएला में खनन की इजाजत कौन देता है	వెనిజులాలో గనుల తవవకపు పనులను ఎవరు ధృవీకరిసతారు
मुझे लगता है कि हम एक-दूसरे की मदद कर सकते हैं.	బహుశా మనం ఒకరికొకరు సాయం చేసుకోగలమేమో.
निगरानी करने वाले और निशानेबाज अपनी जगह ले लें.	నిఘా మరియు షారప షూటరస సథానాలలోకి రండి.
सब लोग झुक जाओ! झुको!	అంతా పకకకి జరగండి! జరగండి!
एक दफतर भरकर वकील यह हिसाब लगा रहे हैं कि जब हम तुम पर	మేము మీ మీద దావా వేసినపపుడు, మీ నుండి ఎనని పని గంటల డబబు రాబటటగలమని
एपरियस में तुमहें कया दिलचसपी है?	అయితే, నీకు ఎపరిఎస గురించి ఎందుకు కావాలి?
वह मेरा सैटेलाइट है. दकषिण चीन सागर वाला.	అది నా ఉపగరహం. దకషిణ చెనా సముదరం.
गैरकानूनी रूप से सथानीय गिरोह को परशिकषण देना,	సథానిక సెనికులకు అకరమ శికషణ అందివవడం,
और यह पता करने के लिए मेरे पास अमरीकी सरकार की	నేను కనుకకోవడానికి నాకు యునెటెడ సటేటస
वे मलेशिया, चैड, नाइजीरिया और अब, वेनेजुएला में खनन करते हैं.	వాళళకు మలేషియా, చాడ, నెజీరియా, ఇపపుడు వెనిజులాలో గనుల తవవకాల ఆపరేషనస ఉననాయి.
मैंने एपरियस को जिममी की हतया से जोड दिया है.	ఎపరిఎసకు జిమమీ హతయకు సంబంధం కలిపాను.
आराम से.	నిదానించు.
शुकरिया.	ధనయవాదాలు.
शुकरिया.	ధనయవాదాలు.
आप कयों पूछ रहे हैं?	మీరు ఎందుకు అడుగుతుననారు?
एपरियस मुखयालय लंदन, इंगलैंड	ఎపరిఎస పరధాన కారయాలయం లండన, ఇంగలాండ
मुझे मुशकिल लगता है.	ఖచచితంగా తెలీదు.
सतयानाश. कया मुसीबत है? ठीक है, बैठ जाओ.	వెధవ గోల. ఏంటిది? సరే, కూరచోండి.
हमारा राजनीति से कोई वासता नहीं. हम बस पैसे वालों के लिए काम करते हैं.	మేము రాజకీయాలలో తలదూరచం. మేము కేవలం ధనికులకు పని చేసతాం.
- वह कहाँ है? - कौन?	-అతను ఎకకడ ఉననాడు? -ఎవరు?
मिलकर बहुत अचछा लगा.	నినను కలవడం చాలా బాగుంది.
उसे लेकर आओ!	దానని తీసుకురా!
पता करो कि गोली कहाँ से चली थी!	ఆ కాలపులు ఎకకడి నుండి వచచాయో కనుకకోండి.
- मिसटर थोरन. - कया आपने. . .	-మిసటర థారన. -మీకు. . .
कया कोई दिककत है, ऑफिसर?	ఏదెనా సమసయా, ఆఫీసర?
वह एक सरकारी मुलाजिम थे.	ఆయన పరభుతవ సేవకుడు.
लगता है वह उततर-पशचिमी दिशा में 12 या 13 किलोमीटर दूर है.	తను వాయువయంలో 12, 13 కిలోమీటరల దూరంలో ఉననాడు.
मेरा अंदाजा है कि उस नौकरी को पाने के लिए आपको चुनाव से पीछे हटना होगा.	బహుశా మీరు పోటీ నుండి తపపుకుంటే ఆ ఉదయోగం ఇసతానని ఉంటాడు.
- हमारे खातों पर कयों रोक लगाई? - सवाल पहले हम पूछेंगे,	-ఏ హకకుతో మా ఖాతాలను నిలిపివేసారు? -బహుశా మేము ముందు పరశనలు అడుగాలేమో,
सुबह-सुबह आपको बुलाने के लिए माफी चाहूँगी.	ఇంత ఉదయాననే రమమననందుకు మననించండి.
एक रात राषटरपति रेयस मुझसे मिलने मेरे घर आए थे.	మొనన రాతరి పరెసిండెంట రేయేస ననను కలవడానికి మా ఇంటికి వచచాడు.
मुझे सुबह जलदी निकलना है. दखल देने के लिए माफी चाहूँगी.	నాకు పొదదునే పని ఉంది. అంతరాయానికి కషమించు.
वे जंगल में हथियारों की तसकरी नहीं कर रहे.	వాళళు అడవిలోకి దొంగతనంగా రవాణా చేసతుంది ఆయుధాలను కాదు.
तुमहें यह पसंद है. तुमहारे पास तुमहारी पहेली के सारे टुकडे हैं,	అది నీకు సరిపోతుంది. నీ వదద పజిల ముకకలననీ ఉంటాయి,
सच में?	నిజంగానా?
तुम कया कर रहे हो?	ఏం చేసతుననావు?
हे भगवान!	దేవుడా!
हमारी सथिति देखते हुए,	మన సథానానని బటటి,
मुझे कुछ मत करना.	దయచేసి ననను గాయపరచదదు.
तुम बहुत करीब हो. तुम इस झमेले के बहुत करीब हो.	చాలా దగగరికి వచచావు. నువవు ఈ చెతత అంతటికీ చాలా దగగరగా వచచావు.
मैंने हमारी पिछली बातचीत को काफी संजीदगी से लिया था.	మన గత సంభాషణను నేను తీవరంగా పరిగణించాను.
वेनेजुएला की सिंकोपामास नाम की एक कंपनी से.	వెనిజులాలో సింకోపాలమస అనే సంసథతో.
उनहें ढूँढने के बाद, मैं उनके साथ कया करूँ?	వాళళు దొరకగానే ననను ఏం చేయమంటారు?
कया तुम मुखयालय में हो?	నువవు పరధాన కారయాలయంలో ఉననావా?
उनहोंने मुझे नौकरी का परसताव दिया.	నాకు ఒక ఉదయోగం ఇసతానననాడు.
पर मैं समझ नहीं पा रही कि आप मुझसे कयों मिलना चाहते हैं	నేను ఇంకా ఈ దేశానికి పరతినిధిని కాకుండానే,
- यह कया है? - एक नाम है.	-ఏంటది? -అదొక పేరు.
मुकदमा करेंगे तो कितने घंटों का हरजाना निकलवाएँगे.	ఒక పూరతి ఆఫీసు లాయరలు లెకకిసతునన శబదం.
शिकार लेसटर सकवैर में आता हुआ दिखा है.	లకషయం లెసటర సకవేరలోకి పరవేశిసతుండగా గురతించబడడాడు.
तुमहें इसी वकत यहाँ से जाना होगा.	నువవు వెంటనే వెళళిపోవాలి.
खनन में जो विसफोटक इसतेमाल हुए थे,	వాళళు గనులను తవవడానికి వాడిన పేలుడు పదారథాలనే
लापता होने से पहले सरजियो इस पर काम कर रहे थे.	సేరిగో కనిపించకుండా పోయినపపుడు, తను దీని పెనే పని చేసతుననాడు.
उस आईडी की लडी का फोरेनसिक विशलेषण है जिससे जिममी को मारा गया था.	జిమమీని చంపిన గొలుసు బాంబు యొకక ఫోరెనసిక విశలేషణ.
तुमहारी मरजी के खिलाफ भेज रहे हैं, है न?	నీ ఇషటానికి విరుదధంగా, అంతేనా?
- शुकरिया, सर. -मुझसे बात करते रहना.	-ధనయవాదాలు, సర. -టచలో ఉండు.
कुछ पता चला?	ఏమెనా తెలిసిందా?
वह बहुत बेसबर इंसान हैं.	అతనికి సహనం ఉండదు.
कया बात है, जैक?	ఏమెంది, జాక?
आपका समय काफी कीमती होगा, राषटरपति जी.	మీ సమయం చాలా విలువెనది అనుకుంటాను, మిసటర పరెసిడెంట.
तुमहारी फलाइट आज दोपहर को है.	నీ విమానం ఈ రోజు మధయాహనం బయలుదేరుతుంది.
या मेरे बकवास टीवी सीरियल.	లేదా నా చెతత టివి సీరియళళు వింటారు.
अब इसे हमें संभालने दो.	ఇకకడి నుండి మమమలని చూసుకోనివవు.
मैं तुमहें कुछ नहीं करूँगा.	నేను నినను గాయపరచను.
मटेयो बासतोस आया है.	మేటియో బసతోస ఇపపుడే వచచాడు.
और उसके नीचे का एक नकशा बना लेते हैं.	దాని కింద ఉనన దాని సథల ఆకృతి పటానని తయారు చేసతారు.
यह तुमहें कहाँ से मिला?	ఇదెకకడ దొరికింది?
- धत तेरे की. -यह सुनो.	-అబబా. -ఇది విను.
फलैश लाइडार का नाम कभी सुना है?	నువవు ఎపపుడెనా ఫలాష లెడార గురించి విననావా?
कुछ नहीं, मेरी जान.	ఏమీలేదు, తలలీ.
जानना चाहता था कि कया आप सिसी से मुझे लंदन जाने की इजाजत दिलवा सकते हैं?	మీరు లండనకు పరయాణానని ఎస ఎస సీ ఐ దవారా ధృవీకరించగలరా?
सरजियो के लापता होने के बाद से मैंने यहाँ किसी चीज को हाथ नहीं लगाया है.	సేరిగో మాయం అయినపపటి నుండి నేను ఇకకడ ఏమీ ముటటుకోలేదు.
इस वकत, उनहें वेनेजुएला की उस खनन की जगह की सुरकषा के लिए रखा गया है	పరసతుతం, వెనిజులాలో రేయేస సవంత గనుల తవవకపు సథలానని
आराम से सो जाओ.	బాగా పడుకో.
कया तुमहें यह सुनाई दे रहा है?	మీకు అది వినిపిసతుందా?
शिकार 200 मीटर दूर है.	లకషయం 200 మీటరల దూరంలో ఉననాడు.
कया तुमहें कहीं चोट आई है?	నీకు దెబబ తగిలిందా?
वे यकीनन समझ जाएँगे कि तुम कयों उनकी पगार नहीं दे सकते.	మీరు చెలలించలేరని పూరతిగా అరథం అవుతుంది.
तुमने अकेले जाकर एक और डिबबा खोला.	నువవు నీ సవంతగా వెళళి, మరో కంటెయినరను తెరిచావు.
कोई दिककत नहीं है.	ఏ సమసయా లేదు.
पर वहाँ रहना नहीं चाहोगे.	కానీ అకకడ ఉండలేము.
जानती हूँ. बात बस यह है	నాకు తెలుసు. అంటే, అతను మిగవెలకి
यह एक तरह की सैटेलाइट इमेजिंग तकनीक है.	అది ఉపగరహ ఇమేజింగ సాంకేతికత.
हाँ, जरूर.	సరే, తపపకుండా.
बस यह साबित करना है कि रेयस ने ही मैकस को काम पर रखा था.	మాకసని రేయేస నియమించాడని నిరూపించడానికి.
कयों?	దేనికి?
तुम उनहें ऐसे ढूँढोगे.	ఇది వాళళని కనిపెటటడానికి మారగం.
हम दो पकषों को मिलवाने की फीस लेते हैं.	రెండు పారటీలను ఒక చోటికి చేరచినందుకు ఫీజు వసూలు చేసతాం.
वह अभी अंदर आया है.	అతను ఇపపుడే లోనికి వెళళాడు.
- जैक? - सांसद साहब.	-జాక? -సెనెటర.
मैं आपके पति, सरजियो के बारे में बात करने आया हूँ.	నేను మీ భరత, సేరిగో గురించి వచచాను.
जी, सर.	అలాగే, సర.
याद है मैंने तुमहें वोगलर नाम की एक कंपनी के बारे में बताया था?	నీకొక సంసథ గురించి చెపపాను గురతుందా, వోగలేర?
सही कहा. बस मरिया के रेगेटोन गाने,	నువవు అననది నిజమే. మరియా వినే చెతత రెగెటన సంగీతం,
वे खनन के उपकरण ला रहे हैं.	వాళళు గనుల తవవకపు పరికరాలను తెసతుననారు.
कोई बात नहीं.	ఫరవాలేదు.
अगर अकेले काम करते रहोगे, तो यही होगा.	నువవు ఇలాగే ఒంటరిగా పని చేసతుంటే, అది ఇలాగే ముగుసతుంది.
सुना है कि तुमहारे आदमी वेनेजुएला के राषटरपति को तंग कर रहे हैं.	మీ వాళళు వెనిజులా పరెసిడెంటని వేధిసతుననారంట.
उसी ऑपरेशन में रैंबो बना घूम रहा था	ఒక శాసనసభ పరిశోధకుడు అడవిలో హీరోలాగా తిరుగుతుననాడని
हम पूछते भी नहीं हैं कि काम कया है.	మేము పని ఏంటి అని అడగము.
हम जगह पर पहुँच गए, मदर.	ఇపపుడు పొజిషనలోకి వసతుననాం, జెరెమీ.
चमडे की जैकेट, बेसबॉल कैप पहने हुए.	లెదర జాకెట, బేసబాల కయాప.
पचास मीटर दूर है.	యాభె మీటరల దూరంలో ఉననాడు.
चुनावों में मदद करता आया है.	సాయపడిన చరితర ఉంది.
- यह तो बडा आसान था. - रुको.	-అది సులభం. -ఆగండి.
ठोस सतह को पार करते हैं	ఘన ఉపరితలాల నుండి చొచచుకు పోనిచచి,
जेरेमी, यह जैक है. जैक, यह जेरेमी है.	జెరెమీ, జాక. జాక, జెరెమీ.
- मैं बहुत करीब पहुँच गया हूँ. - यही तो समसया है, समझे?	-నేను దగగరికొచచాను. -అదే సమసయ, సరేనా?
नौ दिन से.	తొమమిది రోజులు.
बैठिए.	కూరచోండి.
तुमहें वह सब बता दूँगा जो तुमहें जानना है,	సరే, మీకు కావలసింది చెపతాను,
ऐ!	హే!
हाँ!	అవును!
निदेशक जी को अभी वहाइट हाउस से काफी बातें सुननी पडी हैं.	డెరెకటరకు వెట హౌస నుండి తిటలు పడడాయి.
इंटरपोल ने उसके लिए रेड नोटिस जारी किया हुआ है.	అతని పె ఇంటరపోల రెడ నోటీస ఉంది.
मुझे वहाँ जाकर कुछ पता करना है.	అంటే, అకకడ నేను ఒకటి పరిశీలించవలసిన అవసరం ఉంది.
होने वाले किसी खनन का जिकर किया था?	ఆయన ఎపపుడెనా మాటలాడాడా?
वह कहाँ है?	అతను ఎకకడ ఉననాడు?
जिसका मालिक रेयस है.	కాపాడడానికి వారు నియమించబడడారు.
यह सुनकर खुशी हुई.	అది నాకు సంతోషం కలిగిసతుంది.
जमीन पर लेट जाओ!	వెంటనే నేల పెకి పడుకోండి!
मैं दफतर पहुँचकर यह देखता हूँ.	ఆ విషయం చూసుకోమని నా కారయాలయంలో వారికి చెపతాను.
वेनेजुएला के गृह मंतरी कौन हैं	వెనిజులా అంతరగత వయవహారాల మంతరితవ శాఖ మంతరి ఎవరు
कया बात है?	ఏమెంది?
हमें उनके सीईओ से बात करनी है.	వారి సిఇఓని కలవాలి.
अगर वे घर पर बग लगा भी देते, तो उनहें कया सुनने को मिलता?	వాళళు ఇంటలో బగస పెటటినా, ఏం వింటారు?
तुम लंदन कयों आए?	నువవు లండనకు ఎందుకు వచచావు?
ऐसा लगता तो नहीं है.	సరే, కనిపిసతుంది కదా, చనిపోలేదు.
उसके बीच जयादा से जयादा दूरी रखी जाए.	వీలెనంత దూరం సృషటించడం.
आपका आज रात यहाँ आना कुछ और ही बता रहा है.	మీరు ఈ రాతరి ఇకకడికి వచచారనన ఒకక నిజం, అందుకు వయతిరేకంగా సూచిసతుంది.
कयों नहीं की?	ఎందుకని?
इसे पहचाना?	దీనని గురతుపటటావా?
माइक, मैं गैरेट बोल रहा हूँ.	మెక, నేను గరరెటట.
वेनेजुएला में अपने खनन के काम की सुरकषा के लिए काम पर रखा था?	ఎపరిఎసను నియమించింది పరెసిడెంట రేయసా?
यहाँ आने के लिए शुकरिया	మీరు ఇకకడికి రావడానని అభినందిసతుననాను.
वही विसफोटक मैकस ने मोरेनो को मारने के लिए इसतेमाल किए थे.	మోరెనోను హతయ చేయడానికి మాకస వాడాడు.
तो कहाँ से शुरू करें?	అయితే, మనం ఎకకడి నుండి మొదలుపెడదాం?
पर वे गरामीण इलाकों की राय नहीं बताते.	కానీ అవి నిజానికి గరామీణ పరాంతాల వారి అభిపరాయానని పరతిబింబించవు.
उस दौरान, मैं आपको मेरी जगह लेने के लिए	ఆ సమయంలో నా వారసురాలిగా
कि उनहोंने मिगेल से कहा कि हमारे घर में बग लगे हैं.	మా ఇంటలో బగస పెటటారని చెపపాడు.
तो आज दोसतों के साथ खेलकर मजा आया?	అయితే ఇవాళ నీ సనేహితులతో ఆడుకోవడం నీకు సరదాగా అనిపించిందా?
आप अपनी शोहरत को जयादा आँक रही हैं.	నీకునన పేరు గురించి నువవు ఎకకువ అంచనా వేసుకుంటుననటటు ఉననావు.
ठीक है?	ఒపపుకుంటారా?
- थोडा-बहुत. - बिलकुल.	-అతనిలో ఒక బాగం గురతుంది. -అవును, అదే.
यही उममीद करती हूँ.	అనుకుంటాను.
मुझे कोई हैरानी नहीं हो रही.	ననను ఆశచరయపరచకు.
सामने आओ!	నీ మొహం చూపించు!
छह सालों तक, बिलकुल सरजियो की तरह,	ఆరేళళు, సేరిగోలాగా,
थोडा-बहुत.	కాసత పురోగతి ఉంది.
बहुत-बहुत शुकरिया.	ధనయవాదాలు.
जरूर.	తపపకుండా.
मेरे खयाल से तुमने यह सवाल बेवजह पूछा है.	అది అలంకరణ అనుకుంటాను.
अकेले रह जाओगे.	ఒంటరిగా.
माफ करना.	కషమించు. కషమించు.
नौजवान होता.	పెదదవాడు అయయి ఉండేవాడు.
रोक लगाना भी गैरकानूनी है.	బయాంకు ఖాతాని తాతకాలికంగా నిలిపివేయడం కూడా అంతే మరి.
साला!	చెతత వెధవ!
दिख गया.	మాకు కనిపించాడు.
ईंटों वाली इमारत से!	ఇటుక భవనం!
तैयार करूँगा.	నేను నినను తీరచి దిదదుతాను.
जरूर.	నువవు తిను.
खनन के आम उपकरण	గనుల తవవకం పరికరాలలో సాధారణ రకాలు
धत तेरे की.	అబబా.
वह दिखाई दे गया है.	దృశయం ధృవీకరించబడింది దృశయం ధృవీకరించబడింది
अब जाओ.	ఇక పదండి, పదండి!
उसने बिचौलिए का काम किया था.	ఆమె మధయవరతి.
वह पिछले गृह मंतरी थे,	రేయేస ఈ సథానానని తొలగించే ముందు, అతను అంతరగత వయవహారాలు
आप गृह मंतरी रहेंगी.	నువవు అంతరగత వయవహారాలు మరియు నయాయ శాఖ మంతరిగా ఉంటావు.
अब सो जाओ.	ఇపపుడు వెళళి పడుకుందాం, పద.
तो और कौन?	అయితే, ఎవరు నియమించుకుననారు?
बस इतना ही पूछना था?	అంతేనా?
जिसमें अब हमारा एक आदमी मुठभेड के दौरान गायब हो गया.	నీకు తెలుసనుకుంటా.
मदद है.	పరభుతవ వనరుల సహాయం ఉంది.
नहीं!	లేదు, లేదు, లేదు, లేదు, లేదు!
