डैनर की आग	డానర మంటలు
मदद. . .	కాపా. . .
ठीक है. ठीक है. हाँ, मैं जयादा करीब हूँ.	సరే. అలాగే. అలాగే, నేను కేసుకు మరీ దగగరయయాను.
उममीद है कि तुम मेरा मनोविशलेषण नहीं कर रही हो,	నువవు నాకు మానసిక విశలేషణ చేయడం లేదని ఆశిసతుననాను,
तो तुमहें मुझे बताना होगा.	నువవు నాకు చెపపాలసిందే.
-गोलडीलॉकस की तरह. -वह अब भी कारगर है.	- సరెన పరిమాణం. - కానీ పని బాగా జరుగుతుంది.
लगता है तुमहारे अंदर का सारा जहर निकल गया,	పోనిలే, కానీ దాని పరభావం ఇపపుడు పోయినటటు ఉంది,
पर मुझे कविंटिन को बताना था कि उसके मरीज के साथ कया हुआ था.	కానీ తన పేషెంట కి ఏమెందో నేను కవెంటిన కి చెపపాలసిన బాధయత నాకు ఉంది.
मैं कोशिश कर सकता हूँ.	నేను ఒకసారి పరయతనించగలను.
बेशक उसने गरेस का धयान आकरषित कर लिया, है न?	అయినా వాడు గరేస దృషటిని మొతతానికి ఆకరషించాడు, కదా?
पर जेवियर की हतया का मामला सुलझाने के बाद, एक और केस मिला.	కానీ మనం ఆ జేవియర హతయని పరిషకరించిన తరవాత, ఇంకొక కేసు మీద పనిచేశా.
मैंने थोडी सी पी, बस एक चुसकी ली.	కొంచెమే, అంటే ఒక గుటక వేసాను.
मुझे दौडा रहे हो, मैं तुमहारी धुलाई करूँगी!	నేను నీ వెంట పరిగెతతేలా చేసినందుకు నీ పని పడతాను!
चलो इस कमीने को दोषी साबित करें.	ఈ సననాసి వెధవ పని పడదాం పదా.
तुमहें यह पसंद आया? हाँ.	నీకది నచచిందా? అవును.
तो कया हुआ? देखो उसे.	అయితే ఏంటి? వాడిని చూడు.
जब कोई खाना खतम होने से पहले और खाना दे.	ఒకరు మెలలగా వడడిసతే నాకు చాలా ఇషటం.
अगर तुमने गोली चलाई, तो मेरा हाथ उडा दोगे. नहीं!	నువవు కాలచితే, నా చేతికి బులలెట తగులుతుంది, బాబు. వదదు!
- नहीं, नहीं मिले. मैं. . . - डिटेकटिव डैनर हो.	- లేదు, నిజమే. నేను. . . - డిటెకటివ డానర.
पर मैंने उसकी कार की डिककी की तलाशी ली.	కానీ నేను వాడి కార డికకీలో చూసాను.
-आगजनी उसी ने की थी. -आगजनी उसी कमबखत ने की थी.	- తగలబెటటింది వాడే. - వాడే ఆ మంటలు అంటించిన చెతత వెధవ.
"साइकेटरिसट और दो किताबों, 'कंटरोलड बरन' और 'द समोकी मिरर' का लेखक,	"సెకియాటరిస అలాగే రెండు పుసతకాల రచయిత, 'కంటరోలడ బరన' అలాగే 'ది సమోకీ మిరరర, '
सब सुचारू रूप से चल रहा है. अब तक कोई समसया नहीं हुई है. हम यह पूरा कर लेंगे.	అంతా చాలా చకకగా నడుసతుంది. ఎలాంటి సమసయా లేదు. మనం ఇది పూరతి చేదదాం.
लेनरड एक साइकेटरिसट से इलाज करवा रहा है, जिसका नाम कविंटिन डेवेरॉ है.	లెనరడ ఒక సెకియాటరిస ని కలుసతుననాడు, అతని పేరు కవెంటిన డెవరో.
अनयाय की उसकी झूठी भावना, दबा हुआ आकरोश.	అనయాయంపె అతని తపపుడు భావన, లోలోపల మగగిన దవేషం.
उनहें कया बुलाते थे?	వాటిని ఏమని పిలిచేవారు?
हाँ, वह पल भर में जलकर राख हो गया. कयों?	అవును, ఆ పరదేశం చాలా వేగంగా తగలబడింది. ఎందుకు?
हम दोनों ने निराश किया.	మనం ఇదదరం విఫలమయయాం.
वह इंसटागराम पोसट याद है जिसमें मैंने कहा था कि अब मैं सबसे महान लेखिका हूँ?	నేను ఆ ఇనసటాగరామ పోసట లో నేనే అతిగొపప రచయితని అని చెపపడం గురతుందా?
हे भगवान, तुमने दोबारा सेकस किया.	ఓరి, బాబోయ, మీరు మళళీ సెకస చేసతుననారు.
जैसा कि मैंने कहा, मुझे एक मॉडल चाहिए.	చెపపాను కదా, నాకు ఒక మోడల కావాలి.
लेनरड अब आग नहीं लगाता है.	లెనరడ మంటలు అంటించడం మానేశాడు.
- केरीओकी? - हाँ, केरीओकी.	- కెరియోకి? - అవును, కెరియోకి.
और मुझे नहीं लगता कि मैं तुमसे कभी मिला हूँ.	నేను ఇంతకు ముందు నినను కలిసినటటు లేను.
-. . . राज. बस बता दीजिए. -मुझे शक है.	-. . . ఆ రహసయమే. నాకు చెపపండి. - సమసయే లేదు.
यह शरट कितनी महँगी है?	ఈ షరట ఎంత ఖరీదెంది?
ठीक है, मैं और नहीं सुन सकता.	సరే, నేను ఇక ఇది వినలేను.
- जेल में? - केरीओकी बार में.	- జెలుగా? - కెరియోకి బార.
- डैनर, वह तुम हो? - हाँ.	- డానర, అది నువవేనా? - అవును.
यह शानदार बिजनेस डिनर था.	ఇది భలే వింతెన బిజినెస భోజనం.
मुझे सच में तुमहारे साथ रोमांचक सेकस करके मजा आया.	నీతో కలిసి సెకస చేయడం మాతరం నేను నిజంగా చాలా ఎంజాయ చేశాను.
यही मेरा विकलप है. मैं जलाने की अपनी पयास को बुझाता हूँ.	ఇదే నేను వయకతపరచుకునే విధానం. కాలచాలి అనే నా కోరికను తీరచే మారగం.
तुमहें मुझे आजाद करना होगा. . .	నువవు ననను ఈ చెతత సెంకెళళ నుండి. . .
तुमने मुझे देखा. मैं काफी अचछा गा रहा था, है न?	నువవు చూసావు కదా. నేను బాగానే పాడాను, కదా?
मैं अपने दादा-दादी के साथ शिकार पर जाता था, समझी?	నేను మా బామమ అలాగే తాతలతో వేటాడటానికి వెళళేవాడిని, సరేనా?
और कोई दुषपरभाव नहीं होता, न ही लकवा मारता है न मौत होती है, या. . .	ఎలాంటి సెడ ఎఫెకట లు గాని, పకషవాతం లేదా మరణం లాంటివి రావ. . .
वह मुझे उततेजित करती है.	దానని చూసతే రేకెతతించబడతాను.
धनयवाद.	థాంకస.
मैं समझती हूँ, पर वह आगजनी के कुछ मामलों का संदिगध है.	నేను అరథం చేసుకోగలను, కానీ అతను వరుస దహనాల విషయంలో అనుమానితుడు.
ए, देखो, मुझे माफ कर दो.	హేయ, ఇలా చూడు, ననను కషమించు.
धनयवाद.	థాంకస.
हम सभी को थेरेपी के लिए जाना चाहिए. थेरेपी शानदार है. तुम कहना कया चाहती हो?	మనం అందరం థెరపీకి వెళళాలి. థెరపీ చాలా మంచిది. నువవు చెపపేది ఏంటి?
अब कोई वॉयस मेल इसतेमाल नहीं करता है. मुझे मैसेज भेजो, बेवकूफ.	ఇపపుడు ఎవరూ వాయిస మెయిల వాడడం లేదు. మెసేజ చెయ, వెధవా.
तो फिर, यहाँ आओ और मुझे खोलो!	సరలే, ఇకకడికి వచచి ననను విడిపించు!
जिसे खुद पर शक हो या डरती हो.	నినను చూసిందే లేదు, అనుకుంటుననాను.
आगजनी के कई मामले सामने आए थे. और हमारे पास एक संदिगध था.	వరుసగా కొనని పరదేశాలను తగలబెటటారు. దహనాలు. మేము ఒకరిని అనుమానించాం.
-हाँ. हम सथिर हो रहे हैं. -यह. . .	- అవును. నువవు శాంతిసతుననావు. - అది. . .
यह उततम योजना थी.	ఇది బలే చకకనెన పలాన.
और बारीक जानकारियाँ साँझा करना चाहूँगा.	పెరోమేనియాక మనసుకు సంబంధించిన కీలకమెన విషయాలు.
हे भगवान, तुमहारा हाथ, वह बेहद अचछा महसूस हुआ.	దేవుడా, నీ చేయి, ఈ ఫీలింగ చాలా బాగుంది.
कि इस घर में कोई भी वह जहर बना सकता था.	ఈ ఇంటలో ఉనన ఎవరెనా ఆ విషానని చేసి ఉండొచచు అని.
लगता है तुमहें लेखिका बनकर बेहद मजा आ रहा है.	రచయితగా నీ జీవితం నీకు చాలా నచచినటటు కనిపించావు.
हाँ, नहीं, मैं समझ गया. यह बस. . . मुझे हर विवरण जानने की जरूरत नहीं है.	సరే, వదదు, అరథమెంది. ఇక. . . నాకు మొతతం వివరంగా వినాలని లేదు.
उसने वहाँ की एक वेटरेस से अपने पयार का इजहार किया था	ఒక వెయిటరెస కి ఆమెను పరేమిసతుననాను అని చెపపి
मैं इससे भी बेहतर साइकेटरिसट हूँ.	అంటే, నేను అంతకంటే మంచి సెకియాటరిసట ని.
नहीं दूँगी.	అలా ఏం జరగదు.
चलो भी. मेरा अपमान मत करो.	ఊరుకో, ననను కించపరచకు.
पर नहीं, उससे फरक नहीं पडता है. अब वह केस का हिससा है, समझी?	కానీ లేదు, అదంతా ఇపపుడు అనవసరం. ఇపపుడు అతను కూడా కేసులో ఒక భాగం, సరేనా?
विलियम जोएल, "वी डिडनट सटारट द फायर. "	విలియం జోయెల పాట, "వీ డిడ నాట సటారట ది ఫెర. "
टरैविस? कया वह डेविलस टरमपेट है?	టరావిస? అది డెవిలస టరంపెటా?
इसलिए छोडी कयोंकि मैं अपना आतमविशवास खो चुकी थी.	నేను నా ఆతమవిశవాసానని కోలపోవడం వలలే పోలీసు ఉదయోగం మానేశా.
रेडपिल69 के अनुसार,	రెడపిల69 పరకారం,
टाइम-आउट. यह एक परयोग है.	ఆగండి. ఇది ఒక పరయోగం.
मुझे केस की गहराई में जाना, उसके हर पहलू को जानना, हर नजरिए से देखना	ఏదెనా కేసు ఉందంటే అందులోకి పూరతిగా తవవి, అంతా తెలుసుకొని,
अब, मैंने सोचा "मन शांत" करने से उसका मतलब था कि वह बस गाना गाएगा. पर. . .	"తగులుకుని" అంటే నేను వాడు వెళలి పాడతాడు అనుకుననాను. కానీ. . .
कोई किसी पेंटर से नहीं पूछेगा कि उससे तारपीन की बू कयों आ रही है.	ఎవరూ ఒక ఆరటిసటుని నీ దగగర టరపెంటెన వాసన ఎందుకు వసతుందా అని అడగరు కదా.
मैं तुमहें पहले जैसी बनने में मदद करूँगा.	తిరిగి నువవు నీ ఫామ లోకి రావడానికి సహాయం చేసతాను.
और तुमहें पता है कयों? मैंने किताबें लिखने के लिए पुलिस की नौकरी नहीं छोडी.	ఎందుకో చెపపనా? నేను పుసతకాలు రాయాలని పోలీసు ఉదయోగానని మానేయలేదు.
शायद.	బహుశా.
ठीक है, टरैविस, तुमने कितना छोटा डोज लिया?	సరే, టరావిస, తకకువ మోతాదు అంటే ఎంత?
बस भी करो.	ఇలా చేయకురా.
और अगर खाँसना बंद नहीं कर सकते, तो गोली मत चलाओ!	అలాగే నువవు దగగడం ఆపలేకపోతే కూడా కాలచకు!
तुमहें बस गरम पानी और केतली की जरूरत है.	అంటే, వేడినీళలు అలాగే ఒక టీకాచే గినని ఉంటే చాలు.
कभी-कभी जो दोषी दिखता है, उसी ने वह किया होता है!	కొననిసారలు చేశాడేమో అననటటు కనిపించేవాడే నిజంగా చేసి ఉంటాడు!
मेरे अचछे दोसत, रेडिट से थोडे निरदेश मिल गए.	మన రెడడిట సెట లో టీ ఎలా కాచి పెటటాలో చూసి ఇది చేశాను.
मैं हमेशा नए लोगों से ऐसे नहीं मिलता हूँ.	నేను అసతమాను కొతతవారిని ఇలా కలవను.
-बहुत खूब. फंकल ने बचा लिया. -हाँ.	- అదభుతం. ఫనకుల ననను కాపాడేశాడు. - అవును.
उसके घर जाकर देखो कि कया वह वहीं है. मैं सिंग सिंग जा रही हूँ.	వాడి ఇంటికి వెళలి అకకడ ఉననాడేమో చూడు. నేను సింగ సింగ దగగరకు వెళలి వసతాను.
चाहे वह जोई का परिवार ही कयों न हो.	అది జోయి వాళళ కుటుంబమే అయినా.
उनहोंने लेनरड को रिहा कर दिया और कविंटिन गायब हो गया.	వాళళు లెనరడ ని పోనిచచారు, కానీ కవెంటిన కనబడకుండా తపపించుకుననాడు.
तो, डॉक, मुझे बताओ,	సరే, డాకటర, నాకు చెపపు,
कहानी मैं सुना रही हूँ.	నేను కథ చెపతుననాను.
पकका आज का दिन तुमहारे लिए बेहद कठिन रहा होगा.	ఇవాళ నువవు చాలా నొచచుకొని ఉండి ఉంటావు.
वह एक सजायाफता आगजनी करनेवाला है	అలాగే వాడు మన మూడు పరదేశాలలో రెండిటిలో
हमें अभी काम पूरा करना होगा.	సరే, అది ఇపపుడే జరగాలి.
वह. . . हे भगवान. वैसे, मैं वह करने की सलाह नहीं दूँगा.	అది. . . ఓరి, నాయనో. నేనెతే అలాంటి పని చేయడం మంచిది అని అససలు అనను.
मैं ही वह आदमी हूँ जो तुमहें वह देगा जो तुमहें चाहिए और जिसकी तुमहें जरूरत है.	అయితే నీకు కావాలసిన అలాగే అవసరమెన సమాచారానని ఇవవగల వయకతిని నేనే.
- मुझे नहीं पता. हे भगवान! - अरे, नहीं.	- నాకు తెలీదు. అమమో! - ఓహ, అయయో.
अरे, नहीं, नहीं. यह. . . मैं. . . यह. . .	ఓహ, లేదు, లేదు. ఇది అలాంటి. . . నేను. . . ఇది. . .
तो, मैं कहती हूँ, चलो चलें.	అంటే, ననను అడిగితే వెళదాం అంటాను.
पकड लिया!	దొరికేసావు!
और जब तुम अपराधी के साथ सो रहे होते हो,	నువవు అలా దానితో సెకస లో మునిగి తేలుతుననపపుడు,
- ए. तुम लोग कैसे हो? - हे. . .	- హేయ. మీరు ఎలా ఉననారు? - ఓరి, నా. . .
पर मैं कविंटिन से दूर न रह सकी.	కానీ నేను కవెంటిన ని దూరం పెటటలేకపోయా.
मुझे डर था कि यह दिन जरूर आएगा.	ఇలాంటి ఒక రోజు వసతుందని నేను భయపడడాను.
-मैं सीधे अंत तक पहुँचती हूँ. -धनयवाद.	- నేను చివరికి వసతాను. - థాంకస.
पता है इस चीज की कया खासियत है?	దీనికి ఉనన ఒక అందమెన గుణం ఏంటో చెపపనా?
-नहीं, नहीं, नहीं, नहीं. -तुमहें गिरफतार किया जाता है.	- లేదు, లేదు, లేదు. - నినను అరెసటు చేసతుననా.
हाँ, मेरी दिमागी हालत काफी खराब थी.	అవును, అది జరిగాక నేను చాలా మథనంలో పడిపోయా.
वहाँ केवल एक सटॉपलाइट है और वह काम नहीं करती है.	ఒకే ఒకక సిగనల ఉంది, కానీ అది పని చేయదు.
लेनरड! हमें बात करनी होगी.	లెనరడ! మనం కొంచెం మాటలాడుకోవాలి.
राज रखने वाली माँ से या संदेहजनक गिलास वाले अंकल से?	రహసయం దాసతునన తలలితోనా లేక అనుమానాసపదంగా గలాసుతో ఉనన అంకుల తోనా?
लेनरड को छोडकर मैंने गलती की.	నేను లెనరడ ని పోనిచచి తపపు చేశాను.
मैकरोनी मैन. हाँ.	మేకరోని మగాడు. అవును.
और सब मेरी ही गलती थी, इसलिए मैंने इसतीफा दे दिया.	ఇదంతా నా తపపు వలలే జరిగింది, కాబటటి నేను రాజీనామా చేసేసాను.
घर में आग लगी थी. तुम बचकर कैसे निकली?	ఇలలు తగలబడుతుంది. మరి నువవు ఎలా తపపించుకుననావు?
ये सब तुमने पेंट कीं?	ఇవననీ నువవే పెయింట వేశావా?
कयोंकि तुम ससते नहीं हो सकते.	నువవు తకకువ తీసుకునే రకానివి కాదు.
मुझे नहीं लगता कि हमारी परिसथियाँ एक जैसी हैं.	ఈ విషయం నేను చేసతునన పనితో సరిపోలుతుంది అని నేను అనుకోను.
मैंने गलती की. पर मैं पूरी तरह से परतिबदध हूँ.	కానీ ఈ విషయంలో ననను నమము. నేను నిజం కనిపెటటడానికి ఉననాను.
दूसरे सतन को गरम मोम पसंद है.	ఇంకొక దాని మీద మెనం వేసతే నచచుతుంది.
गरेस, तुमहें एक डच बेबी की जरूरत है.	గరేస, నీకు ఒక డచ బేబీ కావాలి.
मैं चाहता था कि जो काम मैं लेनरड के साथ कर रहा हूँ, तुम उसे पूरी तरह से समझो.	నేను లెనరడ తో ఏం చేసతుననానో నీకు బాగా అరథం కావాలనే ఇదంతా చేశా.
झंडे लगे उन उजजवल रंग के वेसटों में से एक	మెరిసే వెసట లు వేసుకొని, ఆరభాటంగా
उसकी कार की डिककी में काफी सबूत मिले.	వాడి కారు డికకీలో మాకు కొనని ఆధారాలు దొరికాయి.
मुझे परो बोनो यानि बिना पैसे लिए काम करके भी मजा आता है.	అలాగే నేను పరో బోనో పదదతిలో కూడా పని చేసతాను.
सही होने का.	సరెన పని చేయడం.
ठीक है, अब बस करोगी?	సరే, ఇక ఆపుతావా?
हैलो.	హాయ.
हैलो.	హలో.
हैलो.	హలో.
अरे!	అమమో!
सहमति बेहद सेकसी चीज है.	అంగీకారం భలే సెకసీ అయిన విషయం.
यह तुमहारी बारी नहीं है. अभी वेन की बारी है, समझे?	ఇది నీ వంతు కాదు. ఇది వెయిన వంతు, సరేనా?
हाँ.	సూపర.
सही होने का.	సరెన పని చేయడం.
कया?	ఏంటి?
तुमने मुझसे झूठ कहा!	నువవు నాకు అబదధం చెపపావు!
मुझे भी.	నేను కూడా.
हैलो?	హలో?
हैलो?	హలో?
पर हर केस जेवियर की हतया वाले केस जैसा नहीं होता है.	కానీ పరతీ కేసు జేవియర హతయ కేసులాంటిది కాదు.
ठीक है, बस हिलना बंद करो. धुएँ की वजह से देखना मुशकिल हो रहा है!	సరే, కొంచెం కదలడం ఆపు. ఈ పొగలో చూడడం కషటం అవుతుంది!
मेरे पास माइक है! तो मैं ही गाऊँगा!	మెక నా దగగర ఉంది! అంటే అధికారం నా దగగర ఉంది!
आग तुम पर हावी होती है और उस पर हावी होना रोमांचक होता है.	అగనికి మనపె అధికారం ఉంది, పరిసథితిని యిటటె మారచేయడం భలే ఆసకతికరమెన విషయం.
ठीक है, मैं बेहद सुंदर हूँ.	సరే, నేను కురరాడిలా అందంగా ఉంటాను.
सथिति समझ ही नहीं आ रही है!	దానికి చాలా చినన తేడా ఉంది, బుజజి!
वह हुआ करता था, पर अब उसे केरीओकी पसंद है.	ఒకపపుడు అలా ఉండేవాడు, ఇపపుడు వాడికి పాటలు పాడడం ఇషటం.
मैंने उस किताब का एक भी शबद नहीं लिखा.	నేను ఆ పుసతకంలో ఇపపటి వరకు ఒకక పదం కూడా రాయలేదు.
सेकस इसका हिससा है.	సెకస కూడా నా కథలో భాగమే.
कया उसका लिंग बेहद बडा है?	వాడికి ఉననది పెదదదేనా?
तुमहें तब तक इसका एहसास नहीं होता है जब तक काफी देर नहीं हो जाती है.	ఆ వయకతే దోషి అని నీకు అససలు తెలీదు ఎందుకంటే నువవు ఆ వయకతి మాయలో పడిపోయి ఉంటావు కాబటటి.
मुझे भी परो बोनो केस पसंद हैं.	నేను కూడా పరో బోనో పదదతిలో పనిచేసతాను.
तो, तुमने कया किया?	మరి, ఏం చేశావు?
कया मुझे सच में इस आदमी के बारे में सुनना होगा जो अपनी छाती पिटवा रहा था?	ఒక మగాడి ఛాతి మీద నువవు కొడుతునన కథను నేను కచచితంగా వినాలా?
और जिस तरह से उसने आग के बारे में बात की मानो वह उसके साथ सेकस करना चाहता हो?	అలాగే మంటతో సెకస చేయాలననటటు వాడు మంటల గురించి మాటలాడిన విధానం?
ठीक है. वाह. सोशल मीडिया सच में झूठी है.	సరే. వావ. సోషల మీడియాలో చూసేది అంతా నిజంగానే అబదధం.
कया मैं पैंट में पेशाब कर दूँगा?	నేను మూతరం పోసేసుకుంటానా?
-बेशक संभव है. -पता नहीं.	- కచచితం జరగొచచు. - నాకు తెలీదు.
जानती हो, इसके लिए भी एक शबद है.	ఆ పరవరతనను వివరించే పదం ఒకటి ఉంది తెలుసా.
गोली से धवसत होकर पलेन नीचे गिर रहा है.	అగసటస అబెరనాతి తుపాకీ గుండు తగలడం వలల కూలిపోతోంది.
मैं बदसूरत नहीं हूँ. तुम बदसूरत हो!	నేనేం ఛండాలంగా లేను. నువవే ఛండాలంగా ఉననావు!
मेरे और कविंटिन के बीच एक कामुक आग भडक रही थी.	కవెంటిన ఇంకా నా మధయ కూడా వేరొక శృంగారభరితమెన మంట రేగుతోంది.
मैं जहर का असर कम करने के लिए थोडे डच बेबीज बनाता हूँ.	నేను వెళలి కడుపులో ఉనన విషానని పీలచడానికి కొనని డచ బేబీలను చేసతాను.
और तुम जानते हो मैं कैसी हूँ.	నేను ఎలాంటి దానినో నీకు తెలుసు కదా.
आग तुमहें इतनी कयों पसंद है?	మంటలలో నీకు అంత బాగా నచచే గుణం ఏంటి?
पूरव-बॉयफरेंड के इंसटागराम पर भददी, गुपत टिपपणियाँ कयों करूँगा?	అనామకంగా ఇంకా కోపంతో కామెంటలు ఎందుకు పెడుతుననాను?
और उसने मुझे यकीन दिलाया कि अब लेनरड आग से आसकत नहीं है.	అతను ఇపపుడు లెనరడ కి అగనిపె ఒకపపటి వయామోహం లేదని నాకు అరథమయయేలా చెపపాడు.
ठीक है. ठीक है. अचछा हुआ कि तुमने हाल ही में काफी वजन घटाया था.	సరే. అంతే. నువవు ఈ మధయ బరువు తగగి మంచి పనిచేసావు.
नाचते हुए, तडकते हुए और गाते हुए जब वह अपनी चीज तक पहुँचती है,	నాటయమాడుతూ, చిటపటలాడుతూ, వసతువును తాకుతూ పాడుతూ,
यह कोई कामुक सथिति नहीं है!	ఇది సెకస కి సంబంధించిన సందరభం కాదు!
तुम अभी-अभी ईशवर से मिले थे, मेरे दोसत.	నువవు ఇపపుడు దేవుడిని చూసి తిరిగి వచచావు, మితరమా.
छोटे डोज से बस हलका सा मतिभरम होता है	తకకువ మోతాదులో వేసుకుంటే సవలపంగా భరాంతులు కలిగి,
साबित करो.	నాకు చూపించు.
"शायद पुरानी डैनर बनने का यह मेरा दूसरा मौका है. "	"బహుశా నేను మళళీ ఒకపపటి డానర లా కావడానికి ఇదే నా అవకాశం ఏమో" అని.
फिर तुमने फोन किया और मैंने सोचा,	అపపుడే నువవు ఫోన చేసావు, అపపుడు అనుకుననా,
ऑगसटस एबरनेथी की बंदूक की. . .	విమానం కూలిపోతోంది. . .
और तुमहारा सबसे बडा डर कया है?	మరి నీకునన అతిపెదద భయం?
हाँ. तुमहें किस चीज का जुनून है, डिटेकटिव डैनर?	సరే. నీ అభిరుచి ఏంటి, డిటెకటివ డానర?
डैनर, मुझे पता है कि तुमहें इस सिदधांत से नफरत है	డానర, వాడే చేశాడేమో అననటటు కనిపించేవాడు
मैं केस पर काम कर रही हूँ. यह बेहद गैर-पेशेवर है.	నేను కేసు మీద పని చేసతుననాను. అలా చేయడం వృతతి ధరమానికి వయతిరేకం.
मैं बस वहाँ जाकर थोडा मन शांत करूँगा. "	నేను ఆ పరదేశానని తగులుకుని కాసత శాంతిసతాను" అననాడు.
अगर हम तुमहारा अँगूठा तोडकर, हाथ खिसकाकर निकालें तो?	మనం నీ బొటనివేలిని విరిచి, ఆ సంకెళళ నుండి చేతిని లాగితే ఎలా ఉంటుంది?
रोमांचक, परबल सेकस के मूड में बिलकुल नहीं थी.	అపపటికి నేను తీవరమెన, జంతువుల మాదిరి సెకస చేసే మూడ లో లేను.
-और कभी वापस न लौटने के लिए कहा गया था. -उसने कया किया था?	- మళళీ రావదదని చెపపారు కూడా. - వాడు ఏం చేశాడు?
अरे, तुम काफी करूर हो.	అబబే, చాలా కఠినంగా మాటలాడావు.
देखो, जब सेबासटियन अपनी कॉल खतम करेगा, पुलिस आ जाएगी.	చూడు, సెబాసటిన వాడి ఫోన మాటలాడటం ముగించిన వెంటనే పోలీసులు వచచేసతారు.
देखो, जो मैं तुमहें बताने वाली हूँ, वह मेरे लिए भी बेहद कषटदायक है, समझे?	చూడు, నేను నీకు చెపపబోయేది చాలా చేదెన ఒక అనుభవం, సరేనా?
कामुक तरीके से नहीं.	లెంగికంగా కాదు.
एक हजार.	వెయయి.
सच में? सीधे सेकस का?	నిజంగా? కేవలం సెకస మాతరమేనా?
हे भगवान.	ఓరి, దేవుడా.
हे भगवान.	ఓరి, దేవుడా.
यह मुझे संभालने दो. यहाँ आओ.	ననను రానివవు. ఇలా రా.
सही कहा.	నిజమే.
कोई मदद करो!	ఎవరెనా కాపాడండి!
मुझे खेद है.	నాకు బాధగా ఉంది.
- आगे कया होगा? - ए! मेरी तरफ देखो! मेरी तरफ देखो.	- ననను లొంగదీసుకోవాలని చూసతోంది ఎవతతె? - హేయ! ననను చూడు! ననను చూడు.
उसने कहा कि वह आज रात सिंग सिंग जाएगा.	అందుకు వాడు ఈ రాతరి సింగ సింగ కి వెళతుననాను అననాడు.
मेरे एक सतन को मार खाना पसंद है.	నా ఛాతిలో ఒక వెపు కొడుతుంటే నాకు నచచుతుంది.
तुमहें छाती पर मारना पसंद नहीं है?	నీకు ఛాతి మీద కొడితే నచచదా?
अगर देख नहीं सकते, तो गोली मत चलाओ!	నీకు కనిపించకపోతే, కాలచకు!
तो फिर हम पूरी ऊरजा के साथ मोमबतती जला रहे थे,	అందుకని మేము ఆ కొవవొతతులను రెండు వెపుల నుండి కాలచడం మొదలెటటాం,
-कलप. -कलप, तुम सही थे.	- కలప. - కలప, నువవు అననదే నిజం.
वह काफी अचछा कवर था.	నువవు చాలా బాగా కవర చేసావు.
समझ नहीं आ रहा है. वह सुधर चुका था. मुझे पूरा यकीन है.	నాకు అదేమీ అరథం కావడం లేదు. వాడు అదంతా మానుకుననాడు. నాకు కచచితంగా తెలుసు.
ए, मैं कलप बोल रहा हूँ.	హేయ, నేను కలప ని.
डिटेकटिव डैनर, मैं अपने मरीजों को उनकी इचछाएँ सवीकार करना,	డిటెకటివ డానర, నేను నా పేషెంట లకు తమ కోరికలను అరథం చేసుకోవడానికి సహాయం చేసతాను,
और देखो. यह बनाना सच में उतना मुशकिल नहीं है.	అంతే. ఇది చేయడం అంత కషటం ఏం కాదు.
और मैं रसोई के फरश पर दोनों हाथों में सपैचुला लिए थी	అపపుడు నేను వంటగదిలో కింద పడుకుని ఉననాను, ఒకకొకక చేతిలో గరిటె పటటుకొని,
-ए, चकाबू. -ठीक है.	- హేయ బుజజి, చూకబూ. - సరే.
शायद तुम शानदार मॉडल बनोगी.	నువవు దీనికి అదభుతమెన మోడల వి కాగలవు.
एक मिनट.	ఒకక నిమిషం.
-मत कहो. यह. . . नहीं. -तुम भी जल जाओगी.	- ఆ మాట అనొదదు. అది. . . వదదు. - నువవు కూడా కాలిపోతావు.
समझना चाहती थी कि वे कैसे सोचते हैं.	అరథం చేసుకోవాలి అనుకుననాను.
मैं सच में यहाँ खडी नहीं रहना चाहती, पर यह दिलचसप है.	ఒకటి చెపపనా, నాకు ఇకకడ ఉండాలని అససలు లేదు, కానీ ఇది చాలా ఆసకతికరంగా ఉంది.
- तो मैं तुमसे पूछूँगी. . . - ठीक है, मैं. . .	- కాబటటి నినను మరయాదగా అడుగుతుననా. . . - సరే, నేను ఇపపుడు. . .
साइकेटरिसट के रूप में	సెకియాటరిసట గా నాకునన సామరధయం
वह इससे आसकत है कि आग उसे कैसा महसूस करवाती है.	ఆ మంటలు వాడికి ఇచచే ఫీల అంటే ఇషటం.
कया तुम खुद पर गरम मोम डलवाने की इजाजत दोगी?	నీ మీద వేడి వేడి కొవవొతతి మెనానని వేయడానికి నాకు అనుమతి ఉందా?
वह मेरी कलाई पर डालो और फैला दो	దానిని నా మణికటటు మీద పూసి, దానిని రుదదితే,
देखो, तुमहें फैसला करना होगा कि तुम एडगर के हतयारे की सचचाई जानना चाहते हो,	చూడు, మనం ఎడగర ని చంపింది ఎవరో అనన నిజం కనిపెటటాలా లేక
- और यही इसका संकषिपत संसकरण है? - हाँ.	- ఇదేనా నీ చినన కథ? - అవును.
मैं खुद से बेहद नाराज थी कि मैं कविंटिन के साथ	కవెంటిన తో చేసిన ఆ పరపంచానని వణికించగల అదభుతమెన సెకస లో మునిగి
कृपया, कया हम यूलिसीस से शुरुआत कर सकते हैं?	మనం దయచేసి యూలెసీస తో మొదలెడదామా?
मैं चाहता हूँ तुम मेरे लिए कुछ करो.	నువవు నాకోసం ఒకటి చేయాలి.
छोटी सी चुसकी.	చినన గుటక.
देखा?	చూశావా?
