एक असली दुनिया में.	ఒక యదారథమెన చోటుకు.
मैंने नरस से कहा कि किसमत अचछी होती तो, मैं यहाँ होती ही नहीं.	నాకు అదృషటం ఉండుంటే, ఇకకడ ఉండేదాననే కాదని నరసుకి చెపపాను.
बाकी समय, जब तुम अपने सटब में होती हो, यह एआई पर चलता है.	మిగతా సమయాలలో, అంటే నీ సటబలో నువవుండగా, ఇది ఏఐపె పని చేసతుంది.
जैसा कि हमने पहले समझाया, जब हमारी दुनिया के किसी ने. . .	ఇంతకు ముందే వివరించినటటుగా, మా పరపంచం నుండి ఎవరెనా సంపరదిసతే--
डरोन निकालो. पीछे हटो. मैं आ रहा हूँ.	డరోనలు దించి వెనకకు రండి. వసతుననా.
बाकी का पैसा काम पूरा होने के बाद.	మిగిలిన మొతతం పని పూరతి కాగానే ఇసతాం.
जो कुछ हो रहा था, चारों ओर छाई मायूसी के बावजूद.	అదంతా కొనసాగుతుననా కూడా, మన చుటటూ ఒంటరితనమే.
बिलकुल नहीं.	అససలు కాదు.
तुमहारी माँ.	మీ అమమగారు.
बिलकुल नहीं.	అలా కుదరదు.
तुम ठीक हो?	బానే ఉననావా?
-इसका कोई फायदा नहीं. -चाहो तो तुम बता सकती हो.	-నీ మాటలు సహాయకరంగా లేవు. -మీరూ మాటలాడవచచు.
उस रात तबाही मचाने के बाद, अचानक से गायब हो गए.	ఆ రాతరి మారణకాండ తరవాత నువవు అదృశయమెపోయావు.
ऐसा लगा जैसे अपनी गलती सुधार ली हो.	నా విషయాలని నేనే సరిచేసుకుననటటు.
तुम ऐसा कयों कह रही हो?	అలా ఎందుకు అంటుననారు?
पर उससे कहीं वासतविक.	కానీ ఎంతో వాసతవికమెనది.
कहती तो हैं कि ठीक हैं.	బానే ఉననానని అంటోంది.
तो, हम यहाँ कयों हैं?	అయితే, ఇకకడ ఎందుకుననాం?
कारलोस, यहाँ संभालना.	కారలోస, నాకు రకషణగా రా.
लैटिन में एफिकैकिया से.	లాటిన మూలం ఎఫికాకియా.
अब वह उसका काम नहीं है.	అది అతని ఉదయోగం కాదు.
-तुम अकेली नहीं जा सकतीं. -ठीक है.	-నువవు ఒంటరిగా వెళళకూడదు. -సరే.
तुमहारी छोटी बहन ने बीयर पीने के लिए बुलाया.	మీ చెలలి బీరు తాగడానికి రమమని పిలిచింది.
सच बताओ कि तुमने मेरा पता कयों लगाया या फिर दफा हो जाओ.	నువవు నా జాడ ఎందుకు కనిపెటటావో చెపపు లేదా వెళళిపో.
अपने दिनों में खुशी लाने की इचछा जागेगी.	నీ రోజులలో ఉతసాహం నింపడానికి కొంచెం చమతకారం.
पर हमें जानकारी चाहिए.	మనకు సమాచారం కావాలి.
यह लंदन है,	ఇది లండనే,
बताकर देखो.	పరయతనించు.
उसके बगीचे में इसलिए हैं ताकि शुरू करने से पहले तुमहें आदत पड सके.	మనం మొదలెటటడానికి ముందు మీకు అలవాటుకావడానికి, ఈ తోటలో ఉననాం.
शायद हमें उन मुददों पर धयान देना चाहिए जो कि जरूरी हैं,	పరసతుతం మనం అతయవసరమెన విషయాలపె దృషటిపెడితే మంచిది,
जीवन में मजा लेने के लिए, कभी-कभी	ఇక, నువవు నీ జీవితంలో ఎదగలేవు,
वह वैसा ही इंसान है. हम वैसे इंसान नहीं हैं.	అతను అలాంటి వాడు. మనం అలాంటి వాళళం కాదు.
किसी शो में देखा था, पर ये लुपत हो चुके थे.	ఓ షోలో చూశాను, అంతరించిపోయాయని చెపపారు.
अब उसके लापता होने के बाद, वह संपरक टूट सकता है.	ఇపపుడు ఆమె కనపడకపోవడంతో, ఆ సంధానం పోయే ముపపు మాకుంది.
मुझे लगा कि तुम हो!	అది నువవే అనుకుననాను.
मेरी एक समसया का हल करो, और वह भी अभी.	నా సమసయ పరిషకరించు, అదీ వెంటనే పరిషకరించు.
यह लेव जूबोव का है.	లెవ జుబోవకు చెందినది.
डालने को तैयार हैं.	మీకు నమమకం కలగడానికి.
मुझे दिखाई दे रहा है.	నేను చూడగలను, ఫలిన.
नई तरह की आवरण परौदयोगिकी वाली. जिससे जवाब मिलता है.	ఒకలాంటి అదృశయ సాంకేతికతతో. నీ పరశనకు జవాబు అది.
एक पूरव-सैनिक दल. विशिषट दल है.	మాజీ సెనికులు. అగరశరేణి దళం.
हमारी ननही फौज के लिए सामान.	మన చినన సెనయానికి సరుకుల చిటటా.
किसी फफूँदी के चलते खतम हो गया. दुख की बात है.	ఒక రకమెన బూజు వలల అంతరించింది. అది భయంకరమెన అవమానం.
यह कया है?	అది ఏంటి?
अरे, हैलो.	మరి, హలో.
माँ, उठिए.	అమమా, లే.
माँ, उठिए.	అమమా, లే.
-गोलियाँ कम हैं. -मेरे पास भी!	-తూటాలు తగగాయి. -ఇకకడ కూడా!
इतना पैसा दिया जाएगा	అకకడ డబబు ఉంటుంది,
सुबह के 5: 00 बजे हैं. कहीं नहीं जाऊँगा.	ఉదయం 5 కావసతోంది. నేను ఎకకడికీ రాను.
-किसलिए? -वापस आकर बताऊँगी.	-ఎందుకు? -తిరిగి వచచాక చెబుతా.
हमें नहीं पता कि इसमें कया है.	ఇందులో ఏముందో మనకు తెలియదు.
शायद किसी तरह का कोई रोबोट है,	అది రోబోట లాంటిది అనుకుంటా,
लेव और उसके दो टेकनिकलस से मिलने आए हैं.	లెవ, అతని ఇదదరు నిపుణులని కలవడానికి.
तुमहें आदत पड जाएगी.	మీకు అలవాటవుతుంది.
बुरी यानी वह जिससे तुमहारी जान को खतरा हो सकता है.	చెడు అంటే మనలని మరణానికి చేరువగా తీసుకెళళేది.
हाँ, कहूँगी, टॉमी.	అలాగే చెపతాను, టామీ.
काफी सारे. 2, 50, 000 डॉलर.	భారీ మొతతం. 2, 50, 000 డాలరలు.
तुमहें वह नहीं मिलता, है न?	నువవు కనుకకోలేకపోయేవాడివి కదా?
अभी मिलने आया हूँ न?	ఇపపుడు వచచాను కదా?
अकेले होते हो तो मुसीबत में फंस जाते हो.	సొంతంగా వెళళి ఏదో చికకులలో పడడావుగా.
विलफ, यह मेरा घर है.	విలఫ, అదే మా ఇలలు.
कयोंकि मुझे लगा कि किसी भी दिन तुमहारी लाश देखने को मिलेगी.	ఈ రోజులలో ఏదో రోజు నినను చనిపోయి చూసతానని అనుకుననాను.
डर है कि तुमसे पहले मेरी गोली चल जाएगी?	నీకననా వేగంగా తుపాకీ తీసతానని భయమా?
मुझे पता है कि इसमें तुमहारा अपना मतलब है, विलफ,	ఇందులో ఎంత ఆసకతి చూపిసతుననావో తెలుసు, విలఫ,
इसे हैक कर सकते हो?	దానని చేధించగలవా?
सभी लोग कहाँ हैं?	జనాలంతా ఎకకడుననారు?
लडकी और उसके परिवार की सुपारी लेने वालों ने उनपर हमला किया.	ఆ అమమాయి తలపె, ఆమె కుటుంబంపె పెటటిన నజరానాను ఎవరో పొందాలని చూశారు.
तुम एक परिफरल के अंदर हो.	మీరు ఒక పెరిఫరల లోపల ఉననారు.
शायद तुलना की जा सकती है.	ఆ పోలికను చేయవచచని అనుకుంటా.
तुमने मेरी माँ को जो दवा दी,	మీరు మా అమమకు ఇచచిన ఔషధం,
फलिन भविषय के लंदन में गई थी. उसने ऐसा कुछ देखा जो नहीं देखना था.	భవిషయతతు లండనను ఫలిన సందరశించింది. చూడకూడనిది ఏదో చూసింది.
शायद? हम सब की जान भी जा सकती है.	అవుతుందేమోనా? మన అందరం కూడా చసతామేమో.
ऑसियन वही सजजन है जो पेड के पास डरावना सा नजर आ रहा है.	చెటటుపె వాలి, భయపెడుతుననటటుగా చూసతునన అతను ఆసియన.
इस पर दबाव डालने से पहले, हमें इसे नए माहौल में ढलने देना चाहिए.	ఆమెపె ఒతతిడి పెటటడానికి ముందు సౌకరయంగా అనిపించేలా చేయాలి.
मैंने तय किया कि वह जहाँ भी जा रहा हो, मैं उसकी जान लेकर रहूँगा.	నేను ఆ అబబాయిని చంపాలనుకుననా, అతను ఎకకడికి వెళుతుననా సరే.
द परिफरल	ద పెరిఫరల
रीसरच इंसटीटयूट?	ద రీసరచ ఇనసటిటయూట?
किसी विखयात रूसी वंश से नहीं है?	ఒక పరసిదధ రషయన రాజవంశానికి వారసుడనా?
एक कातिल.	హంతకుడు.
थोडा अजीब सा लगता है, नहीं?	విడడూరంగా అనిపిసతోందిగా?
किसमत ने हमेशा साथ दिया. तुम दोनों को पता है.	ఎపపుడూ అదృషటవంతుడినే. మీ ఇదదరికీ తెలుసు.
. . . मौनवंश की मधुमकखियाँ.	. . . కాలనీలో తేనెటీగలు.
भेडों को इसलिए निकाला न कयोंकि उनके लिए बुरा लग रहा था?	నువవు గొరరెలని వదిలేశావు, ఎందుకంటే వాటిపె నీకు జాలేసింది, కదా?
और कानूनी रूप से शेरिफ के दफतर जाने को लेकर भी.	అలాగే నయాయాధికారిని నేరుగా సంపరదించడమనే చటటబదధ మారగం.
तुम मुझसे कया छुपा रहे हो?	నా నుండి ఏం దాసతుననారు?
मैं बस ऐश को बता रहा था	నేను యాషకు ఏం చెపతుననానంటే
संभावना है कि इस नौजवान औरत की दुनिया तक पहुँच पाएँ.	ఈ యువతి పరపంచంలోకి పరవేశించే అవకాశానని ఇచచాయి.
यह गरव की बात है. मैं अपने दोसतों से झूठ नहीं बोलता,	ఇది నీలో గరవకారణం. నా సనేహితులకి అబదధం చెపపను,
शायद अगले हमले से पहले, वे हमें सावधान करेंगे.	మరో దాడి జరగబోయే లోపు మనకు హెచచరిసతారని అనుకుంటుననా.
इसलिए एक-दो मिनटों के लिए लोगों का धयान हम पर रहेगा.	దాంతో మనం కొదది నిమిషాలు ఆసకతికరంగా కనిపిసతాం.
जो तुमहारी "जरूरत" से कहीं जयादा होगा.	"అవసరం" అనే సథాయికి మించి నినను చేరుసతుంది.
जब तक वह संपरक नहीं हुआ था, हमारी दोनों समयरेखाएँ समान थीं.	మన ఇదదరి కాలరేఖలు ఒకేలా ఉననాయి, సంపరదించే కషణం దాకా.
वकत से ही तो खेलने में मजा आना चाहिए.	దీంతో నీకు పరిసథితి ఎంత అతయవసరమో తెలియాలి.
यहीं पर बात थोडी मुशकिल होने लगती है.	అకకడే విషయాలు కొంచెం చికకుపడటం మొదలవుతాయి.
एक जंगली परतिदवंदवी आनुवंशिक परजाति भी है.	మరో జనయు పరంపరలో ఇవి మృగాలుగా ఉననాయట.
लगभग 12 घंटों तक काफी अचछा महसूस होता रहा.	సుమారు 12 గంటల పాటు బాగా అనిపించింది.
-माँ? -वह पूरे समय सोती रहीं.	-అమమా? -ఇంత సేపూ నిదరపోతూనే ఉంది.
उनहें रोकने के लिए मदद चाहिए.	వారిని ఆపడంలో నా సాయం అవసరమవవచచు.
कॉरबेल पिकेट नाम के आदमी से तुमहारा कया संबंध है?	కారబెల పికెట అనే అతనితో నీకునన సంబంధం ఏంటి?
यह लंदन नहीं है.	ఇది లండన కాదు.
समय यातरा होती तो शारीरिक रूप से	మీరు కాలంలో పరయాణించగలిగితే,
यह जो नई दवा है, यह. . .	ఈ కొతత ఔషధం, ఇది. . .
चलो भी.	కానివవు.
जब मैं यहाँ नहीं होती, तो इस चीज का कया होता है?	నేను ఇందులో లేనపపుడు దీనికి ఏం జరుగుతుంది?
एक समसया है जिसके लिए थोडी सथानीय जानकारी चाहिए.	కొంత సథానిక జఞానం అవసరమయయే పరిసథితి మాకు ఒకటి ఎదురెంది.
एक लडकी को खतम करने का कोई आसान तरीका जरूर होगा.	ఆ అమమాయిని చంపేందుకు ఏదెనాా సులభమెన మారగం ఉండే ఉంటుంది.
या ठीक से कहें तो, कुछ लोगों के एक दल ने.	లేదా సపషటంగా చెపపాలంటే, కొంతమందితో కూడిన బృందం.
लेव ने मुझे एलीटा को तलाशने का काम सौंपा,	ఎలీటాను కనుకకోవడానికి ననను నియమించిన వయకతి లెవ,
और कया पता है? उनकी निधन सूचना है,	ఇంకా మీ దగగర ఏముంది? ఆమె మరణపరకటన ఉంది,
तुम कमीनों ने इसे हैक किया?	మీరు ఇందులోకి దొంగగా చొరబడడారా?
अधिकारी धयान नहीं देते कयोंकि वह तुमहारे जैसा नहीं है.	అతను నీలాగా ఉండడు కాబటటి అధికారులు పటటించుకోరు.
सहानुभूति बोनस दिया.	సహానుభూతి బోనస ఇచచింది.
काफी सारे, अगर मुझसे गलती नहीं हो रही,	చాలా పెదద మొతతం, నేను పొరపడకపోతే,
नॉटिंग हिल के एक घर में पीछे का बगीचा.	నాటింగ హిలలో ఓ ఇంటి పెరటలో ఉననాం.
अगले कुछ घंटे तुमहें काफी दरद सहना पड सकता है.	రానునన కొదది గంటలలో మీరు చాలా బాధను భరించాలసి రావచచు.
हेडसेट लगाने के बाद, मैं सच में उस शरीर में होती हूँ.	హెడసెట పెటటుకుని, ఓ నిజమెన దేహానని నడుపుతుననా.
मैंने जैसा वादा किया था, वह असर दिखाएगी. थोडा समय दो.	నా మాట పరకారం అది పని సాధిసతుంది. సమయం ఇవవండి.
भविषय? उनहोंने लाटरी जीतने में मदद की? और यह जो किसमत चमकी?	భవిషయతతా? లాటరీ గెలవడంలో సాయపడిందా? అదృషటం కాకుండా మరెలా వివరిసతావు?
जिनकी 2030 के आस-पास, कलैंटन में कोई ताकत है, कोई परभाव है.	మీరు కొంత శకతి, పరభావం చూపించగల వయకతి అని మా రికారడులు సూచిసతుననాయి.
तुम तैयार हो?	నువవు సిదధమేనా?
तुमने मुझे निराश किया, डैनिएल.	ననను నిరాశపరిచావు, డానియల.
एलला फिशर, 50 वरष, 22 सितंबर को देर शाम के समय गुजर गईं. . .	ఎలలా ఫిషర, వయసు 50, సెపటెంబర 22వ తేదీన సాయంకాలం. . .
उस बंदे ने कहा.	అతనలా అననాడు.
मुझे नहीं लगता.	నాకు సందేహమే.
लंबी वाली बंदूकें हैं?	పెదద తుపాకులుననాయా?
-हर सुबह. . . -ऐसा करने की हिममत भी मत करना.	-పరతి ఉదయం. . . -అది చేసే సాహసం చేయకు.
मुझे और मेरे परिवार को कयों मारना चाहते हैं.	మనుషులు ఎందుకు వసతుననారో మీరు చెపపాలి.
मेरे जैसा दिखता है. मेरे जैसा महसूस होता है.	ననను పోలి ఉంటుంది. నాలాగా అనిపిసతుంది.
ये दोनों घर में साथ देने के लिए बनाए गए हैं.	ఇవి మనుషులకు మచచికయయేలా రూపొందించినవి.
तुम इतने बेवकूफ नहीं जो उनके साथ खेलो.	నువవు డరోనలని ఉపయోగించేంత వెధవవి కాదనుకుంటా.
हमारे यहाँ आकर रहो.	మా ఇంటి దగగరొచచి ఉండు.
आधुनिक वीआर, फलिन. लोग चाहते हैं कि इसकी जाँच करूँ.	అతయాధునిక వీఆర, ఫలిన. నేను బీటా టెసట చేయాలట.
भरोसे के तौर पर, अभी आपके खाते में 25 परतिशत	ఇపపుడు 25 శాతం మీ ఖాతాలోకి వేయడానికి సిదధంగా ఉననాం,
वह जिसने वेसटकोट पहना है.	అతనే, వెయిసటకోటు వేసుకుననాడు.
तुमहारे चलते सोचता है कि कुछ भी कर सकता है.	పెతతనం వాడిదనే భావన వాడికి ఇసతుననావు.
सोच रहा हूँ कि हमें कयों नहीं बुलाया.	మాకు ఎందుకు ఆహవానం అందలేదా అని ఆలోచిసతుననా.
उस शरीर को चला रही हो मानो तुमहारा अपना हो. और यह सब. . .	ఆ దేహం మీదయినటటు మీరు నిరదేశిసతారు. ఇక ఇదంతా. . .
हमने मौका लिया, और किसमत से कॉनर नशे में नहीं था.	మనం అవకాశం తీసుకుననాం, అదృషటం కొదదీ కానర తాగకుండా వచచాడు.
यह पता चला कि मधुमकखियों की अनुपसथिति से उनकी सालाना आय 75, 000 से कम हुई. . .	తేనెటీగలు లేకపోవడం వారి వారషికాదాయానని 75, 000 డాలరలు తగగిందని. . .
अब कया बात है?	ఇపపుడు ఏంటి?
बिलकुल नहीं. मुझे तुम पर यकीन नहीं.	లేనే లేదు. నేను మిమమలని నమమను.
जब आपसे ऐसी कोई बात कही जाए तो. . .	వాళళు మనకు అలాంటిది చెపతే. . .
हम कहाँ हैं?	మనం ఎకకడుననాం?
तमीज से, फलिन.	మరయాద, ఫలిన.
मुझे. . . मुझे बाथरूम जाना है.	నేను వెళళాలి. . . బాతరూమకు వెళళాలి.
काम की सूची.	విధుల పరణాళిక.
कया लगता है, हम जैसे अपंगों को	మాజీసెనయుల సంసథ మాలాంటి అవిటివాళళకి
यह बात सही है?	అది నిజమేనా?
जो मेरी समझ के मुताबिक, मौजूदा दर है. . .	నాకు అరథమయినంత వరకూ అతని ఖరీదు. . .
हिफाजत कर सकती हूँ. . .	నినను కాపాడగలిగినపపుడు. . .
मैं यकीन दिलाती हूँ कि यह एक भले काम के लिए है.	అది మంచి కారణానికేనని కచచితంగా చెపపగలను.
जरूर कोई वजह होगी कि तुमहें इस बात पर यकीन हुआ?	ఇది నమమడానికి ఓ కారణం ఇచచి ఉంటాడనుకుంటా?
"विलफ नेदरटन" से मेल खाते आगे और नतीजे नहीं हैं	ఇక "విలఫ నెథరటన"కు సరిపోలే ఫలితాాలు లేవు
और कोई नहीं हो सकता.	విలఫ నెథరటన కననా.
मैं विलफ नेदरटन हूँ.	నేను విలఫ నెథరటన.
शायद "आसान परकरिया" का भविषय में कोई और ही मतलब है.	"పురుగులమందు చలలటం" అననదానికి భవిషయతతులో మరో అరథం ఉననటటుందే.
और एलीटा को ढूँढने के लिए विलफ नेदरटन से जयादा परेरित	ఎలీటాను వెతకడంలో ఎకకువ పరేరణ ఇంకెవరికీ ఉండదు,
यही एक दुनिया है जो मुझे मिली है.	నాకు ఈ పరపంచం మాతరమే తెలుసు.
आज भी सुबह उठकर वही लगता है?	నువవు ఇపపటికీ అలానే నిదర లేసతావా?
रीस से गेम के बारे में बात की थी.	ఆ సిమ గురించి రీసతో మాటలాడా.
अगर उसकी आँख खुली तो बताना मत कि मैं कहाँ गया.	ఆమె లేసతే, నేను ఎకకడికి వెళళానో చెపపకు.
हाँ, डॉकटर.	అవును, డాకటర.
हाँ, मुझे उसका पता है.	అవును, అదేంటో నాకు తెలుసు.
तुम कहाँ काम करती हो उस बारे में.	అది నీ పరసతుత ఉదయోగం చేసే చోటు గురించి.
तो यह परोपकार है, हाँ?	అయితే ఇది పరోపకారం, అవునా?
मैं तुमहें पैसे दूँगा.	నీ ఖాళీ సమయానికి చెలలిసతా.
-भविषय के लंदन में? -नहीं.	-భవిషయత లండనకు? -కాదు.
-हैलो. -हैलो.	-హేయ. -హేయ.
हाँ, मैं समझती हूँ. यह सटब वाली बात है.	ఆ, అది అరథమెంది. సటబ విషయం మొతతం.
तुम कुछ कहना चाहती हो?	ఏదెెనా చెపపాలనుకుంటుననావా?
तुम मुझे कया समझते हो?	నా గురించి ఏమనుకుంటుననావు?
एक ही वजह हो सकती है जिसके चलते उस बंदे ने मुझे जाने दिया.	ఆ కురరాడు ననను వదలటానికి ఒకే ఒక కారణం ఉందనుకుంటా.
तुमहारे ऐसा कहने से शायद उसे अचछा नहीं लगेगा.	నువవు అలా మాటలాడటం వాడిని బాధపెటటవచచు.
हालांकि चिढचिढापन हमेशा रहता है.	కానీ ఆ చిరాకు ఎపపటికీ పోదు.
वह कमीना अभी भी हमें देख रहा है.	ఆ చెతతగాడు ఇంకా చూసతుననాడు.
"मिलागरोस कोलडायरन" के लिए नतीजे	"మిలాగరోస కోలడఐరన" ఫలితాాలు
डॉकटर ने कहा कि वह जानलेवा नहीं है. काफी समय है.	అది ఆమెని చంపదని వెదయుడు చెపపాడు. ఆమెకు ఇంకా ఆయుషషు ఉంది.
वह अभी भी जिंदा है?	ఇంకా బతికే ఉందా?
यही तो असली बात है.	అదీ అసలెన విషయం.
कया नाम है, जान?	నీ పేరేంటి, బంగారం?
अपना मतलब और परोपकार?	సవీయ లాభం మరియు పరోపకారం?
मैं चाहता हूँ कि तुम जलदी, उसे उसके अंदर लेकर जाओ.	ఆమెను నువవు దానిలోకి తీసుకురావాలి, ఇపపుడే.
उस मोड पर, वो अलग हो गईं.	ఆ కషణంలో, విడిపోతాయి.
वह सच था, बरटन. वह सच लगा.	అది నిజం, బరటన. నిజమనిపించింది.
उसे हमेशा से पहेलियाँ पसंद थीं.	ఆమె చికకుముడులను ఇషటపడేది.
हम तकनीकी रूप से सहायता करेंगे.	మనం వారికి సాంకేతిక తోడపాటు అందిసతాం.
लगा कि वे बेकर के घर की ओर जा रहे थे,	వాళళు బేకర ఇంటికి వెళుతుననారని,
शायद तुम ही हो जिसने उसे आखिरी बार देखा था.	ఆమెను చూసిన చివరి వయకతి మీరే కావచచు.
बस अपना गिलास उठाओ. सिर हिलाकर शुकरिया कहो.	నీ గలాసుని ఎతతు. తల ఊపి థాంకస చెపపు.
-मैं वहाँ जाऊँगा. -नहीं. वह तुमहें नहीं चाहता.	-అందులోకి నేను వెళతా. -వదదు. అతను నినను కోరుకోవటం లేదు.
वह बेवकूफ नहीं है.	పిచచివాడు కాదు.
मैं बस तुमहें अपना काम करने को कह रहा हूँ.	నినను నీ పని చేయమని అడుగుతుననానంతే.
तुम उममीद करते हो कि मैं यह मान लूँ?	దీనికి తలూపుతానని ఆశిసతుననారా?
निधन सूचनाएँ	మృతపరకటనలు
पर मैं जा रही हूँ, बरटन.	నేను వెళతుననా, బరటన.
वह आपके लिए अहम कयों है?	ఆమె మీకెందుకు ముఖయం?
लिऑन.	లియోన.
झाडियों में जाकर छुप गए.	పొదలలోకి దాకకుననారు.
मैंने यह नहीं कहा कि मेरी बात का यकीन करो, बस मदद कर दो. नशा छोडो.	ననను నమమమని చెపపలేదు, నాకు సాయం కావాలంతే. మతతు వదులుకో.
हवाना कैसा रहा?	హవానా ఎలా ఉండింది?
आप कया कर रही हैं? आप ठीक हैं?	ఏం చేసతుననావు? బాగుననావా?
पर यह नहीं कहा था कि इतनी मजेदार पारटी होगी.	కానీ నువవు ఇంత సరదా పారటీ ఇసతుననావని మాటెనా చెపపలేదు.
-कितना सावधान? -जितना उनसे हो पाए.	-ఎలాంటి హెచచరిక? -వాళళకు వీలెనంత హెచచరిక.
तुम मिलने कयों नहीं आते?	నువవు ఎందుకు అపపుడపపుడూ రావు?
जाहिर है, उसकी जगह और सामयिक परकृति के चलते परिसथिति जटिल हो जाती है,	అతనునన చోటు, లభయమయయే తీరు పరిసథితిని సంకలిషటం చేసతుననాయి,
वह औरत जो लापता है.	ఎలీటా జాడ తెలియటం లేదు.
बरटन, यहाँ आओ. अभी.	బరటన, లెగు. ఇకకడికి రా.
अगर किसी तक पैसा पहुँचाना हो, तब ऐसा आदमी काम में आता है, है न?	ఎవరికెనా డబబు ఇచచి రమమనే పనికి మాతరమే తగినవాడు, కదా?
हमारी किसमत अचछी रही, पर वह जयादा देर तक अचछी नहीं रहेगी,	మన అదృషటం బాగుంది, కానీ మన భాగయం నిలిచేలా లేదు,
मेरी माँ के लिए कया मायने रखता है?	మా అమమకు దాని వలల ఏమవుతుంది?
और तुमसे एक पल भी चुराना, तुम पर. . .	ఇక నీ నుండి పరతీ కషణానని దొంగిలించడమనే ఆలోచన,
असल दुनिया में, कोई टरैकटर नहीं होगा.	నిజమెన పరపంచంలో, ఎలాంటి టరాకటర చెతతా లభించదు.
यह महज डेटा टरांसफर है.	ఇది కేవలం డేటా బదిలీ మాతరమే.
ओह, बेटा.	ఓహ, బంగారం.
हे भगवान.	ఓరి దేవుడా.
रुको, ठहरो.	ఆగు, ఆగు.
चा-चा-चा.	కొంత ఛ-ఛ-ఛ.
द परिफरल में आगे देखिए	ద పెరిఫరలలో తరువాత
-मुझे कया करना है? -बस बैठकर देखना है.	-నేను ఏం చేయాలి? -కూరచుని చూడు.
. . . सुनने में बेकार लगती है, पर अचानक से आपको एहसास होता है कि हर दिन कीमती है.	. . . పేలవంగా తోసతుంది, కానీ పరతీ రోజూ ఎంత విలువెనదో మనం గరహిసతాం.
अचछा, मैं घर जाती हूँ.	సరే, నేను ఇంటికి వెళుతుననా.
जिसके नतीजतन हमारे समाज में कई सारे कृषि संबंधी अभावों	దీంతో వయవసాయంలో లోపాలు ఉపపెనలా వెలలువెతతాయి,
उसे बस घोडा दबाना था. पता है, उसने कया किया?	వాడు చేయాలసిందలలా వేలు నొకకడమే. వాడు ఏం చేశాడో తెలుసా?
पर तुमने मेरे सवाल का जवाब नहीं दिया.	నువవు నా పరశనకు జవాబు ఇవవలేదు.
पर खतरे से बचने के लिए, हमने उचित कदम उठाए हैं.	కానీ మేము ముపపును తొలగించేందుకు అవసరమెన చరయలు తీసుకుననాము.
पर ऐसा है कि जहाँ हिंसक बनने की जरूरत पडे,	కానీ తన హింసాతమక సామరథయపు విషయంలో,
मेरा बुरा हाल है, पर उतना भी नहीं.	నేను చిందరవందర మనిషినే, కానీ మరీ అంత కాదు.
मैं मजाक नहीं कर रहा. तुम मुझे खुश नहीं लग रही.	నిజంగా అంటుననాను. నువవు సంతోషంగా లేవు.
गेम में सवागत है, ईजी आइस.	సిమకు సవాగతం, ఈజీ ఐస.
थोडा जलदी मुझे मार डालेगी?	కాసత తవరగా చంపుతుందా?
डरोन फीड इंटरसेपट चालू करते हुए	డరోన ఫీడ నిలుపుదల పరారంభం
कोई मुझे बताएगा कि कया हो रहा है?	ఏం జరుగుతుందో నాకు ఎవరెనా చెపపి తగలడతారా?
जितना जयादा सोचता, उतना और गुससा आता.	దాని గురించి ఆలోచించే కొదదీ, నాకు పిచచెకకింది.
माँ.	అమమా.
हैलो?	హలో?
माँ.	అమమా.
अचछा.	సరే.
बोला कि वह ठीक हो जाएँगी.	నయం చేసతుందంటుననాడు.
कैसी शुरुआत?	ఏది మొదలెటటాలి?
हम नाराज कयों होंगे?	మాకెందుకు కోపంగా ఉంటుంది?
वह रीस की गाडी है न?	అది రీస టరక కదా?
तुमहें देख मुझे हमेशा लगा कि तुमहें अचछी जानकारी	మంచి జఞానానికి, చెడడ జఞానానికి మధయ కల తేడాలను వివేచనతో చూడగల
अचछा.	సరే.
चाहो तो, मदद के लिए लिऑन है.	నీకు కావాలంటే, లియోన సాయంగా ఉంటాడు.
हम जिनके बारे में बात कर रहे हैं, उनके नाम फलिन और बरटन फिशर हैं.	మీరు హతమారచాలసిన వయకతుల పేరలు, ఫలిన మరియు బరటన ఫిషర.
बेवकूफ कहीं के.	చెతత వెధవలు.
"एलीटा वेसट" के लिए नतीजे	"ఎలీటా వెసట" ఫలితాలు
माँ?	అమమా?
माँ.	అమమా.
और मौजूदा परिसथिति के चलते शायद हमें और थोडा. . .	పరసతుత పరిసథితిలో మనం ఇంకాసత ఎకకువ. . .
तुमने कहा था कि समय बरबाद नहीं कर सकते.	మనం సమయం వృధా చేయకూడదని అననారు.
उस रात उसने काफी मदद की थी.	మొనన రాతరి సరెన సమయంలో ఆదుకుననాడు.
बादाम के किसानों के साथ कैलिफोरनिया में हुए अधययन में	కాలిఫోరనియాలో బాదం రెతులపె జరిగిన అధయయనంలో
किसलिए पहुँचना चाहते हो?	ఎందుకు పరవేశించాలి?
ठीक करने में, वीए कितने पैसे खरच करता होगा?	ఎంత ఖరచు పెడుతుందని అనుకుంటుననావు?
मुझे पता है कि तुम यह नहीं करना चाहती,	నువవు ఇది ఎపపటికీ చేయాలనుకోవు,
बाईस सितंबर को.	సెపటెంబర 22వ తేదీన.
जलदी तुमसे मिलूँगा.	తవరలో కలుసతాను.
यह परायोगिक है.	ఇది పరయోగాతమకమెనది.
जिसके लिए ये लोग मुझे मारना चाहते हैं ताकि मैं अपना मुँह बंद रखूँ.	అది చెపపకుండా చేయడానికే, వీళళు చంపడానికి చూసతుననారు.
कया बात है?	ఏం జరుగుతోంది?
वह ठीक हैं?	ఆమె బానే ఉందా?
सततर सालों में बहुत कुछ होता है, मिस फिशर.	70 ఏళళలో చాలా జరగవచచు, ఫిషర గారు.
