खैर, डालो.	చెపపు మరి.
वे तुमहें एक अशवेत लडके के रूप में देखेंगे.	వాళలు నినను నలలజాతి అబబాయిలా చూసతారు.
पुलिस.	పోలీసు.
कृपया दोबारा कोशिश करें.	దయచేసి కాసేపాగి పరయతనించండి.
- रॉसकिल और वेइट. - जून.	- రాసకిల, ఇంకా వెయిట. - జూన.
- एटवूड से. - ठीक है.	- ఆటవుడ కి. - సరే.
और हमें पता है कि वह चीज तुमहारी नहीं थी. पर. . .	అది నీది కాదని కూడా మాకు తెలుసు. కానీ. . .
डोरिस, यह मैं हूँ, जून. देखिए.	డోరిస, నేను జూన ని. చెపపేది వినండి.
पता नहीं, लंदन के पुलिसवाले, टेकसास के नहीं, शहर के दूसरे छोर पर. . .	అంటే, లండన లోని పోలీసులు ఎకకడి నుండో ఎకకడికో వచచి, ఇలా. . .
मुझे एरॉल मैथिस की सवीकारोकति के बारे में बताइए.	ఎరరొల మయాథిస నేరాంగీకారం గురించి చెపపండి.
तो, तुमने फैसला किया कि एक 12-वरषीय बचचे के बैग में डरगस डालना होशियारी थी?	పననెండేళల పిలలాడి బయాగులో డరగస పెటటడం తెలివెన ఎతతుగడ అనుకుననావా?
- ए. - आओ खुद ले लो. आओ खुद ले लो.	- హేయ. - వచచి తీసుకో. తీసుకో.
मेरा मतलब, तुमने खुद कहा था, जून. वह कुछ भी करने में सकषम है.	నువవే కదా చెపపావు, జూన. అతను ఏమెనా చేయగల నేరపరి అని.
उसने अपने चमचों में से एक को अपना घटिया काम करने के लिए भेजा.	అతని చెతత పనులను చేయడానికి అతని చెంచాలు పంపుతుననాడు.
बॉल परतिभाएँ, मो?	బంతిని ఆడించడమా, మో?
- चलो. - जाओ.	- పద. - పద.
चलिए भी, माँ.	ఎతతు, అమమా.
- पता नहीं तुमहें यह जानकारी. . . - तुमहें बदले में कया मिलता है?	- నీకు ఈ సమాచారమంతా. . . - పరతిఫలంగా మీకు ఏం లభిసతోంది?
ए! ए, ए, ए!	ఓయ! హేయ, హేయ!
माँ, चलिए भी.	అమమా. సరలే.
या तो उसे बलैकमेल किया जा रहा है	అతడిని ఎవరో బెదిరిసతుననారు,
हाँ, पर मुफत सपर जैसी कोई चीज नहीं होती है.	అవును, కానీ ఉతత పుణయానికి ఎవరూ డిననరుకు పిలవరు కదా?
जेल में एक आदमी है जो उसकी हतया के लिए 24 साल की सजा काट रहा है.	ఆమెని చంపిన నేరం కింద ఒకరికి 24 ఏళల శికష పడింది, ఇపపుడు అతను జెలలోనే ఉననాడు.
हाँ, मैंने सुना था कि तुम धौंसिया हो.	హా, నువవు బెదిరింపులకు దిగుతావని కూడా విననా.
- तुमने फोन करने की कोशिश की? - लगभग छह बार.	- వాడికి కాల చేశావా? - ఆరుసారలు చేశా.
अब मेरी माँ की बुराई कर रहे हो?	ఇపపుడు మా అమమని అంటుననావా?
कि पूरी दुनिया उसके विरुदध साजिश करने पर तुली है.	ఒక నిమిషం సథిమితంగా ఆలోచిసతే వాడికే మేలు.
- तुम यहाँ हो. - मैंने सुना तुमने किसी को गिरफतार किया.	- ఇకకడ ఉననావా! - ఒకరిని అరెసట చేశారని విననాను.
मुझे अनुमान लगाने दो, और फिर उसे याद आ गया और उसने सब कबूल कर लिया.	ఆ తరవాత, అతనికి గురతొచచి, నేరానని ఒపపుకుననాడు, అంతే కదా?
- है न, जून? - लियो.	- అంతే కదా, జూన? - లియో.
अचछा?	అవునా?
हाँ. आपको परेशान करने के लिए माफी चाहूँगी.	హా. ఇబబంది పెడుతుననందుకు మననించండి.
- कौन किम? - वह बेहद कमीना है.	- కిమ అంటే? - వాడొక వెధవ.
तो. . . अनय लोग तुमहारी यादों को संपादित कर सकते हैं?	అంటే. . . ఇతరులు కూడా మన జఞాపకాలను మారచగలరా?
तो, कया आप उस दल के सदसय हैं या कभी थे?	కాబటటి, ఆ వరగంలో ఎపపుడెనా మీరు సభయునిగా ఉననారా?
मेरे बेटे का डीएनए कमबखत पीएनसी में है!	నా కొడుకు డీఎనఏ, పోలీసు వయవసథలో నికషిపతమె ఉంది.
- हैलो. - नैना, मुझे गिरफतार किया गया है.	- హలో. - బామమా, ననను అరెసట చేశారు.
उसका नाम कया था? तुमहें नाम पता है?	ఆమె పేరేంటి? మీకేమెనా తెలుసా?
- तुम विपरीत पकष को चुनते हो. - मैं समझता हूँ.	- నువవు మా పకషాన ఉండటలేదు. - అరథమెంది.
तो बेहतर होगा कि अपनी औकात में रहकर जीना सीखो.	అయితే, నీ జీతానికి తగగ జీవితం జీవించు.
तो, मैं तुमहें कुछ फोटो दिखाना चाहती हूँ	నేను నీకు కొనని ఫోటోలు చూపిసతాను,
कृपया, यह बकसा अंदर डालने में मदद करोगी?	దయచేసి ఓ పెటటెని కారులో పెటటగలరా?
- अब मैं जा सकता हूँ? - पीछे हटो.	- నేను ఇపపుడు వెళలవచచా? - వెనెకకి వెళలు.
- हम जा रहे हैं. हमें. . . - हाँ.	- మేము బయలుదేరుతాం. మాకు కాసత. . . - హా.
मेरी दादी के पास टरी हाउस नहीं है.	మా బామమ ఇంటలో ఊయల లేనే లేదు.
अरे, बढिया है. तुमहारे दोसत ऊँचे पदों पर हैं.	సూపర. ఉననత సథాయి మితరులే ఉననారు నీకు.
मैं तुमहारे बेटे पर हमला कयों करूँगा?	నీ కొడుకును లకషయంగా చేసుకుంటే నాకు వచచేదేంటి?
- तुमने कहा था कि तुम मेरे पकष में हो. - बेशक हूँ.	- నీది కూడా నా పకషమే అననావు కదా. - అవును.
वह इसका हकदार है कि हम आगे आकर उसकी मदद करें.	మనం దీనికి ధీటుగా పరతిసపందించాలి, అతనికి అండగా నిలవాలి.
मेर रोड ई1 में घटना घटी है.	మేర రోడడు ఈ1లో ఒక సంఘటన జరిగింది.
उसके बालों में कोई खराबी नहीं है.	అతని జుటటు అసలు సమసయే కాదు.
कया? उसका कया मतलब है?	ఏంటి? దానరథం ఏంటి?
रुको. रुको.	ఆపు. ఆపు.
कभी-कभी लोग. . . पुलिस. . .	ఒకకోసారి జనాలు. . . పోలీసులు. . .
तुमहें होशियारी से काम लेना होगा.	నువవు తెలివిగా వయవహరించాలి.
- हैलो. - अंदर आओ.	- హాయ. - లోపలికి రండి.
खैर, नहीं करना चाहिए. मैं तुमहारे लायक नहीं हूँ. यह जानते हो?	నేనంటే ఇషటం పెంచుకోకు. నేను నీకు తగిన దానని కాదు. అది నీకు కూడా తెలుసు కదా?
चलो भी. आगे बढो.	పద. బయలుదేరు.
मैं मैकस और शकील के साथ था	నేను మయాకస, షకీల తో నడుసతూ ఉననా,
- माँ, सुनिए. सुनिए. सुनिए. सुनिए. - नहीं. नहीं.	- అమమా, విను. విను, విను. - లేదు. లేదు.
वहाँ उस कार की पीछे की सीट में, वह तुमहारा करियर है.	అతడిని నువవు వదిలేసతావా, వదలవా అనేదాని మీద నీ ఉదయోగం ఆధారపడుంది.
और ये पुलिसवाले,	ఇక ఈ పోలీసులు
अरसा पहले उसकी एक गरलफरेंड थी. मेरी ही तरह.	అతనికి చాలా కాలం కరితం ఒక లవర ఉండేది. నాలాంటి అమమాయే.
याद है कि मैंने तुमसे पूछा था कि कया मैं तुमहारी कार चला सकता हूँ? याद है?	ఒకసారి నీ కారుతో అలా రౌండ వేసి రావచచా అని అడిగాను, గురతుందా?
मुझसे इतना अचछा बरताव कयों कर रहे हो?	నాతో ఎందుకు అంత మంచిగా ఉంటావు?
ए. अगर यह वही है जो मैं सोच रही हूँ, तो सेंट लेनरडस डॉकस में आने को कहो.	హేయ. నువవు మెసేజ చేసేది ఎవరికో నాకు తెలుసు, అతనికి సెయింట లెనారడస డాకస వదదకు రమమని చెపపు.
कया रॉय चेमबरस अब भी डैलसटन लेन में परभारी है?	డాలసటన లేన సటేషన కి ఇపపుడు కూడా రాయ చాంబరసే కదా ఇన ఛారజీ?
मेरी पयारी माँ कहा करती थीं. . . कि कभी उनके सामने हार नहीं माननी चाहिए.	మా అమమ ఏం చెపపేదో తెలుసా. . . వారితో వాదనలకు దిగి వృథా అట.
बस तुमहारे बैग में उडकर घुस आया, एह?	మరి నీ బయాగులోకి ఎలా వచచింది?
जेकब कहाँ है? वह आधा घंटा लेट है.	జేకబ ఎకకడ ఉననాడు? ఆట మొదలయి అరగంట అయింది.
टोनी बीमार है, है न? वह इससे बेहतर का हकदार है. इतने साल सेवा करने के बाद.	అతనికి ఆరోగయం బాగాలేదు, కదా? అతను చాలా ఏళలు పోలీసుగా పని చేశాడు. ఇలాగేనా అతనితో వయవహరించేది?
एक गवाह ने चल रही जाँच के संबंध में	ఒక దరయాపతులో భాగంగా ఒక సాకషి
हैलो, हाँ.	హాయ, హా.
कया?	ఏంటి?
हैलो.	హాయ.
तुम सबसे बेहतरीन फुटबॉल खिलाडी हो, जेकी.	నీ అంత మంచి ఫుట బాల ఆటగాడు నాకు ఎవరూ తెలీదు, జేకీ.
कया?	ఏంటి?
कया?	ఏంటి?
टोनी अंडरकवर है.	టోనీ అండర కవర ఏజెంట.
हैलो. किम घर में है?	హాయ. కిమ ఉననాడా?
और अब वह मर चुकी है.	ఇపపుడు ఆమె పరాణాలతో లేదు.
कया सोनया और मैं बाद में, आज रात को आपके घर आ सकते हैं?	ఈరాతరికి ఒకసారి నేను, సోనియా వచచి మిమమలని కలిసతే, మీకేం పరవాలేదు కదా?
एरॉल मैथिस. यह सब उसी के बारे में है, है न?	ఎరరొల మయాథిస. ఆ కేసు గురించే కదా నువవు ఇంత చేసతుననావు?
- नहीं, नहीं, नहीं. "सच में" पसंद करती है. - कया?	- నువవునుకునే ఇషటం కాదు. ఆకరషణ. - ఏంటి?
जिस वयकति को आपने कॉल किया है, वह उपलबध नहीं हैं.	మీరు ఫోన చేసతునన వయకతి అందుబాటులో లేరు.
वह दावा करता है कि उसे कुछ याद नहीं है.	అతనికి ఏమీ గురతు లేదని చెపపాడు.
तुम जैसी परतिभा छुपी नहीं रह सकती.	నీలో ఉనన పరతిభ దాగేది కాదు.
मेरा वह. . . मेरा वह मतलब नहीं है.	నా. . . నా ఉదదేశం అది కాదు.
उप-शीरषक अनुवादक: मून कलिता	సబ టెటిళలను అనువదించినది: రాంపరసాద
रेखा के पीछे खडे हो जाओ.	లెన వెనుక నిలబడాలి.
तुमने भी मेरे बारे में सोचा. . . थोडा-बहुत?	నా గురించి. . . కొంచెం ఆలోచించావా?
मेट पुलिस अधिकारी की बरखासतगी पर जाँच की माँग	మెటరోపాలిటన పోలీసును తీసివేయాలని, విచారణ చేపటటాలని డిమాండ
इसलिए अपना हुड ऊपर मत करो.	కాబటటి హుడ ని తల మీదకి పెటటుకోకు.
देखो, हम यही करते हैं. समझे? मैं. . .	చూడు, మనం చేసేదే ఇలాంటి పనులు. సరేనా? నేను. . .
अब. . . हम तुम पर पूरा भरोसा करते हैं, समझे? तुम यह जानते हो.	చూడు. . . నీపె మాకు నమమకం ఉంది. అది నీకూ తెలుసు.
तुमहें पता है न कि तुम मुझे अपने दिल की बात बता सकती हो?	నువవు నాకు కూడా విషయాలు చెపపవచచు, అవును కదా?
सेवारत अधिकारियों के लिए निषिदध है, पर यह कॉमबैट लीग था.	సభయతవం ఉండకూడదు, పెగా ఇది విపరీత ఛాందస వరగం.
उसे छोड दो.	అతడిని వదిలేయ.
यही सचचाई है. और उनके बाद थे, अरथ, विंड एंड फायर, मैडनेस, मराया कैरी.	అది నిజమే. దాని ఆధారంగానే "ఎరత, విండ & ఫెర", "మయాడ నెస", ఇంకా మరాయా కేరీలు పేరు పొందారు.
तुमने मेरे बेटे पर हमला किया.	మీరు నా కొడుకును లకషయంగా చేసుకుననారు.
सुनो, धौंसियों के बारे में जरूरी बात यह है कि,	అలా బెదిరింపులకు పాలపడే వారి గురించి
यह तुमहारी सोच से जयादा आसान है.	అది చాలా అంటే చాలా తేలిక.
या शायद डरगस के कारोबार में उसकी गुपत भागीदारी है.	లేదా డరగస వరతకంలో అతనికి కూడా భాగం ఏమో.
- तो फिर, यह रहा. - धनयवाद. हाँ, यह बढिया है.	- ఇదే ఫలాట. - థయాంకస. చాలా బాగుంది.
और. . .	ఇంకా. . .
हम सभी टोनी को जानते थे.	టోనీ గురించి మా అందరికీ తెలుసు.
और कृपया, ऊपर भी.	పెన కూడా సంతకం చేయండి.
अचछी खबर? मेरे बेटे पर "बेचने के इरादे से डरगस रखने" की काररवाई की गई,	మంచి విషయమా? నా కొడుకు దగగర డరగస ఉననాయని అరెసట చేశారు,
पर, सच में. आने के लिए धनयवाद.	మనసఫూరతిగా చెపతుననా, వచచినందుకు థయాంకస.
सच कहूँ तो, यह मेरा सौभागय है.	నేనూ మనసఫూరతిగా చెపతుననా, అది నా భాగయం.
पर यह. . .	కానీ ఇది. . .
मेरे बॉयफरेंड ने उसे उसी चाकू से कई बार घोंपा जिससे मुझ पर हमला किया.	ననను పొడిచిన కతతితోనే, ఆమెని కూడా చాలాసారలు పొడిచాడు.
मुझे पता बताओ. मैं आ रही हूँ. मैं तुमहें लेने आ रही हूँ.	చిరునామా చెపపు. వసతుననాను. నీ కోసం వసతుననా.
- कसम से, मैं कुछ नहीं कर रहा था. - सब ठीक है.	- నేనేమీ చేయలేదు, పరమాణపూరతిగా చెపతుననాను. - తెలుసు, పరలేదు.
- सकूल में ढूँढा? - हाँ, वह समय पर ही वहाँ से निकला,	- సకూల కి కాల చేశావా? - హా, చేశా, ఎపపుడూ వెళలే సమయానికి వెళలిపోయాడట,
पर, समझी. . .	కానీ, ఏంటంటే. . .
मैं डीएस जून लेंकर हूँ. डैलसटन लेन सीआईडी.	నేను డిటెకటివ సారజెంట జూన లెంకర ని. డాలసటన లేన సిఐడిని.
तुमने कभी टूथबरश भी इसतेमाल नहीं किया.	అసలు నువవు పళళు తోముకోవు కదా!
देखो, मैं इसमें तुमहारी मदद कर सकता हूँ. मैं इसे सुलझा सकता हूँ. इस पर बात कर सकता हूँ.	చూడు, ఆ విషయంలో నేను సాయపడగలను. ఒక మాట చెపపి, దానని పరిషకరించగలను.
और मैं चाहती हूँ कि तुम मुझे बताओ	ఆ ఫోటోలలో ఉననవాళలు ఎవరెనా
डैन हैगरटी का शुकरिया अदा करो. उसने ही सुरकषा जमा राशि का भुगतान किया.	థయాంకస డాన హెగరటీకి చెపపాలి. డిపాజిట ని కటటింది అతనే.
हाँ, जानता हूँ. कयोंकि हमने सीधे कोलडसटरीम गारडस से उसकी भरती की थी.	హా, నాకు తెలుసు. ఎందుకంటే, నేనే అతడిని నేరుగా కోలడ సటరీమ గారడస నుండి సరవీసులోకి తీసుకుననా.
उससे पहले वह एक एटीएम में गया था और उसने काफी पैसे निकाले थे.	అకకడునన ఒక ఏటీఎమ కి వెళలి, చాలా డబబులు తీశాడు.
फली जैसा?	లెగయూమ అంటే?
जिससे यादें पुनः परापत करना कठिन हो जाता है.	అపపుడు జఞాపకాలు సరిగగా గురతుండవు.
. . . तुम केवल नवीनतम संसकरण ही पुनः परापत कर सकोगी.	. . . మనకి ఆ తాజా వెరషనే గురతు ఉంటుంది.
मुझे वापस काम पर लौटना होगा.	నేను ఆఫీసుకు వెళలాలి.
माफ करना.	పకకకు జరగరా!
अरे, चलो भी, जेकी. फोन उठाओ.	అబబా, జేకీ. ఫోన ఎతతు.
हाँ.	హా.
तो, किम कारडवेल के दो दोसत कुछ 12-वरषीय लडकों की	కిమ కారడ వెల కి చెందిన పాత మితరులు ఇదదరు, పననెండేళల పిలలల కోసమని
कया हुआ? तुमहें लगता है तुमहें कुछ नहीं हो सकता?	ఏంటి? నీకు రకషణ ఉందని అనుకుంటుననావా?
एक साथी पुलिस ऑफिसर को. उसका खेल खतम था. वह चली जाती. नौकरी से निकाली जाती.	ఒక తోటి పోలీసు ఆఫీసరుని ఇబబంది పెటటింది. తన ఖేల ఖతమ అయయుండేది. తటటా బుటటా సరదుకొని వెళలిపోయి ఉండేది.
पर मुझे समझ नहीं आया. वह मेरे पीछे कयों पडा?	కానీ అతను ననను లకషయంగా ఎందుకు చేసుకుననాడనేది అరథం కావటలేదు.
- और सीधे बात करूँगा कोच. . . - एटवूड.	- నా మనససులో ఉనన మాట చెపపేసతా, మీ కోచ. . . - ఆటవుడ.
और फिर पुलिस आई और वह मेरा नहीं था.	ఇంతలో పోలీసులు వచచారు, ఆ డరగస పయాకెట నాది కాదు.
टरायलस में अभी काफी समय है. वे अगले साल होंगे.	ఫుట బాల సెలకషనస పెదదగా జరగటలేదు. వచచే ఏడాది జరుగుతుననటటుననాయి.
तुमहें लगता है कि शायद किसी ने तुमहारे बैग में वह डाल दिया हो?	ఎవరెనా దానని నీ బయాగులో పెటటే అవకాశం ఉందంటావా?
टोनी गिलफॉएल का कया?	మరి టోనీ గిలఫోయిల సంగతేంటి?
तलाशी लेने के लिए अपने कषेतर से बाहर गए.	తమ పరిధిలో ఉనన పరాంతానని దాటి వేరే పరాంతానికి వెళలారు.
हाँ, ऐसी फली जो दरअसल आघात लगने के बाद सिकुड जाती है,	చికకుడు గింజ ఆకారం, ఏదెనా ఘటన వలన నలిగిపోతుననపపుడు అది కుచించుకుపోతుంది,
तुम अब भी सफाई दे रहे हो?	సిగగు లేకుండా ఇంకా మాటలాడుతుననావా!
हाँ, पर जहाँ तक मुझे पता है, यह नयूरोलॉजिकल रूप से पेचीदा है.	హా, కానీ నేను తెలుసుకొనన సమాచారం పరకారం, నయూరలాజికల గా అది భలే చితరమెన పరిసథితి అట.
यह हमेशा से तुमहारी रकषा करने के बारे में रहा है.	నినను కాపాడటం కోసమే అననీ చేసతూ వచచా.
- मैं एक सहकरमी की जासूसी नहीं कर सकती. - पर हम पर तो कोई पाबंदी नहीं है, है न?	- సహోదయోగిపె నేను నిఘా పెటటలేను. - కానీ మేము పెటటవచచు కదా?
तो फिर अचछी चीजें कहो!	అలాంటపపుడు మంచి మాటలు మాటలాడు!
डेविड बोवी. सच या झूठ?	డేవిడ బోవీ. అది నిజమా, అబదధమా?
- कया? - पेकिंग बततख पर केचप? नहीं.	- ఏంటి? - లెగ పీసుపె సాస వేసుకుంటుననావా? దారుణం.
तुम इतनी पुराने खयालातों वाली हो.	నీ ఆలోచనలననీ చాలా పాతవి.
या कया? कया मिलता है?	లేకపోతే ఇంకేం దకకుతోంది మీకు?
पता है कया. . . नहीं.	ఒకటి చెపపనా. . . అలా చేయకండి.
पर मैं तुमहारी मदद के लिए मौजूद हूँ. मैं हमेशा से तुमहारी मदद के लिए मौजूद रहा हूँ.	కానీ నీ పకషానే నేను ఉననాను. నేను ఎలలపపుడూ నీకు అండగానే ఉననా.
मैं बस वाइन की एक और बोतल खोलता हूँ.	ఇంకో వెన సీసాని తెరుసతాను.
कॉमबैट लीग के साथ मिलीभगत को लेकर सवाल बरकरार हैं	విపరీత ఛాందసవాద వరగంతో అనెతికపరమెన సంబంధాల విషయంలో ఇంకా ఉనన సందేహాలు
बॉस, वह हमारे पीछे पड गई है.	బాస, తను మనపె కయయానికి కాలు దువవుతోంది.
अब उसका डीएनए परणाली में है.	అతని డీఎనఏ ఇపపుడు సిసటములోకి ఎకకేసింది.
मैं बस उसे फोन कर लेता हूँ, ठीक है?	అతనికి ఫోన చేసి మాటలాడనా?
यह तुमहारे बारे में नहीं है.	ఇది నీ గురించి కాదు.
तो, वह कार दुरघटना के बाद होश में आया और. . .	మరి, అతను కారు పరమాదం తరవాత. . .
किम, मैं सब संभाल लूँगा. सच में.	కిమ, దీనని నేను చూసుకుంటా. నిజంగానే చెపతుననా.
हाँ. सैदधांतिक रूप से.	అవును. సిదధాంతపరంగా అది సాధయమే.
- शायद हमें. . . - देखो, हैगरटी संदेहजनक है.	- నాకు తెలిసి మనం. . . - చూడు, హెగరటీ తీరు అనుమానాసపదంగా ఉంది.
उसने कहा था, "बेवकूफ कहीं की. कभी सुनती नहीं थी. " वह उसे कभी खुश नहीं रखती थी.	"తను పిచచిది. నా మాటలని పటటించుకునేది కాదు" అని అనేవాడు.
तुम इस आदमी को जानते थे.	నీకు ఇతను తెలుసు.
यह हैगरटी कौन है?	హెగరటీ ఎవరు?
तुमसे एक सवाल पूछ सकती हूँ?	నినను ఒకటి అడగవచచా?
तुमहें कैसे लगा. . . तुमहें कैसे लगा कि तुम उसे सबक सिखा रहे थे?	అదా. . . అదా ఆమెపె పరతీకారం తీరచుకొనే విధానం?
नासमझ बनने का ढोंग मत करो!	నేను చెపపేది మీకు తెలీనటటు నటించకండి!
जानती हूँ.	తెలుసు.
- कल दिला दूँ? - हाँ.	- రేపు అయితే పరలేదు కదా. - హా.
यह कया है?	ఏంటిది?
कया लगता है तुमहें यह वयामोह किससे मिला?	భరమలకి, జాతికి సంబంధమే లేదు.
बस उसे छोड दो, समझी? यह. . . यह देख रही हो? यह तरकसंगत वयवहार नहीं है.	అతడిని వదిలేయ, సరేనా? ఇది. . . ఇది మంచి పని కాదు.
यह रही अपारटमेंट की चाबियाँ. शुभकामनाएँ.	ఇంటికి తాళాలు ఇవిగో. గుడ లక.
यह कया है?	ఏంటిది?
और उसे एक सेकंड के लिए रुककर सोचना चाहिए, इस सोच के साथ बडे होने के बजाय	కాబటటి, వాడు ఎదిగే కరమంలో పరపంచమంతా వాడిని జాతిపరంగా చిననచూపు చూసతోందనే ఆలోచనా విధానానని ఏరపరచుకోకుండా,
मैडनेस, सच या झूठ?	"మయాడ నెస", నిజమా, అబదదమా?
उससे कहो.	చెపపు అతనికి.
वह सथाई रिकॉरड है!	అది ఎపపటికీ అలాగే ఉంటుంది!
कया, अभी?	ఏంటి, ఇపపుడా?
परयापत आघात लगने पर,	చాలినంత వేదనకు ఎవరెనా గురెతే,
हम यादों को विशवसनीय चीजों के रूप में देखते हैं,	మనకి జఞాపకాలు ఎలా గురతుంటాయి అంటే
तुम अपना फोन इसतेमाल कर सकते हो.	నీ ఫోన తో కాల చేయవచచు.
सब ठीक है. मैं यहाँ एक फलैट के सिलसिले में आया हूँ.	సమసయ ఏమీ లేదు. ఫలాట గురించి వచచాను.
मैं तुमहें "बेचने के इरादे से डरगस रखने" के शक में गिरफतार कर रही हूँ.	మీ దగగర డరగస ఉననాయనే అనుమానంతో అరెసట చేసతుననాను.
जेकब मोबाइल पर कॉल किया जा रहा है. . .	జేకబ మొబెల కి కాల చేసతోంది
तो, तुम दोनों के बीच कया संबंध है? किसी तरह का समझौता है?	మీ ఇదదరి మధయ ఒపపందం లాంటిది ఏమెనా ఉందా?
- पुलिस. - तुमहें कया चाहिए?	- నేను పోలీసు ఆఫీసరుని. - ఏం కావాలి మీకు?
कसम से, तुमहें और मौके मिलेंगे. अब भी समय है.	చెపతుననా కదా, నీకు ఇంకా చాలా అవకాశాలు వసతాయి. ఇంకా చాలా సమయం ఉంది.
तो, ठीक है. तुमहारा आदमी.	సరే మరి. ఆ వయకతి.
असली संसकरण नहीं.	అసలెన జఞాపకం గురతు ఉండదు.
तुमहें कया लगता है?	ఎందుకని నువవు అనుకుంటుననావు?
तुम किस बात से इतनी डरी हुई हो?	ఎందుకంత భయపడుతుననావు?
नहीं. यह हैगरटी का किया-धरा है.	కాదు. ఇది హెగరటీ పనే.
- मुझे पता है. मुझे पता है. - धनयवाद.	- నాకు తెలుసు. - థయాంకయూ.
मेरे पास इसकी मरममत के पैसे नहीं हैं.	దీనికి అయయే ఖరచును భరించే సతోమత నాకు లేదని నీకు తెలుసు.
जलदी करो.	తవరగా.
हैलो. हमारे यहाँ एएंडई यानि आपातकालीन ककष में	హలో. పరమాదం, ఎమరజెనసీ విభాగంలో
मॉरीन लेंकर नामक एक मरीज है?	మౌరీన లెంకర అనే పేరునన వయకతి అడమిట అయయారు.
हाँ. ठीक है.	హా. సరే.
मैं समझता हूँ. सच में.	నాకు అరథమెంది. నిజంగానే అరథమెంది.
हाँ, ठीक है.	హా, సరే.
हाँ.	అవును.
तो, अगर मराया को परसिदधि मिली थी, तो '80 के दशक के आखिर में मिली थी.	మరాయాకి ఉండుంటే, ఎనభెల దశకం ఆఖరలో ఉండుంటుంది.
वे तुमहें एक मासूम, ननहे लडके के रूप में नहीं देखेंगे जो कभी. . .	వాళలు నినను అమాయకమెన అబబాయిలా భావించరు. . .
लोगों को अपने ही दिमाग में मौजूद चीजें याद नहीं आती हैं.	జనాలు తమ జఞాపకాలను పూరతిగా కోలపోతారు.
इससे पूरी कहानी साबित नहीं होती है, है न?	అంటే నాకు ఎలా తెలుసతుందమమా?
और सबसे बुरी बात है, सबसे बुरी बात है कि,	ఇంకా దారుణమెన విషయం ఏంటంటే,
कॉमबैट लीग? तुम गलत हो. बिलकुल गलत हो.	విపరీత ఛాందస వరగమా? పొరబడుతుననావు. దారుణంగా పొరబడుతుననావు.
वाइटकरॉस में है. . . उसने कहा कि वह इतना बेवकूफ है और. . .	ఈ వయకతి. . . పనికిమాలినవాడట, ఇంకా. . .
यह ठीक नहीं है.	పరిసథితి ఏమంత బాగాలేదు.
तुमहारी बॉल परतिभाएँ बस बेहद शानदार हैं.	బంతిని నువవు భలే ఆడిసతావు.
मैं समझता हूँ.	అరథమెంది.
अरे, सच में, जून? ठीक है.	అవునా, జూన? సరే.
सबको लगता है कि वह बहुत तंग करती है.	ఎవరికీ తనంటే పడటం లేదు.
वह रहा.	ఇకకడుననారు.
आगे आओ.	ముందుకు రా.
मैं ठीक हूँ.	నేను బాగానే ఉననాను.
या इसका?	ఇతను?
कृपया, नाम बताओ.	పేరు ఏంటి?
अरे, धत तेरी की!	నీ యెంకమమ!
यह बस. . . यह. . . इसका संबंध मेरे काम से है.	అది. . . నా ఆఫీసు వయవహారంలే.
कयोंकि उस लडके में काफी कषमता है. . .	ఎందుకంటే, వాడు ఇపపుడు ఎలా అయినా మారడానికి అవకాశాలుననాయి. . .
मुझे कोई परवाह नहीं कि तुम कया सोचती हो, समझी? अलविदा.	నువవేమనుకుననా నాకు అనవసరం. బె-బె.
मैं तुमहें विशवास दिला दूँगी कि हम पुराने दोसत हैं.	మనం చినననాటి మితరులమని నమమిసతా.
जानती हो, मैंने तुमहारे बारे में थोडा-बहुत सोचा.	నీ గురించి కొంచెం ఆలోచించాను.
कृपया, मुझे अपने बॉयफरेंड का नाम बताओ.	దయచేసి మీ లవర పేరేంటో చెపపగలిగితే, అది మాకు చాలా ఉపయోగపడుతుంది.
धत तेरी की. तुमहारे आखिरी नौकर की मौत कैसे हुई थी?	బాబోయ. వచచాడండి మెసూర మహారాజు!
ये सुरकषा जमा राशि के लिए काफी होंगे.	డిపాజిట గా అది ఉంచుకో.
- जेक. जेक. - मुझे माफ कर दीजिए.	- జేక. జేక. - సారీ.
कहाँ, जान? कहाँ?	ఎకకడ ఉననావు, డారలింగ? ఎకకడ?
तुम मुझे पसंद करते हो?	నేనంటే ఇషటమా?
तो, कौन लेकर आया था? उसे गिरफतार करने वाले ऑफिसर कौन थे?	మరెవరు? అతడిని అరెసట ఎవరు చేశారు?
यह काफी अचछा समय है.	ఎపపుడోకపపుడు మొదలుపెటటాలసిందే కదా.
ताकि जब भी बारिश वगैरह हो, तो तुम अंदर आ सको?	వరషం పడుతుననా, లేదా ఇంకే పరిసథితులలో అయినా, ఈ ఇంటలోకి నువవు రావడానికి వీలుగా.
वह कहाँ है?	ఎకకడ ఉంది రా నాయనా?
मैं शरत लगाती हूँ कि मैं तुमहारी याददाशत हैक कर लूँगी.	నీ జఞాపకాలని హయాక చేసి చూపిసతా.
और जैसा कि आप जानते हैं, किसी भी राजनीतिक दल की सदसयता	పోలీసులకు ఏ రాజకీయ పారటీలో కూడా
ठीक है.	సరే.
हाँ.	తెలుసు.
ठीक है.	సరే.
पुलिस सटेशन.	పోలీసు సటేషనులో ఉననా.
तुमने कया कहा?	ఏమననావు?
ठीक है.	సరే.
ठीक है.	సరే.
