अचछा, लिलीबग.	సరే, లిలలీబగ.
अचछा. तो, जिमी था, फिर तुम, और उसके बाद. . .	సరే. అయితే, మొదట జిమమీ, తరువాత నువవు, తరువాత. . .
पेश करेंगे नैटली विलियमस वयकतिगत चुनौती	తారాగణం నాటలీ విలియమస వయకతిగత సవాలు
-हैलो. -हैलो. आप कैसी हैं?	-హాయ. -హే, అమమాయ. ఎలా ఉననావు?
जब शेरिफ बाहर आकर रुके, तो लगा कि कुछ बुरा हुआ होगा.	ఇంటి దగగరకు షెరీఫ రాగానే, ఏదో దారుణం జరిగిందని అనుకుననాను.
डॉज और मेरे बीच तय हुआ था.	డాడజ, నేను ఒపపందం చేసుకుననాం.
नहीं, मैं जीतने की कोशिश करता रहा.	లేదు, నేను గెలవాలని పరయతనం చేసతుననాను.
पर मायरा कैंपबेल?	కానీ మెరా కయాంపబెల?
मजाक कर रहे हो न?	జోక చేసతుననావు కదా?
जिमी रूसी रूलेट पर टरेनिंग वाली पिसतौल लाया था.	జిమమీ శికషణ తుపాకీని రషయన రొలెటకు తెచచాడు.
पता है तुमहारी समसया कया है?	నీ సమసయ ఏంటో నీకు తెలుసా?
जिसके पास पहले से काफी पैसे हों, उसके लिए 50, 000 कोई जयादा नहीं.	50, 000 డాలరలు నీలాంటి అతయంత ధనికుడికి పెదద మొతతం ఏం కాదు.
वह कभी अपनी कहानियाँ पूरी नहीं करती. कर भी ले तो, कुछ नहीं करेगी.	తను ఎపపుడూ తన కథలు పూరతి చేయదు. తను చేసేది, ఏమీ చేయకపోవడం.
मैं घर से नहीं भागी, मेरी बस. . .	నేను ఇంటి నుండి పారిపోలేదు, నేను. . .
ऐबी कलारक और जिमी कोरटेज समारक कहानी कमरा	ఆబీ కలారక మరియు జిమమీ కోరటెజ సమారక కథా సమయ గది
यह झूठ है. तुम मेरे बारे में वह सब नहीं कहोगी.	ఇది నిజం కాదు. నువవు నా గురించి అలా అనవు.
लडकी को मरने के लिए सडक पर छोडना, भाग जाना, गाडी चलाना.	ఒక అమమాయిని చావడానికి రోడడుపె వదిలేసి, పారిపోవటం.
मंगलवार. समझ गई.	మంగళవారానికి. సరే.
मैं. . .	నేను. . .
ऐसे चीजों का पहले से अनुमान लगाना और खुद से कहना	ఈ ఊహించి చెపపడం పరారంభించి, నీకు నువవే ఇలా ముగిసతుందని
खेल तय करने के लिए लौटकर आया है.	నగరానికి ఆటను నిరణయించడానికి వచచాడు.
इससे पहले कि चोट लग जाए, दफा हो जाओ.	నువవు గాయపడక ముందే ఇకకడనుండి పో.
-भरत मिलाप होगा. -देखा, यही बात.	-అది కుటుంబ కలయిక అవుతుంది. -చూదదాం.
इसके बारे में कया?	ఇది ఎలా ఉంటుంది?
एक छूट दी गई है.	మినహాయింపు ఇచచారు.
मतलब, जरा सोचो, हेदर. मुझे. . .	అంటే, అది ఆలోచించు, హేథర. నేను. . .
खुशकिसमत हो. यह महीना थोडा ढीला था.	అదృషటవంతుడివి. రదదీ తకకువ ఉంది.
लूक फायदा उठा रहा होगा.	లూక తనని వాడుకుంటుననాడేమో,
गरेबिल निवास में जब आग लगी थी, तब तुम भागे थे,	గరేబిల ఇంటిలో మంటలు అంటుకుననపపుడు, నువవు పారిపోయావా,
मुझे मदद नहीं चाहिए थी.	నేను సహాయంకోసం చూడడం లేదు.
खोए-पाए सामान से, लाइबरेरी ने कचरे के डिबबे दान दिए.	లెబరరీ లాసట అండ ఫౌండ లోవి బుటటలు దానం చేసింది.
-कमीने कहीं के! -मेरे पास कोई चारा नहीं था.	-చెతత వెధవ! -నాకు మరో దారి లేకపోయింది.
यह गलत है. मैं वह नहीं कह रहा.	అది సరి కాదు. నేను అననది అది కాదు.
तो, हम यहाँ अब और नहीं रहेंगे?	అయితే, మనం ఇకమీదట ఇకకడ ఉండడం లేదా?
हेदर को नहीं पता.	హేథరకు తెలియదు.
मैं चाहे जो भी करूँ, मुझे बाहर मत निकालना.	నేను ఏం చేసినా సరే, ననను బయటకు తీయకు.
कल सभी जान जाएँगे कि तुम एक रखैल हो. अगर तुमने न छोडा तो वे	నువవు వదిలి వెళళకపోతే, రేపు నువవు వయభిచారివి అని అందరికీ తెలుసతుంది
अकषरों का गलत इसतेमाल है, बेवकूफ.	వెధవ, పేరు సరిగగా రాయడం రాదు.
"हर बार घुमाने पर 30 अंक मिलेंगे तीन से तुम आगे बढ सकते हो	"తిపపిన పరతిసారి 30 పాయింటలు మూడుసారలు తిపపితే ముందుకు కొనసాగుతావు
अगर खेल तय कर रहा होता, तो जीत मेरी होती.	నేను ఆటను నిరణయిసతే, నేనే గెలుసతాను.
यह बहुत जरूरी बात है, इसलिए धयान से सुनो, ठीक है?	ఇది ముఖయమెనది, అందుకని బాగా విను, అరథమెందా?
मुझे नहीं पता. हमें पकका नहीं पता कि रे का इसमें हाथ है.	తెలియదు. మనకు ఇందులో రే ఉననాడని ఖచచితంగా తెలియదు.
कौन जानवर किसी लडकी को उस हाल में सडक पर छोडेगा?	ఒక అమమాయిని అలా రోడడుపె ఏ మృగం వదిలేసతాడు?
वहाँ लामा भी है?	లామాలు ఉననాయా?
तुम एक चटटान से कूद सकती हो, पर इसे नहीं ले सकती?	నువవు అంత పెదద కొండపెనుండి దూకగలవు, కానీ అది వేసుకోలేవా?
डिगिनस?	డిగగినస?
डिगिनस.	డిగగినస.
आपके पास थोडा समय है?	మీ దగగర ఒకక నిమిషం ఉందా?
उनहें लगता है कि आपने हमें यहाँ रहने की बात कही.	ఆమె మీరు మమమలని ఇకకడ మీతోపాటు ఉంచుకుననారని అనుకుంటుంది.
"बशरते तुमहारी किसमत तुमहारे लिए कहीं एंबुलेंस न ले आए"	"అదృషటం వెపు తిపపకపోతే బదులుగా అంబులెనస పిలవాలి"
घर से भाग जाना तो मुझे मुशकिल ही लगता है.	ఇంటి నుండి పారిపోవడం నాకు సమసయలానే అనిపిసతుంది.
जो शारीरिक अकषमताओं में माहिर हैं.	శారీరక వెకలయాల వారికి నేరపించడంలో దిటట.
उसे ढूँढ लिया तो तुम आगे जाओगे.	అది కనుగొంటే, నువవు ఉంటావు.
जहाँ तक मुझे पता है, उसने और जिमी ने कभी किसी को बचचे के बारे में नहीं बताया.	నాకు తెలిసినంత వరకు, ఆమె ఇంకా జిమమీ ఎవరికీ పాపాయి గురించి చెపపలేదు.
चाहता है लूक को जेल हो.	లూకను జెలలో పెడతాడు.
मैं आगे हॉल में हूँ.	నేను కింద హాలలో ఉంటాను.
अगर उसे लगा, तो मैंने कभी कुछ नहीं सुना.	అలా అనుకుని ఉంటే, నేను అలా అని ఎపపుడూ వినలేదు.
कोई मदद करो! समर! ए!	సహాయం చేయండి! సమమర! హే!
-यह सब, है न? -नहीं.	-ఇలా, కదా? -లేదు, లేదు.
कुछ लोगों के लिए यह मजा है, इसलिए. . .	కొందరికి, ఇది పారటీ, అందుకని. . .
डेना, मैं डॉज हूँ. आवाज आ रही है?	డేనా, డేనా, నేను డాడజను. వినిపిసతుందా?
तो, कया बात है?	అయితే, ఏంటది?
वारंट निकालने की बात करता हूँ.	వారెంట గురించి మాటలాడతాను.
वह मेरा दोसत है जो एक लडका है.	అతను అబబాయి ఇంకా నా ఫరెండ.
डरू, वापस आओ!	డరూ, ఇకకడకు రా!
-पलीज मेरी मदद करो! -डेना, तुम नीचे हो?	-నాకు సహాయం చేయండి! -డేనా, నువవు లోపల ఉననావా?
कोई रिमोट होगा.	రిమోట ఉండాలి.
डॉज का मुकाबला करने लायक नहीं.	డాడజను ఓడించేంత సమయం కాదు.
बहुत अचछे, समर.	మంచిది, సమమర.
तुम डॉज से मिलती हो. वह घर पर आना चाहेगा. . .	నువవు డాడజతో మాటలాడుతుననావు. అతనికకడకు వసతాడేమో. . .
उसके लिए मुझे कुछ करने की जरूरत नहीं.	దానికి నీకు నా సహాయం అవసరం లేదు.
आप बस माँ नहीं हैं.	నువవు అమమవి కావు అంతే.
इसमें बहुत खतरा है.	అది చాలా పరమాదకరమెనది.
नैटली ने धोखा किया, इसलिए उसके अंक मिटा दिए.	నాటలీ మోసం చేసినందుకు సకోర తుడిచేశారు.
इससे कोरटेज को कया फायदा?	అది కోరటెజకు ఎలా సాయపడుతుంది?
मैं तुमहारी असलियत जानती हूँ.	నాకు నీ అసలు రూపం తెలుసు.
मेरी कलारक ने ठीक कहा था. कोई तो ऐबी को बलैकमेल कर रहा था.	మేరీ కలారక చెపపింది నిజమే. ఎవరో ఆబీని బెదిరించారు.
तुमहें लगता है मैं यहाँ सोऊँगा?	నేను అకకడ పడుకుంటానని అనుకుంటుననావా?
-आपके पति बाहर गए हैं. -पता है.	-మీ భరత భయటకు వెళళారు. -నాకు తెలుసు.
चुप रहो, टायलर! ठीक है? मुँह बंद रखो.	నోరు మూసుకో, టెలర! సరేనా? నోరు మూసుకో అంతే.
बहुत चिंता हो रही है. कई दिनों से उसने फोन भी नहीं उठाया.	చాలా కంగారు పడడాను. తను ఫోన ఎతతక కొనని రోజులెంది.
लूक, कॉनरैड सपरलॉक और सडक वाली उस लडकी को लेकर वह अफवाह याद है?	నీకు సపరలాక ఇంకా అమమాయి గురించి, లూకపె వదంతి గురతుందా?
मतलब, छोडो भी.	అంటే, సరేలే.
पलीज, हमें एक मिनट अकेला छोड देंगी?	దయచేసి, మాకు ఒక నిమిషం ఇసతారా?
मैं बताता हूँ.	ననను చెపపనీ.
अचछा काम किया.	బాగా చేశావు.
लामा तुमसे मिलने को बेताब हैं.	లామాలు నినను కలవాలని అనుకుంటుననాయి.
बिशप को भूल जाओ. तुम जो सोच रही हो, वैसा नहीं है.	బిషప విషయం చాలు. అది నువవు అనుకునేది కాదు.
मैंने मन बदल लिया!	నా మనసు మారచుకుననాను!
मैंने मन बदल लिया!	నా మనసు మారచుకుననాను!
मैंने मन बदल लिया!	నా మనసు మారచుకుననాను!
यह बकवास नहीं.	ఈ చెతత కాదు.
जिसके पास यकीन करने को कुछ नहीं था.	ఒక కథలు తెలిసిన అమమాయి ఉండేది.
जान जाएँगे कि तुमने बचचे को मार डाला	వాళళకు నువవు పాపాయిని చంపేశావని తెలుసతుంది
मैं काफी देर तक उस बेकार कूलर में पडा रहा.	నేను ఆ చెతత కూలరలో చాలా సేపు ఉననాను.
वह गरेबिल तक भी नहीं पहुँची, अंतिम चार तो दूर की बात है.	ఆమె గరేబిలకు వెళళకూడదు, చివరి నాలుగులో ఉండకూడదు.
-हेदर ने चुनौती में भाग नहीं लिया. -उसके पास छुटकारा है.	-హేథర సవాలు ఆడలేదు. -తన దగగర ఇంకా ఇమయూనిటీ ఉంది.
पुलिस लिटल बिल केली के लिए मेरे पीछे पडी है, तो, हाँ, हरगिज नहीं.	ఇపపటికే పోలీసులు ననను లిటిల బిల కెలలీ విషయంలో వెతుకుననారు, అందుకుని, పెటటను.
अचछा? तुमहारी छोटी बहन की भी तुमहारी माँ से लडाई हो गई?	అది నిజమేనా? మీ చెలలి కూడా మీ అమమతో గొడవపడిందా?
यह बात और नैटली के रदद होने के कारण	అది ఒపపుకుని, నాటలీని అనరహురాలిని చేశారు,
तुमहारे उतने अंक घटते जाएँगे.	అపపుడు నీకు ఒక పాయింట తగగిపోతుంది.
किसी को मेरी आवाज सुनाई दे रही है?	ఎవరికెనా నేను వినిపిసతుననానా?
अगर आपको आतमहतया के खयाल आ रहे हैं या किसी से बात करना चाहते हैं तो,	మీకు ఆతమహతయ ఆలోచనలు ఉంటే, లేదా ఎవరితోనెనా మాటలాడాలని ఉంటే,
अगर यह कोई बडी गलती हुई तो?	ఇది పెదద పొరపాటు అయితే?
उनहें लगता है अगले साल परतियोगिता के लिए तैयार होऊँगी.	వచచే ఏడాదికి నేను పోటీ చేయగలనని అనుకుంటుననాడు.
-मजाक कर रहे हो? -नहीं.	-నీకిది సరదాగా ఉందా? -కాదు.
-अचछा, तुम ठीक-ठाक लग रही हो. . . -इसे बंद करो.	-సరే, అది నువవు బాగోలేవా. . . -అది ఆపేయ.
अचछा. हम ऐसा करेंगे.	సరే. పరణాళిక ఇది.
-हे भगवान! -डेना!	-అయయో దేవుడా! -డేనా!
उनके पिछले मरीज ने वन वरलड में बैरल रेसिंग परतियोगिता जीती.	అతని చివరి కలెంట వన వరలడలో బయారెల రేసింగ గెలిచాడు.
-हैलो. -हैलो.	-హాయ. -హాయ.
अचछा? कौन सी?	అవునా? ఏది?
टंबलवीड हॉलो एक भरती - रात 10 बजे	టంబులవీడ హాలో పరవేశం ఒకరికి - ఉ. 10 గం.
कयोंकि उसे गुससा आएगा?	ఎందుకు తనకు కోపం వసతుందనా?
कयों? ताकि अपने पिता को बता सको?	ఎందుకు? మీ నాననకు చెపపాలనా?
मैं 17 की हूँ, और मेरी माँ 17 की थीं जब उनहोंने मुझे जनम दिया, और. . .	నాకు 17 ఏళళు, మా అమమ ననను కననపపుడు ఆమెకు 17 ఏళళు, ఇంకా. . .
तुम कुछ नहीं जानते.	నీకు ఏం తెలియదు.
मुझे नहीं खेलना.	నేను వదిలేసతుననాను.
तुमहें मार डालूँगी.	నినను చంపేసతాను.
धयान से, मिस केनी. ये काफी महँगी हैं.	జాగరతత. అందులో కొనని చాలా డబబు తెచచిపెటటేవి.
मुझे काम के लिए चाहिए थी.	నాకు అది పనికి అవసరం.
उतनी बेवकूफ नहीं हूँ.	నేను అంత పిచచిదానని కాదు.
वह तुमहारा बॉयफरेंड है न?	అతను నీ బాయఫరెండ కదా?
डेना! मेरी आवाज आ रही है?	డేనా! వినిపిసతుననానా?
तो, तुम उसकी मदद करते रहे?	అందుకని, నువవు సాయం చేసతుననావా?
कयोंकि तुम एक अंत सोच बैठोगी और	నువవేం చేసతుననావంటే సంతోషంగా ఉండాలసిన
"एक से कुछ नहीं बिगडेगा पर दो लो तो?	"ఎవరూ నీకు హాని చేయరు కానీ రెండు తీసుకుంటే?
वरना वह समझ जाती कि मैं उसके खिलाफ खेल रही थी.	ఎందుకంటే తనతో నేను పోటీ పడుతుననానని తనకు తెలిసిపోతుంది.
पूजा आरंभ होगी रिचरडस काउंटी मुरदाघर में रात 10 बजे	కారయం రిచరడ కౌంటీ మారచురీ దగగర రాతరి 10 గంటలకు పరారంభమవుతుంది
और एक अजनबी जिसकी एक योजना थी.	పరణాళిక గల ఒక అపరిచితుడు.
बताओ.	అడుగు.
नहीं, तुमने ठीक कहा.	లేదు, నువవు అననది నిజమే.
अब तक तुम कया हमारी जासूसी करते रहे?	నువవు మాపె గూఢచరయం చేసతుననావా?
मेरा भी घर लौटने का मन न करता.	నాకూ ఇంటికి రావాలని అనిపించేది కాదు.
पता है तुम कया कर रहे हो.	నువవేం చేసతుననావో నాకు తెలుసు.
-पर. . . -लिली.	-కానీ. . . -లిలలీ.
डॉज सबसे आगे है और भाला मुकाबले के लिए जाएगा.	డాడజ మొదటి సథానంలో ఉననాడు, పోటీలో ముందుకు కొనసాగుతాడు.
तुमहारा संदेश मिला.	నాకు నీ సందేశం అందింది.
तुमहें हैरानी नहीं हुई?	నీకు ఆశచరయంగా లేదా?
तुमहारे पास एक घंटा है.	నీకు గంట సమయం ఉంది.
-ठीक है? -हाँ.	-బాగుందా? -అవును.
फाटक तक पहुँचने से पहले ही गिर जाओगी.	నువవు గేటుకు చేరుకునే సరికే నిననది పడేసతుంది.
अंधे बनकर चलोगे तो आतमविशवास ले डूबेगा.	గుడడిగా నడిసతే నమమకం చంపేసతుంది.
नाराज थी कि ऐबी खेल रही थी.	ఆమెకు ఆబీ ఆడుతుందని కోపం వచచింది.
शायद उसे लगा कि बराबरी कम की जा सकती है.	అతను పోటీ నుండి తపపుకోవడం అంత సులభం అనుకుననాడేమో.
और तभी के तभी निकल जाओगे. समझे?	వెంటనే దానని వదిలి వెళతావు. అరథమయిందా?
संवाद अनुवादक परवीन कौर शोम	సబటెటిల అనువాద కరత సమత
तुमहें मजे लेने की चुनौती दी गई.	నీది పారటీ చేసుకునే సవాలు.
और तुमहें तब भी लगेगा कि तुमहारी आँखें एकदम खुली हैं.	నీ కళళు విశాలంగా తెరిచే ఉననాయని అనుకుంటావు.
और जलदी करना कयोंकि ढूँढने में जितने मिनट जाया करोगे,	నువవు చూసతూ గడిపే పరతి నిమిషం తరిగిపోతుంది,
बाप रे! सच कह रही हो?	దేవుడా! నిజంగానా?
आज रात तुमसे मिलूँगा.	ఈ రాతరి కలుసతాను.
नशे से मुँह फेर लेगा.	నిరణయించుకుననాడు.
"टंबलवीड मेज"? मुझे अचछा नहीं लगा.	"టంబులవీడ మేజ"? ననను దాదాపుగా అవమానించారు.
कुछ नहीं. बस शुरू होने का समय, दोसती वाली माला, और. . .	నాకు అందలేదు. నాకు పరారంభ సమయం అందింది, ఏదో సనేహం గురించి, ఇంకా. . .
सब आर-पार दिखाई दे रहा था.	అది బాగా కనిపిసతుంది.
माँ की जिममेदारियाँ नहीं निभा पातीं.	నువవు మంచి అమమవు కాలేకపోయావు.
और जो हुआ, उसके बाद सब कुछ ठीक करना.	జరిగిన తరువాత అనని సరి చేయడం.
मुझे जिमी के अलावा और कोई नाम	నాకు ఇంకెవరి పెనా ఆలోచన వెళళడం లేదు,
वयकतिगत चुनौतियाँ खतम नहीं हुईं, रे.	వయకతిగత సవాళళు పూరతయయాయి, రే.
तो रे का भी इसमें हाथ होगा, है न?	అయితే రే కూడా అందులో ఉండి ఉంటాడని తెలుసా?
तुमहें इस बात से परेशानी हुई कि यह सब घिसा-पिटा था?	ఈ మొతతం విషయం సహజమే అని నీకు అనిపించిందా?
शायद लूक ही सब कर रहा हो.	లూక ఇనఛారజ అయింటాడు.
तुमने नाम हटा लिया, है न?	నువవు మానేశావు, కదా?
शुकरिया.	ధనయవాదాలు.
सुनो.	హేయ.
शुकरिया.	ధనయవాదాలు.
-बिशप से मिलने जा रही हो? -लिली,	-నువవు బిషప దగగరికి వెళుతుననావా? -లిలలీ,
कया बात है, यार?	ఏంటి సంగతులు, నేసతం?
मेरे चाचा यहाँ पैथोलॉजिसट हैं.	మా బాబాయ ఇకకడ పాథాలజిసట.
अचछा.	సరే.
अचछा.	సరే.
हैलो?	హలో?
हैलो?	హలో?
तुमने उसे बरबाद कर छोडा?	నువవు తనకు వెననుపోటు పొడిచావా?
और हेदर.	ఇంకా హేథర.
खासकर जब उसे पता चलेगा कि डॉज ने हिससा कयों लिया.	ముఖయంగా డాడజ ఎందుకు ఆడుతుననాడో తెలిసాక.
लगता है कि रे हॉल सच में तुमहें पसंद करने लगा था?	రే హాల నినను పరేమించాడని అనుకుంటుననావా?
-तुमने कया किया? -ताकि वह आगे न बढ सके.	-అలా ఎందుకు చేశావు? -తనను ముందుకు కొనసాగనీయకుండా.
वह हरगिज नहीं जीत सकती.	తను ఎలాగూ గెలిచే అవకాశం లేదు.
कहा कि कोई ऐन है जो घोडों को बचाती है.	గురరాలను రకషించే ఆన అనే ఆమెను వెతుకుతుననానననాను.
वह कोई नाटक नहीं कर रहीं. सच में अचछी इंसान हैं.	ఆమె ఏమీ అనుకోవడం లేదు. ఆమె మంచి వయకతి.
और शायद लूक को लगता है कि किसी को नहीं पता.	ఎవరికీ తెలియదని లూక అనుకుంటుననాడు.
तो पहले उसके साथ समझौता कयों किया?	మరి మొదట తనతో ఎందుకు ఒపపందం కుదురచుకుననావు?
इतने घबराए कयों हो?	ఎందుకంత కంగారు?
मैंने तभी नशा लेना शुरू किया जब जिमी. . .	నేను కనీసం మొదలు కూడా పెటటలేదు, ఎంతవరకంటే జిమమీ. . .
तुमहारी कॉफी ठंडी हो रही है.	నీ కాఫీ చలలారిపోతుంది.
मैं यहीं हूँ. मैं. . .	నేను ఇకకడే ఉననాను. నేను. . .
जो खिलाडी उसके खिलाफ खेलेगा, वह अभी तय नहीं हुआ है.	అతనితో పోటీ పడేవారిని ఇంకా నిరణయించలేదు.
-नहीं खेलना. -हाँ.	-వదిలేసతుననావా? -అవును.
हासिल करने का मौका हो भी तो. . .	తనకు అవకాశం ఉననాగానీ. . .
नरक में से भी.	నరకంలో నుండి కూడా.
जो हुआ, उसके चलते मैंने पैनिक में हिससा लिया.	నేను జరిగినదానికి పానిక ఆడుతుననాను.
पर कल सुबह-सुबह चल सकते हैं, ठीक है?	కానీ ఉదయాననే వెళదాము, సరేనా?
बधाई हो, हेदर.	శుభాకాంకషలు, హేథర.
मैं कह रही हूँ. दरअसल, जोर दे रही हूँ.	నేను ఉండమని అడుగుతుననాను. నిజానికి, ఉండమంటుననాను.
बुरी इंसान नहीं हैं. आप बस. . .	నువవు చెడడ దానివి కాదు. నువవు కేవలం. . .
अगर मैं जीता, तो हम साबित करेंगे कि लूक को सटटेबाज के पैसे मिल रहे हैं.	నేను గెలిసతే, లూకకు బుకీగా లంచం అందుతుందని నిరూపించగలం.
तुम यही चाहती हो?	నీకు కావాలసింది అదేనా?
आखिरी चार परतियोगियों में मैं दो नंबर पर था.	నేను చివరి నలుగురిలో రెండవ వాడిని.
"सजा के तौर पर, उसके बाद से, इस खिलाडी के अंक रदद कर दिए गए हैं. "	"శికషగా, ఈ పలేయర పాయింటలు గడిచిన సమయానివి చెలలవు. "
मोटर आवास रात 10 बजे	మోటార లాడజ రాతరి 10 గంటలకు
कया? कयों?	ఏంటి? ఎందుకు?
जिसने जनम लिया, उसे झेल नहीं पाते.	మనకుననది నీకు నచచేది కాదు.
"एक गोली से अनिदरा में आराम मिलेगा एक गोली से दिल हलका होगा	"ఒక మాతర నిదరలేమికి ఒక మాతర బాధను తొలగిసతుంది
उसमें दुख होगा जबकि उसमें खुशी हो सकती है.	ముగింపుకు విషాదానని ఊహిసతుననావు.
यही एक रासता है.	అందుకు ఇదొకకటే మారగం.
वह सब कुछ अपने तक रखना चाहती थी.	నేను అందరికీ చూపించడం సరెనది కాదనుకుననాను.
यह झूठ है, है न?	ఇది నిజం కాదు, సరేనా?
नहीं, उसने ऐसा नहीं किया.	లేదు, అతను చేయలేదు.
कया मतलब शककर की गोलियाँ?	పంచదార మాతరలు అంటే?
पिछले साल, मैंने खुद से द सैलवेशन आरमी में हिससा लिया.	గత ఏడాది, సాలవేషన ఆరమీకి నేను సేవ చేశాను.
छोडो भी, हेदर, तुमहें पता भी है कि कया कह रही हो?	ఏంటిది, హేథర, ఏమంటుననావో అరథమవుతుందా?
कोशिश की.	పరయతనించాను.
हे भगवान.	అయయో దేవుడా.
हेदर, जिस साल रे जीतने की कोशिश करता है, यह बंदा पैनिक के नाम से	హేథర, అతను పానిక మీద చాలా, చాలా డబబు సేకరిసతాడు.
शायद उसे बचा भी लेते.	బహుశా అది ఆరపేసేవాడివి కూడా.
अपने भाई की तरह जेल जाना है? जाओ.	మీ అననలాగే నీకూ జెలుకెళళాలని ఉందా? అయితే రా.
हे भगवान.	అయయో దేవుడా.
डॉज	డాడజ
और उनहोंने बताया कि वहाँ बिसतर खाली नहीं थे.	తీరా వెళళాక మంచాలు ఖాళీ లేవననారు.
हे भगवान.	అయయో దేవుడా.
अब, लेट जाओ.	ఇక పడుకో.
चलो.	రా.
मुझे थोडा सा समय दे सकते हो?	నాకు ఒకక కషణం ఇసతావా?
वरना अगली लाश तुमहारी होगी.	లేదా తరువాత నీ అంతయకరియలు జరుగుతాయి.
हे भगवान.	అయయో దేవుడా.
इसे बंद करो.	అది ఆపేయ.
वह घर के पास नहीं है, है न?	అది ఇంటికి ఏ మాతరం దగగరలో లేదు, కదా?
नहीं सूझ रहा जो वो चिटठियाँ लिख सकता है कयोंकि. . .	జిమమీ కాకుండా, ఈ చీటీలు రాయగలవారు. . .
कम से कम भरती के लिए पैसे नहीं देने पडेंगे.	పరవేశానికి నువవు చెలలించకకరలేదు.
मुझे शायद तुमहारी चुनौती के लिए बुलाया गया.	నీ సవాలుకోసం నాకు అహవానమనుకుంటా.
तुममें और मुझमें यही तो फरक है.	అదే నీకూ నాకూ మధయ తేడా.
बहुत पहले एक लडकी थी, जिसमें कई कहानियाँ छुपी थीं.	అనగనగా, ఒక కథల తెలిసిన అమమాయి ఉండేది.
पर मुझे तुमसे एक सलाह चाहिए.	అయినా, నాకు ఒక విషయంలో నీ సలహా కావాలి.
पर इनहें आगे देना भी ठीक नहीं लगा जब	కానీ అవి తను ఎవరికీ చూపించకుండా దాచుకోవాలనుకుననవి
और घोडे, और तीन कुतते.	ఇంకా గురరాలు ఇంకా మూడు కుకకలు.
उसे जंप पर जितने भी अंक मिले हों.	-తను దూకితే ఎనని పాయింటలు వచచాయననది నాకనవసరం.
डेना, बहुत ही अजीब बात है.	డేనా, అది పిచచితనం.
आपको बताया कि कब लौटेगी?	తనెపపుడు తిరిగి వసతుందో చెపపిందా?
मारो मुझे, साले.	ననను కొటటు, చెతత వెధవ.
आ जाओ. आज रात मैं ही तुमहारा मेजबान हूँ.	రా. ఈ రాతరికి నేను నీ ఎంసీని.
उसे अंदर बंद कर दिया, तो वह घर के अंदर घुस नहीं पाएगी.	తనను తాళం వేసతే, తను ఇంటిలోకి వెళళలేదు.
संभावय असर: घबराहट	సంభావయ దుషపరభావాలు: పానిక
-सुन रहे हो? -हाँ.	-వింటుననావా? -వింటుననాను.
अपनी माँ को बता देना.	మీ అమమకు చెపపు.
नहीं. कयोंकि वह रे है, ठीक है?	లేదు. అది ఎందుకంటే రే కాబటటి, నీకు తెలుసా?
था कया?	ఉందా?
बचचा?	పాపాయా?
तुम खतरे को लेकर मुझे जञान बिलकुल नहीं दे सकते, ठीक है?	నువవు నాకు పరమాదాల గురించి చెబుతుననావా?
सच मानो, मेरे पिता और पिछली दो पीढियाँ फोरेंसिक में थी.	నమము నమమకపో, మా నానన మూడో తరం ఫోరెనసిక.
किसी दोसत के साथ फिलम देखने का मन कर रहा है?	ఒక ఫరెండతో సినిమా చూడాలని ఉందా?
नहीं, तुमहारी वजह से, हेदर.	లేదు, నీ వలన, హేథర.
गोली रखो. मुझे नहीं खेलना.	ఈ మాతర తీసుకో. నేను ఆట వదిలేసతుననాను.
आप. . .	నువవు. . .
फिर शे.	తరువాత షే.
जज लोगों को एक खास चाबी चाहिए.	నయాయనిరణేతలు, వాళళకు ఒక పరతయేక తాళం కావాలి.
यह पैनिक है. वह सब करना होगा जिससे डर लगता है.	ఇది పానిక. నీకు భయమేసేవి చేయాలి.
बस करो. अचछा, हम समझ गए. बस करो.	అది ఆపండి. ఆపండి, సరేనా, మాకు అరథమెంది. ఆపండి.
भाड में जाए यह सब. ठीक है?	ఇది తీసుకో. సరేనా?
पर खुद जिमी ने बंदूक बदली थी.	కానీ అది జిమమీనే సవయంగా తన తుపాకీ మారచాడు.
पर उसने शरत लगाई थी न?	కానీ అతను పందెం కాసతుననాడు, కదా?
हैलो? कोई है?	హలో! ఎవరెనా ఉననారా?
या वहाँ खडे रहे जबकि तुमहें पता था कि हेदर अंदर फँसी हुई थी?	లేదా హేథర అందులో ఇరుకకుంటే నిలబడి చూశావా?
सुनो, मैं कुछ देर के लिए नीचे जा रही हूँ.	హే, కొంచెం సేపు కింద ఉంటాను.
मुझे बाहर निकालो, डरू!	బయటకు తియ, డరూ!
-हेदर. -तुम ठीक हो?	-హేథర. -నువవు బాగానే ఉననావా?
कोई मेरी मदद करो, पलीज.	సహాయం చేయండి, ఎవరెనా సహాయం చేయండి.
और एक दुखद घटना जिसने उनकी कहानी खतम कर दी.	ఇంకా కథను ముగించిన ఒక విషాదం.
गुड मॉरनिंग.	శుభోదయం.
कि हमारा यही अंजाम होगा, ऐसा मत करो,	చెపపుకోవడం, ఇవననీ చేయకు,
बस आती ही होगी. घबराइए मत.	ఏ కషణంలోనెనా వచచేసతుంది. కంగారు పడకండి.
उसे खुद पर बडा गरव होता होगा	ఆమె ఖచచితంగా తనకు తాను మంచిది అనుకుంటుంది,
हाँ.	అవును.
चाल?	మోసమా?
