गो ल !	గో ల !
हम खेल ेंगे या तुम दोनों सा री शा म ब ड बडा ते ही रहो गे ?	మనం ఆట ఆడ ాలి , లేదా మీరు రాతరి వర కు ఇలా గే వా ది ంచు కుంటా రా ?
हैलो . तुम लोग शायद मुझे एक पे शे वर गो ला - कि कर के त ौर पर जानते हो गे .	హేయ . మీకు నేను ఒక పర ొ ఫె షన ల ఫ ు ట బ ాల ప లే య ర గా తెలి సి ఉంటా ను .
अब मेरे बॉ स मेरी एक पर ीक ष ा ले रहे हैं	ఇపపుడు నా బా స లు నా ఉద యో గ సథి తి ని
तुम , जो बहुत बु री तरह ड रे हुए हो , तुम आओ !	అత య ధి కంగా ఆ ందో ళ న పడు తునన వయకతి వి , తరవాత నువవే !
तुमहें कया लगता है , दिल ?	నువవు ఏ మను కుంటుననా వు , మన సా ?
अब मैं यह भी त य नहीं कर पा रहा कि कौन सी पै र ों की न लिया ँ पह न ूँ .	ఇపపుడు క నీ సం ఏ సా క సు లు వే సుకో వాల ో కూడా నాకు తెలీ డం లేదు .
मैं तुमहें ढ े र सारे फु ट गो ले के पै ंत रे करवा ने वाला हूँ .	నేను నీ తో బో లె డ నని ఫ ు ట బ ాల డ రి లస చేయి ంచ బో తుననాను .
- मैं ? - मैं नहीं .	- నే నా ? - నేను కాదు .
वे अं क नहीं हैं .	అవి పా యి ంట లు కాదు .
- कया ? - अरे . कया ?	- ఏంటి ? - హేయ . ఏంటి ?
जी वन दा ता .	పరా ణ దా త .
जी वन दा ता ?	పరా ణ దా త ?
लगता है रे फ वापस शान दार काम कर रहे हैं !	చూ సతు ంటే మన రె ఫ తిరిగి ఫా మ లో ఉనన టటు ఉననారు .
तुम वह मै च कभी नहीं जी त ते अगर वह गलत नि रण य नहीं होता .	త పపుడు నిరణ యం తీసుకు ని ఉండ కపోతే మీరు ఆ మయా చ గె లి చే వా రే కాదు .
सबसे बुरा कया ही हो सकता है ? तुमहें कोई नया काम ढूँढ ने को कहा जाएगा ?	అయి నా అది ఎంత దారు ణ ంగా ఉంటుంది లే ? నినను వే రే ఉద యో గం వె తు క కో మని ఏమెనా చెపపా రా ?
तुम उनसे बहुत कुछ सी ख सकते हो .	వాటి నుండి నువవు చాలా నే రచు కో వచచు .
और वे अब भी वैसे ही रह ते हैं जैसे तब रह ते थे .	అవి అపపుడు ఎలా బర తి కా యో ఇ పపుడ ూ అలాగే బర తు కు తుననా యి .
गे म की शु रु आत नहीं च ूक ना चाहती थी .	ఆట పరా రం భా నని మి స కా కూడదు కదా .
तुम कभी मेरी बात नहीं सुन ती ं और मेरी पसंद को कोई मह त व ही नहीं दे ती .	నువవు నా మాట ను ఎపపుడూ విన వు , నాకు ఇష ట మెన వాటి ని ఎపపుడూ త కకువ చేసి మాటలాడ తా వు .
हम जी वन को मा य ने देने के तरी के ढूँढ ले ते हैं	జీవి తా నికి అరథ ా నని ఇవ వడానికి మా రగ ాలను వె తు కు తు ంటా ం
जब कभी खुद पर सं दे ह होने लगे , तो खुद को अपनी यह उप लब धि याद करवा ना .	నీ మీద నీకు స ందే హ ంగా ఉనన పపుడు , నువవు సా ధి ంచిన వాటి ని నువవు గురతు చేసుకో వాలి .
ठीक है , कभी किसी ने इस वि ड ं बना के बारे में सोचा है	సరే , ఎవరెనా ఈ వి డ డ ూర మెన విష యానని ఆలోచి ంచా రా ,
देख ें किस टी म के वा सत व में बेहतर फै न हैं .	ఏ జ టటు అభి మా ను లు మె రు గె న వా రో చూ దదాం .
मुझे पता है कि एक झूठ - म ूठ की बे कार गे म जी तने से केवल यह जान ने का	ఎలా ంటి లా భ ం లేని ఒక ఆట లో గె ల వడం వలల నీకు గర వం పు టటి ఇ తరు ల కంటే మె రు గె న వా రం
मुझे याद है मुझे सी टि यों और घ डि यों वाले परा ण ी बहुत अचछे लग ते थे ,	వి జి లస వే సతూ వా చ లు పెటటు కు ని రెండు జ ట లూ సరి గగా ఆ డు తుననా యి అని చూ సు కు ంటు నన
न ती जा चाह े कुछ भी हो ,	కానీ ఫ లి తం ఎలా ఉననా సరే ,
रे फ री ने गे म ख रा ब कर दी .	ఆ రె ఫ వలల ఆట పోయింది .
बस करो !	ఇక చ ాలు !
बढिया , इससे वा कई जो श थोडा बढ जाएगा .	భలే , ఇపపుడు సర దా బాగా పె రిగి పో యే లా ఉంది .
यह कया बकवास है ?	ఏం చేసతుననా రు ?
अचछा , तो तुमहें हम ला करना चाहिए था .	సరే , కానీ నువవు అ ఫె ండి ంగ చే సతు ండ ాలి కదా .
मेरे सी टी ब जाते ही , तुम इस को रस से भा गो गे ,	నేను వి జి ల వే య గానే , నువవు ఈ కోర సు మొతత ం పరి గె తతి
एक - दूसरे के लिए .	మన ఇదద రి కోసం .
तुम अचछा खे ले .	మీరు బాగా ఆ డా రు .
अगर इसे पु न ः पर मा ण ी कर ण करवा ना होगा तो आपको हमें भी भेज ना होगा !	మీరు వీ రి ని తిరిగి సర టి ఫి కే షన తె చచు కో మ ంటే మమ మ లని కూడా పం పాల సి ఉంటుంది !
ब धा ई हो ! तुमने वहाँ पर बहुत हि म मत दिखा ई .	అభి న ంద నలు ! నువవు అకకడ చాలా ధ ె ర యానని చూపి ంచా వు .
मैंने अपने काम में गलत नि रण य लिया . . .	నేను త పపుడు నిరణ యం తీసు కుననా . . .
हम वा कई एक साथ बहुत बु री जो डी हैं , ह ँ ?	మన ది నిజంగా నే చాలా చెతత టీ మ , కదా ?
बेशक . मैं बू ढ ा हो गया हूँ .	అవును . నేను ము స లి వయకతి ని కదా .
मेरे पीछे आओ .	ననను ఫ ాలో అవ వు .
मुझे लगा मैं गो ल कर ल ूँगी .	నేను షా ట వే య గల నే మో అను కుననాను .
लगता है हम हमेशा ऐसे ही र हें गे और जी वन दा ता दु ः ख ी होते हुए ही खतम होंगे .	నాకు తెలి సి మనం ఎ పపటి కీ ఇలా గే ఉంటా ం ఏ మో , మన పరా ణ దా త చి వ రికి బాధ తో నే క నను మూ య ాల ే మో .
और अपना झ ग डा किसी ऐसी चीज से सु ल झा एँ जिस पर हम निय ं तर ण कर सकते हैं ?	మన మధయ వి భ ే ద ాలను మనం క ంట రో ల చేయ గల వాటి తో సర ది పెటటు కు ందా మా ?
और अपना शा री रिक कौ श ल दिखा ते हुए जो तुमहें बना व टी गलत ियाँ नजर आ एँ गी ,	నీ ముందు చూపి ంచ బో యే ఉ లల ం ఘ న లను చూ సి స రెన నిరణ య ాలు తీసుకు ంట ూ
मैं बहुत दु ः ख ी हूँ .	నా మన సు వి రిగి పోయింది .
अचछा श ॉ ट मा रा , बेवकूफ .	భలే త ననా వు , స ననా సి .
मिल कर काम करते हैं .	ఇదద రం కలిసి పని చే దదాం .
तुमहें अ त य धि क द बा व की स थि ति में , तुमहारा धयान भ ट का ने की कोशिश ों के द ौ रा न ,	మీరు అత య ధి క ఒ తతి డి లో ఉండ గా , మీ ద ృష టి ని మళ లి ంచ గల అనే క విషయ ాల మధయ
- तुमहें यकीन हो रहा है ? - कया ?	- అసలు ఇది నమమ గల వా ? - ఏంటి ?
तुमने वह देखा ? उस व हा इट टे ल ने उस हा उल र को कैसे झा ं सा दिया .	నువవు అది చూశా వా ? ఆ జి ంక తో డే లు మీద నుండి దూ కి ంది .
उनके आ धा र पर उप यु कत नि रण य दो गे .	నీ శా రీ రక స ౌ షట వా నని ని రూ పి ంచుకో వాలి .
हा उल रस ने मिल कर हम ले की एक न ई यो जना बना ई है	ఆ తో డే ళళు దా డి చేయ డానికి ఇం కొ క కొతత ప ననా గం ప ననా యి ,
कया यह क माल की बात नहीं है कि तुमने अपना सप ना सच कर लिया ?	నీ క లను నువవు నిజం చేసుకో గల డం భలే గొపప విషయం కదా ?
बहुत से जी व ों की तरह , वे हर स था न के अनु क ूल ढ ल जाते हैं .	ఎ నన ో ఇ తర జ ం తు వు లలా అవి కూడా చాలా బాగా పరిసథి తి కి త గ గ టటు మార తా యి .
हा उल रस !	హ ౌ ల రస !
वह एक सप ने में हुआ था	అలా క లలో జరిగింది ,
मुझे अपनी आत मा पर वह बो झ नहीं चाहिए .	నా మన స సా కషి ననను ని ంది ంచడం నాకు ఇషటం లేదు .
कया इसका प द घ टा या जा रहा है ?	వారి ని డి మో ట చేసతుననా రా ?
शा री रिक कर तब दिखा ते हैं .	శా రీ రక వి నయా స ాలు చే సతు ంటా రు .
धनयवाद .	థాంక స .
हमें अब भी तुमहारे दिल पर भरो सा है !	మేము నీ మన స సా కషి ని నమ ము తుననాం !
धनयवाद .	థాంక స .
और अब आगे चीजें और अजीब होती जाएँ गी	ఈ జీవితం ఇక పె మరి ంత వి ంత గా మా రు తుంది అంతే
हा उल रस , ब ज सट ि ं गर स के वि रु द ध खेल रहे हैं .	హ ౌ ల రస ఇ వాళ బ జ స టి ం గర లతో ఆ డు తుననారు .
हा उल रस - 0 न यू ट स - 0	హ ౌ ల రస - 0 - 0 న యూ ట స
तुम देर से आई हो .	నువవు లే టు గా వచచా వు .
तुमने एक गलत नि रण य लिया जिस ने सी धा मै च के न ती जे पर अ सर डा ला .	నువవు మయా చ ఫ లి తా నని మార చేసిన త పపుడు నిరణ యం చెపపా వు .
याद रख ना , किसी भी चीज के लिए तैयार रहना .	గురతు ంచుకో , దే ని కె నా సిదధ ంగా ఉ ండు .
माफ करना हम अचछे से दि ला सा नहीं दे रहे .	మేము నినను సరి గగా ఓ దా రచ లే కపో తునన ందుకు కషమించు .
कयों न तुम अंदर आ जाओ ?	లో నికి వచచి కూ రచ ో వచచు కదా ?
- तुम सच में यह करना चाहती हो , ह ँ ? - हाँ .	- నిజంగా నే అ ంటుననా వు , కదా ? - అవును .
आ मत ौर पर ऐसा होता नहीं है पर मैं अन ुम ति दे दे ता हूँ .	సా ధా రణ ంగా ఇలా అడ గ రు , కానీ నేను ఒ పపు కుంటుననా .
तुमहें फु ट गो ले से पयार है .	నీకు ఫ ు ట బ ాల అంటే ఇషటం .
पता नहीं . अगर तुमहें यह दिल च सप लगा तो ला इ ब रे री में आ जाओ .	ఏ మో లె ండి . మీకు గ నుక ఈ యా డ న చచి తే లె బర రీ కి రండి .
हम अस ली हा उल रस की तरह बन सकते हैं , एक साथ यो जना एँ बना कर साथ काम करें .	మనం కూడా నిజ మెన హ ౌ ల రస ఆట గా ళ లలా ప లా ను లు వే సతూ కలిసి ఆడ ొ చచు .
यह है ऑ र ब नाम क हमारा ग रह थोडा सा एक ओर झ ु का हुआ है	ఇ దు గో ండి మా పరపంచ ం ఇది కా సత వం పు గా ఉంటుంది
जो कि लग भ ग कभी नहीं होता ,	దా న రథ ం ఎ పపటి కీ కా దని ,
परा ण ि यों को किसी गो ले को कि क करते हुए देख ने के ब जा य जी व जयादा मह त व पू रण हैं .	మను ష ు లు ఒక బం తి ని తన ను తు ంటే చూడ డం కంటే జ ం తు వు లు ఇంకా ముఖ య మెన వి .
मुझे कुछ ला ने की जरूरत नहीं है .	నేను ఏమీ తే వాల సిన పని లేదు .
उस खिला डी को अ ड ं गा मा रा गया है .	ప లే య ర కి క ాలు అడ డు పెటటా రు .
तुमहें रकष ा करनी चाहिए थी .	నువవు డి ఫె ండి ంగ చే సతు ండ ాలి కదా .
पर तुम फिर भी बना व टी व फा दा री के चल ते बे बु नि याद रा य बना रहे हो .	అయి నా కూడా ఒక క ృ త రి మ బం ధా నని ఆ ధా రం చేసు కొ ని మీరు ప స లేని వాద నలు చేసతుననా రు .
और फु ट गो ले में दो बहुत बडी सं खया है .	అలాగే ఫ ు ట బ ాల లో రెండు గో లస అంటే చాలా ఎకకువ .
मैं तो वा कई वह रे फ री होना नहीं . . .	నే నె తే ఖచచితంగా రె ఫ రీ ని అవ వాలని అనుకో . . .
मुझे वह ह ल का ज हर पी ना है !	నాకు వెంట నే మ ద యం తా గ ాలని ఉంది !
चलो , फिर तो तुम अके ले हो .	సరే , అయితే నీ చా వు నువవు చా వు .
तुमहारे लिए यह याद रख ना जरू री है कि एक पे शे वर रे फ री की	నువవు ఒక పర ొ ఫె షన ల రె ఫ రీ కా వడానికి చాలా కష ట పడి
सवागत है , सा थी रे फ रि यों .	సవా గ తం , తో టి రె ఫ రీ స .
तुम यह कर लो गे .	నువవు ఇది చేయ గల వు .
तैयार !	రె డీ !
अगर तुम जा री नहीं रख पा ए , तो फ े ल हो जाओ गे .	నువవు కొ న సా గ లే కపోతే , ఫె యి ల అవు తా వు .
तुम यह कर लो गे !	నువవు ఇది చేయ గల వు !
- मुझे मत बुला ना . मुझे नहीं . तुमहें मैं नहीं दिख रहा . - कृपया , मुझे नहीं .	- ననను పి లవ క ండి . ననను వదదు . ననను చూడ లే రు . - దయచేసి ననను వదదు .
हमारा ख ून का प ं प तो ड ने के नए - नए तरी के ढूँढ ते रह ते हैं .	మన గు ండ ె ను ప గల గొ టట డానికి ఎలా గ ెనా పర తీ సారి ఒక మార గా నని కను గొ ంటా రు .
ताकि हम एक - दूसरे से लड ते और मार ते - पी ट ते न र हें ?	ఉండ డానికి మన మే ఈ ఆట లను కని పె టటి ఉంటా మా ?
अरे , देखो , मैं कभी - कभी त ंग करने के लिए माफ ी चाहता हूँ	హేయ , కొనని సా రలు నేను కావాల నే నినను ఏ డి పి సతునన ందుకు ననను కషమించు ,
मुझे समझ नहीं आता तुमने हमें इस झ ं झ ट में कयों फ ँ सा या .	నువవు అసలు ఎందుకు మన లని ఈ సో ది లోకి ది ంచా వో నాకు అరథం కా వడం లేదు .
मुझे लगता है मुझे डर लगा	వారి స వర ాలు కూడా నా అంత రం గ ంలో
जब से मैं यु वा परा ण ी था ,	అంటే , నా చినన పపటి నుండి కూడా ,
एक दम साफ है , ला ल कार ड मिले गा .	రె డ కార డు , స ందే హ మే లేదు .
उनकी बातें मत सुनो .	వాళళ మాట లు ప టటి ంచుకో కు .
इस प हा ड के कुछ प ौ धे शायद ह जार वर ष से भी जयादा पु रा ने हैं .	ఈ కొ ండ మీద ఉనన కొనని మొ కక లు దా దా పు వే యి సం వ త సర ాల కు పె గా ఉనన వి కా వచచు .
हम एक प ट टी निकाल देंगे .	ఒక చా ర ను తీ సే సతాను .
कया तुम उसके बारे में और बात कर सकते हो ?	నువవు దాని గురించి ఇంకా చెపప గల వా ?
अचछा , हा ला त अचछे नहीं लग रहे हैं .	సరే , పర సతు తా నికి మన పరిసథి తి అంత బ ాల ేదు .
पर रे फ री को खुद गलत ियाँ करने का अधि कार नहीं है ?	కానీ ఆ రె ఫ రీ స మా తరం ఎలా ంటి తపపు లు చేయ కూడదు అ ంటు ంటా రు కదా ?
लगता है तुमहें मजा आ रहा है ?	నువవు దీని ని ఎ ం జా య చేసతుననా వు కదా ?
हमें अफ सो स है .	మమ మ లని కషమి ంచండి .
यह कया हो रहा है ?	ఏం జరుగు తోంది ?
यह तो समझ में नहीं आया .	మీరు చెపపే దాని లో అరథ మే లేదు .
मैं इसे इसकी क मि यों के बा व जू द सवी कार करती हूँ .	వారు ఎంత పెదద స ననా సి అయి నా నేను తన ను అలాగే స వీ కరి సతుననా .
हमें बस इतना पता है हम जी वि त हैं	మనం పరా ణ ాల తో ఉననా మని మాతరమే మనకు తెలుసు
ये दोनों टी में वा कई च ौ क न ना रह ने पर म जब ूर करती हैं .	ఈ రెండు జ టల ఆట నిజంగా చాలా ఉ త కం ఠ ంగా ఉంది .
अ ती त में किसी समय ,	చ రి తర లో ఒ కా న ొక సమయం లో ,
खैर , कम से कम यह दु ः ख पूरी तरह आपका खुद का लिया हुआ है .	పో ని లే , క నీ సం ఆ బాధ నీ ప ను ల వల లే వచచింది కదా .
पर कृ ति में एक साथ स ह यो ग और वि रो ध चल ता रह ता है	పర క ృ తి లో ఒక ే సమయం లో స హ కా రం అలాగే ఘ ర ష ణ చో టు చేసు కుంటా యి ,
मुझे यकीन है तुम यह कर सकते हो .	నువవు ఈ పని ని చేయ గల వు అని నాకు తెలుసు .
नहीं हो रहा जब कि आ मत ौर पर मैं हर बात पर यकीन करता हूँ .	నా వలల కాదు , నేను అస లే చాలా అ మా య కంగా ఉంటా ను .
च लिए , एक बार फिर नजर डाल ें .	ఇం కొ క సారి చూ దదాం రండి .
कि उनकी आवा ज ें मेरी खुद की आवा ज से अलग नहीं हैं .	ఉనన స వ రం లా గ ఉండ డం వల లే నాకు భ యం వే సి ఉంటుంది అనుకుంటుననా ను .
पर इसी के लिए तो परा ण ी फु ट गो ले पर इतना कुछ वय य करते हैं : ऐसे उ त ते ज क प लों के लिए .	కానీ జ నా నికి ఈ కారణ ంగా నే ఫ ు ట బ ాల అంటే ఇషటం : ఇ ందు లో ఉండే డ రా మా వలల .
चलो , यह करें .	దీని పని పడ తాను .
जी वन दा ता के लिए .	పరా ణ దా త కోసం .
न यू ट स जी व दरअसल काफी शान दार होते हैं .	న యూ ట స నిజ ానికి చాలా బాగు ంటా యి .
सच कह रहे हो . इतना भाग ना - द ौ ड ना और धयान देना है ,	నువవు అనన ది నిజ మే . మనం పెటట ే శ ర దధ అలాగే మన పరి గె త తే తీ రు కు
मैं अब समझ रही हूँ तुमहें यह कयों इतना पसंद है .	నీకు ఈ ఆట అంటే ఎందుకు ఇంత ఇష ట మో నాకు ఇపపుడు అరథం అవు తుంది .
अ ड ं गा ही मा रा गया है .	క ాలు అడ డు పెటటా రు .
चु नौ ती सवी कार है .	నీ స వ ాలు కు నేను రె డీ .
तुम जलदी आ गई हो .	నువవు తవర గా వచ చేసా వు .
या हमने इन खेल ों का आ वि ष कार इसलिए किया	లేక మనం ఒక రి తో ఒక రం కొ ట లా డు కు ంట ూ బా ధి ంచుకో కుండా
अगर तुमहारी दो प ट ट ियाँ निकल गई ं तो तुम फ े ल हो जाओ गे .	రెండు చా రాల ూ తీ సే సతే , నువవు ఫె యి ల అయి న టటే .
तुमहें पता है कया करना है .	ఏం చేయ ాలో తెలుసు కదా .
हमने पर ख ने के लिए एक अन ू ठा मै दा न तैयार किया है	మేము మిమమలని పర ీ కషి ంచ డానికి ఒక పర త యే క మెన గర ౌ ండ ని పెటటా ం ,
हर च ू की गई शा री रिक चु नौ ती या गलत नि रण य के लिए ,	నువవు మి స చేసే పర తీ శా రీ రక ఛ ాల ెం జ లేదా త పపుడు సమా ధా నా నికి
और बहुत देर से सी टी ब जा ई .	అలాగే వి జి ల కూడా లే టు గా వే శా రు .
और मैं ज ंग ली जी व बन कर पै दा होने की इसकी इ चछ ा के बा व जू द इसे सवी कार करता हूँ .	అలాగే నేను కూడా వారు తాను ఒక అడ వి జ ం తు వు గా పు టటి ఉంటే బాగు ండు అను కునే విష యానని అ ంగ ీ కరి సతుననా .
तुमहें अग ले मै च का रे फ री बन ना है .	తర వా తి మయా చ కి రె ఫ రీ గా మాకు నువవు కావాలి .
अपने बू ढ े जी वन दा ता की बात मान ने के लिए धनयवाद .	మీ ము స లి పరా ణ దా త మాట వి నన ందుకు థాంక స .
तो , तुमहें कया लगता है , जी व ों ने हमें गो लों के खेल सि खा ए	అయితే ఈ జీ వు లే ఆ బం తి ఆట లను మనకు నే ర పి ఉంటా యా
बिलकुल नहीं . ब शर ते यह फ े ल न हो जाए .	అస స లు కాదు . ఫె యి ల అయితే తపప .
हा उल रस के फै न स ,	హ ౌ ల రస ఫ యా నస ,
हाँ ! हमें पता था तुम कर सकते हो !	సూ పర ! నువవు ఇది చేయ గల వు అని మాకు తెలుసు !
यहाँ आओ .	దగగర కు రా .
उसने दिल से पूछ कर बिलकुल ठीक नहीं किया .	వారి మన సు చెపపి న మాట చాలా తపపు .
और यह जयादा समय के लिए नहीं होगा तो अचछा होगा हम पै र ों में न लिया ँ डाल लें	అది ఎ ంతో కాల ం ఉండ దు కాబటటి ఈ పరప ంచా నని తిరిగి చూ సతే మంచిది
कि मैं सही नि रण य नहीं ले ता .	నేను స రెన నిరణ య ాలు తీసుకో లేను అని .
मुझे लगता है मैं तैयार हूँ .	నేను సిదధ ంగా ఉననాను అనుకుంటుననా ను .
ठीक है , अब कोई त मा शे बा जी नहीं . . .	సరే , ఇక ఊ రు కునే ది లేదు . . .
हमें उ चि त सु धा र करने होंगे ताकि यह आ इं दा न हो .	మళళీ అలా జరగ కుండా మేము ఇపపుడు త గి న చ రయ లు తీసుకో వాల సి ఉంది .
मुझे पता था कि मैं पे शे वर फु ट गो ले का हि ससा बन ना चाहता हूँ .	నేను పర ొ ఫె షన ల ఫ ు ట బ ాల లో భా గం కా వాలని నా కో రిక .
उप - शी र ष क अनु वाद क : म ृ ण ा ल	స బ టె టి లస అ నువ ది ంచింది : జో సె ఫ
चलो , फिर कुछ श ॉ ट गो ल में मार कर देख ें .	అయితే గో ల లోకి కొనని షా ట లు వే య డానికి పరయతని ంచు .
जिस के आ धा र पर तुम पु न ः पर मा ण ी कर ण में पास हो गे या फ े ल हो गे .	దాని మీ దే మీకు రీ సర టి ఫి కే షన అంద డ మా లేక అంద కపో వ డ మా అనే ది ఆ ధా ర పడి ఉంటుంది .
इसे वापस फ ें को .	దానిని వెన కకి ఇవ వు .
मै े ने तुमहें ज ंग ल का जा दू दिखा या और लगता है तुम उसके बारे में सब भूल गए हो .	నేను నీకు అడ వి కి ఉనన అ ందా నని చూపి ంచా ను , చూ సతు ంటే నువవు దాని గురించి మొతత ం మరి చి పోయి న టటు ఉననావు .
- तुम कया कर रही हो ? - देखो , फै न होने में भी जयादा भ क ति दिखा ना बे तु का है .	- నువవు ఏం చేసతుననా వు ? - చూడు , మి తి మీ రి న అభి మా నం వె ర రి త నం .
का श हम खिला डि यों जि तनी ही मु द रा क मा पा ते .	మనం కూడా ఆ ఆట గా ళలు సం పా ది ంచే ంత సం పా ది సతే భలే ఉండే ది .
भा वना त म क रूप से शा मिल हो गए .	పె ంచుకో వడం మొద లె టట ా రు .
मेरे लिए वह जी त ही है .	నా ద ృష టి లో అయితే అది గె లు పే .
इतना दु ः ख ी मैं पहले कभी नहीं हुआ .	మా న సి కంగా ఇంత గా నేను ముందు బాధ పడి ంది లేదు .
माफ करना , रे फ .	ఏమ ండి , రె ఫ .
अग ला कौन आए गा ?	తరవాత ఎవరు ?
हम एक - दूसरे को जानते तक नहीं ,	మనకు ఒక రి గురించి ఒక రికి తెలీదు కూడా ,
दू सर ों के वि रु द ध मु का ब ला करने और शान दार शा री रिक कर तब कर पा ने की वह आ दि म भा वना .	పో టీ పడు తూ , గొపప శా రీ రక వి నయా స ాలు చేయ ాల నే ఆ ంత రం గి క కో రిక ఇది .
मुझे नहीं लगता बो र ड मेरे गलत नि रण य की ता री फ करे गा .	బో ర డు వా రికి నా త పపుడు నిరణ యం న చచు తుంది అని నాకు అనిపి ంచడం లేదు .
हम तुमहें स का रात म क ऊ र जा भेज ेंगे .	నీకు మంచి జరగ ాలని మేము గ టటి గా కో రు కుంటా ం .
फु ट गो ले के खिला डि यों की तरह काम करते हैं ?	పని చే సతు ంటా యి అని నమమ ాలి అంటా వు ?
हमारे आ यो ज कों के झ ट प ट सं देश के बाद हम बी इ ंग सब र ग हा उल रस ब नाम न यू प ले स फी लड न यू ट स के	మన స పా న సర ల యా డ ము గి సిన తరవాత మనం తిరిగి బీ యి ంగ స బ రగ హ ౌ ల రస వె రస స
पर हार ने के लिए नहीं .	అంటే ఓ డి పో వడం గురించి కాదు .
पर फु ट गो ले का दल ध ो खे बा ज ों का सम ू ह है .	కానీ వారి ఫ ు ట బ ాల జ టటు మా తరం మో స గా ళళ తో ని ండి ఉంది .
हमारे स था नी य इ ला के की टी म की हि म मत बढ ा ना हमारी पर ं परा है .	మన సథా నిక జ టటు కు మన స పో ర ట ఇవ వడం మన సం పర దా యం .
तुमहें चिंता करने की जरूरत नहीं है .	నువవు చి ంతి ంచ ాల సిన పని లేదు .
और तुमने मेरी बात बिलकुल नहीं सु नी .	కానీ నువవు నా మాట ే విన లేదు .
ऐसे लगा जैसे वे मेरी खुद की अ ंद रू नी अ सुरकष ा ओं को सप ष ट करके पर कट कर रहे थे .	నా లో ఉనన భయ ాల నే వారు బయటకు చెప తుననారు అనన టటు అనిపి ంచింది .
चाह े वह कितना ही बुरा कयों न खेल ते हों .	వాళళు ఎంత చెతత గా ఆట ఆ డి నా సరే .
कयों न तुमहारे अग ले कुछ नि रण य हम ले लें ?	సరే , అయితే నీ తరు వా తి కొనని నిరణ య ాలను మేము తీసుకో మా ?
अब तुम समझ ने लगे हो .	నీకు ఇపపుడు అరథం అవు తుంది .
चाह े यह हा नि कार क रूप से पागल ों की तरह फु ट गो ले का फै न है .	అంటే ఒక పిచచి ప టటి న ఫ ు ట బ ాల ఫ యా న అయి నా కూడా .
शा बा श हा उल रस .	అద రగ ొ టట ండి హ ౌ ల రస .
परा ण ी अपने घर की दी वार ों पर हमारे पो सटर नहीं लगा ते .	ఎవరూ తమ ఇ ళ లలో మన పో సట రలు పెటటు కో రు కదా .
चलो , यह करते हैं .	ఆట మొద లె డ దాం .
कि उनहोंने एक पू रे मै दा न को गो ले को कि क मार ने की अपनी ग ति वि धि को सम र पि त कर दिया .	వాళళు తమ బం తి ని తన నే ఆట కోసం ఒక మె దా నా న నే ఏ ర పాటు చేసు కుననా రు .
बहुत जयादा बु री .	నిజంగా దారు ణ మెన జ టటు .
व हा इट टे ल स की जी त हुई !	జి ంక లు గె లి చా యి !
यह कितना जो शी ला है .	ఇది చాలా ఉ త తే జి తంగా ఉంది .
सच है . पर अ त य धि क खुशी का भी मौ का है तो यह अचछा है .	నిజం . కానీ అదభు త మెన వి జ యం సా ధి ంచ డానికి కూడా అవకా శం ఉంది , అది చ ాలు .
हाँ . और अगर तुम परा ण ि यों के साथ जयादा समय बि ता ओ गी ,	సర లే . అలాగే నీకు ఇ తర మను ష ు లతో ఇంకా సత ఎకకువ సమయం గ డి పే అ ల వా టు ఉంటే ,
यह दो के मु का ब ले तीन हैं .	రె ండి టి కి వయ తి రే కంగా మూ డు ఉననాయి .
अब मुझे समझ आने लगा है . यह जो श .	నాకు ఇ పపుడే తెలు సతుంది . ఇ ందు లో ఉనన డ రా మా .
कया हम कम से कम एक बार कुछ और नहीं देख सकते ?	ఈ ఒకక సా రికి వే రే ది ఏమెనా చూ ద దా మా ?
इस रे फ री को अपनी आँख ों की जा ँच करवा नी चाहिए .	రి ఫ రీ తన క ళళ ను చె క చేయి ంచుకో వాలి .
वि राम का समय खतम होने पर न यू ट स के लिए बिना रु का व ट के एक कि क .	సమయం ము గు సతు ండ గా న యూ ట స కి ఒక ఫ రీ కి క అ ంది ంది .
पीछे रहो .	వెన కకి ఉ ండు .
वह गलती से हो गया .	ఇలా అనుకో కుండా జరిగింది .
इतना आत म विश वास पसंद आया .	ఆ మా తరం ఆ తమ వి శ వా సం ఉండ డం మంచిది .
कि रे फ री का काम है खिला डि यों को उनकी गलत ियाँ बता ना ,	ఆట గా ళల ఉ లల ం ఘ న లను కని పెటట డ మే రె ఫ రీ పని ,
एक - दूसरे की पसंद - ना पसंद जान ो .	మీరు ఒక రి ఇష ట ాలను ఒక రు తెలుసు కో వడానికి .
अभी मेरा धनयवाद मत करो .	అ పపుడే థాంక స చెపప ాల సిన పని లేదు .
और गे म के बाद वाले सम ीक ष ा बो र ड में सब यही कहते रहे कि मेरी कि क कितनी अचछी थी .	అలాగే పో సట గే మ రి వయ ూ వారు నా కి క ఎంత అదభు తంగా ఉ ందో అననా రు .
और अगर तुम यो ग य नहीं होते तो तुमहें यह काम नहीं मिल ता .	అలాగే నువవు ఆ టె సట ు లో క వాలి ఫె కా క పోయి ఉంటే నీకు అసలు ఉద యో గ మే వచచే ది కాదు .
बहन - भाई के इ कट ठ े समय बि ता ने की कुछ यो जना एँ बना ओ .	మీ తో బు టటు వు లు ఇదద రూ కలిసి ఉండ డానికి కా సత సమ యానని కే టా యి ంచుకో ండి .
या जब हा रे .	ఓ డి నపపుడు కూడా .
कया जगह है .	ఇది భలే పర దేశం .
